,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.3637599143303373,0.9751989585096487,1.2474817726957343,2.248973144049061,0.38263897451106893,0.8021107309138402,1.4567430824697976,0.5122564089634017,2.946436971162371,0.5588210466561058,-0.15961106699218863,3.036236954628446,2.686950347337335,4.9559241541599,5.892881673036536,1.1608439581869516,0.9760878782294791,1.316558633199712,-0.30499667608357195,1.170204204334526,1.318897847693043,1.297832600932731,1.313615159866516,1.3103980492366136,1.30304602415307,1.2951099882066173,0.5745189143407701,0.8931871159733851,0.7124681058825343,0.7679855976209564,1.4534123977523674,3.756688970370292,1.1029356428701602,1.17094203553227,1.2821426907028846,1.1794915879588568,1.2265246286223708,1.2104432471584894,1.198419371414862,1.241926897584521,1.2212934976955108,1.3029532076956234,1.116791151193561,1.529883025689491,1.3267829850270596,3.9979063746760066,1.194299957501264,3.7807612936354653,1.0467849631867723,1.734709212313376,1.4043189226499573,1.6057756781915287,1.716394806890158,1.7226017145330146,1.7304043001101732,1.7156139559375925,1.1214982165989846,1.733061158620074,1.6011460012597076,0.7313078560398332,1.8123341757972,0.5646778004219088,1.8366014285800167,0.6660617854273858,0.3155582197179536,0.5357943068851999,0.5539743775347916,0.6570878894657959,0.26838034388202103,1.4960444199311747,-0.2532550119259773,0.3712548629370278,1.014168413703299,1.2410528474650657,0.7798893565969502,1.4288469140854048,3.056689265360404,2.9522853420376034,4.92630717330398,1.209893098345048,1.0421017649923132,1.3234800387388597,-0.2748647508378645,1.150027731638087,1.340391632491236,1.3177006996083058,1.3196427445559018,1.3432599231178928,1.2513532214939553,1.2954344860549978,0.9823408166681683,0.8191454530518065,3.7658682466160984,1.1474668237664452,1.2271688245085326,1.2651702119599542,1.1868429927819344,1.2231672159140243,1.1900172886980636,1.2295492874049243,1.2497681213718739,1.1731231353660838,1.2609835442477468,1.1887614548766883,1.5217063508825506,1.3746642198501804,3.9604688280502436,3.765318481296615,1.0087702121433888,1.674297514021689,1.7322092101372029,1.7489443939044165,1.7728334950604838,1.7248948612236688,1.134879323438842,1.7948806079731607,1.5340231481840958,0.6255053909481059,1.8298654224319042,0.6700603352861415,0.29147291792039415,0.502903770550737,0.5629840420750405,0.6662324786852792,0.3181877697166866,1.5157506605578615
lapgyn4_surgical_actions,-0.2513367309801181,0.0,1.0036075886160414,1.248798144691487,2.0064611978279188,0.472499183016855,0.8675670141609255,1.4064503429611874,0.6180639245233055,2.6968980329042234,0.5868591539332356,-0.15697334130074111,3.2385135419984916,2.878670938268357,4.932499076023015,5.903881382455418,1.1005722620744698,0.9235286973192128,1.2444016387130912,-0.26141671288325813,1.2160900444390994,1.3723880286873928,1.3487794010432772,1.3632028181273144,1.3626441526850412,1.3560315697224805,1.3461368545584944,0.5376854388360085,0.8936765558300576,0.5597257780647729,0.6043368058223104,1.1481588494389556,3.3650165269582626,1.0021887602022448,1.071318727836736,1.183311292913204,1.0840304329271164,1.1234822158236675,1.1148558019267343,1.101653782313128,1.1389283937398913,1.1234004512458007,1.20703170431061,1.0182051572050275,1.427409606083283,1.230157227279729,3.9954677613766076,1.0949490414833871,3.7699702128618804,0.9782848862807308,1.7130462917465616,1.3469907344869831,1.5276822071707028,1.7029743663144556,1.702627778861171,1.7123429737650553,1.6966385927030698,0.9404707287329627,1.2899969962760456,1.1402310404940204,0.678169481527432,1.7634304246095311,0.48721931834686816,1.5106481658931716,0.5620112244465293,0.1905333479549343,0.4236877552802986,0.43900801328355865,0.515596842910182,0.6634364335187941,1.4005336030863822,-0.26475451496877045,0.44703846470250225,1.0316354363306388,1.2356735860970018,0.8423885882005401,1.3714480647994642,2.811163580360284,3.1574687347730506,4.909946557012944,1.1547064481901776,0.9956477226851039,1.2588689248787188,-0.2294980551592704,1.1959235713675664,1.3964110015020574,1.3650934332023823,1.3721492501981418,1.3926969330896106,1.3014661154175038,1.3481679932247834,0.9870137787705854,0.6507831332322693,3.3734823084524863,1.0438657540558283,1.1289372986211366,1.1649144323173892,1.0935762336474006,1.1254137866381497,1.0890389544194123,1.123787920057734,1.153356630635567,1.0775082741136703,1.1600782262798222,1.0856866255034805,1.4208170619929295,1.2756509674352072,3.9536388989676756,3.7492715815156172,0.9477516677283657,1.6548179999892323,1.7161938089328705,1.7310398110927743,1.7580933194347284,1.7038737732357567,0.9576472229733228,1.3850605789171315,1.0842403480065383,0.5512548739964339,1.5070160784652624,0.5665431587886594,0.16675333665410336,0.39140591210201137,0.44804632997669264,0.5270544592441441,0.7109682739096619,1.4227801748553561
lapgyn4_instrument_count,0.009925458666314294,0.5466500734944932,0.0,1.3191618440955748,1.6813791686094086,0.5169079678758953,0.9681367716144886,1.3909755043985335,0.644911222348621,2.730870392935199,0.6912890921364574,0.0021343001659387866,3.2415116158740664,2.8732267706472134,4.992225961341997,5.753041268474173,1.1733223655470968,0.9842260896304263,1.2397976098624455,-0.05979091006521385,1.139189981853765,1.283072650650783,1.2632151695633387,1.2789225523849768,1.2735778206705584,1.2676950071154496,1.2591621332295608,0.6860966373750577,0.8729721126165444,0.7608434624210199,0.8507251581639718,1.109506806855313,3.1539790205852567,1.1748710077276978,1.2379560208459786,1.350935032243659,1.252601423226137,1.2934437301934252,1.2798973662936217,1.2674370860249147,1.312768431163784,1.2957601603795197,1.3688098014105101,1.1910968570169502,1.560232118859109,1.3976942431705468,3.987477456422427,1.204173655948326,3.7707369316741906,1.1196573904176663,1.6176203718432178,1.5179341729410116,1.7140950935022556,1.606458395713292,1.6074808343657514,1.6158418259794631,1.60126299472383,0.8585517758759978,1.3075112788201715,1.1819351876485928,0.7206103983713733,1.738032303284361,0.6334952527624486,1.6218589969005597,0.7256080440687425,0.4243284585424456,0.6174138864041402,0.6140911184814405,0.7145659724117156,0.8342851884717596,1.3148912009778995,-0.000140107981028477,0.548648261975304,1.0990149293042346,1.312883065008675,0.9528061112649877,1.3645446713751457,2.8413005530936024,3.1559489663029225,4.966537157626446,1.2157954506625452,1.0520818439322013,1.2502600907559813,-0.033976060470839765,1.1193257583064546,1.3046760247269438,1.281156600479828,1.281982488290216,1.3051367076258187,1.218626760673434,1.2571860219020012,0.9585052233218492,0.8943646919521419,3.163994819247655,1.2143098840010633,1.2909999715958012,1.333399907740074,1.2642484708815789,1.293716280955617,1.2574022081385474,1.2872872267992073,1.3275014444526243,1.2541258326222633,1.3243862848062997,1.2510671965532432,1.553640781829483,1.441652566102445,3.9424084237912513,3.7493445456034475,1.09454406378703,1.566354167577679,1.6188003307711674,1.63608475540773,1.659936177779474,1.6082377524752074,0.873976919102372,1.379186155350732,1.138007488424764,0.691705818678907,1.6214144955404135,0.73087023218478,0.4120189951677643,0.584677106406646,0.6226790461899595,0.7225743525759869,0.8768043376420571,1.3386428718166454
lapgyn4_anatomical_actions,0.003059123974527265,0.5273135930777321,1.056134187867669,0.0,1.5941680270330465,0.5138740146444668,0.9497116726141683,1.3876913313083554,0.6641814528229059,2.6958290267241556,0.6987618948070102,0.01867921123725064,3.290607988833172,2.915515552893004,4.881237191386358,5.673342810573394,1.14589662986249,0.9685734584906528,1.2345302165344956,-0.010644268977055968,1.124161907674813,1.269338175140714,1.249554018383479,1.2655051087434113,1.2604737101423462,1.2540075791863396,1.2455016247844535,0.66228429266245,0.8567088360339238,0.8003200300363622,0.8594085423907641,1.0783509124129438,3.106819347610213,1.2010426102499465,1.2625912012942695,1.3712542416617306,1.2792814313893077,1.3143890836210392,1.3057379277392838,1.2929079130017425,1.3342628571909476,1.3194163106195753,1.3914263763171948,1.2163289569414575,1.580923375410311,1.4170921506733476,4.01764722067064,1.1556914794607518,3.7984646758582934,1.0672550608748932,1.6170747791617521,1.5389328129482447,1.6999268014891904,1.6059474280175845,1.6075959456282891,1.6155984145676432,1.6013092523483146,0.84770360082266,1.2884984672283097,1.1613322758970954,0.7934230614326053,1.7475275324214719,0.66953534475963,1.6223976649477896,0.7313042954211025,0.4530421636841691,0.6204759687059698,0.6470363401584739,0.70980016621816,0.8800495704101421,1.3110017889663468,-0.008843763562344268,0.529221793754106,1.0863017857529549,1.3003793747792873,0.9330014542134899,1.3607073860388108,2.8061353632756014,3.2054215359156313,4.856927305319977,1.1877726093322591,1.035447011860155,1.24611464244536,0.012774973498966212,1.1034707266698722,1.2909843651163502,1.2681538988649135,1.2682975964948882,1.291834069761239,1.2056552314612026,1.242555239123804,0.9410332605333368,0.9023632998929103,3.116780730088529,1.2416354602038928,1.3145407189439182,1.3547024188049608,1.2920669971108385,1.3136828690814601,1.283663169102343,1.3119650589719172,1.348450469459038,1.2764932251374688,1.3472164183156452,1.2760381297340864,1.5745492006655128,1.4604537985463537,3.972764206624521,3.776934535509748,1.0423909180663122,1.566105158456687,1.6186487301037968,1.6354242688705312,1.659829984647053,1.6076307079023333,0.8615961895543559,1.3591306413836577,1.1176606803453502,0.7270321071398126,1.6239540496977662,0.736723355448612,0.4399685767883043,0.5898589704234836,0.6555250637008799,0.7145144090866006,0.9224916985703774,1.334820646028796
sklin2_skin_lesions,0.8049119834301883,0.5443359023857702,1.0413467306528876,1.2973815153366255,0.0,0.4426698310925112,1.0061033392976038,1.5055529160956236,0.8668663607466172,3.6570842332017217,0.9607883007224167,0.26929066514920413,3.664046615154339,3.195397867399356,5.266017873547646,6.271563851185018,1.5539394801731408,1.3232708700730902,1.4234105846879623,0.3608584313396092,0.7874136217144382,0.8334267337861846,0.8293137808120488,0.8540784005231791,0.8424828777946792,0.8253276276970046,0.8253030302652067,0.1224318287400704,0.6159958956422703,1.5481718646679932,1.5816436805312342,2.071565425634805,2.8274657850713756,1.818238218716186,1.8881741174843134,1.9766440228452171,1.8849840217757678,1.9316910203115885,1.9125291045440505,1.8909537966843017,1.948198118932352,1.9261979579157147,2.0055260638114323,1.83509452183975,2.208202701907031,2.0360145682274675,4.701277053843197,1.1899104698576553,4.4213595357193345,0.971760546760673,1.9396672171195077,1.3752557030795953,1.8393008534323987,1.9047067247715903,1.9378253245664308,1.9365811901595944,1.9090074083806605,0.7310504870725613,1.901117266908025,1.852039382756721,1.4546573692690876,1.9516555859642668,1.058203532531137,2.806543338056986,0.8865235341613757,0.8562227635423694,0.8853847431153171,1.0000044710647633,1.0677328914377895,0.09350990547888087,1.501473601866707,0.8077758743727295,0.5495052612985875,1.1050174403786361,1.299062843607533,1.023311568092044,1.503402389777275,3.7684616772317456,3.525928197781303,5.214100084672542,1.5385948645035517,1.3484075513123153,1.412916635191526,0.34192595756671923,0.7777662495959199,0.8308597359220322,0.8543996075608644,0.8406497190883899,0.8913679821869767,0.8022075163198562,0.8070245112982876,0.6749297370905836,1.641739365177381,2.8377162162674794,1.8651791243497575,1.923682313043338,1.9686703216893278,1.8917019868688223,1.9070142905440288,1.9347861778755613,1.9278871557528794,1.957899452565414,1.860776704755548,1.9822528521446372,1.9127913832520873,2.192692526409593,2.0812814955049275,4.653764163675415,4.40982900255083,0.894852844921746,1.8733491750969342,1.9229502694400011,1.9527500851938404,1.9636495097414906,1.9280428051896183,0.7333918176541023,1.8828861300382504,1.7857302579646812,1.1156651404800073,2.8056171357471715,0.8764080524085618,0.8208055491867132,0.8716033598233848,0.9961917979360964,1.0516948973974947,0.13541702783775691,1.4889307005982446
identify_nbi_infframes,1.0250781099733817,1.1734846942866852,1.3481983658356569,1.4888643511479616,0.3173715357258807,0.0,1.5862462970625835,1.3314902037548695,1.1927380818129774,2.451932767855488,1.1435204611094376,0.40386076493828055,3.904361465605649,3.475874499811666,5.338623912640303,6.025203612382162,1.4928231758550876,1.2300318128150864,1.1507308048411868,0.5141530411600895,1.0801832879158526,1.2001258983614647,1.185218824966887,1.197978932904518,1.1927916958395435,1.1861680655903784,1.1798358752476075,0.6574781650119615,0.7557335652890332,0.7830136052687813,0.822759165738518,0.9037996902562466,1.3450172563066085,1.3081558323911902,1.3605810510686922,1.471226475095625,1.3893620876488937,1.4094096154082463,1.4113951508199636,1.393871978530934,1.4341534312386768,1.42690058870424,1.4937258755095328,1.3319230839071108,1.6418575052972664,1.533383805750896,4.1399460210133325,1.2355446225084976,3.911583716075032,1.6608709007625941,1.5026290584097266,1.4531083201599395,1.986139060072966,1.4995135055457576,1.501774825917988,1.5139047810515291,1.4875739394045053,0.09356102821379139,0.3395696425275192,0.24276876275921067,0.6707933758227201,1.6302777448304628,0.7979394857169778,1.4561378582200604,0.7596226137051558,0.6300811869686418,0.737009360247844,0.6677510660281991,0.8672512489243659,1.6570669709797723,0.9523757180011682,1.015938660128506,1.158431907442831,1.3609249018304836,1.4669768383746187,1.6003895470935643,1.3131004884958979,2.574407061607078,3.788882041715234,5.31123015751927,1.5075036361166154,1.2973141183410022,1.1607454358679572,0.5206150730227462,1.0701764308257056,1.2153535439300023,1.1894949814963207,1.1994327897981614,1.226814525862362,1.1554251987675301,1.1674421927112335,0.8256389489856367,0.8538926009799845,1.361477335773136,1.3390686638818732,1.4067753557597986,1.4497703109516784,1.410480293058461,1.4153374846526203,1.3922583224185903,1.3942534701258686,1.4655073149474405,1.3899803496793202,1.4470413094542292,1.3785329941214262,1.6410566186252893,1.567595135573874,4.0863965102162325,3.8797244842168293,1.6315796812917824,1.4552372090388557,1.503816260412347,1.5343905694646482,1.5551613975869472,1.4950317803868038,0.10967581505801358,0.43467714971928906,0.23070016948213906,0.8529509839664794,1.455309917169753,0.7638992240873878,0.6355515520075503,0.6998672590380213,0.674169752760986,0.8808330489645156,1.6919026361152005,0.9581633677648776
laryngeal_tissues,0.9774383177197151,1.1521456913597377,1.3727126703305814,1.5964662997611445,0.6687161596203116,0.76026647283625,0.0,1.3938551999045514,1.2598592212347817,3.091101958257462,1.100636753959988,0.27073044453510403,4.11522598152687,3.631343968412782,5.510022699922621,6.4957425166369775,1.4671868735319717,1.2440870921460736,1.2507750075190467,0.30203091604258264,1.1279054804850166,1.1974562047900035,1.1811256226356226,1.1974944585506735,1.1926464746269072,1.1829424106762443,1.1785546158731555,0.19689219092065804,0.7529132799205649,0.7795364485408629,0.7234683474999434,1.2649967374911733,1.6272509442579726,1.3185934941962951,1.3755623291597385,1.4816814398191795,1.3966083940966707,1.4201395660237381,1.4230452714338644,1.3995946822320153,1.444279266893705,1.4377408727415544,1.509587105721223,1.325317807221128,1.7104897343208352,1.5484527727315431,4.267802672148863,1.0105483938845778,4.021222687779794,1.1017835325472578,1.7898650166958194,1.3004660435267679,1.9273046074314673,1.7852277164905264,1.789343060977539,1.8020102836878116,1.776537347567746,0.28789505069930493,0.7525500654308148,0.6519493817939036,0.7762837440988143,1.9385684835629902,0.7257184400520654,1.6694714411848444,0.4612950997452353,0.44996030715210206,0.5310352299401745,0.5431740769224489,0.6796965546139653,1.3766231574248655,1.365443309420821,0.9683673272247492,1.13887286872091,1.3948455132175928,1.5704799890990693,1.3279697456757993,1.3758421315139127,3.217004253163062,3.9782156468727683,5.473345791893826,1.4903093052426089,1.3041891031100825,1.2570683660808006,0.30649898500086614,1.1145462926056846,1.2058998471617592,1.1940436400924772,1.1963116675177055,1.2297530914683816,1.157482766900377,1.1622830526999919,0.831883511336743,0.7757227764020058,1.6304559097405282,1.3527993049291782,1.4230504027625586,1.4619930717787495,1.4130192151419658,1.417037510718052,1.4091680061128689,1.413296085292453,1.4678344722416719,1.3920248281954557,1.4671746801650862,1.3911203482164316,1.7053480941888217,1.5823565015860312,4.222895821208094,3.9944081331197423,1.05672806967015,1.7267239892671038,1.7877114322696561,1.8196746701108273,1.8421870411505161,1.786326741496848,0.30045902644565886,0.8315451016746419,0.6034188553040847,0.7885092996107985,1.6644286321969377,0.4528426422422098,0.4274988055496044,0.49515363434291226,0.5492066024316338,0.6829388950780823,1.418681436990943,1.3491344241332226
nerthus_bowel_cleansing_quality,0.8498135551122109,0.9249289009863588,1.1898747872387194,1.4001255623087012,0.8022289260221426,0.7418816804307591,1.1960758471130595,0.0,0.8570084462076473,2.730914273318856,0.8800835656831122,0.26966756322204266,3.2934089772876294,2.9621963151943986,5.175978131030027,5.679767676810929,1.4582689152024104,1.2004294889125644,1.2258272527496805,0.44202140365095816,0.9651728902550305,1.0655751358031345,1.0547658232489379,1.0707130912156462,1.0637441426533938,1.0557254513721432,1.050443844889493,0.7221176391477869,0.7207498628099699,1.0734574215115533,1.258642331396896,1.2635944209192944,1.968230929707489,1.4833373503500176,1.5334092744853052,1.6339786025245344,1.5500181875547114,1.5800421934717885,1.5739358582369467,1.5576719194060238,1.6018416598313825,1.5887845896094217,1.6538918569251604,1.4982839028880945,1.8311477599249981,1.6889642555862134,4.0810983390901985,1.3705798237593998,3.867795753608655,1.4639450250374797,1.6108072496315993,1.5782957783195473,1.845572393297619,1.5953989678108595,1.6029308332015648,1.611304747388566,1.5909036449381646,0.48349580674419035,1.1483399745251426,1.072296565363116,1.0165103461770504,1.826470728040839,0.9259136459298004,1.851100314165513,0.9477519860139577,0.8129871569812621,0.922295420259998,0.8336302888695913,1.0538493148337849,0.9097822857371956,1.266779015633361,0.8459309799092629,0.9177680903169702,1.2204488006772696,1.3914015362536825,1.2005431101334108,1.3644757843959252,2.838338562418988,3.1916916748706936,5.142312381473774,1.4702119465699008,1.2495202327230814,1.2281163741630532,0.4444011957628712,0.954038680188675,1.0749774562005658,1.066912353141352,1.0678431339018513,1.0974065978267857,1.022105596357741,1.0408836022180648,0.7823798380046934,1.2918478948744931,1.980641741922226,1.5170796848192618,1.571624575649491,1.615979288429615,1.565505172655523,1.579852335028677,1.5641178752216254,1.5690529406230092,1.621785547497277,1.5489152539843987,1.6131468465136458,1.5503779959558186,1.8240509820593167,1.719367494038381,4.036855611885938,3.846521494555979,1.4260498338280008,1.562632903651349,1.6031916407715001,1.626120666064148,1.6480864061399971,1.6004889263452475,0.4956373961259987,1.1880842391949689,1.0464574966162066,0.974632181173535,1.853671275497915,0.9535129744593719,0.8128184202932186,0.8951806255497511,0.8357134244986336,1.0556912377536638,0.9433267649474597,1.273972846618004
stanford_dogs_image_categorization,1.564113782081113,1.5961580084878406,1.3976250515922766,1.5145659527279185,-0.6604555755057784,1.2315771764259416,1.7079631797309744,1.249754242421523,0.0,1.7575855360224144,1.0553469061525425,0.39186164130303713,3.9552765247903783,3.541463490414746,5.257365955885883,5.774534055916702,1.4760037645540767,1.1831166830624762,0.9900352199791481,0.8809762593728389,1.01907016676411,1.1234946150572895,1.1123965823719917,1.1235439475087288,1.1189065192413072,1.1140642149949687,1.1031056771919288,0.6462432469967904,0.69588301551684,0.9430788577502606,0.9211384126895341,0.553482650431479,0.35836231658717366,1.4688162836103615,1.505200958386074,1.5938059017660815,1.548147963710363,1.5288636059645277,1.56774480528569,1.5488927168400028,1.5505371479093235,1.5580905295152434,1.6321606825330073,1.507532521311021,1.8032716691177475,1.659053410534848,4.15199827089181,1.1077360827806246,3.9424326049737117,1.6919793199461182,1.5763725819304053,1.5011349166671932,1.7229509108548724,1.5845438481420915,1.5781581790515626,1.592469955421866,1.5643019429718537,-0.4361100886254654,-0.3879960935547284,-0.4873184736414247,1.070116116263032,1.957588711639699,0.7586249854678169,1.0936426882619203,0.6061774285850541,0.5582744055791441,0.6393905542966705,0.6339915609812103,0.6832379429931893,1.7854788858582402,1.1274833756247904,1.5441686110698727,1.565606839915462,1.3998094486372248,1.4909956973944485,1.729732481062422,1.2338429665774155,1.8613546453493321,3.85107695805077,5.234465250553992,1.4725348093571726,1.240305970747712,1.0069999425562133,0.8707452914139033,1.0144238603208466,1.1284152160881726,1.1069019045024582,1.134890025745077,1.1506884087919336,1.0855963407713412,1.0932862691196896,0.7520145840446854,0.9411604074505092,0.3708158073224898,1.4898727526302908,1.5331357955913918,1.5672424959833002,1.5765054805596717,1.544264649185352,1.5492601728871678,1.5300910382230652,1.5953200440639443,1.518315410295418,1.5810143291942644,1.5428148433062283,1.8072036593585363,1.6786066078555446,4.102226733109836,3.910571957094022,1.6612703474807728,1.5305752302324493,1.5828464300936536,1.6082582728440178,1.6358088512903224,1.5668268374782186,-0.4181605828660979,-0.26958488795442653,-0.46989303029523183,0.8171145248793484,1.1097109881824567,0.6062425985617855,0.5728800166112198,0.613663833090828,0.6449076924880515,0.6916478024878424,1.805602150959997,1.1332693492445818
svhn,2.1030834605344944,2.338817039070889,1.9025564058357796,1.9103882781427923,-1.9795760540217182,1.7518099136129293,2.212778295686982,1.04290232384304,1.6893385919044213,0.0,1.410738594916577,0.5336173034061553,4.713765284983748,4.28549841398099,5.84291686519165,6.470741767113853,1.5999384639263272,1.205092188135466,0.7373715716838802,0.8742364867481706,1.2937481470199124,1.4089305608086435,1.3878800600023735,1.387952188417078,1.395881149989538,1.392301814908549,1.3798603106400982,0.6746187184223968,0.7853788400492911,0.07181042701119383,-0.0794026310949229,-0.7343062279553496,-1.4133810913332288,0.9090510036913124,0.9442426317287421,1.0651276394670075,1.0012010231349662,0.9840115894966619,1.0230222599129464,0.99880656243754,1.0166934849852645,1.0336322089989625,1.0980001842936598,0.9269497569822827,1.2662120181923746,1.1510703241053937,4.259103685102505,0.8380162420069286,4.017550452518108,1.7740433739739987,1.5049034252848763,1.3148643594886675,2.139423043333983,1.5373518281278657,1.5102530007364556,1.5406667294731293,1.5010785471237567,-1.2713374017088996,-2.2475798214976783,-2.3953780069599064,0.09362867492106183,1.852753182248238,0.428051389400736,0.17374035038153862,0.218760740536672,0.013359087647415295,0.24673485991448862,0.11187501881600459,0.3613734656390219,3.5634316360476177,0.5546860229917361,2.075332085615201,2.294375716388408,1.8601840316723663,1.8345393412934752,2.2383552584856177,1.0061149253921007,1.6719701073914441,4.593044880972497,5.824037560350143,1.6290243257797188,1.3048435105080052,0.7731243888050228,0.8789966451133752,1.298248814852937,1.4373189014357326,1.3625937656741094,1.4059447526545474,1.4092877935041703,1.368998959406691,1.3660971067052596,0.8591158813774631,-0.07087917773254263,-1.3984812945898457,0.9235502195861203,0.9913737748510133,1.0239034098918551,1.042620670605645,1.014409427041906,0.9747917007258708,0.9589627318569406,1.0830893848269876,1.0125171886525444,1.0288546307629138,0.9538781366790714,1.2774860281558504,1.160984865362194,4.191454070245671,3.9664574420412855,1.786442940705705,1.4634820616768573,1.5211896119490307,1.5569872059686605,1.5921941073451658,1.499265818129018,-1.2452869641579292,-1.9915614506632666,-2.3449121530659576,0.49659957052218473,0.1717955611466188,0.22793211373832867,0.0233455509116884,0.20784802637940564,0.12395160630635227,0.3977492502491214,3.5883008610960823,0.5482634645617125
