,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.12490260350429541,0.13788590176998536,0.18883043580444517,0.3954776901161088,0.479555351669553,0.8399870904952055,0.2210085255056675,0.47237838700862383,0.6705741988323255,0.3220651836189902,0.2942017102895845,0.33569016771316035,0.32276220331628375,0.8019181173809898,0.8212975207261233,0.17727944412381252,0.16675654890179156,0.19708221274166018,0.15147829227572285,0.10649201418314866,0.10751642048365716,0.1066139650379133,0.10722926355850719,0.10654933271190363,0.10701496189614391,0.10671616459490384,0.4028309950428148,0.25575485612352167,0.41363899651389374,0.6566050481149449,0.5931794874400975,0.5763643279541004,0.30764963053985134,0.3101165178484596,0.32707487303670096,0.30406568196348627,0.3302758134376389,0.30214602923554856,0.3008136879812408,0.33477216366295237,0.32469306390059943,0.3172748509766392,0.2988172716689275,0.3135176687241381,0.3407505617780432,0.43750780959164515,0.44792568817725503,0.43461707437299,0.5770215367054592,0.6616682018995154,0.4506961048792145,0.35781355252337643,0.6638639297083321,0.6629541817059228,0.6641331286607008,0.6642775650114457,0.3491155163908149,0.34037607819721943,0.3394417323807,0.5783016561201269,0.8580940720163366,0.40632315706565325,0.2907679720214876,0.3802513321208718,0.36265811512755797,0.36000026361536874,0.3327553626666884,0.3624857773413826,0.4727736451155984,0.5464967035558803,0.1606020582484985,0.13661040363876042,0.1382822669298627,0.18638264746309052,0.8441304265532186,0.22054414898824615,0.6617140723770591,0.3389841877173607,0.800009122792001,0.17842987356787787,0.165558276859405,0.1974650006672033,0.15215496782247648,0.10628153100451762,0.1083367751992183,0.10722621633687726,0.1100537981064095,0.10882915147812336,0.10768328241852965,0.10866917933198102,0.25758106681914067,0.6558836858567224,0.5745578059587215,0.31283200927041144,0.3112711498306632,0.32567297406909906,0.30455288466991653,0.33063356443753644,0.3044306485871922,0.3000414756784125,0.3303477093158489,0.3290114897520073,0.32112386593157904,0.2969003718053828,0.3112460518147819,0.3412636873200301,0.4370286324027407,0.4363468137158857,0.5698794054745406,0.6642720506899125,0.6616807009666984,0.6666940008222774,0.6641488727481897,0.6636707394035586,0.34506203065556496,0.3414750050777324,0.33993948088795184,0.40829062930578347,0.28717391431399425,0.3793405923062531,0.36283057476461467,0.35979032646995496,0.3371341638006218,0.36178658652532686,0.47391767598734025,0.542701619744669
lapgyn4_surgical_actions,0.1862484768840415,0.0,0.1376171894816658,0.1771177083163311,0.43472804579142693,0.5171767372999957,0.8853678778666894,0.2373130333455177,0.499730762898659,0.6968855875121488,0.339896331164146,0.3096897753915679,0.35141720260094156,0.3428480272237783,0.8207555039994907,0.843454260930885,0.2035457059985346,0.1939023757827873,0.21352112804481554,0.1623400405581729,0.11000618492001159,0.11096539289119532,0.1098555955525647,0.11070168225983469,0.10995622238089327,0.11053119152048728,0.11011786976272682,0.4364927833402204,0.25986624805672315,0.44673733022830603,0.6991162240527856,0.6431603650856225,0.599684129952472,0.3202453143044205,0.3223065553677437,0.3385389418431219,0.31674548365062416,0.341940840562563,0.31460599447402515,0.3135545633168299,0.34696122207006524,0.3360319845401493,0.3292120469483384,0.31147072655632935,0.3263759720688463,0.3519314853449324,0.45359444868116605,0.48469954370194324,0.44964377801599487,0.6255424746997429,0.7005973799699209,0.456335986629463,0.3644996420098263,0.7027412477956781,0.7016947743927838,0.7028196173893074,0.7028860629192131,0.36382484807431126,0.35946260694679005,0.35906731026521516,0.6002012672747934,0.8928859695040773,0.4086409925873517,0.30113684038699245,0.393622706182765,0.36619520653226595,0.3636898042966131,0.33767521809168816,0.36835433159252906,0.4927863536049078,0.5785953767734588,0.1887193282111856,0.13271467727502004,0.13768637515055068,0.1744018510890524,0.889480733603414,0.23695809597922923,0.6877483749963047,0.3549290660196461,0.818662514665929,0.20512029903772383,0.19248102739495732,0.21374252543435063,0.16326435931154726,0.10991825385780829,0.11190021251285594,0.11028061941933831,0.11319815081110565,0.11117176248681646,0.11141502242061248,0.11235568609379226,0.2606627323194141,0.6980025138730422,0.5980148206204567,0.32505014836761864,0.32294472847414635,0.3369241189870977,0.31661813089886726,0.3428113807484812,0.3170073546599898,0.31336894433679074,0.34230968534491024,0.3399787554602684,0.3333261225105156,0.3094355625237184,0.32348003153040833,0.35211958808269433,0.4527260402724341,0.451782974621952,0.6182519156660827,0.703168880713981,0.7003707866777528,0.7055330014942092,0.7029836392394273,0.7025648114386691,0.3597970269369344,0.36044966075269896,0.35956085478137245,0.41070229972114314,0.2973384855001673,0.3920813106293623,0.36660201876013293,0.36381712667693294,0.34254648959954564,0.3681047272050701,0.4940078906141394,0.5745966303287926
lapgyn4_instrument_count,0.18528449385956275,0.12356089169055032,0.0,0.1724088821998518,0.41904529168852983,0.50590988736377,0.8650685631089436,0.23427030566861828,0.48381374465964616,0.6797330355651703,0.32688382705845964,0.29753400459934376,0.34018328774763024,0.3311124612213444,0.8016653905427953,0.8235166630350322,0.19738976039772696,0.18816597712353345,0.21273611064094203,0.16620265375632184,0.10366691277129055,0.10471740689273673,0.10357627183936832,0.10432082926820016,0.10371557778418539,0.10422469645816278,0.10381833576404445,0.4237571540106082,0.2629647494161003,0.4433464854355762,0.6808894090967808,0.6216397076978013,0.5905476710900073,0.3199220265899388,0.3229541348124213,0.33955182668533135,0.31643750171172247,0.34297719947017646,0.31443987930000783,0.31338789794490646,0.34780935948370795,0.33678057727634536,0.3297119488308835,0.31105659113802364,0.3263746261502729,0.35307577645636845,0.44949261844242716,0.47320321431647594,0.4465156237999805,0.6116863388168262,0.6822653680563368,0.4570036003881266,0.36340063713051174,0.684320655360478,0.6833278899990144,0.6844837749699395,0.6844780669660439,0.35599104218179906,0.3533407177449923,0.3531588523566691,0.594017145423182,0.8738130773000261,0.4020226581484674,0.2972587303796841,0.385032458257703,0.3636844046351539,0.3565475026285385,0.33247859721888817,0.3626479831117596,0.48645969500617436,0.5652663095616948,0.1876678320686064,0.13257638343019523,0.1303450921798146,0.17020961090050848,0.8690613807766789,0.2339619792203224,0.6708701645309969,0.3435136143011065,0.7994713967371023,0.19900797079064542,0.18653430491901518,0.213084882658486,0.1671158046481393,0.10365814778771379,0.1055339464187651,0.10433452092680988,0.10672508375957336,0.10494225311815547,0.1049036088690014,0.10566897635167705,0.2642008270583242,0.6798323934606079,0.5889270052105562,0.3251124606802014,0.32375236296774784,0.3377915147505429,0.31666443699448876,0.34360885441460604,0.31696448602294824,0.31306582522789556,0.3432388558621631,0.3410181340158699,0.3338480024250149,0.3089012154315263,0.323843263484611,0.3533380588906046,0.4490556987797598,0.44862626306596143,0.6044957805919484,0.6848108996133333,0.6820632078861685,0.6870769224411097,0.6846230707903492,0.6840921570703626,0.35214168896202386,0.3540673093413491,0.353751548350125,0.4041083527645054,0.29335864276808743,0.3836068559572511,0.3640135142362696,0.3565780653814061,0.3370443458300003,0.3622657649085391,0.4877186930024108,0.5615100753247502
lapgyn4_anatomical_actions,0.19358365759184348,0.1188689477936388,0.1280290326234276,0.0,0.4422323724752838,0.5246070938605049,0.8856428832879988,0.24957414624718538,0.4974353845567462,0.6978078879538199,0.3384571615927582,0.30843978789538634,0.3541910369178022,0.34699606783964687,0.8164014058703144,0.8398306294998339,0.21768882924852853,0.2079458687610622,0.2266558565913159,0.17761619820982982,0.11086971692705863,0.11193627211476087,0.11058352524837772,0.11144836855752407,0.11082594452397453,0.11145345316385574,0.11092473634346536,0.44347308313453926,0.2673377457511423,0.4637574865875995,0.7108078437398215,0.646302094670576,0.6072154434452054,0.33084414522516503,0.33377858893483003,0.34957132858352247,0.3277351488575406,0.35303349157594444,0.32537959812067185,0.3249194215969592,0.35817342931852536,0.346570030264938,0.3400897726234606,0.3223885910150077,0.33705576293120076,0.3624508177009692,0.4616358535365983,0.4930203693256004,0.45813402629798194,0.6356860866710801,0.7072616039129735,0.46189392270247365,0.3758132474185375,0.70942515292882,0.7082971119584534,0.7093611747721944,0.7094254413902715,0.37377181206005416,0.372668571889739,0.3727052062773212,0.6114155481157308,0.8962924157595509,0.4090368204397842,0.3099343825524053,0.39789022908100735,0.36948303212913036,0.3647962805275725,0.3394400280841515,0.3719900997108915,0.4959982182131212,0.5881758252169247,0.19608383489781,0.12812342044772773,0.1283852232646878,0.15537198933743662,0.8896220716184327,0.24924760771760707,0.6891866739539259,0.35764675070854623,0.8140607198616094,0.21940373604815,0.20631108432720785,0.22687860836164353,0.17851868388520065,0.11108162564310636,0.11280543170231436,0.11147379523903553,0.11398748391079672,0.11135667779724628,0.11219993983171642,0.11303171332683101,0.26815294454632654,0.7096124833861142,0.6058204478529705,0.3357101145457049,0.33433893328948994,0.3476961781627148,0.327545922392256,0.35389066615947856,0.32788650472802694,0.3246976294010505,0.35363762209925365,0.35045948326383913,0.34435035980389983,0.32036947930526516,0.33417885542814885,0.36262287679050287,0.4611120058645191,0.46029170218446697,0.628559476892786,0.7097291289191971,0.7070429622641575,0.712160099176456,0.7095253037048428,0.7091575804133027,0.3698466150337421,0.3734127301799903,0.3731113038849104,0.4110834503570747,0.3058897441832892,0.3962035899848489,0.3699240610303347,0.36504390887193905,0.34413712126679596,0.3718276028351915,0.49736481911075486,0.584420920722802
sklin2_skin_lesions,0.20672474781730987,0.1760354262423929,0.18227197565753575,0.24383323526802195,0.0,0.44209390674725646,0.7515402316073664,0.2115739284706191,0.4161675260156293,0.5866369585738263,0.2666720737241762,0.24329919351989734,0.2778642749035966,0.26226577114013677,0.7181333115189756,0.7348425981700581,0.1592171062350312,0.1576327365754836,0.19744090933560912,0.16667053595515685,0.13571156729247388,0.13694240304445068,0.13642934007183705,0.1364754339760138,0.13602223420247395,0.13625858471871866,0.13628494849856396,0.2967332700577549,0.2515429053097837,0.3481024645019702,0.5860493625182425,0.4858642081422053,0.5202552175404739,0.2877436660920469,0.2919224473182905,0.30941596307267305,0.2841734241325633,0.3128845690457768,0.28229159568081247,0.2806456786439494,0.31734169465585654,0.3077806406985698,0.2984610360975399,0.2769021692691239,0.2962123986323937,0.3233130673547197,0.41857342962384686,0.3284373110568502,0.4178958616516531,0.46198620709940136,0.5684957321754992,0.44041235006146967,0.32512626318331994,0.5706797711584629,0.5699901853887095,0.5708157805506769,0.5715079519458377,0.28023738646091273,0.2692574359464526,0.269855949276998,0.495620546287772,0.7658483090442815,0.39127166546252373,0.2722975147017298,0.3580201235627067,0.35872396798646894,0.3442159756826869,0.32110135367255344,0.3406744934147178,0.4204531363311467,0.45846460172127357,0.208236346652745,0.18528267902807002,0.18416917194437166,0.2417026579721914,0.7553901393205615,0.21073226092212957,0.5779946497362219,0.28031066041356045,0.7162404640978175,0.16078244174301146,0.15567589809812105,0.19758950541982456,0.16829769206506903,0.13464743924976005,0.13780745727554417,0.13708042917032331,0.1395388565873284,0.13931418977900323,0.13710849207995804,0.13644025626974793,0.25491707512097117,0.5855528215059447,0.5183696312795479,0.2940137078646483,0.293784690587729,0.30787578279270716,0.2852851414145088,0.3123762327838264,0.2845762959187247,0.27929923601589635,0.3124695753979888,0.3123111959603469,0.3023101049770012,0.2748054952680615,0.2952834360537533,0.32434740941677076,0.41882583140484664,0.4193865203824267,0.4563295190196869,0.5711987677207465,0.5685950567766228,0.5733594290451969,0.570506199613771,0.5706865371692756,0.27625039017094066,0.26976649522024654,0.27030859520685363,0.3935914238160612,0.2681891748374453,0.35728114119887217,0.3583728188799866,0.34375207151799153,0.3250761413688318,0.3392954898404215,0.42121756843921293,0.4546518052162876
identify_nbi_infframes,0.18984601524404648,0.1576924200975341,0.1613959101738925,0.21773769178631974,0.3217115161424973,0.0,0.6436757331255518,0.21796938608828503,0.3579488085418211,0.49868377823589954,0.22647900047204253,0.20337011006684358,0.24346610754003378,0.22367903191757452,0.6449654502163342,0.6572551288068051,0.15883696025552163,0.15596731835909816,0.19475757369327149,0.16150832925174943,0.12340885170491339,0.12502716818788884,0.12385192932857389,0.12384557779406039,0.12391731635798006,0.12412743405603348,0.12469151379296602,0.31114061587543373,0.2159005257577,0.3215866382614031,0.5319570518133818,0.4887502336216833,0.4897702161581484,0.274360121201761,0.27248272056385925,0.2864456665559026,0.27228129557532565,0.28804449750073924,0.26869221140309835,0.2680886690493956,0.29270129594378513,0.2874400320199356,0.27808371064895276,0.2670449325409062,0.2760193699845937,0.2969615095872381,0.3821298626990499,0.3461674566690033,0.3841117700033687,0.4557402673814171,0.5625697104936496,0.4334558531031921,0.311145887487923,0.5644430581460985,0.5638912053239131,0.5645737951421752,0.5652684548267313,0.30740351462493787,0.29958371356591923,0.2997495697863347,0.4368619763041943,0.7485675499577684,0.35157893305826676,0.25418144609566923,0.31527258921057905,0.3410924495176427,0.2994590456371791,0.2835794186157345,0.3054676276042843,0.39315127162038166,0.46572814770372906,0.19134859673080223,0.16256877480548365,0.1630974030104314,0.21666969400526875,0.646798206327104,0.21672016531622962,0.4917909508903616,0.24554794193318769,0.6429112818815779,0.15988072729454555,0.15345186112545325,0.19545498192360927,0.16252869137780435,0.12235953706759631,0.12458021125455145,0.12513933170770505,0.12768663444675585,0.12711215097302786,0.12474968836847013,0.12311071672398533,0.21976376815675608,0.531857801446953,0.4879149263534154,0.2795633431206631,0.2746423414600522,0.28535018934690304,0.27517656631015264,0.2868547208233893,0.2701274921954731,0.26657306379934675,0.288425459052307,0.291413962577637,0.28130074045983366,0.2664408962896029,0.27525989459823774,0.2988391757745776,0.38308502109160175,0.3854730661413512,0.4500032495754051,0.5649729719556195,0.5630374646863797,0.5667832266275296,0.5645005717353934,0.5647013013980742,0.30473642807125356,0.3002737873755543,0.2995654092934569,0.3536053292699993,0.25062982267481954,0.3147209573788823,0.3407218668702132,0.29925943425423696,0.2865780339944124,0.30404736322346154,0.39452160270904535,0.46243966669733716
laryngeal_tissues,0.2316554274668424,0.20608955344675325,0.20463864256820236,0.26160199549602775,0.32579937400990683,0.33830794431335914,0.0,0.2527795547504266,0.31927146922944594,0.43085282007896936,0.19198956009377552,0.17673165331629273,0.20184933796732019,0.18122062935352587,0.5905068911491513,0.6016666274840524,0.20185669675512732,0.19838536447883906,0.23463798625246188,0.21721040489069618,0.17835679408609126,0.18029436251746822,0.17901709613515862,0.17875551642775542,0.17889030808235776,0.1791949190664328,0.17970846604338298,0.3054291869007185,0.2524207897748882,0.34719217067643354,0.5081157847351723,0.46892192900576596,0.4911646921967111,0.3214866753853985,0.3203266267549369,0.3322089131308318,0.3204816990790605,0.3333428180976113,0.3160960164654091,0.3163769396195173,0.3383153796199901,0.33426134528485923,0.32442210862756465,0.3149367934275471,0.32126387852115607,0.3414213214688791,0.4219338566272622,0.352651871656728,0.42579516121536115,0.4302949648183071,0.553077828027452,0.4770451771665059,0.34050818750463757,0.5551068336639312,0.5544683065007913,0.5548156574977163,0.5559745294427969,0.32092208505996817,0.3123383964098307,0.31340598257877256,0.4365344321346171,0.7314197541565353,0.3673096910904587,0.2877260373122632,0.33952126335104144,0.3662338106157081,0.3212462350188517,0.30241050265525776,0.3289337302003147,0.3980201599601599,0.47510441400568126,0.23323861264075477,0.2138193106641169,0.20690480224822927,0.26066462590333217,0.5133500875210312,0.2512518991577354,0.4250785679770771,0.20319428711312315,0.5882381658212519,0.20279717398346964,0.19649087782348504,0.23502768778738586,0.21858238544523506,0.17730862334865607,0.17968510601562593,0.18075110819393228,0.18325077556482477,0.18222678015177077,0.1793825655252672,0.17771698056825957,0.2581687686672399,0.507745695866639,0.48982111375632026,0.32686848027117266,0.3230696810363229,0.33106474161265176,0.3239396939623335,0.33189115164557087,0.3175194758067707,0.3144122523029707,0.3345479630576027,0.33787192341145705,0.3271313215896203,0.314585876253501,0.3206573889706945,0.3440175382380147,0.4235492275445339,0.42690698162610474,0.42555435702141015,0.5556017635934372,0.5537570581781414,0.5570718117716353,0.5545670582617579,0.5553227060977115,0.31829529467902135,0.3127426866432411,0.31297621845664375,0.36945359698408353,0.283589182756982,0.338707911058968,0.365766687522321,0.3212218319463621,0.30544752703031125,0.3275432307625252,0.3997830284646906,0.47229150219820054
nerthus_bowel_cleansing_quality,0.24254810973432092,0.1898829807226491,0.2046957657855672,0.25996347670396686,0.4210507155204655,0.5405018963285038,0.8965605023212216,0.0,0.5161779058942022,0.6762121180366327,0.3389546513476688,0.3100044725176808,0.3394630839780581,0.3309443579925973,0.8145481495962852,0.8384269774575155,0.1798982057171645,0.16186164554456656,0.15097660847260236,0.1304285123098003,0.13837232883064624,0.13870856057981115,0.13789949278320712,0.1390496507450551,0.1383367667712694,0.1385239369097777,0.1386212532873002,0.4295599762384437,0.24160637173279928,0.4595949504648808,0.7004902908628973,0.6611740709355142,0.5760431069601111,0.3195173374945386,0.31754136602173955,0.33449669112209357,0.3149002520296194,0.33697090305805477,0.31231916815043553,0.3101161360648709,0.34259324554337783,0.33456000993240587,0.3252542176857185,0.30941685657471163,0.32634647469579575,0.3486313424245719,0.469768329139154,0.47459696835426224,0.46600456003638097,0.626974583425652,0.6752668829877603,0.47643079601647287,0.3409610898744857,0.6772024213968165,0.675905148119129,0.6774309390375761,0.6774854515853966,0.3132395675284524,0.3044469355861511,0.3034816738511601,0.6059770999503217,0.8688040698538942,0.41344229937502175,0.2837395990562106,0.3781685974208655,0.36866221052648945,0.3633850898349933,0.3304439251693667,0.3550468017672151,0.520966293238867,0.5505227630176308,0.2447712235283891,0.20231193040030288,0.2051479992446152,0.25618975806172856,0.9007674127731963,0.155439887835058,0.6660098546956101,0.342195735000916,0.8129641231931527,0.18139817741267283,0.16232183449000215,0.15094993290186406,0.1313623414401604,0.136945002823613,0.14056352172494121,0.13862690973750924,0.1409404774851437,0.14054472858859532,0.13993637771929873,0.13943154406047725,0.2425207773017409,0.7000898863762888,0.5741125819106884,0.3251177015264378,0.3187447025607969,0.3330998857333566,0.3154249756512506,0.3375656175932735,0.3146285628759862,0.30987376328236116,0.33799971683324687,0.3392316494432679,0.32968752851612404,0.3069676959493579,0.3237857449247543,0.34903292733417796,0.4688391212054407,0.4683149152908179,0.6201449924679997,0.6782238072880786,0.6747676880500153,0.6794437917779772,0.6774820611123007,0.676730701125973,0.30934598546107606,0.30593950033432127,0.303518369939897,0.4160121319916867,0.2795873577133387,0.37687361096462474,0.36911901395391156,0.36304137394506747,0.33537805598894854,0.3545003461203778,0.5222152777805216,0.5460124987414557
stanford_dogs_image_categorization,0.21357786156834904,0.17334287758936093,0.1770242364226384,0.2266256722960617,0.3430965321695574,0.4169119533596723,0.6933778370265942,0.2354339939340588,0.0,0.5308218858779638,0.19281884149375225,0.17287154430952703,0.21039133062951276,0.20534363104128217,0.6497117834923414,0.6630563240691667,0.19219953780458465,0.18864437708868356,0.21495569873770487,0.18471153097694187,0.15200355649220137,0.15336632043042586,0.15227405176746323,0.15260191819980856,0.15222488756604394,0.152875048011347,0.15276423151490567,0.3315370252281321,0.2504749712951201,0.35275514630579335,0.5568019230420445,0.5008639089254778,0.487195189003733,0.300038662538286,0.299961647666444,0.3135092970953974,0.2980360088166297,0.31553415020684444,0.29481638519919723,0.29421226297642233,0.32002067381765686,0.3137192980835633,0.3052551660554274,0.29406839053544004,0.3037243264315448,0.32471006353940257,0.40953523617196735,0.3756350669298116,0.41074254765665463,0.49386847427245695,0.5669757544542056,0.4401268391254835,0.31517486679713114,0.568946361862676,0.5682047252264762,0.568737071582603,0.5697214486484699,0.3130602106202332,0.30376594336045787,0.304377823348529,0.48092196196601883,0.7465553798581945,0.35039506352491456,0.26941952882205406,0.3275504191475998,0.34170462094270676,0.30095771709066554,0.2863516188133456,0.30840905935763296,0.40241063094175356,0.47377325332072795,0.21488369188669235,0.17882484701103937,0.17834936555727673,0.22512754106521035,0.6965856032936875,0.23439710429680408,0.5229361323063719,0.2134956607457449,0.6478258234514858,0.19344901920869154,0.18692497929615354,0.21507103164365496,0.18585163111120542,0.15139788170867258,0.15385766041446172,0.15394238588231984,0.1559017571978504,0.1550622997388348,0.1537867924929372,0.15219672135970697,0.25390154180737645,0.5563881774218651,0.4862574436206313,0.30552378749756465,0.30195037570462185,0.3126933428187394,0.30014667758531893,0.31521669624199333,0.2971849924980742,0.29300954669527135,0.3164184778871856,0.31749850102416,0.30859761256550794,0.2923350301645143,0.3018193632829496,0.32640409280633553,0.41006549334245174,0.4122967708387112,0.48836364440668073,0.5692153409102226,0.56744466754895,0.5712447847010708,0.5685491751443777,0.5691053304666533,0.30968625295040325,0.30452906091588877,0.3041168192225866,0.3523505468433717,0.2650834213834188,0.3267937177171636,0.34154336679571967,0.300809981374484,0.28989331702789906,0.3072830251589,0.4035940459111365,0.47102006882202746
svhn,0.2818142178169089,0.23766127689292374,0.24058163297218949,0.29078417249266203,0.3912837639885808,0.42496684397914275,0.6379425427310172,0.26858816723674217,0.38148981066418175,0.0,0.22833978237849845,0.21003731391553151,0.18630469852073617,0.17378212932666026,0.570218724091732,0.5852350980387706,0.2407785661842009,0.23603706550056866,0.2521265688562979,0.2283964902571437,0.2038542629508839,0.20551698604989316,0.20405276445939535,0.2043722687870155,0.20423843280781095,0.20457534751892764,0.20512400936432973,0.38311324913424316,0.2777222744334068,0.39978583123384026,0.55805836085284,0.5656508960733198,0.5304991623758155,0.33193700465861875,0.32909399991688115,0.34151508287153065,0.329603699410453,0.3426917015495444,0.326031944469231,0.32558744166942044,0.34761799785748254,0.34290292167920455,0.33392195992229895,0.3247759976744453,0.3318041706455568,0.3513781489335297,0.44350533648949214,0.4274008348384475,0.44530459026053637,0.527810405039921,0.6181219118507209,0.4863403392111828,0.3467542530734218,0.619835555497071,0.6193013605300586,0.6198525836868349,0.6205225815750881,0.347178328850547,0.3383997400316593,0.33980872908172016,0.5028627610394247,0.7956908203192588,0.3753863520600582,0.29928990988645343,0.35477904521705284,0.3694288146562796,0.33335818991717536,0.3047843115131525,0.3370130303374612,0.45508821643786346,0.5284393481052079,0.2842925604254698,0.2454331128581782,0.24185334820321958,0.28875126667678075,0.641353283502403,0.2673031628356791,0.38210714436545523,0.18778325903184712,0.5685541343502326,0.2420305837797286,0.2345913421529213,0.25225288236470667,0.22994399455615175,0.2026666415545198,0.20516641177773903,0.20565956061783452,0.20824839224611308,0.2069742903309629,0.2057190360547113,0.2037206817644418,0.2819952697541199,0.5569791817071887,0.5292251781956157,0.33713670584871464,0.33131380801286037,0.34011607588072085,0.33253905373214265,0.3419542304917494,0.32787767744060714,0.32441471398501437,0.3440286093321099,0.3465329285822973,0.3373714653183675,0.3243908538521911,0.33053055161588385,0.35312032278627037,0.4447411847996942,0.44652940895516624,0.5228994479139766,0.6206341430272233,0.6183103077179994,0.6219303867867632,0.619517103181484,0.6198900323416598,0.3441559241516844,0.33829838360186854,0.3395266729077009,0.37767659602039494,0.2954585829972366,0.3538613306848569,0.36936951806173324,0.33343709130057975,0.30828911724511976,0.3359235607314315,0.45655733317926017,0.5253907800535634
