,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.620827722507767,0.6279800131956536,0.7184679300244585,1.0430263450836572,1.494169479252961,2.161865362315753,0.6462938087081134,1.9349924171590225,1.8717156404426922,1.4454708150070126,1.3724493541392415,1.2190246868221783,1.174482444713047,2.1313946982876715,2.2717179791992543,0.6368222945602816,0.5984004096570096,0.6268559941817441,0.5964782435154878,0.4978557240058338,0.4996828531951031,0.49819545341377675,0.4996844429866975,0.5006201809770648,0.500553342546904,0.4983845232069874,1.101460278889339,0.7933347557902823,1.1506422583356029,1.8034229951105865,1.6508178334303534,1.5448732470157862,0.9716029643548656,0.9893747753705348,1.0208673092832095,0.9607243073611493,1.031978041262117,0.9639115224491881,0.9593748832847883,1.0332750704282323,1.0111661506699037,1.000534978291296,0.9426095478666378,0.9785765637638997,1.0492975451887747,1.1827205368557359,1.1343493962605897,1.173559950731944,1.4600225434694065,1.6432975290086882,1.2034742120872886,1.0106214306213688,1.6481912340867866,1.6458596138026182,1.6506406281037076,1.6475019823440704,0.9126009340855574,0.8891493815541406,0.8805013268721655,1.5397711291319156,2.177119077589783,1.2153411864979013,0.899307452797529,1.1148153870430435,1.0204671879916372,1.1261448676025445,1.0542997911546508,1.0850884045573255,1.312972051489098,1.4033372617691662,,0.6431654843802461,0.6308115102462897,0.7190835423196819,2.1710757477896996,0.6448732797927637,1.8503197420893946,1.2258058349884626,2.1308813467144905,0.6376772769747584,0.5970476411270184,0.6294007976439223,0.5977714709591117,0.49919412666500196,0.5015276454405854,0.4983324573656361,0.5043031811604854,0.5035734356910363,0.5005062944376568,0.5025033610031469,0.7949162836594709,1.8030087653503022,1.5337383660487371,0.9816603849184021,0.9857026786638512,1.018181132142969,0.9583683430381801,1.0275970832979349,0.964988842267996,0.9571132326159594,1.025183348833772,1.0231401535359272,1.0076899632080911,0.9408288449818114,0.9791044578985484,1.0476994770524788,1.179089073220602,1.1746579157182064,1.4356149888166303,1.6534249353469244,1.6408950206048432,1.6516456586083579,1.6516521371282615,1.6453677334756711,0.90525999795946,0.8919296096295055,0.8824420242340705,1.2158573349204587,0.8965412656253137,1.1147996527268509,1.0192862145734671,1.1262327569099826,1.060934475338304,1.083010369054483,1.3153556749535238,1.3942256876070214
lapgyn4_surgical_actions,0.6528285849457883,0.0,0.6342131103250526,0.7263062165237539,1.0965866558381878,1.5559650924491677,2.2362625808833614,0.6665883583485898,1.9461705065924684,1.8775941618816352,1.43549414090287,1.3638733652169204,1.2084385772086903,1.1746990663268155,2.078695683475148,2.2146681132972588,0.6589023813796081,0.6216404991611063,0.6379987530356919,0.5967363286232589,0.5054841474778191,0.5074242775534704,0.5056811518760914,0.5072226855394041,0.5079237141583678,0.5081039682406172,0.5059625334352102,1.1549609826199596,0.7971364900613117,1.2006411818153557,1.8966883693364658,1.759759811487957,1.5478458314454382,0.9561811976563074,0.9724041982094362,1.002210025559927,0.9457805633348962,1.0123255965014335,0.948372863064359,0.9447832914105966,1.014705548364541,0.9920586180982086,0.983092830564338,0.9297563769536147,0.9618958299337692,1.0283487071239088,1.1660156887710995,1.1930296058726355,1.1566065039981883,1.5663692167714973,1.7068518199929499,1.1768946010920727,0.9975228536643964,1.7116062327358832,1.7083647864980478,1.713805155898057,1.7099185636951408,0.9267400382530536,0.9098030683912832,0.9028139904270966,1.5295064876556088,2.2489339887564923,1.2004089359061871,0.9036213262196034,1.1163474345958224,1.020118589910462,1.110355013732446,1.0413078200794912,1.0774845005672224,1.3111835990026333,1.4474669081171383,0.6556148764508395,,0.6369918463653349,0.7276766250594532,2.2444604515736235,0.6655821746511755,1.8561889485566956,1.2149903511554379,2.076959050609402,0.6600673935277476,0.6202785177853819,0.640499259670185,0.5976077008072674,0.5074648609563452,0.5088973168881401,0.5053697299297405,0.5118779173602768,0.5108565461919905,0.5086864866202035,0.5106684968906379,0.7978996528417824,1.8944385986124805,1.5367315745154047,0.9649680610039963,0.9687982121657938,0.9987972657199098,0.9425003480248674,1.0097566039334578,0.9496021558340236,0.9432824715938832,1.0065724578231037,1.0025690415035895,0.9902956136101673,0.9280758465037113,0.9624798544804659,1.0266258945635895,1.1625263717687653,1.157830071424328,1.540737579173477,1.7171923572772998,1.703174032258564,1.7144402874830436,1.7155761245110308,1.708726974396658,0.9191860273795006,0.9126724105622033,0.9051704596938398,1.2002983718571811,0.9007966847533362,1.1157807353733449,1.0187861806129508,1.110941099569503,1.0489139259447136,1.0754215078396185,1.313928720332012,1.4369397657357976
lapgyn4_instrument_count,0.6549135345255195,0.6243710284804256,0.0,0.7317048763874299,1.0862067768726962,1.5739495187923722,2.237588528104484,0.6696259923849088,1.9524782881625318,1.8797232228505707,1.437256244682024,1.3659687157795797,1.2170493127592232,1.18112571810856,2.061761286752755,2.2060830102693196,0.657466243374878,0.6231057102855059,0.6433307786735194,0.5994995492290984,0.5063985571390082,0.5082134878988094,0.5065553454399911,0.5079810775131818,0.5087171784474842,0.5089122252769303,0.506847895629618,1.1516873895724036,0.8045529146762844,1.213225465978356,1.869969591814038,1.7415002573273235,1.5426965490120677,0.9643642866212687,0.983900799924731,1.0148387500889327,0.9538281059972843,1.0259254161526739,0.9569095343802491,0.9531916600741658,1.0280847649482374,1.0029768407859445,0.9947696388059917,0.9380670103083265,0.9729768631436739,1.0426452142037956,1.1716685700750522,1.197739911145458,1.1624997023338959,1.571557281238977,1.6918976904721097,1.180647900056299,1.0020355696085739,1.6968011901287225,1.6934782397625836,1.6984233249728737,1.6946134246956057,0.9372666610931534,0.9204978769743377,0.9137123700712835,1.5607252578945345,2.2210838134693125,1.2085290583960855,0.9169265308915967,1.1384662364526772,1.0225400745945987,1.127359455558498,1.0546134696616443,1.0989304500926333,1.3285429200265122,1.4487778051379956,0.6579980910370562,0.6451453867661712,,0.7325968206353449,2.245837135999504,0.6688352433744787,1.8581506165256714,1.2235855573823156,2.060646639550705,0.6591518820436314,0.621301543411676,0.6458422476567246,0.6007726761174468,0.508023428993227,0.5095423294251343,0.5065844363618525,0.5131857543936466,0.5116678707794013,0.509373327447123,0.511293622201511,0.804919720363614,1.866998796497513,1.5313891710523155,0.9736786955315958,0.9800053211511406,1.011121458068573,0.9506596220934022,1.0240062592788743,0.9586483092470571,0.9518506512039767,1.0197773708037499,1.0138587408842232,1.0020224652433307,0.9357424743353034,0.9730927671025543,1.0400682148041553,1.1686672937792808,1.1634851380199103,1.5452381525264924,1.7021986889119711,1.6883701421868158,1.6993961139346223,1.7004385657016594,1.6935369290893123,0.9295741035614453,0.9229291253897091,0.9161441257096122,1.209083637689209,0.9138422078962247,1.1381148408235338,1.0212408552284815,1.1279790955701594,1.0617542738514443,1.0970635429103808,1.3313264449033875,1.4386317154105834
lapgyn4_anatomical_actions,0.6611676107101724,0.6268607908200862,0.6398816745404805,0.0,1.1124013446367529,1.5993782894108546,2.2633239794145963,0.6788078782736978,1.9510898220696065,1.8979524314031635,1.435318292951723,1.3629454784473154,1.2236661854437447,1.1926704139748867,2.0680459637481223,2.2125474312328155,0.6773625686867736,0.6416976529775422,0.653769956441577,0.6042533718785632,0.5098154666291158,0.5114764081523514,0.5099520429329492,0.5114328883699347,0.5119195955161301,0.5122953717979835,0.5102516223784067,1.1741901854736263,0.8130115297702591,1.2407677526922054,1.9486955221999196,1.7792665096173932,1.5463807092699315,0.9658419247838923,0.986214834559758,1.0162076692964062,0.955421590746112,1.0274489238496882,0.958672867860911,0.9556441386737282,1.0295708181524437,1.0037407933326952,0.9963634321837288,0.9400374549676622,0.9748159099699204,1.042995188951884,1.1639659679822916,1.2168248474557624,1.1546903672115882,1.6111091361794283,1.7100450907155118,1.1763852027756627,0.9946702111786,1.714956914576082,1.711288417242045,1.7163233066453665,1.7124369370831258,0.9418773043313525,0.9286612125648412,0.9226941891121179,1.5727384975704441,2.2419989102805764,1.194365766433948,0.9223126460953281,1.1401213938745174,1.019615545706286,1.11768621893073,1.049083584121407,1.09167084426694,1.309782901305692,1.4653817804286733,0.6643963213003873,0.6456021756246797,0.6431980646374683,,2.271132170330209,0.6781731244419692,1.8780892083017318,1.2299687257277985,2.0657187970797164,0.679233572720335,0.6397031181068568,0.6560003761397162,0.6053066822455959,0.5117873393426999,0.5128665369557365,0.5097417858358764,0.5159182439824739,0.5151999150059157,0.5130899566418703,0.5149262530866373,0.8134964010902878,1.9446708153160928,1.5352661468580184,0.9747277272191525,0.9820189321874083,1.0117606898076517,0.951180558622138,1.0260487264507694,0.9605203263346194,0.9545452647217224,1.021173887666364,1.0141771291715738,1.0034779995363081,0.937690627784665,0.9750997382667262,1.0404197549049,1.1610642024750983,1.1554364237597594,1.5848791723126847,1.720407609258113,1.7058911213538148,1.7175212454904656,1.718556538471723,1.7118448166318692,0.934039649791461,0.9309876078367747,0.9250647270909099,1.1942227562972638,0.9190859582461899,1.139246750414089,1.0185202459663178,1.118340363384861,1.0563105717763777,1.090441188943546,1.3126139082319042,1.4550541768672953
sklin2_skin_lesions,0.6682161117543818,0.6487982902023158,0.6893333663994323,0.7940667952366598,0.0,1.4880585475982082,2.0352840260452894,0.6394098099965454,1.9428375345750808,1.6858453611000828,1.385638627042604,1.3420400292822883,1.141754938278616,1.1014202325752942,1.8955501515344446,2.0780027577880023,0.6187317520027337,0.5898455934568605,0.6123675466377542,0.5902507443586478,0.5399005251342711,0.5408876435284423,0.5406674698005919,0.5417523431479013,0.5417799366605907,0.5408250253906843,0.5398491429712168,0.9982817555758458,0.813787170500754,1.0963129870188029,1.682862374660861,1.4932069028938126,1.5164842873799078,0.9377146752384643,0.9634663936250655,0.9982289109946951,0.9268789713800134,1.0136241343683379,0.9317020789618852,0.9275989418947216,1.0099128899066823,0.9809077972142292,0.9743486294325564,0.9136084082447412,0.9506697525908562,1.0295175994656403,1.1402369537726478,1.0343670007954846,1.1329812954772875,1.288528452605657,1.5834440023554424,1.1351933897062814,0.9967216331721158,1.5871921414200685,1.5867075265362909,1.5896421346967113,1.5875142244276956,0.8866345136785283,0.8785756624225756,0.8710815041537633,1.3863080333140496,2.0871225893502428,1.2979621446651166,0.9175348649910094,1.2068499601526579,1.037297962822061,1.228557879069623,1.1357420783727037,1.169094378583795,1.2854638299567043,1.3802458505997182,0.6707323740935702,0.6788705961744452,0.6872913409329716,0.7890226785525215,2.0450008576884793,0.6390238941267827,1.660670335147821,1.1459978320956148,1.8941772461196982,0.6192410478130372,0.5883666391634591,0.6147065892130712,0.5918815941646952,0.5397646208150932,0.5430804679990422,0.5393305958284839,0.5485742899730908,0.5433804337092829,0.5439999955503645,0.544592064145881,0.8143055111636329,1.684918369825468,1.5042808352959687,0.9469794002039591,0.9588037863719772,0.9954900957176337,0.9239376946547053,1.0108416686033799,0.9309847089265308,0.9237432979446505,0.9991524837960211,0.9934355169897443,0.9809584787809613,0.9097292134320616,0.9496982997089828,1.0255317988560337,1.138351062757638,1.1338440064418558,1.269083629600965,1.592923215364954,1.5825576316792804,1.590330210821574,1.5890124478307996,1.5871249260022,0.8779246342812983,0.881686940812244,0.8720880712017455,1.3012574492975304,0.9138070378951718,1.2043358679937526,1.0345438452141313,1.2313777341874907,1.1448606766538456,1.1680541397867725,1.2878716260973229,1.3704559311014328
identify_nbi_infframes,0.7006216916488597,0.6785598440434953,0.6967189190641697,0.7992903635027202,1.0053847061917338,0.0,1.8289624088704368,0.6798323572543766,1.8797802964707844,1.6054624985030221,1.3841175979091933,1.3312530216535812,1.1778156346631072,1.1162248201237945,1.9143388403028232,2.0454173282688974,0.643885056683413,0.6043164206281415,0.6341406512687736,0.6392848451964803,0.5286141257935757,0.531047705846355,0.5302393931736731,0.5298284861539695,0.5318083430680426,0.5305761124086618,0.5310110496525998,1.051198722434479,0.7563276886733192,1.0745154256046232,1.6611522002932788,1.6522540248093542,1.5430061095694323,1.0094118954573141,1.0349170155261327,1.0633228418375582,0.9999011401820643,1.079772461099567,1.003400012715566,1.0007705351229883,1.0747419202603543,1.0471137630484753,1.0418950438560959,0.9825145183330236,1.013009175438597,1.0896710560192435,1.115126717180127,1.0377397167162559,1.1143009904483174,1.3764065494035616,1.6080221504576184,1.211618039154141,0.9842377189744588,1.6125197847749237,1.608899693132882,1.6134573920673592,1.6117115908831323,0.9283686276144357,0.9033341384670656,0.8955439289168305,1.4026029470631296,2.1229931414751784,1.2704057244850258,0.9527022274379161,1.1917384127888473,1.0839077609253192,1.182178092220696,1.117088009317595,1.1441432763729527,1.2768146081264435,1.3594226245885548,0.7045130057465554,0.702425899990651,0.6981556392334145,0.7950420925671244,1.8356884255395018,0.6768173790402238,1.5860566153970135,1.183204816215135,1.915353578600139,0.6440772017026353,0.6016655148161318,0.6361391353443894,0.6398207245513471,0.5303646299822634,0.5329626375322217,0.5283613619699429,0.5377767525097628,0.5351209075026231,0.5311273674511408,0.5333657174854767,0.7588374669155349,1.6634935723319135,1.531333918588097,1.022267564164791,1.0282467630333787,1.0597693277300968,0.9955654326949249,1.0774009057607976,1.0045748356431632,1.0003036723292724,1.0657361115596493,1.0589236534888848,1.0470846725086123,0.9814816956866281,1.015257772647102,1.0876882768643072,1.1132422514070632,1.1160524063854889,1.3571722434364617,1.6167149750297733,1.605372025904604,1.6130708984092088,1.6146042397026232,1.6109751865187816,0.9213800673401688,0.9082778773118408,0.8963589833768236,1.2717005995145434,0.952652070794068,1.1893534600723383,1.0830977488868203,1.1846606036406875,1.1247100559234997,1.1451454921918984,1.2796303172921382,1.3506609445669628
laryngeal_tissues,0.8997494908295798,0.8762546523248648,0.8912659999456842,0.9859911119346525,1.2354182996252379,1.400020926255384,0.0,0.7879563485644396,1.7415033827679103,1.4003995074642548,1.2459522551583604,1.2485671033960564,1.0931248051766698,1.0313192069544503,1.684811893511515,1.8162889239095055,0.9100201509047409,0.838832007556604,0.7820427793966239,0.8363461201305447,0.7605848266698668,0.7630233094368515,0.7628829353559407,0.7620392384995873,0.7643947911322317,0.7622504656596764,0.7630677666687009,1.1867808276666325,0.8979244644641412,1.3010969142610713,1.5912567838989522,1.8041831045150132,1.5183501906893393,1.2425294709045427,1.2820583570050312,1.312874553174885,1.231636724606149,1.3271202700028075,1.2364085460701382,1.2357960330120228,1.3188350846714876,1.2862138904175897,1.290082627785201,1.2145461215070348,1.2269241003121218,1.3418367455145015,1.4455106294496867,1.2954563004558224,1.4426714727999999,1.5189593818753835,1.6981010303494466,1.5325569297838406,1.0449417713638902,1.7050606770563579,1.6978389302307662,1.7029783136568564,1.7015904835758733,1.0007029938723755,0.970645048937371,0.9680395616008662,1.6125399028618048,2.106414520281221,1.48433174341945,1.1514755997176351,1.4277175525858714,1.174913380868058,1.3969610192444482,1.2267648607800818,1.3819249100574789,1.384364640817813,1.5926038122174488,0.9066836721772378,0.9340843783100282,0.8895512493710156,0.9840130882979559,,0.783387677577194,1.3869525546984396,1.0974585071991851,1.6833224829652191,0.9114933233068807,0.8406122863550289,0.7801271849404401,0.8401387713019368,0.7618681187287648,0.7663698117476405,0.7635531533029357,0.7697559982497896,0.7693352851243872,0.7629424143949476,0.7645673766420322,0.9064140530626114,1.5912376240401824,1.508793337248527,1.2508107536636097,1.270355620185406,1.3045912791215772,1.2239883278949926,1.3311263389956853,1.2423264089935173,1.2305758522742705,1.310992020387328,1.2985119833065577,1.2937693808669093,1.2115809658980083,1.2232191935922365,1.3351272828758873,1.4469641120969288,1.4431295251510055,1.4994722518693566,1.708248980581115,1.6968238138490193,1.7026850959115531,1.7046534488141716,1.7011752842167052,0.9938875908626873,0.9716871599989344,0.9657238008625065,1.4851132358562837,1.1459430356493872,1.4252235017655888,1.1741723424883206,1.403050972054044,1.2388012106757091,1.3837334967226065,1.3871666494821588,1.588247579189159
nerthus_bowel_cleansing_quality,0.6877363416953081,0.6396384484934209,0.6701902931374091,0.7510609540694794,1.050144698563574,1.581518456335348,2.233647101964315,0.0,1.9481581668910184,1.7607431259940476,1.3888490234727844,1.34492937487214,1.145834884327068,1.1189703140481633,1.9689306448916484,2.1331915272340796,0.6425871238615942,0.5934281231382142,0.6300953881477638,0.6130016601118699,0.5242200618898065,0.5251619711101373,0.5235679449390842,0.5250420734154034,0.5255445586750619,0.5251987515574256,0.5236814161673529,1.1051202426786568,0.8075825583094771,1.2003910930725978,1.8434055532052696,1.807806405914067,1.4997783245408034,0.9225537137517595,0.9348500702395587,0.9680325528774637,0.9120299003800759,0.9767399837090344,0.9129878437608306,0.9090890871592235,0.978723570438962,0.9588522461836076,0.9484293462113506,0.8988848106651536,0.9282902142515178,0.9967422413759074,1.1930233030491568,1.1511803198793868,1.183622648302822,1.5200333736288445,1.6691885626038252,1.1770578574900243,0.9969553234019937,1.6731731925784046,1.669885392332136,1.6762575812942158,1.6723276823645965,0.922721948522201,0.893755302855251,0.8868150453718786,1.5003533593692187,2.171492191902192,1.225393745492272,0.8815832254642867,1.1238342563275496,1.0008667521965928,1.137011750392704,1.0560065846166211,1.0748174657641059,1.3680963049714983,1.4500602590172587,0.6903096126478608,0.6652741209850175,0.669153060434695,0.745126730020857,2.2426414375586177,,1.7351043640600228,1.1534070259206928,1.9679540294581617,0.6421452116502111,0.5918860009805467,0.6344291965282536,0.6134231440227111,0.5230811207102042,0.5264481630085132,0.5228270148890407,0.529610533108676,0.5270933563542939,0.5264123883160966,0.5289366072345482,0.8099714826461819,1.8442708116853181,1.4889074883390558,0.9319091199989686,0.9320830627685227,0.9649610115348904,0.911318956513996,0.974895168836195,0.9139008663133058,0.9065809093998417,0.9709566671363505,0.9696856796828803,0.9566764268795663,0.896102586359155,0.928861111304921,0.9939252573153463,1.189461342229445,1.1858081641073903,1.4941798179907686,1.6801641139598698,1.666127251402338,1.6753782634777643,1.6774907784873858,1.6706070708970344,0.914883738262486,0.8991468034555776,0.887471483815392,1.22865843683144,0.8797846145791702,1.123837711069381,0.9997556956684919,1.1379084822194547,1.0646968456697932,1.0740580254180363,1.371672748712144,1.4386923644534821
stanford_dogs_image_categorization,0.8057733640347029,0.7394867786270377,0.7803189149872929,0.8361363403094437,1.1579205054837685,1.7035152898856958,2.2460227835557243,0.7645764448450865,0.0,1.7901899208579621,1.3552550794341505,1.319481389014516,1.1570065913549992,1.1318067500133018,1.8797576605919006,1.9869537900021392,0.7989637234955648,0.7505564686867031,0.7314143301175764,0.6968653085923147,0.6551922215082897,0.6548797355793937,0.6546842874807163,0.6566623056872679,0.6568792687777316,0.6564262334310966,0.6548342026441417,1.1723375467903205,0.9014074713710183,1.2383737170273146,1.8475386443655744,1.719775970396542,1.5115269322409155,1.0405502503825443,1.0700556043444787,1.1037121001977979,1.0296526303891145,1.1172907211355538,1.0334499427623778,1.0327333931800786,1.1160539526730944,1.0881362270093415,1.0815156700129838,1.015686931685031,1.062566820089763,1.136504754967976,1.2422070271417185,1.2062994822997397,1.2361339458032485,1.5863649242910636,1.605061600728822,1.2140205957752723,1.0741494792563604,1.6090115028649628,1.6058521828651535,1.60766048282011,1.6066808921042572,0.986816361399273,0.9659788381030638,0.960705282243216,1.6503952273723872,2.0871210167779273,1.3328152157896123,1.0135746771395124,1.2411526397356345,1.1098049811647532,1.2118487703479581,1.1742830843803922,1.192787204946634,1.4630699814695511,1.4153584985480459,0.811355111588563,0.7628010763220767,0.7765532620320234,0.8324793173572699,2.251785690222142,0.7626137897798904,1.764874990331931,1.1626479799612497,1.8769042693783333,0.8011413551366154,0.7507756154260732,0.7303534806844165,0.6988615416035147,0.6564027914776096,0.6588573499639567,0.6527197841710157,0.6607092926240973,0.6571881213896756,0.6591548136294256,0.6608435700940073,0.9005331731049809,1.8457051685129742,1.5005021754980545,1.049644149499032,1.0635953298123735,1.1023444878185582,1.0227171170591753,1.1179441672348018,1.0402723333903892,1.0300263459670682,1.1082096686829,1.0993812712673556,1.0871006861720307,1.009116330279657,1.059517911097431,1.1337832097312086,1.241535927443404,1.2386696648491926,1.563819330480084,1.6128783620299758,1.6008699343348534,1.6099596705489718,1.6097855976116322,1.6071834594402659,0.9789875726579683,0.9667919775133899,0.9603434679039882,1.3331240553862862,1.0098589208158266,1.2386778181412141,1.1064652281476546,1.214038864928634,1.1847432132326126,1.1925008769932879,1.4653117287697053,1.40742521397819
svhn,0.9963040336419053,0.9081469810679079,0.9230168540539491,0.9797882647521348,1.3735252432692748,1.6953438869172504,1.755464021295055,0.8347204248983864,1.8392075464099995,0.0,1.268315993388095,1.2703740097184217,1.013585745404646,0.9610333104179815,1.3385520308552306,1.4586082752469067,0.9733806569418789,0.9103033444252001,0.8211998363578565,0.871831739023593,0.8042571558462834,0.8055920930266043,0.8029802827575242,0.805200957557947,0.8059448768134041,0.8047342274720977,0.8046556944463835,1.3759713380497876,0.972424819596018,1.4830359580449262,1.6918083358055076,2.070873479111283,1.504002324984542,1.2157425895720606,1.233505544097896,1.2615762005376998,1.2052786347125377,1.2688248031409872,1.2044465295883005,1.205779234876916,1.2665251723777446,1.2453531215492752,1.2437884662449874,1.1943919520118864,1.2010147917709941,1.287778342872721,1.4275146450286496,1.5017422079959404,1.4222201796242901,1.766838875123656,1.8423565929437207,1.5039172215700016,1.0914359544886973,1.8475196181602647,1.8417814985767644,1.8469329230011013,1.843429659724235,1.0144464947520926,0.9930463534715069,0.9915781842843894,1.7331224172171273,2.237057523491659,1.450318192821577,1.1364076237890082,1.4127683271141849,1.147498215627498,1.386240481440011,1.2183255019044577,1.3535233680282317,1.5087065391841996,1.6891124218080253,1.0025325847667386,0.9693025535876673,0.9199712652065316,0.9748525162311997,1.7636385505081318,0.8312583146883441,,1.0181603034005269,1.3418826522926455,0.9749420460629894,0.9117807770284609,0.8216820877947774,0.8734328779934377,0.8035356463440853,0.8091033731079789,0.8057002213368248,0.8101733597380603,0.8078178163710531,0.8071647000432935,0.8079543648488099,0.977659150135934,1.690678337993951,1.4961711156877997,1.2226073538648068,1.2284197185367536,1.255231513756975,1.2013634197389262,1.2765166489932167,1.2138459086636693,1.1989483065518116,1.2620759604821985,1.2583946229097405,1.2482007534357005,1.1938591014232447,1.2001268379698802,1.2819985816232755,1.4272751446051413,1.4220325749252647,1.7408229307631626,1.8542294268444028,1.8386379730570939,1.8471632129618587,1.8460856173131142,1.8430437041110357,1.0074131934556754,0.9918934841049413,0.9925694402964726,1.4493008515315113,1.133769581908378,1.4143427149383674,1.1457616297810216,1.3895387510156982,1.2311308145282573,1.351160695124201,1.5108031792737708,1.6807214084438182
