,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.6312426035870952,0.6413924068456246,0.7572892676430609,0.9873020800530489,1.2666625580964068,1.4438266454622102,0.7311674749606333,1.9059941673654774,1.2529842993444908,1.3466189340194983,1.3209567137216054,1.0942440779720357,1.0604159057426223,1.163778625105221,1.2254011770663034,0.6371938125267532,0.593375785660314,0.6501653091736715,0.652111420859929,0.5046104729726208,0.5066383118922312,0.5050967534796947,0.5058994910424638,0.5069306558426152,0.5066067375571932,0.5049325686201728,1.0365163134624773,0.9186570029796854,1.2020663831963738,1.3732962107943394,1.4747520216310088,1.6680295428598102,1.2157485399231118,1.20200623221792,1.2411231155991587,1.194430440799989,1.248263164784952,1.1932298683965197,1.1828357835674277,1.2579839866487608,1.2481647776053284,1.2154309422338545,1.1654757897069843,1.2052100207361873,1.2737833400184084,1.6872008972891421,1.0833150350933392,1.6936604613665192,1.2390988513727106,1.6571339722048926,1.6460061935503645,1.2446494066814413,1.6641076986680865,1.6613880395705936,1.6669820414150136,1.6668034610371787,1.15832905288126,1.1297155210456122,1.1220246796401334,1.5079879220113659,2.1518349649649253,1.5051033332833486,1.0801410755001908,1.2820316932594698,1.3251835448288882,1.3083006214598905,1.217152001730552,1.3068185642121393,1.500566500978038,1.5423574099440729,0.6424057625596037,0.6542592671193003,0.6434671258580059,0.7622521932292257,1.4490366746966814,0.7282167607095752,1.2456976609383321,1.0957314123936854,1.1618772245220383,0.6356692462881429,0.5912085637431643,0.6557201657559737,0.650706513302991,0.5064526997960201,0.5071352179361821,0.5043231860951257,0.5126655740385091,0.5100314921407006,0.5057507640504806,0.5105628133956148,0.9257250299436028,1.3811828234791048,1.6564301816150382,1.2291760682548747,1.2030282867019206,1.2351456247613812,1.19824696512173,1.241061178753073,1.1922905985997274,1.1776240970887508,1.2505511512012368,1.2629017329125403,1.229682302247698,1.1643055616120512,1.2112703050468239,1.2760439642376675,1.6884068254931046,1.6957341046766599,1.2288458826962598,1.6611629204523404,1.6628100231969658,1.6651203679107973,1.6636354712891164,1.6632208736221132,1.1495387129887495,1.1357253466544668,1.126153408435542,1.5069901514068151,1.074815076596364,1.2812742909393302,1.3161242103183899,1.3102765555552334,1.220552990114812,1.29618622990785,1.502698346774152,1.532252951216146
lapgyn4_surgical_actions,0.644928772836724,0.0,0.6393591916877446,0.7524442032208457,0.9880632314628436,1.2676862028752,1.4445876182907849,0.7311214090237314,1.9089193366448474,1.253219009411638,1.3477224929813358,1.3219210073289889,1.0947794939638313,1.0611676115193185,1.163497237723919,1.2255518117633524,0.638329738265989,0.5945405669068695,0.650277466917747,0.6519867553346737,0.5037696953986766,0.5057638121848128,0.5042445530268874,0.5050673903402364,0.5060714102094728,0.5057689491361116,0.5040768664427924,1.0368793835210375,0.9169448922636094,1.2020370935670806,1.3746160429584613,1.476205502355731,1.6668164211706828,1.2155285990598708,1.2018449693924678,1.240765880775895,1.1942993197169018,1.2479908615288804,1.1930694778286082,1.1827049138044075,1.2576708743923424,1.2477946664825523,1.215133670242797,1.16533576529177,1.2049941331759777,1.273376961944667,1.6854092151925806,1.0833837341342796,1.6917141069001302,1.2403362056177805,1.6572820552387093,1.6442339951303413,1.2436740307672607,1.6642409768099886,1.6615338069085501,1.6670845041769413,1.6669139969335662,1.157056739026288,1.1288833269269145,1.1212545512505345,1.506317272634884,2.150371196729953,1.501757380213498,1.0788213908900084,1.2813303721040932,1.3222993110987251,1.3063022800852264,1.2157248014923903,1.3050619469227,1.4982717228603746,1.5425080219956142,0.6450030215669312,0.6511279182841153,0.641353182877079,0.7572932578109113,1.449795811867707,0.728157248705088,1.2459306124034575,1.0962794298028844,1.1616350139994256,0.6368495742472746,0.5923474421313228,0.6557712039339775,0.6506120659313709,0.505619554903628,0.5062786317399426,0.5034295655329772,0.5117889183244506,0.5090469653941511,0.504882815336287,0.5097278520813712,0.9238871381087101,1.3825130498770157,1.6552506123069508,1.2289347014407437,1.2027741726963133,1.2347810654824913,1.198022170936254,1.2407987257561122,1.192125413432925,1.1776021004645676,1.2502765695877014,1.2624930884264556,1.2294252405167296,1.1641489502540363,1.2109598453745307,1.2756071583717787,1.6864950580882279,1.6938282554808337,1.2300624024672575,1.6612967806410732,1.6629570542511536,1.6652581034349168,1.663753430836781,1.663360677690216,1.1482895638708055,1.1348828976811118,1.1253997325168834,1.5036773525344522,1.0735392943412116,1.2805121242802655,1.313294411481246,1.3083458550741973,1.2191263337784564,1.2945308815370087,1.5004088508461126,1.5324085556783769
lapgyn4_instrument_count,0.6458362208452898,0.6299690896892678,0.0,0.7519607399521773,0.9874486677742335,1.2669962901095047,1.443947384398207,0.7311179079895627,1.9071648284685574,1.2527053679926778,1.3466580473517513,1.3208490790950767,1.0942185600616048,1.0606232416103327,1.163520205892952,1.225161062548653,0.6382954260190602,0.5943860064356171,0.6506624421391032,0.6529378511202305,0.5033833912939688,0.5054038874797888,0.5038521596258693,0.5046791660578395,0.5056968861452109,0.505387129569478,0.5036887301239605,1.0365969277725608,0.9180538841649162,1.2036344230321272,1.3744565011968841,1.4748096845860945,1.6682485784252086,1.2168582485743542,1.203200335272586,1.242209072770321,1.1956152094038086,1.2494000057791703,1.1943806639541543,1.18401883246104,1.2590697655270067,1.2492817879958196,1.2164783494015772,1.1665522186003112,1.2063313155510649,1.2748336401916156,1.6867119462255575,1.0832456040648992,1.6931210768696094,1.2403946708358224,1.6556790318969112,1.6469900061477847,1.2448241980816515,1.662634616167243,1.6599465505585824,1.6654987521428823,1.6653092831126681,1.156421860706794,1.1285257652563945,1.1209254358241936,1.5081214485525873,2.1485395744933546,1.502767477039082,1.0791782115173518,1.2808582466175658,1.3239493830710314,1.3063305418030455,1.2162485406206038,1.3050522844897465,1.499873041923132,1.541042758592393,0.6459367718664528,0.6525289369977569,0.6404617981037987,0.7569682909101739,1.4491519684313323,0.7281729855436949,1.2454256674537258,1.095712186452146,1.1616119755575554,0.6367993198937268,0.5921844716843754,0.6561965582304725,0.6515641577470205,0.5052631457512872,0.5059148471820185,0.5030796953190266,0.5113614329513594,0.5086822152341578,0.5044812799883088,0.5093311318174122,0.9250687972961215,1.3823491438908837,1.6567057703631152,1.2303143336805018,1.2041703733661215,1.2362042099963186,1.1993720244615178,1.2421468080583769,1.1934146405657582,1.1788790246888952,1.2516647935694567,1.2640674571390969,1.2307954590952923,1.1653653734258689,1.212367982723799,1.2770875228893144,1.6878201351759528,1.6952411470592326,1.2301567024327769,1.6596830238917046,1.661351981320308,1.6636888281874724,1.6621538183550804,1.6617533147948276,1.1476750508197975,1.134501229234884,1.1250647112992613,1.5046525953101844,1.0738641719441109,1.280025554321901,1.3149745278013556,1.308335322696811,1.2195988044095312,1.2944946697193036,1.5019927365472499,1.5309928557059582
lapgyn4_anatomical_actions,0.6456815364777181,0.627850261670307,0.636709622599535,0.0,0.9882367103962743,1.2675257034113074,1.4441424125685534,0.7315940404269387,1.9080938691184213,1.2524613325664646,1.3470584637690433,1.3212483572217986,1.0945639494434056,1.0609535679897062,1.163070441230086,1.2252941488520268,0.6390351103125521,0.5950590129459492,0.6509442625428283,0.6531602893265288,0.5032911255541351,0.5053164733329831,0.5037503177723063,0.5045933301488651,0.5056024788132438,0.5053026421887973,0.5035915461456327,1.0367670766620922,0.9167237971237154,1.2040667764254578,1.376015274788662,1.4759820487304178,1.6675219529429448,1.2169547686597715,1.203166264761356,1.2420669394585573,1.1958270601031127,1.2491987011780363,1.1944737854408323,1.1841956151249615,1.258960303456865,1.2491964905029844,1.2164263021943342,1.16676549749422,1.2062472761175629,1.2745657622799271,1.6874954217799565,1.083142050839559,1.6938225716544275,1.2404349825479406,1.6577912857514123,1.6465723867997564,1.2456556622326613,1.6647559500643554,1.6620666975479625,1.6676124711464269,1.6674275726261256,1.1574942342623475,1.1296881864108181,1.1220871770673033,1.5082234514391748,2.150326249215487,1.502996126946031,1.079281204973404,1.2814480965912447,1.3235167710490703,1.3065865015377922,1.2157745109361084,1.30561619741369,1.4978971806167625,1.542826784669698,0.6457592591674162,0.6504490274079239,0.6387044210868473,0.7504526265241052,1.449372702869697,0.728647783546576,1.2452157194932523,1.0960705058036568,1.1612061391290724,0.6375243874752893,0.5928676478060182,0.6564734459934136,0.6517969108189625,0.5052015131266221,0.5058378263162463,0.5029945932670126,0.5113140782858934,0.5084799881970754,0.504370111578856,0.5092402385139787,0.9236706746002209,1.383933661430179,1.6560570015310496,1.2303581179024565,1.2041363560487706,1.236102839247067,1.1995890920565242,1.2419229098428235,1.1934847348533535,1.1790705640970283,1.2515734423096596,1.263924589859428,1.2307765868995855,1.165607245764451,1.2122289304482778,1.2768328173237071,1.6885635944438437,1.6959493994601984,1.2301913580638475,1.661792898828952,1.6634834762671342,1.6658015321685655,1.6642737192987873,1.6638745119971763,1.1487403796618627,1.1356775755141615,1.1262269424646916,1.5049102354809039,1.0739539036720813,1.2806081793934414,1.314557095423528,1.308650348298631,1.219142617082712,1.2950341152826883,1.5000178693877033,1.532761347865505
sklin2_skin_lesions,0.6491410569318415,0.636182134988959,0.6446954242887364,0.7618465276936891,0.0,1.2615070995113258,1.4365433855567487,0.7295022963001411,1.898864891588773,1.2495099701595662,1.3411806443133851,1.3152792748320912,1.0911631422909125,1.0566700201880468,1.1618933693452398,1.2214584440080867,0.6342612758517712,0.5916305325013728,0.6496147613171189,0.6529554713609469,0.5050814895214083,0.5071237355501587,0.5055953349486589,0.5063768372955717,0.507453145859631,0.507153634442558,0.5054675828045158,1.0154782118790784,0.9167433859729482,1.1906067572381873,1.363415123450457,1.4490328276199373,1.658314088347064,1.2152146768295518,1.201568773235533,1.2409005389717076,1.193783678665366,1.2480347180817382,1.192523006234774,1.1819673706842566,1.2580411215137801,1.2484727363440953,1.214998279489784,1.1639093692528857,1.205196469546136,1.2738234040644967,1.689550672182055,1.0579074598031928,1.6960454425655194,1.2135260390568037,1.6316689190356286,1.6492350224283836,1.2411989107738133,1.6387096182805057,1.6359527329920147,1.641441520411247,1.6412742712362316,1.1489555779176917,1.1188710484758302,1.1113598897446888,1.5007746494989824,2.1263653726693788,1.5025549131092086,1.076580200373966,1.2767059484392949,1.3257152955170657,1.304752965992892,1.2149405524464525,1.301799979994045,1.4936874903951765,1.5172642949212427,0.6492200235928981,0.659147556901703,0.6470535986486592,0.7670097492454944,1.44168259216336,0.7265368170507128,1.2421878249586797,1.0926333460958684,1.1599929138905039,0.632925877077864,0.58933734195951,0.6551928560090668,0.6516366173960721,0.5068447099318664,0.5076604838550264,0.5048636462116458,0.513092164066322,0.51070530201935,0.5062558948725319,0.5109339155705788,0.9240152146646157,1.3711345979591516,1.646773232043481,1.2288642476311293,1.202758769078144,1.2349065319763342,1.1976131667300645,1.2406584892067491,1.1916447441652598,1.1767312148112588,1.250527767476591,1.2633795650464923,1.229451700791661,1.1626780824247918,1.2114772473534494,1.2762228959213768,1.6906993434394904,1.698190376501902,1.2037291804914045,1.6356118689492387,1.637233788340256,1.6398640534840438,1.638040699455706,1.6376337311476798,1.1402237847791044,1.1248420658813505,1.1154647948330187,1.504450384902008,1.0712949608127262,1.2761428375746788,1.3166310844679556,1.3066100506840441,1.2182424094650444,1.2910404811377971,1.4957493604949705,1.5073403800100902
identify_nbi_infframes,0.6456938948627007,0.6330384738041265,0.6413308077221085,0.759264970296756,0.9817028342285468,0.0,1.4185577816078323,0.729249474881312,1.8746609114904158,1.2360515731567032,1.323791917609571,1.2987478048793575,1.081633823855632,1.046530734733697,1.1550560402766223,1.2138971928241127,0.6340540689724067,0.5910975537480749,0.6490249317290848,0.6504810049056221,0.503164745555852,0.5053318275325511,0.503660833979498,0.5044004407352196,0.505537925135228,0.5051680629798538,0.5036303811703702,1.026562835822752,0.9141298864475156,1.1898664046343614,1.3612269484689865,1.4630800858120874,1.6605468567961703,1.20954975548637,1.1948964686725636,1.234075896618998,1.1885600834907586,1.240836336976512,1.1869270544197488,1.1766191598063223,1.25083290617426,1.2420061055106058,1.2085106328812594,1.159218840689,1.1988088466349096,1.2666076877594994,1.6865570306404931,1.0744411156476465,1.693272949876987,1.2258533742087416,1.6514973651269915,1.647159356115171,1.2430433342899345,1.6584019041283138,1.6558006791505477,1.6613809210212098,1.6612341255975767,1.156836318559448,1.1278080690363699,1.1201591662475925,1.4892594682221019,2.146752111780684,1.4989975544185337,1.0743458938312982,1.2730958373845815,1.3217002657537673,1.300487667789829,1.210697601940649,1.2994907723892377,1.494862845800312,1.5370698790818045,0.6457354409002932,0.6553821748643693,0.6437131787769782,0.7645303478264556,1.4237731970223737,0.7262324452023273,1.2293080904650768,1.08319374774206,1.152951877729649,0.6325145565464604,0.5887203694486668,0.6546279300176266,0.6490851013194866,0.5049516577781981,0.5055200802828381,0.502981382232872,0.5113419462396298,0.5088027666280981,0.504424657450456,0.5089748970266931,0.921533506693485,1.3692949511136925,1.6489510840584471,1.2228973318096676,1.196267486476866,1.228221350653842,1.1928303364991635,1.2332339457252977,1.185812093835856,1.171118194332281,1.2433487726270136,1.2567848284052596,1.2227218769128938,1.158180581238509,1.20495626203283,1.2690883329733942,1.6878339961105577,1.6953447383908173,1.2158759716875873,1.6554393295447183,1.6571677645584173,1.6595459282786997,1.6579232270524218,1.6576241607530378,1.1481515172630856,1.1336779724505732,1.1241314677763228,1.5010231162382737,1.0689127642978198,1.2725608693995991,1.3126139575348885,1.3023601219751233,1.2138225411673051,1.2886790529419907,1.4969795869289395,1.52692976320991
laryngeal_tissues,0.6461764570691202,0.6337833967420791,0.6414433950485527,0.7599054022602064,0.9780627697429077,1.2289713400379116,0.0,0.7301201548319428,1.8636617457755007,1.223115611476895,1.3157391399614125,1.2914360112890686,1.0725399341519568,1.0371912731309403,1.153168542084974,1.211860529248082,0.6347239521246966,0.5915359897760087,0.64966196168824,0.6528412127611868,0.5036896058249292,0.5058968818321862,0.5041749139341455,0.5049085695446989,0.5060551908520455,0.505682147146946,0.504144537218675,1.0213313929486874,0.9150561830899688,1.1935471298486944,1.3602020081002615,1.4549992690097995,1.6623724994642601,1.216470686936372,1.2021240623673293,1.2410552386252636,1.1953852090533297,1.2480789989181567,1.193820392916884,1.18349787845082,1.2580499023838363,1.2488902605352314,1.2153767117344239,1.16612797491685,1.2056576575469689,1.2735879758944149,1.6861989664104418,1.0714293333504035,1.6930552023254288,1.2168397559363566,1.6487605610234817,1.6522498619903025,1.244642297519603,1.6556923520789462,1.6529900107763988,1.6585778250148582,1.6584748295634133,1.1560372701896107,1.1270788578466735,1.1194830872264487,1.4886824597598576,2.1425591628234946,1.4943582307105014,1.0750190100109054,1.2744840346726858,1.3238727340302165,1.300305882461894,1.2099639526752604,1.2964379927270218,1.4939921291712575,1.5360606565432413,0.646208534450985,0.6566220885672894,0.6439169648950779,0.7651069839567614,1.3881926621136156,0.727119401548995,1.2165323639056,1.0739478348095501,1.1510084146354669,0.6332211313744986,0.5891697874559672,0.6553155578884683,0.6514288303883389,0.5054794579533826,0.5060343642379507,0.5035201064365844,0.5118903060885753,0.5093223795200429,0.5049135189951434,0.5095174506717113,0.9226968537999972,1.3683317997546982,1.650780613346054,1.230113548720536,1.2034589101334396,1.235151310802631,1.1995096326824486,1.240593082147967,1.1927881969732244,1.1781086408010153,1.2506766482857716,1.263763420135576,1.2297591195111122,1.1650099365756525,1.211858592864704,1.2761240600946997,1.6874926114592124,1.6951221348174497,1.2073472445358766,1.652732461933211,1.654444352888139,1.6567970137542247,1.655072939345656,1.6549303553625152,1.1473041797080652,1.1330658704518752,1.1234246339345488,1.4962433336418428,1.0697205098107423,1.2738519941730824,1.3149019907849275,1.3019607655951964,1.2131693515323139,1.285879038223595,1.4961018581434449,1.5259256387725502
nerthus_bowel_cleansing_quality,0.6509912109152771,0.637248472334238,0.6466167609604913,0.763450786308124,0.9872718901883952,1.2692255267501609,1.4457848176958716,0.0,1.9119735015155803,1.2530691762647899,1.3495577199371973,1.3233862538444652,1.095365620898626,1.0617113308939885,1.1643735303108136,1.2249818427385908,0.6355386351535554,0.5910099243751084,0.6409814987696195,0.6471292900905941,0.5056780043212727,0.5076528235497245,0.5061376302710517,0.5069951016645773,0.5080211419699898,0.507713374787454,0.5060273887495442,1.0361917500010602,0.9102367597306391,1.2024305875964918,1.375144117856158,1.4760887042626414,1.6588712510475008,1.2162000500546775,1.2013829534837102,1.2400463372307142,1.1946970663776806,1.2469876168954424,1.1934107356347177,1.1828167173072408,1.2570192940536304,1.2479067150646,1.2146207936784958,1.1653455185731405,1.2055703679071563,1.2724616899034915,1.6858287535075869,1.0828652489335195,1.691993408587788,1.2407615543322923,1.6449515943019744,1.6487411053793184,1.2374379764296586,1.6516600464043494,1.6491294667333076,1.6546859806000247,1.6543999095454185,1.1448963382187376,1.1163615088674304,1.108519859074729,1.5062118718957966,2.136690838035859,1.501290492812568,1.0751416285261173,1.2749364565141743,1.3228573041473497,1.3041706355686709,1.2140649285376954,1.302231523989997,1.5041411896718024,1.5307724305856667,0.6510703888665186,0.660582811763248,0.6488475427136262,0.7685132800802463,1.4510369718892515,0.7102370419995218,1.2457137000863125,1.0967548798540339,1.1625982064024005,0.6340505453689926,0.5891121185094432,0.6463760595152684,0.6458048726286414,0.5074812554608785,0.5082775783371702,0.5053969553123434,0.513683673628262,0.5111420052958047,0.5068626129644721,0.5114990384866256,0.9171864923627249,1.3829881968430133,1.6473845269794487,1.2295440101993107,1.202497076471499,1.2341846904350273,1.1984215276835146,1.2397764634739776,1.192419761840128,1.1776726029905338,1.2496379174632537,1.2626958119275413,1.2288865275575376,1.164190425825787,1.2116419041760051,1.2748059394737723,1.6868520477158842,1.6940348316548564,1.2304941605498614,1.6490124433728295,1.6504320534797063,1.6526217961069922,1.6513315972724205,1.6508657152587063,1.1362248203516012,1.1221622690377158,1.1125062740126768,1.5030776701568984,1.069767622099938,1.2742483429508307,1.3139251815110156,1.3061070546474352,1.2173365993502232,1.2914689801600074,1.5062355913715744,1.5206872466127397
stanford_dogs_image_categorization,0.6452442428753664,0.6323578847629445,0.6404548126326435,0.7575545594700587,0.97810297513152,1.2425093777607543,1.4240284834325212,0.7284176864886194,0.0,1.2381695896410225,1.3110755098994744,1.2866830082247969,1.0700142916549678,1.0386980520428335,1.1514336133121084,1.2121781681068982,0.6337807230707765,0.5909009610056014,0.6480976910701851,0.6508607531182398,0.5031912133755831,0.5053271779016785,0.5036951141348864,0.5044356469463899,0.5055359941509134,0.5052078943819295,0.5036110277683545,1.024728851535703,0.912927246840666,1.189045952292924,1.3559946814750683,1.4562415779060478,1.65119680012164,1.2108091133402263,1.1964201900153355,1.235087012260739,1.1897729944510909,1.2421213223753638,1.188299156427808,1.1778945606577527,1.2518847354668825,1.2426579166227967,1.2096890531120623,1.1608494250637966,1.1996159363924275,1.2674559442163533,1.6784942163410295,1.0726765612525533,1.6851298537475357,1.226100358897809,1.6460206595627114,1.641810471647883,1.234530068786662,1.6530025734538933,1.6503618391818695,1.6558585531502554,1.6557564724552798,1.1519321678242906,1.1227893797578299,1.1151802233426964,1.489329745881916,2.1366375434432108,1.4916963610106373,1.0715054058212863,1.2694082530351982,1.3180657841676775,1.2955561433621385,1.2054844114469354,1.2945199472450624,1.4808921218376856,1.5316231209397464,0.6452406766141855,0.655090819557632,0.642898455843896,0.7627801191692407,1.429153464076641,0.7254683469568342,1.2310294667164763,1.0718280733192351,1.1495318761713913,0.6322803142414718,0.5885570056899182,0.6536159579793008,0.6495100603210694,0.5050388746991095,0.5056133052627274,0.5030183572803708,0.5113193941172214,0.5087795863568448,0.5044558866512936,0.5089713817587022,0.9203057057503039,1.3638575735442613,1.6400608161515757,1.224315449184121,1.197550861738359,1.2292254575528627,1.1937764906650163,1.2347858351510996,1.1873015950981423,1.1726826633942764,1.244506153776682,1.25741041536003,1.2239178177053305,1.1597049630506984,1.2056031776068172,1.269882328629485,1.6796856831962905,1.687279844738306,1.2163805452706355,1.649908477188756,1.6517593289686283,1.6541692062620093,1.6524902375888815,1.652135697249023,1.1433353085983637,1.1288262886129663,1.119244825223784,1.4936782812112266,1.0660686860019688,1.2687287435010162,1.3091784805783082,1.2974219094385662,1.208770887771683,1.2838014317771065,1.4828889038940352,1.5216150661905736
svhn,0.6490084697706269,0.6358549256251286,0.6440330599694483,0.7616841020291355,0.9834325635343046,1.2416795654211348,1.4142193158984493,0.7302539340692462,1.8808778534888433,0.0,1.3248699949910951,1.300496743031662,1.068622182729292,1.0345555831232787,1.1519126403591604,1.210408292907382,0.6369956563174264,0.5931970032831941,0.6502739809495817,0.6528564553188917,0.5050752273965975,0.5072211813733615,0.5055648125971709,0.5063225388091853,0.5074625061868873,0.507123374890783,0.50551814079207,1.0293904492293149,0.9154405425582679,1.1955953250211002,1.3660918596521723,1.4675914457984605,1.6652716005948847,1.2157090828697465,1.2018222499811009,1.2408258108535335,1.1945459714834132,1.247975167234227,1.193228006333967,1.182904878620105,1.257676015434614,1.248137273099793,1.2150258082378615,1.165285247807306,1.2048192302827871,1.2733588300379195,1.6864016052431388,1.0772494673128183,1.6930981718115716,1.2289222767577155,1.654693658264536,1.6504330661283615,1.2435258675224852,1.6616754272947634,1.6589935707878716,1.6645837559978314,1.6644593708806261,1.155345631884491,1.1261752860950138,1.1186522193826571,1.5006341849410185,2.1492023500843955,1.4944701818109078,1.0762816860048607,1.2748048886581034,1.3230354865592402,1.3009964890771841,1.208694975038537,1.2970910789744883,1.4976561822807017,1.5393906388292102,0.6490529537407999,0.6587141069475134,0.6464053472071548,0.7668108676002028,1.4194532823635921,0.7272756531528946,1.1938541659402635,1.0699215704278138,1.1500652194579466,0.6355127459116893,0.5908734754751351,0.6558651131121019,0.6515267330598759,0.5069105697323795,0.5074697631349248,0.5048978503714364,0.513268330302642,0.5106737371075669,0.506325934525787,0.5109301717774359,0.9228736747856539,1.3741124325633038,1.65376821652166,1.2292556668273926,1.2029663038839709,1.2348376142823079,1.1984904575466184,1.2404831594417352,1.1920887415593662,1.1776359541185355,1.2503590866532637,1.2629427343483661,1.2294076342259468,1.1642056793261604,1.2109001788358615,1.2757645601573562,1.6876965701418583,1.6951516702909177,1.2191735865273572,1.6586501177247983,1.6603836758376371,1.6627837927721798,1.6611471823397888,1.6608147545277259,1.1465734923387019,1.1321250349841165,1.1226326605367754,1.49634679019245,1.0709496086336294,1.2741733752062883,1.3141063049404214,1.3027126686220187,1.211864239065044,1.2865395866729588,1.499748756865414,1.5293215475220723
