,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0017847288399934769,0.001929792808368802,0.0021908723283559084,0.004096920136362314,0.005707099102437496,0.016990887001156807,0.0022165104746818542,0.0035093671176582575,0.011291027069091797,0.0018149452516809106,0.0015364328864961863,0.0031402825843542814,0.003424915950745344,0.010961142368614674,0.012510078959167004,0.0022865741048008204,0.002099706558510661,0.0020658879075199366,0.00156065309420228,0.001626014243811369,0.001629007514566183,0.0016242448473349214,0.0016336132539436221,0.0016212542541325092,0.0016260623233392835,0.00162432377692312,0.0043312665075063705,0.002344454638659954,0.0033536641858518124,0.007357780355960131,0.009655261412262917,0.005863912869244814,0.0025187942665070295,0.0026021350640803576,0.0027433268260210752,0.002488490426912904,0.0028039414901286364,0.002483916934579611,0.0024693026207387447,0.002808347577229142,0.00267171673476696,0.0026511740870773792,0.0024576380383223295,0.002596986712887883,0.0028783241286873817,0.0038668455090373755,0.005163044668734074,0.0037321471609175205,0.00795396976172924,0.0076361969113349915,0.0031823227182030678,0.0026566411834210157,0.007677177898585796,0.007623128592967987,0.007648184429854155,0.007640534080564976,0.003633876098319888,0.0034617914352566004,0.0034600235521793365,0.0068285404704511166,0.00886598788201809,0.003674529492855072,0.002370880451053381,0.003635284723713994,0.0029440962243825197,0.003331327112391591,0.0029681266751140356,0.003190333256497979,0.005263039842247963,0.005812942516058683,,0.0019008369417861104,0.0019386648200452328,0.00216096849180758,0.01698933355510235,0.0022128478158265352,0.010993985459208488,0.003206568770110607,0.011007922701537609,0.0023054012563079596,0.0020856522023677826,0.0020638741552829742,0.001567946164868772,0.0016158143989741802,0.0016514944145455956,0.0016283652512356639,0.0016450283583253622,0.0016338193090632558,0.0016357358545064926,0.0016339964931830764,0.0023292223922908306,0.007346326485276222,0.005824096966534853,0.002552302088588476,0.0025769544299691916,0.002720533637329936,0.002451421460136771,0.0028337619733065367,0.002502608811482787,0.0024869877379387617,0.0027827792800962925,0.0027042455039918423,0.0026996484957635403,0.0024217083118855953,0.002554488368332386,0.0028546140529215336,0.003828352317214012,0.003766245674341917,0.00781749002635479,0.007668547332286835,0.00762963155284524,0.007647342048585415,0.007660977076739073,0.007664958015084267,0.0036011217162013054,0.003475167788565159,0.0034940773621201515,0.0037066598888486624,0.002338550752028823,0.0036024877335876226,0.002949389396235347,0.0033306400291621685,0.003005787031725049,0.0031925749499350786,0.005256014410406351,0.005741713102906942
lapgyn4_surgical_actions,0.002346556866541505,0.0,0.001874255482107401,0.0020805036183446646,0.004206656012684107,0.00582463201135397,0.017236998304724693,0.0022362221498042345,0.0036472706124186516,0.011409569531679153,0.0018355862703174353,0.0015494627878069878,0.003189806593582034,0.0034807599149644375,0.010995573364198208,0.012557271867990494,0.002397376811131835,0.0021904166787862778,0.0021119320299476385,0.001577111892402172,0.0016019486356526613,0.0016043897485360503,0.0015997901791706681,0.0016099836211651564,0.0015973354456946254,0.0016023281496018171,0.0016003738855943084,0.004398965276777744,0.002310524694621563,0.0034462930634617805,0.007506583817303181,0.009968777187168598,0.005904806312173605,0.0025431953836232424,0.002625443506985903,0.00276422337628901,0.0025127867702394724,0.0028258077800273895,0.002507682889699936,0.0024927007034420967,0.0028323724400252104,0.002693384187296033,0.0026722843758761883,0.002479677787050605,0.0026258265133947134,0.0028997869230806828,0.003915851470082998,0.005287468433380127,0.003775646910071373,0.008149104192852974,0.007721845526248217,0.0032026898115873337,0.0026623292360454798,0.007762836292386055,0.007708193734288216,0.007732631638646126,0.007725259754806757,0.003599468618631363,0.0034481980837881565,0.0034501776099205017,0.006865597330033779,0.00892957765609026,0.003631260944530368,0.002360244747251272,0.0036304467357695103,0.0029007226694375277,0.003293546149507165,0.0029393350705504417,0.0031605337280780077,0.005352671258151531,0.005873404443264008,0.002356287557631731,,0.0018816357478499413,0.002048582537099719,0.017234589904546738,0.002233017235994339,0.011107975617051125,0.0032568546012043953,0.011041692458093166,0.002419839147478342,0.0021748999133706093,0.002107962965965271,0.0015857521211728454,0.0015919717261567712,0.0016273093642666936,0.0016031803097575903,0.0016208909219130874,0.001606196747161448,0.001612171996384859,0.0016093882732093334,0.002292294055223465,0.00749500747770071,0.005864868871867657,0.002576013095676899,0.0025987159460783005,0.002739524934440851,0.0024728148709982634,0.002857551211491227,0.0025266585871577263,0.0025127793196588755,0.002806432079523802,0.0027247616089880466,0.002722191158682108,0.0024425226729363203,0.002580697415396571,0.0028754742816090584,0.003874638117849827,0.0038111964240670204,0.008008566685020924,0.007753943558782339,0.007714560255408287,0.007732619531452656,0.0077463192865252495,0.0077507453970611095,0.0035667838528752327,0.0034610291477292776,0.0034829284995794296,0.0036636393051594496,0.002327282913029194,0.003593563800677657,0.0029061762616038322,0.0032945172861218452,0.002978089964017272,0.0031648932490497828,0.005345375742763281,0.005801991559565067
lapgyn4_instrument_count,0.0023782500065863132,0.0017593514639884233,0.0,0.002069162903353572,0.004130725283175707,0.005775263532996178,0.01708845980465412,0.002245982876047492,0.003583022626116872,0.01127609796822071,0.00178087770473212,0.001492682029493153,0.003146317321807146,0.003431751625612378,0.010851218365132809,0.012384938076138496,0.0023949097376316786,0.002176714828237891,0.0021389704197645187,0.0016105461400002241,0.0015845028683543205,0.0015874174423515797,0.0015823571011424065,0.0015920198056846857,0.0015804251888766885,0.001585564692504704,0.0015829748008400202,0.004378356039524078,0.002330935327336192,0.003470546333119273,0.007410307414829731,0.009893561713397503,0.005880498792976141,0.0025635254569351673,0.0026530639734119177,0.0027957886923104525,0.002534023951739073,0.0028580729849636555,0.002529494697228074,0.0025151213631033897,0.002862181281670928,0.0027216614689677954,0.0026992002967745066,0.0024981468450278044,0.002647438319399953,0.0029317005537450314,0.003904517972841859,0.005264931358397007,0.003767696674913168,0.008128330111503601,0.00758641492575407,0.003236999735236168,0.00265373638831079,0.007626992650330067,0.007573305629193783,0.007597637362778187,0.007590288296341896,0.0035252762027084827,0.003387518459931016,0.0033908740151673555,0.0068840025924146175,0.008788264356553555,0.0035878694616258144,0.002335767960175872,0.003547907806932926,0.0028924739453941584,0.003225196385756135,0.002889906521886587,0.0030963998287916183,0.005348271690309048,0.005758713465183973,0.002387162297964096,0.0018617016030475497,,0.002040283055976033,0.01708587072789669,0.002243319759145379,0.010977472178637981,0.003212555078789592,0.0108957439661026,0.0024169774260371923,0.002160286298021674,0.0021347205620259047,0.0016194010386243463,0.0015753323677927256,0.0016097859479486942,0.0015874934615567327,0.0016027097590267658,0.0015882118605077267,0.0015947488136589527,0.00158949033357203,0.002314799465239048,0.0073994481936097145,0.005840687546879053,0.0025982779916375875,0.0026273189578205347,0.002770388964563608,0.0024954432155936956,0.0028874408453702927,0.002548256190493703,0.0025335580576211214,0.0028365878388285637,0.0027551823295652866,0.0027498581912368536,0.002461161930114031,0.002603955566883087,0.002907335292547941,0.0038650487549602985,0.003803056199103594,0.0079911844804883,0.007618231233209372,0.0075793033465743065,0.0075978729873895645,0.007611279375851154,0.007615302689373493,0.0034938696771860123,0.0033998603466898203,0.0034230186138302088,0.0036193334963172674,0.002301506930962205,0.003511186456307769,0.0028983191587030888,0.0032255544792860746,0.002926985500380397,0.0030994925182312727,0.00534056918695569,0.00568914320319891
lapgyn4_anatomical_actions,0.002375541953369975,0.0017077780794352293,0.0018078304128721356,0.0,0.004232519771903753,0.005882762838155031,0.01725759170949459,0.0023122134152799845,0.0036476317327469587,0.011392696760594845,0.0018060128204524517,0.0015209834091365337,0.0031916778534650803,0.0034810183569788933,0.010936248116195202,0.012491036206483841,0.0024923402816057205,0.002254318678751588,0.002198228845372796,0.0016499783378094435,0.0016008135862648487,0.0016041869530454278,0.001598041271790862,0.0016083931550383568,0.001596288406290114,0.001601686468347907,0.001598773174919188,0.004455314017832279,0.0023416313342750072,0.0035439678467810154,0.0075548929162323475,0.010096428915858269,0.005955398548394442,0.0026153577491641045,0.0027048259507864714,0.002845303388312459,0.002587258815765381,0.00290829804725945,0.0025813765823841095,0.002568666124716401,0.002913183532655239,0.002770023886114359,0.0027494998648762703,0.002551032928749919,0.0026971951592713594,0.0029793845023959875,0.003959923051297665,0.005367849953472614,0.0038202633149921894,0.008268176577985287,0.0077527668327093124,0.0032739839516580105,0.0027085752226412296,0.007794506382197142,0.007739817723631859,0.00776387844234705,0.007757049985229969,0.0035990308970212936,0.0034702441189438105,0.003475511446595192,0.006947928573936224,0.008948828093707561,0.0036394044291228056,0.002389691537246108,0.003621653188019991,0.0029182934667915106,0.0032793486025184393,0.0029243319295346737,0.0031558764167129993,0.00541180232539773,0.005880439188331366,0.002383993472903967,0.0018139677122235298,0.0018185615772381425,,0.017255378887057304,0.002309693954885006,0.011091470718383789,0.0032596278470009565,0.01098002027720213,0.0025145811960101128,0.0022380496375262737,0.002193646039813757,0.001659246627241373,0.0015932731330394745,0.0016259871190413833,0.00160406029317528,0.0016202069818973541,0.0016011613188311458,0.0016105115646496415,0.0016067042015492916,0.002323957160115242,0.007544356863945723,0.005916538182646036,0.0026489889714866877,0.002678247168660164,0.002819949295371771,0.0025473572313785553,0.0029381969943642616,0.002600165084004402,0.0025874886196106672,0.0028875423595309258,0.00280181597918272,0.00280062691308558,0.0025142726954072714,0.0026516737416386604,0.0029549889732152224,0.00391923263669014,0.0038557671941816807,0.008129958994686604,0.007784482091665268,0.007746047805994749,0.007764732930809259,0.007777757942676544,0.00778249092400074,0.003566958010196686,0.0034831902012228966,0.003506980137899518,0.003671520622447133,0.0023547739256173372,0.0035828889813274145,0.002924336353316903,0.003280927427113056,0.0029623371083289385,0.003159460611641407,0.005403731483966112,0.005810256116092205
sklin2_skin_lesions,0.0030560919549316168,0.002461796160787344,0.0025447483640164137,0.002852178644388914,0.0,0.005560112185776234,0.01600056141614914,0.0023929658345878124,0.003420224180445075,0.010738956741988659,0.0017402197699993849,0.0014161912258714437,0.003059829119592905,0.0033135893754661083,0.010450854897499084,0.011832352727651596,0.0025208760052919388,0.002332840347662568,0.0023568058386445045,0.0018221843056380749,0.001974391983821988,0.001974646234884858,0.001973358215764165,0.0019832290709018707,0.001971706049516797,0.0019779950380325317,0.0019734713714569807,0.0034894340205937624,0.0024325991980731487,0.003141037654131651,0.006905918940901756,0.008333382196724415,0.005488122347742319,0.0025962432846426964,0.0026913508772850037,0.002831436460837722,0.0025696188677102327,0.002891938667744398,0.0025622143875807524,0.0025455213617533445,0.002896792721003294,0.002766241552308202,0.002730888081714511,0.002518825000151992,0.002683399012312293,0.0029639843851327896,0.004014810547232628,0.004237400367856026,0.003878363873809576,0.0067854346707463264,0.006670042406767607,0.0033585671335458755,0.002538623521104455,0.0067123048938810825,0.006659084931015968,0.006678819190710783,0.006675771903246641,0.003441037144511938,0.0032436472829431295,0.0032469755969941616,0.006423118058592081,0.007857369258999825,0.003505534725263715,0.002327600959688425,0.0034756844397634268,0.002949112094938755,0.003174613229930401,0.002849025884643197,0.002982186386361718,0.004966876469552517,0.004969779402017593,0.0030630254186689854,0.0025832585524767637,0.0025721387937664986,0.0028151795268058777,0.01600073277950287,0.0023883283138275146,0.010459043085575104,0.0031237138900905848,0.010495869442820549,0.002549141412600875,0.0023130648769438267,0.0023497554939240217,0.0018387578893452883,0.0019576826598495245,0.0020079254172742367,0.001984827220439911,0.001985357142984867,0.0019856321159750223,0.001990335760638118,0.0019652913324534893,0.0024283742532134056,0.006899328902363777,0.005451161880046129,0.002634952310472727,0.002674852032214403,0.0028046597726643085,0.0025342891458421946,0.002912611700594425,0.0025774927344173193,0.0025605293922126293,0.0028728358447551727,0.0027994420379400253,0.0027829234022647142,0.002484104363247752,0.002646273234859109,0.00294266315177083,0.00397526053711772,0.003912535961717367,0.00668325973674655,0.006699976045638323,0.006662941072136164,0.00668832752853632,0.006690992508083582,0.006696079391986132,0.0034099388867616653,0.0032530014868825674,0.003279300406575203,0.0035340238828212023,0.0022926595993340015,0.0034464988857507706,0.0029571468476206064,0.003172019263729453,0.0028821055311709642,0.002980691147968173,0.004957244265824556,0.004905819892883301
identify_nbi_infframes,0.002955283038318157,0.0023491419851779938,0.0024814021307975054,0.0027725105173885822,0.0040053981356322765,0.0,0.015093041583895683,0.0024412532802671194,0.003293093526735902,0.010088536888360977,0.0017489069141447544,0.0014329323312267661,0.002963446546345949,0.0032052297610789537,0.010054755955934525,0.011404155753552914,0.0025894620921462774,0.0023930843453854322,0.0023599634878337383,0.0017940212273970246,0.001964529976248741,0.0019665176514536142,0.001963313901796937,0.0019726913888007402,0.0019617665093392134,0.0019669756293296814,0.001967016374692321,0.0041024349629879,0.002413400448858738,0.0031510996632277966,0.006900445558130741,0.009262817911803722,0.005696669686585665,0.00255408207885921,0.0026039963122457266,0.0027292417362332344,0.0025321554858237505,0.002778689842671156,0.0025168636348098516,0.0025022774934768677,0.0027841965202242136,0.0026842383667826653,0.00264794216491282,0.002494160085916519,0.002602937165647745,0.002849652897566557,0.003951892722398043,0.004938175901770592,0.0038278019055724144,0.007365393452346325,0.0072820670902729034,0.003382032737135887,0.002659236080944538,0.007316289935261011,0.0072689661756157875,0.007288969121873379,0.007283602841198444,0.0037485642824321985,0.0035432500299066305,0.003544007195159793,0.006086739711463451,0.008369396440684795,0.003493388881906867,0.0023365109227597713,0.003475644625723362,0.0029321073088794947,0.0031598734203726053,0.002830331679433584,0.0030377383809536695,0.005199017468839884,0.005631888285279274,0.0029627191834151745,0.002452652668580413,0.002498692600056529,0.002740532625466585,0.015089519321918488,0.0024364611599594355,0.009842506609857082,0.0030239408370107412,0.010093582794070244,0.00261036423034966,0.002372131682932377,0.002356252633035183,0.0018090498633682728,0.001948038931004703,0.0019942065700888634,0.0019752467051148415,0.001982587855309248,0.0019764115568250418,0.001984406029805541,0.0019597664941102266,0.002405045786872506,0.006900358479470015,0.005656872410327196,0.0025820487644523382,0.00258919270709157,0.0027098245918750763,0.0025048237293958664,0.0027957826387137175,0.002526662079617381,0.0025158508215099573,0.002764323493465781,0.00271228258498013,0.0026961250696331263,0.0024660315830260515,0.0025669189635664225,0.002831818535923958,0.003913871478289366,0.0038604869041591883,0.007255104370415211,0.007310586515814066,0.007275283336639404,0.007288026623427868,0.007300048600882292,0.007309117820113897,0.0037182685919106007,0.0035486454144120216,0.0035775196738541126,0.0035241455771028996,0.0023033737670630217,0.0034504213836044073,0.002936622826382518,0.003159584477543831,0.002858503255993128,0.003037754213437438,0.005190643947571516,0.005561734549701214
laryngeal_tissues,0.0032977082300931215,0.00263818702660501,0.00276939757168293,0.0030424047727137804,0.004108761437237263,0.005146616604179144,0.0,0.0026800294872373343,0.0032205611933022738,0.007172079756855965,0.001669527031481266,0.0014409780269488692,0.0019060993799939752,0.0020032450556755066,0.008721857331693172,0.009897386655211449,0.002994559472426772,0.0027431801427155733,0.0026232819072902203,0.0020509425085037947,0.002293977653607726,0.002296915277838707,0.002292757388204336,0.002303485758602619,0.002290865872055292,0.0022967946715652943,0.002295671496540308,0.0041037434712052345,0.0026192639488726854,0.0033806408755481243,0.006893795449286699,0.00919878389686346,0.00594539986923337,0.0028556811157613993,0.002917560050264001,0.0030339413788169622,0.0028346311300992966,0.0030898740515112877,0.002821170724928379,0.0028065708465874195,0.003093237057328224,0.002986243227496743,0.0029534439090639353,0.0028016497381031513,0.002902915934100747,0.003156362334266305,0.004246181342750788,0.005107772536575794,0.004118242766708136,0.0071573406457901,0.007620694115757942,0.0037018517032265663,0.0028773839585483074,0.007658050395548344,0.007605703081935644,0.007625108119100332,0.007621264550834894,0.00385956815443933,0.003640691516920924,0.0036447769962251186,0.006212441250681877,0.008665879257023335,0.0036095655523240566,0.0025908418465405703,0.00379143632017076,0.0031580922659486532,0.003410252509638667,0.0030278696212917566,0.0031955752056092024,0.005476645193994045,0.005946966353803873,0.0033047394827008247,0.002846494549885392,0.0027881686110049486,0.0030022356659173965,,0.002676642034202814,0.006978171411901712,0.0019469698891043663,0.008748326450586319,0.0030211862176656723,0.0027265376411378384,0.002619958482682705,0.002068435773253441,0.0022751684300601482,0.0023305020295083523,0.0023061945103108883,0.0023120874539017677,0.002306001726537943,0.0023119866382330656,0.0022898418828845024,0.0026106599252671003,0.00688329478725791,0.005907502956688404,0.002887387527152896,0.0028991415165364742,0.0030123800970613956,0.0028014271520078182,0.0031095941085368395,0.002831431571394205,0.0028247132431715727,0.003075302578508854,0.0030126688070595264,0.0030046943575143814,0.0027719272766262293,0.0028632290195673704,0.003139682114124298,0.004206955898553133,0.004150436259806156,0.007066959049552679,0.007651996798813343,0.007614172995090485,0.00762561708688736,0.007635144516825676,0.007649269886314869,0.0038262573070824146,0.003646590281277895,0.0036837542429566383,0.0036357443314045668,0.002560834400355816,0.0037632600869983435,0.003166282782331109,0.003405748400837183,0.0030594102572649717,0.0032036167103797197,0.0054665543138980865,0.005875051952898502
nerthus_bowel_cleansing_quality,0.0028581509832292795,0.002241547917947173,0.002389413770288229,0.0027091249357908964,0.00409421743825078,0.005987583659589291,0.017098573967814445,0.0,0.0037831792142242193,0.01110596302896738,0.0018218677723780274,0.0015127990627661347,0.003134950762614608,0.00340070016682148,0.010677015408873558,0.012135081924498081,0.0022498953621834517,0.0020320892799645662,0.0017661835299804807,0.0014317156746983528,0.0017834133468568325,0.001781888771802187,0.0017803926020860672,0.0017927782610058784,0.0017806700197979808,0.0017848911229521036,0.0017840515356510878,0.004286610055714846,0.0021131059620529413,0.003459688974544406,0.007410455960780382,0.009820292703807354,0.005570344161242247,0.0024817828088998795,0.0025402349419891834,0.002671796828508377,0.002446426311507821,0.0027250205166637897,0.0024402018170803785,0.002420184202492237,0.0027384695131331682,0.002619533333927393,0.0025839442387223244,0.0024077431298792362,0.0025681632105261087,0.002801191993057728,0.0039061931893229485,0.005132495891302824,0.0037585925310850143,0.008016690611839294,0.007179965265095234,0.0031688502058386803,0.0024758309591561556,0.007215156219899654,0.007165028713643551,0.007189621217548847,0.007180099841207266,0.003134538186714053,0.0029672940727323294,0.0029612905345857143,0.006822272203862667,0.008385439403355122,0.003487735753878951,0.0021788040176033974,0.0033176566939800978,0.0028335852548480034,0.003103740280494094,0.0027557655703276396,0.0029311995021998882,0.005506412126123905,0.005395578220486641,0.002870092634111643,0.002400721190497279,0.0024008522741496563,0.002668005181476474,0.01709715835750103,,0.010802259668707848,0.003194855758920312,0.01072840765118599,0.002273383317515254,0.002033931901678443,0.0017609306378290057,0.0014420617371797562,0.0017671595560386777,0.00181475596036762,0.001788599300198257,0.0017966561717912555,0.001792390481568873,0.001800327212549746,0.0017819969216361642,0.002098417142406106,0.007401506882160902,0.005533556919544935,0.0025181476958096027,0.0025203973054885864,0.002646895358338952,0.0024111575912684202,0.002753549488261342,0.002457879250869155,0.0024407505989074707,0.0027140378952026367,0.0026524330023676157,0.0026347453240305185,0.002372119342908263,0.002524369163438678,0.002779983915388584,0.0038616193924099207,0.0037947106175124645,0.00788060575723648,0.007210913114249706,0.007168193813413382,0.007186828181147575,0.007202540524303913,0.007202466484159231,0.003104908624663949,0.002976570976898074,0.002988919150084257,0.0035177990794181824,0.0021423986181616783,0.0032868878915905952,0.002839371096342802,0.00310066738165915,0.002789353020489216,0.0029292877297848463,0.005498211830854416,0.005325514357537031
stanford_dogs_image_categorization,0.0033615436404943466,0.0027233727741986513,0.0028517518658190966,0.003135469276458025,0.004445850383490324,0.005902166478335857,0.01586419716477394,0.0027995347045361996,0.0,0.010442507453262806,0.0017196126282215118,0.0014791706344112754,0.002787759294733405,0.0031499166507273912,0.010518367402255535,0.012077342718839645,0.0030822488479316235,0.002861965447664261,0.0027235469315201044,0.002126493025571108,0.0023890866432338953,0.002391391433775425,0.0023880107328295708,0.0023985588923096657,0.0023852915037423372,0.0023914354387670755,0.0023884885013103485,0.004659419879317284,0.002849872689694166,0.003490427043288946,0.007489137817174196,0.010269923135638237,0.006076641846448183,0.002989755244925618,0.003057774854823947,0.0031799410935491323,0.002966115716844797,0.0032404898665845394,0.002956487238407135,0.0029389795381575823,0.003240623977035284,0.003121456131339073,0.0030987258069217205,0.0029398025944828987,0.003032299457117915,0.0033063648734241724,0.004337471444159746,0.005567507352679968,0.004207102116197348,0.008355246856808662,0.007967612706124783,0.0037682512775063515,0.002876021433621645,0.008005540817975998,0.007953030057251453,0.007974433712661266,0.007966555655002594,0.004022468347102404,0.003783559426665306,0.0037842714227735996,0.006683983840048313,0.009028399363160133,0.003852490335702896,0.0026962459087371826,0.0038965088315308094,0.0033079811837524176,0.0035517693031579256,0.0031978138722479343,0.0034022056497633457,0.005490749143064022,0.006158712785691023,0.0033611145336180925,0.0029128154274076223,0.0028712984640151262,0.003097700886428356,0.01586059480905533,0.002796946093440056,0.010176457464694977,0.0028529244009405375,0.010564837604761124,0.0031046313233673573,0.0028458205051720142,0.00271830172277987,0.002140927594155073,0.0023726383224129677,0.0024268636479973793,0.0024018173571676016,0.0024031121283769608,0.0024001740384846926,0.0024055896792560816,0.0023873155005276203,0.002834600629284978,0.007475381717085838,0.006040393374860287,0.0030216274317353964,0.003033749060705304,0.003159937681630254,0.0029317992739379406,0.0032628069166094065,0.0029717229772359133,0.0029573016799986362,0.0032201712019741535,0.0031479441095143557,0.003148147836327553,0.0029077904764562845,0.0029869130812585354,0.003288596635684371,0.004298059735447168,0.004240150563418865,0.008242144249379635,0.007999323308467865,0.007960181683301926,0.007974191568791866,0.007985546253621578,0.007993402890861034,0.0039892494678497314,0.003795165102928877,0.003820935497060418,0.0038830023258924484,0.002661658450961113,0.003863263176754117,0.0033152492251247168,0.003549201413989067,0.003230598522350192,0.0034042755141854286,0.005479071754962206,0.006085502449423075
svhn,0.0035380562767386436,0.00281896791420877,0.002946002408862114,0.0032332176342606544,0.004360646940767765,0.005482563283294439,0.01206605602055788,0.0027168949600309134,0.003467799164354801,0.0,0.0018037433037534356,0.0014912444166839123,0.0014588997000828385,0.0015079923905432224,0.008030926808714867,0.009137469343841076,0.003091418417170644,0.0028396316338330507,0.002696817507967353,0.002088841749355197,0.0023717384319752455,0.0023730765096843243,0.0023696611169725657,0.00238140975125134,0.002369627356529236,0.002374912379309535,0.0023734658025205135,0.004481309559196234,0.0027054394595324993,0.0035403454676270485,0.006995426025241613,0.010128670372068882,0.005957853980362415,0.00287383864633739,0.002941400744020939,0.0030619455501437187,0.0028525888919830322,0.003119280794635415,0.00284153176471591,0.0028272783383727074,0.003117907792329788,0.0030055048409849405,0.0029765754006803036,0.002819558372721076,0.0029194867238402367,0.003182407235726714,0.004205869045108557,0.005432687699794769,0.004075888078659773,0.007916227914392948,0.007703893817961216,0.003699621884152293,0.0028319833800196648,0.007741639390587807,0.007690337020903826,0.007709835190325975,0.007704120595008135,0.0039251577109098434,0.003693843260407448,0.00369852501899004,0.006547896657139063,0.008749674074351788,0.0034928659442812204,0.002540685934945941,0.0036572469398379326,0.003071248298510909,0.003270896850153804,0.0028760102577507496,0.0030732988379895687,0.0057404437102377415,0.005984878167510033,0.00354764168150723,0.002958436729386449,0.002965784864500165,0.003191225230693817,0.012108501978218555,0.0027126644272357225,,0.0014832097804173827,0.008060808293521404,0.0031182097736746073,0.002822008216753602,0.002689759014174342,0.0021087510976940393,0.0023522297851741314,0.002406673040241003,0.002383921528235078,0.002388027496635914,0.002381992293521762,0.002392906928434968,0.0023634203244000673,0.0026979411486536264,0.0069819423370063305,0.005921962670981884,0.00290647242218256,0.0029225097969174385,0.0030377015937119722,0.0028193085454404354,0.0031375514809042215,0.0028525206726044416,0.002844971138983965,0.0031002871692180634,0.0030322966631501913,0.0030289855785667896,0.0027900587301701307,0.0028782181907445192,0.003165086265653372,0.00416716281324625,0.004107466898858547,0.007813913747668266,0.007733406499028206,0.007696736603975296,0.007709616795182228,0.007719855755567551,0.007731320336461067,0.0038913669995963573,0.0036995906848460436,0.003735040780156851,0.0035194961819797754,0.002509188838303089,0.0036268557887524366,0.0030794914346188307,0.003266421379521489,0.0029041734524071217,0.0030812781769782305,0.00572877237573266,0.005913047585636377
