,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.24352963247942788,0.2688135100821879,0.3101556731798595,0.5612397187384099,0.7417935865570091,1.1377751864692065,0.3294982840813572,0.670870063584222,0.8803689627083588,0.47509856130298145,0.44067104513102084,0.45389207932461695,0.45975275196577864,1.0112009790555567,1.0369558276909403,0.3275324703501491,0.3091225592600244,0.313826585443098,0.2441315621075572,0.21566549592412607,0.21614064664352683,0.21509337349300006,0.21684563651460248,0.215482766418892,0.21595156889335054,0.21541791073595967,0.5853385918789178,0.3694894657550354,0.5840987053833516,0.8885959727494643,0.8485797440731352,0.7670116568436319,0.43568571022997704,0.4370040526885431,0.45747791072098,0.4297370233813776,0.4623796066546547,0.4278924287026027,0.42515661380559955,0.46775244051088405,0.45471989534884527,0.4459349133649462,0.42270678591263694,0.44583780870471434,0.4753064456554575,0.6288602815879644,0.6349224232559725,0.622786837811991,0.8181429636877344,0.8738650969954622,0.6050696017601525,0.4736337384387794,0.8768263307324893,0.8752055993172609,0.8761148792112354,0.8766731311883577,0.49522383712305257,0.4800931273594322,0.48059130538664896,0.7904572797573333,1.106070451902235,0.5493563023004988,0.4067369027691783,0.5331641832254138,0.4891314341440102,0.4972486856414012,0.45459628584347533,0.4979451034661261,0.6580952028374162,0.7295369878511698,,0.25808625613055286,0.26783539412563395,0.3053960062000782,1.1428013287595116,0.3292791409772112,0.8681796593548976,0.4582923218441945,1.010003377939993,0.3303550902832463,0.30896628985716856,0.31338286110753133,0.24568771169719683,0.21456530070744945,0.21936102274738287,0.2147266529871461,0.21758327153572576,0.21761037464859587,0.21833661394850962,0.21882490402114563,0.3692713918699701,0.8876452656371141,0.7638276274821676,0.4420020716269225,0.43802338765739013,0.45562083146647997,0.42858058047120884,0.4644934118796868,0.43059802225318616,0.42605390759871586,0.462525953619919,0.46096549140516996,0.45226210163106295,0.4188913294676171,0.4422219068689981,0.4748047502385138,0.627564903522124,0.6255717344033742,0.8099375949585969,0.8768156095841273,0.874220943292309,0.8783616677657627,0.8761005467581117,0.876199628505029,0.4904114831199671,0.48163033166227864,0.48261729107389434,0.5525747459684367,0.40216378502252487,0.530644610261477,0.48927301708844884,0.49741169904282084,0.4600199278481947,0.49821587601453865,0.6592023235386805,0.7236826401267631
lapgyn4_surgical_actions,0.3457009688841997,0.0,0.27585737389889203,0.3091949157906705,0.5879759064802104,0.7723673096175694,1.174576473587575,0.34110708410362406,0.6967621780204467,0.9036388020743211,0.49521548720825187,0.4593074230914271,0.4698812590745629,0.4783668651656827,1.0325997279222197,1.0607095385645389,0.34689792336904995,0.32795690504396136,0.3259478380099201,0.25405930168674906,0.22341158369426828,0.22378660785148016,0.22265693723567898,0.22458208000521224,0.2231712812525239,0.2237138862845865,0.22308578582811256,0.6113944848469303,0.37760973085210603,0.6086329308237031,0.9210830094393075,0.8846917549117885,0.7876962288825422,0.44738194002083204,0.44853214122406965,0.46876720796717025,0.4414859834881737,0.4737772631590492,0.4395264999479114,0.4369324453727668,0.47938755317767534,0.4658801623689102,0.4573986824844658,0.43449322988264905,0.4578752681661575,0.4866052657363527,0.642454810628223,0.6610884776341889,0.6355440114355156,0.853003222126274,0.902517437791601,0.6128618217897444,0.4849224699782739,0.9054495930063324,0.9037548247923182,0.904634852972705,0.9051607292331754,0.5067107624685359,0.4934610123705401,0.49419078575877357,0.8131878583609147,1.133004466365846,0.5567911532059259,0.41687439527515907,0.5462607942163732,0.49567026090553334,0.5062687311092993,0.4637736613393842,0.506874959926502,0.6773778777880982,0.753900886859492,0.34912551800893665,,0.274559216791004,0.3039685543056013,1.1796665025216586,0.3409155713967153,0.8911230423747215,0.47443886396102075,1.0313977575292266,0.3499243155054807,0.32778186957086414,0.3253358863043614,0.25572709582103503,0.22242888494318538,0.22713197158470833,0.22209104273860905,0.2251344755391995,0.22465933961200035,0.2262309833032621,0.22673612740274013,0.37675138105552014,0.919985022993433,0.7845676407377492,0.45360351725136283,0.44922337481834335,0.4668360774056986,0.43990272987205103,0.4762038121753126,0.44237932497259996,0.4381974917703101,0.47415498501730424,0.47197197995916945,0.4639268934337949,0.4306074319326852,0.45388308499180685,0.48588846549236625,0.6408336910842867,0.6385743088518004,0.8447012919267937,0.905502955191217,0.9027334252006182,0.9069849790737275,0.9046917848404097,0.9048161057271891,0.5018544770343374,0.49491404894768204,0.49629745845547024,0.5600387037821732,0.4122123242905578,0.5434625579810948,0.4959574580083037,0.5066102922157294,0.46946912477935665,0.5074314080490373,0.6784852829855199,0.7478756557989235
lapgyn4_instrument_count,0.34180215630133587,0.24654486616259005,0.0,0.3032580000810174,0.5772694421102345,0.7591919430135171,1.1570761663277158,0.3380006605474928,0.6830096179715911,0.8901529159301639,0.48433905520045734,0.44875929661872094,0.46108064583246267,0.4690310012345019,1.018928261832919,1.0459771762288699,0.34088224178886867,0.3222890874613866,0.3238426924617141,0.25430979172397283,0.2173380635410603,0.21778599584023345,0.21660947220734106,0.21846405598611562,0.21715151629361057,0.21764487738606517,0.21702994253079827,0.6010828762196492,0.3762381990439443,0.6030799050212432,0.9065638796017024,0.8684420365211458,0.7789109672270598,0.44559630112820825,0.44708695698613815,0.4674595843321814,0.4397538630317962,0.4724093131743738,0.43781001969130706,0.4352481671095576,0.477954414220106,0.46458149674734256,0.45585786484252877,0.4325817528490952,0.4561040492124702,0.4852435769492198,0.6382228736942626,0.6512713952815765,0.6319215947838881,0.839928286137069,0.8886232063335002,0.6125736616377498,0.48201749817022826,0.8915358515827586,0.8898793005162565,0.8907606380086003,0.8912770249299062,0.49990722737869897,0.4876677100553455,0.4885022532176454,0.8055219228126108,1.11840106986967,0.5504393157352965,0.4122398239351326,0.5376003226789657,0.49263386051360214,0.4987743604039203,0.4577718770173039,0.5000489709175622,0.6708760877282279,0.7429780300269414,0.3451234803410442,0.25966356917688477,,0.29849151349486647,1.162082087469249,0.33778717347860476,0.8778270243679918,0.4655572056064078,1.0176401397911037,0.34389346294831497,0.321986050130488,0.32335412163861443,0.2559619726489246,0.21642004371912021,0.22102571038347057,0.21630122241139688,0.2189783079290531,0.21864218907422098,0.22002300168600164,0.22046285287445921,0.37574486404796004,0.9055147884291439,0.7758171179763826,0.4519965419541987,0.44790966142269306,0.4654449969040738,0.4384166928501878,0.47461226047827915,0.4406489599486346,0.43634404775995644,0.47271838806097644,0.47079939002577864,0.4623852896187174,0.42871292461045024,0.4523138925127794,0.48461733606381274,0.6368810419185824,0.6349171724386437,0.8317696199398159,0.8915683155068153,0.8888699261800325,0.8930985749884294,0.8907810229926387,0.890902818724101,0.4951808160514277,0.4890703346966346,0.4905772264049401,0.5536749256691891,0.4075223890286972,0.5348704751303474,0.4928702127394277,0.49904542717520983,0.4632781066133652,0.5004701064163021,0.6719990822494492,0.7370829262513359
lapgyn4_anatomical_actions,0.3477328236112545,0.2451857149500709,0.26846094359427625,0.0,0.589683379641718,0.7702853838840673,1.1697898554474597,0.3454136449281604,0.6916923679838798,0.8987330676658218,0.4915811106976221,0.4556566192266606,0.46815003371891917,0.4769578698286237,1.0272253746504811,1.0550979302071197,0.3511165022169325,0.3322069940481744,0.3303925916653635,0.260044939840382,0.22274969680422413,0.22319746613518832,0.22190276647735876,0.22384404806003486,0.22250930525249793,0.22306409347298511,0.22237935360299152,0.6125231029605887,0.3788507337690319,0.6129980576994982,0.9220193894605517,0.8834487783508734,0.7876997049214716,0.45074704574127333,0.45207204422280783,0.472063868589158,0.44511800104601096,0.476979165777326,0.4429619437083535,0.4406852920857809,0.48268544309166717,0.46912531025425397,0.46063841960849494,0.43800257644972235,0.4610210895641193,0.48951754827292304,0.6445815310501881,0.6623944572639945,0.6379459403851663,0.8539543223244233,0.9034699343828607,0.6151575537879588,0.48912908140921735,0.9064338380842193,0.9047273740136083,0.9055571047824446,0.9061220418802391,0.5090298869791963,0.49723422403533585,0.4981702777824137,0.8147995714694856,1.1326392717114546,0.5550158445506741,0.41850696702926693,0.544747455055277,0.4962192605684347,0.5038362619599255,0.46197263392369403,0.5057786408269802,0.6770319702815005,0.7562334796538032,0.35111582920938766,0.25838663075535667,0.26728528789954126,,1.174841909382457,0.34516337036022815,0.8864325895801421,0.47270266718577825,1.0259139736577283,0.35414336028381693,0.33192856368144197,0.32982162348960764,0.2617100011245157,0.22195435426670668,0.22644721363021003,0.2216386842646348,0.2244885246605909,0.22365186930863318,0.22547406480865023,0.22596481593503198,0.3781037922127919,0.9209281852951456,0.7847443698832739,0.4570116576405405,0.4527907925332474,0.47005239391003306,0.44363934371891767,0.4792942727934583,0.44581776233558956,0.4418312731464292,0.4774912678266581,0.47517270477134116,0.4672400427175049,0.43422481919262895,0.45703803480097416,0.4888825958000662,0.6431533908027749,0.6409572471500073,0.8458495567509571,0.9064078727072369,0.9037271596296002,0.9079851803612975,0.9055962876420147,0.9057894281509312,0.5042869472517322,0.49863153076396033,0.500182456873238,0.5582929956793687,0.4136853557681372,0.5419139913211372,0.49652022769216075,0.5042053444445028,0.4675709402575483,0.506298113273119,0.6781801484616479,0.7503122794815338
sklin2_skin_lesions,0.3430129094430486,0.2680964839841365,0.28575592502120206,0.3345975120797975,0.0,0.696726606523127,1.0689681106331221,0.32256386281678784,0.6238067176521602,0.8273423502028319,0.4365568435251892,0.4036940408570172,0.41955572185829515,0.42272287236045086,0.9600801977023573,0.9821306622688718,0.31074431647957135,0.2970327647953807,0.31209355709517234,0.25021591746869043,0.2254405901222782,0.22611213013346856,0.22511609671398136,0.22655257909929877,0.22544774410818125,0.22580989586596,0.22549824323796425,0.5142894029710041,0.3623091351415053,0.5389660793789806,0.83520396260682,0.7677913431290463,0.7313188828260873,0.4259137665595078,0.42777083922085773,0.44845841155863847,0.4200834178258306,0.453271133727167,0.4181036722717989,0.4151770508358137,0.45876622366428965,0.446715824819849,0.4363824827585453,0.41154812480450953,0.43695103875743685,0.46614619692830267,0.6178529521871452,0.5553857682463451,0.6133218052030446,0.7352310446352948,0.8069732790135087,0.6028291308007859,0.4570065310951856,0.8100338836244358,0.8084784532184959,0.8093569676951146,0.810049998728131,0.45649660530557146,0.43938010170908764,0.44051672071327275,0.7401862327646088,1.0397418318481055,0.5342781128807179,0.3933234275949766,0.5117295067440758,0.48457754122536845,0.48066550673604047,0.44095930827404173,0.47799981215299026,0.6221183053820276,0.6662665934365091,0.3455450650057845,0.28084038793724775,0.2860084411344053,0.3304481183964643,1.0738444957930804,0.3219607489314834,0.8156035858557404,0.42364133370005685,0.9587341255835462,0.3138141688943176,0.29648864302305716,0.3116530371760385,0.2522034622643548,0.22380774298878672,0.22922576062006472,0.22516198556471514,0.22750892198744005,0.2283383957574161,0.2281789019854093,0.22748637658238066,0.3633421510364869,0.8343553377354579,0.7280879998849126,0.43291184141670686,0.42937152961878544,0.44637302598404394,0.41946565641677175,0.4545986318318025,0.4207175290060241,0.4155647028943669,0.45345178457105756,0.4529983640801596,0.4427350664753168,0.4077952784902048,0.4341292908653249,0.46620108451402037,0.6170756869626025,0.6159984464863573,0.7281216836616468,0.8097981147686866,0.8073299273137897,0.8117323110107386,0.8091043218392153,0.8093815993076835,0.451631323140269,0.4404927540292205,0.4424179912522381,0.5376976618969536,0.38852663866011206,0.5095379822868487,0.48451526524120403,0.48074066459268333,0.44591812002767417,0.47782513425393175,0.6230382992245806,0.6606232791146368
identify_nbi_infframes,0.32086170741777154,0.24901921196031485,0.2649326346267792,0.3130669688289008,0.49821703500392095,0.0,0.96700673678648,0.3186042188424838,0.5665328964438503,0.7505895602195632,0.3913217430009033,0.3604316330354693,0.38278383140683536,0.382056277659595,0.8915618005719724,0.9106147576126546,0.29995748358406016,0.28658722397936465,0.3039028588939242,0.23979221860980574,0.21233588840956122,0.21329433825868108,0.2119745482237583,0.21318388942200234,0.2124078714595284,0.21272612215499742,0.2127621571382524,0.5047968483996871,0.3362014419105821,0.5062059627030675,0.7764889213576809,0.7461198640702368,0.6981960616112186,0.4074973839195355,0.40568930095198186,0.4246406088879477,0.4026103866620037,0.4282293027828407,0.3994467630313227,0.39709899768270357,0.43382647860034695,0.42470467223698466,0.4139251739929096,0.3951811860884672,0.4147434552029656,0.44046657781276505,0.5874655756099516,0.5514854222871365,0.584955982915165,0.7054082955325839,0.7947755738648381,0.5915151111009986,0.44073192186287896,0.7974933717324095,0.7961912419516716,0.7969649255619692,0.7978253887053204,0.4654815961155522,0.45067428313482966,0.4517030347291086,0.6815033520194405,1.020327103037681,0.5046565728511709,0.37433907895069735,0.478857289687058,0.46621611127168044,0.4487920413234919,0.4148998321978854,0.45161999040013956,0.593296765535446,0.6655155255056407,0.3233174110638297,0.25912952602453054,0.26522198325508284,0.30946569502144966,0.9713205209894964,0.3178297191370768,0.7403394701305419,0.3867098899836304,0.8899679643878248,0.30256476509448493,0.28548614048578946,0.30384307264124866,0.24141657635148983,0.210609202349213,0.2154709571671804,0.21242874508205078,0.2147477813366929,0.21534842329341658,0.21486593962221245,0.2138335803718369,0.33787478925900544,0.776087134081261,0.6950874867762764,0.41372350869492147,0.40755196951893774,0.4228438037359774,0.4033613549729918,0.42887571596403834,0.40135201742692367,0.3969692948855399,0.4287476194055685,0.4307500487671038,0.4199026050981229,0.39224724772114816,0.41216165520689674,0.44100487757438966,0.5873836485106981,0.5874153658141104,0.6982708216672329,0.7973694929683433,0.7954694806005317,0.799007791500072,0.7966116598556188,0.7972400960443925,0.46131371347473465,0.45194795716008146,0.45291474255934455,0.507954090143177,0.3696943672040274,0.47693794795237165,0.46603027276271997,0.44883794579616276,0.419199965801656,0.4510376892210891,0.5944122839676292,0.6602257019898934
laryngeal_tissues,0.32868178339098086,0.2629615401488501,0.2740937829055494,0.3244718474698371,0.47907659245420997,0.5728984271741131,0.0,0.32817802500999915,0.51996280715357,0.679484007977265,0.3537480831441432,0.32688425579639685,0.34030828413992376,0.3372396428251749,0.8372770379990724,0.852023368222597,0.3091494418309853,0.2955383479124575,0.3154181693628882,0.2607883407818753,0.2302136768310475,0.2314480258587798,0.22994075674325432,0.2309603243014593,0.23024925848258965,0.23061759112404745,0.23067046945710695,0.4771740759701199,0.3448084718491685,0.5008024805092433,0.7448417452309863,0.7052797124769848,0.6849004343661937,0.42367984029142547,0.42239997332475937,0.44021585208603564,0.41952069557997534,0.4435977804316076,0.41588150566856064,0.4140387046714166,0.4493746904165167,0.441004856812844,0.4296615467097342,0.4121186211811507,0.4299325458899071,0.4552164913248964,0.5939132803150292,0.5304011749717722,0.5929883726931242,0.6603264360758514,0.7699229203481275,0.6074948040826335,0.4505286461816644,0.7727798891973736,0.7714850236554284,0.7720541525028047,0.7731290553661647,0.4607712662015685,0.44531803880738935,0.4467547007782847,0.6596131529469544,0.9921869634756775,0.49495387000012675,0.38122921322911196,0.47678166429552815,0.47005448525921284,0.4456988264950247,0.41211327048278,0.44801875127031254,0.5806657066837947,0.6530403689826592,0.3309518212961896,0.2745665239857634,0.27489805584393173,0.3209283652315497,,0.32713996285141705,0.670481224759323,0.3437370583303646,0.8354378209637341,0.31177384343894987,0.29470598148197824,0.31550175949650894,0.2624268174135662,0.22829872567919107,0.23334830123818717,0.23083679458877526,0.2330463821569564,0.23346737910694376,0.2324830106315364,0.2313156877459307,0.34779755192227474,0.7444590457233609,0.6818713329698195,0.43018683118841744,0.42476738568778927,0.43817492855035184,0.42076073756196236,0.44388719060024656,0.4178361229809978,0.41350159029577616,0.4445089926197199,0.44684528420539843,0.4353714909882045,0.4093519209327021,0.4276480305841302,0.4563352574952638,0.5944206012463025,0.5952515585002264,0.6542622339857292,0.7725141295575543,0.7708730666039944,0.7741563029562601,0.7716197180321127,0.772610986880016,0.45668951730059026,0.4464790935553566,0.44769401020190636,0.4983964753549804,0.37626290957933684,0.47484779845857905,0.46993956517856783,0.4455890061081035,0.41625105156322095,0.44741651499105095,0.5820035203699947,0.6481277166938896
nerthus_bowel_cleansing_quality,0.37512058854066493,0.28525581152804075,0.31098579913673874,0.3539852454130199,0.5862247648111925,0.7851412043449808,1.1821989790036287,0.0,0.709021404087451,0.9000861348758937,0.5007485312602448,0.4645434516886031,0.46957141322247975,0.4781468408685946,1.0342974299624734,1.0623924514323142,0.33728607796065524,0.3146723858379452,0.29320966258345155,0.23807945750038678,0.23726183908297796,0.23743937354287833,0.23648393913849058,0.23847340180646204,0.2371329078969391,0.23752114568174332,0.23710010954434108,0.613787856139349,0.36832315686436123,0.619151846072108,0.9253905080772399,0.8931488837961653,0.7786253981571658,0.4519451210472585,0.45120052258156795,0.47170772989966736,0.4453771951020834,0.4762440802787989,0.4434077447026086,0.44015233478346194,0.4822553778655079,0.46998437127574155,0.46044953809684613,0.4379965587414927,0.46270956700391525,0.4897189630940718,0.6518348835723324,0.6609189238646429,0.6447992467079455,0.8580032256190621,0.8921128478824389,0.6261352748996583,0.4748217513238702,0.8948847854297662,0.8932481575589791,0.8942660872119512,0.8945906338949133,0.48174656512058334,0.46696185363099757,0.46714735459925694,0.8214796771394384,1.1219208667153926,0.5611718232887729,0.41145076492292504,0.5406740701246711,0.4980526015999419,0.5091949625102061,0.46190276597649604,0.5037885372040339,0.6945096874323944,0.7407913891318448,0.378260350612428,0.3007655685896554,0.3101024235530314,0.34860668451055743,1.1874009979159328,,0.887147157841142,0.4736140166352913,1.0333078458289844,0.340313670293553,0.31551117323685185,0.29242890462791066,0.23969186863947736,0.2358202302969576,0.2413163791300748,0.23615188156490113,0.23869064497993575,0.23906711594032565,0.24033508940151274,0.23991576458232117,0.36744153852554085,0.9244873911089417,0.7753997032503425,0.4584397545815475,0.45211049857000407,0.4697689101949077,0.4438789484171851,0.4786353884829122,0.4462058442391492,0.4414150978417157,0.4770883221567478,0.476359712268248,0.46710195490094514,0.4339062738527108,0.4587896118823971,0.489096235035827,0.6501146650156482,0.6479327610297525,0.8497302400640645,0.8952088304529191,0.8921166985359397,0.8962979295786209,0.8943154036402974,0.8941272589673263,0.47686776424915117,0.468304832626635,0.4691325359281415,0.5645524844596914,0.40672975958828494,0.5380088172672,0.4983931327561485,0.5093628560016504,0.46752074591282616,0.5041617006418115,0.6955963362246652,0.734663650297791
stanford_dogs_image_categorization,0.34849179372838146,0.2710308298575025,0.28624322009014214,0.3314826616046284,0.5213258578762558,0.6625774124444908,1.009118382954777,0.33900594944578294,0.0,0.7772129102442542,0.38482799195537576,0.35466373510443383,0.37467395846699597,0.3822950710762823,0.9029908253390855,0.9241296234830317,0.32852901363749976,0.31502204017449464,0.3254768290435144,0.2644721486575511,0.23901781493683286,0.23988411879966556,0.23852864127202483,0.23986377363880654,0.23898528981505648,0.23947552532276675,0.2391664342732425,0.5300803705113063,0.36462202376758174,0.5375318053091365,0.8035728603897336,0.7680213898612918,0.709005135348753,0.4337969464504798,0.4328564410311278,0.4514146755996004,0.4290861793330799,0.45533015644929475,0.4261125942468348,0.42368948243033977,0.4608115827868826,0.4507833514651737,0.4408605889193401,0.4225007151735751,0.4412277744952147,0.46735327207054933,0.6124476393942393,0.5808422824117859,0.6092979553023874,0.7416793506630671,0.8128865195661605,0.6069954112474376,0.4510121143543571,0.8157683859948788,0.814377736199899,0.8149437581003153,0.8158834835916293,0.4760272390958191,0.45987169163659886,0.4611194253122981,0.7182256551218718,1.0315277994582672,0.51186311000365,0.3929465011488964,0.4940703606444361,0.47787511679550365,0.45778662427831524,0.42400531494988997,0.4619595429752484,0.6064215401809833,0.6839603785779036,0.35085182000918547,0.2818622958102197,0.2864556783190662,0.32755567242127553,1.0135231852620088,0.33825536978397375,0.7662408126439355,0.3792187133883033,0.9014789265194165,0.33118754201169365,0.31433715999511935,0.3251185837352949,0.26625332576522415,0.23747072672631186,0.24252536074839434,0.23915373772664983,0.241255792949989,0.24183419377292806,0.2417961717753097,0.24060261781355294,0.3662016551073648,0.8028774845229274,0.7064157157611073,0.4402876492516441,0.43456731357703154,0.4496288744837177,0.42939741385904806,0.45647987669318163,0.4287021307480287,0.4239850665076164,0.4558911511519774,0.45668282020285933,0.44689573935167826,0.41914352811478234,0.43798844278156546,0.4678424146788752,0.6121201279238554,0.6119529371175986,0.7349675384949647,0.8154762924828558,0.8135808331135876,0.8172452539614041,0.8146744318709827,0.815383587351786,0.47153949100549053,0.4611591217189497,0.462461592867047,0.5152292927298026,0.3877183796869866,0.491834728806409,0.47784953888555776,0.45776137348926405,0.4285631843568779,0.4616835161342541,0.6074836566759862,0.6788205553521431
svhn,0.3587597396877431,0.2800674079248093,0.29505760419467514,0.34111534182158704,0.5226768092243088,0.6419369119059684,0.9645240465768289,0.3322698840403666,0.5756785696094872,0.0,0.3922376140493572,0.3615521961563181,0.34164105629701147,0.34420326518196986,0.8438564342138223,0.8629819853915104,0.3310499594047141,0.31486693742935706,0.32059535156380164,0.26249247827933553,0.24172180692046666,0.2426790800883804,0.2412403938194448,0.24264775859718346,0.2418294851802134,0.24220121561949504,0.2421714461281708,0.5309909506377825,0.35615439030408313,0.5368639298003981,0.7944274715287115,0.7773267201554483,0.7150631235224609,0.4315765958495495,0.4300599818924819,0.448454258916985,0.4266062382467039,0.4521224549273291,0.4236926031378715,0.42129512795202,0.45770451425165004,0.44822352163545287,0.4377436589011598,0.4193647613615564,0.4380426825484338,0.46413016424552606,0.6100523725579462,0.5816392877294055,0.6073959937300767,0.734584539692441,0.8175027895307454,0.6126165527574314,0.45466338328987693,0.8202743323613078,0.8189678168832998,0.8196416076658516,0.8203772283990645,0.47360353808547156,0.4585364230993449,0.46008467906669087,0.7132613696782241,1.0415510258064715,0.5023592098956361,0.38878903077886595,0.48902217850838237,0.4706195818877321,0.45516396346295807,0.4135169370488805,0.4550451270187502,0.6177678835649045,0.6908790891930806,0.3615511319692182,0.29218433376909003,0.29521573023084335,0.3367877095442393,0.9692309030755561,0.3312330402085413,,0.3448781817900378,0.8429262736367692,0.33369301841182025,0.31439016960869004,0.32030128124074864,0.26446418269932503,0.23986242059636326,0.24498238342271025,0.24183837521981283,0.24436377657018046,0.2445592949958583,0.24468428138847675,0.24315461587839443,0.3580748179772328,0.7938074240093915,0.7120183842825771,0.43805336583763177,0.4318474036559159,0.4463746137837814,0.42704733498607883,0.4529519881682159,0.4258593162587179,0.4213971272928818,0.453001198740352,0.45414189546224665,0.4439155671446219,0.41657350675091154,0.4351281190996158,0.4645981321048558,0.6100933514173786,0.6098675378656927,0.728092544819969,0.8201965363019469,0.8181087875714829,0.8217051511076544,0.8192518741431747,0.8199167222304379,0.4691914665205269,0.4595118204111203,0.46133956326085535,0.50568727236995,0.3840176920522174,0.48686939589008804,0.4706960420974972,0.4553380746535996,0.41801342246286866,0.4546851286791443,0.6189251352866363,0.6856773014409687
