,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,2.4518676209072976,2.4602294201732353,2.489170551731388,2.5662959226731994,2.8083811533081553,2.9729479569000254,2.4708190990112473,2.882283875086087,2.81316585773021,2.6030385462210814,2.6664956497856833,2.533313455591132,2.603559497351141,2.8539003631705446,2.8756232732112323,2.4512518053083197,2.449330532544641,2.453499737812976,2.460272068182111,2.4343426986565464,2.433672955325591,2.4398683457125996,2.437637958380992,2.440944933407233,2.438013534553123,2.4408428559335604,2.5384351048944684,2.522599936431796,2.663376086809132,2.8511908139122237,2.7253532104649363,2.702748260725729,2.5706977130541926,2.603834136676508,2.597146102973613,2.587899302243614,2.594941117271005,2.6018101515955308,2.5688802413260614,2.5867011753764597,2.603096458838671,2.5623982299508516,2.5877125775654113,2.574305463480833,2.6195799791254313,2.722613308330583,2.6111217534751767,2.653882248600636,2.7339347485552112,2.8228761914883913,2.684671605010702,2.5980894336334006,2.855554437748441,2.785938914167205,2.7649979812884617,2.808513882906422,2.5475895727525923,2.563673888401235,2.5476887245569615,2.708051992830174,3.020610860778451,2.644066375453286,2.5313585434681922,2.6096505827772427,2.588987440587418,2.606601941870304,2.56247488361593,2.6622841352255135,2.723805653004662,2.6704977524516575,2.4734046459271717,2.4581138759392056,2.441892364885643,2.476613211606612,2.9724090699055234,2.4680647231316466,2.729904935506756,2.5955351489212504,2.841917890080029,2.4659653083134105,2.453996103903042,2.460694363204085,2.4635786799895953,2.434406355055139,2.4334180755464665,2.4425349842806545,2.433003456620399,2.4243412443426977,2.4420994914117844,2.440079920152736,2.5339453911449454,2.8466937520537687,2.7560968810221,2.5874621532767055,2.591851814078653,2.5966964436372777,2.5829619247500486,2.602294422777227,2.5947268113743025,2.5809887557392313,2.581898359499492,2.5789851146698664,2.6267781014978304,2.566332610483649,2.585562466185271,2.6064785709832177,2.6895199072728113,2.7100676553475234,2.796817206947469,2.7816032416076686,2.816696777111892,2.821200158073791,2.869967160422619,2.790337077450526,2.5655643306517004,2.5644775830829047,2.5569022592953035,2.664491893469238,2.549571868037349,2.619855191523884,2.592460026917979,2.5940804488763987,2.5907571229123323,2.6258177174903627,2.7592306423579434,2.645866872222965
lapgyn4_surgical_actions,2.4441278847836037,0.0,2.463282374470997,2.4865107537767996,2.5695303058404924,2.81531597180156,2.9803698317768688,2.472486959491401,2.8874383813802305,2.8220498775054175,2.6062463366712625,2.6708816950831835,2.535703693369411,2.6081928792489304,2.856595181490108,2.8786479806126906,2.454919557541005,2.4538638128445225,2.4551902569962456,2.463122262811922,2.433418561783859,2.436049696501343,2.4410002937826163,2.4409134060936157,2.442215860223281,2.4379302429903165,2.443469865799961,2.542085149248072,2.522716878966838,2.666665056223499,2.856957577904736,2.7322439966553884,2.7050543257687654,2.571646179994957,2.602309450201897,2.5978517918994024,2.587581436722695,2.595830371907562,2.602361870444319,2.568721937647073,2.586028080038895,2.602201278354949,2.561143421040538,2.588797401019686,2.5764492151506553,2.621542318000836,2.725847861631584,2.616649507199643,2.6536766785290404,2.7418565080173245,2.8307857016725575,2.6839727213264197,2.5995818138298183,2.861871022678363,2.793408265017999,2.7715740214321616,2.8141533486556916,2.5501235982142187,2.565578794149922,2.550367068824684,2.7078410558569956,3.0288577927877585,2.6445261958310193,2.5333240230972307,2.6131879075548836,2.5882723408102803,2.6040738618032955,2.5627881504932484,2.662213603529987,2.729636494857166,2.676239883182614,2.476884702970092,2.4543476124864965,2.441929664278542,2.4734334483648652,2.980934947824214,2.472233789328503,2.735332958505118,2.5983472118287816,2.845549235881974,2.4710110288739733,2.4589868638652783,2.4626515119836663,2.4660057377274804,2.4358348173542774,2.435054243487419,2.445514428158936,2.4324445991294787,2.425233293435614,2.446201561543825,2.4408573668671423,2.534966472318472,2.853761551209616,2.760035484709132,2.5874699196191955,2.592359463287095,2.5986533946699266,2.584443787703324,2.6028653729863938,2.595360852446763,2.5808559869085492,2.5823962929554556,2.5785028666960685,2.6255923988911736,2.5667422332272194,2.587383637550021,2.6050497135919906,2.6894444814981946,2.7124394267148806,2.8068601045808967,2.7886015999724454,2.822857335185291,2.8295893208049554,2.877910833856732,2.7946714468968263,2.56855020478963,2.564843161241611,2.5588707448915686,2.6642538338711272,2.551270141259752,2.6214552558145536,2.592174489586126,2.595531418761599,2.5925270409130543,2.6271779157429007,2.7652163894624664,2.6509298343326777
lapgyn4_instrument_count,2.4390969212209193,2.449889373623149,0.0,2.4815183957605043,2.563488427147196,2.804244841689334,2.9656023276611667,2.4702919568358794,2.8780694495722257,2.810758845684004,2.601290488827231,2.664561495463634,2.5321341265855124,2.6005394581364625,2.8483788568156765,2.8674463345373455,2.4498619888524367,2.4498430412514685,2.454842875036041,2.4611686910948833,2.431724276828902,2.4307060562976774,2.437775953781195,2.434981502044595,2.4385257534603677,2.43412113834242,2.439388181782467,2.535342088614457,2.5206281091287304,2.6618708441214194,2.846337763518229,2.7215498759271615,2.701179615523267,2.567738831537638,2.6012934554636633,2.5953368990367904,2.586261776051955,2.5943943934718194,2.599492301247239,2.5675292588486096,2.584551513718239,2.6002767467300334,2.5612739385954146,2.5849116689569978,2.572164648248405,2.618460001031492,2.7196634157216604,2.6073185134280545,2.6516543260127325,2.729529985414815,2.816702055229434,2.6816966381744445,2.5975090175868196,2.8467851871134884,2.7792940523763017,2.7583497776325383,2.8013083476750382,2.545765622809551,2.5619101540056772,2.5457173403851203,2.7052765048979497,3.0150304116640916,2.6436893202886695,2.53115244435503,2.608421920831854,2.5893448585362826,2.6036558126803473,2.5629737735224074,2.659964412970708,2.720775377325284,2.6662040623635592,2.471438584322596,2.455514275381,2.4378759055085206,2.468645842806998,2.965787445702814,2.467748745165588,2.726761139306735,2.5929188141614232,2.8353462256486517,2.4648385680403395,2.453770340505885,2.461013736563425,2.4645030901790816,2.433028486986188,2.431373749131226,2.4402990869595635,2.4300255597693132,2.421218794712782,2.441246953569917,2.4357696429747606,2.5326677324058875,2.842365869093019,2.752836251820168,2.5858013912085687,2.5894350535061275,2.596061844972601,2.581089175888374,2.5989876547059145,2.592420963044144,2.5780373875751104,2.579990972971886,2.575295668478034,2.6241641492665413,2.5645755377727397,2.584701164381106,2.602793815102248,2.6867760046850755,2.7072940092747397,2.7930502929830423,2.7742432357030182,2.8101008249725803,2.8147912332704,2.863994000885123,2.7839163502088327,2.562027312840989,2.5615578097868896,2.553506878097214,2.66418584897787,2.5466853996192222,2.6196266919967757,2.5917606571877245,2.5939692564702925,2.5907942315730748,2.6242192301859655,2.757207859856245,2.6422015205962635
lapgyn4_anatomical_actions,2.44144140867583,2.4466827443838524,2.4551546269590414,0.0,2.5663003006271756,2.8103651747551592,2.9746247524197518,2.4711834559121515,2.882430541279357,2.813180905969171,2.6020479534050573,2.6654688126441917,2.533407785079363,2.603644092976097,2.850945689045156,2.8715849392246393,2.4529421189129224,2.4533292387981556,2.457266523857683,2.462450993258427,2.4331097194626436,2.4343314579956314,2.440629604458199,2.4389806970327097,2.439438139843756,2.4353127064868447,2.44139584113859,2.538529386755556,2.5208921524529315,2.665063950201091,2.852208715480084,2.7278345240777884,2.7008306050357955,2.570227196752781,2.602706232315434,2.5993292872395193,2.588552326782983,2.596872617139162,2.601853719526256,2.5702363869838214,2.5881911059487788,2.6022859064908563,2.563573216582532,2.588259210460875,2.576993498622312,2.6225583245319504,2.7234799948704076,2.613724472386047,2.6536742612407993,2.7356828467465366,2.82608982348599,2.6857107576124712,2.5981195192679616,2.8563276966259252,2.788382909626175,2.7675299843434003,2.8089263902515613,2.5490982003138,2.5628499365397577,2.5497600507724925,2.7083097953632227,3.0223741457140827,2.6429115139792754,2.5329166302009862,2.6113419761683825,2.5880017803164446,2.6017518249437668,2.5611956486309064,2.6589737864195024,2.7249317683492356,2.6720569071125224,2.475405197652268,2.4523940351401565,2.4354298347501864,2.4639056507495525,2.9716616515015275,2.4694125837958603,2.7272507603806964,2.595121945926468,2.8373486881845347,2.46838467841544,2.4571295422154114,2.462317170831555,2.467100497279028,2.4327094550678403,2.432947757902638,2.4409736965613096,2.4309321787448086,2.422078216023938,2.442945052339375,2.4370555221306733,2.534810528504574,2.848254937979018,2.753393253234631,2.5882950242468428,2.5926733516324303,2.5979242442321504,2.585196447078704,2.6022083565189598,2.5965705098192373,2.5809670049238265,2.58452126463865,2.5794317683325216,2.624259803652718,2.5664345375212627,2.588166803022807,2.605332057574592,2.6879251058294953,2.710452062934683,2.8010478776156704,2.7835970240607426,2.8182898393295717,2.8243642436494603,2.871642324619498,2.7898223756068194,2.5673723852469967,2.5644937687658462,2.557260508872141,2.6636380330395575,2.550371434747481,2.6207099147100026,2.5920532997424,2.5922508976395875,2.589859807834413,2.625940544422068,2.762277905325179,2.6477484415955814
sklin2_skin_lesions,2.4443859621503004,2.455742765300836,2.4627876844079823,2.4921066121452977,0.0,2.7879299834612015,2.951056621819797,2.466919848920517,2.8633832267136934,2.7981399306932833,2.5938765214545283,2.6547179008528436,2.524531357679517,2.593259103249301,2.8368997246766687,2.858291955738746,2.447010317787946,2.4466896722282523,2.4508353999786894,2.456939500640499,2.4351539810424656,2.432480265847432,2.443043022608075,2.4347332694521464,2.4440198338923973,2.438692441734834,2.441183497499475,2.515575633683516,2.5188239399955012,2.6430245318654824,2.830222866728525,2.6973168833163306,2.6873820538793116,2.5587157849738413,2.593456322305749,2.5876588523965096,2.5792047340925373,2.588773737733184,2.5916148614623,2.5598593040096014,2.5771339373296063,2.594647301798712,2.555400584375724,2.5777920523210947,2.5631070664770514,2.6108021985731793,2.713996715385803,2.5824523154192986,2.6494167030984905,2.70435815029258,2.793524361832827,2.675336530875091,2.589284497243766,2.8238369852472696,2.7594535695193243,2.7406031540266502,2.7790967251737153,2.5367684437248563,2.5506880209914837,2.5359367812586937,2.6903173475700246,2.991757404220805,2.6366732526971832,2.5242285740696158,2.600118314823854,2.5853791218203916,2.5985298907365415,2.556925291354166,2.652026088951939,2.7131174523175465,2.6439567972571307,2.4743899213813716,2.4634985007997425,2.442633142224167,2.482698702553111,2.952824915435741,2.4637309785381323,2.7150366668422743,2.584915134229089,2.8245158021453127,2.4611490240411142,2.448808291783756,2.457797706782687,2.4607510311199148,2.4363198828525823,2.4312884717990833,2.4443154166405723,2.4340937246085628,2.424410001696295,2.4449025995372633,2.4394436320685817,2.5308759563617444,2.8285177018815713,2.7405961020524026,2.578211423437661,2.583113139215669,2.5862346023377336,2.5733659598780387,2.59027075529625,2.5850912752484962,2.5692278259908012,2.5738239588847573,2.5690672404997916,2.616088256291716,2.556431145304858,2.5769868029861485,2.5957415468810328,2.6824331869687614,2.7015458290876344,2.76557316624735,2.7525273711791196,2.7862825003322995,2.796534818517621,2.8392751077981817,2.758406186466024,2.5530909221713936,2.554867582880591,2.5446392104698985,2.6570813742511707,2.542975220764564,2.6110135960600336,2.587941627919841,2.5866010331558584,2.5851070051333314,2.6183018080561657,2.7496044996078965,2.623534141762242
identify_nbi_infframes,2.4312072457900396,2.4459692813813696,2.4481081602184203,2.4811041128209,2.533323686221513,0.0,2.862133062104697,2.460311213021525,2.8027644303701735,2.739663462515567,2.5605842444703555,2.6113940934106514,2.505620943774955,2.558869431994824,2.789473920180712,2.8045253047101792,2.436930040770377,2.4392204568884197,2.446354116930722,2.4549055603652126,2.431887753899396,2.4213545504755465,2.4383311354283155,2.424061189379535,2.432476042640528,2.432591016993347,2.4333110527181168,2.501741496781768,2.5060918402426395,2.609774880625521,2.783380890304017,2.6729315104579423,2.671716585965963,2.550855302000281,2.5849748106292445,2.5750404750088167,2.565432298616181,2.5805814353560823,2.5760656945118257,2.554046061699725,2.565526349309428,2.586060005981584,2.5471230039631476,2.5667856072828354,2.5504791900175263,2.6006929602771165,2.6907037750426124,2.5642078827147903,2.6409769549572357,2.669160239833764,2.780431794222839,2.668703174010608,2.5823354836255583,2.8007706406805513,2.7435114490387966,2.721330754654071,2.7606807851111435,2.535419014235969,2.551456662959527,2.535744217830523,2.650948182807631,2.9609406640368565,2.625619743349553,2.5164802925004204,2.5816977026145906,2.576592898313351,2.5859799181621854,2.5513475998763653,2.633968326384207,2.6907025041166204,2.637028577338426,2.4613521427835865,2.451876553252593,2.434979750743979,2.473864901556489,2.865167287276358,2.453607566314018,2.666839058689426,2.5545261422541543,2.7733990057608913,2.450640929606619,2.4420130683871135,2.4506316876632908,2.4567177402491085,2.428209846808091,2.4258755904043983,2.438629605893522,2.4243741581618585,2.4187494838144263,2.4329631964116216,2.432787068683536,2.516795023647618,2.7811150050488544,2.7144870021995935,2.5693430526219236,2.570021967692533,2.573059377901341,2.5678404578327623,2.5778334542579175,2.5720465607894116,2.559338390997093,2.5622886587261,2.5608804250639805,2.6035932754215256,2.5485626018184733,2.5658547137677443,2.5850542825782137,2.66829073558858,2.687123602373785,2.7273969496458945,2.7402058567577305,2.77199842649796,2.773709589843718,2.8218431035340164,2.7464816841107798,2.550410392885658,2.554611019122648,2.5387793166466857,2.6443375486108667,2.528227665779483,2.60097038957534,2.573617598309082,2.56837566793437,2.5682930993199267,2.6034768671906696,2.717504387607898,2.6188057552464623
laryngeal_tissues,2.4333705787830584,2.448243781987336,2.4467302435182656,2.482905026157022,2.5335349785956534,2.6975725190913313,0.0,2.458429534532232,2.789246456102652,2.7148495935830983,2.5484240555798876,2.5983228268494347,2.4909136889879524,2.53885126446336,2.772795254953886,2.7854260235729074,2.4390860088199555,2.4396265294054964,2.449329269246054,2.4590598986867804,2.4344704653375624,2.423836154591103,2.442235156231956,2.425974210291967,2.434523684720232,2.4343789095126995,2.4365301769405376,2.495124863302498,2.5078182191589713,2.613438165762199,2.7721147937254016,2.6659351262172124,2.6646157706754776,2.55374636918355,2.5908467938367363,2.580211188106969,2.5696751970549223,2.5848501559763037,2.5778157313436596,2.5603928041999633,2.569346177124281,2.589215335832504,2.549695434696157,2.5717653950480854,2.556455978448381,2.6051334344095114,2.6879316366393224,2.5617764681818667,2.640376262107839,2.6560542172920147,2.767074720529898,2.673398381126468,2.581568113907763,2.786559090488196,2.7305977942017234,2.7111970066427187,2.747516905488521,2.531511954294376,2.547121273966983,2.5335312011389646,2.6525465462943827,2.94248659196802,2.618505570939036,2.5150930241046185,2.5796293933041676,2.575980463684588,2.582466654901459,2.5509666371966606,2.628063070106191,2.685470196937409,2.62993718901472,2.461844119762149,2.458383347223961,2.4330200172009433,2.4722715790654446,2.801262101470866,2.452931931295151,2.645755771100041,2.5375051542774485,2.753879792313268,2.455385940831828,2.44311504345136,2.450775748552672,2.461289324648665,2.4316215045297342,2.429828791418692,2.4416970004765735,2.4266340556783534,2.42331032322067,2.4379721332303768,2.4356370087720585,2.5193499962020556,2.7713374424854336,2.7034011141188796,2.5714642014597224,2.578028696480043,2.5787981353844267,2.5717116766565367,2.5831958321506083,2.5766438681264043,2.5651263449442148,2.567863305146221,2.5647153213361165,2.6076763175389495,2.554815184496849,2.5704475247382805,2.5889110108742823,2.6653195252252093,2.682543117102631,2.715311092160447,2.7280666648062897,2.759506175700649,2.761381602507353,2.8072673633363454,2.7362355799883398,2.5468393605603215,2.551281230088389,2.5345587952823694,2.635313889715281,2.52584520676368,2.600850330799724,2.570330257143345,2.5673480998305966,2.5683987666973995,2.599941338418189,2.710718401130481,2.6132171497472836
nerthus_bowel_cleansing_quality,2.452053150976008,2.4614769952832942,2.4726958531040446,2.5002453796087174,2.570121911747999,2.8184699490183434,2.9792237616264923,0.0,2.8903062373818935,2.8147177580611187,2.6068879678110486,2.6729914025597745,2.534871930814132,2.607024467537082,2.8539957410843364,2.8760582835373847,2.452801533901392,2.4474291919898503,2.4477575429463685,2.4541410123215086,2.438551340081614,2.439367678918106,2.446754800764743,2.4418217441246686,2.4470438229269726,2.4412999084871014,2.446196446583321,2.5404363782233848,2.518894877266484,2.6718389599261916,2.858904574077336,2.7330450422084533,2.7002628073075132,2.571420814061975,2.6034797319041325,2.598097327660909,2.588958206189002,2.5959691999080046,2.602619241484904,2.5692329543262358,2.5873831345665694,2.603693126733244,2.5619889898695654,2.5877594166656714,2.5774270184196837,2.622815771641816,2.7260275108695353,2.615957801431217,2.6527845382664283,2.7400338389771317,2.824644801255383,2.6877128652617093,2.593831288234999,2.857020281188024,2.789339457679937,2.7670570777474364,2.8099736903819497,2.5396616156430523,2.5556074876519768,2.538052575726963,2.7112927386944903,3.0226963419974084,2.6421773694271953,2.527679068624383,2.6037753837791753,2.585262310589811,2.600815733746886,2.5588497766143528,2.659378432275739,2.735457123802828,2.6723277730700037,2.48385628622734,2.4686844220563593,2.4494425072313777,2.4873800259403334,2.979432175574586,2.4585503991771387,2.730286535693204,2.596668938975154,2.84226538632917,2.4679735970635135,2.4556385400814564,2.4530060403974425,2.46168022132869,2.4394898517182537,2.4364426812643574,2.448116588722849,2.4386912214703402,2.4278950513415634,2.4475230351980786,2.4444648443950943,2.5321592841989506,2.8561597930540246,2.7560226568338764,2.5888909140655527,2.59225620191663,2.5976238503985565,2.5829289744843984,2.600514321713609,2.5967131309037885,2.5821269830162326,2.5833349083262926,2.579620394629857,2.6265141212134657,2.5701098305356966,2.588552257839226,2.604357664778557,2.6890127419125824,2.7121445157781183,2.806070971456888,2.7821402829269193,2.8173933741063815,2.8261296983696735,2.8730283145943982,2.790504355562188,2.5574908425915464,2.5551941041919446,2.548778257690888,2.66408374443589,2.5471956099419666,2.6162960585148145,2.5900641494636036,2.591240390671633,2.587618154720884,2.6224030119327137,2.771776844316778,2.6457483739344347
stanford_dogs_image_categorization,2.4365753871578653,2.449171599302555,2.4540172741979043,2.4847498372208765,2.5405388944765375,2.7345988198155915,2.8869831151400427,2.4629239204943145,0.0,2.751568512310353,2.5431371880971203,2.595308107820594,2.4962641114843187,2.557853491707453,2.7823471620340654,2.8000428219617657,2.4425432683105015,2.444039326209425,2.4506450188857314,2.4587288228040243,2.4353620117395645,2.429561737036438,2.441877458146718,2.431962819771061,2.4384068691726153,2.4334566566270714,2.44021194136229,2.510487023738725,2.5120179546362555,2.625033403769327,2.782216528427369,2.672950174699198,2.665402766750028,2.557134418814263,2.590223364267808,2.5840621622226627,2.5731947599138683,2.5872577835387145,2.583169205513145,2.5599365238567477,2.5712237797005,2.5933255785780402,2.550299538898527,2.5782164841129767,2.560616944293445,2.6081942221428966,2.695240518836154,2.5741125438132424,2.6429393608573912,2.6786641151375523,2.782382319836592,2.669391603619536,2.576345786502176,2.7996653645997176,2.744927516508297,2.723898492494847,2.7595937936667547,2.5385062725757344,2.5479364184244386,2.537055245771641,2.668471675386856,2.9521860620966587,2.6225312970314247,2.5195909832147887,2.581395779082579,2.574838411119109,2.5837413787204846,2.5503634613996753,2.631005335699542,2.6886299441094725,2.639419292586145,2.4674444793207346,2.458104484318275,2.4359286186441675,2.4742293411015686,2.8913053259473296,2.45556050090085,2.674578247985063,2.5456130094331915,2.76788164997233,2.4574715072559865,2.448320156969271,2.4549666116658857,2.4627663971583207,2.434817446030448,2.4318803130882407,2.444468436947475,2.428528399853621,2.4257175094549623,2.441485476198412,2.4388839282146773,2.5235229345231547,2.7808280691455667,2.704750246263649,2.576825451583916,2.5813928362696457,2.5830835840732265,2.574397643406518,2.586480656764708,2.580308382185815,2.565731699938007,2.5709508495989333,2.5669560401362617,2.613083787894942,2.5566767199759393,2.573608818495636,2.5935473363441814,2.6694005904208495,2.6880584063958377,2.736097863266508,2.7394270140887578,2.769911962045941,2.7733951040769718,2.8194881859213443,2.7454350195099613,2.5548107116104717,2.5544558880741524,2.538206839750129,2.6376951884281703,2.5323848980854784,2.601276923368198,2.572753748498175,2.5651601362714853,2.567221201766834,2.6033902794512125,2.7139587816573325,2.6205541324551156
svhn,2.442614033153796,2.4590437258494124,2.460918193406339,2.4906627046807768,2.549195026822973,2.7427384729611584,2.8823014526242576,2.4631942089130914,2.8242725292984927,0.0,2.5643833771684603,2.6197215189589698,2.489737098277326,2.5420399636351045,2.7684165614550658,2.7798403903017737,2.4481513248817466,2.4469814229029123,2.452911333257984,2.459430718048598,2.438609611022744,2.4325955519126348,2.446164601759298,2.434341643845346,2.441418839099426,2.439619269298554,2.4425407961787515,2.5162744835290045,2.512351497489436,2.6335811680120442,2.8020941261112267,2.6935652043964504,2.6791720715481553,2.5623131834713666,2.596908585542179,2.5873797691141416,2.5766806627645047,2.589508020490898,2.590463447549155,2.563821809412504,2.5770666437578096,2.5962475786333794,2.5553187283156515,2.5790497328195046,2.56508662012615,2.6122472775002508,2.7037425864375604,2.586150700081896,2.647558942032057,2.6926151784300454,2.7959645465604512,2.679153394944527,2.58656489172977,2.8192025627861277,2.7572884824527075,2.735157785917518,2.7769429337310956,2.5408469615610203,2.548682435274922,2.5379092085671138,2.6774462066809153,2.976466791641049,2.6263851020344067,2.5252749404344152,2.5882206520100546,2.580400023578776,2.5900445258332763,2.550808764464869,2.6353153119887773,2.7018282418419,2.6516920093534804,2.4747016003580837,2.4635424404961555,2.441702612360303,2.480616873106592,2.8797912297805226,2.4595750678638146,2.625932967048905,2.533540346425456,2.7565351293542832,2.464330841744752,2.4511635686295645,2.45475171345354,2.4650308294509893,2.436760300168811,2.435147221369153,2.4461248487327576,2.4343095054394976,2.426445700781585,2.4417288521983944,2.4412608934624602,2.5260237612377328,2.799291615880221,2.7249568030848965,2.580106295476047,2.582452425652394,2.586287015497055,2.578104983707729,2.588885658636343,2.5839232186634455,2.571304081399144,2.573680056409936,2.570196419198431,2.615492195763294,2.559157057044307,2.577004060902196,2.596603014965246,2.6789279958183263,2.6974586692110645,2.7512835159108984,2.7518822921213513,2.787847836089723,2.788849989960006,2.8359325598617433,2.760012972980932,2.552716800288835,2.5556046323719586,2.5450001817387835,2.6421623626931052,2.5349460423206587,2.6053216046530943,2.575282732429544,2.574155630803441,2.571894688216602,2.606248161473418,2.734425218807025,2.63108691189259
