,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.12260209940972429,0.12422010942206815,0.19323894936589597,0.30880402796846834,0.33650830879105176,0.5818196523057441,0.2581620025777789,0.404443393020766,0.504310534980623,0.2550961791131764,0.2418562834430753,0.2712873302104181,0.2626545329458421,0.5776463639639423,0.6108640180199801,0.1541157857359709,0.13981523426015313,0.20206013704561349,0.1644378515653767,0.09947308869746078,0.10148572592522782,0.10021609734704905,0.10015782952713558,0.10008492673384871,0.10003127498098015,0.10041002877491888,0.3046680388540246,0.27445827165438047,0.3212945959502068,0.4820096228944392,0.44301374986675346,0.5765324762014923,0.3503963420720829,0.3475044674726267,0.3672834930577757,0.3459428668495981,0.3694534257509798,0.34206613519735585,0.3406440316711049,0.37492969366776036,0.3683694154449414,0.3546408670664255,0.3371810565915881,0.3497920070999681,0.38087935621648905,0.5211553458158693,0.34189887445594797,0.5249499433632662,0.41129829753260455,0.6386825581802746,0.554995353013002,0.38932837372194273,0.6423215421104368,0.6413132363011387,0.6413450331309265,0.6433607591757032,0.3943787857736917,0.3824672121190904,0.3826853999384338,0.5046379835241853,0.8611011439294431,0.45718982287563076,0.3287596116615209,0.40210822669908053,0.4358167934694463,0.3816704247062933,0.3651815178699616,0.3930001677573539,0.47768710166549055,0.5662677426944521,0.13259254046082955,0.13196046360726404,0.12617210937588677,0.1946183972243712,0.5802928334209746,0.2572247401703703,0.49833506572670555,0.27248361598687154,0.5757171461650523,0.1546039489030178,0.13816946487161647,0.2039271746119667,0.16472336823018496,0.0990421742712261,0.10124958482532805,0.10137665633570914,0.10468076129058033,0.10419798769831175,0.10003757336241328,0.10124720946554733,0.2805641895942903,0.4827772338150293,0.5727564900073251,0.35680781761642494,0.3489680442562194,0.36441255272359774,0.35090436573680756,0.36689994633943845,0.343949109687376,0.3377395377688234,0.369211485721551,0.37350145240854504,0.3588537867640639,0.33754932476329647,0.34919575285652366,0.38474606784896087,0.5222083369162004,0.5257323703070924,0.4095163275105114,0.6399064987307193,0.6421491093694238,0.6435322323071916,0.6410244211488721,0.6416406089509882,0.3912440242524996,0.3838512917901403,0.3821705947421622,0.4592487669615064,0.32363840180422593,0.4019778106908023,0.43446707069096435,0.38151301103570184,0.36872826464099145,0.3908523852941448,0.47806289865747764,0.5621622986414861
lapgyn4_surgical_actions,0.15347706036077088,0.0,0.11793720373950436,0.17089410617951556,0.32421321308806006,0.3495218816536764,0.5899061029199288,0.25978553000349136,0.4252807326140552,0.508396549918548,0.2711821569247035,0.25670333625602576,0.28058371048950226,0.27481299594357295,0.5779183484903926,0.614661831196521,0.1693317857843799,0.15332491980306723,0.20675182204626105,0.16781351869801664,0.09694272456545816,0.09880900967973708,0.0975104712747982,0.09762696582779916,0.09747967032972002,0.09747016943168957,0.09772828613310046,0.31761536197716245,0.26943255075687855,0.33152037952428615,0.49332232574003754,0.4622514807722519,0.5782057760583111,0.35257381088691386,0.3492157384235082,0.36811418605917107,0.34834267158949395,0.3702498096502588,0.34434144215086265,0.3430915600298917,0.3759845757105532,0.3693130187515903,0.35598321895631097,0.33955963213154416,0.352432792961157,0.38127190946211964,0.5223777637097644,0.3530046008282493,0.5251076706341278,0.4286722308902917,0.645494028019242,0.5491636493475507,0.38872802110296595,0.6490610106570842,0.6480340406894506,0.6479069170022508,0.6500312604406088,0.3904608491280097,0.3816559437290161,0.382270410485158,0.5098638074717629,0.8591871342736216,0.4482330178789609,0.3268571561228176,0.4011786444055392,0.42687427869042494,0.37702568520905627,0.3617467958369433,0.3883209202937149,0.48374494292489695,0.5723829700818902,0.15351750838380931,0.12155300280507472,0.11934576411274497,0.1713091266236769,0.5883605976094555,0.25886185022343167,0.502285099624441,0.281882419952853,0.5762672622008662,0.1702031851002868,0.15152295119802464,0.20835241870074994,0.16830609652924544,0.0966815439375141,0.09866862137590919,0.09839662944354721,0.10173064268801228,0.10055393706034918,0.09771495714702791,0.0988107364508943,0.27466760649179917,0.49398632291147576,0.5745900924422834,0.35862446372248885,0.35016847739195545,0.36525973593855443,0.3528708580583141,0.367993368774364,0.3462419016474952,0.34060588422495325,0.3703577546741879,0.37419035701810077,0.3602735987540041,0.33997170530860266,0.35136627929921843,0.38487507066004806,0.522885235281594,0.5261471357373207,0.42698800439344037,0.6465781069617426,0.6489119097129034,0.6502191942916996,0.6476433583750677,0.6484173997652813,0.387469555318908,0.3829590989999241,0.38166716997348193,0.4503189979247835,0.32174415739489837,0.4005189911266453,0.4257810104991763,0.377118517953697,0.3654637692142114,0.3866516649583312,0.4839830469448801,0.5683608964151617
lapgyn4_instrument_count,0.15647276115280634,0.11841507832694914,0.0,0.1687942190456677,0.31749478095007294,0.34139792878922887,0.5834977565987859,0.260589260425174,0.41449060891856315,0.5019840132910165,0.2611482439209573,0.246254872766689,0.27436894414156443,0.2676771525212281,0.5747963599109955,0.608826052764549,0.16624150470619173,0.1500187330625966,0.20962210609373008,0.17425203990101026,0.09204970076196967,0.09394828523238156,0.09264478341898211,0.09267317431407773,0.09269949322906748,0.09267406397936846,0.09287196580130515,0.31303001078361525,0.27463213551119453,0.3361059798275978,0.4885417364483104,0.4532123173283725,0.5783338575494726,0.35757680605238756,0.3548460935524134,0.37438300366063765,0.3532798002591871,0.3765381121671633,0.3493716075994826,0.3481060478047766,0.3821655560604913,0.3755099772075025,0.36162969399329353,0.34402520001134373,0.357634312211351,0.3878027857381644,0.526228314019393,0.3490836833096291,0.5297095821187854,0.42500790509131126,0.6368413721547036,0.5575893395739198,0.39207372721169276,0.6403478509712389,0.6394447878648971,0.6393328822695736,0.6414318913094059,0.3840868453184421,0.3772060410456943,0.37797593264463253,0.5137906187433925,0.8527209024274268,0.44649061132991674,0.3244513884287019,0.39218400621451477,0.4299985241593259,0.37044174230152815,0.3578396492690579,0.3818108452713828,0.4831728379928302,0.5640352774809936,0.15638789587749902,0.1250878420576072,0.1143954726151343,0.1698917466694012,0.5820279045343136,0.25967569911453686,0.4958769771779355,0.27562353863460093,0.5729227723240596,0.16705937361968706,0.14805764250735218,0.21129732698854103,0.17469821528640986,0.09189195679787376,0.09381006466645056,0.09387774498076498,0.09671745767520869,0.09562416711670053,0.09275677896419486,0.09350896125934022,0.2804435615024748,0.48931350685689073,0.5747034013342248,0.36406984560458444,0.3560262999315948,0.37136981610499425,0.3581207471541697,0.37384124502288635,0.3513277879113888,0.34543381425504754,0.37650190532225924,0.3807027012025371,0.36613736357224586,0.344390983226145,0.35685231877941626,0.39152933099404624,0.5270769597387697,0.5308117334475122,0.4235982216085205,0.6379273015342161,0.6402530228560819,0.6416658784497808,0.6390119382655199,0.639721494610858,0.3813005857749533,0.3784820132109228,0.37734619981069206,0.448467832800807,0.31910877864801723,0.3915497370153505,0.42885563259484677,0.3704564462244627,0.36126750294924403,0.3799722640420989,0.4834189090692293,0.5601546612349585
lapgyn4_anatomical_actions,0.16045191584710375,0.11158814825008097,0.10822002493043557,0.0,0.33122174708839835,0.35062486395856135,0.5901172533972114,0.2700047393593075,0.42339031181531794,0.505416549792551,0.2687835284362906,0.2538821529923373,0.2806629033768738,0.2747463597573718,0.5789708922652133,0.6137128932691541,0.1792422896868872,0.16168984887069537,0.21732591849690117,0.18122023897446182,0.09755242709730508,0.09948018130298507,0.09801418244207512,0.09815287676216584,0.09810971947490306,0.09816908010799966,0.0982409883357068,0.324453014082461,0.27446720118765233,0.34397650160030957,0.5009147912167601,0.4679661760962598,0.5853611591789426,0.36293535859457193,0.359630177281618,0.3783550966585915,0.35911396513924493,0.3803206819137243,0.3547619645008394,0.35400109615508624,0.3862126718068338,0.37956695854353095,0.36604576109280135,0.34996836460279845,0.3622761007724651,0.391007585824794,0.5330660555544253,0.3598236794404338,0.5360556508650702,0.4379742756632093,0.6530653305118678,0.5591681021791247,0.40122929639598204,0.6566700310208419,0.6557862761327813,0.6555026913172682,0.6577672419837518,0.39488117479825435,0.38924791748355014,0.39030948726927966,0.5201781134429264,0.866461550964361,0.45236317589578406,0.3321656865929587,0.4011699863453643,0.4327316595595205,0.3767602315102246,0.3615212067289775,0.3898055893941191,0.4877212042823789,0.5775581062692124,0.160217824995429,0.11917568092876463,0.10991658411376953,0.14795373731261952,0.5886848825991926,0.2690287829200865,0.49932700732564345,0.2820477272230054,0.5770635718395627,0.18007150931085028,0.15979373553894563,0.2188277703878174,0.18170031576782408,0.09767512829345942,0.09930285437394311,0.09938368256527245,0.10240999307386643,0.10047085539687242,0.09824438515769453,0.09918579810683487,0.27989926146311184,0.501787841103342,0.5819494244199088,0.3691181566649142,0.3606379363807714,0.37545121795416864,0.3638227637229647,0.3778015783852149,0.3567291427048594,0.35135418468452095,0.38058769741876675,0.3844821104345021,0.370580489956594,0.3506068777866415,0.3612715304634986,0.3947298513719671,0.533709470604075,0.5371095781955771,0.43665187613200585,0.6541207682118801,0.6565692501105814,0.658006791949138,0.6552034785886647,0.6560732623774892,0.392084194727174,0.3905509648870127,0.3894447858274209,0.4544603989797041,0.32668760674478525,0.40035723767535025,0.4317218159741153,0.37684687102480124,0.36504099392535966,0.3880337775579353,0.48793246901325665,0.5737057265584825
sklin2_skin_lesions,0.20311442289398257,0.192530998717471,0.1778585423828689,0.26332136440800263,0.0,0.2906123952396526,0.5279298134290048,0.26733896089822795,0.36759591699530547,0.47122649604039946,0.22147400120403374,0.20524229390906237,0.246829650503945,0.23177620593037948,0.5595027754851878,0.5816813311360388,0.14739910876145743,0.1409683128230863,0.22246522948739875,0.19539690606834118,0.13411026690749137,0.1363826487572465,0.1353792481241418,0.13472405802852674,0.13517773578478193,0.13515449240262076,0.13568000401620664,0.21829485376797725,0.27965202668252287,0.2820779550057014,0.4455049250606615,0.3566645021085624,0.5438785967972352,0.35921874000737336,0.3571898849252347,0.3775306158755966,0.35444147787507657,0.3796915352960043,0.35042378291877063,0.3482105360415746,0.3859309464209069,0.38077922222822774,0.363671153238462,0.34173654401986037,0.3608518364735302,0.39144994414295586,0.5390983552294867,0.2435573363099042,0.5445144621755935,0.32019389955257166,0.554907851228292,0.5835771732012439,0.37948991429954027,0.5586452733858468,0.5576033300163499,0.5576136533423675,0.5597033388626413,0.3501460707394102,0.33340947892489636,0.3341621045456267,0.46296582073769915,0.7861043494371728,0.44843882142231517,0.32143557286370333,0.38063824117309747,0.4479536082568751,0.3684798957115082,0.3557977313700568,0.3708278312107286,0.4501647328667991,0.4851683721675953,0.20212173291148824,0.19632375458323942,0.18260140149471635,0.2659449381502483,0.526629607973843,0.26579485176283796,0.46549049248900054,0.24789406750365103,0.5574174786776505,0.14886737427353983,0.1380129887243826,0.22411444526890056,0.19657937911373324,0.132659474701088,0.13633333915299792,0.13780466757398435,0.13961126410546418,0.14070525313684676,0.13500952693598406,0.1330539874163975,0.2879900265949343,0.44598466316435736,0.5402268578505677,0.3670982139591085,0.36021768352883105,0.37404823555687994,0.3600428074291703,0.3754264398343258,0.3521790330540919,0.34465899135695827,0.37991996164598724,0.3861653996346886,0.36851131926469577,0.3420738909321853,0.3613048512118741,0.3960784610766565,0.5406339574932976,0.5453407631856599,0.3193487886881457,0.5561791723405309,0.5581929069481972,0.5604202247599055,0.5572596002892939,0.5578154556329469,0.34677178325263336,0.33398759556445706,0.3339124172964106,0.4506123205551323,0.3155939140842177,0.38139089552491745,0.44663578068234333,0.36807551815344586,0.3583556496076999,0.3678673031548729,0.4504144454566764,0.48140316715665643
identify_nbi_infframes,0.19165337751669692,0.1802685386601491,0.16938124777149885,0.25610436680760357,0.2899471879610791,0.0,0.4781258514158449,0.2820590917553054,0.33928189887028615,0.4224928878424091,0.1946851323093377,0.17988035288052592,0.22512804964864205,0.20610664963594297,0.5276045203569126,0.5525182836112306,0.15773706668342846,0.14893351099576205,0.22904034709337343,0.19240838878589878,0.13409454087640382,0.13681693366350392,0.13526157118819537,0.13458820542445887,0.1352370813869562,0.13523710950707887,0.13616903792866678,0.26238992032616965,0.275226724601277,0.2845891098319386,0.43308400382276757,0.4014715931933827,0.5691838983126404,0.35685702798067415,0.34894034817188224,0.3679681662402133,0.3530682688380811,0.3685522925813907,0.34730297403718147,0.346012313138306,0.37513185610732586,0.37333567538997214,0.35580253799213635,0.34266167083020277,0.3529838640826295,0.38064767051897874,0.5373369651683642,0.30355564035166527,0.5439378701384372,0.34844529553455583,0.6236486002142645,0.5944858119301779,0.39758740498045436,0.6270951430121511,0.6265024234376722,0.6261806737562788,0.628413423894729,0.4030644863698229,0.3891089346682647,0.3897223653588055,0.42988370884810234,0.8540240243246535,0.4532707437343865,0.3218252061321052,0.37853539471751874,0.4562319068350347,0.36675808257889725,0.3561502294448104,0.3784492485579274,0.46847766551011794,0.5624493840246871,0.19092673790308726,0.1819569221605572,0.17339063630347706,0.25889227848062446,0.47650145300549307,0.280205730339466,0.41806951014434013,0.22613011749963186,0.5246229210192587,0.15807718249639702,0.14551238406354391,0.23119009570373208,0.19332040918608726,0.13249969565565517,0.13551873360290004,0.13800307459712335,0.14051711565211722,0.1409215502228584,0.1352749352799951,0.13303069339272292,0.28388015059439875,0.43479073632598203,0.5651318859154015,0.3636415334927444,0.3519301967245348,0.36523795260503467,0.3602217090612532,0.36405829179108234,0.3483220954983373,0.3419561866069363,0.3690937080840803,0.3785339152964855,0.360310025951547,0.34392313244580625,0.35330030917920563,0.3857067061676323,0.5391634971280583,0.5446618831343956,0.34683915201386495,0.6249391851725263,0.6271153844181578,0.6285752321603025,0.6255490815409619,0.6267403481112074,0.40028738396133495,0.3898144996115888,0.38860331784311153,0.4556354434520012,0.31595892956592775,0.3794240054500485,0.4543487805489058,0.3664508688646126,0.35820969510376705,0.3751333076112235,0.46921988383702473,0.5584384180845647
laryngeal_tissues,0.2307005783371849,0.22092953429858334,0.20392247169355157,0.2945952123467496,0.29156260934254047,0.21918222581065058,0.0,0.3167080866056274,0.3156293015520713,0.3504619459288486,0.1742623966869007,0.16280800548422936,0.18247241970438888,0.1606001935119479,0.5010696258040176,0.5199414870831934,0.19204809598747383,0.18309735304902167,0.26532802358487806,0.24063904858841056,0.17908514199779457,0.18226428025480654,0.18033502348052813,0.17954769342321697,0.1802978739895856,0.18043522426331887,0.1813381672882121,0.25338246206423176,0.3106886350298827,0.31219556330120957,0.4490743071984,0.38733953678846805,0.6013249160363533,0.40457692068281603,0.3986537344861495,0.4168686433273694,0.4022048552697075,0.417668302254561,0.3956605024208666,0.395307512016535,0.42421129984797074,0.42238369297433515,0.4042688078002675,0.3919821647072766,0.40091319567672906,0.42888739118177105,0.5728610739027403,0.30795256484383404,0.5809069822648122,0.3216538194141322,0.6478953454836772,0.6473263236395359,0.4422318007027918,0.6516605136688849,0.6509408133910372,0.650445322290438,0.6529536769458018,0.415075340500116,0.4000082711365256,0.40110771375907434,0.4405739254000095,0.8850587872067154,0.46871967672666737,0.35606906475669736,0.40660247896440194,0.4890126193511529,0.39041481734518446,0.37908400000397635,0.39713449208294127,0.4854202900106143,0.5919897941202313,0.2299190539167723,0.2282907407564075,0.20887216822054658,0.29711265427284145,0.32857914766905655,0.31468131984185904,0.3472316456529185,0.1832172797475244,0.49720283417978467,0.19298507650889948,0.17986620856993157,0.26770371343973554,0.24175735991940356,0.17725348888239123,0.1808630776238903,0.183898527169474,0.1863305288071456,0.18652858205570685,0.17991547170987385,0.17728532883103854,0.32083921450203734,0.45067524281179816,0.5972710652334016,0.41258742478322835,0.40213624585881735,0.41382465542388336,0.40986631132819323,0.4127541164495962,0.3969718121509628,0.3907975874538329,0.4185139200411162,0.4275412187637559,0.40868021195444676,0.3934820238497751,0.40157052574141605,0.4348069351506948,0.5752212506406215,0.581481926880575,0.32128244530017175,0.6493101851294176,0.6514995734001402,0.653127583158938,0.6497534248765117,0.6513228421938744,0.41203759077545604,0.4009660229549782,0.4000314831962169,0.47124664742152,0.3497538962696278,0.40726800221507836,0.4876234325879475,0.3895571513640441,0.38125201260742086,0.39405447497550156,0.4863874407943686,0.587946862427977
nerthus_bowel_cleansing_quality,0.20266495298678242,0.17991531366333816,0.17667805590466432,0.25248171787249946,0.3155355617403022,0.35843332482822615,0.5886258186766055,0.0,0.4410620546824544,0.5003169428926115,0.27844806380635884,0.26111387262114993,0.28227888379830945,0.27641691957771697,0.5702392375317086,0.5980231283107967,0.1481073734621396,0.12559184578522528,0.14138989838245103,0.13316635425584747,0.11752314367454961,0.11899005016255945,0.11812548417268752,0.11820854876457959,0.11839421438060771,0.11818420516422888,0.1187885506501932,0.31136449025741925,0.23959538605827693,0.3363411346614342,0.4866316530298174,0.45771380543438717,0.5358961421057414,0.35227673729325604,0.34638604029780007,0.3653646625296987,0.346836049490066,0.36686248120241977,0.34325658412780374,0.34077688375281956,0.37296906660132245,0.36837832070540644,0.35327275249045537,0.3369552536029675,0.35297792861678656,0.37834610477875474,0.5219319811642962,0.3471808169884069,0.524832692827696,0.4259776544046616,0.5947066658666736,0.5568752118264663,0.3567428808434559,0.5978543257519306,0.5970523885941447,0.5969337954355806,0.5984461983233434,0.33151420281488203,0.3213555003457597,0.3207873175079047,0.5051718204165783,0.8000482577958792,0.43793956454341726,0.30510276831386884,0.370948004698828,0.42229727437639264,0.3639867583382081,0.3430293032398082,0.3663999546195554,0.5052122659343492,0.5196674527147473,0.20243106357935928,0.18904961526172798,0.1791902985444635,0.25347733232814984,0.5871862214246103,0.1572891503510198,0.493841796321493,0.28256923472118844,0.5691221531754768,0.14940972460015356,0.12584135974618083,0.1425455525537363,0.13366819279695083,0.11651529592394695,0.11985657823632391,0.12003413671066294,0.12181320866761426,0.12234526270197901,0.1189909805709393,0.11780263775576344,0.2448659581467601,0.48748921276058477,0.5323340874020183,0.3591734173360412,0.34783501439520814,0.3622726114586783,0.35155354125711025,0.364311868153565,0.3448810179181379,0.3384378153018933,0.367554042329998,0.37368330854457105,0.3578702896490044,0.3372009593863067,0.3521590971315796,0.3823993641391117,0.5224485497176243,0.5261454989540129,0.42440514842498295,0.595918974207734,0.5975943433341423,0.5987598622157456,0.5967568210085404,0.5967481887091568,0.3286214576885168,0.3220311205392366,0.3202969242164857,0.43994796952373383,0.29969550285342805,0.3707144671229083,0.4211226408739353,0.36364956089140715,0.3459307741472848,0.3644479838473259,0.5053856421665822,0.5156113471550556
stanford_dogs_image_categorization,0.2186780154066809,0.20233182728898366,0.18741774946809808,0.26972450589990576,0.29806786551392994,0.2697230179480126,0.4904464578467782,0.29706553367102784,0.0,0.4308498434900669,0.1725756928835106,0.15980066545297053,0.1958892510779346,0.19041128979384336,0.5282740184340191,0.5628300054796631,0.1820817791272892,0.17542662144944832,0.24724362906685757,0.2204716063289068,0.16162500601934907,0.16429121967271235,0.16263683250991,0.16196419976223309,0.16262817382625788,0.1628153858431866,0.1633745368792301,0.27882275887521635,0.30239500026456173,0.30712489891353456,0.4487447445937529,0.4081209585850156,0.5624112373102014,0.38226423361507017,0.3765538723153736,0.3946670961927484,0.37935597203216803,0.39596428921186,0.3739026874668539,0.3727296943446081,0.4017908092542985,0.3983893122133555,0.3826613108733174,0.37054795592823175,0.3780445829432329,0.40669554645260886,0.5482860839190877,0.32370273085970486,0.554646680202874,0.37625443697675187,0.6282747211162464,0.6018566211612363,0.39186103455333077,0.6320180404043757,0.6312054085669756,0.6306848028177257,0.6329305873208774,0.39222724246023977,0.37675088800360285,0.3776573143764533,0.45884587771312163,0.8461455135199969,0.44269824952120296,0.33220471938379337,0.3774561836634338,0.45424116343816817,0.3580613109226212,0.3487075082805233,0.37081828099087005,0.44497396833767333,0.5661811420637541,0.21726803476429918,0.20733127504664356,0.19172625408210048,0.27218789349647987,0.48857874134492313,0.29534442081582124,0.425490545354663,0.19767708027398012,0.5261822207335847,0.18239612249865944,0.17262891882537187,0.2491141292481442,0.22131191631505012,0.16049913705562435,0.16368018873701848,0.1658149251272141,0.16767940059582892,0.16824858643774485,0.16277402088455725,0.16032549072850907,0.3110266569071898,0.4496709426977749,0.5591746223558673,0.3896527002625268,0.37923789462740715,0.3917471678955609,0.38596644995311774,0.391657121954516,0.3759204847905217,0.36913391159241615,0.39603354296931,0.4032074203440023,0.3868502603460802,0.3716437705329223,0.3777328697548324,0.41188040979737395,0.5501602494562202,0.5553402691280289,0.3759054407666622,0.6295593128210987,0.6320676754877019,0.633404644021697,0.6302826556621958,0.6313376501087589,0.38936837267922664,0.37794639317827045,0.37663883426430256,0.4449356332802802,0.32543976055423957,0.37768053273735336,0.4529399213506719,0.357526659312984,0.35091521127755676,0.36789800993616684,0.4454383437473849,0.5622512458454603
svhn,0.24524045472189088,0.22662862657830743,0.21180171017448923,0.29756013837859113,0.3091913822746027,0.24575828908072178,0.4249744158510633,0.29881126547105474,0.35061772901451915,0.0,0.20280877553247784,0.1842317784334789,0.16301775796058823,0.14916861493550349,0.4587930472406977,0.4770235061593112,0.19732208621431152,0.1848794442623922,0.25095348534369244,0.22495885201577798,0.1748182054730191,0.17767389785989698,0.17591074639271,0.17536652832769872,0.17612753756870037,0.17618946859802143,0.1770573193738582,0.28432274371587035,0.29881074032816535,0.3147340679833695,0.45512017914174263,0.43355634812115357,0.5915787139124644,0.3876227521134966,0.38226195409454594,0.4006962712041385,0.38440443504549726,0.4019448462458993,0.3791287426245525,0.3781021558366942,0.40774060595949535,0.4046220922835135,0.38811861930420966,0.37445118432257524,0.3833891492100705,0.4129275000976845,0.5537963801430065,0.32981283637999653,0.5602820545893386,0.37154659756125513,0.6480071576846148,0.6200941873354142,0.412635343291398,0.6514978183786385,0.6511065956079133,0.6503135358092712,0.652588555924494,0.4051163850952041,0.38969434033471256,0.3909557887216959,0.4672735493704773,0.8735048552504752,0.4365752979223554,0.3363010879143289,0.38152674911952295,0.45700210575991995,0.36330998806237913,0.3416095861573994,0.3680585040035026,0.49382386822602325,0.5866840401760977,0.24466519902373193,0.22999851742040228,0.21612618425764243,0.2993279789189304,0.4243104751448832,0.29679904164445237,0.2699264183252784,0.16292320408444827,0.45680456241083184,0.197967994932526,0.18189886021292542,0.2528058704119368,0.22628020638877555,0.17293429162597662,0.17652883493078203,0.17923189211433774,0.1817726345570384,0.18167040491830494,0.1764660941544085,0.1731659103414156,0.3080172275681768,0.45654048547204235,0.587726452454518,0.3952166594553685,0.38497343562004455,0.3973759047794257,0.3910227984443691,0.39710550806752853,0.38037910331160313,0.3743033176076925,0.4021683617005866,0.40985598833347137,0.392656603467663,0.37592895970196316,0.38344356825906994,0.4182712731777261,0.5559017552361646,0.5608656440024988,0.37109085617541926,0.6491540678576588,0.6514093912631079,0.6529961794234208,0.6496367848272776,0.6511051129439652,0.4020157048676996,0.39019382013153436,0.3897616369930847,0.4391358402316716,0.3303173225676613,0.3819528794275266,0.4559589032697231,0.3625675402325039,0.3435507062669509,0.3655265308710357,0.49455827934251456,0.5826758732660622
