,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0017847288399934769,0.001929792808368802,0.002190872561186552,0.004096921067684889,0.005707099102437496,0.016990888863801956,0.0022165102418512106,0.003509366884827614,0.011291027069091797,0.0018149452516809106,0.001536433002911508,0.003140282118692994,0.003424916649237275,0.010961143299937248,0.012510077096521854,0.0022865738719701767,0.0020997067913413048,0.0020658879075199366,0.00156065309420228,0.0016260143602266908,0.0016290072817355394,0.0016242449637502432,0.0016336131375283003,0.001621254370547831,0.0016260624397546053,0.0016243240097537637,0.004331266041845083,0.002344454638659954,0.003353664418682456,0.007357780821621418,0.009655259549617767,0.005863912869244814,0.0025187942665070295,0.002602135296911001,0.0027433265931904316,0.002488490892574191,0.0028039414901286364,0.002483916701748967,0.0024693028535693884,0.0028083480428904295,0.00267171673476696,0.0026511740870773792,0.002457638271152973,0.0025969871785491705,0.002878323895856738,0.003866845276206732,0.0051630460657179356,0.003732146928086877,0.00795396976172924,0.007636197376996279,0.003182322485372424,0.002656640950590372,0.007677178829908371,0.007623128592967987,0.007648184429854155,0.007640534080564976,0.0036338763311505318,0.003461791668087244,0.003460023319348693,0.0068285404704511166,0.00886598788201809,0.003674529492855072,0.0023708806838840246,0.003635284723713994,0.0029440962243825197,0.003331327112391591,0.0029681262094527483,0.0031903330236673355,0.005263039376586676,0.005812941584736109,,0.0019008370582014322,0.0019386649364605546,0.0021609687246382236,0.01698933355510235,0.0022128478158265352,0.010993985459208488,0.003206568770110607,0.011007922701537609,0.002305401489138603,0.0020856522023677826,0.0020638739224523306,0.0015679462812840939,0.0016158143989741802,0.0016514944145455956,0.0016283653676509857,0.0016450281254947186,0.0016338193090632558,0.0016357358545064926,0.00163399672601372,0.002329222159460187,0.007346326485276222,0.005824096966534853,0.0025523018557578325,0.002576954197138548,0.002720533637329936,0.002451421460136771,0.0028337619733065367,0.002502609044313431,0.0024869877379387617,0.002782779512926936,0.0027042455039918423,0.0026996482629328966,0.002421708544716239,0.0025544886011630297,0.00285461382009089,0.003828352550044656,0.0037662459071725607,0.00781749002635479,0.007668547332286835,0.007629632484167814,0.007647342048585415,0.007660977076739073,0.007664958015084267,0.0036011217162013054,0.003475167555734515,0.003494077594950795,0.003706660121679306,0.002338550752028823,0.003602487500756979,0.002949389396235347,0.003330640261992812,0.0030057872645556927,0.0031925751827657223,0.005256014876067638,0.005741712637245655
lapgyn4_surgical_actions,0.0023465570993721485,0.0,0.0018742555985227227,0.0020805036183446646,0.004206656012684107,0.005824632477015257,0.017237000167369843,0.0022362221498042345,0.0036472708452492952,0.011409570463001728,0.0018355861539021134,0.0015494629042223096,0.003189806127920747,0.0034807599149644375,0.010995574295520782,0.012557271867990494,0.0023973765783011913,0.0021904166787862778,0.002111932262778282,0.0015771117759868503,0.0016019487520679832,0.0016043896321207285,0.0015997900627553463,0.0016099833883345127,0.0015973355621099472,0.0016023281496018171,0.0016003738855943084,0.004398964811116457,0.0023105249274522066,0.0034462930634617805,0.007506584282964468,0.009968776255846024,0.005904805846512318,0.002543195616453886,0.002625443506985903,0.00276422337628901,0.0025127867702394724,0.002825808012858033,0.002507682889699936,0.0024927009362727404,0.002832372672855854,0.0026933844201266766,0.0026722843758761883,0.0024796780198812485,0.002625826746225357,0.002899786690250039,0.003915851004421711,0.005287468899041414,0.003775646910071373,0.008149104192852974,0.007721845991909504,0.00320268957875669,0.0026623294688761234,0.007762836292386055,0.007708192802965641,0.007732632104307413,0.007725259754806757,0.0035994690842926502,0.003448198549449444,0.0034501771442592144,0.006865596864372492,0.00892957765609026,0.0036312604788690805,0.002360244747251272,0.0036304465029388666,0.0029007226694375277,0.003293546149507165,0.0029393350705504417,0.0031605337280780077,0.005352671258151531,0.005873404908925295,0.002356287557631731,,0.001881635864265263,0.0020485827699303627,0.01723458617925644,0.002233017235994339,0.01110797468572855,0.003256854135543108,0.011041693389415741,0.0024198389146476984,0.002174900146201253,0.0021079631987959146,0.0015857518883422017,0.0015919716097414494,0.00162730913143605,0.0016031803097575903,0.0016208910383284092,0.001606196747161448,0.0016121718799695373,0.001609388506039977,0.002292294055223465,0.007495007012039423,0.005864867474883795,0.0025760126300156116,0.0025987159460783005,0.0027395247016102076,0.002472815103828907,0.002857551211491227,0.0025266590528190136,0.002512778853997588,0.002806431846693158,0.002724761376157403,0.0027221909258514643,0.0024425224401056767,0.002580697415396571,0.002875473815947771,0.003874638583511114,0.003811196656897664,0.008008568547666073,0.007753943558782339,0.007714561652392149,0.007732619531452656,0.0077463192865252495,0.007750744931399822,0.0035667838528752327,0.0034610291477292776,0.0034829284995794296,0.003663639770820737,0.002327282913029194,0.003593563800677657,0.0029061762616038322,0.0032945172861218452,0.002978089964017272,0.0031648932490497828,0.005345376208424568,0.005801992025226355
lapgyn4_instrument_count,0.0023782504722476006,0.001759351696819067,0.0,0.0020691631361842155,0.004130725283175707,0.005775263532996178,0.01708846166729927,0.002245982876047492,0.0035830228589475155,0.011276098899543285,0.00178087770473212,0.0014926819130778313,0.0031463163904845715,0.003431751625612378,0.010851220227777958,0.012384937144815922,0.0023949097376316786,0.002176714828237891,0.0021389706525951624,0.0016105460235849023,0.0015845031011849642,0.001587417209520936,0.0015823571011424065,0.001592019572854042,0.0015804251888766885,0.001585564692504704,0.0015829750336706638,0.004378356039524078,0.002330935327336192,0.0034705467987805605,0.007410307414829731,0.009893561713397503,0.005880498792976141,0.002563525689765811,0.002653063740581274,0.002795788925141096,0.0025340241845697165,0.0028580729849636555,0.002529494697228074,0.002515121130272746,0.0028621815145015717,0.002721661701798439,0.0026991998311132193,0.0024981468450278044,0.0026474385522305965,0.002931700786575675,0.003904517972841859,0.005264931824058294,0.0037676962092518806,0.008128330111503601,0.00758641492575407,0.0032369992695748806,0.00265373638831079,0.007626993581652641,0.007573304697871208,0.007597638294100761,0.007590288762003183,0.0035252762027084827,0.003387518459931016,0.0033908735495060682,0.006884003058075905,0.008788264356553555,0.003587869228795171,0.0023357681930065155,0.0035479075741022825,0.002892474178224802,0.0032251966185867786,0.002889906754717231,0.0030963998287916183,0.00534827122464776,0.005758712999522686,0.002387162297964096,0.0018617016030475497,,0.002040283288806677,0.01708587072789669,0.002243319759145379,0.010977471247315407,0.003212554845958948,0.010895744897425175,0.0024169774260371923,0.0021602860651910305,0.0021347207948565483,0.0016194009222090244,0.0015753322513774037,0.0016097859479486942,0.0015874934615567327,0.0016027097590267658,0.0015882117440924048,0.0015947488136589527,0.0015894906828179955,0.0023147992324084044,0.007399446796625853,0.005840687081217766,0.0025982779916375875,0.0026273191906511784,0.002770388498902321,0.0024954432155936956,0.0028874408453702927,0.00254825665615499,0.002533557591959834,0.0028365878388285637,0.0027551823295652866,0.0027498581912368536,0.002461161697283387,0.002603955566883087,0.0029073350597172976,0.0038650487549602985,0.00380305596627295,0.0079911844804883,0.007618230767548084,0.007579303812235594,0.0075978729873895645,0.007611278910189867,0.007615301758050919,0.0034938694443553686,0.003399860579520464,0.0034230186138302088,0.0036193341948091984,0.002301506930962205,0.003511186456307769,0.0028983191587030888,0.0032255547121167183,0.002926985267549753,0.003099492285400629,0.005340569652616978,0.00568914320319891
lapgyn4_anatomical_actions,0.0023755421862006187,0.0017077780794352293,0.0018078307621181011,0.0,0.004232519771903753,0.005882762372493744,0.01725759357213974,0.0023122134152799845,0.0036476319655776024,0.01139269582927227,0.0018060128204524517,0.0015209835255518556,0.0031916771549731493,0.0034810183569788933,0.010936249978840351,0.012491036206483841,0.002492340048775077,0.002254318678751588,0.0021982290782034397,0.0016499784542247653,0.0016008137026801705,0.001604186836630106,0.001598041388206184,0.001608393038623035,0.0015962887555360794,0.001601686468347907,0.0015987734077498317,0.004455313552170992,0.0023416311014443636,0.0035439676139503717,0.007554893381893635,0.01009642705321312,0.005955398082733154,0.0026153577491641045,0.0027048264164477587,0.0028453029226511717,0.002587258815765381,0.00290829804725945,0.002581376349553466,0.0025686658918857574,0.002913183532655239,0.0027700241189450026,0.0027494998648762703,0.0025510331615805626,0.002697195392102003,0.0029793845023959875,0.003959923516958952,0.005367850419133902,0.0038202633149921894,0.008268177509307861,0.0077527672983706,0.003273984184488654,0.0027085752226412296,0.007794506382197142,0.007739816792309284,0.007763878908008337,0.007757049985229969,0.00359903066419065,0.0034702441189438105,0.003475511446595192,0.006947929505258799,0.008948828093707561,0.003639404196292162,0.002389691537246108,0.0036216529551893473,0.0029182934667915106,0.0032793490681797266,0.0029243319295346737,0.0031558761838823557,0.0054118018597364426,0.005880439188331366,0.0023839932400733232,0.0018139677122235298,0.0018185616936534643,,0.017255377024412155,0.0023096941877156496,0.011091470718383789,0.003259627614170313,0.010980019345879555,0.0025145807303488255,0.0022380496375262737,0.0021936462726444006,0.001659246627241373,0.0015932730166241527,0.0016259868862107396,0.001604060409590602,0.0016202069818973541,0.001601161202415824,0.0016105114482343197,0.0016067043179646134,0.0023239566944539547,0.007544356398284435,0.005916537716984749,0.002648988738656044,0.0026782474014908075,0.002819949062541127,0.002547357464209199,0.002938196761533618,0.002600165316835046,0.00258748815394938,0.0028875425923615694,0.00280181597918272,0.00280062691308558,0.0025142724625766277,0.002651673974469304,0.0029549887403845787,0.003919233102351427,0.0038557674270123243,0.008129958994686604,0.007784481626003981,0.007746048737317324,0.007764732930809259,0.007777757477015257,0.007782491389662027,0.003566958010196686,0.0034831904340535402,0.0035069799050688744,0.0036715210881084204,0.0023547736927866936,0.003582889214158058,0.0029243365861475468,0.003280928125604987,0.002962336875498295,0.003159460611641407,0.005403731018304825,0.005810256581753492
sklin2_skin_lesions,0.0030560921877622604,0.0024617963936179876,0.0025447485968470573,0.0028521788772195578,0.0,0.005560112651437521,0.01600056141614914,0.002392966067418456,0.003420224180445075,0.010738957673311234,0.0017402197699993849,0.0014161912258714437,0.003059828421100974,0.0033135900739580393,0.010450855828821659,0.011832351796329021,0.002520875772461295,0.002332840347662568,0.002356806071475148,0.001822184189222753,0.001974391983821988,0.0019746460020542145,0.001973358215764165,0.001983228838071227,0.0019717062823474407,0.0019779952708631754,0.0019734716042876244,0.0034894340205937624,0.0024325991980731487,0.0031410381197929382,0.006905918940901756,0.008333382196724415,0.005488121882081032,0.00259624351747334,0.0026913511101156473,0.002831436228007078,0.0025696191005408764,0.002891938667744398,0.0025622141547501087,0.0025455213617533445,0.0028967924881726503,0.002766241319477558,0.002730888081714511,0.0025188252329826355,0.002683399012312293,0.0029639846179634333,0.004014810547232628,0.0042374012991786,0.003878363175317645,0.0067854346707463264,0.006670043338090181,0.003358566900715232,0.0025386237539350986,0.00671230535954237,0.006659084465354681,0.006678819190710783,0.006675771437585354,0.0034410373773425817,0.003243647748604417,0.003246975364163518,0.006423118058592081,0.0078573701903224,0.0035055342596024275,0.002327600959688425,0.0034756844397634268,0.0029491123277693987,0.003174613229930401,0.0028490261174738407,0.002982186386361718,0.00496687600389123,0.004969779402017593,0.0030630254186689854,0.00258325831964612,0.0025721387937664986,0.0028151797596365213,0.01600073277950287,0.0023883283138275146,0.010459043085575104,0.003123713657259941,0.010495870374143124,0.002549141412600875,0.0023130648769438267,0.0023497554939240217,0.0018387578893452883,0.001957682427018881,0.002007925184443593,0.0019848269876092672,0.0019853573758155107,0.0019856318831443787,0.001990335527807474,0.0019652917981147766,0.002428374020382762,0.00689932843670249,0.005451161414384842,0.0026349518448114395,0.002674852265045047,0.002804659539833665,0.002534289378672838,0.0029126114677637815,0.0025774927344173193,0.002560528926551342,0.0028728358447551727,0.0027994425036013126,0.0027829231694340706,0.002484103897586465,0.0026462734676897526,0.0029426629189401865,0.003975261002779007,0.003912535961717367,0.006683259271085262,0.006699976045638323,0.006662942003458738,0.006688327062875032,0.006690992508083582,0.006696078926324844,0.0034099386539310217,0.003253001719713211,0.003279300406575203,0.0035340245813131332,0.0022926595993340015,0.0034464988857507706,0.0029571466147899628,0.0031720190308988094,0.0028821052983403206,0.002980691147968173,0.004957243800163269,0.004905819892883301
identify_nbi_infframes,0.0029552835039794445,0.0023491419851779938,0.0024814021307975054,0.0027725109830498695,0.004005399066954851,0.0,0.015093043446540833,0.0024412532802671194,0.003293093526735902,0.010088536888360977,0.0017489069141447544,0.0014329322148114443,0.0029634463135153055,0.0032052299939095974,0.0100547568872571,0.011404154822230339,0.0025894618593156338,0.0023930843453854322,0.0023599634878337383,0.0017940212273970246,0.001964529976248741,0.0019665174186229706,0.0019633141346275806,0.0019726911559700966,0.0019617665093392134,0.0019669756293296814,0.0019670166075229645,0.0041024344973266125,0.002413400448858738,0.003151100128889084,0.006900445092469454,0.009262816980481148,0.00569666875526309,0.00255408207885921,0.0026039965450763702,0.002729241270571947,0.0025321554858237505,0.0027786896098405123,0.0025168636348098516,0.002502277260646224,0.0027841967530548573,0.002684238599613309,0.002647941932082176,0.002494160318747163,0.002602937398478389,0.0028496531303972006,0.00395189318805933,0.004938176833093166,0.0038278012070804834,0.007365393452346325,0.007282066624611616,0.0033820325043052435,0.002659236080944538,0.007316290866583586,0.007268964778631926,0.007288969121873379,0.007283603306859732,0.0037485642824321985,0.003543250262737274,0.003544006496667862,0.006086740177124739,0.00836939550936222,0.003493388183414936,0.002336511155590415,0.0034756443928927183,0.0029321075417101383,0.0031598734203726053,0.0028303314466029406,0.0030377383809536695,0.0051990170031785965,0.005631888285279274,0.002962719416245818,0.002452652668580413,0.002498692600056529,0.0027405330911278725,0.015089519321918488,0.0024364611599594355,0.009842506609857082,0.0030239406041800976,0.010093582794070244,0.00261036423034966,0.0023721319157630205,0.002356252633035183,0.0018090500961989164,0.001948038931004703,0.0019942063372582197,0.001975246937945485,0.001982587855309248,0.001976411323994398,0.001984406029805541,0.0019597667269408703,0.002405045786872506,0.006900358479470015,0.005656872410327196,0.0025820485316216946,0.0025891929399222136,0.002709824126213789,0.00250482396222651,0.002795782871544361,0.0025266618467867374,0.00251585035584867,0.002764323493465781,0.00271228258498013,0.00269612530246377,0.002466031350195408,0.0025669189635664225,0.002831818303093314,0.003913871478289366,0.0038604869041591883,0.007255103904753923,0.007310586515814066,0.007275283802300692,0.007288026623427868,0.007300048600882292,0.00730911735445261,0.0037182685919106007,0.0035486454144120216,0.003577519441023469,0.003524146042764187,0.0023033737670630217,0.0034504211507737637,0.0029366230592131615,0.003159584943205118,0.002858503023162484,0.003037754213437438,0.005190643947571516,0.005561734549701214
laryngeal_tissues,0.003297708695754409,0.0026381867937743664,0.0027693978045135736,0.003042405005544424,0.004108761437237263,0.005146616604179144,0.0,0.0026800292544066906,0.00322056096047163,0.00717207882553339,0.0016695271478965878,0.0014409780269488692,0.0019060993799939752,0.0020032452885061502,0.008721858263015747,0.009897385723888874,0.002994559472426772,0.0027431801427155733,0.0026232819072902203,0.0020509425085037947,0.0022939778864383698,0.0022969150450080633,0.0022927578538656235,0.0023034855257719755,0.002290865872055292,0.0022967946715652943,0.0022956717293709517,0.0041037434712052345,0.0026192639488726854,0.0033806406427174807,0.006893795914947987,0.009198782965540886,0.0059453994035720825,0.0028556808829307556,0.002917560515925288,0.0030339413788169622,0.0028346311300992966,0.0030898742843419313,0.002821170724928379,0.002806570613756776,0.0030932375229895115,0.002986243460327387,0.0029534432105720043,0.0028016497381031513,0.0029029163997620344,0.003156362334266305,0.004246181342750788,0.005107773467898369,0.004118242301046848,0.007157340180128813,0.007620694115757942,0.0037018517032265663,0.0028773837257176638,0.007658050861209631,0.007605703081935644,0.007625109050422907,0.0076212650164961815,0.0038595686201006174,0.003640691516920924,0.003644776763394475,0.006212442182004452,0.00866587832570076,0.003609565319493413,0.0025908416137099266,0.0037914360873401165,0.003158092498779297,0.0034102527424693108,0.003027869388461113,0.003195574739947915,0.005476644262671471,0.005946967285126448,0.0033047397155314684,0.002846494782716036,0.0027881686110049486,0.003002236597239971,,0.002676642034202814,0.006978172343224287,0.0019469700055196881,0.008748326450586319,0.0030211862176656723,0.002726537873968482,0.0026199587155133486,0.002068435540422797,0.0022751681972295046,0.0023305020295083523,0.002306194743141532,0.0023120874539017677,0.0023060014937072992,0.002311986405402422,0.002289842115715146,0.0026106599252671003,0.00688329478725791,0.005907501559704542,0.002887387527152896,0.0028991419821977615,0.0030123800970613956,0.0028014271520078182,0.003109593875706196,0.0028314318042248487,0.0028247127775102854,0.0030753023456782103,0.00301266903989017,0.0030046943575143814,0.0027719272766262293,0.0028632294852286577,0.0031396818812936544,0.004206955898553133,0.004150436259806156,0.007066959049552679,0.007651997730135918,0.007614173926413059,0.007625616621226072,0.007635144516825676,0.007649270351976156,0.003826257074251771,0.003646590281277895,0.0036837542429566383,0.0036357445642352104,0.002560834400355816,0.003763260319828987,0.0031662825495004654,0.0034057488664984703,0.0030594102572649717,0.0032036169432103634,0.005466553848236799,0.005875052884221077
nerthus_bowel_cleansing_quality,0.0028581516817212105,0.002241547917947173,0.002389413770288229,0.00270912516862154,0.004094217903912067,0.005987583193928003,0.017098573967814445,0.0,0.0037831792142242193,0.011105963960289955,0.0018218676559627056,0.0015127991791814566,0.0031349502969533205,0.003400700632482767,0.010677015408873558,0.012135081924498081,0.0022498953621834517,0.0020320892799645662,0.0017661835299804807,0.0014317156746983528,0.0017834134632721543,0.0017818886553868651,0.0017803924856707454,0.0017927781445905566,0.0017806700197979808,0.0017848912393674254,0.0017840517684817314,0.004286609124392271,0.002113106194883585,0.0034596894402056932,0.0074104564264416695,0.009820290841162205,0.005570344161242247,0.0024817828088998795,0.0025402354076504707,0.002671796828508377,0.0024464265443384647,0.0027250205166637897,0.002440202049911022,0.002420184202492237,0.0027384692803025246,0.0026195335667580366,0.0025839440058916807,0.0024077431298792362,0.0025681634433567524,0.002801191760227084,0.003906193422153592,0.005132496356964111,0.003758592065423727,0.008016691543161869,0.007179965265095234,0.0031688499730080366,0.0024758311919867992,0.007215157151222229,0.007165028713643551,0.007189621217548847,0.007180100306868553,0.003134538419544697,0.002967294305562973,0.002961290068924427,0.006822272203862667,0.008385439403355122,0.003487735753878951,0.0021788040176033974,0.003317655995488167,0.0028335852548480034,0.003103740280494094,0.002755765337496996,0.0029311999678611755,0.005506412126123905,0.005395578220486641,0.0028700928669422865,0.002400721423327923,0.0024008527398109436,0.0026680054143071175,0.01709715649485588,,0.010802259668707848,0.0031948562245815992,0.01072840765118599,0.0022733835503458977,0.0020339316688477993,0.0017609307542443275,0.0014420617371797562,0.0017671594396233559,0.0018147558439522982,0.0017885994166135788,0.0017966561717912555,0.001792390365153551,0.0018003270961344242,0.0017819972708821297,0.0020984169095754623,0.007401506416499615,0.005533555988222361,0.0025181472301483154,0.0025203973054885864,0.002646895358338952,0.0024111575912684202,0.0027535497210919857,0.0024578794836997986,0.002440750366076827,0.002714037662371993,0.002652432769536972,0.0026347453240305185,0.0023721191100776196,0.002524369163438678,0.0027799836825579405,0.0038616193924099207,0.0037947106175124645,0.007880606688559055,0.007210912648588419,0.007168194279074669,0.007186828181147575,0.0072025409899652,0.007202466484159231,0.003104908624663949,0.0029765714425593615,0.0029889193829149008,0.003517799312248826,0.0021423983853310347,0.0032868878915905952,0.002839371096342802,0.00310066738165915,0.002789353020489216,0.0029292877297848463,0.005498211830854416,0.005325514357537031
stanford_dogs_image_categorization,0.003361544106155634,0.0027233727741986513,0.0028517520986497402,0.003135469276458025,0.004445849917829037,0.005902166478335857,0.01586419902741909,0.002799534471705556,0.0,0.010442509315907955,0.0017196126282215118,0.0014791705179959536,0.0027877590619027615,0.003149916883558035,0.01051836833357811,0.01207734178751707,0.0030822488479316235,0.002861965214833617,0.002723547164350748,0.002126492792740464,0.002389086876064539,0.002391391433775425,0.0023880109656602144,0.0023985584266483784,0.0023852912709116936,0.002391435671597719,0.0023884885013103485,0.004659418947994709,0.00284987292252481,0.003490427043288946,0.007489137351512909,0.010269921272993088,0.006076640449464321,0.002989755244925618,0.003057774854823947,0.0031799410935491323,0.002966115949675441,0.003240490099415183,0.0029564870055764914,0.002938979072496295,0.0032406242098659277,0.003121456364169717,0.003098725341260433,0.0029398025944828987,0.003032299689948559,0.0033063646405935287,0.0043374719098210335,0.0055675082840025425,0.004207102116197348,0.008355246856808662,0.007967612706124783,0.003768251044675708,0.0028760216664522886,0.008005541749298573,0.007953029125928879,0.007974433712661266,0.007966555655002594,0.004022468812763691,0.003783559426665306,0.0037842714227735996,0.0066839843057096004,0.009028399363160133,0.003852489870041609,0.0026962459087371826,0.0038965085987001657,0.0033079814165830612,0.0035517693031579256,0.0031978138722479343,0.0034022056497633457,0.005490748677402735,0.00615871325135231,0.003361114766448736,0.0029128154274076223,0.0028712984640151262,0.003097701119259,0.01586059480905533,0.002796946093440056,0.010176456533372402,0.0028529244009405375,0.010564838536083698,0.0031046317890286446,0.002845820738002658,0.0027183021884411573,0.0021409273613244295,0.0023726383224129677,0.0024268636479973793,0.0024018175899982452,0.0024031123612076044,0.0024001735728234053,0.0024055896792560816,0.0023873155005276203,0.002834600629284978,0.007475381717085838,0.006040392909198999,0.0030216271989047527,0.0030337488278746605,0.00315993744879961,0.0029317992739379406,0.00326280714944005,0.0029717229772359133,0.0029573014471679926,0.0032201712019741535,0.0031479443423449993,0.003148147836327553,0.0029077904764562845,0.0029869128484278917,0.0032885964028537273,0.004298059735447168,0.004240150563418865,0.00824214331805706,0.00799932423979044,0.007960181683301926,0.007974191568791866,0.007985545322299004,0.007993403822183609,0.003989249933511019,0.003795165568590164,0.003820935497060418,0.0038830023258924484,0.0026616582181304693,0.0038632629439234734,0.0033152494579553604,0.0035492016468197107,0.0032305989880114794,0.0034042755141854286,0.005479072220623493,0.006085502449423075
svhn,0.003538056742399931,0.00281896791420877,0.002946002408862114,0.003233217401430011,0.004360646940767765,0.005482563748955727,0.01206605788320303,0.0027168949600309134,0.0034677989315241575,0.0,0.0018037431873381138,0.001491244533099234,0.0014588995836675167,0.0015079923905432224,0.008030927740037441,0.009137468412518501,0.0030914186500012875,0.0028396316338330507,0.0026968177407979965,0.0020888415165245533,0.0023717384319752455,0.0023730765096843243,0.0023696611169725657,0.00238140975125134,0.002369627356529236,0.0023749126121401787,0.0023734658025205135,0.004481308627873659,0.0027054392267018557,0.003540345933288336,0.006995426025241613,0.010128667578101158,0.005957853514701128,0.00287383864633739,0.0029414009768515825,0.003061945317313075,0.0028525888919830322,0.003119280794635415,0.0028415319975465536,0.0028272788040339947,0.003117907792329788,0.0030055048409849405,0.00297657516784966,0.002819558372721076,0.0029194867238402367,0.0031824070028960705,0.004205869045108557,0.005432688631117344,0.004075888078659773,0.007916227914392948,0.007703895214945078,0.0036996216513216496,0.0028319833800196648,0.007741639390587807,0.0076903365552425385,0.00770983612164855,0.007704120595008135,0.003925157245248556,0.003693843027576804,0.0036985245533287525,0.006547896657139063,0.008749673143029213,0.0034928652457892895,0.002540685934945941,0.0036572464741766453,0.0030712485313415527,0.0032708970829844475,0.002876010024920106,0.003073298605158925,0.005740442778915167,0.005984878167510033,0.00354764168150723,0.002958436496555805,0.0029657853301614523,0.003191225463524461,0.012108503840863705,0.002712664660066366,,0.0014832097804173827,0.008060808293521404,0.0031182097736746073,0.002822008216753602,0.002689759014174342,0.0021087508648633957,0.0023522295523434877,0.0024066728074103594,0.0023839217610657215,0.002388027496635914,0.0023819920606911182,0.0023929066956043243,0.0023634207900613546,0.0026979411486536264,0.0069819423370063305,0.005921961739659309,0.00290647242218256,0.0029225097969174385,0.0030377006623893976,0.0028193085454404354,0.003137551248073578,0.0028525206726044416,0.0028449706733226776,0.0031002871692180634,0.0030322964303195477,0.0030289848800748587,0.0027900587301701307,0.00287821888923645,0.003165086032822728,0.0041671632789075375,0.00410746643319726,0.007813914678990841,0.007733406964689493,0.007696736138314009,0.007709616795182228,0.007719856686890125,0.007731320336461067,0.0038913669995963573,0.0036995906848460436,0.003735040780156851,0.0035194966476410627,0.002509188838303089,0.0036268557887524366,0.0030794914346188307,0.0032664211466908455,0.0029041734524071217,0.0030812781769782305,0.00572877237573266,0.005913048051297665
