,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0033807500879486983,0.003643304130796039,0.0070089392353918055,0.017995860805904408,0.020290956467004764,0.04242019801439105,0.015272665421589662,0.02283438386249187,0.03817983482125223,0.016298799442332822,0.015307487499368708,0.021430640658969245,0.01913689523586291,0.0445600288490437,0.045496722350685484,0.007849106891760752,0.007830999968742983,0.012521056466459048,0.011292506816979225,0.006451410699002551,0.006568140885335452,0.006522118740333242,0.006470510605460236,0.0064575302563056845,0.006482135809378673,0.006464532716279434,0.01841277056534072,0.016348874842813894,0.019369068686524982,0.03288391731814397,0.02658891755423929,0.03106536907091695,0.018344197006417328,0.018578344574256726,0.019395621412431747,0.018144134375374432,0.01955924178415824,0.018083328948053354,0.01804524084422118,0.019725390020113826,0.019319830409302827,0.018839025996066447,0.017790910324821642,0.018256212590309944,0.020036292635331996,0.024194252313348298,0.02069218761232952,0.02442890533071713,0.02590228969028966,0.03489988795139345,0.026867924028708065,0.022547111793162967,0.03500252071450215,0.035001308702301254,0.035085265662753586,0.035081307439699325,0.021563724465363962,0.02088991572006843,0.020787451681129374,0.02920149641881547,0.048207982165334035,0.025113650627139907,0.018753399858481408,0.022356841239333673,0.02310938297810198,0.021738644701176188,0.020831238756808375,0.022661428127849253,0.02336295440317096,0.029727831863137374,3.605893782435667e-05,0.003955315954066823,0.0036598163058932983,0.0071266584201905405,0.04263449088785576,0.015268371660562174,0.03779047372369818,0.021581475672213524,0.04439103812960227,0.007760569427020068,0.007729455938483781,0.012638893388059399,0.011237482620049224,0.006523285138518847,0.006472618646376337,0.006617694387174588,0.00674736028850518,0.0066535519128991735,0.006319210468835875,0.0066111572206944014,0.016619589847600952,0.03289982095200149,0.03088737316962332,0.01857344647310107,0.018714337304052732,0.019344856556575002,0.018338990646598004,0.019393542963986935,0.01814974186414223,0.017800238061987293,0.01944192571927944,0.01953131548323713,0.018927516964148742,0.017821613530738994,0.01831193097259405,0.02012874601180576,0.024295784623123186,0.02438435106751838,0.025485804204808695,0.03500630907130854,0.034894236554262964,0.03520494436240543,0.035068807127209514,0.03498805034972951,0.021434758525711313,0.02103075879977205,0.020723085124515088,0.025140786004263588,0.018665839853227596,0.022376592256196037,0.022981193211984313,0.021688604398614465,0.02098388852717247,0.022560103514412906,0.023444879878540874,0.02953078107097977
lapgyn4_surgical_actions,0.0034286750653365213,0.0,0.0011231507792334708,0.0019515269190920614,0.023081182274131036,0.02591302516538555,0.05052216902837364,0.015216253245704019,0.026238712904230493,0.041897443819868097,0.0177945358887106,0.01622721611188708,0.022048244218393978,0.0206683837923564,0.0475879009243798,0.04930955702574431,0.010125137456877025,0.010099093102906865,0.012632208584050456,0.010470331576738793,0.0044702550112558324,0.004565442553292728,0.004479159622988846,0.004480380235199379,0.004455594247336868,0.004503365277909331,0.004454310045575558,0.022772666215142318,0.014652040002197799,0.02338293818199174,0.03963779459321675,0.034635998434208545,0.033998040842292604,0.017995576430217566,0.018153325284429506,0.018890916942443808,0.017805651721812175,0.019096109939095295,0.017702931771977987,0.017709227793349033,0.01936621369129929,0.018775994844330818,0.018400779961994473,0.017461079298597824,0.018020082868526528,0.01953032415648865,0.02480739455134033,0.025449217442175022,0.024781245837960087,0.03350262806022013,0.04082835541796716,0.02533067596781879,0.021903300223927447,0.04092275405551002,0.040896144910877064,0.04096330463146536,0.040955595667941005,0.02147789858583375,0.021513069847328724,0.021506035005389893,0.03234928262947526,0.05370273152519879,0.023236382582242955,0.017844141823257338,0.022413112701141782,0.02105755289115294,0.020176258680865013,0.019431841176599227,0.02116493360632116,0.025550173291228023,0.03408294506063372,0.003550466733699477,0.0005423133840038722,0.0010487334540661387,0.001940722285791363,0.050748631231962965,0.01523697613583064,0.04141015793304249,0.0222619469815188,0.04740462406488935,0.010111030790519216,0.009966553928108492,0.012709750183943406,0.010463706635959712,0.004561859886472248,0.0045105538327632425,0.004526593027076803,0.004682796419156487,0.004433718400574563,0.004386285419868569,0.004676959208211562,0.01471641639754536,0.03959097022416987,0.033843378949588,0.01817083727421184,0.018183553883316893,0.01881440823142739,0.017870342409771617,0.019041043673373947,0.01781260872630889,0.01758244101587201,0.019057697887300933,0.01893481702969451,0.01854912549828034,0.017467006748260377,0.017935121653932323,0.019556213536796513,0.024814855000564535,0.02482017389707514,0.03303661606627946,0.04094623495823638,0.04078206869410804,0.04111918042704344,0.04097609402408621,0.04090758698731859,0.021340101219751675,0.021626778781516094,0.021465262049665684,0.02328214229112751,0.017699516367566115,0.022319819719412777,0.020986686175133076,0.020187421664039244,0.01968334371977446,0.021159496338065714,0.02563057717410957,0.033837872541342365
lapgyn4_instrument_count,0.0036640060129260526,0.001119119985936955,0.0,0.0014796601121188112,0.02094571617234778,0.023505107660334694,0.046435597554510856,0.01543801654782026,0.023646623855170055,0.0389251043108799,0.01610818284239971,0.014682386533996538,0.020704361810638207,0.01921641762500279,0.04444938643064021,0.045893811769983965,0.009552778082544794,0.009595059351918917,0.013233118219368237,0.011950850754553578,0.003754682193947793,0.0038691721339262786,0.003774376449170323,0.003759600669190956,0.003759491811934166,0.0037960015697049566,0.0037468234506399553,0.020922049746405134,0.015789198469431314,0.023215201635839802,0.03642886819510356,0.03085218734854859,0.032458894008885006,0.01876980649835791,0.019054335570040618,0.01983862558795644,0.018588163469522433,0.020031013105328944,0.01850554556058666,0.018513008794551096,0.020270168471180655,0.019719035244175034,0.01927818727939673,0.01820254708318541,0.018810604349403105,0.02047474576197114,0.02474887686596727,0.023712805885344752,0.024944916848962304,0.030852052717246517,0.03760862695695223,0.026345668247968943,0.022412548170553936,0.03768374870614549,0.03767452576127102,0.03774409395964992,0.03772710932634088,0.020521638684748364,0.020945519728415893,0.020970314611853103,0.03136920010001765,0.05021747552368939,0.022563862035906546,0.01770617383905387,0.02096763302863525,0.02140229246779935,0.019189381499029136,0.01895551574296403,0.02042264729113131,0.024841392151605544,0.031943712542349324,0.003760165719465874,0.0012028970082246181,3.936341448205943e-05,0.0016049532583279822,0.04663899659606187,0.015457563262137097,0.03849416019334215,0.020879742770098117,0.04423834361904755,0.009535973070688425,0.009423740836690911,0.013343891664309639,0.011932076796022813,0.0038715656163817867,0.003781504700488897,0.0038939847407833857,0.003933157514608541,0.0037395805236913786,0.0036335766280969394,0.003888366180823348,0.01596422783083786,0.03639857872310452,0.03231561897455554,0.019012472095280168,0.019125426914485318,0.019741911426859306,0.018731548871693832,0.01990911757195881,0.01861857562288082,0.018341163071607262,0.019975333986587407,0.019922229757472185,0.019428346062541634,0.018202054888187255,0.018798557516347104,0.020526237884221032,0.024853776992947663,0.024981435346534662,0.030422504483171874,0.037714264955323026,0.03756382848280513,0.037881493220549546,0.03774803188910169,0.03766717545045518,0.02042793876420728,0.02103104850240787,0.02093036945229259,0.02259710155821319,0.017549964739210798,0.02090248573402055,0.02130982873389963,0.019182038766564748,0.019140851432859436,0.02037472658418453,0.024928234110701622,0.031750032836088175
lapgyn4_anatomical_actions,0.007008097755782896,0.0019270740709385447,0.0014685359594542404,0.0,0.02668235392402316,0.028482099323100644,0.052010773637767724,0.019593582758772782,0.027589615071958958,0.04331614729006581,0.01964388235971369,0.018087505273343404,0.02448288015238012,0.02330183231224351,0.048610871093894746,0.050305663403164405,0.014587887637471587,0.014590289658958108,0.017083457835216625,0.015524053007314971,0.007025006765151935,0.007145386502900817,0.00700544006109791,0.007013259854711518,0.00701024725188967,0.007067855048258669,0.006996862886384309,0.02613092348719456,0.018084117070496723,0.028054210283964744,0.04311578478678302,0.037215273297766305,0.036960378373149416,0.022036665133576983,0.02226914746473746,0.02290077305575819,0.021929490690396368,0.02308933756211825,0.021770957220042263,0.021884892853138507,0.023388019800350535,0.02275543207255873,0.022405130030356962,0.021556354634459558,0.021997407922683718,0.02341437886039472,0.028415130765448642,0.028883385331164975,0.02851837668871406,0.0369055291773983,0.04400121081040806,0.028631585267908363,0.026313088085774514,0.04409470584975543,0.044068931382315255,0.044114656100576854,0.04412130514611298,0.025264959555605496,0.02584157194650736,0.02590714307543177,0.035877642752417366,0.056355726254561506,0.025492297986406162,0.021336251870727074,0.02475841155678729,0.024044473229022256,0.02221371483528707,0.021784392002669812,0.02365923247422282,0.028340413776921147,0.03786022355428108,0.007126134505997627,0.0020277120872024493,0.0014382324049521393,5.358431469599643e-05,0.0522203065301388,0.019609452977685928,0.04290751138434647,0.024691283351399067,0.04838162941086623,0.014582515238256186,0.014425482021012587,0.017169291526908055,0.015511694426252037,0.007182365640213532,0.007060048627437948,0.007148805890544471,0.007234987518105085,0.006867512618542181,0.0069173181969011035,0.007187246858834965,0.018180445145823638,0.043072052892796094,0.03685927401735245,0.0222251479722667,0.022299607742395103,0.02279776770816165,0.022015585338530277,0.02301052381762476,0.021893548059271406,0.021723859328864198,0.02309656690987631,0.022900319954929645,0.022577819109063785,0.021594206464550774,0.021922934105777545,0.02345661781872512,0.02850179612563988,0.028555141884235684,0.03649526588437017,0.04410128106637963,0.04396685056830326,0.04429249203294648,0.04412791866440016,0.044076506964430766,0.025162520004900293,0.025929366780895354,0.025839639730137306,0.025532660996763004,0.02114283767448532,0.024649258281745703,0.023972850801395426,0.02223846318010309,0.02200792932639086,0.02364389751133806,0.028432480302002454,0.037665152546357016
sklin2_skin_lesions,0.017111186550047675,0.0217140720935285,0.019816336067971466,0.025355113228817568,0.0,0.01826284891588914,0.03139322570062833,0.022267810629371457,0.01959262986085922,0.03085195662775922,0.015402400972954915,0.015081965453384888,0.02060642605480411,0.017730882057925293,0.03771794036324033,0.0376685727983133,0.012535391563092114,0.013856973322091192,0.021359002232145277,0.022915256500649142,0.019877155034647292,0.02005145392055332,0.020057024713198767,0.019905496130326363,0.019951621947107694,0.01994282781238584,0.019984774645707075,0.006506609192613441,0.02413315841101025,0.015488279700238795,0.026925353890814224,0.012712391378264883,0.029454921487192906,0.024497559153708486,0.02490284926094269,0.02579082221730666,0.02429335625732929,0.025919228378293236,0.024245101011258208,0.024134331030786806,0.026118931808567294,0.02599930598644878,0.025067894334607474,0.02350685913726629,0.024804033167603032,0.02636077048994355,0.02993752560199534,0.005930764417210694,0.030677368274375387,0.010744765625479989,0.02433488136241238,0.03498329638137144,0.026662150957190836,0.02445314602969228,0.02450284384553695,0.024552946637992373,0.024592884818051435,0.017774108702507462,0.016578815893305215,0.016693888329657413,0.022911095970073906,0.03739125721210054,0.030878223315200286,0.02431604112913622,0.025893031896471873,0.0317263127964634,0.027098088729855505,0.0270883803633201,0.02690209887488867,0.022187576279710866,0.02009219243706185,0.016948910350509633,0.021699717216885205,0.02020083310030713,0.025673771981958457,0.031562546069085734,0.022148827793919468,0.03055728393338697,0.020627263456531743,0.0375437457080669,0.012535171993650547,0.013624781153701892,0.021458251782152202,0.023000117101112254,0.019783349000473967,0.019921811106257743,0.02026255323129455,0.020230470123023765,0.020377488799388905,0.019766118300172088,0.019710212756929163,0.024739980844251476,0.02693418832494565,0.029259777358492105,0.024954259591181537,0.025218874094025446,0.02568411864064552,0.02468302222411973,0.025528170998224756,0.0242721972009268,0.023735183247271814,0.025821023597311428,0.02622234486785382,0.025176339934655886,0.023543186378302376,0.025114701364361766,0.02661424264717644,0.03018673412210269,0.03059005661601426,0.010598224904138372,0.02444792697908815,0.02434094040146964,0.024658646780029148,0.02447256049378694,0.024454197365578176,0.01763928116882091,0.016581018695028243,0.016633643962108313,0.030946627666830796,0.02415819058178898,0.026017275119372133,0.03154573491001258,0.02701273967867959,0.027065172803598814,0.026615101900206106,0.022215992177765154,0.01992692418880438
identify_nbi_infframes,0.019116548951811523,0.02415648953473243,0.021978431732337173,0.026655287406771026,0.017628023223111397,0.0,0.013739702710136973,0.029415339415775732,0.014814609765416152,0.018380489401246484,0.013599290207198734,0.01374887038208103,0.019760140470024723,0.0160085938889624,0.026728485958643487,0.026101556017667497,0.018084123362063324,0.019377734687291037,0.02708753163464271,0.02787805805839181,0.02410436006233247,0.024331738913029685,0.02424975112344801,0.024056271331724877,0.024198415711398934,0.024189307856408427,0.02431320773626884,0.01393977185380436,0.02418877156654122,0.01511733667027788,0.019279660821771395,0.016418994258297303,0.027964350934663727,0.027620418510934226,0.026886901092831685,0.027127008456053432,0.027655211782848375,0.02688752584427248,0.027298421211164655,0.02736619235130366,0.027097312079223702,0.027846257360799258,0.026880262079823414,0.027243394772640005,0.0266224467928982,0.027095614270763714,0.028541842951115774,0.014413615924902534,0.029836687400484337,0.012555073578624454,0.028522365563373654,0.0392038416649626,0.029976601303301275,0.028564495624700426,0.028650443462342072,0.02867492496809783,0.028748865350780393,0.029306791276840126,0.028890486011004086,0.028926246784993392,0.01546865805371423,0.03892253488384838,0.030183548693142312,0.02682075524437759,0.024125319957485583,0.03425548586415615,0.025723527600053066,0.027299793613584814,0.027085873303562984,0.02240309605647879,0.027777050387439023,0.018953490440821518,0.023418788992702284,0.022299143298217673,0.027163247053935066,0.013774007882480559,0.029248565799001695,0.018476545911131848,0.01970681721127905,0.026489793058603127,0.01790471878853786,0.019032109125152658,0.027313795430714344,0.027857063042996552,0.024025556832169767,0.023981057835593896,0.02454447971964193,0.024512705300243312,0.02459511631951175,0.02396194403132907,0.023788891563722415,0.02489378536486391,0.01941025301041717,0.027801631529232533,0.027822226202901073,0.027227392290459135,0.027109668039223045,0.028385375429479887,0.02632707460666926,0.02711570821602173,0.026865747184002264,0.026891089439876656,0.02797310547983705,0.0268731589650198,0.02756159331132653,0.027009559229653132,0.027483845371305805,0.028952427824779605,0.02971272180737359,0.012396003168984478,0.028569967240911154,0.02861415950490681,0.028689018780381506,0.028597931035093144,0.02864174886052557,0.029392473205183914,0.028974198964670458,0.02866880496540385,0.030179424057803248,0.026754020000419997,0.024318113248990254,0.033996459112682974,0.02568138864893315,0.02709716695563455,0.026730830406747206,0.022512772020560744,0.027739537239296952
laryngeal_tissues,0.03896804490152217,0.04598834163482422,0.0424788101685318,0.04752800647904411,0.02955753320453412,0.013447086047138908,0.0,0.04947394613992534,0.020584445377232648,0.017322324315003385,0.02164989803245338,0.023019741804849312,0.025972291983714785,0.021919654182924173,0.029382632611274433,0.02777315315597076,0.03816169264659999,0.03940398867977522,0.04774450508508368,0.051785787819036116,0.04709437594616037,0.04739189811395578,0.047286629526240416,0.04704582045336163,0.047192515061243355,0.04720370771662795,0.04732582242591507,0.023967695687686096,0.044343903745710976,0.031831687104517434,0.028555675315266683,0.023257071069331486,0.04156749691098184,0.049669088869103234,0.04910073350291885,0.04896498918279429,0.049949676525419054,0.04863499419303802,0.0494460523064631,0.04969161609564623,0.048874375410279544,0.04989496610869133,0.04878359439415894,0.049531193257034506,0.04836202007313923,0.04864032859414156,0.048130458273583684,0.025990995187133225,0.0499302388494971,0.018091939073742916,0.03861331353819872,0.06111178985730366,0.05031259581871479,0.03870115029444156,0.038771855871327296,0.03875410442688565,0.03888959388857405,0.044852260303693936,0.04428564566706508,0.044448443018500254,0.026957807596745337,0.04791504918232974,0.045631239579532634,0.046524318532598134,0.04124992063367525,0.05269042476867451,0.04269032701550611,0.044364758705544585,0.04403234031933409,0.0360006271381434,0.041431758229740434,0.03877426678692611,0.04566770307611542,0.0429340454061586,0.04807756512790586,1.13116357660214e-05,0.04923598712304807,0.017713161175199103,0.025763795228876927,0.029085798462335263,0.03799004949905452,0.03912645553685725,0.04799534064872425,0.05177948421690229,0.04701622159578202,0.046991663427267905,0.04771641296196667,0.04763347304633718,0.04765077540602689,0.04688642514953389,0.0466897863805735,0.04539393067790317,0.02867448743334811,0.04145861689159888,0.04993401366988988,0.049584378056772224,0.04889656216079867,0.05084702291462681,0.04796084435997006,0.0492608983638987,0.049057465267893105,0.04877737213266457,0.049959669194389926,0.04868609390165517,0.04993946399698329,0.048846973469213184,0.049219081827122285,0.04871948940181998,0.04975060028047379,0.018165308119191943,0.038657872912287256,0.03877109807685691,0.03876120761082482,0.03863766145756929,0.0387824266365377,0.044959093160787056,0.04434986796413,0.044151996326011564,0.045647507827924344,0.046359215930658865,0.04143608860185972,0.05244720753508818,0.04263226385120246,0.04409869851377912,0.04366269893608042,0.03618756766138753,0.041513977526190134
nerthus_bowel_cleansing_quality,0.015489485537163884,0.015143780908027642,0.015448380929833493,0.019773251726491702,0.023508274655077495,0.03154364777299461,0.054225403292452325,0.0,0.03137904074143412,0.04150487096018107,0.020549712330815883,0.018890710242096834,0.022743576052509963,0.02133958740284404,0.049451477966025024,0.05124864119735117,0.007990191183138668,0.0065428462759408905,0.0024334718825998157,0.006065810611745317,0.011452877030925152,0.01145447335047542,0.011437378546243042,0.011475200403126627,0.011464513102805902,0.011450593940802301,0.011484248648268556,0.02459587484978012,0.013319586975973477,0.02844697336980235,0.04224874557051651,0.039088103037391686,0.03234019008428478,0.021437083553386926,0.020938523845596732,0.021845740311470706,0.02100067156089245,0.021882448317828103,0.020899995518218726,0.02065565583339826,0.02226012018351129,0.022135720810193632,0.02133792449776226,0.02054091435671702,0.021569838483383806,0.022592603671751397,0.03043527172550585,0.026443208181988507,0.03045620678223468,0.036307162211819975,0.03882513404254446,0.032399448239742536,0.01989719087098166,0.038879227067450506,0.03883916664713314,0.03898735778620385,0.038918202105119204,0.014695729190080362,0.01417410068431028,0.014004868929127548,0.036322254788032596,0.051516978703631866,0.026617524289690483,0.017656116222134456,0.022239324742157014,0.02402205744300888,0.022854658224319573,0.02042994204861466,0.021758201185217985,0.032811132037339846,0.030888536959073766,0.015517189415245233,0.015949149263937742,0.015519259444925017,0.019700734655141505,0.05445929412149067,2.9508169451691207e-05,0.040848943338450815,0.02278923396678139,0.04936966624422806,0.007987686285029452,0.006772201650556371,0.002439056032756768,0.006034930050234225,0.011334348244912987,0.011569832274743435,0.011578343013278428,0.011570092614239224,0.011640208177388048,0.01142489577049105,0.01141060967805601,0.013392878866684776,0.04229021750951049,0.03213212930849053,0.02177901209148495,0.021058545799083228,0.021750236452088907,0.021124271184593958,0.021804942546264878,0.020974561823474132,0.020517525620957468,0.021966771624813183,0.022411717597123165,0.021581845863754605,0.020479441312644467,0.021515019274265065,0.022661276189992276,0.030424504383991274,0.030535300942548756,0.03586073147567635,0.03899405348244144,0.038721226172370435,0.039012763772885796,0.03898909865876834,0.03881424475494005,0.014549082552354523,0.014310167133561993,0.013910799714470406,0.026743874900727792,0.017477351081548836,0.022191067331249575,0.023956095300828276,0.022788761832312442,0.020629020461375852,0.02169605333674512,0.03288404606537349,0.030575712129520437
stanford_dogs_image_categorization,0.021130670263018222,0.024239437637119554,0.0219104217812795,0.02571479694692762,0.018727334395744567,0.014538364210874444,0.020831509551277112,0.029202677340483457,0.0,0.02114117422145825,0.0054248019051145215,0.0057861453226677765,0.011072346047656596,0.010018774671640744,0.025393285875629522,0.02532888144994625,0.020516638319138532,0.02181112122463859,0.027156549706342098,0.028927860202350997,0.02580114965802368,0.025997933961667642,0.025912464575831996,0.025770427673994123,0.025858187955394824,0.025907634858705682,0.025926049266355403,0.01539096117321052,0.026775714933840164,0.018971470706308603,0.02265978651386425,0.017384370681185493,0.02577139076344105,0.029286358858477884,0.0288336546949313,0.029014657216536732,0.029399130555917377,0.02886683598658433,0.029060409670965143,0.029131718453238246,0.02905321915375687,0.029528814970228662,0.028802652419436366,0.029241346621517044,0.028478189450625573,0.02906244307378979,0.030852034791031567,0.017251322636430838,0.03194779974010223,0.017815757072906196,0.028465292073015392,0.03793687315846064,0.027081154777950624,0.02853950780574327,0.028591055890657698,0.028571205767331607,0.02866317842579695,0.0264062084220292,0.025559666334838263,0.025678415841713254,0.021036044892548754,0.037358034973939934,0.026324470068525205,0.02648120337857582,0.0231805332552897,0.031243028658650397,0.022537248251652365,0.02404496337228576,0.024171946929182085,0.021043636166481083,0.02777495492306497,0.02095001666624393,0.023666276043554126,0.022212487480122604,0.026097758073633306,0.02087771053639543,0.02906334028917803,0.02102371172624216,0.011227768656886022,0.02519787988246597,0.020399378828753888,0.021599313393756446,0.027301191150144438,0.02894881648288892,0.025798178284900518,0.02581895357425048,0.026284159156856654,0.026159884504265846,0.026223462496795264,0.025727566083648068,0.025541136591618673,0.027413754409089552,0.022697128421184574,0.025760094047213397,0.029570445958071512,0.029144071988734158,0.029011335026375328,0.02999661696927592,0.028454543633327417,0.029111678329356905,0.02873713128438418,0.02890249664429173,0.029631538868905676,0.028809966890602983,0.02940148699821141,0.028649068846700414,0.029440518765654296,0.031191817938557423,0.03186980755211159,0.017724115145997876,0.028494315026873503,0.028558388650754572,0.02866821961557873,0.02850717869171671,0.028583836978921206,0.026367425374364355,0.025655395002226963,0.025453883464789398,0.02631254483274543,0.02622429219837415,0.023264167496820382,0.031048342226054435,0.02248642347159703,0.023939033819229683,0.023934053983466798,0.021113714571822487,0.02778749040444134
svhn,0.03562232215260763,0.03858586588698508,0.036014555394647686,0.04010081910128835,0.029984161922041924,0.01864884763895227,0.018104397926940286,0.038484259709258145,0.021388725453446618,0.0,0.017850656054572873,0.018111939121175563,0.012802610788927412,0.01031908562972118,0.01809717956035773,0.017443524377498888,0.032263843139212024,0.03302344922029875,0.037102902823201,0.03982003907798339,0.03820424113667158,0.038435911069904335,0.0383167226251531,0.03818131154302858,0.03828846702777618,0.03830393663763547,0.03840407972231008,0.026685711753531023,0.03527028059746924,0.02935376774893881,0.029694370831376903,0.030767831732272984,0.03793618311189568,0.039359780041774074,0.03862958210614313,0.03867944932170731,0.03939724454406725,0.03840246253705467,0.03905083430769271,0.03914715745678006,0.03863518030118623,0.0393770715674234,0.03847967055780251,0.03905276170855609,0.03809927611952513,0.03854627336835207,0.04044110692380354,0.02852855246143533,0.0417348285553421,0.025973264037388796,0.04031544900597104,0.05054332097532811,0.0390540069684326,0.040346325979804434,0.040449884298912026,0.04044530704193905,0.0405021831459275,0.036808523909537184,0.03625332643304747,0.036460802114634996,0.02892585026377502,0.05021470204351715,0.03438376880199566,0.03587470149922394,0.03176666743400833,0.04022560130736935,0.032240924816747764,0.0314841170255362,0.032874636598020444,0.03449124475600414,0.040540762605465866,0.03559208217123617,0.03838324013953395,0.03631481733840499,0.04042281230033397,0.018214873607564325,0.038272573163330645,3.844139095752107e-05,0.01260364108069461,0.018004350932804523,0.03212898128773227,0.03284531746092416,0.0372614527324079,0.03988871834094765,0.03809462174588904,0.03812776412018508,0.0386906823095645,0.03866332155186114,0.0386115674324639,0.03815421155954885,0.037881957093769555,0.03606308724381336,0.029722742410571133,0.03781899045464985,0.039654828655699234,0.038963408267787145,0.038565392705959586,0.04010168469123747,0.03788741154798171,0.03894580488583207,0.038693483961901844,0.03854547684902924,0.03947589090340446,0.038511917391010286,0.039430072433061604,0.03838755563856333,0.03895685288091046,0.04092347521089397,0.04159667655732739,0.025969984159632687,0.040386094091381816,0.04037080776523795,0.04043633275755709,0.040332695577852025,0.04041392442952857,0.036829843385719055,0.03625092140639907,0.036219410452912534,0.03443262579439388,0.03576797051929992,0.031895217622761846,0.04008248959357316,0.032223535523387734,0.03130756906609105,0.032604402772992126,0.03462296860661592,0.040546763662603305
