,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0034533637207677026,0.004170986444931726,0.0077121402870746,0.02807128842477153,0.027977294514278245,0.060139595149125605,0.016210762889233954,0.04090419319186311,0.05673793978818893,0.03110187667674602,0.029097034308103373,0.033766531363443535,0.031753088268373336,0.06599893577535043,0.06791965534576047,0.010583690054455005,0.009534727281926418,0.013856821095294914,0.011073804020362382,0.006722075050347196,0.006841980130236932,0.006777772003015352,0.006761526786879814,0.006737773402381371,0.006748565812084657,0.0067063960936754865,0.028403395758116547,0.02062593833763988,0.027609730472205544,0.04535658832819785,0.037758123262939244,0.04423477676564254,0.024474139549530982,0.025088863235487768,0.026481434648568256,0.02417461270456654,0.026799518349035694,0.02416309780022795,0.02410318547823304,0.026970376339925765,0.026101166355630027,0.02565501584272568,0.02366604926898612,0.024800724279470086,0.027565075503691902,0.03170179229662658,0.030654635632663484,0.031516249669569354,0.0370829685419589,0.0487123750530221,0.03352507162901246,0.02983913610557063,0.04890549882819935,0.048861988586799715,0.048966293031622116,0.048875848838241816,0.02852692316137637,0.02763170313102056,0.02732855673182465,0.04489770836620681,0.0637478426027244,0.034898326812321204,0.024938093736551682,0.031828151635660246,0.02913699156274053,0.03184415188184096,0.029761649524347285,0.031536280275579,0.034967092253124325,0.040936850971728556,,0.0045828811611272925,0.00411234170150394,0.007808917463552644,0.060420870429359,0.016172377621090108,0.05607704002900952,0.03392473862160115,0.06600973755446539,0.010500314380742448,0.009486505608376553,0.013977121490915421,0.011000116374920502,0.006766641274637703,0.006771558259448774,0.006791470419242443,0.006974595483593077,0.006958409428209099,0.006575683888654419,0.0069980631499424,0.020805317137890106,0.04528101660601473,0.04403498625765292,0.024806922580768834,0.02505310357906443,0.02640643279303293,0.02417966380175336,0.026698751629202374,0.024245119340954576,0.023888250592696014,0.02658266961818012,0.02647912291492122,0.025840704401757564,0.023572746485340343,0.02468910736623178,0.02756072529804019,0.03164347599179649,0.03156598993525058,0.03646369776512856,0.048905454336512354,0.048686558328012636,0.04917348996404574,0.048993608620967785,0.04880245265442382,0.028278328012338757,0.027801614354570316,0.027294790949562952,0.03490373075481479,0.024839228907990514,0.03187026660491927,0.029083083419506484,0.03176574747657477,0.030044871194586764,0.03145268333274506,0.03505412664224866,0.04060282489199627
lapgyn4_surgical_actions,0.003907712781345242,0.0,0.0013806355669251206,0.0024157040914882556,0.033469377447311224,0.03311860036276975,0.06568464935651284,0.01762408258650075,0.043078008858792205,0.058571787314077216,0.030855995649460923,0.02851599623421715,0.03385332908019441,0.03265717137950562,0.06476470078912472,0.06717080252603978,0.014162384622827642,0.013306215997560518,0.015368263958331338,0.011489163829665411,0.005033735986911718,0.005140281063465703,0.005049251659700503,0.005063842725201518,0.005019539574330687,0.005050483533571337,0.004992597671227628,0.03243753067557714,0.01867682441153665,0.03254694294053748,0.051122564688178086,0.0454684321551175,0.04508021903173968,0.025137148298786462,0.02572597580184143,0.026910504330022764,0.02487335319307628,0.02726690617168094,0.02482195663408608,0.02483173457592102,0.027557815958636978,0.026502182165816686,0.026170499814053175,0.024352024145908677,0.02556530700653003,0.027877800252308325,0.032680949027789355,0.03562259506231366,0.03230474068776349,0.04446158764609138,0.05284338451547282,0.03265166121754133,0.02861861472687832,0.05301688072914877,0.052944155496325286,0.05303235972803639,0.052933631143651724,0.028711964924344534,0.02881192958893947,0.028655176106572176,0.04569774625988747,0.0667320706031167,0.032111436083511385,0.02476023967556025,0.031656631881550296,0.027166953835819765,0.029257115543597348,0.027818297653928886,0.029788408492226335,0.03600514395842705,0.04408292263410685,0.004044070034082438,,0.001254224779417922,0.0024575456127919684,0.06593782863270249,0.017599624847285143,0.05790938964393904,0.034034196946544235,0.06469784281196211,0.0142016174007949,0.013181062248644834,0.015439114870923611,0.011470933312827235,0.005116487422214715,0.005081285541424224,0.005021090710610675,0.005213846760803499,0.005014494009061486,0.004933361973708641,0.005295646902497699,0.018650033155622418,0.050970705619854846,0.04491061545262015,0.02537507357887372,0.025611339041137802,0.026777319230395804,0.024766300126297217,0.02726569611010931,0.02492595540728037,0.024719882795691824,0.02712154612997507,0.026775730327503793,0.026393516695832654,0.024221625709420536,0.025347826058246377,0.027816930278112797,0.03254538357023368,0.032419949656876196,0.04383322581242484,0.053024453457760766,0.05276561317461404,0.053272870454690396,0.05310170484647255,0.052939575723567785,0.028488521186452394,0.02897370152620252,0.02862096919064039,0.03214830936446772,0.024635242708864708,0.03154910933904138,0.027133683401600717,0.029249761275771925,0.028187460623532057,0.0298072632001102,0.03613260365383781,0.0437454652012983
lapgyn4_instrument_count,0.004337747402245191,0.00123313671098562,0.0,0.0017393439987378582,0.029777992265646445,0.031083221548547913,0.06147164284623687,0.016944748669931647,0.03963750167018227,0.055062581966604365,0.028030143251018786,0.02585919609653815,0.03141901164135661,0.030152653409443668,0.06034980881541778,0.06256318821966428,0.012924369800730523,0.012030343590828274,0.015244043821229973,0.012392843047789502,0.00402531942635767,0.004146839529930375,0.004050984019884534,0.004040620140867741,0.0040444820382428545,0.004060437076567283,0.003992247484986853,0.029641176766419936,0.019413625153979375,0.03161630930857316,0.04718664188359767,0.040592690981896516,0.04286400970226251,0.02498618714844693,0.02584172866931044,0.027124020893355145,0.024707301021841176,0.027513840520955,0.02470914205856711,0.024719209774214112,0.027741761376139828,0.026626106255297922,0.02624276447145907,0.0241604531017741,0.02552837915699332,0.028140106405455716,0.031472469452739536,0.03316649724292977,0.03128488553042411,0.04161662649579555,0.04854956117655848,0.032547211822428763,0.02826370393276143,0.048708188893764943,0.04864742182995233,0.04874532366738082,0.04861923932445067,0.026889062807670183,0.02741540452660844,0.02730667689970358,0.044417853831541045,0.06240758888529878,0.030842788077375425,0.024046960072921873,0.02997577682725123,0.026954800013389638,0.027853246674752283,0.026774864807603018,0.028711215458987853,0.034808726285956236,0.04076321884757557,0.004441708333666922,0.001653770815093507,,0.00191545237342988,0.061696152553611806,0.01693772739900018,0.05445703509308081,0.03159190912286686,0.06026134189192679,0.012975598702890263,0.011860123800290504,0.015312514817206184,0.012387694790221053,0.004119730323058616,0.004079248798347327,0.004102777669746364,0.004186522700042498,0.0040145582586944934,0.0038927142091433175,0.004205196436971758,0.01948237304546814,0.047052832193724886,0.042714572916137915,0.0253261148801008,0.025745734137501603,0.026959951470903586,0.02468729013626457,0.027457309814690797,0.024845759208081075,0.02458180279712487,0.027320519427423286,0.026977684254882596,0.02648300348269697,0.023993485294843853,0.025378874335734544,0.028091036249800437,0.03141102836129546,0.03139344592273227,0.04100372530907509,0.04872695103633575,0.04848147759801474,0.04896311861527743,0.04880953971397581,0.04860603867345515,0.02669983058692063,0.027512303760717272,0.027289715190300875,0.03088539658028774,0.02388505783607371,0.02987603695250006,0.026902256352958374,0.02782340482784393,0.027071123572310594,0.028713996388962135,0.03494092729721086,0.04045915892443932
lapgyn4_anatomical_actions,0.009345982874317841,0.002487911152602371,0.002054767561654346,0.0,0.039388107761248875,0.04075827932839852,0.07211442210471664,0.023640650536012803,0.04751844564736947,0.06453063810836496,0.03483727370016528,0.03240865468946965,0.03884680788934485,0.038133478677520226,0.06889335968555256,0.07155903904039726,0.021302908836504753,0.020056811664450735,0.021827130638808655,0.018050447521786094,0.008097628738967506,0.008213054285687516,0.008073097261862196,0.008104373959024075,0.008084141481629968,0.008130079913584993,0.00802610748999607,0.03863831512660894,0.02331231566210415,0.04142466631417462,0.059547938421989625,0.051593260318499146,0.05079522642335577,0.031227822258483053,0.032091725928489384,0.033237311671982045,0.031035368543314734,0.033642885237793484,0.03095829078649415,0.031097745037203285,0.03395652608310218,0.03267274025045403,0.03241896609806835,0.030490048797755312,0.03179528898357428,0.03414095684805094,0.038306113761392896,0.04216457972144123,0.037912464442263476,0.052272216330956106,0.05812890095524815,0.037195358876159254,0.03469552054444091,0.05831716504198275,0.05822079478101533,0.05829082517198658,0.05818180457565774,0.03415585660625315,0.03512063234674108,0.03508659714283781,0.053588000915560846,0.07147616735891589,0.03596388143193155,0.030316379959014282,0.03651969162770331,0.031661831657213195,0.03321034620207619,0.031715421460793085,0.03434771347583581,0.040923407589333376,0.04950531518322919,0.00951669107348696,0.003200383753304501,0.001981065975195341,,0.07232944847207075,0.02364744447702209,0.06395721933988338,0.0390434857502524,0.06875366178967447,0.021400157013155962,0.019890726162524717,0.021859037465099675,0.018046198054539365,0.008255609787033987,0.008181468281329166,0.00814634730030061,0.008234218653870171,0.007838395025385641,0.007987376402146012,0.00831614721961217,0.02323914770194113,0.05938789567904238,0.05069131238031046,0.031497144615859056,0.031939869385383964,0.033043408264423174,0.030904178616428836,0.03367091942462986,0.031097017305338058,0.03100467794540825,0.033535714076648716,0.03295798011930544,0.03270697152634829,0.03032644689228025,0.03156098941257584,0.034055851619395144,0.03819796575592316,0.03803470446293636,0.05166348557379059,0.0582945590885502,0.05804816714377327,0.05856084793782802,0.05837167797447433,0.05820114085225158,0.03392781238187185,0.03522979598553129,0.03504797076528061,0.036002506741315436,0.03011795795178656,0.03634003900948983,0.031645553898224904,0.03323055936488963,0.032056813452408225,0.03439297069109864,0.04108964201959806,0.04920394993623729
sklin2_skin_lesions,0.021471398456705412,0.023631109316892624,0.02297980192768918,0.029185782366274744,0.0,0.03126866376718512,0.049420857141982036,0.02197704406107989,0.037500212165793675,0.04591831002278293,0.02613056008795035,0.0248110401894707,0.027617204169152275,0.025272898145443423,0.052265087208197954,0.05413004748273649,0.013664882793679153,0.015260305506903585,0.021962056566156806,0.02150259117236798,0.019740688152999272,0.019817076051729134,0.019900545333951473,0.019751628568746293,0.019775591876404177,0.01976720741780533,0.01976197008950775,0.008764731150334121,0.026545943309235546,0.020894754283892005,0.03647501802533454,0.01879027057499679,0.03756908591703223,0.02541668293820119,0.02690054495912021,0.0285785064433253,0.025010947693139336,0.029126840923233175,0.02517105342612365,0.02495199522872771,0.029206848815898415,0.028049959138351156,0.02726059650746873,0.02400827289206979,0.0269066851206906,0.029841022398752064,0.033453954052757015,0.008435533440445982,0.03355011180111871,0.01537539332489191,0.031647351416744046,0.03577721482773991,0.02741269060175336,0.031768166200840046,0.031804425252958936,0.031814764357726455,0.03184083097613395,0.01900587512054067,0.01741055655255259,0.017495316348717982,0.03461603224769028,0.04733317871417763,0.03723946756527483,0.025598575465017658,0.03289217632460315,0.03319782226285974,0.03404090678932261,0.03362519451086391,0.03206549949080404,0.03008895827264813,0.02576801731497185,0.021436897325354254,0.024042861154426883,0.023303986646706295,0.02915640078375658,0.04966136934689883,0.021918953459847706,0.045265188683927385,0.02765950472205946,0.052225312866432956,0.013817020417065945,0.01499938657945493,0.02200721245823769,0.021692099893794514,0.019577783740187055,0.019917700376377582,0.019915544600961167,0.019995472848151456,0.020115017712679144,0.01971336429313317,0.019598450298004798,0.02706343203543184,0.036434394552749265,0.03734461769339364,0.0259735541938404,0.02699661076766682,0.028405540166167816,0.025064871580643876,0.02888876616658618,0.025230888346530454,0.0246320167722872,0.028694456696759876,0.028561826518374547,0.027472121861690617,0.023787941209841117,0.027092267949029292,0.02987718939457695,0.03346830905896639,0.033540914087807835,0.015113481156145563,0.031816086258518145,0.03158332144361163,0.032020222667655286,0.03174334523201047,0.0317238693415161,0.018738065885275018,0.01749014305533996,0.017427623564174016,0.037370445114498343,0.025406609754303804,0.03294890382367785,0.03305234059169957,0.03396326795299977,0.033895077767813656,0.03189949697450183,0.030062130012983024,0.02542355036488114
identify_nbi_infframes,0.02216909684960644,0.023322642299729614,0.02193630644971107,0.026737157490295472,0.020159894047610167,0.0,0.020759639483321726,0.026310395352376188,0.024466767166403024,0.022403980907290087,0.01797489217701383,0.01672519115604891,0.020676424266936416,0.0171797704181739,0.03474782451460896,0.035414613955188384,0.017979579676152498,0.018629255208319602,0.023844620248036585,0.0239021329819843,0.021022040545407412,0.021268086795189153,0.021161577906359544,0.021023131922570742,0.021162469489631217,0.02110599300077133,0.021227068014487524,0.016801160781177382,0.02187523260326888,0.016960918931894817,0.02589286497262728,0.024420965128611243,0.035644120893255034,0.026320247516335604,0.026100333200488376,0.02673843945552045,0.02637784700024337,0.026759555995180446,0.026035532889766417,0.026117326948455182,0.02689797195197536,0.027047662422417976,0.026259656198280155,0.02608172378275367,0.02585645851285646,0.02714808315530294,0.028774899612152693,0.016547084387713046,0.029571030788032995,0.018034709171341496,0.03464522986040692,0.038096340919095584,0.0276665068793543,0.03477389034738162,0.03483862614839353,0.03468829309514188,0.03475094311687241,0.027663079588861498,0.02669688710989548,0.026751486685594066,0.021328004056318052,0.045103124270933444,0.030101575097245994,0.02630271852872799,0.02687894834237083,0.033149469854076484,0.026323209290758626,0.02750183856760306,0.027525211358700986,0.027436087168917656,0.031918250656200325,0.022189463246758474,0.022671126295429236,0.022247563543566263,0.026904545106976086,0.02075534780002287,0.026109674062751283,0.02235664735874889,0.02062597039150816,0.03468478084308698,0.017969386906803646,0.01825905232477689,0.02401656841547466,0.023990516426945063,0.020861837139899524,0.020986929080925105,0.02133055332791265,0.021433443778781237,0.02159325970345975,0.021051615474063392,0.020779697563947853,0.022499081270510066,0.026005467008238015,0.03550032653803689,0.026631255786352767,0.0262444144830916,0.02666802472958429,0.026888203291024388,0.026322939146878173,0.025983228366393905,0.025776302177727767,0.026560970244856243,0.02728628674198608,0.026323734135020694,0.0261842161679662,0.02612532639847203,0.027392789197941643,0.02894172955824526,0.029507864461389297,0.017800818792468424,0.03474618994002972,0.034740403402916106,0.03488621662907896,0.034751410045216535,0.03476538169667021,0.027683374317095832,0.026698414843690548,0.02663405197436832,0.030198302156808535,0.026102837885915487,0.02693240570778889,0.0330413827289299,0.02629568420056308,0.027540134064567217,0.027393926308289587,0.027565915524210546,0.031772037672549054
laryngeal_tissues,0.050666875072715514,0.050282411491258026,0.04951467528551087,0.05361484883803907,0.04362121173761923,0.031248776442013702,0.0,0.04902352715341896,0.038266695409514745,0.024026364272308642,0.030300026917326306,0.031007333596832155,0.02745058096203858,0.023976924519713096,0.04391191560425482,0.04520738583658317,0.04734403918001562,0.046755379760739235,0.04869717597689638,0.04999279476524633,0.049559730786604146,0.049773697210069356,0.049712146477476925,0.049543627227907866,0.04969295045489094,0.049660179113116876,0.04974347009647788,0.03882346736927828,0.04537168842511009,0.044220651676593094,0.042239226526324135,0.044283647842570655,0.058059544402613295,0.05453451238540393,0.05467325776868379,0.05488896538357178,0.05465666760712594,0.055029873590568545,0.05424943108663796,0.05448347788571971,0.05514181504522622,0.05501622025844152,0.0544789041544343,0.05418354198072457,0.053876944613137405,0.05508907060247994,0.05907313150799055,0.04353415564126313,0.059903163625058785,0.03520273281806015,0.05644502677700696,0.06594762572061165,0.05088861893242392,0.05659523180864887,0.056615615585893404,0.05632977786419689,0.05649851722357774,0.05027894230513718,0.04889842535620325,0.04912423437879857,0.044189377717748786,0.06363492065103413,0.05449467118097243,0.050154372307495705,0.05408790500496519,0.05614095651275045,0.052336310641251944,0.05023799475929998,0.05273496049115714,0.05041223268398042,0.05706897808920559,0.050820486815143874,0.05196150819626608,0.04977491465983201,0.053692342378662695,,0.048888626294089785,0.02406911231556399,0.02732252779084063,0.043841032769254995,0.047352177846926934,0.04662773550864442,0.04868727042956105,0.0501597121951369,0.04939899307446098,0.04966431510331792,0.04980071221997258,0.05008265165905865,0.05008135194225094,0.04953621769007125,0.049436328969063977,0.04616222533639589,0.04225320037112368,0.05801862005507872,0.05492075164498657,0.05474172861081023,0.054798752009605114,0.05497724607144649,0.05475736206259716,0.05417128084177557,0.05425384039103475,0.05497633182125087,0.05517477142393986,0.0544783709552803,0.05431053875196561,0.053855665871334904,0.05537131536700309,0.05920277271752203,0.05985009801971396,0.035322070577886354,0.05660109836744062,0.05654756615281551,0.056594612903256535,0.056343017784336605,0.056533316196658766,0.050253738981096134,0.04890623754728718,0.048958442303210926,0.054557810220820825,0.049920654575906206,0.053962122404368054,0.05612842259410573,0.052374521680027465,0.050512833290704585,0.05276552659197373,0.05059995736063222,0.05693146034863194
nerthus_bowel_cleansing_quality,0.02239641281271561,0.020549199050873858,0.021371523580552377,0.026142750127938617,0.03452587069163356,0.04381297548875948,0.07380580958471601,0.0,0.05107801991269025,0.058118604600341975,0.03434949429616225,0.03215846734319244,0.03505125358799463,0.033910403274147585,0.06741397757353625,0.07047509219200199,0.012052943948578497,0.009165224086204734,0.0037537741229119997,0.007382262058444564,0.014995510000786276,0.014941615451526672,0.014900162803273418,0.015012794972278308,0.014990591215921301,0.014938808166015356,0.014991754956858498,0.03409340056174984,0.01661557074549113,0.03973289036987475,0.05620566477441709,0.05472117152190193,0.04211933508416701,0.02641041438558156,0.02610910081597815,0.027462557369907548,0.02591441330460756,0.0276030992904346,0.02576738760484899,0.025502091560272153,0.02803872857852611,0.02757223702546162,0.026742437109114323,0.025419400434260005,0.027114166398803766,0.02858295679243958,0.03873977952764476,0.037565992462476265,0.0382282843319469,0.04897234529440822,0.04875211994745723,0.03762303452379846,0.026260575478669626,0.048836022261487304,0.0486943835579811,0.04888056507601939,0.048763255182272786,0.01956603375549659,0.018684361423472212,0.018409420045872864,0.05120922880047045,0.06259192860836586,0.03464627025004336,0.022113361576910268,0.029476748567739592,0.029531072292676836,0.030742743826295705,0.028492815924890336,0.028461273000693472,0.047670336914537,0.03972530706535826,0.022534414551825862,0.021673194950734605,0.021367023003654523,0.025840247233866364,0.07411182759875674,,0.057200983411801826,0.03511105881171672,0.06743915495155339,0.012125409920237177,0.009540454940759573,0.0037544941880331886,0.0073914950257497536,0.014770442013431724,0.015106302003872557,0.015007539073109269,0.015045789799823982,0.015159280424018769,0.015011803444422184,0.014927450569130907,0.016605233582497294,0.05626005493519797,0.04195566415577717,0.026861509041169938,0.026112476714893987,0.027341926440668754,0.025944445380947985,0.02759440000410635,0.02586516765978423,0.025408137047789082,0.027622124426959986,0.027998044369960354,0.02705997801180586,0.025187089473352475,0.026972968818615547,0.02858497047213952,0.03851332100458134,0.03839495818497608,0.048388896003123405,0.04898283665335834,0.048556267383637226,0.048928571756681256,0.04891058644209307,0.04865766859283422,0.019360561960246856,0.01891940032805973,0.018263618043855432,0.03483293462109382,0.02185464858965115,0.02941759381828503,0.029575162844829295,0.03066160390205566,0.02886040504400924,0.02841265910199752,0.04780339284681579,0.03926090766982287
stanford_dogs_image_categorization,0.02311320447056981,0.02531761012143059,0.023786000455226382,0.027655988769420593,0.023055854471904374,0.022519626347352485,0.031489786664711035,0.030464243725936428,0.0,0.031154957640071528,0.0074423636599204625,0.007526259209200776,0.013110351932939364,0.013270588726516831,0.0366643110644268,0.03687017411782368,0.02376338743233625,0.024324746028304724,0.028650187902104114,0.028402293409940594,0.026493899837544067,0.026665523483372554,0.026620992546972425,0.02650570575738459,0.026544744032394874,0.026601887404012373,0.026601931822734442,0.01947745819787484,0.02904123192716784,0.021671415459169886,0.02965267218217701,0.021039986889321887,0.030818056361539725,0.031534897221123515,0.031466999996889254,0.03190618781758799,0.03163703902919188,0.031930489725328866,0.03136226970193304,0.03147950188451561,0.03202753861492815,0.03213215850391103,0.03154903598277224,0.03160342371817354,0.0312856903112223,0.03223164594091023,0.03290920364028955,0.021790312096349223,0.033720802493530926,0.024546445994686257,0.03093045827697689,0.03914228751047097,0.028806474818452703,0.031017008628025023,0.031056329665873544,0.03096634939656731,0.031093702264301484,0.030033970842811644,0.02881120076799277,0.028913623239083232,0.029574119011355225,0.04056475587768814,0.030801979016017698,0.028720878077797253,0.028168928210484567,0.03373362087855171,0.026854531772550237,0.028537546495714872,0.02846409193949972,0.024436334742329847,0.030710450743253067,0.02289933201329582,0.024963428403461056,0.024056961770104558,0.027969447307488647,0.03147477279015947,0.030323789889392258,0.030872890876219552,0.013289452772348623,0.036581690703688746,0.023757789455691583,0.024101121605064897,0.028706149464758225,0.028439649621385548,0.026473346516321924,0.026574024383112068,0.02687399956086692,0.026787484280199184,0.026892242995487866,0.026572410141102867,0.02638633937855003,0.02963598492226246,0.029656038812779013,0.030845222219727478,0.031893574434117715,0.031652246003069304,0.0319749246498715,0.03200439275226634,0.031683981828613005,0.031436641496012316,0.031155734471419325,0.03192438696683531,0.03225354709143609,0.03153772433674532,0.03162782771276634,0.03130121912465997,0.032549373011612634,0.03299895338078716,0.03366586296784877,0.02441653433087463,0.03099900193309395,0.031024742709310098,0.031083810361615137,0.030933263744964898,0.03104099125733214,0.029959650528077565,0.028871671789924277,0.02874632248829614,0.03087880647720762,0.028445848307227656,0.02823483850413696,0.03362771968189484,0.026834973153844532,0.02864667225364187,0.02829358875639178,0.024491616816206645,0.03067882077171859
svhn,0.05144710883792013,0.04862671683057509,0.047977938466832334,0.05063048140108248,0.05050169607304793,0.04128622236672983,0.030683061758298096,0.04641264132179937,0.0420928409317267,0.0,0.030840651474421783,0.030885528350459948,0.014123586923665696,0.011860776478417913,0.02824210888859987,0.029031078213019066,0.04624209421824314,0.04579367885829921,0.04583110114968183,0.045755637732895434,0.04617053459721312,0.046360377299153786,0.04619646243715437,0.04619218942661457,0.04623142520911689,0.046222432144225986,0.04634858972938629,0.04914600314782565,0.045908479598599665,0.04837243518577926,0.04763984432226181,0.0602140990959335,0.055887899029180725,0.04644696012139054,0.04575598559670478,0.04604536020534577,0.04627068402857663,0.04602660720191608,0.04598290453428015,0.046103853247347566,0.046276022571689016,0.04642676284508753,0.04577723600647999,0.046007106042490045,0.045736903187516505,0.046302628293153396,0.052888326188203584,0.05191541637134864,0.05334218061044518,0.051527983559377835,0.06299627684732512,0.0581471961519423,0.048130022801549995,0.06305059190626636,0.06313912464638675,0.06296015103316105,0.06296255756561146,0.04866573407290974,0.047307152438397226,0.04755112127661102,0.04942489412934622,0.07078279872440585,0.04641795099659038,0.04407361354768017,0.04667566240281846,0.048136719233208156,0.044959024289358954,0.0419067329444102,0.044863032148166115,0.05496677052144559,0.06030677753975569,0.05177749651466458,0.049009103699207676,0.048107198367706216,0.05056898946576918,0.030964563220210704,0.0462306826881782,,0.013911375103580032,0.028238022838549377,0.046371218638626865,0.045692423451641914,0.045808107379781596,0.04592240033833904,0.04599801020467112,0.046188896544104276,0.0463713719295875,0.04661601632166897,0.04651438520670312,0.04633136443892789,0.04603283019104679,0.04646224185968787,0.047558340166045016,0.05590661710454301,0.04671248637974169,0.045912526031403306,0.04599524536492564,0.046719872544252125,0.04577934402553561,0.045992113817263786,0.04593966920506443,0.046156829324053766,0.04650025952474241,0.045932718054926144,0.04619323640223632,0.045734320123398134,0.04648889138821096,0.05300091634483111,0.05326167837311097,0.0515271176903008,0.0631571303232926,0.06297894556780931,0.06312568812457936,0.06292116616268974,0.06293674692550284,0.048571128647195295,0.047096669952100136,0.04747347198274395,0.04659924262892789,0.043918215830368215,0.04661425380859272,0.04821816530534591,0.044999182114823545,0.04209061992611236,0.04491140012295267,0.05512776108467068,0.06013600116983704
