,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.23459177442748969,0.26210262419543784,0.3559480769837404,0.9980752600110455,1.202799635726206,2.0921396206466993,0.8086201597782696,1.501811025923135,2.1129177645897284,1.1888515680607092,1.1485581090647838,1.3601908559435552,1.3036747234622568,2.313376757039916,2.4012892120859894,0.4983251285972651,0.49044314337109873,0.6467547163829772,0.575992044933404,0.3954024602062684,0.39818624478427683,0.3968510260884288,0.39579788511385355,0.392764481954166,0.39346524424430757,0.3921065647288792,1.0094292703824004,0.8567475040976391,1.0012705203329753,1.613225341165154,1.3195411263317456,1.5352229530871992,0.969181888557426,0.9845114308940578,1.019957863573706,0.9596493663122191,1.0293956297487192,0.9595332438557912,0.9594513730656211,1.0336244474315242,1.0081993155187465,0.9984676439979059,0.9482662571364286,0.9685430550840718,1.0466684941128637,1.1602818867158802,1.0474903297118692,1.161588496674587,1.2153197559307765,1.7613292733920407,1.1940862427638876,1.1511425349327722,1.7664131846504392,1.765211734774673,1.7716144714597406,1.7691840891981339,1.1631029756134368,1.148093623497834,1.1421286564343935,1.5050371483253144,2.309954254512723,1.2993885118118027,1.0255657438566135,1.2317148832208977,1.131747037572246,1.2132797182029458,1.1649541515279018,1.224652191750761,1.2019556747644748,1.5605071912284365,0.12737530931036659,0.26904797193723945,0.25950619583219314,0.35830858060376075,2.0989819604837865,0.8064031290094901,2.0985851728454272,1.3675360009702011,2.3105506096963615,0.4930967369334274,0.4896512597654887,0.6531482529844079,0.5713829527337382,0.40127426897706014,0.39500106781570815,0.39762072944028165,0.4047002840862048,0.3987306763375545,0.3876378511898429,0.40833342341125867,0.8628607725071529,1.6167049218597065,1.5266812940837942,0.9780752447661868,0.9848567218257425,1.0169311047505663,0.9630469933835645,1.0266013838880508,0.9645137785807225,0.9514019478363633,1.0262877574858051,1.0169006752894534,1.003447120500507,0.9469263884995383,0.9710466247908787,1.0465908405543578,1.1611666981351194,1.1610595110303557,1.1959147310165237,1.7658331903660582,1.7631014666517428,1.7700649331687541,1.7705928912714985,1.762850454317053,1.1592055748097336,1.157158554782899,1.1415951838559077,1.3010323630226714,1.0238194034009884,1.2325701450677604,1.1280056917092625,1.2116199653500188,1.1730679078327895,1.2225531066177517,1.2033196893446896,1.5501397437334448
lapgyn4_surgical_actions,0.21011278458097837,0.0,0.16364410822824366,0.17375594355635646,1.0748641806046209,1.2459019431338068,2.1516985879483137,0.7518352531906399,1.5042506888284983,2.055405166067509,1.14523595375839,1.0963865320561368,1.3044049985049422,1.2675327069822766,2.154362243192196,2.262705262171154,0.5540623650833321,0.5317099400302101,0.6231499776482708,0.5237231045735703,0.3121282721737174,0.31450936765811843,0.3123229827511464,0.3139491394722677,0.3104655111194419,0.31127615193529534,0.3097634890579072,1.0584806331644323,0.743633222107199,1.0435263147555194,1.6532052044450452,1.4849897297835628,1.4462776100305736,0.9172099006785651,0.926723284180568,0.9548958376773244,0.9090879203967561,0.9633491960363236,0.9067908471293911,0.906139556933866,0.96993678197585,0.946074363040029,0.9373775641813687,0.8963364676359025,0.9194566356371064,0.9773129309995833,1.112145787757174,1.1157048260123832,1.1096410398774945,1.3601016853845111,1.7392914888659277,1.102190507034239,1.0434318620951823,1.7443645169443762,1.7427203405912894,1.7457404439719577,1.7453682848823886,1.0463823307951639,1.0639842455635378,1.0624168063553376,1.4228369625087274,2.1926823899388554,1.1672097742024121,0.952115478867189,1.1568737256196107,1.012461884733646,1.0992724349180878,1.054042071306314,1.1165135168605667,1.1776888646343049,1.5130433087823223,0.21290891847620214,0.15615249093722,0.15904419451024704,0.17565129344687633,2.15578273811364,0.7512866976541865,2.03908547384975,1.3126722650121556,2.152815373116682,0.551426699206499,0.5289772788011115,0.6265531028986755,0.5202987973729079,0.31920341952349435,0.3123207304949225,0.3132162983965323,0.3201082589015285,0.3111066900678811,0.30623451558333087,0.3257843550738846,0.7431216652026228,1.6525905013647866,1.4390130834107093,0.9228229339733265,0.923517966395778,0.9511613401056478,0.9086232079697064,0.9652091855444002,0.9114113349702915,0.9029456685051941,0.9625076016435256,0.9528505072545533,0.9427426062249219,0.8924340037931292,0.9168501653189668,0.9772824613271814,1.1105599816444338,1.1112578168456944,1.3387768341378392,1.7455265835520857,1.739741067006468,1.747848846615982,1.7485149505381052,1.7425077373287519,1.0428160837979243,1.0717814415815157,1.0608033896224747,1.1685238201248476,0.9486463558838112,1.1536898222544372,1.0093895894883225,1.101449989562992,1.0624115855315395,1.1178058601861742,1.1790956849123062,1.5042524249166194
lapgyn4_instrument_count,0.22710075082114256,0.16134725032669586,0.0,0.16329723024563286,0.8950360835560796,1.0868563516191048,1.9186875392514735,0.7112888945995373,1.3073940675910425,1.8505320751698437,0.9749916814295994,0.9290897462031091,1.17694461540007,1.1276559834144841,1.9364826577621879,2.014104361021111,0.49112295338665696,0.47280147353053525,0.6132694041725845,0.5456726567884963,0.25921467386270686,0.2628343164063052,0.25979632301149486,0.2598815228359341,0.2585955602292325,0.2592024411109787,0.2582420811908236,0.9094667044721627,0.7376907399322722,0.9925678056673024,1.434547305115358,1.2358610641825296,1.3208464320356708,0.8844073330417245,0.9022681108243592,0.9351764102217482,0.8752158700116618,0.9455699182518188,0.8740661764035907,0.8754903051553102,0.9492072634450972,0.9237693680681351,0.9127928793523183,0.8599189485901017,0.8899291503806602,0.9604206965525152,1.0651489239485041,0.9678169792674913,1.0681827839861848,1.1830626408927283,1.4452632358324,1.089578246024026,0.9854599522282218,1.449727535125051,1.4481682721665061,1.451872148491933,1.4505365031506978,0.9210675338060554,0.951109647661977,0.9516948618661033,1.3530481506484056,1.8839614100269222,1.0473969644740204,0.8543676733307178,0.9971588280450469,0.9394571830756582,0.9607647412260368,0.9400927787171214,0.9804215824839108,1.0651030710132074,1.2638732580333851,0.2285153036316104,0.1715738567532994,0.12610060001488407,0.1694178910254592,1.9227851455205502,0.711288304048309,1.834876705793571,1.1850968654556615,1.9345671219518699,0.48883197944995893,0.4682782981086533,0.6162868107650867,0.5437282567225385,0.2657863240603598,0.2606276855955794,0.26289842071940983,0.26652917110579316,0.2589616220872603,0.25487538360821715,0.2675646798526812,0.7437496527334986,1.4342651960655437,1.3136283126723152,0.894351350881386,0.9010505885932909,0.9305036899681954,0.8781230599755407,0.9423785445587032,0.8794668650835816,0.8696766648132362,0.9424605987520667,0.9323674425824412,0.9186880185857079,0.8561598554068728,0.8884316192494283,0.9610746004631905,1.067198145712598,1.0699204751564098,1.1671448212638165,1.4489178029121108,1.4460709058640513,1.4540719085024951,1.4530616206545446,1.4473217713934048,0.9195728011956446,0.9574637972802913,0.9505861900508585,1.047111314380425,0.8502206706506921,0.9955955500153756,0.9364452624224261,0.961847468342558,0.9446779815209524,0.980420951412617,1.0653816397042561,1.2575703919512184
lapgyn4_anatomical_actions,0.3633138733610128,0.2005269932136721,0.19405403301723698,0.0,1.3774562213995465,1.6435069066424093,2.589779278630196,0.9990016325855112,1.7943404379833212,2.4257179808428315,1.3863605683373459,1.334323456424312,1.5457165915462696,1.5279229869573172,2.484239360907977,2.640138257978575,0.8011679258576633,0.7688792124243436,0.8642695050136704,0.7696701603827645,0.4244151277408013,0.4268630013073774,0.42323673906075876,0.42552680776296614,0.42170422942213215,0.42348551370430976,0.4206614281784477,1.3851775749522193,0.9660183807391124,1.3879812545468615,2.0473252414544083,1.8632693371871825,1.827901880085018,1.157883920524294,1.1801416746386415,1.2115494529107207,1.152174921031354,1.2231136464089924,1.1511099420829594,1.1555035549771904,1.2292520522703865,1.1924696567913422,1.1899403058253024,1.1367368787338057,1.1640828136316568,1.233333495559321,1.353397589859641,1.4451683262880248,1.3493568576539101,1.771738383281962,2.0753598657998023,1.3044960540383272,1.3117585505645848,2.082874706604785,2.0795809154075546,2.0821853916526836,2.0813135858137986,1.288905596002806,1.3401317570501663,1.3411667685723236,1.7812586958295749,2.5405340667444243,1.4387135548499925,1.200150926287518,1.4030325354282316,1.2488376835569273,1.3426484486970955,1.281974868155265,1.3803408687156142,1.4037209719620711,1.8268725224404139,0.36595400135909373,0.22638360248505515,0.19152352397204972,0.1241703022048462,2.595334255122977,0.9985414929636306,2.4059366269882583,1.5569388951721452,2.480585176279338,0.7991568998064996,0.7643197446435772,0.8688378645583161,0.7682535122152805,0.43538337041418684,0.4240018772207904,0.4259268417280199,0.43232452989011866,0.4156147916153453,0.4166881051785028,0.43861961586234005,0.9654369566435111,2.0469997593274365,1.819783023700031,1.1656532993916298,1.1764519770100166,1.2054386385533737,1.1519577352722081,1.2229546099315722,1.1557168963837228,1.151237699541167,1.2203155537976447,1.1992790044648804,1.1961723236941892,1.1337444127601772,1.1601081681527534,1.2307879337095133,1.3508540585650757,1.3521636520587654,1.7506794020632637,2.082208202732595,2.0778963535799035,2.0850697366779816,2.0849757418715082,2.0802596593047555,1.2869665961018966,1.3495498117396338,1.3377512136136989,1.4405433030470898,1.194532410502875,1.3983364034648122,1.2482401060735038,1.3463245108435675,1.2914936729574928,1.3824505375001077,1.404855148382394,1.8181352524840027
sklin2_skin_lesions,1.037766532596441,1.2143638316510503,1.1197514017290269,1.3624506080542236,0.0,1.1337662482766924,1.6993471229472594,1.1266679844064942,1.4222039450803798,1.752470830735223,1.0662397710523266,1.0369581182937204,1.3036269235144424,1.1744744243427039,1.9582108971444416,2.0055515611624677,0.7261313216278169,0.788381661936532,1.0765203137930497,1.1411075489800218,1.0689435010549015,1.0765124918688191,1.0787440161386663,1.0707894153658046,1.0732464813745057,1.0751171385018876,1.0738224692199378,0.37640675790317196,1.1936646832518847,0.8063980240209406,1.2969542122731539,0.6222721818672198,1.4106938814391008,1.1817846018781077,1.2091974487431754,1.2464457432839544,1.170433920498665,1.2548004276104618,1.170704643370956,1.1625784029846065,1.2639886890178182,1.2502417392164904,1.2132726382303827,1.1285496725467195,1.206290539449649,1.2737339504151224,1.4860962274881113,0.3456613266508523,1.5087168512667746,0.5036629377469188,1.1177498319855856,1.6100169279908718,1.2187044509322376,1.1245052147053516,1.1236895007006404,1.1269110847224895,1.1283302338854222,0.9327529342293922,0.8940625980240913,0.9000145522337818,1.1872705802427879,1.6235782433292314,1.5397533467104745,1.2299157611698082,1.3733171943652258,1.5340567129392786,1.4548876146002059,1.3999576966825331,1.3821515249675347,1.0892126785300247,0.9438182781021314,1.0282031624178036,1.2168565312625932,1.143501514147083,1.3799963091883705,1.7051109790457852,1.120019473979858,1.7349705951094465,1.3129148875331098,1.9510805975809908,0.7267726749923924,0.7732958856175131,1.079858209462707,1.1469776093922446,1.0670703853077166,1.0742274972846177,1.0881877121873904,1.08746586434759,1.0966225625974448,1.0613645587218672,1.0637999951087078,1.2197044661200878,1.3001656221936593,1.4053261284464684,1.203181399683799,1.2212008699307544,1.2381635536098266,1.181007637589704,1.2384105580415325,1.17302983472614,1.1476287017721771,1.2503892458114605,1.262022957847618,1.2205276342707962,1.128331510803182,1.220664489687212,1.2790740239079839,1.4961363959502398,1.5087203651491419,0.49979700566315594,1.1234930002118286,1.121493413633586,1.1295271907935074,1.124684831176283,1.1237610960866606,0.9275923530819967,0.8966909662512128,0.8992510869585975,1.540423894221168,1.2203299566472883,1.3822688805897747,1.527504850234046,1.453449288205609,1.4009590948073216,1.370715726040808,1.0881327940654644,0.9393018921701141
identify_nbi_infframes,0.9449412011484194,1.1213323037060887,1.0969805384655005,1.320600526573476,0.9979408384221894,0.0,0.9147343020043365,1.4020779850870437,1.0227177709622632,1.212856064936942,0.8818002116759984,0.8584596102454283,1.1489998795804115,1.003594750470617,1.6090795937502502,1.5667891146552153,0.8800267630069345,0.9442854689831062,1.2385218649780965,1.165698457662789,1.093324144320248,1.1022693393526193,1.0999284315772118,1.0927291878945524,1.097258756908411,1.097592418544408,1.1039252149175234,0.8118012660823569,1.1547806560257639,0.75365117953604,1.1083381747076408,1.0310602298577312,1.5155833857392997,1.168041039419013,1.1333090134540689,1.1487777311408998,1.1635727673825935,1.1461120756000807,1.1510961204724799,1.149538780088337,1.1537766086326826,1.1758571283509105,1.139445683589807,1.1445407958751175,1.134323625852355,1.1585932593204824,1.372217030011827,0.8681606202361924,1.4121755858868363,0.7920935423894544,1.5820781263865866,1.6924684531020606,1.394039262301829,1.583455047750419,1.5867784194623078,1.5870449137365008,1.5912151002817398,1.661051375331152,1.6043625047082868,1.6009543633466328,0.8462862018993508,2.038090082495379,1.5198136608923545,1.2498165311423717,1.3566974119674977,1.533851220962873,1.408166936845458,1.3747046728631047,1.42855588224523,1.2257883436128834,1.5461847008673668,0.9389089757913774,1.0689337389603517,1.1106503012376432,1.3474358701050317,0.9134033925973908,1.394830272926582,1.2188788184416939,1.1565409180967767,1.6010596998759345,0.8700245298277934,0.9254011228621158,1.2459379780822957,1.1665809354341616,1.0871428321460461,1.0895491103128485,1.1103781001598976,1.118227540677845,1.1210304598165246,1.0945793454192705,1.0879287918755933,1.1811736957818884,1.118675658889674,1.5047171500038097,1.17237066132514,1.1449594048820215,1.1500337461795744,1.1849435013761085,1.128626636920534,1.14531390243833,1.1351655730321044,1.1452987612454661,1.1804658275636182,1.1433015942836755,1.152666077736306,1.1434477672747088,1.1687822068879057,1.3847823553998602,1.410795666502265,0.7891751159437025,1.5820588738845012,1.5851580932329112,1.5851316967230396,1.5852471907596264,1.588984963190427,1.6603171730384425,1.606251642778976,1.595883623866265,1.5249051753232177,1.24948779637696,1.3709893610197266,1.52308576463564,1.4079640563960996,1.3702753074571443,1.416536265257835,1.2280453628102874,1.5347245945974688
laryngeal_tissues,2.6776222104679865,2.834526229480427,2.7273234260169104,2.9945000230926033,2.166159759350039,1.3941644648112357,0.0,2.9327585206472846,1.8696558866704216,1.11385793059667,1.6488205822692414,1.7207618389786055,1.4956514358954374,1.3154326635163531,2.0506600803692328,1.9942591074558844,2.538733366570953,2.548289266647375,2.8227673852956174,2.927518727585738,2.8389706295058725,2.8559912365711866,2.8480196108931235,2.8410254090467277,2.8461544574178483,2.848856598464269,2.8548613039606345,1.8250902946969338,2.7358541750953562,2.240874156902075,2.1654796887022107,2.1588185261063377,2.875516477405127,2.9457152217642912,2.9280789006773,2.9340429614941406,2.962523094964933,2.926488668004286,2.933005313470869,2.9458470171283633,2.937159508076802,2.9707797420040336,2.9187106332676813,2.9407355423284987,2.8884839271981613,2.9357942198765956,3.138305018732814,2.145923037942859,3.18523764719163,1.6432451670096548,2.996804833533023,3.6390071140773834,3.0931901709937,3.0059171632792903,3.006606894332568,3.0061336538730936,3.0084264710006994,2.9147484838924522,2.8218170632331057,2.8274242978305906,2.0462780684432516,3.5230696358340863,2.9565879416843686,2.8692267598524865,2.9369314111908116,3.1117304902062095,2.9386570054443317,2.8219674788522187,2.891625003385097,2.5943347711325826,3.103238191435174,2.6703265268729077,2.902404001726398,2.7557204265974082,3.0160970003719627,0.1200342763052797,2.9226335108816572,1.1301363479153828,1.4982206766242623,2.037620250675997,2.5374188140168257,2.5318364091779797,2.8327564381369323,2.9323405096127866,2.832110553360731,2.8440612299498005,2.8730202503885915,2.876923174536161,2.8749384333887282,2.835685894385689,2.8248397471084408,2.78510481758214,2.1748978010871944,2.866506155149705,2.960473472322276,2.9476243096314443,2.92939487851846,2.9880589094279815,2.9017023870671426,2.930998437001494,2.92204490952894,2.9340265330019606,2.976494468772226,2.9210679204339787,2.9557826240164964,2.90231570751492,2.957165608619401,3.15270265532235,3.178229251870922,1.6475896093875027,3.0031339631688674,3.0057521977828596,3.0084653231143443,2.9998324841883934,3.0052355373488213,2.9106062842499534,2.8232450303212753,2.824972097766701,2.9606932636988037,2.8625608910092817,2.9489792061487243,3.1028800780893246,2.9368197645639524,2.81917071006105,2.885483409310204,2.598239152291779,3.095453911114225
nerthus_bowel_cleansing_quality,0.9822578297245097,1.0004874614297157,1.0075151050717428,1.2093619396455964,1.2720321833159578,1.8661027055527144,2.7839653364337815,0.0,2.1285859229796738,2.290061621404745,1.5256992209419273,1.4656102926853283,1.5821635630179056,1.5398605834685037,2.431722287104935,2.5403781769084555,0.5759254104770586,0.47316465717363415,0.2293397084709596,0.4172180448825828,0.7275530862322743,0.7261408691175434,0.7280308756218556,0.7293092783721233,0.7292988099079787,0.7279139354020331,0.7290694023204319,1.3045723695547786,0.6927780393718462,1.444069390881609,1.9851040408977472,2.087739942229976,1.3583792033348774,1.0944241622210946,1.0733795082580575,1.103190061275886,1.0742874424596667,1.105887034245611,1.0729266591046998,1.0601146737794434,1.1165384646981404,1.1141693128114465,1.085242406865964,1.0522732288099292,1.0997503667684843,1.128548594131374,1.389758852210144,1.373148622506331,1.3821122771388232,1.7806087036082388,1.6714007878332007,1.4019884498955777,0.9751040607068292,1.6736120215595576,1.6720259378402778,1.678066466394053,1.6718835171662618,0.6997294686408546,0.6880263581120537,0.6781932894589113,1.7814358837331863,2.1436361367600067,1.3132650628659805,0.897683475060199,1.093553194787982,1.1735244861322331,1.1924645179314999,1.0736450679718976,1.100857255410968,1.811304683632479,1.406178500901983,0.9837304464957841,1.0540551257101594,1.0115102416498825,1.2111722707134827,2.7900853041423,0.123978594682925,2.2593812037309617,1.5828485145331335,2.4351535782356226,0.5742024412657746,0.49003561399651424,0.2296453851808625,0.41713261311291366,0.7248090361096895,0.7369813018484304,0.7333079833410004,0.7327320600576489,0.7353251361802446,0.7285054951037702,0.7292064486314289,0.6904963702757565,1.988323598701709,1.3495975043596482,1.1072890874463677,1.074558719750853,1.0981541236805406,1.0762066719904886,1.1047086959436425,1.0757740372901738,1.0567525511961908,1.1086210827842569,1.1247200799817694,1.094917813188675,1.0484400476940945,1.0992531545259356,1.130020370580544,1.3850058148566742,1.3862913936114065,1.7571129637780316,1.6807566751995278,1.6669660209683628,1.6727437062944417,1.6803247738876435,1.6675704372632152,0.6969882977533768,0.6938385722343411,0.6765318741005386,1.3187103237703643,0.8940509058773166,1.093686799148091,1.1688133721916045,1.1899758481567824,1.0793902812639258,1.0986953003397613,1.813241263881075,1.3929130186170984
stanford_dogs_image_categorization,1.2091732362818643,1.2872573329708896,1.2180417408822408,1.3729062325778412,1.1214574147655776,0.8689282527686926,1.0985727538548191,1.4418697231170283,0.0,1.1981917113881322,0.4710629609281687,0.48223200176332365,0.714856569551178,0.7232565404614145,1.3705960260096832,1.407270408912391,1.1488597357684784,1.1994159187610012,1.353389685198159,1.3720334364991995,1.3345884199614424,1.3436180183096404,1.339057285219781,1.3344816294349084,1.3361096707492781,1.3388890113824645,1.3405820959101613,1.0111415574244764,1.3390699334239358,0.9811932777640687,1.2179017602164446,1.1580898018968415,1.3272323767339027,1.3907200776526423,1.3772965464007365,1.38203626122344,1.393257527433999,1.3822672143156238,1.3834340131034921,1.3821167849827167,1.3875778292528034,1.3977720335910913,1.376657597273457,1.3902524094595867,1.357549501901869,1.3894189450770238,1.4578184883656362,1.1204122425651413,1.4884923034273818,1.0754853624350877,1.515635397350161,1.6809248488382593,1.2828248948388916,1.5177328883513652,1.5183076627035632,1.5203301106034592,1.5217688024060216,1.3724265526313013,1.3294904120551603,1.3346187061021553,1.1052194829707298,1.7862328589581888,1.2893658573504405,1.2588231244854236,1.2234530907428507,1.4445934846956643,1.1875128844279603,1.2158050499505173,1.219987673541919,1.1134625544161414,1.4800355252311563,1.2013292517965108,1.2939877163914353,1.23074132756463,1.3868080130402274,1.099301692299434,1.437110833941111,1.194606117063032,0.7234543356993374,1.3664778038411443,1.1466105873043946,1.1893925603178515,1.359021573230356,1.374158770677438,1.334841386501297,1.3373690263256628,1.3546911483368616,1.3536569607439866,1.3522759813521388,1.3322177413468455,1.3250891929297959,1.3610114764697763,1.223283511979525,1.325621009546534,1.4019444767977967,1.383947784137564,1.3833687170043045,1.409761940546525,1.3715129206625367,1.386504776013843,1.371638240673564,1.3833064872253955,1.3982291801749342,1.3766154057910254,1.3955515129644664,1.358245732871414,1.3993506687540738,1.469722572392624,1.4879850027449886,1.0791317216280927,1.5171444627480342,1.5196866935651032,1.5193250062636743,1.5180018088689136,1.5188056190209553,1.3712123636842994,1.3333158515480739,1.3289228908827109,1.2943447215043993,1.2480351423047773,1.226760671030483,1.4395798340788188,1.1848675084417546,1.215665283416652,1.2141786355894963,1.113465477613463,1.476961498161808
svhn,2.3771992499134624,2.4007225209203407,2.303539762772909,2.523709735858698,1.9855058963598091,1.5030757263040149,1.0562442261073393,2.221045553461562,1.6982322791315798,0.0,1.3530286576242443,1.3113051704334788,0.7808373922679596,0.6732962791009406,1.08057591186756,1.066688896246289,2.0833562221464104,2.075038526867792,2.1504153131356714,2.239856895609121,2.2547580109696654,2.2645824631202562,2.258618531046031,2.2542271889373464,2.259770875736581,2.2613350621436337,2.2654894055165173,1.83403485054543,2.041663216875946,1.9091173382472821,1.8959714801292982,2.3680953539026124,2.2170232718473835,2.2625561638754403,2.247987328784176,2.259880348259762,2.2690473959877706,2.2557327338037525,2.254220569335572,2.2588681977451888,2.258356243649589,2.2732914563970334,2.245037632014327,2.2539599762291553,2.2010447873228123,2.265018141004011,2.4176609142225343,2.0473818159458714,2.4470733458038234,1.9199147618924608,2.5498628858558883,2.7757728991563906,2.084730476913342,2.5542826115804163,2.554399176486644,2.555453639763191,2.556672028073301,2.187978121650806,2.119443962891301,2.1278715817355724,1.9558406476621955,2.9212747251488196,1.8915165608476598,2.0059262730358567,1.9506643744975531,2.110798057557391,1.8782657124573148,1.709545212808999,1.8433228047510932,2.271660274128383,2.549872455523385,2.376870126943975,2.404383745866758,2.321229559818212,2.5331510785354503,1.061676787526399,2.2103322061784856,0.12409414425796086,0.7701083833201647,1.081322037679052,2.0826090483542106,2.063695081652895,2.1527941249315363,2.248883942462301,2.247133908497852,2.2550425007355064,2.2821212452896367,2.2829687332558684,2.282909631058378,2.261025946028507,2.2379385268008267,2.079661699068573,1.9017367160253862,2.211176694208731,2.2748509424742123,2.25815095529309,2.25326456028995,2.2883605824723636,2.2368286004589417,2.2539648763744498,2.2425964086618824,2.2579092807285583,2.2787339425560456,2.2526137306438003,2.266681864343273,2.2096437383141083,2.281221885571108,2.4294167122880372,2.44212253184774,1.9154745350751876,2.5533149995615814,2.552758402290987,2.5541439225908165,2.5531641328600667,2.5538002554994983,2.1841610483342095,2.1171638568528213,2.125391581322792,1.8967426940162961,1.9981278003464453,1.9577550921375104,2.1076464616834576,1.8776364115561381,1.7072659445980447,1.843296453130889,2.274438644189689,2.546150440233422
