,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0327116958796978,0.0261881984770298,0.05045223981142044,0.055864959955215454,0.001684380229562521,0.10706911236047745,0.0931529626250267,0.061315689235925674,0.23615720868110657,0.028727995231747627,0.035970836877822876,0.16172076761722565,0.14935798943042755,0.13831019401550293,0.1487649828195572,0.026634177193045616,0.031219396740198135,0.06438490748405457,0.07834764569997787,0.048368602991104126,0.04961246997117996,0.04906267672777176,0.048360809683799744,0.04861197993159294,0.04874098673462868,0.04872363805770874,0.04428289830684662,0.09427444636821747,0.07456205785274506,0.07521279156208038,0.09178239107131958,0.15211012959480286,0.12210868299007416,0.12164387106895447,0.12397760897874832,0.12172374129295349,0.12389953434467316,0.12053640186786652,0.12106950581073761,0.12357873469591141,0.12441282719373703,0.1213061511516571,0.12094324082136154,0.11489145457744598,0.1248110979795456,0.14452305436134338,0.05551118403673172,0.15036524832248688,0.042126283049583435,0.15829995274543762,0.17288696765899658,0.13556437194347382,0.1586042195558548,0.1591642051935196,0.1601453274488449,0.15987573564052582,0.13547077775001526,0.1343347579240799,0.13334962725639343,0.14605006575584412,0.23241809010505676,0.16273939609527588,0.11279679089784622,0.11557108163833618,0.15874721109867096,0.1277819126844406,0.12368540465831757,0.13650977611541748,0.1027253195643425,0.1627369076013565,-0.0010621617548167706,0.03262299299240112,0.027419492602348328,0.052893418818712234,0.10595481842756271,0.09210588037967682,0.23849286139011383,0.16384673118591309,0.13715578615665436,0.025033574551343918,0.029700640588998795,0.06581033766269684,0.07743103057146072,0.04935111850500107,0.047557979822158813,0.050231896340847015,0.05151152238249779,0.05004928261041641,0.047221772372722626,0.048912230879068375,0.09753499180078506,0.07697178423404694,0.1504369080066681,0.12372957170009613,0.12225985527038574,0.12280532717704773,0.12381280213594437,0.12214735895395279,0.12048444151878357,0.11830852180719376,0.1238693818449974,0.12479452043771744,0.1217811107635498,0.12168001383543015,0.11685223877429962,0.12530182301998138,0.14663243293762207,0.15010114014148712,0.04060298576951027,0.15847596526145935,0.15882448852062225,0.1587119847536087,0.16004616022109985,0.1592521220445633,0.13611343502998352,0.13523337244987488,0.13325169682502747,0.1629267781972885,0.11228783428668976,0.11634039878845215,0.15686950087547302,0.1274336874485016,0.12327820062637329,0.1342329978942871,0.10328199714422226,0.16280551254749298
lapgyn4_surgical_actions,-0.009359217248857021,0.0,-0.00436041597276926,0.0089789479970932,0.04941496625542641,-0.008035930804908276,0.10278502851724625,0.07182113081216812,0.04567139595746994,0.2231425642967224,0.009097987785935402,0.014097827486693859,0.14240819215774536,0.13402152061462402,0.12103255838155746,0.13270136713981628,0.016946813091635704,0.0206364206969738,0.04746498167514801,0.05689457803964615,0.021566933020949364,0.022720541805028915,0.022067448124289513,0.021558627486228943,0.021766718477010727,0.021950669586658478,0.02190392278134823,0.0304555743932724,0.06595493853092194,0.06102696433663368,0.0707547590136528,0.0908476710319519,0.13366809487342834,0.09923617541790009,0.09786554425954819,0.09942304342985153,0.09898428618907928,0.09933833032846451,0.09754803776741028,0.09813143312931061,0.09951774775981903,0.10029780119657516,0.09726468473672867,0.09803572297096252,0.09227687865495682,0.10003852099180222,0.12421438843011856,0.04535393789410591,0.129221111536026,0.03761430084705353,0.15063855051994324,0.1472494900226593,0.10838162899017334,0.15085545182228088,0.15140049159526825,0.1522686928510666,0.15202313661575317,0.1043146550655365,0.1068030297756195,0.10644123703241348,0.12215718626976013,0.21991021931171417,0.12894617021083832,0.08582866191864014,0.08982200175523758,0.1265796720981598,0.09666340053081512,0.09421098232269287,0.10572486370801926,0.0896906778216362,0.1522010713815689,-0.010322904214262962,-0.000638895551674068,-0.0033912232611328363,0.010875200852751732,0.10157017409801483,0.07087810337543488,0.22528135776519775,0.1446497142314911,0.11995425820350647,0.01564854569733143,0.01894880086183548,0.048726968467235565,0.056243132799863815,0.022543299943208694,0.020887522026896477,0.023182060569524765,0.024383410811424255,0.0224559735506773,0.02054389752447605,0.022043388336896896,0.06844740360975266,0.07243421673774719,0.13207277655601501,0.10060185194015503,0.09816067665815353,0.09817509353160858,0.10073122382164001,0.09786336869001389,0.09749257564544678,0.09584683179855347,0.09973400086164474,0.10039258748292923,0.0979517251253128,0.09873653948307037,0.09370416402816772,0.10047093778848648,0.12593139708042145,0.1291918009519577,0.03601737320423126,0.15071900188922882,0.15108676254749298,0.15090380609035492,0.1522320806980133,0.15153999626636505,0.10486780107021332,0.10751523077487946,0.10619030892848969,0.12916459143161774,0.08514533191919327,0.09002865850925446,0.12497036159038544,0.09659765660762787,0.09405684471130371,0.10394265502691269,0.09020260721445084,0.1521715521812439
lapgyn4_instrument_count,0.0013289757771417499,0.012836659327149391,0.0,0.015607843175530434,0.052705347537994385,-0.0035234170500189066,0.10010284185409546,0.08171436935663223,0.05032014474272728,0.21040211617946625,0.014336100779473782,0.019254693761467934,0.1395338624715805,0.1299605518579483,0.11980393528938293,0.1308976709842682,0.024648385122418404,0.027703512459993362,0.05946953594684601,0.07171061635017395,0.025240719318389893,0.026417115703225136,0.025757063180208206,0.025180568918585777,0.02552122063934803,0.025687027722597122,0.025595201179385185,0.03859325498342514,0.08056248724460602,0.07664838433265686,0.07270313054323196,0.09609845280647278,0.14484518766403198,0.11288392543792725,0.11251718550920486,0.11476631462574005,0.11267691850662231,0.11469337344169617,0.11134898662567139,0.11193535476922989,0.1146228164434433,0.1152847483754158,0.11193958669900894,0.1113661527633667,0.106112040579319,0.11557532846927643,0.1356058418750763,0.05357792228460312,0.14127714931964874,0.046641092747449875,0.14370855689048767,0.1643187403678894,0.11988367140293121,0.14391377568244934,0.14440974593162537,0.14526014029979706,0.14500746130943298,0.10560610145330429,0.1102907806634903,0.11014071106910706,0.1391337811946869,0.2092876136302948,0.13300848007202148,0.09206825494766235,0.0899936631321907,0.13302384316921234,0.09772767126560211,0.09790746867656708,0.10705633461475372,0.10038276761770248,0.14532305300235748,0.00028924719663336873,0.010632479563355446,0.0014376745093613863,0.017914364114403725,0.09898535907268524,0.08084610104560852,0.21247144043445587,0.1414806842803955,0.11855924874544144,0.02334182895720005,0.025933368131518364,0.06081186980009079,0.07095658779144287,0.02626362070441246,0.024532828480005264,0.027053896337747574,0.02783684991300106,0.026117872446775436,0.024208877235651016,0.025381188839673996,0.08342092484235764,0.07438696920871735,0.1431879848241806,0.11462561041116714,0.11296054720878601,0.11337310075759888,0.11462902277708054,0.11295051872730255,0.11128619313240051,0.10942177474498749,0.11486314982175827,0.1157468929886818,0.11273150146007538,0.1119840145111084,0.1078721433877945,0.11599864810705185,0.13760006427764893,0.14130795001983643,0.04520641639828682,0.14387904107570648,0.14406752586364746,0.14401990175247192,0.14526790380477905,0.14455720782279968,0.10625164210796356,0.11086680740118027,0.10996410250663757,0.1330423206090927,0.09125525504350662,0.09025778621435165,0.13142235577106476,0.09754838794469833,0.09753428399562836,0.10511113703250885,0.10089905560016632,0.14553940296173096
lapgyn4_anatomical_actions,0.003056298242881894,0.006333386059850454,-0.004356342367827892,0.0,0.06736761331558228,0.003181157633662224,0.10608135908842087,0.09383907169103622,0.052674438804388046,0.21646401286125183,0.01653473824262619,0.021793466061353683,0.14409863948822021,0.13534264266490936,0.12296968698501587,0.13383513689041138,0.03800487145781517,0.04045437276363373,0.06884574890136719,0.08014677464962006,0.03113047033548355,0.03247254341840744,0.0315699577331543,0.031071871519088745,0.03134904429316521,0.031577643007040024,0.0314389169216156,0.046500734984874725,0.08351591974496841,0.08100734651088715,0.08538267016410828,0.10998259484767914,0.15412071347236633,0.11699850857257843,0.11608047783374786,0.11741549521684647,0.11716921627521515,0.11732950806617737,0.1154777854681015,0.11646920442581177,0.11750873923301697,0.11806092411279678,0.11509370058774948,0.11586824804544449,0.1091466024518013,0.11759938299655914,0.14077749848365784,0.06489945948123932,0.14636747539043427,0.05652060732245445,0.1715804636478424,0.16647817194461823,0.1296052485704422,0.1717970073223114,0.17239238321781158,0.1732204705476761,0.1730264276266098,0.11927333474159241,0.12537899613380432,0.12541554868221283,0.13341987133026123,0.23993438482284546,0.14331530034542084,0.10071921348571777,0.09987693279981613,0.14120782911777496,0.10687164962291718,0.10476982593536377,0.1180916428565979,0.10866077244281769,0.17459122836589813,0.0019900796469300985,0.004191186279058456,-0.003137884195894003,0.0019167095888406038,0.10495758801698685,0.09288816154003143,0.21867021918296814,0.14630413055419922,0.12168709933757782,0.03653053194284439,0.038612350821495056,0.07016810774803162,0.07941734790802002,0.032536644488573074,0.03040504828095436,0.03302714601159096,0.034110404551029205,0.031516965478658676,0.03003072924911976,0.03151809424161911,0.08613663166761398,0.08712033927440643,0.152671217918396,0.11834585666656494,0.11641274392604828,0.11611436307430267,0.1190081238746643,0.11555104702711105,0.11534709483385086,0.11399074643850327,0.11771077662706375,0.11808259040117264,0.11583805829286575,0.116736501455307,0.11059942841529846,0.11809993535280228,0.14273735880851746,0.14637278020381927,0.05522124841809273,0.17159776389598846,0.1721215695142746,0.171843022108078,0.17320045828819275,0.17256514728069305,0.11994312703609467,0.1260315179824829,0.12501788139343262,0.14346185326576233,0.09980979561805725,0.09993945062160492,0.1395915299654007,0.10693629086017609,0.1046242043375969,0.11622247844934464,0.10918498784303665,0.17478886246681213
sklin2_skin_lesions,0.13258853554725647,0.18121378123760223,0.15801769495010376,0.19902364909648895,0.0,0.028242213651537895,0.12981419265270233,0.16296614706516266,0.0972258672118187,0.33099427819252014,0.07045137882232666,0.07686103880405426,0.2512636184692383,0.23878134787082672,0.2008763700723648,0.20133620500564575,0.09098877012729645,0.09748702496290207,0.1474035531282425,0.17340901494026184,0.1544940173625946,0.15592028200626373,0.15572449564933777,0.15467676520347595,0.15536636114120483,0.15547704696655273,0.15529780089855194,0.011576967313885689,0.16556888818740845,0.08207085728645325,0.09861234575510025,0.04122813045978546,0.16762056946754456,0.17899824678897858,0.1783055067062378,0.18060803413391113,0.17829713225364685,0.18012461066246033,0.17686942219734192,0.17661051452159882,0.18081629276275635,0.18410281836986542,0.1771482229232788,0.17327556014060974,0.17285355925559998,0.18156132102012634,0.222997784614563,0.011909660883247852,0.23080280423164368,0.005849949549883604,0.11415588855743408,0.26166290044784546,0.18115924298763275,0.11490748822689056,0.11504465341567993,0.11555472761392593,0.1156865730881691,0.14818619191646576,0.14263270795345306,0.1426159143447876,0.12665517628192902,0.17755749821662903,0.20945093035697937,0.1641676425933838,0.1602339893579483,0.22271773219108582,0.17911577224731445,0.17325662076473236,0.17545029520988464,0.12861381471157074,0.11085233837366104,0.13006791472434998,0.1791435331106186,0.1628129929304123,0.20325542986392975,0.1280723214149475,0.16148293018341064,0.33487269282341003,0.25424298644065857,0.19993571937084198,0.08997473120689392,0.09471442550420761,0.14857229590415955,0.17370295524597168,0.15436336398124695,0.1540612131357193,0.15819160640239716,0.15773746371269226,0.1582203507423401,0.1534687578678131,0.15268690884113312,0.17117580771446228,0.10078029334545135,0.16628149151802063,0.18164464831352234,0.1803484559059143,0.1791452318429947,0.18153521418571472,0.1762499064207077,0.17625950276851654,0.1729261428117752,0.1809196025133133,0.18468695878982544,0.177898108959198,0.1744372695684433,0.1762755811214447,0.18297715485095978,0.2258044183254242,0.23063330352306366,0.005741124041378498,0.11444223672151566,0.11448659747838974,0.11539636552333832,0.11541058868169785,0.11499607563018799,0.1490040123462677,0.14270080626010895,0.14271089434623718,0.2089470475912094,0.16320739686489105,0.16210278868675232,0.2210046947002411,0.17840352654457092,0.17153359949588776,0.17226549983024597,0.12882456183433533,0.11116281151771545
identify_nbi_infframes,0.1636703908443451,0.2093808501958847,0.19673871994018555,0.2359551191329956,0.1447131335735321,0.0,0.12244691699743271,0.23210671544075012,0.14520198106765747,0.2967038154602051,0.12004902958869934,0.12845191359519958,0.27196934819221497,0.2550361454486847,0.2106117606163025,0.2067241221666336,0.1475791484117508,0.15590175986289978,0.2044907510280609,0.21832549571990967,0.20190763473510742,0.20345661044120789,0.20301681756973267,0.20178121328353882,0.2027091681957245,0.20291626453399658,0.20344236493110657,0.11322971433401108,0.2026812732219696,0.13035517930984497,0.13882902264595032,0.14794449508190155,0.2410513162612915,0.22658708691596985,0.2182350754737854,0.21848993003368378,0.22678767144680023,0.21627745032310486,0.22377529740333557,0.22421002388000488,0.2168777585029602,0.22457487881183624,0.21749868988990784,0.22373752295970917,0.21367725729942322,0.21673734486103058,0.26128482818603516,0.1268111914396286,0.2716485857963562,0.08789857476949692,0.234146386384964,0.3287957012653351,0.24856504797935486,0.2337997406721115,0.23499932885169983,0.23582755029201508,0.23571428656578064,0.2788934111595154,0.27456051111221313,0.27353984117507935,0.14613407850265503,0.3011268973350525,0.262777715921402,0.21327774226665497,0.20394770801067352,0.27650579810142517,0.22635318338871002,0.22064059972763062,0.23122355341911316,0.18764382600784302,0.2512989044189453,0.16109618544578552,0.20311078429222107,0.19987991452217102,0.24177232384681702,0.12051864713430405,0.23046046495437622,0.3011387586593628,0.27430233359336853,0.20915378630161285,0.14524953067302704,0.15272554755210876,0.20649519562721252,0.21780458092689514,0.2020380198955536,0.20025081932544708,0.20574946701526642,0.20647090673446655,0.20556901395320892,0.2013758420944214,0.20043736696243286,0.20782461762428284,0.1415906548500061,0.23858852684497833,0.22750741243362427,0.22045181691646576,0.21802911162376404,0.2315744012594223,0.2117336392402649,0.22199282050132751,0.2199196219444275,0.21741950511932373,0.22451570630073547,0.21770402789115906,0.22643549740314484,0.21692730486392975,0.2187514305114746,0.26439112424850464,0.2711440920829773,0.08731250464916229,0.23410740494728088,0.23467835783958435,0.23397400975227356,0.23562301695346832,0.2352977693080902,0.2806299924850464,0.27468743920326233,0.2734721601009369,0.2625844180583954,0.21327733993530273,0.20643830299377441,0.27376821637153625,0.22614888846874237,0.21809670329093933,0.22787818312644958,0.1882457584142685,0.25135159492492676
laryngeal_tissues,0.34837648272514343,0.40968647599220276,0.38496309518814087,0.4314582347869873,0.2502095699310303,0.10715623944997787,0.0,0.42310672998428345,0.23332808911800385,0.11099064350128174,0.19639232754707336,0.21784663200378418,0.20530377328395844,0.17417462170124054,0.17609764635562897,0.16732347011566162,0.3336724042892456,0.3386766314506531,0.4003220200538635,0.4323699474334717,0.4133700728416443,0.41590845584869385,0.4149438142776489,0.4134436845779419,0.4142428934574127,0.41510283946990967,0.41515326499938965,0.20095622539520264,0.39380520582199097,0.27844351530075073,0.22416239976882935,0.23212631046772003,0.3736579418182373,0.42348217964172363,0.41677501797676086,0.41398629546165466,0.42627716064453125,0.41100990772247314,0.42183637619018555,0.4236275553703308,0.4115494191646576,0.422061949968338,0.412842333316803,0.4241247773170471,0.4056732654571533,0.41013240814208984,0.4441383481025696,0.2386048585176468,0.4583253860473633,0.15161100029945374,0.3799089193344116,0.548942506313324,0.4508599638938904,0.37987303733825684,0.38101333379745483,0.3818998634815216,0.3820353150367737,0.44342541694641113,0.43739137053489685,0.4374527931213379,0.26378440856933594,0.4656868278980255,0.40370166301727295,0.39114272594451904,0.36740121245384216,0.4527469873428345,0.38558799028396606,0.3744271397590637,0.37750932574272156,0.3130238354206085,0.41799625754356384,0.3449496030807495,0.4166637063026428,0.39028400182724,0.4378211498260498,-0.0002546609321143478,0.42068934440612793,0.11476720869541168,0.2045244574546814,0.17416536808013916,0.3313344419002533,0.33484575152397156,0.40314531326293945,0.4321609139442444,0.4135250449180603,0.4119340777397156,0.4191969037055969,0.4197804927825928,0.4180653989315033,0.41146478056907654,0.4103810787200928,0.40240126848220825,0.22650229930877686,0.37100452184677124,0.4258403480052948,0.41947445273399353,0.41239067912101746,0.43224409222602844,0.4047144651412964,0.41967856884002686,0.4180833697319031,0.4132492244243622,0.4213109612464905,0.4127558171749115,0.4280857741832733,0.4103771448135376,0.41402772068977356,0.4490009546279907,0.4567985534667969,0.1516444832086563,0.3801850378513336,0.3806297481060028,0.3796961307525635,0.3816606402397156,0.38155168294906616,0.44579416513442993,0.43717294931411743,0.43830424547195435,0.40305808186531067,0.39113935828208923,0.37019526958465576,0.44992291927337646,0.38492798805236816,0.3713622987270355,0.3746306002140045,0.3139294683933258,0.41883042454719543
nerthus_bowel_cleansing_quality,0.042858514934778214,0.07230423390865326,0.061551887542009354,0.0973016545176506,0.03497416153550148,-0.0018059789435938,0.0840187817811966,0.0,0.06037537381052971,0.1860373318195343,0.008670194074511528,0.012496071867644787,0.12529423832893372,0.11305734515190125,0.096739761531353,0.10380705446004868,0.0001779530430212617,-0.0012098344741389155,-0.0005753209115937352,0.03166710212826729,0.04878733679652214,0.04938105121254921,0.04924825578927994,0.048805322498083115,0.049325693398714066,0.049238234758377075,0.04945414513349533,0.0240495502948761,0.04175439476966858,0.06379082798957825,0.054710015654563904,0.08811289072036743,0.09901928901672363,0.1020842045545578,0.09706563502550125,0.09855165332555771,0.10026297718286514,0.09765952080488205,0.09908460825681686,0.09829536080360413,0.0985325425863266,0.1023433580994606,0.09651325643062592,0.09747668355703354,0.09524749964475632,0.09928571432828903,0.13606446981430054,0.033963389694690704,0.14134667813777924,0.03382980078458786,0.09623149782419205,0.16787762939929962,0.07909869402647018,0.09617480635643005,0.09668445587158203,0.09758257120847702,0.0971565693616867,0.04935193434357643,0.048184409737586975,0.04689466208219528,0.10166047513484955,0.15769007802009583,0.11857091635465622,0.06784989684820175,0.06253873556852341,0.11933154612779617,0.08230574429035187,0.07435716688632965,0.0814673975110054,0.1124349981546402,0.09178180247545242,0.041289493441581726,0.07565883547067642,0.0635828897356987,0.09974100440740585,0.0830242931842804,-0.0004961249651387334,0.1875351071357727,0.12663903832435608,0.09604208916425705,-0.0010400975588709116,-0.0009707536082714796,0.00019834446720778942,0.031157808378338814,0.048585444688797,0.048497021198272705,0.05099939554929733,0.051118478178977966,0.05092465877532959,0.04823361709713936,0.04777868464589119,0.044496700167655945,0.05643068999052048,0.09718427807092667,0.10418790578842163,0.09822047501802444,0.09743089973926544,0.10270723700523376,0.09547954052686691,0.09873105585575104,0.09595843404531479,0.09874122589826584,0.10318077355623245,0.09751294553279877,0.09819243848323822,0.09701113402843475,0.10019896179437637,0.13776493072509766,0.14136044681072235,0.032352034002542496,0.09659310430288315,0.09615049511194229,0.09615254402160645,0.09757234156131744,0.0966048389673233,0.04980666562914848,0.04876793548464775,0.04626648873090744,0.11844045668840408,0.06675821542739868,0.06343448907136917,0.11778325587511063,0.08170493692159653,0.07337771356105804,0.07889419049024582,0.11289279162883759,0.09145233035087585
stanford_dogs_image_categorization,0.1903517097234726,0.22726711630821228,0.20849721133708954,0.24323400855064392,0.151490718126297,0.06677374243736267,0.09267766773700714,0.23966655135154724,0.0,0.18518462777137756,0.046150632202625275,0.059119775891304016,0.12843163311481476,0.12758572399616241,0.13103294372558594,0.14326900243759155,0.17760345339775085,0.18255004286766052,0.21537086367607117,0.23854124546051025,0.22814062237739563,0.2299133837223053,0.22923246026039124,0.2280600368976593,0.22880567610263824,0.2292802780866623,0.2291458249092102,0.13626985251903534,0.22714142501354218,0.14147180318832397,0.12975247204303741,0.22209541499614716,0.22886429727077484,0.25071388483047485,0.24500557780265808,0.243559330701828,0.2514495253562927,0.24254319071769714,0.24893568456172943,0.24922272562980652,0.24196836352348328,0.24797670543193817,0.24294595420360565,0.25047725439071655,0.23426596820354462,0.2417130172252655,0.26608437299728394,0.15499995648860931,0.27589407563209534,0.13039761781692505,0.2530099153518677,0.33537694811820984,0.21681779623031616,0.25313833355903625,0.2538527548313141,0.25451382994651794,0.2543318271636963,0.23949848115444183,0.23173528909683228,0.23136286437511444,0.15811917185783386,0.30402088165283203,0.23586392402648926,0.2132549285888672,0.19912776350975037,0.26468896865844727,0.20648157596588135,0.20254282653331757,0.21086075901985168,0.19220396876335144,0.2584007978439331,0.18691326677799225,0.23124369978904724,0.21217766404151917,0.24753737449645996,0.09167949855327606,0.2383912056684494,0.1876177340745926,0.13048143684864044,0.13013622164726257,0.17527347803115845,0.18005895614624023,0.21702443063259125,0.23811762034893036,0.22856107354164124,0.227938711643219,0.23298251628875732,0.23258771002292633,0.23141410946846008,0.22721463441848755,0.2261045277118683,0.2320348620414734,0.1314821094274521,0.22746112942695618,0.2521885633468628,0.2461811602115631,0.24299420416355133,0.25598952174186707,0.23809538781642914,0.2481619417667389,0.2450488656759262,0.24297623336315155,0.24727843701839447,0.24318832159042358,0.2530181407928467,0.23651175200939178,0.24399931728839874,0.2691972851753235,0.2752021551132202,0.13002102077007294,0.25321242213249207,0.25350290536880493,0.2529275417327881,0.2543830871582031,0.2540472447872162,0.24047750234603882,0.2325904369354248,0.23115147650241852,0.235347181558609,0.21222741901874542,0.20030701160430908,0.262502521276474,0.20585590600967407,0.2006724774837494,0.20797376334667206,0.19225755333900452,0.258956640958786
svhn,0.32293349504470825,0.36433640122413635,0.3398936688899994,0.3857443630695343,0.21642160415649414,0.09578031301498413,0.038445454090833664,0.3285447657108307,0.18387942016124725,0.0,0.13674147427082062,0.14374080300331116,0.09810362011194229,0.07627155631780624,0.07118857651948929,0.0668373554944992,0.27872610092163086,0.2780138850212097,0.31396567821502686,0.3351932466030121,0.33984896540641785,0.34189677238464355,0.34106555581092834,0.3399258852005005,0.3410024344921112,0.34147560596466064,0.3414916396141052,0.18375319242477417,0.29381242394447327,0.2269591987133026,0.1688351333141327,0.26215243339538574,0.30508410930633545,0.3580363988876343,0.3548037111759186,0.3541097342967987,0.3609400987625122,0.3525948226451874,0.35752981901168823,0.3588811159133911,0.35042425990104675,0.357869952917099,0.3512357175350189,0.35840415954589844,0.34060564637184143,0.35111337900161743,0.35453274846076965,0.20987088978290558,0.3650842010974884,0.16228583455085754,0.3057495057582855,0.47365331649780273,0.3105749189853668,0.30567091703414917,0.3065853416919708,0.30753210186958313,0.30734995007514954,0.3298259675502777,0.32319942116737366,0.32385504245758057,0.24985837936401367,0.3662586212158203,0.278703898191452,0.29532283544540405,0.2586909830570221,0.3232673406600952,0.26339656114578247,0.2446828931570053,0.2587098777294159,0.2928445637226105,0.3342309296131134,0.32030805945396423,0.36568814516067505,0.3446725904941559,0.39027300477027893,0.03871190920472145,0.32654446363449097,0.0013930877903476357,0.09592781960964203,0.07031018286943436,0.2767663598060608,0.2750704884529114,0.31536510586738586,0.3359035849571228,0.33989906311035156,0.33872345089912415,0.3456120491027832,0.34456706047058105,0.3437386751174927,0.33923473954200745,0.3363379240036011,0.3012578785419464,0.17121261358261108,0.3027627468109131,0.3607855439186096,0.35690805315971375,0.35140904784202576,0.3652866780757904,0.3465223014354706,0.35529908537864685,0.35434237122535706,0.3524858057498932,0.35750845074653625,0.3526250720024109,0.3619341552257538,0.3442339301109314,0.3541334569454193,0.3582201302051544,0.36338263750076294,0.16238521039485931,0.30597102642059326,0.30636757612228394,0.3052811026573181,0.30718955397605896,0.3071298599243164,0.33111846446990967,0.32337886095046997,0.3238399624824524,0.2782467305660248,0.2948698103427887,0.25994250178337097,0.32120200991630554,0.26289185881614685,0.24226003885269165,0.257179319858551,0.2932901084423065,0.3349483609199524
