,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.02962556481361389,0.02291824296116829,0.03920748457312584,0.026897026225924492,-0.01703977957367897,0.01948653534054756,0.06695333123207092,0.03629292920231819,0.051430150866508484,0.021696045994758606,0.028783705085515976,0.06692175567150116,0.049123406410217285,0.052571479231119156,0.0543069988489151,0.01843062974512577,0.02384262904524803,0.04922252893447876,0.0659853145480156,0.04273965209722519,0.043665811419487,0.04332476854324341,0.042646750807762146,0.04302208125591278,0.04309738054871559,0.04308386147022247,0.015261007472872734,0.06664030998945236,0.041691552847623825,0.031166553497314453,0.015351757407188416,0.07753847539424896,0.08120238780975342,0.07966330647468567,0.07977987825870514,0.08106419444084167,0.0791148915886879,0.08044598996639252,0.08081581443548203,0.0791848748922348,0.08128763735294342,0.07916305959224701,0.08028130233287811,0.07503027468919754,0.07923044264316559,0.08492705971002579,0.020660463720560074,0.08965115994215012,0.003968117292970419,0.06770652532577515,0.11072792112827301,0.09261713176965714,0.06779685616493225,0.06826639175415039,0.0686313807964325,0.06849582493305206,0.07103181630373001,0.07166699320077896,0.07084345817565918,0.04196448251605034,0.10471132397651672,0.09505932033061981,0.07887192070484161,0.06832702457904816,0.09955713897943497,0.07776777446269989,0.07832155376672745,0.08402196317911148,0.047361984848976135,0.0759192630648613,,0.028036486357450485,0.02388964593410492,0.04123235493898392,0.019750557839870453,0.06627000868320465,0.052494585514068604,0.06684570014476776,0.05158994719386101,0.01709696277976036,0.02278236672282219,0.05029139667749405,0.0652676373720169,0.043601199984550476,0.04186807572841644,0.044267766177654266,0.04506060481071472,0.04399329796433449,0.041806407272815704,0.04292196035385132,0.0692174881696701,0.03212641924619675,0.07691928744316101,0.08169053494930267,0.08056538552045822,0.07933937013149261,0.08299662172794342,0.07733798027038574,0.08011237531900406,0.07862109690904617,0.07937400043010712,0.08119148761034012,0.07874643802642822,0.08131252229213715,0.07681258767843246,0.07999221980571747,0.08655194938182831,0.08904950320720673,0.0033635455183684826,0.06779010593891144,0.06786416471004486,0.06835177540779114,0.06850989162921906,0.06795632839202881,0.07123483717441559,0.07215029746294022,0.07018717378377914,0.09462790191173553,0.07880622148513794,0.06915013492107391,0.09832187741994858,0.0775546059012413,0.07764073461294174,0.08254116773605347,0.04779886454343796,0.07633199542760849
lapgyn4_surgical_actions,-0.01228388212621212,0.0,-0.005069079343229532,0.0037824383471161127,0.017931099981069565,-0.027795884758234024,0.012744569219648838,0.04670926183462143,0.01834648847579956,0.03552606329321861,0.0013454912696033716,0.006368743255734444,0.04489273577928543,0.030023448169231415,0.03575816750526428,0.038881827145814896,0.004962585866451263,0.010412333533167839,0.03081243485212326,0.04420948773622513,0.01720428839325905,0.01807425171136856,0.017623189836740494,0.01709567755460739,0.0174321997910738,0.017559312283992767,0.017527734860777855,0.0020221974700689316,0.040423858910799026,0.027593612670898438,0.024567820131778717,0.011264159344136715,0.06105322390794754,0.05897137522697449,0.056876301765441895,0.056526683270931244,0.058985576033592224,0.05587300658226013,0.05812419578433037,0.058595702052116394,0.0562952421605587,0.05820561945438385,0.0562390573322773,0.058147162199020386,0.05291294306516647,0.055814459919929504,0.06482243537902832,0.009416751563549042,0.06890474259853363,-0.00203013070859015,0.059199653565883636,0.0858430489897728,0.06743624806404114,0.05926837772130966,0.05967181175947189,0.05996430665254593,0.05984831228852272,0.04803656041622162,0.05111834406852722,0.05069880560040474,0.02345869690179825,0.09312533587217331,0.06628494709730148,0.05424388870596886,0.04536234214901924,0.071747325360775,0.05011481046676636,0.05165795236825943,0.05685586482286453,0.031008072197437286,0.06397292017936707,-0.01303124986588955,,-0.004270349629223347,0.0054950532503426075,0.012999392114579678,0.04608621448278427,0.03639186546206474,0.04492725059390068,0.034800950437784195,0.0038569450844079256,0.009262618608772755,0.03179890662431717,0.043682366609573364,0.018038202077150345,0.01646466925740242,0.018537670373916626,0.01924741268157959,0.017844168469309807,0.016372159123420715,0.017355497926473618,0.042427659034729004,0.02543334662914276,0.0605037584900856,0.05929344892501831,0.057538121938705444,0.05604669079184532,0.060660891234874725,0.05434977263212204,0.0578373558819294,0.05674920976161957,0.05638556554913521,0.057903096079826355,0.05598989874124527,0.05916299298405647,0.05428488552570343,0.056494906544685364,0.06617671251296997,0.06847524642944336,-0.002729112980887294,0.05925914645195007,0.05930059775710106,0.05976077914237976,0.05990330129861832,0.05942763388156891,0.048247773200273514,0.05149694159626961,0.04999985173344612,0.06591273844242096,0.05401621758937836,0.04579313099384308,0.07070603221654892,0.050110120326280594,0.0511913038790226,0.055698126554489136,0.031404897570610046,0.06427598744630814
lapgyn4_instrument_count,-0.0028980961069464684,0.011012724600732327,0.0,0.01074622105807066,0.022364187985658646,-0.022510331124067307,0.014966078102588654,0.05543407425284386,0.024049554020166397,0.03774695843458176,0.007635609712451696,0.012834175489842892,0.05012387037277222,0.035039469599723816,0.03903909772634506,0.041927848011255264,0.012159280478954315,0.017535943537950516,0.04092761501669884,0.05675019323825836,0.021887606009840965,0.022789059206843376,0.022325780242681503,0.021757496520876884,0.022168610244989395,0.022274956107139587,0.02222324162721634,0.008928027004003525,0.05316734313964844,0.04025278985500336,0.02752998098731041,0.014621984213590622,0.06919216364622116,0.07038187235593796,0.06891581416130066,0.06897806376218796,0.07035022974014282,0.06833133101463318,0.06963248550891876,0.07006517797708511,0.06862901896238327,0.0704558789730072,0.06832034885883331,0.06934340298175812,0.06450091302394867,0.06842949241399765,0.07467631995677948,0.016516640782356262,0.07929813861846924,0.005134573206305504,0.05973202362656593,0.09825334697961807,0.07802122831344604,0.05976506695151329,0.06018834933638573,0.06049638241529465,0.06035192310810089,0.05339878797531128,0.0578375905752182,0.057528626173734665,0.03459867835044861,0.09289185702800751,0.07277204096317291,0.06164279580116272,0.049308545887470245,0.07997191697359085,0.05513245612382889,0.05824664235115051,0.06219129636883736,0.03953417390584946,0.06598708778619766,-0.003683090675622225,0.007895370945334435,,0.01274406909942627,0.015208952128887177,0.05485609546303749,0.03869466111063957,0.05002755671739578,0.03797975182533264,0.0110637117177248,0.016328278928995132,0.041986919939517975,0.05613383650779724,0.022771310061216354,0.021107587963342667,0.023364264518022537,0.023778609931468964,0.022551748901605606,0.021021297201514244,0.02183833159506321,0.055427540093660355,0.028401149436831474,0.0686490535736084,0.07094253599643707,0.069658063352108,0.06840945780277252,0.07216303050518036,0.06665366142988205,0.06935963779687881,0.06809180974960327,0.06872188299894333,0.07039153575897217,0.06809282302856445,0.07027457654476166,0.0661030113697052,0.06911084055900574,0.07624585926532745,0.07889857888221741,0.004491141065955162,0.05981037765741348,0.05981872230768204,0.060274094343185425,0.06043066829442978,0.059923574328422546,0.05372054874897003,0.05810882896184921,0.05690529942512512,0.07232807576656342,0.061370812356472015,0.04979906976222992,0.07890946418046951,0.05503952503204346,0.057652056217193604,0.06092432886362076,0.03994081914424896,0.06644849479198456
lapgyn4_anatomical_actions,-0.0012878081761300564,0.006513932719826698,-0.0027176071889698505,0.0,0.03167539834976196,-0.0187990665435791,0.017433349043130875,0.06371200084686279,0.024874642491340637,0.03975898027420044,0.009015128016471863,0.014418520033359528,0.052738167345523834,0.038230158388614655,0.040027908980846405,0.042831722646951675,0.020993074402213097,0.02649364247918129,0.0472729355096817,0.06293723732233047,0.02643444947898388,0.027442287653684616,0.02681424468755722,0.026290589943528175,0.0266704224050045,0.02682817541062832,0.026745039969682693,0.014040578156709671,0.054876018315553665,0.04379544407129288,0.03580677509307861,0.02189873903989792,0.07507964968681335,0.0732879787683487,0.07145637273788452,0.07077944278717041,0.07359066605567932,0.07008172571659088,0.07256435602903366,0.07334400713443756,0.07055982947349548,0.07232677191495895,0.0705031156539917,0.07263188809156418,0.06665819883346558,0.06969533860683441,0.07775507867336273,0.02286536619067192,0.08233873546123505,0.01094647403806448,0.07305796444416046,0.0990120992064476,0.08420273661613464,0.0731205940246582,0.07353915274143219,0.07378774881362915,0.07370364665985107,0.06250696629285812,0.06784403324127197,0.067635178565979,0.034804150462150574,0.10579599440097809,0.07733149826526642,0.06737712025642395,0.05505170300602913,0.08381970971822739,0.05961757153272629,0.061653077602386475,0.06784503161907196,0.04208016395568848,0.0794820785522461,-0.0020620469003915787,0.0032957475632429123,-0.0017677193973213434,,0.017682082951068878,0.06306180357933044,0.040845174342393875,0.052802350372076035,0.03893325477838516,0.019790614023804665,0.025255832821130753,0.04833361506462097,0.062343332916498184,0.02757519669830799,0.025655772536993027,0.0279555581510067,0.028563493862748146,0.026735054329037666,0.025543227791786194,0.026538245379924774,0.056981779634952545,0.03669695556163788,0.07469719648361206,0.07359197735786438,0.07212969660758972,0.07024731487035751,0.07529565691947937,0.06842494755983353,0.07225798815488815,0.07139214873313904,0.07067438960075378,0.07192452251911163,0.07024672627449036,0.07375888526439667,0.06806236505508423,0.07040652632713318,0.07931820303201675,0.08191189914941788,0.01038648933172226,0.07305820286273956,0.07320334017276764,0.07362490147352219,0.07373344898223877,0.07329034805297852,0.0628531351685524,0.06814748048782349,0.06684558838605881,0.07688456773757935,0.0670507475733757,0.05542672052979469,0.08277697116136551,0.059711258858442307,0.06115875020623207,0.06667055189609528,0.04249647632241249,0.0799509659409523
sklin2_skin_lesions,0.09246791899204254,0.13408026099205017,0.11870480328798294,0.14464157819747925,0.0,0.011605321429669857,0.03276775777339935,0.12152369320392609,0.07006639242172241,0.07567135989665985,0.06119052320718765,0.07011492550373077,0.11063878238201141,0.08962313830852509,0.08652688562870026,0.08229457587003708,0.06736400723457336,0.07650928199291229,0.11074113845825195,0.14006662368774414,0.12585528194904327,0.1270185112953186,0.1268993765115738,0.12590429186820984,0.12657813727855682,0.12652726471424103,0.12657122313976288,0.0069921198301017284,0.12694013118743896,0.05774015933275223,0.0552445650100708,0.006060079671442509,0.10266260802745819,0.13133972883224487,0.1298266351222992,0.12984895706176758,0.13090597093105316,0.1289292871952057,0.13032746315002441,0.13020582497119904,0.12956708669662476,0.13308250904083252,0.12879204750061035,0.12787631154060364,0.12635429203510284,0.12925325334072113,0.14135712385177612,0.00397005258128047,0.1477292776107788,-0.007469210773706436,0.06252171099185944,0.17477017641067505,0.13808676600456238,0.06278452277183533,0.06319674104452133,0.06341329216957092,0.06346366554498672,0.08752024173736572,0.08616906404495239,0.08618105947971344,0.050305262207984924,0.09749849140644073,0.14863431453704834,0.12884023785591125,0.11498916149139404,0.16119171679019928,0.13188394904136658,0.13213130831718445,0.1314573585987091,0.07595622539520264,0.06738817691802979,0.09072206914424896,0.13010744750499725,0.12152913212776184,0.14794841408729553,0.03292197361588478,0.12056094408035278,0.07709266245365143,0.11046455055475235,0.08565360307693481,0.06623180955648422,0.07472400367259979,0.1116560623049736,0.1399175524711609,0.12603020668029785,0.1250065565109253,0.12840838730335236,0.1284952461719513,0.12869048118591309,0.12489175796508789,0.12488441169261932,0.1309570074081421,0.05635535717010498,0.10207455605268478,0.1325962394475937,0.13142961263656616,0.12925522029399872,0.13349848985671997,0.12596991658210754,0.12975932657718658,0.12741340696811676,0.12961678206920624,0.13303732872009277,0.12843772768974304,0.12906819581985474,0.12919765710830688,0.1305476725101471,0.1434871256351471,0.14709198474884033,-0.007370151579380035,0.06264516711235046,0.06269828975200653,0.06342965364456177,0.06316524744033813,0.06290280818939209,0.08781835436820984,0.08609980344772339,0.085678830742836,0.14800319075584412,0.12863701581954956,0.11646385490894318,0.15978673100471497,0.13140857219696045,0.13063831627368927,0.12921418249607086,0.07616575807332993,0.06790564954280853
identify_nbi_infframes,0.13130202889442444,0.17308855056762695,0.1621646285057068,0.1859317123889923,0.10761667788028717,0.0,0.03712107241153717,0.18538318574428558,0.11653275787830353,0.08736852556467056,0.10920824110507965,0.12004712224006653,0.15304464101791382,0.1294407695531845,0.10734821110963821,0.10088558495044708,0.12264023721218109,0.13157880306243896,0.1669468879699707,0.18778757750988007,0.17426718771457672,0.17545810341835022,0.17519333958625793,0.17407989501953125,0.1750086098909378,0.17503313720226288,0.1754767745733261,0.08423351496458054,0.16422149538993835,0.10007739067077637,0.08532925695180893,0.07642342150211334,0.1521327793598175,0.1768118441104889,0.17030717432498932,0.16858454048633575,0.17692789435386658,0.16649682819843292,0.1754484474658966,0.1757398247718811,0.1669502854347229,0.17341509461402893,0.16925935447216034,0.17538705468177795,0.1669987440109253,0.16591453552246094,0.17768777906894684,0.08632074296474457,0.18568459153175354,0.05471564084291458,0.13602101802825928,0.22889113426208496,0.19331181049346924,0.13579991459846497,0.1366090476512909,0.13689866662025452,0.136904776096344,0.17927326261997223,0.1793750822544098,0.17847546935081482,0.07356766611337662,0.16887441277503967,0.1938581019639969,0.17527416348457336,0.15328377485275269,0.21018193662166595,0.1736692488193512,0.17491699755191803,0.1780274510383606,0.12265999615192413,0.15255993604660034,0.12938177585601807,0.16695410013198853,0.16421765089035034,0.1902046650648117,0.03699679672718048,0.1842702031135559,0.08944890648126602,0.1526978462934494,0.10616033524274826,0.12071167677640915,0.12945103645324707,0.16848641633987427,0.18713265657424927,0.17457740008831024,0.17253506183624268,0.17695948481559753,0.1776055097579956,0.1769639253616333,0.17353555560112,0.17323100566864014,0.16804984211921692,0.0867319107055664,0.151214599609375,0.17693164944648743,0.17192767560482025,0.16854403913021088,0.18050555884838104,0.16311515867710114,0.174116849899292,0.17268359661102295,0.16733664274215698,0.17293624579906464,0.16854065656661987,0.17771369218826294,0.16968774795532227,0.1675935536623001,0.18013186752796173,0.18483546376228333,0.054622258991003036,0.1359255611896515,0.13626888394355774,0.13636164367198944,0.13671129941940308,0.1364055871963501,0.1800963580608368,0.17950081825256348,0.1775822639465332,0.1931200921535492,0.1757766753435135,0.1551455557346344,0.20827420055866241,0.17358611524105072,0.1728614866733551,0.1757078766822815,0.12315189838409424,0.15312662720680237
laryngeal_tissues,0.2803141474723816,0.3393518328666687,0.31985703110694885,0.3482506275177002,0.20273569226264954,0.09174656867980957,0.0,0.3404461443424225,0.20131024718284607,0.08535441756248474,0.18900683522224426,0.20978505909442902,0.19559842348098755,0.16820651292800903,0.13090232014656067,0.12166658043861389,0.2702140808105469,0.2809481620788574,0.32391557097435,0.36770594120025635,0.3500106930732727,0.351896733045578,0.35133734345436096,0.34988901019096375,0.3508504331111908,0.3512004613876343,0.3514541983604431,0.16532057523727417,0.3232489824295044,0.2255714237689972,0.16206185519695282,0.1514180600643158,0.25976109504699707,0.3365713357925415,0.33019912242889404,0.325326144695282,0.3385620713233948,0.32203835248947144,0.3360549807548523,0.33754783868789673,0.3227151036262512,0.33205580711364746,0.32668018341064453,0.33775341510772705,0.3225233852863312,0.319927453994751,0.3196485936641693,0.18149933218955994,0.330841600894928,0.11534110456705093,0.2379690706729889,0.39621928334236145,0.35585135221481323,0.2378832995891571,0.23876550793647766,0.23900598287582397,0.23912960290908813,0.3010377287864685,0.3008263111114502,0.30077049136161804,0.16188114881515503,0.2741849422454834,0.3176637887954712,0.3242156505584717,0.28534480929374695,0.3532041311264038,0.3065025806427002,0.3062160313129425,0.30678802728652954,0.22262005507946014,0.2749064564704895,0.2779556214809418,0.3379954695701599,0.3232359290122986,0.35332244634628296,,0.3388228416442871,0.08864440023899078,0.19420048594474792,0.12950605154037476,0.26796430349349976,0.278626024723053,0.325956255197525,0.3669915497303009,0.35046592354774475,0.3479960858821869,0.3540334403514862,0.3547472357749939,0.3535333573818207,0.3482372462749481,0.34803709387779236,0.3297165036201477,0.1634645164012909,0.258930504322052,0.33718711137771606,0.3325023055076599,0.324810266494751,0.3434590995311737,0.3173869550228119,0.33444494009017944,0.3333781361579895,0.32387757301330566,0.33083879947662354,0.3252025842666626,0.34122002124786377,0.32650864124298096,0.3230266571044922,0.3233318328857422,0.3292304575443268,0.11557290703058243,0.23804569244384766,0.2383684515953064,0.2383767068386078,0.23872330784797668,0.23852139711380005,0.3022550642490387,0.3004501461982727,0.30010664463043213,0.31686195731163025,0.3248251676559448,0.28754371404647827,0.35104286670684814,0.30636855959892273,0.3037111759185791,0.3045090436935425,0.2234431803226471,0.2763165831565857
nerthus_bowel_cleansing_quality,0.019900105893611908,0.04697000980377197,0.03814311325550079,0.060628198087215424,0.008842875249683857,-0.023017942905426025,0.007146244868636131,0.0,0.027415603399276733,0.020537400618195534,0.0015004894230514765,0.006235963199287653,0.03806023672223091,0.02163555659353733,0.02686174027621746,0.027432827278971672,-0.006032692734152079,-0.004946666304022074,-0.0015047886408865452,0.02718415856361389,0.0364144966006279,0.03690473735332489,0.03678830713033676,0.03628961741924286,0.036846913397312164,0.03673166036605835,0.036939166486263275,-0.0009964394848793745,0.027779603376984596,0.031197527423501015,0.01607147604227066,0.014451663009822369,0.041994206607341766,0.0641314685344696,0.05966613069176674,0.05966229736804962,0.06308263540267944,0.0584547258913517,0.06240304931998253,0.0619279108941555,0.059196945279836655,0.063055120408535,0.05927984043955803,0.06143558397889137,0.05831378698348999,0.05919549614191055,0.07512711733579636,0.0037913804408162832,0.07966656982898712,-0.003056552028283477,0.03461171314120293,0.10376090556383133,0.04979423061013222,0.034551527351140976,0.03494720160961151,0.03535373881459236,0.03512779623270035,0.018812300637364388,0.0191508661955595,0.018279273062944412,0.021129976958036423,0.06604418158531189,0.06758388131856918,0.045497141778469086,0.03329985588788986,0.07352522015571594,0.047410011291503906,0.044609613716602325,0.04759851098060608,0.046744607388973236,0.036792121827602386,0.01869981549680233,0.04646049439907074,0.03953336179256439,0.06263399869203568,0.007399420253932476,,0.021024715155363083,0.03763387352228165,0.026187215000391006,-0.007150812074542046,-0.004886415787041187,-0.0008242695475928485,0.026692677289247513,0.036396436393260956,0.03576839342713356,0.038040608167648315,0.038215816020965576,0.03799624741077423,0.035760968923568726,0.03560056909918785,0.030028093606233597,0.01709091104567051,0.04117823392152786,0.06504038721323013,0.06079337000846863,0.05920100957155228,0.06527398526668549,0.056518856436014175,0.061931416392326355,0.0599462054669857,0.05925736576318741,0.0632963478565216,0.059266213327646255,0.06237185746431351,0.059989750385284424,0.06016531586647034,0.07652038335800171,0.07924236357212067,-0.0036539342254400253,0.03488874435424805,0.034543029963970184,0.034848399460315704,0.03527845814824104,0.03464891016483307,0.01911216229200363,0.01960807666182518,0.017467666417360306,0.06726724654436111,0.04506344348192215,0.034112002700567245,0.07244585454463959,0.0470508337020874,0.04376140609383583,0.04589215666055679,0.04715149104595184,0.0368703231215477
stanford_dogs_image_categorization,0.1255587637424469,0.15659388899803162,0.14310523867607117,0.16144230961799622,0.09218105673789978,0.03696777671575546,0.027554558590054512,0.16321371495723724,0.0,0.051109522581100464,0.03596354275941849,0.046704262495040894,0.06360546499490738,0.05586571246385574,0.057070642709732056,0.058157749474048615,0.11672255396842957,0.12532345950603485,0.147964745759964,0.17664068937301636,0.16438542306423187,0.16557249426841736,0.1651570200920105,0.16419681906700134,0.1649041324853897,0.16516849398612976,0.16515591740608215,0.07325966656208038,0.15714582800865173,0.09502630680799484,0.06641142070293427,0.07382895052433014,0.11900930106639862,0.16715116798877716,0.1628563404083252,0.16057656705379486,0.16765092313289642,0.1590907871723175,0.1664087474346161,0.16665184497833252,0.15928077697753906,0.16412755846977234,0.1612824946641922,0.16718807816505432,0.15719065070152283,0.158319890499115,0.1617547869682312,0.08178006857633591,0.1686394214630127,0.05957029387354851,0.11745091527700424,0.20121115446090698,0.1499602496623993,0.11749004572629929,0.11805020272731781,0.11813821643590927,0.11815334111452103,0.13620825111865997,0.13516783714294434,0.13498717546463013,0.07172662764787674,0.14047802984714508,0.14619344472885132,0.14899851381778717,0.12300363928079605,0.17075183987617493,0.12936370074748993,0.13242781162261963,0.13410699367523193,0.09881569445133209,0.1308142989873886,0.12359096109867096,0.15311771631240845,0.1453009694814682,0.16470660269260406,0.027570977807044983,0.1623615324497223,0.0523233637213707,0.06391467154026031,0.05626288428902626,0.11507194489240646,0.12393146008253098,0.14906728267669678,0.1761120855808258,0.1650737226009369,0.16357049345970154,0.1673259437084198,0.16748660802841187,0.16646388173103333,0.16362643241882324,0.16299599409103394,0.16074241697788239,0.06736551225185394,0.11888343095779419,0.1676979959011078,0.16398631036281586,0.16045589745044708,0.17060673236846924,0.1563556045293808,0.16611313819885254,0.16393980383872986,0.1598759889602661,0.16341862082481384,0.16066692769527435,0.1689836084842682,0.15902623534202576,0.15992233157157898,0.16392886638641357,0.1678484082221985,0.05969419330358505,0.117343008518219,0.11767327785491943,0.11800113320350647,0.11798533797264099,0.11769522726535797,0.13671374320983887,0.13554146885871887,0.13407376408576965,0.14541468024253845,0.14847201108932495,0.12396711111068726,0.16927872598171234,0.12915128469467163,0.13117715716362,0.1322455108165741,0.09902314841747284,0.13165119290351868
svhn,0.2364731729030609,0.277191698551178,0.25951647758483887,0.2848917841911316,0.1620495617389679,0.07356807589530945,0.020830610767006874,0.2519582211971283,0.14353376626968384,0.0,0.12374981492757797,0.1346101313829422,0.10024475306272507,0.08179724961519241,0.04602181166410446,0.04204261675477028,0.20959889888763428,0.2173539102077484,0.2396658957004547,0.2744901180267334,0.27301549911499023,0.27457195520401,0.2740107476711273,0.27289271354675293,0.27391746640205383,0.27402299642562866,0.27429714798927307,0.13647660613059998,0.2322322428226471,0.17190022766590118,0.11242745816707611,0.14221537113189697,0.1979028284549713,0.2646688222885132,0.2598097622394562,0.2568342089653015,0.26598823070526123,0.254443883895874,0.2643783986568451,0.2651822566986084,0.25413084030151367,0.26104027032852173,0.25726819038391113,0.26484382152557373,0.2518553137779236,0.2528306543827057,0.2465490996837616,0.14559146761894226,0.2550066113471985,0.10661433637142181,0.1819925606250763,0.3160015940666199,0.2415643334388733,0.18181346356868744,0.18253588676452637,0.18285822868347168,0.18282224237918854,0.21947377920150757,0.2188386172056198,0.21911805868148804,0.1336199790239334,0.21201348304748535,0.2149084508419037,0.23663625121116638,0.19595693051815033,0.24949195981025696,0.2059556245803833,0.1983063817024231,0.2070944905281067,0.1824428141117096,0.21033191680908203,0.23490187525749207,0.27400779724121094,0.2621863782405853,0.28852301836013794,0.020950481295585632,0.25064051151275635,,0.09830813109874725,0.045280855149030685,0.2078164666891098,0.21586209535598755,0.24081596732139587,0.2743230164051056,0.2734045684337616,0.2713242173194885,0.2767745554447174,0.27647313475608826,0.2759278118610382,0.27213984727859497,0.27096372842788696,0.237446129322052,0.11379598081111908,0.19722521305084229,0.26547157764434814,0.2615691125392914,0.2557060718536377,0.2697226405143738,0.25045666098594666,0.2630428075790405,0.26187261939048767,0.2552071809768677,0.26028794050216675,0.2567846179008484,0.2677847146987915,0.2549164295196533,0.25517845153808594,0.24935632944107056,0.2535817325115204,0.10690431296825409,0.18201404809951782,0.1822325587272644,0.18210653960704803,0.182575523853302,0.18236464262008667,0.22014275193214417,0.21876512467861176,0.21825355291366577,0.21435698866844177,0.23691695928573608,0.19713523983955383,0.2479633390903473,0.20594745874404907,0.19632397592067719,0.20571385324001312,0.18295958638191223,0.21132904291152954
