,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.03177071362733841,0.02395019680261612,0.05768702179193497,0.06478077918291092,-0.013472474180161953,0.14199329912662506,0.0942251905798912,0.049761757254600525,0.23189608752727509,-0.002496834844350815,0.0009411981445737183,0.12771393358707428,0.11198623478412628,0.1833590418100357,0.20262175798416138,0.017942354083061218,0.021218935027718544,0.05983578786253929,0.06910259276628494,0.04154125601053238,0.043126560747623444,0.04235640913248062,0.04168238490819931,0.04187425598502159,0.04213748872280121,0.042132046073675156,0.042970914393663406,0.09402314573526382,0.07293366640806198,0.09387806802988052,0.11730044335126877,0.193663090467453,0.12858781218528748,0.12877964973449707,0.13335373997688293,0.1277851164340973,0.13394615054130554,0.12619782984256744,0.1264529675245285,0.1339387744665146,0.1333879828453064,0.12917205691337585,0.12606316804885864,0.12057854235172272,0.13617315888404846,0.17113538086414337,0.06557922065258026,0.17675690352916718,0.058462854474782944,0.20762044191360474,0.19900067150592804,0.14058272540569305,0.20842863619327545,0.20862820744514465,0.20984894037246704,0.20954443514347076,0.14283537864685059,0.1398358941078186,0.13871902227401733,0.15517199039459229,0.29717570543289185,0.18409554660320282,0.11223850399255753,0.12886501848697662,0.17468279600143433,0.1388082206249237,0.128941148519516,0.14478757977485657,0.1236189529299736,0.20149019360542297,,0.031859274953603745,0.026168713346123695,0.06044454127550125,0.14099086821079254,0.09281010180711746,0.23229087889194489,0.12990526854991913,0.18195854127407074,0.01614689640700817,0.01912766695022583,0.0615127794444561,0.06833808124065399,0.04230936989188194,0.041102390736341476,0.04419679567217827,0.04584665969014168,0.04394163936376572,0.04060910642147064,0.04169746860861778,0.09796693176031113,0.09620101004838943,0.1915610432624817,0.13096177577972412,0.12911565601825714,0.13168729841709137,0.12970957159996033,0.13203981518745422,0.1264503002166748,0.1236053928732872,0.13382166624069214,0.13423410058021545,0.13036350905895233,0.1265207976102829,0.12208224833011627,0.13664379715919495,0.17324203252792358,0.17673920094966888,0.05641314387321472,0.20799137651920319,0.2081853449344635,0.20858672261238098,0.20979438722133636,0.20894023776054382,0.14269360899925232,0.14088980853557587,0.13863837718963623,0.1844746470451355,0.1109268069267273,0.1294204741716385,0.17254598438739777,0.1384122669696808,0.12886562943458557,0.14219704270362854,0.12418659031391144,0.201084166765213
lapgyn4_surgical_actions,-0.009476837702095509,0.0,-0.00596525939181447,0.016163429245352745,0.056123580783605576,-0.023215973749756813,0.12662795186042786,0.07124383747577667,0.035349953919649124,0.20330539345741272,-0.019121117889881134,-0.017401982098817825,0.10518940538167953,0.09311409294605255,0.15304072201251984,0.17147992551326752,0.009127911180257797,0.011486221104860306,0.04257754236459732,0.04780040681362152,0.015239990316331387,0.016686925664544106,0.015884773805737495,0.0153711112216115,0.015532756224274635,0.015832332894206047,0.015799272805452347,0.027379320934414864,0.0637231171131134,0.057324785739183426,0.08404954522848129,0.11130283772945404,0.16470696032047272,0.10328816622495651,0.10247965157032013,0.10589265078306198,0.10268567502498627,0.10636986792087555,0.10092052817344666,0.10124481469392776,0.1068006157875061,0.10648748278617859,0.10246896743774414,0.10082583874464035,0.09555596858263016,0.10812178999185562,0.1451617032289505,0.053120002150535583,0.14991381764411926,0.05091061443090439,0.18845869600772858,0.16816720366477966,0.10856475681066513,0.18912702798843384,0.18932314217090607,0.1903621107339859,0.19008037447929382,0.10762780904769897,0.1084887832403183,0.10803144425153732,0.12071500718593597,0.26790928840637207,0.14368289709091187,0.0835636556148529,0.09893421083688736,0.13721711933612823,0.10337549448013306,0.0957576334476471,0.11014249920845032,0.10427219420671463,0.1808067113161087,-0.010928490199148655,,-0.004074904136359692,0.018374934792518616,0.125573992729187,0.07000254094600677,0.20363198220729828,0.1072634905576706,0.15172338485717773,0.007715760730206966,0.009296690113842487,0.044033605605363846,0.04730205610394478,0.01601213775575161,0.014851690270006657,0.01759411208331585,0.019114404916763306,0.01683996617794037,0.01442463044077158,0.015303930267691612,0.06684266030788422,0.0861554890871048,0.16281670331954956,0.10523226857185364,0.1025824174284935,0.1042257621884346,0.10433925688266754,0.1046760305762291,0.10107383877038956,0.09886349737644196,0.1066591665148735,0.10695044696331024,0.10373319685459137,0.10129264742136002,0.09659745544195175,0.10856945067644119,0.14685317873954773,0.15008236467838287,0.04888632893562317,0.18870829045772552,0.18890583515167236,0.18922826647758484,0.1903800368309021,0.18965378403663635,0.1075272485613823,0.10932888090610504,0.10776308923959732,0.14402814209461212,0.08221717923879623,0.09890514612197876,0.13538523018360138,0.10327639430761337,0.09585683792829514,0.10814052820205688,0.1048019528388977,0.18038566410541534
lapgyn4_instrument_count,0.0028603235259652138,0.013955915346741676,0.0,0.024389533326029778,0.05999540537595749,-0.017090562731027603,0.127108633518219,0.08304230868816376,0.04028382897377014,0.19849801063537598,-0.015064476057887077,-0.013316186144948006,0.10541548579931259,0.09222995489835739,0.15373489260673523,0.17224135994911194,0.018117908388376236,0.01982918009161949,0.05611914396286011,0.06400682032108307,0.020997807383537292,0.02249148301780224,0.02166929841041565,0.021086063235998154,0.02137899398803711,0.021662302315235138,0.021587755531072617,0.03657616302371025,0.08032297343015671,0.07464034110307693,0.08802071958780289,0.11914514005184174,0.18047505617141724,0.11882597953081131,0.1191500797867775,0.12337733805179596,0.11822246015071869,0.12394741922616959,0.116572305560112,0.11687778681516647,0.12413335591554642,0.12351078540086746,0.11917724460363388,0.11600424349308014,0.11133196949958801,0.12596333026885986,0.159646138548851,0.06308747082948685,0.16502787172794342,0.06306486576795578,0.18520483374595642,0.18742209672927856,0.12234612554311752,0.18587492406368256,0.1860312521457672,0.18707440793514252,0.1867775171995163,0.1122804656624794,0.11508774757385254,0.114881232380867,0.14216485619544983,0.2629719078540802,0.15130528807640076,0.09192950278520584,0.10198985040187836,0.1467793583869934,0.10724355280399323,0.10190476477146149,0.1143714040517807,0.117551289498806,0.17753447592258453,0.001298431190662086,0.011955618858337402,,0.026999346911907196,0.1261054426431656,0.0818597674369812,0.19887109100818634,0.10734588652849197,0.15222033858299255,0.01668890006840229,0.017510972917079926,0.05764174833893776,0.06343244016170502,0.02180810086429119,0.02061966434121132,0.0235609021037817,0.024750463664531708,0.02261878363788128,0.02019714005291462,0.020753949880599976,0.08380038291215897,0.09015217423439026,0.17850638926029205,0.12120337039232254,0.11935983598232269,0.12149778753519058,0.12003196030855179,0.12203183770179749,0.11677257716655731,0.1142999678850174,0.12398264557123184,0.12436914443969727,0.12059997022151947,0.11635120213031769,0.11265432834625244,0.12636122107505798,0.16160643100738525,0.1652577668428421,0.061175309121608734,0.1855301856994629,0.1855873316526413,0.1860368847846985,0.18712715804576874,0.18637706339359283,0.11227372288703918,0.11576392501592636,0.11473561078310013,0.15150538086891174,0.09038984775543213,0.1019943580031395,0.14492429792881012,0.10702940821647644,0.10176414996385574,0.11218421161174774,0.11808076500892639,0.17735283076763153
lapgyn4_anatomical_actions,-0.004343912936747074,-0.0014657003339380026,-0.013670518063008785,0.0,0.06679381430149078,-0.01612112671136856,0.12520988285541534,0.0857694000005722,0.03598901256918907,0.195522278547287,-0.01963672786951065,-0.017786365002393723,0.10144537687301636,0.08903458714485168,0.14911192655563354,0.16724684834480286,0.02308535948395729,0.02381747029721737,0.05672734975814819,0.06308113783597946,0.01668771170079708,0.018325036391615868,0.017281070351600647,0.016791699454188347,0.017003808170557022,0.017342044040560722,0.017216306179761887,0.03655064105987549,0.07413599640130997,0.0718165710568428,0.09432302415370941,0.12485748529434204,0.18111783266067505,0.11440026760101318,0.11428049951791763,0.11770077794790268,0.11414982378482819,0.11827151477336884,0.11218132078647614,0.1128733828663826,0.118715301156044,0.11790866404771805,0.11398396641016006,0.11191614717245102,0.10604947060346603,0.11971971392631531,0.15626630187034607,0.06659539043903351,0.16143915057182312,0.06573773920536041,0.20411309599876404,0.18026480078697205,0.12276549637317657,0.20482534170150757,0.2050258368253708,0.2060249149799347,0.2057960480451584,0.1158887967467308,0.12037233263254166,0.12038200348615646,0.12849219143390656,0.28278547525405884,0.1524549275636673,0.09203426539897919,0.10354726016521454,0.145697683095932,0.10788968205451965,0.10002753883600235,0.11676932871341705,0.11613020300865173,0.19692738354206085,-0.0058937822468578815,-0.0032056833151727915,-0.011519578285515308,,0.12423425167798996,0.08454468101263046,0.19603188335895538,0.10356451570987701,0.14754225313663483,0.021548310294747353,0.021461229771375656,0.058223746716976166,0.0625331848859787,0.017868051305413246,0.01630512997508049,0.019311003386974335,0.02073957957327366,0.017806602641940117,0.0158223956823349,0.016698362305760384,0.07734454423189163,0.09645567089319229,0.17940852046012878,0.11637651175260544,0.11439378559589386,0.11591774225234985,0.11582040041685104,0.11633804440498352,0.11231259256601334,0.11037386208772659,0.11852487921714783,0.11834315955638885,0.11535463482141495,0.11247057467699051,0.10705390572547913,0.12017752975225449,0.15814024209976196,0.16164624691009521,0.06396357715129852,0.20430368185043335,0.2046438306570053,0.20492824912071228,0.206059068441391,0.2053993195295334,0.11585300415754318,0.12110965698957443,0.12000652402639389,0.1527324765920639,0.09040062129497528,0.1033109724521637,0.14386552572250366,0.10791755467653275,0.10013928264379501,0.11470052599906921,0.11667367815971375,0.19669412076473236
sklin2_skin_lesions,0.14580723643302917,0.18870960175991058,0.16441090404987335,0.21802163124084473,0.0,0.02195652946829796,0.18946075439453125,0.17123207449913025,0.09019981324672699,0.33518460392951965,0.03225516155362129,0.03351588547229767,0.2203069031238556,0.20285962522029877,0.2672517001628876,0.27668410539627075,0.08781777322292328,0.09494432806968689,0.14959071576595306,0.17016714811325073,0.15311695635318756,0.15482687950134277,0.1544327586889267,0.15349175035953522,0.15402019023895264,0.15437597036361694,0.15411457419395447,0.003886779537424445,0.16975247859954834,0.08127697557210922,0.127497598528862,0.0772969052195549,0.21557708084583282,0.19017143547534943,0.19074185192584991,0.19597160816192627,0.18871177732944489,0.19652187824249268,0.18689759075641632,0.1861051619052887,0.1977260261774063,0.19895905256271362,0.19031848013401031,0.18210645020008087,0.1838625818490982,0.19975364208221436,0.266098290681839,0.01644706539809704,0.27319860458374023,0.01737934909760952,0.1674220710992813,0.29703372716903687,0.1869743913412094,0.16870912909507751,0.16851378977298737,0.16928310692310333,0.16942986845970154,0.16083835065364838,0.152125746011734,0.152060404419899,0.14166849851608276,0.25186461210250854,0.23825524747371674,0.16608166694641113,0.17990727722644806,0.24552971124649048,0.19488176703453064,0.1818617284297943,0.1877928376197815,0.15850339829921722,0.15219880640506744,0.1430877447128296,0.18667824566364288,0.17042960226535797,0.22236792743206024,0.1875847429037094,0.16943171620368958,0.3363037705421448,0.2233884483575821,0.2659461498260498,0.0869019478559494,0.09138686954975128,0.15096187591552734,0.17083260416984558,0.15265819430351257,0.1533375233411789,0.1576356142759323,0.15759192407131195,0.15751467645168304,0.15241532027721405,0.15070301294326782,0.1761789321899414,0.1307201385498047,0.21374650299549103,0.1937905251979828,0.1925458312034607,0.19370943307876587,0.19161923229694366,0.19253207743167877,0.18664446473121643,0.18236516416072845,0.19711539149284363,0.20024211704730988,0.19210684299468994,0.18275725841522217,0.18674273788928986,0.20106571912765503,0.2687753140926361,0.273465096950531,0.01693488098680973,0.16791042685508728,0.1678369641304016,0.16922901570796967,0.16914376616477966,0.16871047019958496,0.16077101230621338,0.15251292288303375,0.1521638184785843,0.23818165063858032,0.16401183605194092,0.18154312670230865,0.2435838133096695,0.19415079057216644,0.18053430318832397,0.18402065336704254,0.15864884853363037,0.15204180777072906
identify_nbi_infframes,0.20414404571056366,0.24313324689865112,0.23047564923763275,0.28774237632751465,0.1929367333650589,0.0,0.2268010675907135,0.2729351222515106,0.1579153835773468,0.3653852045536041,0.0960656926035881,0.09731674194335938,0.2777637243270874,0.2565784454345703,0.331971675157547,0.3373957574367523,0.17062483727931976,0.17867355048656464,0.23551924526691437,0.2400737702846527,0.22535927593708038,0.22737659513950348,0.22660642862319946,0.2254914790391922,0.2262059450149536,0.22669143974781036,0.2272452712059021,0.14388541877269745,0.23497332632541656,0.1606750637292862,0.21370266377925873,0.24189093708992004,0.3432440459728241,0.2686060965061188,0.26025208830833435,0.2640068829059601,0.2679910957813263,0.2627369463443756,0.2640745937824249,0.2640306353569031,0.2640887200832367,0.2700708210468292,0.2606019973754883,0.26319965720176697,0.2545931041240692,0.2654600739479065,0.3488077223300934,0.17903892695903778,0.3590911626815796,0.14915883541107178,0.3523264527320862,0.4079878628253937,0.2939353883266449,0.3526449501514435,0.35339176654815674,0.3546413779258728,0.35451921820640564,0.33732476830482483,0.32873135805130005,0.3277014493942261,0.19642390310764313,0.450925350189209,0.3282334804534912,0.24340394139289856,0.25635626912117004,0.33619949221611023,0.2731228172779083,0.2575099766254425,0.2759016156196594,0.25949645042419434,0.35386013984680176,0.20117706060409546,0.2363457828760147,0.23507821559906006,0.29412174224853516,0.22417892515659332,0.2706766724586487,0.3676448464393616,0.2808960974216461,0.3299284875392914,0.1682014912366867,0.17429925501346588,0.23784837126731873,0.2400750070810318,0.2251102775335312,0.2244109958410263,0.2304377406835556,0.2317720353603363,0.23010770976543427,0.22541366517543793,0.22325459122657776,0.2412557601928711,0.21800388395786285,0.3398357331752777,0.2706657946109772,0.2624526023864746,0.2626798152923584,0.272661030292511,0.25795742869377136,0.2627035677433014,0.25956422090530396,0.26396819949150085,0.2706756293773651,0.26210877299308777,0.2653760015964508,0.2572389841079712,0.2674741744995117,0.3518548905849457,0.3591459095478058,0.1476755440235138,0.35249900817871094,0.3530021011829376,0.35274365544319153,0.35449063777923584,0.3542647361755371,0.33792993426322937,0.3289566934108734,0.3279271721839905,0.3286278247833252,0.24197272956371307,0.25877800583839417,0.33293503522872925,0.27292102575302124,0.255254328250885,0.27175435423851013,0.2601846158504486,0.3529564440250397
laryngeal_tissues,0.40497490763664246,0.450181782245636,0.42505764961242676,0.49562501907348633,0.3033057749271393,0.11749997735023499,0.0,0.4727306663990021,0.23005379736423492,0.13500277698040009,0.13373462855815887,0.14964479207992554,0.15999361872673035,0.12422111630439758,0.25248679518699646,0.2551383078098297,0.3695833384990692,0.3712497651576996,0.4416854977607727,0.45623698830604553,0.44187456369400024,0.44502735137939453,0.44353941082954407,0.4423637390136719,0.44267165660858154,0.44419392943382263,0.4440637230873108,0.23122362792491913,0.43547362089157104,0.3214852809906006,0.2994071841239929,0.357149600982666,0.5014086365699768,0.48270532488822937,0.4774111211299896,0.479682981967926,0.4847577214241028,0.47833961248397827,0.4789396822452545,0.4800981879234314,0.47997528314590454,0.48744213581085205,0.4746941030025482,0.4802132248878479,0.4642539322376251,0.48089802265167236,0.5672221183776855,0.3112698197364807,0.5804048776626587,0.2203453928232193,0.5531041622161865,0.6653083562850952,0.5156947374343872,0.5542331337928772,0.5545192956924438,0.5560776591300964,0.5562836527824402,0.5197791457176208,0.5074703097343445,0.507786214351654,0.3408364951610565,0.6900097727775574,0.48224249482154846,0.428897887468338,0.439908504486084,0.5269907712936401,0.4432441294193268,0.4139636158943176,0.4262470304965973,0.39747077226638794,0.5691637992858887,0.4010705351829529,0.462764173746109,0.4326353669166565,0.5023946166038513,,0.4695662558078766,0.13828258216381073,0.1606956273317337,0.24949803948402405,0.3676449656486511,0.36591753363609314,0.44492006301879883,0.45701485872268677,0.44147372245788574,0.44172418117523193,0.4494324326515198,0.45062604546546936,0.4478677809238434,0.4404522180557251,0.4379369914531708,0.4459587633609772,0.3029772937297821,0.49718090891838074,0.48730796575546265,0.47986099123954773,0.4765029847621918,0.48990869522094727,0.4719405770301819,0.4774787425994873,0.4744720757007599,0.4808332026004791,0.4877316951751709,0.4768120348453522,0.48334801197052,0.467986136674881,0.48472875356674194,0.571899950504303,0.5797479152679443,0.21914255619049072,0.5538712739944458,0.5538917779922485,0.5539042949676514,0.5559404492378235,0.5559337139129639,0.5203495621681213,0.5075972080230713,0.5094959735870361,0.482401043176651,0.42681002616882324,0.4423984885215759,0.5236425399780273,0.4424285292625427,0.4117389917373657,0.42246708273887634,0.39845818281173706,0.5684381723403931
nerthus_bowel_cleansing_quality,0.0452655628323555,0.0704798623919487,0.05946255475282669,0.10287259519100189,0.0411224290728569,-0.012292195111513138,0.10935526341199875,0.0,0.05097576603293419,0.1644645780324936,-0.021708572283387184,-0.02082875929772854,0.0878397673368454,0.07234089076519012,0.12086955457925797,0.13477256894111633,-0.006858475971966982,-0.009665612131357193,-0.005221796687692404,0.023808181285858154,0.042537689208984375,0.04340346157550812,0.0430850014090538,0.04269348457455635,0.04312461242079735,0.043197762221097946,0.04339289665222168,0.019055038690567017,0.037004273384809494,0.058336615562438965,0.06894669681787491,0.11420480906963348,0.12514545023441315,0.10109921544790268,0.09646815806627274,0.0996493324637413,0.09902680665254593,0.0992722138762474,0.09742868691682816,0.09644479304552078,0.1004302129149437,0.10323844105005264,0.0964333564043045,0.0954604297876358,0.09345506131649017,0.10190676152706146,0.15455739200115204,0.04063289240002632,0.15944451093673706,0.0475209504365921,0.13033214211463928,0.18250368535518646,0.0779346376657486,0.13067041337490082,0.13081014156341553,0.13190017640590668,0.13146169483661652,0.05350681021809578,0.04998921602964401,0.048572227358818054,0.09943125396966934,0.20286491513252258,0.1299210786819458,0.06133665516972542,0.06572956591844559,0.12721626460552216,0.08425619453191757,0.07272796332836151,0.08157869428396225,0.1310429871082306,0.11831752210855484,0.04354714974761009,0.07335672527551651,0.06225525587797165,0.10539185255765915,0.10853634774684906,,0.16414774954319,0.08909255266189575,0.1199774444103241,-0.008104700595140457,-0.009944996796548367,-0.004224108066409826,0.02353052794933319,0.04216929152607918,0.0426318496465683,0.045378703624010086,0.04588301479816437,0.04518608748912811,0.04227552190423012,0.04114238917827606,0.04027672857046127,0.07115422934293747,0.12308362871408463,0.10369469225406647,0.09739144146442413,0.09809477627277374,0.10146615654230118,0.09689144790172577,0.09725978970527649,0.0940331444144249,0.10021800547838211,0.10438746958971024,0.09802410006523132,0.09598003327846527,0.09477304667234421,0.10287002474069595,0.15615734457969666,0.15970608592033386,0.04571929946541786,0.13081754744052887,0.13025252521038055,0.13055753707885742,0.1319165974855423,0.13097018003463745,0.053551238030195236,0.05078420415520668,0.047980062663555145,0.1299854964017868,0.05946677178144455,0.06642238050699234,0.125441774725914,0.08359665423631668,0.07193416357040405,0.07865804433822632,0.13156402111053467,0.11758890002965927
stanford_dogs_image_categorization,0.2346639633178711,0.26516202092170715,0.24594910442829132,0.2938019633293152,0.20057983696460724,0.09340276569128036,0.16434581577777863,0.28059354424476624,0.0,0.2234502136707306,0.029711246490478516,0.039325177669525146,0.12137620896100998,0.11940697580575943,0.20779868960380554,0.23214513063430786,0.20964273810386658,0.2131967544555664,0.2498628795146942,0.2646714746952057,0.25774216651916504,0.2597970962524414,0.2589239776134491,0.2578677237033844,0.25841885805130005,0.25917038321495056,0.2589462995529175,0.17758668959140778,0.2649763226509094,0.17298392951488495,0.1901298612356186,0.30814671516418457,0.3114999830722809,0.2961256504058838,0.29168543219566345,0.2932450771331787,0.2961491346359253,0.29335618019104004,0.2932361364364624,0.29309704899787903,0.2932443916797638,0.2969173192977905,0.29046371579170227,0.2940150797367096,0.2795659899711609,0.29434674978256226,0.34162765741348267,0.21417154371738434,0.3509058952331543,0.2018505334854126,0.35271719098091125,0.40307557582855225,0.2577593922615051,0.35349056124687195,0.3537798523902893,0.35471537709236145,0.35448288917541504,0.2871415615081787,0.27743420004844666,0.2771029472351074,0.20809723436832428,0.42338067293167114,0.29490160942077637,0.24593904614448547,0.24684302508831024,0.3198767304420471,0.24829848110675812,0.23913918435573578,0.2512063682079315,0.2514282763004303,0.3440937101840973,0.23066803812980652,0.2702748775482178,0.25087395310401917,0.29829108715057373,0.16308027505874634,0.2789430320262909,0.2242681235074997,0.12378930300474167,0.20658659934997559,0.20730963349342346,0.21000729501247406,0.2516598403453827,0.2645987868309021,0.2578279376029968,0.2582854628562927,0.263492226600647,0.2634439468383789,0.26165592670440674,0.25714394450187683,0.2551755905151367,0.270556777715683,0.19254770874977112,0.30967652797698975,0.29870402812957764,0.2925010025501251,0.29194533824920654,0.30015626549720764,0.28896862268447876,0.2929505705833435,0.28902381658554077,0.2936028242111206,0.29677918553352356,0.29175880551338196,0.29596614837646484,0.28109145164489746,0.29654911160469055,0.3446017801761627,0.35067182779312134,0.2011050581932068,0.353105753660202,0.3533480167388916,0.3532717525959015,0.3546946346759796,0.35421741008758545,0.2872738242149353,0.278729110956192,0.2769266664981842,0.2947971224784851,0.24359934031963348,0.24756838381290436,0.317426860332489,0.24772842228412628,0.2377871721982956,0.2476097047328949,0.25147145986557007,0.3439967930316925
svhn,0.3815295100212097,0.4070645272731781,0.38213789463043213,0.4457298219203949,0.26987314224243164,0.11581888049840927,0.05817638710141182,0.3674919605255127,0.18705199658870697,0.0,0.09154492616653442,0.09263262152671814,0.05669054388999939,0.0316183902323246,0.10264327377080917,0.10611458122730255,0.3139437735080719,0.30913907289505005,0.3482162058353424,0.3555518388748169,0.3670002520084381,0.3694544732570648,0.368236243724823,0.36741945147514343,0.36818864941596985,0.36908209323883057,0.36894771456718445,0.22151310741901398,0.3256850242614746,0.2670125961303711,0.21976414322853088,0.391581267118454,0.4023790657520294,0.41080573201179504,0.4098811149597168,0.4133935570716858,0.41359850764274597,0.4134625494480133,0.40918678045272827,0.4102247357368469,0.41124579310417175,0.4157431125640869,0.40714290738105774,0.40935438871383667,0.39281708002090454,0.41418227553367615,0.44513311982154846,0.27685418725013733,0.45448583364486694,0.24353642761707306,0.43256083130836487,0.5635653734207153,0.3462536334991455,0.43322375416755676,0.4335278570652008,0.4349387288093567,0.43470144271850586,0.3764764964580536,0.36498865485191345,0.36609622836112976,0.31972023844718933,0.5237225294113159,0.3322993814945221,0.3240914046764374,0.308273583650589,0.3729126453399658,0.30061161518096924,0.26844340562820435,0.2910780608654022,0.37396320700645447,0.44305336475372314,0.3786395192146301,0.4100097417831421,0.3886486887931824,0.4499531686306,0.058518871665000916,0.3649984896183014,,0.055179715156555176,0.1012481153011322,0.31239640712738037,0.30503666400909424,0.3496810793876648,0.3571450710296631,0.36654213070869446,0.36694639921188354,0.37413570284843445,0.3733091354370117,0.3717541992664337,0.36702585220336914,0.36256372928619385,0.3345189690589905,0.22304224967956543,0.3990720212459564,0.4152500033378601,0.4117496907711029,0.4092521369457245,0.4169052541255951,0.4072365462779999,0.40741991996765137,0.40586233139038086,0.4128119647502899,0.4161122143268585,0.410506933927536,0.4121757745742798,0.39538347721099854,0.41703253984451294,0.4484902024269104,0.453252911567688,0.2426930069923401,0.43301528692245483,0.4332106411457062,0.43271756172180176,0.4346041679382324,0.4346720576286316,0.37639564275741577,0.3652530610561371,0.3665810227394104,0.33231666684150696,0.32187581062316895,0.3089868724346161,0.37045228481292725,0.29988259077072144,0.2666829824447632,0.2890920341014862,0.37432172894477844,0.44264286756515503
