,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.02721368335187435,0.019722487777471542,0.03633436560630798,0.015454924665391445,-0.029119372367858887,0.005488038528710604,0.05389588698744774,0.019958620890975,0.03217901289463043,0.005266573745757341,0.01090675126761198,0.04050876572728157,0.025148719549179077,0.03879972919821739,0.04105916619300842,0.010395385324954987,0.01492320280522108,0.03833586350083351,0.05350061133503914,0.03555665537714958,0.03649408742785454,0.03615650162100792,0.03550324589014053,0.03590169921517372,0.03598673641681671,0.03600448742508888,0.002068417612463236,0.0516817569732666,0.024481482803821564,0.018135614693164825,0.00851722713559866,0.06506737321615219,0.06483060866594315,0.06336004287004471,0.06343409419059753,0.06481242924928665,0.06284822523593903,0.06413408368825912,0.06444879621267319,0.06288701295852661,0.06496553868055344,0.0628565326333046,0.06395430117845535,0.0585453175008297,0.062961645424366,0.06968539953231812,0.0083072604611516,0.07415331155061722,-0.005608819890767336,0.05592430755496025,0.09700901806354523,0.07217538356781006,0.05607407167553902,0.05645526573061943,0.05679364502429962,0.056667961180210114,0.05563650280237198,0.05515730753540993,0.05435563623905182,0.02434443309903145,0.09042314440011978,0.07728353887796402,0.061013102531433105,0.052156317979097366,0.08216876536607742,0.06103352829813957,0.060968879610300064,0.065647654235363,0.03584524989128113,0.0620187446475029,-0.001088460790924728,0.025486275553703308,0.02101951278746128,0.03828726336359978,0.00576776871457696,0.05320194736123085,0.032968733459711075,0.04043687507510185,0.03793760761618614,0.009134380146861076,0.013809778727591038,0.03936148062348366,0.05296211317181587,0.03620829060673714,0.034869931638240814,0.03729405999183655,0.03794639930129051,0.03697987645864487,0.034855928272008896,0.03540939465165138,0.054232124239206314,0.018999343737959862,0.06448935717344284,0.06532012671232224,0.0641743615269661,0.06298733502626419,0.06667912006378174,0.060993682593107224,0.06377030164003372,0.062377918511629105,0.06307172030210495,0.06486596167087555,0.06252296268939972,0.06499933451414108,0.060099124908447266,0.06377347558736801,0.0712294727563858,0.07355786114931107,-0.006221220828592777,0.05604792758822441,0.056055109947919846,0.05656803771853447,0.0566791407763958,0.05621088668704033,0.05574173107743263,0.05555174499750137,0.0537491999566555,0.07683116942644119,0.060863565653562546,0.05291694402694702,0.08102636784315109,0.06079578027129173,0.06024036183953285,0.06421875208616257,0.03618885576725006,0.06239386275410652
lapgyn4_surgical_actions,-0.013913107104599476,0.0,-0.006226663012057543,0.0048415823839604855,0.005432074889540672,-0.03976929560303688,-0.0019765126053243876,0.03391684964299202,0.0024064183235168457,0.01651071570813656,-0.014536894857883453,-0.010695909149944782,0.019023472443223,0.006153958383947611,0.022018494084477425,0.025316035374999046,-0.004226783290505409,0.00048726951354183257,0.01962854526937008,0.03180847689509392,0.011141221038997173,0.012028371915221214,0.011606183834373951,0.011070150882005692,0.011431952007114887,0.01156147662550211,0.011566554196178913,-0.011086709797382355,0.026684168726205826,0.010066619142889977,0.010238127782940865,0.0027645432855933905,0.048045508563518524,0.04301641508936882,0.041154999285936356,0.04087883606553078,0.04311084374785423,0.04031923785805702,0.042248841375112534,0.04264950007200241,0.04063652828335762,0.0424933098256588,0.04055790975689888,0.042216453701257706,0.03685832396149635,0.040272485464811325,0.04966539517045021,-0.0031764318700879812,0.05356121435761452,-0.012358616106212139,0.04585050418972969,0.0725729689002037,0.047170452773571014,0.045984238386154175,0.04630153998732567,0.046585481613874435,0.04646354168653488,0.034027401357889175,0.03552524372935295,0.035036344081163406,0.0058865658938884735,0.0777597427368164,0.05028557404875755,0.03772416710853577,0.030343087390065193,0.05596156045794487,0.035016607493162155,0.03564023599028587,0.04027189686894417,0.01867046393454075,0.048913728445768356,-0.014836257323622704,-0.002053417731076479,-0.00506117707118392,0.0065871234983205795,-0.0017045038985088468,0.033280983567237854,0.017125729471445084,0.019043562933802605,0.021153921261429787,-0.005280009005218744,-0.0006820166599936783,0.020585598424077034,0.031423863023519516,0.01176049467176199,0.010564249940216541,0.01270955428481102,0.013285825029015541,0.012076292186975479,0.010528081096708775,0.010970840230584145,0.028760896995663643,0.010981855913996696,0.04752352461218834,0.04335743188858032,0.04177359119057655,0.04040083661675453,0.04475633427500725,0.03869117423892021,0.04193339869379997,0.04088035598397255,0.04072127863764763,0.04222554713487625,0.040356770157814026,0.04323279485106468,0.03806639462709427,0.041003018617630005,0.05098379775881767,0.05311533436179161,-0.013058553449809551,0.04596700146794319,0.045923564583063126,0.046424902975559235,0.04652872309088707,0.04611445963382721,0.034149590879678726,0.035843007266521454,0.03440358117222786,0.049887124449014664,0.037447188049554825,0.030778611078858376,0.054984357208013535,0.03495486080646515,0.03510681912302971,0.039108458906412125,0.018994731828570366,0.049171872437000275
lapgyn4_instrument_count,-0.0045878691598773,0.010574587620794773,0.0,0.012593654915690422,0.010192438028752804,-0.033868756145238876,0.0009222505614161491,0.042736031115055084,0.00843195803463459,0.019654402509331703,-0.008106171153485775,-0.003933128900825977,0.024989882484078407,0.011858776211738586,0.025418352335691452,0.028648579493165016,0.003290952416136861,0.00810133945196867,0.029443565756082535,0.043802402913570404,0.017280476167798042,0.018201835453510284,0.017766064032912254,0.017197145149111748,0.017612377181649208,0.017723357304930687,0.01771906018257141,-0.004491841420531273,0.03890182450413704,0.021664004772901535,0.013736318796873093,0.006267130374908447,0.056277018040418625,0.053909797221422195,0.05254223942756653,0.05256474018096924,0.05396115034818649,0.05201560631394386,0.053218774497509,0.053586095571517944,0.05224299430847168,0.054022230207920074,0.05196966975927353,0.05297053977847099,0.0478941909968853,0.052100345492362976,0.05928147956728935,0.003707882249727845,0.06362856924533844,-0.005499513354152441,0.04806213080883026,0.08407119661569595,0.05777311697602272,0.04816649854183197,0.048498719930648804,0.04879618436098099,0.04865049943327904,0.04068690910935402,0.043179821223020554,0.04278134927153587,0.016352707520127296,0.07935592532157898,0.05790478736162186,0.045988745987415314,0.036205779761075974,0.06487967818975449,0.04171474277973175,0.043461304157972336,0.04727929085493088,0.027055716142058372,0.05267483741044998,-0.005541377700865269,0.007714926730841398,0.001382793765515089,0.014554413966834545,0.0011726059019565582,0.042131178081035614,0.020367786288261414,0.024900730699300766,0.02447487786412239,0.0022489363327622414,0.006878548301756382,0.030463114380836487,0.04334854334592819,0.01794244535267353,0.016667405143380165,0.018964974209666252,0.019331414252519608,0.018253345042467117,0.016631295904517174,0.016972845420241356,0.041172102093696594,0.014488632790744305,0.05576244741678238,0.05443798005580902,0.05322291702032089,0.05200677737593651,0.055715370923280716,0.05028083547949791,0.05292701721191406,0.051725760102272034,0.052329130470752716,0.05393613129854202,0.05177142471075058,0.05391358956694603,0.049286846071481705,0.05282927304506302,0.06077615171670914,0.06319648772478104,-0.006172233261168003,0.048187531530857086,0.04813094064593315,0.0486103892326355,0.0487334243953228,0.04829347878694534,0.04089129716157913,0.04338875040411949,0.042213909327983856,0.05746237561106682,0.045683592557907104,0.036696650087833405,0.06387074291706085,0.0415850467979908,0.042820751667022705,0.04603595659136772,0.027387047186493874,0.05307009816169739
lapgyn4_anatomical_actions,-0.0076414733193814754,0.0024642497301101685,-0.006655475124716759,0.0,0.013571451418101788,-0.033903494477272034,0.0002431962639093399,0.044507209211587906,0.005856089293956757,0.018760601058602333,-0.01037870068103075,-0.006237613037228584,0.02359199896454811,0.011069405823946,0.02364867553114891,0.026960909366607666,0.005898088216781616,0.010747494176030159,0.029945746064186096,0.043832674622535706,0.015751346945762634,0.016740314662456512,0.016187628731131554,0.015658430755138397,0.01604563742876053,0.016196396201848984,0.016167888417840004,-0.004147261846810579,0.035684432834386826,0.021300017833709717,0.017863038927316666,0.008243847638368607,0.05746164172887802,0.052012816071510315,0.05046406388282776,0.0499735102057457,0.05230759084224701,0.04941032826900482,0.05134294182062149,0.051983628422021866,0.04979030042886734,0.05141541734337807,0.049646757543087006,0.05134381726384163,0.04555673897266388,0.04913807287812233,0.05778009071946144,0.004912346601486206,0.062028124928474426,-0.0042008692398667336,0.05447353050112724,0.08008581399917603,0.058083757758140564,0.054610542953014374,0.05492032691836357,0.05517100542783737,0.05507158115506172,0.04345851391553879,0.046725425869226456,0.04639829322695732,0.01383818406611681,0.0852753296494484,0.05685253441333771,0.04633128643035889,0.03662135452032089,0.06316104531288147,0.04079563170671463,0.04175536334514618,0.04718179255723953,0.02487746998667717,0.059004053473472595,-0.008550941944122314,-0.0004360436578281224,-0.005393049214035273,0.0018458315171301365,0.0004997588694095612,0.04385731369256973,0.019592590630054474,0.023609990254044533,0.022671375423669815,0.004803345538675785,0.009512018412351608,0.030963685363531113,0.04339878261089325,0.016597779467701912,0.01516143511980772,0.017445584759116173,0.017942439764738083,0.01642896980047226,0.015103078447282314,0.01556217111647129,0.03781557083129883,0.018605899065732956,0.057072561234235764,0.052351586520671844,0.0510779544711113,0.049424491822719574,0.05393385887145996,0.047718629240989685,0.05103745311498642,0.050173837691545486,0.04988972097635269,0.05107307434082031,0.04943737015128136,0.05241071805357933,0.04677022248506546,0.04986788332462311,0.05924941599369049,0.061586491763591766,-0.004829723853617907,0.054547689855098724,0.054576896131038666,0.055048100650310516,0.05512138083577156,0.054734669625759125,0.043664827942848206,0.04694823920726776,0.04570095241069794,0.056390464305877686,0.045973580330610275,0.0370098315179348,0.062188200652599335,0.04082116112112999,0.04120592400431633,0.0460333377122879,0.02522033452987671,0.05938758701086044
sklin2_skin_lesions,0.07706070691347122,0.1136464849114418,0.10040505230426788,0.12454544007778168,0.0,0.0011412027524784207,0.02012781798839569,0.10344315320253372,0.0529550276696682,0.05456724762916565,0.04097095876932144,0.04908546805381775,0.07986211031675339,0.06181255728006363,0.06621570885181427,0.0643048882484436,0.05476432293653488,0.06310978531837463,0.09269019216299057,0.11876366287469864,0.10783883929252625,0.10898181796073914,0.10881875455379486,0.10789910703897476,0.10850478708744049,0.10847299546003342,0.10856625437736511,0.0016058823093771935,0.10655705630779266,0.04219963401556015,0.04158139228820801,0.008855441585183144,0.09068801999092102,0.11056838929653168,0.10912898182868958,0.10918617248535156,0.1102755069732666,0.10844385623931885,0.10965943336486816,0.10958442091941833,0.10893243551254272,0.11205357313156128,0.10824181139469147,0.10772931575775146,0.10539533942937851,0.10875353217124939,0.11977826058864594,0.001271330751478672,0.12564899027347565,-0.00917795766144991,0.05934421718120575,0.15283630788326263,0.11481989920139313,0.05958360433578491,0.05997397005558014,0.0602012574672699,0.06022413820028305,0.07478117197751999,0.07297772914171219,0.07291347533464432,0.03378589451313019,0.09205610305070877,0.1292857825756073,0.10819045454263687,0.0977071225643158,0.13953173160552979,0.11287117004394531,0.11288400739431381,0.11266002058982849,0.06441419571638107,0.06356770545244217,0.07541028410196304,0.11016401648521423,0.10297293961048126,0.12743864953517914,0.02029777318239212,0.1025448590517044,0.05562282353639603,0.07968443632125854,0.06540007889270782,0.053624290972948074,0.06142949312925339,0.0936024859547615,0.1186302974820137,0.10800009965896606,0.10713139176368713,0.11026565730571747,0.110561802983284,0.11048006266355515,0.10706917941570282,0.1069512665271759,0.11019693315029144,0.0426180362701416,0.0901302695274353,0.11163618415594101,0.11042164266109467,0.10863637924194336,0.11265921592712402,0.1057068407535553,0.10910520702600479,0.10702496767044067,0.10890283435583115,0.11202140152454376,0.10792720317840576,0.10886049270629883,0.1078229695558548,0.10997922718524933,0.12176304310560226,0.1250273883342743,-0.009198658168315887,0.0594862625002861,0.05951676890254021,0.06010883301496506,0.05995163321495056,0.059748854488134384,0.07497650384902954,0.07300516963005066,0.07238797843456268,0.12872183322906494,0.10795131325721741,0.09893382340669632,0.13816820085048676,0.11244785040616989,0.1115688681602478,0.11060797423124313,0.0645718201994896,0.06402385979890823
identify_nbi_infframes,0.12333202362060547,0.16168516874313354,0.15067127346992493,0.17334577441215515,0.09713831543922424,0.0,0.0312957763671875,0.17030873894691467,0.10066227614879608,0.07416951656341553,0.09147794544696808,0.10141947865486145,0.12764862179756165,0.10693162679672241,0.09386292845010757,0.08944366872310638,0.11297909915447235,0.1210751160979271,0.1529480367898941,0.17369863390922546,0.16213688254356384,0.16334304213523865,0.163040891289711,0.1619977056980133,0.16286635398864746,0.16288618743419647,0.16329412162303925,0.07438310235738754,0.15036466717720032,0.08799359202384949,0.07586458325386047,0.07452497631311417,0.14168940484523773,0.1620282530784607,0.15652209520339966,0.15494368970394135,0.16220420598983765,0.15319332480430603,0.16087380051612854,0.1611567586660385,0.1534881740808487,0.15915325284004211,0.15544262528419495,0.16084876656532288,0.15259131789207458,0.1525881290435791,0.16271141171455383,0.07703162729740143,0.17020151019096375,0.05125456303358078,0.12725672125816345,0.2115035057067871,0.17312194406986237,0.1271495223045349,0.12780693173408508,0.1281030774116516,0.12811006605625153,0.16124992072582245,0.1606808453798294,0.1598578691482544,0.06371912360191345,0.1585070937871933,0.17823070287704468,0.15973913669586182,0.1400974839925766,0.19381561875343323,0.15840622782707214,0.15969043970108032,0.16205647587776184,0.11309986561536789,0.14075464010238647,0.12146586179733276,0.15611782670021057,0.1528048813343048,0.17717178165912628,0.031179247424006462,0.16921350359916687,0.0758788213133812,0.12732437252998352,0.09279070794582367,0.11120135337114334,0.1190703883767128,0.15439444780349731,0.17315229773521423,0.16240695118904114,0.1606573462486267,0.16479553282260895,0.16544988751411438,0.1647539734840393,0.16150608658790588,0.161077618598938,0.154008686542511,0.07715065032243729,0.14089152216911316,0.16221299767494202,0.15788215398788452,0.15478074550628662,0.16548128426074982,0.15000790357589722,0.15971216559410095,0.15833701193332672,0.15382397174835205,0.1586935669183731,0.15480373799800873,0.16298969089984894,0.1549587845802307,0.15419460833072662,0.1650586873292923,0.1693858802318573,0.051110126078128815,0.12720099091529846,0.12750095129013062,0.12760774791240692,0.12794432044029236,0.1276705414056778,0.16193081438541412,0.1608479917049408,0.15902575850486755,0.17748084664344788,0.16008171439170837,0.14165668189525604,0.19205665588378906,0.15829096734523773,0.15784597396850586,0.15988920629024506,0.1135169118642807,0.141330748796463
laryngeal_tissues,0.24775440990924835,0.30121782422065735,0.28298214077949524,0.30978521704673767,0.1786782592535019,0.07812623679637909,0.0,0.2992362678050995,0.171244278550148,0.07841530442237854,0.1560545116662979,0.1749347448348999,0.16818661987781525,0.14424818754196167,0.11337029188871384,0.10717044025659561,0.2365293949842453,0.24639484286308289,0.28414639830589294,0.3250540792942047,0.3095049560070038,0.3112688958644867,0.3107456862926483,0.30939963459968567,0.31031346321105957,0.3105930984020233,0.3108651638031006,0.14363743364810944,0.2839915156364441,0.1951797753572464,0.13583919405937195,0.13840265572071075,0.22942107915878296,0.29724904894828796,0.29183486104011536,0.28766098618507385,0.29897111654281616,0.28482910990715027,0.2967545688152313,0.29807502031326294,0.28535184264183044,0.2934577167034149,0.2887289226055145,0.2981362044811249,0.2841099202632904,0.28298190236091614,0.28354084491729736,0.1592695564031601,0.2937731444835663,0.10316657274961472,0.21241070330142975,0.3537832200527191,0.30750688910484314,0.21241460740566254,0.21312883496284485,0.21340800821781158,0.21349939703941345,0.2634600102901459,0.26274046301841736,0.2626550495624542,0.13952738046646118,0.2461394965648651,0.28485605120658875,0.28602245450019836,0.2525288760662079,0.31408122181892395,0.27179914712905884,0.2705294191837311,0.2728811502456665,0.19599460065364838,0.244657501578331,0.2455737590789795,0.2992364466190338,0.28617992997169495,0.31437137722969055,-0.0002596100384835154,0.2976963222026825,0.08123724907636642,0.16702774167060852,0.11213571578264236,0.23439261317253113,0.24426305294036865,0.2859641909599304,0.3244832456111908,0.30991920828819275,0.3077481687068939,0.3132724165916443,0.31393906474113464,0.31282728910446167,0.30798253417015076,0.3077124059200287,0.28989797830581665,0.13712634146213531,0.22869864106178284,0.2978040874004364,0.2937937378883362,0.2870780825614929,0.3033727705478668,0.28060182929039,0.2954074740409851,0.29425475001335144,0.2863040864467621,0.29240113496780396,0.2874317467212677,0.30123114585876465,0.2875711917877197,0.2857312560081482,0.28697505593299866,0.2923268973827362,0.10321662575006485,0.21251000463962555,0.2127877026796341,0.2128123790025711,0.21316219866275787,0.21293774247169495,0.2645094096660614,0.2624378502368927,0.26199212670326233,0.28408315777778625,0.2864287197589874,0.25442925095558167,0.31205061078071594,0.27173206210136414,0.26841530203819275,0.27065983414649963,0.19666273891925812,0.24594490230083466
nerthus_bowel_cleansing_quality,0.010617437772452831,0.0346633605659008,0.026168331503868103,0.04683629795908928,-0.001465548761188984,-0.0343269407749176,-0.003901671152561903,0.0,0.00976338516920805,0.004525006283074617,-0.015128061175346375,-0.011144671589136124,0.013140391558408737,-0.0006503676413558424,0.014169788919389248,0.016273459419608116,-0.012077325023710728,-0.0109712490811944,-0.004237793851643801,0.01969914324581623,0.02624320797622204,0.026829253882169724,0.026642922312021255,0.026145141571760178,0.026661913841962814,0.02659630961716175,0.026796236634254456,-0.01352863572537899,0.017964063212275505,0.012737802229821682,0.00485296780243516,0.008050684817135334,0.03319167718291283,0.04643445834517479,0.042577438056468964,0.04259425029158592,0.04574509710073471,0.04157668724656105,0.04496088996529579,0.044636618345975876,0.042134493589401245,0.04558742418885231,0.042226243764162064,0.044338010251522064,0.04040764644742012,0.042197030037641525,0.05788479745388031,-0.00726209906861186,0.0622095987200737,-0.012340104207396507,0.02850082702934742,0.08678683638572693,0.03427637740969658,0.028528207913041115,0.028799522668123245,0.02919646166265011,0.029013771563768387,0.012448002584278584,0.01163849513977766,0.010860365815460682,0.003346556331962347,0.05832483991980553,0.05246409401297569,0.030739983543753624,0.021520467475056648,0.058423273265361786,0.03354519233107567,0.03122544288635254,0.03355352208018303,0.03201943263411522,0.029898587614297867,0.009393122047185898,0.03356638178229332,0.02769772708415985,0.04868708923459053,-0.0036321613006293774,-0.0005113867809996009,0.00477186543866992,0.012860847637057304,0.01353451982140541,-0.013151312246918678,-0.011273831129074097,-0.003489960916340351,0.01933967135846615,0.026196928694844246,0.025691982358694077,0.02794620767235756,0.028223726898431778,0.027859289199113846,0.02572428248822689,0.025369348004460335,0.020206475630402565,0.0057664853520691395,0.03248877823352814,0.047191523015499115,0.043532948940992355,0.042147327214479446,0.047840993851423264,0.0396384559571743,0.04448111727833748,0.042734239250421524,0.04215529188513756,0.04573782533407211,0.04222080484032631,0.04529179260134697,0.04186548665165901,0.04316149652004242,0.05924977362155914,0.061777446419000626,-0.01292323786765337,0.02878621034324169,0.028458023443818092,0.02873614989221096,0.029121728613972664,0.028622809797525406,0.01267945021390915,0.012132065370678902,0.01014710869640112,0.05215732008218765,0.030306421220302582,0.02221793867647648,0.057405658066272736,0.03321833536028862,0.030451010912656784,0.0319887138903141,0.03238295763731003,0.029950348660349846
stanford_dogs_image_categorization,0.10848266631364822,0.1366114318370819,0.12433018535375595,0.14175988733768463,0.0774964913725853,0.02722087688744068,0.022131381556391716,0.14180757105350494,0.0,0.04264587163925171,0.024262644350528717,0.03369161859154701,0.04872635379433632,0.04146721586585045,0.04820198565721512,0.049342986196279526,0.09902035444974899,0.10666652768850327,0.12768204510211945,0.15334266424179077,0.14269910752773285,0.14383886754512787,0.14343540370464325,0.14256875216960907,0.1431974321603775,0.14343300461769104,0.14346159994602203,0.05774836614727974,0.13542307913303375,0.07737784087657928,0.05476788803935051,0.06202177703380585,0.10527784377336502,0.14468343555927277,0.1412212997674942,0.13951973617076874,0.1451471596956253,0.13826091587543488,0.1440131664276123,0.14427922666072845,0.13842828571796417,0.142588809132576,0.13989701867103577,0.14460735023021698,0.1359560489654541,0.13774996995925903,0.14158619940280914,0.06618676334619522,0.14787869155406952,0.04844829440116882,0.10187659412622452,0.1780634969472885,0.1297791451215744,0.10197018831968307,0.1024220809340477,0.10254593938589096,0.10256464779376984,0.11884144693613052,0.11771734058856964,0.11751411110162735,0.057584624737501144,0.1247711107134819,0.13114960491657257,0.12964488565921783,0.10776559263467789,0.15178810060024261,0.11413182318210602,0.11718223243951797,0.11823111027479172,0.08617710322141647,0.11359118670225143,0.10670033097267151,0.13251382112503052,0.12644724547863007,0.14468781650066376,0.022137796506285667,0.14095787703990936,0.04357340559363365,0.04897048696875572,0.04742699861526489,0.09755682200193405,0.10532321780920029,0.12870001792907715,0.1528995782136917,0.14328186213970184,0.1419609934091568,0.14539505541324615,0.14569880068302155,0.14467664062976837,0.14212128520011902,0.14142562448978424,0.138759583234787,0.05568580701947212,0.10516158491373062,0.14525307714939117,0.14219512045383453,0.13936202228069305,0.14779987931251526,0.13574446737766266,0.14374388754367828,0.14177100360393524,0.13888660073280334,0.14205513894557953,0.13936808705329895,0.1461568921804428,0.1375599354505539,0.13921725749969482,0.1435895711183548,0.14715923368930817,0.04844444617629051,0.10179997235536575,0.10209430754184723,0.10240385681390762,0.1024097204208374,0.10215376317501068,0.11923569440841675,0.118057981133461,0.11664348095655441,0.13041777908802032,0.12912410497665405,0.1086156815290451,0.15040849149227142,0.11395417898893356,0.1160813421010971,0.11646441370248795,0.08636661618947983,0.11436229199171066
svhn,0.20268036425113678,0.23958070576190948,0.22301681339740753,0.24632501602172852,0.14084109663963318,0.061304934322834015,0.008682755753397942,0.21784287691116333,0.11488142609596252,0.0,0.09052832424640656,0.10176604986190796,0.07731776684522629,0.06175370141863823,0.031036004424095154,0.029484936967492104,0.18006056547164917,0.18717636168003082,0.20672065019607544,0.23966139554977417,0.23677976429462433,0.2382674366235733,0.23769667744636536,0.23667150735855103,0.23759986460208893,0.23768335580825806,0.2379784882068634,0.11598379909992218,0.2014266401529312,0.14650318026542664,0.08476968109607697,0.12539562582969666,0.17092740535736084,0.2299584150314331,0.2257629632949829,0.22329077124595642,0.23105891048908234,0.22122760117053986,0.22958515584468842,0.23033198714256287,0.22099211812019348,0.22694461047649384,0.22360098361968994,0.23001714050769806,0.21823212504386902,0.21993082761764526,0.21662214398384094,0.1256982982158661,0.22433730959892273,0.0930253341794014,0.1622651219367981,0.27851998805999756,0.20144322514533997,0.16218335926532745,0.16273397207260132,0.16306918859481812,0.16304247081279755,0.18620248138904572,0.1852169632911682,0.18545648455619812,0.1124211996793747,0.18952131271362305,0.19373264908790588,0.20682746171951294,0.1732783168554306,0.22130867838859558,0.18287883698940277,0.17492225766181946,0.18455448746681213,0.15719279646873474,0.18634937703609467,0.20117232203483582,0.23701834678649902,0.2255106419324875,0.24958398938179016,0.008627226576209068,0.2165927290916443,0.0013549758587032557,0.07588702440261841,0.030326522886753082,0.1784060150384903,0.18578502535820007,0.2077968716621399,0.23952031135559082,0.23710237443447113,0.23537229001522064,0.2402663230895996,0.24004042148590088,0.23953215777873993,0.23597882688045502,0.23502518236637115,0.20614537596702576,0.0858965590596199,0.17031815648078918,0.23065413534641266,0.22724486887454987,0.22225990891456604,0.23446586728096008,0.21769170463085175,0.22857117652893066,0.22724111378192902,0.22186961770057678,0.22633208334445953,0.22316527366638184,0.23264260590076447,0.22086882591247559,0.22200259566307068,0.2192305624485016,0.22308969497680664,0.09311265498399734,0.16232427954673767,0.16251380741596222,0.16239416599273682,0.16281968355178833,0.16261346638202667,0.1867796778678894,0.1850772500038147,0.1847078949213028,0.19316713511943817,0.20696112513542175,0.17437800765037537,0.21983025968074799,0.18293732404708862,0.17342495918273926,0.18304648995399475,0.15757997334003448,0.18726789951324463
