,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.04186983406543732,0.03695650398731232,0.08440695703029633,0.16279813647270203,0.07342440634965897,0.5063185691833496,0.16658958792686462,0.15763509273529053,0.649479329586029,0.056636810302734375,0.060121841728687286,0.32815656065940857,0.31105297803878784,0.4917774796485901,0.5448495745658875,0.05096503347158432,0.05474618822336197,0.11078797280788422,0.11395534127950668,0.06509176641702652,0.06713719666004181,0.066033273935318,0.06535766273736954,0.0651937872171402,0.06557418406009674,0.06544867902994156,0.14391228556632996,0.1761026829481125,0.1915348768234253,0.264403373003006,0.2959996163845062,0.3821023404598236,0.2327870875597,0.2356855571269989,0.24558690190315247,0.2306092232465744,0.24769453704357147,0.22868499159812927,0.22884805500507355,0.2477390170097351,0.24294313788414001,0.23755483329296112,0.22854167222976685,0.22619782388210297,0.2525341808795929,0.31545811891555786,0.18425607681274414,0.3200448751449585,0.193772092461586,0.4316108524799347,0.3225349187850952,0.2686396837234497,0.4331102669239044,0.43288102746009827,0.43533042073249817,0.4346676766872406,0.2782481908798218,0.27537915110588074,0.2739047110080719,0.4199175536632538,0.5945899486541748,0.3426019847393036,0.21358145773410797,0.26315319538116455,0.3071509599685669,0.2716042399406433,0.25192931294441223,0.2821802794933319,0.26798444986343384,0.40157651901245117,-0.0014809509739279747,0.04514480382204056,0.0389607734978199,0.08767441660165787,0.5032873749732971,0.16474980115890503,0.646070659160614,0.33348485827445984,0.48987680673599243,0.048607222735881805,0.0520174540579319,0.1130225881934166,0.11262375116348267,0.06654283404350281,0.06452178210020065,0.06779365241527557,0.0705701932311058,0.0677151009440422,0.06343673169612885,0.06660813838243484,0.18055306375026703,0.26848360896110535,0.378074586391449,0.23689736425876617,0.23550157248973846,0.24281786382198334,0.23185206949710846,0.24699652194976807,0.22988398373126984,0.22560939192771912,0.24715840816497803,0.24496252834796906,0.24017515778541565,0.22776126861572266,0.22766698896884918,0.25197696685791016,0.317364364862442,0.3209673762321472,0.18900202214717865,0.43242785334587097,0.43253085017204285,0.4328886568546295,0.4354690909385681,0.4339376986026764,0.2777799367904663,0.2772866189479828,0.27462926506996155,0.344322144985199,0.2114364355802536,0.2632250189781189,0.30432388186454773,0.27115464210510254,0.2533598840236664,0.2789973020553589,0.2690052092075348,0.39955276250839233
lapgyn4_surgical_actions,0.0005699210450984538,0.0,-0.002299513667821884,0.023776162415742874,0.16654431819915771,0.06459378451108932,0.5051948428153992,0.14384283125400543,0.14760684967041016,0.6291736364364624,0.04008865728974342,0.040619175881147385,0.3116292953491211,0.30185824632644653,0.4626109004020691,0.5166491866111755,0.052417561411857605,0.05348338186740875,0.09799639880657196,0.09458831697702408,0.03492027148604393,0.036827728152275085,0.03558661788702011,0.03518591448664665,0.03500062972307205,0.0354546457529068,0.03527587652206421,0.12899760901927948,0.1413852423429489,0.17990653216838837,0.2691715657711029,0.3121643364429474,0.3565256595611572,0.209272563457489,0.20993326604366302,0.2178114801645279,0.20746956765651703,0.21965362131595612,0.20503011345863342,0.20530186593532562,0.22054579854011536,0.21651126444339752,0.2110307812690735,0.20503681898117065,0.20253588259220123,0.22382129728794098,0.2937130928039551,0.17799493670463562,0.2970321774482727,0.19711193442344666,0.42809274792671204,0.29490455985069275,0.23492935299873352,0.429353266954422,0.42913925647735596,0.43127790093421936,0.4306950569152832,0.2325318455696106,0.2369023561477661,0.23671188950538635,0.3780263066291809,0.5763369202613831,0.2933061718940735,0.18049030005931854,0.22832202911376953,0.2634159028530121,0.228779599070549,0.2131539285182953,0.24003966152668,0.2596473693847656,0.3942536413669586,-0.0009253910975530744,0.0018539823358878493,-0.0007511463481932878,0.026121215894818306,0.5017843842506409,0.14221541583538055,0.6255534887313843,0.3169573247432709,0.46101459860801697,0.05063198134303093,0.050415754318237305,0.09991798549890518,0.09371155500411987,0.03644418716430664,0.03442472964525223,0.037292782217264175,0.039912767708301544,0.036210279911756516,0.03341013565659523,0.0362485907971859,0.14456352591514587,0.2731565535068512,0.3527749478816986,0.2127765417098999,0.2092878669500351,0.2149733155965805,0.2083757221698761,0.21915027499198914,0.20600365102291107,0.20273259282112122,0.22002503275871277,0.21787451207637787,0.21393005549907684,0.2043614238500595,0.20321156084537506,0.22330132126808167,0.29492634534835815,0.29831182956695557,0.19227254390716553,0.42861562967300415,0.42885488271713257,0.42897793650627136,0.43153178691864014,0.4302729070186615,0.23213163018226624,0.23841345310211182,0.2370399534702301,0.29495730996131897,0.17817285656929016,0.22728225588798523,0.2610081136226654,0.22884823381900787,0.21481205523014069,0.2378280907869339,0.2605385184288025,0.3921961486339569
lapgyn4_instrument_count,0.015986109152436256,0.017886295914649963,0.0,0.029871519654989243,0.16660147905349731,0.06796663254499435,0.48524829745292664,0.15673618018627167,0.14911149442195892,0.5933670997619629,0.042062755674123764,0.04211428761482239,0.29835060238838196,0.2859365940093994,0.4496728181838989,0.5018095970153809,0.061774205416440964,0.06116615980863571,0.11523149907588959,0.11580400913953781,0.03572580963373184,0.03765569627285004,0.036424823105335236,0.03589429333806038,0.035979416221380234,0.036391597241163254,0.03613148629665375,0.14211294054985046,0.16338466107845306,0.20763328671455383,0.26749569177627563,0.32058826088905334,0.3771032989025116,0.22874070703983307,0.23157663643360138,0.24108919501304626,0.22694642841815948,0.24309031665325165,0.2247604876756668,0.2249697893857956,0.2435116171836853,0.238880455493927,0.23285116255283356,0.22373859584331512,0.22272907197475433,0.24777989089488983,0.3110758662223816,0.19106417894363403,0.31541216373443604,0.21685053408145905,0.4038717746734619,0.3204957842826843,0.25057554244995117,0.4050946533679962,0.40484219789505005,0.4069331884384155,0.40634438395500183,0.22868755459785461,0.23719364404678345,0.2374807745218277,0.41424989700317383,0.545309841632843,0.294294148683548,0.18482713401317596,0.21957573294639587,0.26853978633880615,0.22208863496780396,0.21202188730239868,0.23372501134872437,0.2762989401817322,0.37023618817329407,0.01434425637125969,0.01695249043405056,0.002465979428961873,0.03295734152197838,0.482176810503006,0.15526841580867767,0.590032696723938,0.30323073267936707,0.447511225938797,0.059974849224090576,0.05794810503721237,0.1172422543168068,0.1147698163986206,0.037277720868587494,0.03525283932685852,0.038422632962465286,0.040331438183784485,0.03699278086423874,0.03429025784134865,0.03640903905034065,0.16715075075626373,0.2714661955833435,0.37322214245796204,0.23301714658737183,0.2311304211616516,0.23791813850402832,0.22805553674697876,0.24220536649227142,0.22577817738056183,0.22208933532238007,0.24293877184391022,0.241028293967247,0.23608043789863586,0.22281907498836517,0.22389808297157288,0.2471408247947693,0.31273654103279114,0.316863089799881,0.21252234280109406,0.40457022190093994,0.4044519066810608,0.4049305319786072,0.40725111961364746,0.40598055720329285,0.2284993678331375,0.23844854533672333,0.2380341738462448,0.29553738236427307,0.18217086791992188,0.2186424434185028,0.26615652441978455,0.22191831469535828,0.21316926181316376,0.23109984397888184,0.27718228101730347,0.3687729835510254
lapgyn4_anatomical_actions,0.01909630186855793,0.0056798080913722515,-0.009068921208381653,0.0,0.20217500627040863,0.08784536272287369,0.506036639213562,0.18039147555828094,0.15566889941692352,0.6096077561378479,0.04745281860232353,0.048022475093603134,0.30778852105140686,0.29690539836883545,0.46056288480758667,0.5118474364280701,0.0896250531077385,0.08676279336214066,0.13376484811306,0.1313338726758957,0.046282459050416946,0.04854397848248482,0.04683849960565567,0.04649560898542404,0.04640766605734825,0.04693001136183739,0.046567898243665695,0.16156485676765442,0.17024913430213928,0.2165735960006714,0.29986029863357544,0.35963568091392517,0.39942699670791626,0.23720651865005493,0.23894420266151428,0.24684923887252808,0.23610229790210724,0.24885737895965576,0.23323912918567657,0.23415569961071014,0.24974894523620605,0.24489939212799072,0.23954486846923828,0.2328929305076599,0.22911880910396576,0.2524662911891937,0.322821706533432,0.22095774114131927,0.32675427198410034,0.2453039586544037,0.47445449233055115,0.32593491673469543,0.2713029980659485,0.47579365968704224,0.47560983896255493,0.4776518642902374,0.477195680141449,0.2563200294971466,0.2678377330303192,0.2685856521129608,0.3999423384666443,0.6206870675086975,0.31864452362060547,0.20257101953029633,0.24265015125274658,0.2866808772087097,0.24426120519638062,0.2281128168106079,0.2594826817512512,0.29674890637397766,0.4385036826133728,0.017327839508652687,0.005074732005596161,-0.006997847929596901,0.0023028641007840633,0.5030335783958435,0.17880259454250336,0.6063365936279297,0.3132788836956024,0.4583568572998047,0.08754390478134155,0.0834435299038887,0.13569438457489014,0.13035370409488678,0.04859965294599533,0.04576742276549339,0.0491410568356514,0.05164347589015961,0.04664253816008568,0.04466802254319191,0.047522615641355515,0.17349852621555328,0.3039279580116272,0.396061509847641,0.24070186913013458,0.23829174041748047,0.2439146190881729,0.2370002567768097,0.24790528416633606,0.23412823677062988,0.23137444257736206,0.2490759640932083,0.24623766541481018,0.24270260334014893,0.23240385949611664,0.2296588122844696,0.25196373462677,0.3243153989315033,0.3281722664833069,0.24123498797416687,0.47487524151802063,0.4753951132297516,0.4754531681537628,0.47794675827026367,0.4768681824207306,0.2560846507549286,0.26925548911094666,0.26872846484184265,0.3202160894870758,0.199701189994812,0.24119062721729279,0.2842978537082672,0.24454697966575623,0.2298395037651062,0.2571050822734833,0.29764077067375183,0.43676280975341797
sklin2_skin_lesions,0.2514462471008301,0.3051255941390991,0.27070850133895874,0.3488767147064209,0.0,0.10779255628585815,0.5706413984298706,0.27430614829063416,0.20783643424510956,0.831423819065094,0.10979502648115158,0.10506726056337357,0.47771692276000977,0.4602888226509094,0.6650983095169067,0.6884955167770386,0.15751966834068298,0.16451621055603027,0.2476297914981842,0.2662214934825897,0.23948632180690765,0.24148491024971008,0.2411269098520279,0.24019844830036163,0.24060659110546112,0.2411418855190277,0.24047338962554932,0.0298184622079134,0.28335487842559814,0.17501111328601837,0.30526307225227356,0.15128308534622192,0.3802163600921631,0.313050776720047,0.31614944338798523,0.3266337811946869,0.3097165524959564,0.32833603024482727,0.30748504400253296,0.30562764406204224,0.3308504819869995,0.3298611640930176,0.3165600299835205,0.29850733280181885,0.30984386801719666,0.3349447250366211,0.4578598141670227,0.04312548786401749,0.46381229162216187,0.06196782365441322,0.290946364402771,0.46537867188453674,0.3213435709476471,0.29347679018974304,0.29242178797721863,0.29377278685569763,0.2940761148929596,0.2740524113178253,0.25966814160346985,0.25991180539131165,0.3453904688358307,0.43376365303993225,0.39492306113243103,0.27845513820648193,0.3176968991756439,0.3938785195350647,0.33512812852859497,0.30795666575431824,0.3180602192878723,0.2994349002838135,0.24792081117630005,0.2480531930923462,0.30562257766723633,0.2796066999435425,0.354550838470459,0.5657440423965454,0.2718622088432312,0.8289562463760376,0.4848264455795288,0.6642133593559265,0.15723933279514313,0.159265398979187,0.24906517565250397,0.26759764552116394,0.23840585350990295,0.24028699100017548,0.24531792104244232,0.24443089962005615,0.24551795423030853,0.23838259279727936,0.23618027567863464,0.29197585582733154,0.31070902943611145,0.37708085775375366,0.3193206787109375,0.318871408700943,0.3229369819164276,0.3126324713230133,0.3237835466861725,0.3077769875526428,0.301076203584671,0.32964783906936646,0.33254313468933105,0.32024332880973816,0.2982068657875061,0.31359660625457764,0.33596163988113403,0.46030646562576294,0.4653741419315338,0.061192870140075684,0.2919227182865143,0.2914811074733734,0.2943040132522583,0.29381638765335083,0.2930167019367218,0.2737591862678528,0.25995683670043945,0.26107868552207947,0.39540258049964905,0.27500808238983154,0.32019421458244324,0.39188352227211,0.3339822590351105,0.3066232204437256,0.31281235814094543,0.2996165454387665,0.24695023894309998
identify_nbi_infframes,0.26589640974998474,0.30970045924186707,0.3008035719394684,0.3785449266433716,0.29533690214157104,0.0,0.5211436152458191,0.3647840917110443,0.26939600706100464,0.7321131825447083,0.167145773768425,0.16279055178165436,0.47945669293403625,0.4559057950973511,0.6518832445144653,0.6643511652946472,0.22803613543510437,0.23754200339317322,0.3155377209186554,0.3029513657093048,0.2843041718006134,0.28650835156440735,0.2856861650943756,0.28451111912727356,0.2851161062717438,0.285874605178833,0.2866172194480896,0.2302020937204361,0.3159932494163513,0.24737539887428284,0.3820580542087555,0.3902169466018677,0.5155192613601685,0.3630721867084503,0.35094955563545227,0.35854843258857727,0.36134660243988037,0.357052206993103,0.3558063507080078,0.35536161065101624,0.3597259819507599,0.36663857102394104,0.3529781103134155,0.3540234863758087,0.34823983907699585,0.36247605085372925,0.5011036396026611,0.2901843786239624,0.5115232467651367,0.25092029571533203,0.5497094392776489,0.5547422766685486,0.42292165756225586,0.5500503778457642,0.5509100556373596,0.5530084371566772,0.5526685118675232,0.5009545683860779,0.48871901631355286,0.4873400926589966,0.3516663908958435,0.7041527032852173,0.4648909270763397,0.3315781056880951,0.37113940715789795,0.45781195163726807,0.392245888710022,0.3627009093761444,0.39309242367744446,0.3936150372028351,0.5354286432266235,0.26238179206848145,0.3023344576358795,0.30600935220718384,0.3870646357536316,0.5155868530273438,0.36206427216529846,0.7322714328765869,0.48571908473968506,0.6493369936943054,0.22503620386123657,0.23152944445610046,0.3184310495853424,0.302992582321167,0.28376519680023193,0.28304094076156616,0.290289044380188,0.2920072674751282,0.2902115285396576,0.28453096747398376,0.28205636143684387,0.323413223028183,0.38880011439323425,0.5096716284751892,0.3660893440246582,0.3540841341018677,0.3569621443748474,0.36684882640838623,0.35162392258644104,0.3540627062320709,0.34985700249671936,0.3591519892215729,0.3681851923465729,0.3557794988155365,0.3561670184135437,0.351324200630188,0.36450254917144775,0.5037978887557983,0.5125166773796082,0.24758128821849823,0.5502291321754456,0.5504836440086365,0.5500591993331909,0.5529090166091919,0.5526752471923828,0.5015338659286499,0.4888741374015808,0.4886171221733093,0.46638593077659607,0.32971054315567017,0.3748491406440735,0.4536230266094208,0.3921683430671692,0.36005839705467224,0.3877127170562744,0.3946790099143982,0.5325430035591125
laryngeal_tissues,0.5676089525222778,0.609516978263855,0.5839520692825317,0.6735661625862122,0.44676047563552856,0.20495295524597168,0.0,0.6526309847831726,0.37403008341789246,0.2163294106721878,0.2269696593284607,0.24411392211914062,0.24275213479995728,0.19256740808486938,0.4397026300430298,0.43953412771224976,0.5293011665344238,0.5256060361862183,0.6177070736885071,0.6144421696662903,0.5990455150604248,0.6026862859725952,0.6008100509643555,0.5998724102973938,0.5995888710021973,0.6019464731216431,0.6014838218688965,0.3534068763256073,0.6081346273422241,0.4895971715450287,0.5171293020248413,0.5505691170692444,0.7374869585037231,0.6663771271705627,0.6608258485794067,0.6661309599876404,0.6690040230751038,0.6650445461273193,0.6610934734344482,0.6624704599380493,0.6679121255874634,0.6755955815315247,0.6582154631614685,0.662992537021637,0.6482434272766113,0.6700793504714966,0.7992937564849854,0.4792511761188507,0.8120129704475403,0.3475882411003113,0.8361842036247253,0.9022291302680969,0.7472330331802368,0.8379339575767517,0.8377830386161804,0.8401399254798889,0.8404043316841125,0.7487838864326477,0.7315768003463745,0.7324836850166321,0.5656639337539673,1.041871428489685,0.6630463600158691,0.594390869140625,0.6305301189422607,0.7178834080696106,0.6258201599121094,0.5809103846549988,0.5927723050117493,0.5905384421348572,0.8351799249649048,0.5631935596466064,0.6338106393814087,0.5932425260543823,0.681321382522583,-0.0004466833488550037,0.6488794088363647,0.22098775207996368,0.244066059589386,0.43519508838653564,0.5280715823173523,0.5186464786529541,0.6216784119606018,0.6156797409057617,0.598153293132782,0.5993502736091614,0.6079329252243042,0.6093710660934448,0.6060156226158142,0.5971553325653076,0.5941011309623718,0.6208854913711548,0.521783709526062,0.7307548522949219,0.6732790470123291,0.6639305353164673,0.6618937849998474,0.6743322014808655,0.6579522490501404,0.6593992710113525,0.6561188101768494,0.6688791513442993,0.6766823530197144,0.6618979573249817,0.6661095023155212,0.65250164270401,0.674664318561554,0.80377596616745,0.8119071125984192,0.3450068533420563,0.8377442359924316,0.8369712233543396,0.8372184634208679,0.840182363986969,0.8404523134231567,0.7490346431732178,0.7315813302993774,0.7362095713615417,0.6641362905502319,0.5916218757629395,0.6337016820907593,0.7142146825790405,0.6245796084403992,0.5784003138542175,0.5888246297836304,0.5921289920806885,0.8325910568237305
nerthus_bowel_cleansing_quality,0.10952234268188477,0.13962885737419128,0.12776683270931244,0.19694629311561584,0.13213886320590973,0.0810079425573349,0.42788201570510864,0.0,0.1837988793849945,0.5256417393684387,0.03766782954335213,0.03487192466855049,0.27457156777381897,0.25490376353263855,0.3772454857826233,0.412182092666626,0.018836764618754387,0.010370630770921707,0.0016814506379887462,0.04611141234636307,0.08613098412752151,0.08688651770353317,0.08669302612543106,0.08648177981376648,0.086847223341465,0.08688173443078995,0.08708754926919937,0.11165109276771545,0.08508491516113281,0.18231840431690216,0.22269095480442047,0.3054720461368561,0.27000391483306885,0.21001587808132172,0.20372964441776276,0.21107085049152374,0.20506080985069275,0.21137462556362152,0.20326383411884308,0.2008720189332962,0.21365386247634888,0.21558107435703278,0.20455974340438843,0.19862060248851776,0.2034643292427063,0.2170669287443161,0.31350913643836975,0.14823348820209503,0.31694093346595764,0.18636372685432434,0.2881206274032593,0.3258854150772095,0.17024020850658417,0.28862684965133667,0.28863829374313354,0.2907392978668213,0.2897208034992218,0.11958533525466919,0.11593358218669891,0.11350279301404953,0.32481858134269714,0.42127859592437744,0.26219311356544495,0.13905136287212372,0.15794168412685394,0.2411145716905594,0.18806418776512146,0.1623910516500473,0.180607870221138,0.31498193740844727,0.24905654788017273,0.10756873339414597,0.1498691588640213,0.1310654580593109,0.19988183677196503,0.4251333177089691,-0.0007853023707866669,0.521580696105957,0.27776557207107544,0.37657445669174194,0.01734015718102455,0.011260394006967545,0.0027233685832470655,0.045608118176460266,0.08540643751621246,0.08675999194383621,0.08957637846469879,0.08989757299423218,0.08954217284917831,0.08579842001199722,0.08457984030246735,0.08892319351434708,0.22666214406490326,0.2656824290752411,0.2149551659822464,0.20479215681552887,0.20842917263507843,0.20734697580337524,0.20933981239795685,0.2036352902650833,0.1983094960451126,0.21314559876918793,0.21837098896503448,0.20807573199272156,0.19807058572769165,0.20467357337474823,0.21758830547332764,0.31450286507606506,0.3183946907520294,0.18182417750358582,0.2891218960285187,0.2877016067504883,0.2881903648376465,0.29099029302597046,0.2890710234642029,0.11944181472063065,0.116986483335495,0.11297458410263062,0.26290571689605713,0.13573458790779114,0.15874046087265015,0.23880021274089813,0.18693074584007263,0.16176877915859222,0.17619453370571136,0.3157148063182831,0.2467687427997589
stanford_dogs_image_categorization,0.3864859342575073,0.4114023745059967,0.38965362310409546,0.4568887948989868,0.3689517378807068,0.2286960780620575,0.4269261956214905,0.43905454874038696,0.0,0.493689626455307,0.07677314430475235,0.08941598981618881,0.23629607260227203,0.24312157928943634,0.45582133531570435,0.5184584259986877,0.35496512055397034,0.35473936796188354,0.3983422517776489,0.4030590355396271,0.3981682062149048,0.40059396624565125,0.39947423338890076,0.39839795231819153,0.398773193359375,0.40000683069229126,0.3994092643260956,0.3594467043876648,0.4242973029613495,0.32415255904197693,0.39913293719291687,0.6416677832603455,0.5411708354949951,0.4711434543132782,0.4655851125717163,0.4697376489639282,0.47034522891044617,0.4711652398109436,0.4663374125957489,0.4654613733291626,0.4710663855075836,0.4734903573989868,0.4647773504257202,0.46730417013168335,0.4497215151786804,0.4735911190509796,0.5578969120979309,0.42659446597099304,0.5669265389442444,0.4369191527366638,0.6509671807289124,0.6205875873565674,0.41435134410858154,0.6524745225906372,0.6522032022476196,0.6538771986961365,0.6532685160636902,0.4720935821533203,0.4556789696216583,0.4555228352546692,0.43800434470176697,0.7631417512893677,0.4650867283344269,0.3884769380092621,0.4106326997280121,0.49200382828712463,0.40200531482696533,0.38070130348205566,0.40231266617774963,0.4509466588497162,0.6030228734016418,0.38094258308410645,0.42795318365097046,0.3960222601890564,0.4621202051639557,0.42406171560287476,0.4372043013572693,0.49253010749816895,0.24130010604858398,0.4548274278640747,0.3520931303501129,0.3504796624183655,0.4004906713962555,0.4031665623188019,0.39798781275749207,0.3998432159423828,0.40588754415512085,0.4051470160484314,0.40303927659988403,0.3972886800765991,0.3947150707244873,0.43079105019569397,0.40245428681373596,0.5377634167671204,0.47530701756477356,0.46616560220718384,0.46771177649497986,0.4748006761074066,0.46618330478668213,0.4664669334888458,0.4606967866420746,0.4713069200515747,0.4736664593219757,0.4676971137523651,0.46921640634536743,0.4507790505886078,0.4759591221809387,0.5606828927993774,0.5674942135810852,0.43462425470352173,0.652130663394928,0.6516825556755066,0.6516367793083191,0.6541654467582703,0.6534428596496582,0.4718760848045349,0.4578773081302643,0.45628106594085693,0.46573135256767273,0.3846074640750885,0.41104817390441895,0.489092081785202,0.40109509229660034,0.37947121262550354,0.39765313267707825,0.45072656869888306,0.6012662649154663
svhn,0.5903259515762329,0.5995550155639648,0.5730456709861755,0.6598093509674072,0.4346780478954315,0.2296045869588852,0.16378171741962433,0.5357039570808411,0.3440590500831604,0.0,0.18630097806453705,0.175617054104805,0.10350999236106873,0.06657005846500397,0.21157227456569672,0.2123781442642212,0.4875662922859192,0.4721452593803406,0.5172088146209717,0.5027468800544739,0.5319572687149048,0.534706711769104,0.5332510471343994,0.5327532291412354,0.5333020687103271,0.5347708463668823,0.5342147350311279,0.3765754699707031,0.4764931797981262,0.4390009641647339,0.42684638500213623,0.695486307144165,0.6409232020378113,0.6104076504707336,0.6125951409339905,0.6205676794052124,0.6144292950630188,0.6221020817756653,0.6084480881690979,0.6095898747444153,0.618385374546051,0.6211399435997009,0.6096540093421936,0.6081168055534363,0.5910096168518066,0.6242945790290833,0.6688060760498047,0.4699818789958954,0.6765291094779968,0.4428034722805023,0.7012141346931458,0.8173187971115112,0.5267165899276733,0.7022808790206909,0.702241837978363,0.7046307921409607,0.704074501991272,0.5797529220581055,0.5621749758720398,0.564494788646698,0.5945009589195251,0.8457090854644775,0.4697226881980896,0.4735538959503174,0.4626624286174774,0.524574339389801,0.4385228455066681,0.3844793438911438,0.41660186648368835,0.612578809261322,0.6952617168426514,0.5874446034431458,0.6090133786201477,0.5813518166542053,0.6637951135635376,0.1651534140110016,0.5326802730560303,0.0013257990358397365,0.10059118270874023,0.2099079191684723,0.486674964427948,0.4666830897331238,0.5184401273727417,0.5055528283119202,0.5309600234031677,0.5324784517288208,0.5409772396087646,0.5391502380371094,0.5374928712844849,0.5323915481567383,0.5256866216659546,0.4878845512866974,0.4319344758987427,0.6351678967475891,0.6176184415817261,0.6147711873054504,0.614104688167572,0.6167539954185486,0.6146961450576782,0.6060240864753723,0.604963481426239,0.6205089688301086,0.6224600076675415,0.615821361541748,0.6108169555664062,0.5934872031211853,0.6274649500846863,0.6716684699058533,0.675349235534668,0.44056326150894165,0.7022913694381714,0.7018620371818542,0.701156735420227,0.7043201923370361,0.7046924829483032,0.5790044665336609,0.5627017617225647,0.5661588311195374,0.4704974591732025,0.47024673223495483,0.4628947377204895,0.5218755602836609,0.43732351064682007,0.3822166621685028,0.41536855697631836,0.6130837798118591,0.6931090354919434
