,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.04186864569783211,0.0369550995528698,0.08440260589122772,0.16278134286403656,0.0734095498919487,0.5062170624732971,0.16658002138137817,0.15761911869049072,0.6493811011314392,0.05663242191076279,0.06011807918548584,0.32812565565109253,0.3110206723213196,0.4917035400867462,0.5447646379470825,0.05096150189638138,0.054742902517318726,0.11078185588121414,0.1139509379863739,0.0650896281003952,0.06713495403528214,0.06603111326694489,0.06535548716783524,0.06519167870283127,0.06557205319404602,0.06544656306505203,0.1438952088356018,0.17609183490276337,0.1915166676044464,0.26436784863471985,0.2959579825401306,0.3820664584636688,0.2327723354101181,0.235670268535614,0.24557045102119446,0.2305947095155716,0.24767769873142242,0.22867053747177124,0.22883369028568268,0.24772217869758606,0.24292726814746857,0.2375391274690628,0.2285272777080536,0.2261827439069748,0.25251680612564087,0.31543439626693726,0.18423423171043396,0.3200215995311737,0.19374246895313263,0.4315647780895233,0.3225153982639313,0.2686219811439514,0.43306398391723633,0.4328349530696869,0.4352840781211853,0.4346214234828949,0.27822646498680115,0.2753578722476959,0.27388349175453186,0.41986241936683655,0.5945287346839905,0.3425767719745636,0.2135680764913559,0.2631317675113678,0.30713117122650146,0.27158376574516296,0.2519112825393677,0.2821596562862396,0.267957478761673,0.40153881907463074,-0.0014808886917307973,0.04514312744140625,0.03895927220582962,0.08766996115446091,0.5031863451004028,0.16474035382270813,0.6459742784500122,0.3334532380104065,0.489802747964859,0.04860379546880722,0.05201434716582298,0.11301639676094055,0.11261937767267227,0.06654065102338791,0.06451960653066635,0.0677914246916771,0.0705677792429924,0.06771284341812134,0.0634346604347229,0.06660588085651398,0.18054209649562836,0.26844772696495056,0.37803915143013,0.2368822544813156,0.23548638820648193,0.24280160665512085,0.23183774948120117,0.2469794601202011,0.22986941039562225,0.22559499740600586,0.24714170396327972,0.24494637548923492,0.24015915393829346,0.2277471274137497,0.22765201330184937,0.25195977091789246,0.3173407316207886,0.3209438621997833,0.18897318840026855,0.4323817193508148,0.4324847459793091,0.43284255266189575,0.43542271852493286,0.4338913857936859,0.27775833010673523,0.27726516127586365,0.27460777759552,0.3442966341972351,0.21142329275608063,0.2632037401199341,0.30430418252944946,0.2711341381072998,0.25334155559539795,0.27897682785987854,0.26897820830345154,0.3995155692100525
lapgyn4_surgical_actions,0.0005685756914317608,0.0,-0.0022997830528765917,0.023774247616529465,0.1665259599685669,0.06457862257957458,0.5050921440124512,0.14383353292942047,0.14758987724781036,0.6290761828422546,0.040083810687065125,0.04061508923768997,0.3115977644920349,0.3018247187137604,0.46253904700279236,0.5165665149688721,0.05241244286298752,0.05347883701324463,0.09798974543809891,0.09458371251821518,0.03491859883069992,0.036825958639383316,0.03558492287993431,0.03518420457839966,0.03499896824359894,0.0354529544711113,0.0352742075920105,0.12898078560829163,0.14137525856494904,0.17988801002502441,0.2691342830657959,0.31211966276168823,0.3564908802509308,0.20925797522068024,0.20991824567317963,0.2177954763174057,0.20745521783828735,0.21963728964328766,0.20501583814620972,0.2052876353263855,0.22052940726280212,0.21649573743343353,0.2110154777765274,0.20502254366874695,0.20252099633216858,0.22380447387695312,0.2936895191669464,0.1779724359512329,0.2970091998577118,0.19708086550235748,0.4280460774898529,0.2948852777481079,0.23491254448890686,0.42930641770362854,0.42909255623817444,0.4312310218811035,0.43064823746681213,0.2325124889612198,0.23688295483589172,0.2366924285888672,0.37797465920448303,0.5762764811515808,0.29328304529190063,0.1804777830839157,0.22830192744731903,0.2633976936340332,0.2287607491016388,0.21313722431659698,0.24002067744731903,0.25961944460868835,0.3942154347896576,-0.0009266626439057291,0.0018536087591201067,-0.0007514885510317981,0.026119260117411613,0.5016822814941406,0.14220619201660156,0.6254578828811646,0.3169251084327698,0.46094265580177307,0.05062691494822502,0.0504113994538784,0.09991127997636795,0.09370695799589157,0.03644244745373726,0.03442302718758583,0.037291020154953,0.039910826832056046,0.03620854392647743,0.033408522605895996,0.036246802657842636,0.14455348253250122,0.2731189727783203,0.3527405560016632,0.21276165544986725,0.20927304029464722,0.2149575650691986,0.20836152136325836,0.21913370490074158,0.20598924160003662,0.2027183473110199,0.2200087457895279,0.21785876154899597,0.2139144092798233,0.2043474316596985,0.20319682359695435,0.22328467667102814,0.2949029505252838,0.2982885539531708,0.19224226474761963,0.42856886982917786,0.42880818247795105,0.42893123626708984,0.43148481845855713,0.43022602796554565,0.23211237788200378,0.23839394748210907,0.23702029883861542,0.29493391513824463,0.17816057801246643,0.22726237773895264,0.2609899640083313,0.22882935404777527,0.2147950381040573,0.23780910670757294,0.26051053404808044,0.3921583890914917
lapgyn4_instrument_count,0.015984123572707176,0.017885634675621986,0.0,0.0298696830868721,0.16658364236354828,0.06795178353786469,0.48515018820762634,0.15672647953033447,0.1490950733423233,0.5932759642601013,0.04205844923853874,0.04211079329252243,0.2983212471008301,0.285905659198761,0.44960370659828186,0.5017300844192505,0.061768852174282074,0.061161551624536514,0.11522414535284042,0.11579862236976624,0.035724494606256485,0.03765428066253662,0.03642348572611809,0.035892948508262634,0.035978108644485474,0.036390263587236404,0.03613016754388809,0.14209528267383575,0.16337375342845917,0.20761293172836304,0.26745909452438354,0.3205428421497345,0.37706711888313293,0.22872531414031982,0.23156064748764038,0.24107211828231812,0.22693125903606415,0.24307286739349365,0.22474540770053864,0.224954754114151,0.2434941530227661,0.23886393010616302,0.23283490538597107,0.2237236201763153,0.22271333634853363,0.24776192009449005,0.31105154752731323,0.19104088842868805,0.31538835167884827,0.21681751310825348,0.4038282036781311,0.320475310087204,0.25055819749832153,0.40505096316337585,0.40479859709739685,0.4068894386291504,0.40630072355270386,0.2286691665649414,0.23717491328716278,0.23746192455291748,0.4141945242881775,0.5452533960342407,0.2942715585231781,0.18481490015983582,0.2195570021867752,0.26852187514305115,0.22207102179527283,0.21200592815876007,0.23370718955993652,0.2762700319290161,0.3702009320259094,0.014342348091304302,0.016951609402894974,0.002465843688696623,0.032955411821603775,0.4820792078971863,0.15525875985622406,0.5899432301521301,0.30320075154304504,0.4474419951438904,0.059969544410705566,0.057943690568208694,0.11723484098911285,0.11476443707942963,0.03727634623646736,0.03525148332118988,0.038421206176280975,0.04032987728714943,0.03699140623211861,0.03428899124264717,0.03640765696763992,0.16713976860046387,0.2714293301105499,0.373186320066452,0.23300139605998993,0.23111461102962494,0.23790130019187927,0.22804057598114014,0.24218769371509552,0.2257629781961441,0.22207428514957428,0.2429213970899582,0.24101145565509796,0.23606379330158234,0.22280436754226685,0.22388245165348053,0.24712304770946503,0.31271234154701233,0.3168390095233917,0.2124900370836258,0.40452662110328674,0.40440836548805237,0.404886931180954,0.4072072505950928,0.4059368073940277,0.22848106920719147,0.2384297251701355,0.23801514506340027,0.29551461338996887,0.18215890228748322,0.21862396597862244,0.26613864302635193,0.22190068662166595,0.21315306425094604,0.23108212649822235,0.2771533131599426,0.36873817443847656
lapgyn4_anatomical_actions,0.019094156101346016,0.005679881200194359,-0.009068291634321213,0.0,0.20215393602848053,0.08782785385847092,0.5059347152709961,0.18038031458854675,0.15565171837806702,0.6095142960548401,0.047448012977838516,0.04801846668124199,0.3077583909034729,0.2968734800815582,0.4604921042919159,0.511766254901886,0.08961763978004456,0.08675643056631088,0.13375630974769592,0.13132759928703308,0.046280574053525925,0.04854198172688484,0.046836599707603455,0.046493690460920334,0.046405792236328125,0.04692810773849487,0.04656602069735527,0.1615452915430069,0.1702377051115036,0.21655255556106567,0.29982006549835205,0.3595855236053467,0.3993888199329376,0.23719057440757751,0.23892775177955627,0.24683178961277008,0.23608656227588654,0.24883954226970673,0.23322349786758423,0.23414009809494019,0.24973106384277344,0.24488244950771332,0.23952814936637878,0.23287737369537354,0.22910261154174805,0.2524479627609253,0.32279646396636963,0.2209312915802002,0.32672956585884094,0.24526739120483398,0.47440358996391296,0.32591402530670166,0.27128419280052185,0.4757426977157593,0.4755589962005615,0.4776008725166321,0.4771447479724884,0.2562996745109558,0.26781684160232544,0.2685646116733551,0.39988911151885986,0.6206227540969849,0.31861990690231323,0.20255760848522186,0.2426294982433319,0.2866615951061249,0.24424169957637787,0.22809556126594543,0.25946277379989624,0.2967178225517273,0.43846210837364197,0.017325785011053085,0.005074558313935995,-0.006997331976890564,0.0023028161376714706,0.5029321312904358,0.17879150807857513,0.6062448620796204,0.31324800848960876,0.45828601717948914,0.0875365287065506,0.08343735337257385,0.1356857568025589,0.13034747540950775,0.04859766364097595,0.045765504240989685,0.049139056354761124,0.051641300320625305,0.046640653163194656,0.04466620832681656,0.047520626336336136,0.1734870821237564,0.3038874566555023,0.39602363109588623,0.2406856268644333,0.23827548325061798,0.24389737844467163,0.2369847297668457,0.24788722395896912,0.23411248624324799,0.2313588261604309,0.24905820190906525,0.24622049927711487,0.2426854968070984,0.23238855600357056,0.2296428084373474,0.2519456148147583,0.32429030537605286,0.3281473219394684,0.24119910597801208,0.47482433915138245,0.4753442406654358,0.4754023253917694,0.4778956472873688,0.4768171012401581,0.25606441497802734,0.26923447847366333,0.2687072455883026,0.32019123435020447,0.19968803226947784,0.24117030203342438,0.28427860140800476,0.24452745914459229,0.22982193529605865,0.25708523392677307,0.2976095974445343,0.43672168254852295
sklin2_skin_lesions,0.2514294385910034,0.30510926246643066,0.2706933915615082,0.3488570749759674,0.0,0.1077767163515091,0.5705291032791138,0.2742914855480194,0.20781829953193665,0.831299901008606,0.10978888720273972,0.10506303608417511,0.4776734709739685,0.46024295687675476,0.6650009155273438,0.6883904933929443,0.15750986337661743,0.16450688242912292,0.24761620163917542,0.2662099599838257,0.2394755631685257,0.24147410690784454,0.24111613631248474,0.2401876002550125,0.24059584736824036,0.24113108217716217,0.24046269059181213,0.0298154354095459,0.28333935141563416,0.17499679327011108,0.3052249550819397,0.15126153826713562,0.3801836669445038,0.3130330741405487,0.3161311149597168,0.3266142010688782,0.3096991777420044,0.3283160328865051,0.3074677884578705,0.3056105673313141,0.33083033561706543,0.3298417925834656,0.3165414333343506,0.2984907031059265,0.3098255395889282,0.3349241018295288,0.4578271508216858,0.043120257556438446,0.46378034353256226,0.06195699796080589,0.29091739654541016,0.4653519093990326,0.3213251531124115,0.2934475243091583,0.2923928201198578,0.29374366998672485,0.29404693841934204,0.2740328311920166,0.25964999198913574,0.259893536567688,0.34534740447998047,0.433721661567688,0.3948978781700134,0.2784402370452881,0.31767457723617554,0.3938562870025635,0.33510661125183105,0.3079383969306946,0.31804078817367554,0.29940760135650635,0.24789991974830627,0.2480364292860031,0.3056055009365082,0.27959105372428894,0.35453107953071594,0.5656325817108154,0.271847665309906,0.8288342356681824,0.484781950712204,0.6641155481338501,0.15722937881946564,0.15925639867782593,0.24905160069465637,0.2675859034061432,0.23839522898197174,0.240276038646698,0.24530693888664246,0.24442000687122345,0.24550692737102509,0.2383718341588974,0.2361697256565094,0.2919599711894989,0.3106704354286194,0.37704843282699585,0.319302499294281,0.3188529908657074,0.3229176700115204,0.31261518597602844,0.3237636387348175,0.3077595829963684,0.30105915665626526,0.3296278715133667,0.3325234353542328,0.32022425532341003,0.29819050431251526,0.3135782778263092,0.33594104647636414,0.46027401089668274,0.46534186601638794,0.061182230710983276,0.2918936610221863,0.2914521396160126,0.2942747473716736,0.2937872111797333,0.292987585067749,0.27373969554901123,0.25993862748146057,0.2610602378845215,0.3953772783279419,0.27499353885650635,0.3201718330383301,0.39186128973960876,0.33396077156066895,0.30660486221313477,0.31279313564300537,0.29958921670913696,0.2469295859336853
identify_nbi_infframes,0.26588210463523865,0.3096872866153717,0.3007897734642029,0.37852632999420166,0.29531359672546387,0.0,0.5210425853729248,0.36476680636405945,0.26937583088874817,0.7320073843002319,0.16713841259479523,0.16278532147407532,0.47941797971725464,0.45586544275283813,0.651791512966156,0.6642536520957947,0.2280246466398239,0.2375306785106659,0.3155229985713959,0.3029407262802124,0.28429368138313293,0.2864978313446045,0.28567564487457275,0.2845006287097931,0.2851056754589081,0.28586411476135254,0.28660669922828674,0.23018264770507812,0.31597813963890076,0.24735738337039948,0.3820127844810486,0.39017030596733093,0.5154764652252197,0.3630540072917938,0.3509317636489868,0.3585294783115387,0.361328661441803,0.3570330739021301,0.3557887375354767,0.35534411668777466,0.3597066402435303,0.3666195571422577,0.35295987129211426,0.3540061116218567,0.3482217490673065,0.3624562621116638,0.5010702610015869,0.29015710949897766,0.5114902853965759,0.2508896589279175,0.5496569871902466,0.554712176322937,0.422898530960083,0.549997866153717,0.5508575439453125,0.5529558062553406,0.5526160001754761,0.5009207725524902,0.4886866509914398,0.48730766773223877,0.3516257405281067,0.7040858268737793,0.4648631811141968,0.33156248927116394,0.3711153268814087,0.457788348197937,0.39222267270088196,0.3626813590526581,0.3930700123310089,0.3935818374156952,0.5353843569755554,0.2623675763607025,0.3023212254047394,0.30599528551101685,0.38704580068588257,0.5154867172241211,0.3620471656322479,0.73216712474823,0.4856794774532318,0.6492451429367065,0.2250247597694397,0.23151855170726776,0.31841620802879333,0.3029819130897522,0.2837548553943634,0.2830303907394409,0.2902783453464508,0.29199641942977905,0.290200799703598,0.28452038764953613,0.28204599022865295,0.3233978748321533,0.3887541890144348,0.5096293091773987,0.3660709261894226,0.35406625270843506,0.3569433391094208,0.36683082580566406,0.3516049087047577,0.3540450632572174,0.34983956813812256,0.3591327965259552,0.36816588044166565,0.3557608723640442,0.35614967346191406,0.35130614042282104,0.3644828200340271,0.5037646293640137,0.5124834179878235,0.24755124747753143,0.5501765608787537,0.5504311919212341,0.5500066876411438,0.5528563261032104,0.5526224970817566,0.501500129699707,0.4888417422771454,0.48858433961868286,0.4663580060005188,0.3296952247619629,0.37482500076293945,0.4535995125770569,0.39214515686035156,0.3600388169288635,0.38769054412841797,0.39464572072029114,0.5324991941452026
laryngeal_tissues,0.5675784349441528,0.6094909310340881,0.583925724029541,0.6735348105430603,0.4467301368713379,0.20493417978286743,0.0,0.6526008248329163,0.3740071654319763,0.21630781888961792,0.22696468234062195,0.24410957098007202,0.24274635314941406,0.1925642192363739,0.4396505057811737,0.4394789934158325,0.5292729139328003,0.5255800485610962,0.6176777482032776,0.6144195795059204,0.599021852016449,0.6026623845100403,0.6007863283157349,0.5998485684394836,0.599565327167511,0.6019228100776672,0.6014600992202759,0.35338178277015686,0.608106255531311,0.48956483602523804,0.5170749425888062,0.5505096912384033,0.7374305725097656,0.666344940662384,0.6607932448387146,0.6660969853401184,0.6689718961715698,0.6650100350379944,0.6610616445541382,0.6624387502670288,0.6678774952888489,0.6755617260932922,0.6581824421882629,0.6629608273506165,0.6482108235359192,0.6700441241264343,0.7992441654205322,0.4792112708091736,0.811964213848114,0.3475518226623535,0.8361083269119263,0.9021823406219482,0.7471935153007507,0.8378577828407288,0.8377071619033813,0.8400638699531555,0.8403282165527344,0.7487367391586304,0.7315316796302795,0.732438325881958,0.5656048059463501,1.0417755842208862,0.6630108952522278,0.5943638682365417,0.6304920315742493,0.717848539352417,0.6257862448692322,0.5808817148208618,0.5927424430847168,0.590493381023407,0.8351148366928101,0.5631630420684814,0.6337817311286926,0.5932157635688782,0.6812899112701416,-0.00044662063010036945,0.6488494873046875,0.2209661602973938,0.24405993521213531,0.43514329195022583,0.5280430912971497,0.5186207890510559,0.6216490864753723,0.615656852722168,0.5981297492980957,0.5993263125419617,0.6079089641571045,0.6093469858169556,0.6059917211532593,0.5971316695213318,0.5940777063369751,0.6208566427230835,0.521729052066803,0.7306991815567017,0.6732462644577026,0.6638979911804199,0.6618602275848389,0.6743002533912659,0.6579177975654602,0.6593675017356873,0.6560871005058289,0.6688446402549744,0.6766480803489685,0.6618643999099731,0.6660779714584351,0.6524692177772522,0.6746290326118469,0.8037266135215759,0.811858057975769,0.34497103095054626,0.8376681208610535,0.8368953466415405,0.8371425867080688,0.840106189250946,0.840376079082489,0.7489877939224243,0.7315361499786377,0.7361636161804199,0.664100706577301,0.5915951728820801,0.6336635947227478,0.7141798138618469,0.6245457530021667,0.578371524810791,0.5887948274612427,0.5920838117599487,0.8325269222259521
nerthus_bowel_cleansing_quality,0.10951288044452667,0.13962000608444214,0.1277579516172409,0.19693320989608765,0.13212363421916962,0.08099086582660675,0.4277941882610321,0.0,0.183778315782547,0.5255590081214905,0.03766331449151039,0.0348685123026371,0.2745436131954193,0.25487497448921204,0.37718653678894043,0.41211551427841187,0.01883409358561039,0.01036902517080307,0.0016811385285109282,0.046109672635793686,0.08612628281116486,0.08688181638717651,0.086688332259655,0.08647703379392624,0.08684252202510834,0.08687702566385269,0.08708284050226212,0.11163617670536041,0.08507923036813736,0.18230000138282776,0.22265946865081787,0.3054288327693939,0.26997706294059753,0.21000169217586517,0.2037154883146286,0.21105584502220154,0.20504704117774963,0.21135936677455902,0.20325013995170593,0.20085856318473816,0.21363845467567444,0.21556608378887177,0.20454537868499756,0.19860731065273285,0.20344986021518707,0.21705110371112823,0.3134845793247223,0.14821423590183258,0.31691697239875793,0.18633419275283813,0.2880885601043701,0.3258649706840515,0.17022810876369476,0.28859469294548035,0.2886062562465668,0.2907070517539978,0.28968867659568787,0.11957477778196335,0.11592347919940948,0.11349283158779144,0.32477429509162903,0.42123422026634216,0.26217323541641235,0.13904207944869995,0.157928004860878,0.24109862744808197,0.1880493462085724,0.16237884759902954,0.1805940568447113,0.3149491548538208,0.24903197586536407,0.10755929350852966,0.14985911548137665,0.13105641305446625,0.19986878335475922,0.42504599690437317,-0.0007852654671296477,0.5214994549751282,0.2777371108531952,0.37651526927948,0.017337512224912643,0.011258694343268871,0.0027230209670960903,0.04560637101531029,0.08540181815624237,0.08675514906644821,0.08957155048847198,0.08989271521568298,0.08953732252120972,0.08579368889331818,0.08457520604133606,0.08891740441322327,0.22663035988807678,0.265656054019928,0.21494060754776,0.20477807521820068,0.20841437578201294,0.20733331143856049,0.2093244194984436,0.203621506690979,0.19829599559307098,0.21313028037548065,0.2183556854724884,0.20806097984313965,0.19805750250816345,0.20465923845767975,0.21757258474826813,0.3144785165786743,0.31837043166160583,0.1817953735589981,0.2890896797180176,0.2876695692539215,0.2881582975387573,0.2909580171108246,0.28903886675834656,0.11943133175373077,0.11697632074356079,0.11296457797288895,0.2628857493400574,0.13572560250759125,0.15872681140899658,0.2387843132019043,0.18691597878932953,0.1617564857006073,0.17618095874786377,0.31568199396133423,0.2467445582151413
stanford_dogs_image_categorization,0.3864583373069763,0.41137799620628357,0.38962915539741516,0.45686042308807373,0.3689174950122833,0.22866447269916534,0.4268428385257721,0.43902814388275146,0.0,0.4936170279979706,0.07676801085472107,0.08941084891557693,0.2362755984067917,0.24309846758842468,0.4557541608810425,0.5183788537979126,0.3549393117427826,0.3547150790691376,0.39831748604774475,0.40303835272789,0.3981461822986603,0.4005718529224396,0.3994521200656891,0.39837580919265747,0.3987511992454529,0.3999847173690796,0.39938727021217346,0.35940873622894287,0.4242708683013916,0.32412463426589966,0.3990821838378906,0.6415834426879883,0.5411211252212524,0.4711139500141144,0.4655553102493286,0.4697069227695465,0.4703159034252167,0.4711340367794037,0.46630823612213135,0.465432345867157,0.4710352420806885,0.473459929227829,0.46474727988243103,0.46727505326271057,0.44969233870506287,0.47355955839157104,0.557856023311615,0.4265483617782593,0.5668862462043762,0.43686023354530334,0.6508996486663818,0.6205489039421082,0.4143247604370117,0.6524068117141724,0.6521356105804443,0.6538094878196716,0.6532008647918701,0.47205832600593567,0.4556454122066498,0.45548921823501587,0.43795090913772583,0.7630639672279358,0.4650541841983795,0.38845306634902954,0.4106009900569916,0.4919731914997101,0.40197646617889404,0.3806755542755127,0.40228480100631714,0.45090359449386597,0.602968156337738,0.3809151351451874,0.42792651057243347,0.3959975242614746,0.462091863155365,0.42397886514663696,0.4371778964996338,0.49245867133140564,0.2412790060043335,0.45476001501083374,0.3520672917366028,0.350455641746521,0.40046587586402893,0.40314576029777527,0.3979658782482147,0.39982083439826965,0.4058651924133301,0.4051247537136078,0.4030170440673828,0.39726659655570984,0.39469313621520996,0.43076449632644653,0.40240341424942017,0.5377140641212463,0.4752771258354187,0.46613600850105286,0.46768125891685486,0.4747714102268219,0.4661521315574646,0.4664376974105835,0.4606677293777466,0.4712758958339691,0.47363582253456116,0.4676666259765625,0.4691874384880066,0.45075011253356934,0.475927472114563,0.5606422424316406,0.5674536228179932,0.434565931558609,0.6520628333091736,0.6516150832176208,0.6515693068504333,0.6540976762771606,0.6533751487731934,0.4718409776687622,0.4578436017036438,0.45624715089797974,0.46569857001304626,0.38458406925201416,0.41101670265197754,0.48906153440475464,0.4010663330554962,0.37944531440734863,0.3976254463195801,0.4506836235523224,0.6012121438980103
svhn,0.5902884602546692,0.5995240807533264,0.5730145573616028,0.6597732901573181,0.4346441626548767,0.22957880795001984,0.16375185549259186,0.5356766581535339,0.34403255581855774,0.0,0.18629303574562073,0.17561203241348267,0.10350949317216873,0.06657183915376663,0.21154436469078064,0.21234863996505737,0.48753616213798523,0.47211822867393494,0.5171813368797302,0.5027259588241577,0.5319327712059021,0.5346820950508118,0.5332265496253967,0.5327285528182983,0.5332775115966797,0.5347462892532349,0.5341901779174805,0.3765435516834259,0.47646892070770264,0.43896833062171936,0.42679834365844727,0.695404052734375,0.640870988368988,0.6103739738464355,0.6125604510307312,0.6205314993858337,0.6143954396247864,0.6220652461051941,0.6084145307540894,0.6095563173294067,0.6183488965034485,0.6211044788360596,0.6096190214157104,0.6080833673477173,0.5909757614135742,0.6242572665214539,0.6687625050544739,0.4699384272098541,0.6764864325523376,0.44275087118148804,0.7011482119560242,0.8172725439071655,0.5266878604888916,0.7022149562835693,0.7021760940551758,0.7045647501945496,0.7040085792541504,0.5797150731086731,0.5621389746665955,0.5644586086273193,0.5944335460662842,0.8456299304962158,0.469696581363678,0.47353020310401917,0.4626329839229584,0.5245479941368103,0.43849819898605347,0.38445988297462463,0.4165799915790558,0.6125261783599854,0.6952055096626282,0.5874068737030029,0.6089807748794556,0.5813201665878296,0.6637592911720276,0.16512325406074524,0.5326530933380127,0.0013258155668154359,0.10059081763029099,0.2098800539970398,0.4866444766521454,0.4666564464569092,0.5184126496315002,0.5055316090583801,0.5309356451034546,0.5324535965919495,0.5409524440765381,0.5391255021095276,0.5374681353569031,0.5323668718338013,0.5256624817848206,0.4878598153591156,0.43188607692718506,0.6351162195205688,0.6175840497016907,0.6147365570068359,0.6140689253807068,0.6167205572128296,0.614659309387207,0.6059905886650085,0.6049298048019409,0.6204724907875061,0.6224241852760315,0.6157857775688171,0.6107836961746216,0.5934535264968872,0.6274276375770569,0.6716251969337463,0.6753063797950745,0.4405113458633423,0.702225387096405,0.7017962336540222,0.701090931892395,0.7042542099952698,0.7046263813972473,0.5789668560028076,0.5626657009124756,0.5661221742630005,0.47047120332717896,0.47022348642349243,0.4628654718399048,0.5218492746353149,0.4372990131378174,0.38219714164733887,0.41534659266471863,0.6130310893058777,0.6930534243583679
