,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.028369398787617683,0.021365271881222725,0.051176004111766815,0.0653151348233223,0.0018362489063292742,0.21065226197242737,0.08209358900785446,0.05471188202500343,0.2781028747558594,0.0018244313541799784,0.003809952409937978,0.12561078369617462,0.11462302505970001,0.2186778485774994,0.24450094997882843,0.016600413247942924,0.019217418506741524,0.05269354581832886,0.05945385619997978,0.03639688715338707,0.03777793049812317,0.03710748255252838,0.036526575684547424,0.03669321909546852,0.036926645785570145,0.03692350164055824,0.048311203718185425,0.08283213526010513,0.07322348654270172,0.10898057371377945,0.1299649477005005,0.18458332121372223,0.112535260617733,0.11318559944629669,0.11769302934408188,0.11171260476112366,0.11848367750644684,0.1104246973991394,0.1105632409453392,0.11851238459348679,0.11728234589099884,0.11379727721214294,0.1101875901222229,0.10650823265314102,0.12073703855276108,0.15368208289146423,0.07085485011339188,0.1574399173259735,0.07297825813293457,0.20542012155056,0.17225544154644012,0.12452143430709839,0.20627975463867188,0.20620879530906677,0.2074199914932251,0.20709258317947388,0.1292860209941864,0.12627144157886505,0.12531611323356628,0.17396171391010284,0.29065248370170593,0.16447821259498596,0.0988260805606842,0.11930523812770844,0.1518690288066864,0.12595300376415253,0.11588519811630249,0.1302592158317566,0.12113004922866821,0.19090202450752258,-0.0014162998413667083,0.028403332456946373,0.02335655316710472,0.05354421213269234,0.20943261682987213,0.08090485632419586,0.27647289633750916,0.128014475107193,0.21762467920780182,0.015040295198559761,0.01736932247877121,0.05411819368600845,0.05883776396512985,0.037035152316093445,0.03604684770107269,0.03873525559902191,0.04016249254345894,0.038510289043188095,0.03561534360051155,0.036497265100479126,0.08603531122207642,0.11109619587659836,0.18257372081279755,0.11465141177177429,0.11334217339754105,0.11622139811515808,0.11306551843881607,0.11716170608997345,0.11074920743703842,0.10832393914461136,0.1182892769575119,0.11815398186445236,0.11499152332544327,0.11036044359207153,0.10754475742578506,0.12094655632972717,0.1551510989665985,0.1576085090637207,0.07053762674331665,0.20590487122535706,0.20586751401424408,0.20631538331508636,0.2074463963508606,0.20666304230690002,0.1289849877357483,0.1272091418504715,0.12543004751205444,0.16500702500343323,0.09760835021734238,0.11959568411111832,0.15019477903842926,0.12562741339206696,0.11610444635152817,0.12821343541145325,0.12163449078798294,0.19011004269123077
lapgyn4_surgical_actions,-0.008170295506715775,0.0,-0.005361518356949091,0.014712970703840256,0.062498390674591064,-0.004348273389041424,0.20847776532173157,0.06481211632490158,0.046075399965047836,0.2657895088195801,-0.011026030406355858,-0.010599098168313503,0.11372953653335571,0.10613575577735901,0.20005212724208832,0.22620192170143127,0.010587885975837708,0.012249402701854706,0.03953337296843529,0.04239986464381218,0.01371076051145792,0.014997510239481926,0.014279494993388653,0.013835483230650425,0.013963623903691769,0.014235459268093109,0.014202630147337914,0.037842802703380585,0.05917280912399292,0.06408120691776276,0.10784048587083817,0.1338326334953308,0.1661754846572876,0.09467902034521103,0.09448874741792679,0.09813402593135834,0.09398438036441803,0.09885957837104797,0.09250431507825851,0.09270966798067093,0.09929290413856506,0.09816695004701614,0.0947708934545517,0.09231367707252502,0.08885619789361954,0.10077071189880371,0.13689735531806946,0.06455374509096146,0.13990692794322968,0.07215221226215363,0.19816169142723083,0.1505914181470871,0.10147219896316528,0.19890637695789337,0.19882634282112122,0.19990381598472595,0.19959098100662231,0.10299661755561829,0.1036766991019249,0.10332053899765015,0.15015064179897308,0.27655962109565735,0.13489939272403717,0.07756396383047104,0.09762919694185257,0.12446191906929016,0.09941456466913223,0.09118406474590302,0.10480707138776779,0.1102668046951294,0.18138761818408966,-0.009470990858972073,-0.0004479208728298545,-0.003656235756352544,0.016694508492946625,0.20707519352436066,0.06375284492969513,0.2640717625617981,0.11614446341991425,0.19907471537590027,0.009376084432005882,0.010279260575771332,0.0407845638692379,0.04198965057730675,0.014391697943210602,0.013389566913247108,0.015795860439538956,0.017164019867777824,0.015126677230000496,0.012992434203624725,0.013787828385829926,0.061699796468019485,0.10983984172344208,0.16428694128990173,0.09648608416318893,0.09442134201526642,0.09660666435956955,0.09509216994047165,0.09774252027273178,0.0927726998925209,0.09084861725568771,0.09904025495052338,0.09872984886169434,0.09608831256628036,0.09245888888835907,0.0894947201013565,0.10093703866004944,0.13800394535064697,0.14027813076972961,0.06963957101106644,0.19852937757968903,0.1985141932964325,0.19886820018291473,0.2000058889389038,0.19932782649993896,0.10274866223335266,0.10445410758256912,0.10326454788446426,0.13542816042900085,0.0762794092297554,0.09736403822898865,0.12299704551696777,0.0993608683347702,0.09159068018198013,0.10323846340179443,0.11074653267860413,0.18052802979946136
lapgyn4_instrument_count,0.002967600943520665,0.012613289058208466,0.0,0.02208683080971241,0.06413236260414124,-0.00018703054229263216,0.20093730092048645,0.07420165091753006,0.04869634285569191,0.2514103353023529,-0.008353385142982006,-0.007925276644527912,0.10994978994131088,0.1010943278670311,0.1949816644191742,0.22043676674365997,0.01808091066777706,0.019126832485198975,0.05086001381278038,0.056031856685876846,0.018710652366280556,0.020037582144141197,0.019306939095258713,0.018793925642967224,0.019048884510993958,0.019303621724247932,0.019237667322158813,0.04532688483595848,0.07289222627878189,0.07893166691064835,0.10846032947301865,0.13871344923973083,0.1780356466770172,0.10686036199331284,0.10770896077156067,0.11205648630857468,0.10617529600858688,0.11286772042512894,0.10482056438922882,0.10500309616327286,0.11307324469089508,0.11166087538003922,0.10802996158599854,0.10419533401727676,0.10132984071969986,0.11500290036201477,0.14760802686214447,0.07236483693122864,0.151140496134758,0.08284182846546173,0.18988141417503357,0.16546446084976196,0.1118212342262268,0.1906120628118515,0.19051256775856018,0.19157326221466064,0.19125278294086456,0.1049521192908287,0.10739878565073013,0.10727060586214066,0.16869859397411346,0.265381783246994,0.13921481370925903,0.08347582817077637,0.09785246849060059,0.130960151553154,0.10059461742639542,0.09467843174934387,0.10628317296504974,0.12042298167943954,0.17389126121997833,0.0015739357331767678,0.010815517976880074,0.0021732794120907784,0.02442849613726139,0.19966642558574677,0.07320497930049896,0.24986444413661957,0.1121576651930809,0.19375739991664886,0.016864309087395668,0.017054902389645576,0.052154697477817535,0.05556836724281311,0.019416097551584244,0.018393483012914658,0.02099425531923771,0.02205301634967327,0.020161829888820648,0.018012912943959236,0.018487105146050453,0.07570722699165344,0.11045336723327637,0.1760988086462021,0.1090318039059639,0.10773811489343643,0.11035731434822083,0.10740656405687332,0.11156442016363144,0.10512673109769821,0.10299229621887207,0.11280785501003265,0.1125774085521698,0.10947497189044952,0.10423360019922256,0.1022045761346817,0.1151198297739029,0.1489444524049759,0.15156126022338867,0.08052840828895569,0.19031834602355957,0.19016407430171967,0.19065433740615845,0.1917034536600113,0.19101014733314514,0.10480161011219025,0.10801428556442261,0.10731713473796844,0.1395849734544754,0.08203312754631042,0.09764658659696579,0.12948456406593323,0.10042891651391983,0.09482952952384949,0.10453345626592636,0.12089426070451736,0.1733173131942749
lapgyn4_anatomical_actions,-0.0029738028533756733,-0.0013588559813797474,-0.012364862486720085,0.0,0.07447217404842377,0.00499750254675746,0.20725379884243011,0.0777440220117569,0.04731348156929016,0.2558036148548126,-0.010803841054439545,-0.010408585891127586,0.10984376072883606,0.10188422352075577,0.19634473323822021,0.22169853746891022,0.024328313767910004,0.024188123643398285,0.05249347537755966,0.055590420961380005,0.014863192103803158,0.016306953504681587,0.01537688635289669,0.014966378919780254,0.015129993669688702,0.015436548739671707,0.01531885378062725,0.04889155551791191,0.06865067780017853,0.07909464836120605,0.12026362121105194,0.15121544897556305,0.18282060325145721,0.10455382615327835,0.10507732629776001,0.10879523307085037,0.1041608601808548,0.10964596271514893,0.10251915454864502,0.10304493457078934,0.11009436845779419,0.10840055346488953,0.10513973981142044,0.10215527564287186,0.0983525887131691,0.11131185293197632,0.14712978899478912,0.08030892163515091,0.1503659337759018,0.09120523929595947,0.2152065634727478,0.16079919040203094,0.1144469827413559,0.2160032093524933,0.21590209007263184,0.21693602204322815,0.21667683124542236,0.11075539886951447,0.11481356620788574,0.11490582674741745,0.15895169973373413,0.29244765639305115,0.14286814630031586,0.0851670354604721,0.10202901065349579,0.13169622421264648,0.1036115512251854,0.0950755774974823,0.11088653653860092,0.12313273549079895,0.197667196393013,-0.0043427119962871075,-0.0028794975951313972,-0.01042078621685505,0.002003626897931099,0.2060076892375946,0.07672274112701416,0.25431665778160095,0.1123039647936821,0.19507193565368652,0.023045744746923447,0.022095605731010437,0.05374804139137268,0.0551539845764637,0.01590089313685894,0.014563805423676968,0.017161903902888298,0.018442148342728615,0.01582684926688671,0.014111649245023727,0.014901729300618172,0.0711820125579834,0.12226597964763641,0.18111631274223328,0.1063903421163559,0.10499583929777145,0.10716699063777924,0.10521862655878067,0.1083674281835556,0.10278569906949997,0.1011292114853859,0.10977842658758163,0.10895596444606781,0.10657477378845215,0.10233711451292038,0.098909392952919,0.11145569384098053,0.14835256338119507,0.15079614520072937,0.08897364139556885,0.21553024649620056,0.21563252806663513,0.21596106886863708,0.2170630246400833,0.21646477282047272,0.11055175960063934,0.11549430340528488,0.1147737205028534,0.14335232973098755,0.08361391723155975,0.10155150294303894,0.13025769591331482,0.1036791205406189,0.0955161303281784,0.10928154736757278,0.12361625581979752,0.19694359600543976
sklin2_skin_lesions,0.12426333129405975,0.1555843949317932,0.1372954249382019,0.18074481189250946,0.0,0.029604339972138405,0.24171088635921478,0.14171621203422546,0.08492735028266907,0.3581768274307251,0.029546421021223068,0.029052328318357468,0.19371958076953888,0.18288186192512512,0.2897714376449585,0.3036869466304779,0.07514277845621109,0.08073791861534119,0.1245475485920906,0.13879425823688507,0.12660308182239532,0.12797386944293976,0.12765266001224518,0.12693168222904205,0.12730665504932404,0.12760861217975616,0.12740707397460938,0.004300439264625311,0.1411987543106079,0.07306868582963943,0.1308411806821823,0.075848288834095,0.1919105499982834,0.15736719965934753,0.15837901830673218,0.163241446018219,0.1560719758272171,0.16401644051074982,0.15466897189617157,0.15395113825798035,0.16501407325267792,0.16519051790237427,0.1583128124475479,0.15069325268268585,0.15307490527629852,0.16699102520942688,0.22408437728881836,0.01584266684949398,0.22851711511611938,0.019992167130112648,0.15338702499866486,0.24317726492881775,0.155493825674057,0.15461669862270355,0.15428785979747772,0.15499931573867798,0.1551184505224228,0.13688240945339203,0.12916135787963867,0.12912924587726593,0.14278820157051086,0.22953283786773682,0.20106859505176544,0.13809002935886383,0.15542761981487274,0.20260144770145416,0.1659599393606186,0.15392142534255981,0.15905633568763733,0.1431501805782318,0.13527260720729828,0.12213340401649475,0.15459097921848297,0.1421148031949997,0.1838657557964325,0.23964282870292664,0.14029471576213837,0.356883704662323,0.19681312143802643,0.2890913486480713,0.07446347177028656,0.07776454836130142,0.12560521066188812,0.13937506079673767,0.12619291245937347,0.12689927220344543,0.13020193576812744,0.1302713304758072,0.13011980056762695,0.12613002955913544,0.12468711286783218,0.146186962723732,0.1336597204208374,0.1902666687965393,0.16036613285541534,0.15967553853988647,0.16135945916175842,0.15812161564826965,0.1610499918460846,0.15455514192581177,0.15110863745212555,0.16434921324253082,0.1663917750120163,0.15993596613407135,0.1510101854801178,0.15512879192829132,0.16787822544574738,0.22584034502506256,0.22894488275051117,0.019487449899315834,0.15390945971012115,0.15370555222034454,0.15504008531570435,0.1549144983291626,0.15454494953155518,0.13666976988315582,0.12950767576694489,0.12931330502033234,0.20118673145771027,0.13629963994026184,0.15661205351352692,0.20114606618881226,0.16536979377269745,0.15307831764221191,0.1560945063829422,0.14323768019676208,0.1349543184041977
identify_nbi_infframes,0.16979075968265533,0.19878388941287994,0.18815146386623383,0.23170718550682068,0.1598033905029297,0.0,0.23392458260059357,0.217647522687912,0.1304343193769455,0.33077818155288696,0.07689114660024643,0.07686217129230499,0.21593759953975677,0.20236501097679138,0.30426862835884094,0.3131956458091736,0.14127516746520996,0.14723369479179382,0.18954740464687347,0.19484451413154602,0.1844937950372696,0.18613450229167938,0.18549081683158875,0.1846218854188919,0.18519704043865204,0.1855483502149582,0.1859649419784546,0.1211746409535408,0.188910111784935,0.13198208808898926,0.18778744339942932,0.2123861312866211,0.2803741991519928,0.21402285993099213,0.20841558277606964,0.21134869754314423,0.21360795199871063,0.21065013110637665,0.21076425909996033,0.21071836352348328,0.211530864238739,0.21552041172981262,0.20862148702144623,0.2101038545370102,0.20336608588695526,0.21271386742591858,0.2752474248409271,0.15090079605579376,0.2822866141796112,0.13299377262592316,0.29301804304122925,0.31752583384513855,0.22925516963005066,0.2934054434299469,0.2937657833099365,0.2947985827922821,0.29468435049057007,0.2639218866825104,0.2565319836139679,0.2557947039604187,0.16936644911766052,0.372761994600296,0.2597200870513916,0.19447265565395355,0.20671577751636505,0.2647545635700226,0.21763187646865845,0.20553092658519745,0.21915927529335022,0.21446944773197174,0.28645753860473633,0.16745918989181519,0.19369420409202576,0.19187213480472565,0.2361891269683838,0.2314506471157074,0.21589994430541992,0.3309478163719177,0.21862979233264923,0.3028976321220398,0.13942241668701172,0.14382034540176392,0.19129300117492676,0.19491201639175415,0.1842913031578064,0.18390291929244995,0.18850858509540558,0.18957196176052094,0.1881890743970871,0.18458138406276703,0.18276621401309967,0.19370700418949127,0.1912306249141693,0.27770859003067017,0.2156345099210739,0.20990042388439178,0.21023114025592804,0.2169712781906128,0.20706810057163239,0.20982342958450317,0.20745110511779785,0.211388498544693,0.21597695350646973,0.20980773866176605,0.21167707443237305,0.20517884194850922,0.2142176628112793,0.27737510204315186,0.2824062705039978,0.13148275017738342,0.29328447580337524,0.29349109530448914,0.2933981120586395,0.29473912715911865,0.2945939898490906,0.26415008306503296,0.2567281424999237,0.25607600808143616,0.26004770398139954,0.19323234260082245,0.20834118127822876,0.262429803609848,0.21746394038200378,0.2039879858493805,0.21612395346164703,0.21497774124145508,0.28551211953163147
laryngeal_tissues,0.29522979259490967,0.3219260573387146,0.3054179251194,0.35415419936180115,0.23027737438678741,0.09592805057764053,0.0,0.3316642642021179,0.16943278908729553,0.11247482150793076,0.09252310544252396,0.10290420055389404,0.11616858094930649,0.09106195718050003,0.20862799882888794,0.2141965627670288,0.26731443405151367,0.2677566409111023,0.31108468770980835,0.3204059600830078,0.3132312297821045,0.31538712978363037,0.3143828809261322,0.31359967589378357,0.31383463740348816,0.31476110219955444,0.3147580921649933,0.1778196394443512,0.30748388171195984,0.23669810593128204,0.2348337173461914,0.2883269488811493,0.37149718403816223,0.3415966331958771,0.33893314003944397,0.341219037771225,0.342623233795166,0.3408482074737549,0.33894315361976624,0.3395361006259918,0.34183207154273987,0.34560519456863403,0.33744439482688904,0.3393581509590149,0.3292025625705719,0.3429110050201416,0.4059866666793823,0.2394585907459259,0.41380980610847473,0.18051712214946747,0.4180926978588104,0.465990275144577,0.35331010818481445,0.41911792755126953,0.4189567565917969,0.4201560914516449,0.42027223110198975,0.3679581582546234,0.3580643832683563,0.3582725524902344,0.26515763998031616,0.5178526043891907,0.3506543040275574,0.30543336272239685,0.3206956386566162,0.373905211687088,0.3205026686191559,0.29796862602233887,0.3095698654651642,0.2983647584915161,0.41879841685295105,0.2926640808582306,0.32985490560531616,0.31063345074653625,0.3582773506641388,-0.00042729187407530844,0.32949066162109375,0.11473493278026581,0.11680275201797485,0.20644506812095642,0.26600658893585205,0.2641197741031647,0.3130926489830017,0.32110095024108887,0.31288614869117737,0.3133935034275055,0.31838294863700867,0.3192763030529022,0.31739047169685364,0.31253600120544434,0.3106752634048462,0.31432050466537476,0.23728927969932556,0.3685261905193329,0.344678670167923,0.3402442932128906,0.33889511227607727,0.3456794321537018,0.3368162512779236,0.3382115364074707,0.33598461747169495,0.3421364426612854,0.34594613313674927,0.3391037881374359,0.34115272760391235,0.33117803931236267,0.34521058201789856,0.4088955819606781,0.413600891828537,0.17930780351161957,0.41883206367492676,0.41857925057411194,0.4187338948249817,0.42012956738471985,0.42015671730041504,0.36803582310676575,0.3581897020339966,0.3595316708087921,0.35079777240753174,0.3037082552909851,0.32208678126335144,0.37170618772506714,0.3200402855873108,0.29688751697540283,0.30695363879203796,0.2989579439163208,0.41788250207901
nerthus_bowel_cleansing_quality,0.043925631791353226,0.06393266469240189,0.055115822702646255,0.09360647946596146,0.04675555229187012,0.0065802596509456635,0.1778058409690857,0.0,0.06269260495901108,0.21794095635414124,-0.013416128233075142,-0.01398054976016283,0.09605588763952255,0.08439953625202179,0.16015557944774628,0.17884419858455658,-0.004905229434370995,-0.00794756505638361,-0.004652710165828466,0.0211106576025486,0.0382947102189064,0.0390281081199646,0.03875384107232094,0.03844922035932541,0.03879375755786896,0.03886245936155319,0.03903068229556084,0.02903483435511589,0.03434653952717781,0.06503751873970032,0.08867346495389938,0.13473445177078247,0.12604135274887085,0.0925857424736023,0.08890218287706375,0.09232618659734726,0.09054519236087799,0.09226066619157791,0.0892222449183464,0.08823040872812271,0.0933656096458435,0.09511399269104004,0.08915684372186661,0.0873141661286354,0.08688124269247055,0.0949811190366745,0.14558066427707672,0.050849709659814835,0.1486188918352127,0.06765125691890717,0.13600806891918182,0.16311895847320557,0.07277271151542664,0.13638092577457428,0.1363537311553955,0.13746321201324463,0.13698513805866241,0.05129190534353256,0.04796254634857178,0.04666071757674217,0.1256948709487915,0.20759107172489166,0.1217377632856369,0.056950051337480545,0.0651388168334961,0.11527162045240402,0.08098744601011276,0.06917501240968704,0.07761736214160919,0.13724450767040253,0.11785512417554855,0.042489442974328995,0.06712932884693146,0.05750557407736778,0.095537468791008,0.17670120298862457,-0.0007507767295464873,0.21586965024471283,0.09758243709802628,0.15961746871471405,-0.00599654670804739,-0.008122412487864494,-0.00375498179346323,0.020880077034235,0.03793048858642578,0.03844616562128067,0.040748920291662216,0.04120306670665741,0.040601544082164764,0.03809848427772522,0.037086259573698044,0.0371352881193161,0.0907830148935318,0.12396840751171112,0.09498950093984604,0.08958999812602997,0.09090310335159302,0.09236234426498413,0.09049768000841141,0.08919738978147507,0.08634476363658905,0.09305175393819809,0.09631134569644928,0.0907735750079155,0.08751078695058823,0.08776579797267914,0.09562673419713974,0.1465698480606079,0.14908915758132935,0.06536541134119034,0.13657905161380768,0.13583944737911224,0.1361919343471527,0.13754326105117798,0.13660255074501038,0.05124831944704056,0.04868820682168007,0.04620776325464249,0.12197048962116241,0.05519280582666397,0.06564579904079437,0.11384082585573196,0.0803915336728096,0.06865822523832321,0.07510578632354736,0.1376938670873642,0.11685830354690552
stanford_dogs_image_categorization,0.1964322030544281,0.21568724513053894,0.20212548971176147,0.23946399986743927,0.17746217548847198,0.0972668007016182,0.19356031715869904,0.22788433730602264,0.0,0.2275657206773758,0.025890091434121132,0.033352483063936234,0.1045042872428894,0.10486961156129837,0.21360135078430176,0.2422753870487213,0.17612743377685547,0.17781294882297516,0.2045930176973343,0.21241816878318787,0.208674356341362,0.210231214761734,0.20955593883991241,0.20883354544639587,0.20915503799915314,0.20975741744041443,0.2095823734998703,0.1620515137910843,0.21691493690013885,0.15161997079849243,0.18583284318447113,0.297373503446579,0.27078771591186523,0.2408509999513626,0.23819120228290558,0.24026484787464142,0.24069102108478546,0.24075159430503845,0.23851709067821503,0.23830771446228027,0.24071702361106873,0.2425335794687271,0.23763039708137512,0.2389572262763977,0.22921642661094666,0.24202266335487366,0.28319251537323,0.19623024761676788,0.28909873962402344,0.2003576010465622,0.3153415322303772,0.32352980971336365,0.21209761500358582,0.31615298986434937,0.31606176495552063,0.31691649556159973,0.31667181849479675,0.23966200649738312,0.2311396598815918,0.23091170191764832,0.19951516389846802,0.3765464723110199,0.24549303948879242,0.20226585865020752,0.20962558686733246,0.26064392924308777,0.20846280455589294,0.19989636540412903,0.20985464751720428,0.22158044576644897,0.29667752981185913,0.19341133534908295,0.22004616260528564,0.20593170821666718,0.24256113171577454,0.1922711879014969,0.22662843763828278,0.22702255845069885,0.10675473511219025,0.21282625198364258,0.1744876503944397,0.17530876398086548,0.20588134229183197,0.21245735883712769,0.20865555107593536,0.2092723250389099,0.21299485862255096,0.21305164694786072,0.21164467930793762,0.20836515724658966,0.20676274597644806,0.22096818685531616,0.1877235472202301,0.2691982388496399,0.2430029958486557,0.2386282980442047,0.23920689523220062,0.24335311353206635,0.23770654201507568,0.23847126960754395,0.23541447520256042,0.24080978333950043,0.24264644086360931,0.23887862265110016,0.24010631442070007,0.2300100326538086,0.24352501332759857,0.28508347272872925,0.2891591489315033,0.19917799532413483,0.3158702850341797,0.3157603144645691,0.31583407521247864,0.3169933557510376,0.31663480401039124,0.23952749371528625,0.23218534886837006,0.230956569314003,0.2455756664276123,0.20027853548526764,0.20999860763549805,0.2588741183280945,0.20803098380565643,0.19908407330513,0.20712949335575104,0.22156184911727905,0.29611146450042725
svhn,0.2936151623725891,0.3060082197189331,0.28963011503219604,0.3350771367549896,0.22041982412338257,0.10517368465662003,0.06304768472909927,0.2785421907901764,0.1516004502773285,0.0,0.06941132247447968,0.0696120336651802,0.04314620420336723,0.023399177938699722,0.09445483237504959,0.09882670640945435,0.2437087893486023,0.23913569748401642,0.26491302251815796,0.2686750888824463,0.2768455445766449,0.27861589193344116,0.27769792079925537,0.27719011902809143,0.2776540517807007,0.27827855944633484,0.27824321389198303,0.1842392534017563,0.25031670928001404,0.21484963595867157,0.19213911890983582,0.3407532572746277,0.32222676277160645,0.30970197916030884,0.30958834290504456,0.3129429519176483,0.31138551235198975,0.3134123384952545,0.3083023428916931,0.308921217918396,0.31195375323295593,0.3140842616558075,0.3080545961856842,0.3082726001739502,0.29762139916419983,0.3144758641719818,0.3433583974838257,0.2312764823436737,0.34901654720306396,0.21641600131988525,0.35646337270736694,0.42013081908226013,0.26191362738609314,0.35714834928512573,0.3570615351200104,0.35822793841362,0.3580116927623749,0.28952479362487793,0.27999451756477356,0.280809611082077,0.27437877655029297,0.4292556941509247,0.26337671279907227,0.249298557639122,0.24494391679763794,0.2882706820964813,0.2379242181777954,0.2126479595899582,0.2308228462934494,0.3021495044231415,0.3541405200958252,0.29175084829330444,0.3091583847999573,0.2942500114440918,0.33759626746177673,0.06352504342794418,0.27672865986824036,0.0011356419418007135,0.04211663082242012,0.09335066378116608,0.2427859753370285,0.23614919185638428,0.2659043073654175,0.2698644697666168,0.27640196681022644,0.27705639600753784,0.2818789780139923,0.28144094347953796,0.28029051423072815,0.2770026922225952,0.2738213837146759,0.25651225447654724,0.19459715485572815,0.31965067982673645,0.31294769048690796,0.3106969892978668,0.30991220474243164,0.31341472268104553,0.30936479568481445,0.3073137402534485,0.3060479462146759,0.31284162402153015,0.3145431876182556,0.3107139766216278,0.30997228622436523,0.29901331663131714,0.3162707984447479,0.3454661965370178,0.3483774662017822,0.2152749001979828,0.3570028245449066,0.3568817377090454,0.3566247820854187,0.3580353260040283,0.35813549160957336,0.2892187237739563,0.28013181686401367,0.28137949109077454,0.2634587287902832,0.24749737977981567,0.24533285200595856,0.28652873635292053,0.2374354898929596,0.211621955037117,0.2292506992816925,0.30235177278518677,0.3533965051174164
