,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.028873706236481667,0.02176261693239212,0.052423037588596344,0.05882422998547554,-0.012325124815106392,0.12883999943733215,0.08560008555650711,0.045134034007787704,0.21048331260681152,-0.0023376955650746822,0.0007891173590905964,0.11589240282773972,0.10161247849464417,0.16641652584075928,0.18389827013015747,0.01628606580197811,0.01926298253238201,0.05435357242822647,0.06277782469987869,0.03774331510066986,0.03918404132127762,0.038484156131744385,0.03787149488925934,0.038046155124902725,0.03828534111380577,0.03828054293990135,0.038998618721961975,0.08540958911180496,0.06616004556417465,0.08519323170185089,0.10654695332050323,0.17590638995170593,0.11677412688732147,0.11694471538066864,0.12109964340925217,0.11604459583759308,0.12163768708705902,0.11460216343402863,0.11483345925807953,0.12163203209638596,0.12113435566425323,0.11730165034532547,0.11447727680206299,0.10949228703975677,0.12366098165512085,0.15545472502708435,0.0595429427921772,0.16056357324123383,0.053065743297338486,0.18859511613845825,0.18078511953353882,0.12766322493553162,0.18932950496673584,0.18951064348220825,0.19061946868896484,0.19034311175346375,0.12975765764713287,0.127030149102211,0.1260155439376831,0.14073966443538666,0.2699190676212311,0.167214497923851,0.10193096846342087,0.11702624708414078,0.15866389870643616,0.1260584443807602,0.11709895730018616,0.1314963549375534,0.11228074133396149,0.18303027749061584,,0.028952373191714287,0.02377963438630104,0.05492955073714256,0.12792843580245972,0.08431395888328552,0.21084322035312653,0.11788196861743927,0.16514453291893005,0.014654268510639668,0.01736232452094555,0.055877577513456345,0.06208328157663345,0.0384407602250576,0.03734457865357399,0.0401572547852993,0.041656244546175,0.039925288408994675,0.036896463483572006,0.03788420185446739,0.08899404108524323,0.08730395883321762,0.17399661242961884,0.11892969161272049,0.11725029349327087,0.11958644539117813,0.11779489368200302,0.11990255862474442,0.114830382168293,0.11224556714296341,0.12152431160211563,0.12190292030572891,0.11838352680206299,0.11489439010620117,0.11085845530033112,0.1240905150771141,0.15736950933933258,0.1605474203824997,0.051204219460487366,0.18893173336982727,0.18910862505435944,0.18947239220142365,0.1905698925256729,0.18979451060295105,0.12962907552719116,0.12798777222633362,0.12594223022460938,0.16755850613117218,0.10073869675397873,0.11753140389919281,0.15672224760055542,0.12569907307624817,0.11702799797058105,0.12914185225963593,0.11279623210430145,0.1826620250940323
lapgyn4_surgical_actions,-0.008622395806014538,0.0,-0.005425561219453812,0.01469060406088829,0.05094197392463684,-0.021192166954278946,0.11485772579908371,0.06471607089042664,0.0320432223379612,0.18450619280338287,-0.017445208504796028,-0.015878278762102127,0.09542971104383469,0.08445892482995987,0.13886572420597076,0.1556047946214676,0.008268683217465878,0.010411135852336884,0.03866703435778618,0.043419431895017624,0.013839171268045902,0.015154157765209675,0.014425309374928474,0.013958252035081387,0.014105470851063728,0.014377652667462826,0.014347758144140244,0.024822494015097618,0.057876426726579666,0.05198881775140762,0.07624462991952896,0.10107693076133728,0.14958803355693817,0.09379787743091583,0.0930611789226532,0.09616194665431976,0.09325020015239716,0.09659545123577118,0.09164638072252274,0.09194053709506989,0.09698724746704102,0.09670484811067581,0.0930517166852951,0.09155818819999695,0.086768738925457,0.09818719327449799,0.13185925781726837,0.048210013657808304,0.13617916405200958,0.04618609696626663,0.1711629033088684,0.15277601778507233,0.09858235716819763,0.17177021503448486,0.17194826900959015,0.1728920042514801,0.17263634502887726,0.0977693423628807,0.0985473096370697,0.09813142567873001,0.10948363691568375,0.24331091344356537,0.1304972618818283,0.07588014751672745,0.08983108401298523,0.12461928278207779,0.09386441111564636,0.08694800734519958,0.10001862794160843,0.09469520300626755,0.16422022879123688,-0.00994233600795269,,-0.0037067432422190905,0.0167011059820652,0.11389967799186707,0.06358783692121506,0.1848042607307434,0.09731299430131912,0.13766886293888092,0.006985094863921404,0.008421175181865692,0.03999033197760582,0.042966578155756,0.014540317468345165,0.013486247509717941,0.01597924530506134,0.01736057735979557,0.015294045209884644,0.013098343275487423,0.013896267861127853,0.06071228161454201,0.07815831899642944,0.14787061512470245,0.09556347876787186,0.09315492957830429,0.09464793652296066,0.09475427120923996,0.09505383670330048,0.09178470820188522,0.08977599442005157,0.09685785323381424,0.09712549299001694,0.09419985860586166,0.09198334068059921,0.0877152606844902,0.09859544783830643,0.13339704275131226,0.1363321840763092,0.044347673654556274,0.1713894009590149,0.17156937718391418,0.17186160385608673,0.17290832102298737,0.17224903404712677,0.09767822921276093,0.09931085258722305,0.09788743406534195,0.13081064820289612,0.07465635240077972,0.08980534970760345,0.12295442074537277,0.09377454966306686,0.08703581988811493,0.09819859266281128,0.0951763242483139,0.16383850574493408
lapgyn4_instrument_count,0.002591831376776099,0.012684688903391361,0.0,0.022169647738337517,0.05446571484208107,-0.015613609924912453,0.11532025784254074,0.07543876767158508,0.03652653843164444,0.18018583953380585,-0.013756533153355122,-0.01216337364166975,0.09566336870193481,0.08368774503469467,0.13951942324638367,0.1563154011964798,0.016441710293293,0.017996111884713173,0.050972774624824524,0.058146510273218155,0.019078141078352928,0.020435715094208717,0.0196885634213686,0.01915835030376911,0.01942475698888302,0.019682198762893677,0.019614577293395996,0.03318190202116966,0.07295898348093033,0.06770452111959457,0.07986292988061905,0.10821011662483215,0.16392365097999573,0.10790571570396423,0.10819699615240097,0.11203683912754059,0.10735709220170975,0.11255476623773575,0.1058577299118042,0.106134794652462,0.1127244234085083,0.1121613159775734,0.10822193324565887,0.10533912479877472,0.10109207779169083,0.11438610404729843,0.1450173705816269,0.05727072060108185,0.14990897476673126,0.05723242089152336,0.1682296097278595,0.17026644945144653,0.11110012978315353,0.1688384711742401,0.16898050904273987,0.1699281632900238,0.16965869069099426,0.10200018435716629,0.10454439371824265,0.10435603559017181,0.1289253830909729,0.23885446786880493,0.13743609189987183,0.08348453789949417,0.09261741489171982,0.1333291232585907,0.09739366173744202,0.09254559874534607,0.10387466102838516,0.10676132887601852,0.16127097606658936,0.0011716963490471244,0.01086597703397274,,0.024541983380913734,0.11440795660018921,0.07436385750770569,0.18052615225315094,0.09741651266813278,0.13814367353916168,0.015142742544412613,0.015889225527644157,0.052356407046318054,0.0576246902346611,0.0198141410946846,0.018734479323029518,0.021408123895525932,0.022489195689558983,0.020552117377519608,0.018350690603256226,0.01885579153895378,0.07611977308988571,0.08179990202188492,0.16213497519493103,0.11006440967321396,0.10838799178600311,0.11032991111278534,0.10900300741195679,0.110811248421669,0.10603852570056915,0.10379178822040558,0.11258631944656372,0.1129409521818161,0.10951375961303711,0.1056557148694992,0.10229355841875076,0.1147494912147522,0.14679935574531555,0.15011757612228394,0.05551641434431076,0.16852478682994843,0.16857753694057465,0.1689850389957428,0.16997599601745605,0.1692950278520584,0.10199426114559174,0.10515914857387543,0.1042233556509018,0.13761766254901886,0.08208537846803665,0.09262198954820633,0.13164325058460236,0.09719937294721603,0.09241596609354019,0.10188663005828857,0.10724212974309921,0.1611064374446869
lapgyn4_anatomical_actions,-0.0039661480113863945,-0.0013377225259318948,-0.012432181276381016,0.0,0.06061367318034172,-0.014765365980565548,0.11357614398002625,0.07789777964353561,0.03261100873351097,0.17746424674987793,-0.01792561076581478,-0.016240157186985016,0.0920402780175209,0.08076772093772888,0.13530147075653076,0.1517697274684906,0.020937396213412285,0.021601364016532898,0.051509201526641846,0.05728917196393013,0.015145044773817062,0.01663285493850708,0.015684450045228004,0.015239435248076916,0.015432566404342651,0.01573982834815979,0.015625765547156334,0.0331406407058239,0.06732014566659927,0.0651480183005333,0.08556316792964935,0.11337677389383316,0.164467453956604,0.1038890928030014,0.1037786677479744,0.10688629001379013,0.10366121679544449,0.10740479826927185,0.10187279433012009,0.10250109434127808,0.10780806839466095,0.1070772260427475,0.10350939631462097,0.10163003951311111,0.09629910439252853,0.10872051864862442,0.1419367492198944,0.06043347716331482,0.14663861691951752,0.05964052677154541,0.185353085398674,0.16375716030597687,0.11146709322929382,0.1860003024339676,0.1861822009086609,0.1870896816253662,0.1868821233510971,0.10525567829608917,0.10932135581970215,0.10932924598455429,0.11656373739242554,0.25678861141204834,0.13843855261802673,0.08356107026338577,0.09400259703397751,0.13228972256183624,0.09794052690267563,0.0908028706908226,0.10601379722356796,0.10544931143522263,0.17882788181304932,-0.005375356413424015,-0.002919676946476102,-0.010476581752300262,,0.11268892139196396,0.0767846405506134,0.17792849242687225,0.09396479278802872,0.13387559354305267,0.019540488719940186,0.019460061565041542,0.05286898463964462,0.056791383773088455,0.016216740012168884,0.014797387644648552,0.01752960868179798,0.018827468156814575,0.016162879765033722,0.014358891174197197,0.015153493732213974,0.07023672759532928,0.08750127255916595,0.1629142165184021,0.10568423569202423,0.10388191044330597,0.10526657104492188,0.10518066585063934,0.10564576089382172,0.10199122130870819,0.10022907704114914,0.10763447731733322,0.10747203230857849,0.10475441813468933,0.1021346002817154,0.09721194207668304,0.10913785547018051,0.14364013075828552,0.1468266248703003,0.05802924185991287,0.185526043176651,0.18583537638187408,0.18609321117401123,0.18712079524993896,0.1865219622850418,0.10522331297397614,0.10999167710542679,0.10898781567811966,0.13869065046310425,0.08207623660564423,0.09378862380981445,0.1306247115135193,0.09796588122844696,0.09090147167444229,0.1041330024600029,0.1059427261352539,0.17861677706241608
sklin2_skin_lesions,0.13244956731796265,0.1714058220386505,0.14933092892169952,0.19802887737751007,0.0,0.019880423322319984,0.17129628360271454,0.15554866194725037,0.08182091265916824,0.30280831456184387,0.02916954830288887,0.030322564765810966,0.1990288347005844,0.18312746286392212,0.24183976650238037,0.25039753317832947,0.07976800203323364,0.08624005317687988,0.13588277995586395,0.15456758439540863,0.13907265663146973,0.14062602818012238,0.1402677446603775,0.13941290974617004,0.13989317417144775,0.14021675288677216,0.1399790197610855,0.0035102199763059616,0.15417571365833282,0.07379543036222458,0.11561049520969391,0.07023418694734573,0.19579537212848663,0.17274096608161926,0.17325939238071442,0.17800943553447723,0.17141681909561157,0.17850959300994873,0.1697675585746765,0.16904832422733307,0.17960214614868164,0.18072210252285004,0.17287388443946838,0.1654176265001297,0.16700398921966553,0.18144388496875763,0.24169836938381195,0.014934007078409195,0.24814864993095398,0.01576792076230049,0.1521001160144806,0.2698249816894531,0.1697593778371811,0.1532692015171051,0.15309172868728638,0.15379051864147186,0.15392392873764038,0.14611656963825226,0.13819900155067444,0.13813941180706024,0.1286260485649109,0.22878748178482056,0.21637065708637238,0.1508256196975708,0.16336581110954285,0.2230011522769928,0.1769545078277588,0.16514720022678375,0.17052015662193298,0.14396095275878906,0.1382828652858734,0.12997858226299286,0.16955776512622833,0.15479865670204163,0.20197534561157227,0.16960470378398895,0.15391282737255096,0.3038212060928345,0.20181302726268768,0.24065172672271729,0.07893556356430054,0.08300794661045074,0.1371288299560547,0.1551719307899475,0.13865616917610168,0.13927365839481354,0.1431780755519867,0.14313851296901703,0.1430669128894806,0.13843591511249542,0.13687826693058014,0.1600140780210495,0.11853226274251938,0.19413213431835175,0.17602834105491638,0.17489735782146454,0.17595426738262177,0.17405839264392853,0.17488433420658112,0.1695370376110077,0.1656506508588791,0.1790478527545929,0.18188747763633728,0.17449896037578583,0.16600948572158813,0.16961932182312012,0.1826360523700714,0.24413026869297028,0.24839022755622864,0.015364398248493671,0.15254339575767517,0.1524772047996521,0.15374058485031128,0.15366414189338684,0.1532706767320633,0.1460554301738739,0.1385510265827179,0.13823291659355164,0.21630340814590454,0.14894509315490723,0.16485020518302917,0.22123350203037262,0.17629025876522064,0.16394206881523132,0.16709430515766144,0.14409291744232178,0.13814054429531097
identify_nbi_infframes,0.18547722697257996,0.2208678424358368,0.2093578726053238,0.2613658010959625,0.1752443164587021,0.0,0.20568831264972687,0.24790464341640472,0.14331786334514618,0.3313232958316803,0.08714504539966583,0.08827849477529526,0.2518613040447235,0.23262865841388702,0.3010275065898895,0.3059898018836975,0.1550058275461197,0.16230949759483337,0.21393029391765594,0.21807165443897247,0.2047124207019806,0.20654532313346863,0.20584511756896973,0.20483256876468658,0.20548129081726074,0.20592252910137177,0.20642510056495667,0.130690798163414,0.21345239877700806,0.14595343172550201,0.1939423382282257,0.21977347135543823,0.3117615580558777,0.24400778114795685,0.23642496764659882,0.23983609676361084,0.24345192313194275,0.23868335783481598,0.23989321291446686,0.23985449969768524,0.23990987241268158,0.24534165859222412,0.2367415428161621,0.23910054564476013,0.23127703368663788,0.24115650355815887,0.31683772802352905,0.16262206435203552,0.32617393136024475,0.13550814986228943,0.32004424929618835,0.3705824911594391,0.26694199442863464,0.32033437490463257,0.3210115134716034,0.32214653491973877,0.32203567028045654,0.30635932087898254,0.2985524535179138,0.2976182997226715,0.17840395867824554,0.4095637798309326,0.29809433221817017,0.2210741490125656,0.2328270673751831,0.3053571581840515,0.2480238378047943,0.23385821282863617,0.2505594491958618,0.23572124540805817,0.3214374780654907,0.18278247117996216,0.21470066905021667,0.21353904902935028,0.2671548128128052,0.203311488032341,0.24585309624671936,0.3333744406700134,0.2547001540660858,0.2991716265678406,0.15280520915985107,0.1583365947008133,0.21604560315608978,0.218073308467865,0.20448654890060425,0.20385299623012543,0.20932623744010925,0.21053768694400787,0.20902492105960846,0.20476245880126953,0.2027984857559204,0.21916036307811737,0.1978451907634735,0.30866754055023193,0.2458796203136444,0.23842273652553558,0.23862971365451813,0.24769377708435059,0.23434118926525116,0.23864829540252686,0.23579752445220947,0.2398008555173874,0.24589091539382935,0.23811101913452148,0.24107718467712402,0.23367972671985626,0.2429862916469574,0.3196052312850952,0.32622388005256653,0.13416120409965515,0.32020100951194763,0.3206579089164734,0.32042253017425537,0.3220098614692688,0.3218050003051758,0.306908518075943,0.298757940530777,0.2978225350379944,0.29845163226127625,0.21977126598358154,0.2350243777036667,0.30239272117614746,0.24784043431282043,0.23181124031543732,0.24679340422153473,0.23634521663188934,0.32061824202537537
laryngeal_tissues,0.36731845140457153,0.4082237780094147,0.38539162278175354,0.4493599534034729,0.275130957365036,0.10657630860805511,0.0,0.428557813167572,0.20791350305080414,0.1225300058722496,0.12085480242967606,0.13519230484962463,0.14490973949432373,0.11253192275762558,0.22900515794754028,0.23148545622825623,0.335093230009079,0.3365595042705536,0.40037229657173157,0.4136265516281128,0.4005796015262604,0.4034387171268463,0.40208765864372253,0.401021808385849,0.4013034999370575,0.4026814103126526,0.40256351232528687,0.20975247025489807,0.3946361839771271,0.2914349436759949,0.2713990807533264,0.32405585050582886,0.45465219020843506,0.43775320053100586,0.4329601228237152,0.43503281474113464,0.43960657715797424,0.4338260889053345,0.4343334436416626,0.43537941575050354,0.43530574440956116,0.44206011295318604,0.43050214648246765,0.43546822667121887,0.4210137724876404,0.43615254759788513,0.5144748091697693,0.28233397006988525,0.5264301896095276,0.19999249279499054,0.5015794634819031,0.6032301783561707,0.466991662979126,0.5026054382324219,0.502862811088562,0.5042703151702881,0.5044664740562439,0.4709073007106781,0.4597478210926056,0.46003803610801697,0.3090818226337433,0.6252813935279846,0.43679049611091614,0.3887355625629425,0.3987533748149872,0.47778746485710144,0.4016236662864685,0.37514758110046387,0.38625624775886536,0.3606073558330536,0.5159950256347656,0.36377352476119995,0.41958147287368774,0.392269492149353,0.45549294352531433,,0.42569151520729065,0.12550288438796997,0.14554375410079956,0.22629569470882416,0.33333584666252136,0.3317241370677948,0.40330275893211365,0.41433602571487427,0.40021902322769165,0.40044891834259033,0.40743640065193176,0.40851470828056335,0.4060131013393402,0.3993024528026581,0.39700159430503845,0.4041425287723541,0.2746381163597107,0.4508287310600281,0.44193235039711,0.4351774752140045,0.43215131759643555,0.44427290558815,0.4280231297016144,0.4330129027366638,0.4302789568901062,0.43608492612838745,0.44232407212257385,0.43242835998535156,0.4383074939250946,0.42439061403274536,0.4396214485168457,0.5187140107154846,0.5258380174636841,0.19890820980072021,0.502265214920044,0.5022973418235779,0.5023028254508972,0.5041437745094299,0.504148542881012,0.4714195728302002,0.4598676860332489,0.46158015727996826,0.43690502643585205,0.38683003187179565,0.4010051190853119,0.47475287318229675,0.4008801579475403,0.3731282353401184,0.382838636636734,0.36149632930755615,0.515345573425293
nerthus_bowel_cleansing_quality,0.04111119359731674,0.064024418592453,0.05400991439819336,0.09345413744449615,0.03732198849320412,-0.011252554133534431,0.09920328110456467,0.0,0.046221163123846054,0.1492714285850525,-0.019793765619397163,-0.01898984983563423,0.07969936728477478,0.06562401354312897,0.10966715961694717,0.12229503691196442,-0.006251852959394455,-0.008800633251667023,-0.004751805681735277,0.02162773720920086,0.03863784670829773,0.03942502290010452,0.03913542255759239,0.038779448717832565,0.039171312004327774,0.03923793137073517,0.03941522538661957,0.01725897192955017,0.03360531106591225,0.05293172225356102,0.06255238503217697,0.10370665043592453,0.11366870999336243,0.09182189404964447,0.08761502057313919,0.09050458669662476,0.08994060009717941,0.09016190469264984,0.08848776668310165,0.08759467303752899,0.09121361374855042,0.0937654972076416,0.08758266270160675,0.08670081198215485,0.08487392961978912,0.09255444258451462,0.14038509130477905,0.03686804324388504,0.14482563734054565,0.04310530051589012,0.11838378012180328,0.16578789055347443,0.07077766954898834,0.11869128048419952,0.1188182607293129,0.11980846524238586,0.11941035091876984,0.048605889081954956,0.04540804401040077,0.04412063956260681,0.09024404734373093,0.18426139652729034,0.11800956726074219,0.0556989461183548,0.05968586727976799,0.1155652180314064,0.07651610672473907,0.06604818999767303,0.0740867480635643,0.11900167912244797,0.10747971385717392,0.03954920917749405,0.06663557142019272,0.05654840171337128,0.09574355185031891,0.0984582006931305,,0.14898498356342316,0.0808364748954773,0.1088569238781929,-0.007384633645415306,-0.009055377915501595,-0.003844811813905835,0.021375514566898346,0.03830331563949585,0.03872334212064743,0.04122026637196541,0.041678689420223236,0.041044820100069046,0.03839976340532303,0.037369485944509506,0.03657986968755722,0.06455843895673752,0.11179634928703308,0.09417963773012161,0.08845382183790207,0.08909197896718979,0.09215786308050156,0.08799751847982407,0.08833379298448563,0.08540289849042892,0.09102083742618561,0.09480885416269302,0.08902772516012192,0.087173692882061,0.08607158064842224,0.09343036264181137,0.1418391615152359,0.145063117146492,0.04146931692957878,0.11882413178682327,0.11831194162368774,0.11858845502138138,0.11982328444719315,0.1189638078212738,0.048646487295627594,0.04613037034869194,0.043582502752542496,0.1180676817893982,0.05399997904896736,0.060315389186143875,0.1139526218175888,0.07591686397790909,0.06532644480466843,0.07143287360668182,0.11947465687990189,0.10681849718093872
stanford_dogs_image_categorization,0.2131814807653427,0.24089251458644867,0.22343260049819946,0.2669113874435425,0.18218445777893066,0.0847925916314125,0.14923149347305298,0.2549070417881012,0.0,0.20297150313854218,0.026967396959662437,0.03570273891091347,0.11025550216436386,0.10846579819917679,0.18872645497322083,0.21083961427211761,0.19044137001037598,0.19366733729839325,0.22698409855365753,0.2404269427061081,0.23414088785648346,0.23600822687149048,0.23521485924720764,0.23425517976284027,0.23475593328475952,0.2354384958744049,0.2352350354194641,0.16127115488052368,0.2407076507806778,0.15710413455963135,0.17266301810741425,0.27987366914749146,0.2829837501049042,0.269008994102478,0.2649771571159363,0.26639485359191895,0.26903098821640015,0.26649636030197144,0.2663843631744385,0.2662583291530609,0.2663939595222473,0.26973044872283936,0.2638669013977051,0.26709163188934326,0.25396403670310974,0.2673959732055664,0.310351699590683,0.1945105791091919,0.3187815248966217,0.1833183765411377,0.3204079568386078,0.3661893308162689,0.23414745926856995,0.3211107850074768,0.32137352228164673,0.322223424911499,0.3220122456550598,0.26086676120758057,0.2520434558391571,0.2517421841621399,0.18899329006671906,0.3845982849597931,0.26792019605636597,0.22341901063919067,0.22424110770225525,0.29060760140419006,0.2255723774433136,0.21725121140480042,0.22821713984012604,0.22839488089084625,0.3125832676887512,0.20955079793930054,0.24553611874580383,0.2279079705476761,0.2709892690181732,0.14808040857315063,0.2534071207046509,0.2037159502506256,0.11244754493236542,0.18762533366680145,0.18832165002822876,0.19076897203922272,0.2286168485879898,0.24036100506782532,0.23421861231327057,0.23463459312915802,0.23936524987220764,0.23932139575481415,0.2376972883939743,0.23359781503677368,0.2318093180656433,0.2457781285047531,0.17486025393009186,0.28132715821266174,0.27135148644447327,0.26571741700172424,0.2652134597301483,0.2726714313030243,0.26250943541526794,0.2661241590976715,0.26255789399147034,0.2667195200920105,0.2696051299571991,0.26504388451576233,0.26886415481567383,0.2553500831127167,0.26939699053764343,0.3130541443824768,0.31856876611709595,0.18264220654964447,0.3207603394985199,0.3209814727306366,0.32091158628463745,0.32220423221588135,0.3217709958553314,0.26098692417144775,0.253219872713089,0.25158247351646423,0.2678251564502716,0.2212936133146286,0.2249000370502472,0.2883818447589874,0.2250542938709259,0.21602243185043335,0.22494933009147644,0.22843366861343384,0.31249526143074036
svhn,0.3460940718650818,0.3693019151687622,0.34665918350219727,0.4043853282928467,0.2449319213628769,0.10500496625900269,0.05277623236179352,0.33348149061203003,0.16942302882671356,0.0,0.08288252353668213,0.08390065282583237,0.05139722675085068,0.028643907979130745,0.09319128841161728,0.09633135795593262,0.2847866415977478,0.2804564833641052,0.3159368932247162,0.32260075211524963,0.3329346477985382,0.3351614475250244,0.33405518531799316,0.3333132565021515,0.33401262760162354,0.334821879863739,0.3347010314464569,0.20103952288627625,0.29559126496315,0.24218282103538513,0.19937898218631744,0.35537344217300415,0.3651559352874756,0.3724198639392853,0.37154337763786316,0.37471309304237366,0.37493884563446045,0.3747688829898834,0.3709353506565094,0.3718789517879486,0.37276971340179443,0.3768571615219116,0.36905840039253235,0.37108781933784485,0.35607144236564636,0.3754178285598755,0.40383628010749817,0.2512825131416321,0.412333607673645,0.22102396190166473,0.3927137851715088,0.5110374093055725,0.3141557276248932,0.3933171331882477,0.39359286427497864,0.39487171173095703,0.39465758204460144,0.34175288677215576,0.3313022255897522,0.33230137825012207,0.28989118337631226,0.47539231181144714,0.3016098439693451,0.29395803809165955,0.279683381319046,0.3384818136692047,0.2727593183517456,0.24359279870986938,0.26412978768348694,0.3394612967967987,0.40216898918151855,0.34347036480903625,0.37192752957344055,0.3525698781013489,0.40822362899780273,0.0530862957239151,0.3312167227268219,,0.05002889037132263,0.091923788189888,0.2833767831325531,0.2767309844493866,0.31727105379104614,0.32404476404190063,0.3325199484825134,0.3328898251056671,0.33940809965133667,0.3386668264865875,0.3372487425804138,0.3329620063304901,0.32890820503234863,0.30360695719718933,0.20235197246074677,0.362162321805954,0.37644118070602417,0.3732419013977051,0.3709687292575836,0.377952516078949,0.3691253662109375,0.3693402111530304,0.3679148554801941,0.3741846978664398,0.37718966603279114,0.37210169434547424,0.3736511170864105,0.35839924216270447,0.378000408411026,0.4068879187107086,0.41122016310691833,0.22026480734348297,0.3931238055229187,0.39330440759658813,0.39285656809806824,0.39456817507743835,0.39463016390800476,0.34167954325675964,0.3315417468547821,0.33274126052856445,0.30162328481674194,0.2919476330280304,0.28033319115638733,0.33624711632728577,0.27209770679473877,0.24199315905570984,0.2623225152492523,0.33978575468063354,0.4017992317676544
