,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.05376797505879104,0.06766525466111036,0.11979441317113275,0.4541243779974309,0.4462039324279021,0.8581488568748789,0.29899779556951267,0.6353631197056259,0.8447494488087927,0.5174430327184623,0.49489723934674096,0.5730796763410545,0.5394778289361213,0.9492818399079788,0.9715670811545472,0.1884527151545543,0.17195866616913807,0.24997854281355278,0.19495865150449296,0.11347690694137466,0.11506755584161775,0.11413881590453023,0.11410356129772463,0.11332691512164636,0.11364233533856417,0.11283399701003591,0.46210565778639634,0.3713089901221346,0.4505022376198206,0.65878649439554,0.557030454337037,0.6589784928691627,0.4272433879706707,0.4369784258953089,0.4579413215679903,0.4228005032579443,0.46195495146190957,0.4229689343274835,0.42222491963772535,0.4642310097470644,0.4514711461485314,0.4457995027169812,0.41578407403431705,0.4338072611814643,0.47262256169332795,0.4954972121717702,0.4935951530500572,0.49269986912714225,0.5543620814248731,0.7315647475599103,0.529491592199025,0.5082534047409119,0.7341345344587484,0.7336567873054728,0.7351619289551998,0.7342929904026297,0.49718049178727586,0.4886726617157819,0.48419638505216966,0.6947615134836967,0.9144311815217495,0.5647958088141539,0.43336936530144254,0.5256357853024494,0.4809631216287547,0.5279060198690362,0.5069364930360295,0.5271861988770952,0.5493621301640749,0.6359518384009685,0.0007485583982031643,0.07581040358428208,0.06646016983846322,0.12048391566962847,0.8614680831234705,0.29800726195886357,0.8379409214842802,0.5762025357893154,0.9487115252301465,0.18670455005006373,0.1717294982941366,0.2523628747470272,0.19335385746424175,0.11463126379451519,0.11427529903987656,0.11432587763799908,0.1175416022223932,0.11661198532552434,0.11039406246598737,0.1185443977873074,0.37462362969418883,0.6578094697664466,0.6563710962785947,0.4325331670489664,0.43655342689516663,0.4568912106308324,0.42324542912833,0.4610443985983385,0.42445445769875356,0.4179560526326513,0.45970145047269406,0.45685854654325053,0.44802846381922323,0.41404898179293487,0.4328509292144858,0.4725703558477987,0.4944264307788526,0.493513854531404,0.5459186798814052,0.7337817901116982,0.7318536091478484,0.7373307241525114,0.7352290799459832,0.7331918365227998,0.4932536318258108,0.49226519200675467,0.48370421784352935,0.5645227729078897,0.4319605941905012,0.5269576786058354,0.480085534141763,0.5275505403687281,0.511022713028393,0.5260801153562569,0.5503243583361039,0.6324996464273144
lapgyn4_surgical_actions,0.05866289675472663,0.0,0.021503286593768656,0.03484641778590177,0.5232667815935499,0.5037244507436249,0.9166054225997815,0.31485447799073335,0.6560924131721133,0.8566156347674744,0.5050783747878682,0.47783162231892956,0.5679458668688082,0.5456673043789547,0.9205259203243645,0.949118584276581,0.24193108246025236,0.22760290035774378,0.27109666504514524,0.1993047783566285,0.08317956201393073,0.0845118764758132,0.08309613382277041,0.08357719048580677,0.08260513221066924,0.08323416028577961,0.08229329047805693,0.5085564823623289,0.3285743529890522,0.5108705700514207,0.7214988070819005,0.6495511524234268,0.6601547609095861,0.43138788566383407,0.44018855377082944,0.45759478064818665,0.4275801130219381,0.4621697927119033,0.4269779469807946,0.42725964715070935,0.4661143049007396,0.45110904057833273,0.44671697541884714,0.41986372011446677,0.43941941341983387,0.4701061684823309,0.5096509524442987,0.5548652211359325,0.5049530903231595,0.6441806379380416,0.7720206091754835,0.5134732585437765,0.47616992831371435,0.7742036758318419,0.7735460655109816,0.7745570764427314,0.7736908972632557,0.4867225820446419,0.4966289916100385,0.494780021090496,0.6889251495602108,0.931313645588876,0.5150055335849174,0.4254046496998489,0.5175375959121383,0.44441536834395406,0.48357945964890187,0.467576681458905,0.49414801277180875,0.5536347785783341,0.6630999391499661,0.06015804871397137,0.019669470510917705,0.019637471743077787,0.035205581867250535,0.9195764241513945,0.31455382060025855,0.849715258528655,0.5714118546722984,0.9191823747009543,0.24203824369855303,0.22584140731167754,0.2729202216267402,0.19869408166037664,0.08480879968657584,0.08376268970304945,0.08292027272602828,0.0860239992582818,0.08233705963745337,0.08088220730180033,0.08791186681735028,0.32849406917868534,0.7196324707596305,0.6579571973720097,0.43522621460330113,0.4387062111482691,0.45550811978429734,0.4267117305870627,0.4623356431001764,0.428516579472171,0.4246792066129426,0.46068041024534323,0.45496814754017434,0.44945797752620126,0.41759776547579314,0.43695000005650797,0.4694639383537607,0.5075665274846357,0.5067183388637848,0.6356579219556544,0.7739643304127696,0.7716650498951432,0.7773317425661262,0.775141140595517,0.7736722941123434,0.4834569386525679,0.49992790497379075,0.4938129660112033,0.5153344104319034,0.42360140984107225,0.5164256187975337,0.4440338228007595,0.48450428567125187,0.4728560262524939,0.49465507391244695,0.5549843144482718,0.6595304098722979
lapgyn4_instrument_count,0.06601169033428439,0.01907951624102951,0.0,0.02586467014990379,0.44505948434698284,0.45613750536232905,0.8364924055110804,0.295475166612207,0.5859506791490439,0.7807287743676672,0.44064148553077886,0.41607275010295774,0.5106649796006534,0.48659966795124865,0.8281529105067506,0.8532819547204674,0.21352645754311358,0.2001597322238937,0.2629566822754096,0.21023630299469354,0.06382780980361455,0.06543483412345197,0.06395310686777428,0.0639477550992371,0.06373083255196917,0.06418613763741027,0.06315459729548244,0.4474521661588966,0.3326329378664636,0.4845895170880466,0.6417424397319585,0.5586657461442556,0.6095215587534657,0.4175087964857789,0.4309714914858825,0.4500643982732796,0.4137115173932121,0.4550053103857885,0.413843748482475,0.4141382578029862,0.4579436705097236,0.4419239694024544,0.43680866599854523,0.40540538785558067,0.4272467104916433,0.46309684670263046,0.47812555114392347,0.49569363662705884,0.47656194091617654,0.579927324033096,0.6844587739751882,0.5009762115894204,0.4571169236095838,0.6864289010667766,0.6859410326074018,0.6870666317300469,0.6859832889280292,0.4409787364271463,0.45605155703781836,0.4550762194066202,0.6541956902884984,0.8438522143468151,0.47680863640845644,0.39725443638337515,0.4694603043471116,0.4243246750637686,0.44355657364279416,0.433575499606292,0.4585386114480968,0.5103863866860907,0.5898147286365978,0.06700036444735187,0.028230885108433596,0.0008763333555145825,0.028105914087905755,0.83905744823183,0.2950892524417063,0.7744533214289199,0.5140579672459458,0.8265510160204247,0.21366691952148587,0.1976921592023125,0.2647001498171558,0.2098174042496359,0.06548797694812136,0.06464642853198146,0.06509328233204735,0.06637702752824044,0.06348998801434648,0.06132324779996228,0.06675979528026742,0.33424212192390473,0.6400549944207977,0.6076730761696926,0.4231497726340466,0.4299450120976675,0.44745084838365456,0.41419002801758553,0.4540681529507241,0.41585017641403665,0.41106107789537255,0.4526337237211478,0.44707970233498995,0.4397252911982824,0.40269279273526354,0.4260576417547094,0.4626398909059637,0.4773924920709762,0.47820910075398776,0.5719753878515432,0.6863223811286618,0.6842283588974343,0.6895468615082212,0.6875512438242363,0.6856374246035106,0.4383427870829145,0.45830658260604307,0.4544718037126669,0.4771924666296405,0.39485113798897736,0.46851747100686814,0.42368883601531987,0.4440098954145241,0.4375931065072242,0.45857587329743565,0.5117941461473142,0.5867687306154422
lapgyn4_anatomical_actions,0.143390448697244,0.03679455335907681,0.031985526339733,0.0,0.6213481291782229,0.6287385341068654,1.0290666452346207,0.4166504393299529,0.7418298330069085,0.9610968127501126,0.5790171110195564,0.5510608270697136,0.6567863354500667,0.6414683301318151,1.000451216488688,1.0324015707804974,0.3599177419173092,0.3387004449606834,0.3786657187262385,0.30975223551765774,0.13000798201425465,0.13132279545456224,0.1290896309914243,0.129995592440796,0.1291749408895833,0.12998878083821738,0.12846457659832847,0.6155959003550786,0.4111942794704767,0.6599877532875532,0.8571966634207225,0.7519798646037161,0.7699634144973673,0.5364096476501903,0.5496472012523085,0.5662924063955279,0.5335999161939148,0.5716766453766339,0.5326955028728925,0.5351599686372712,0.5759495559867935,0.5569994722883778,0.5542349788585982,0.5252646889109165,0.546473483026518,0.5775157889201756,0.6094634499122275,0.6649155592223064,0.6045576288423153,0.7728066416971564,0.8648410054156673,0.5935222111464776,0.5801269513800883,0.867182898120968,0.8662193030261512,0.8669315406870867,0.8661089701237363,0.5792909161154701,0.6037178895482515,0.6037215820217608,0.8212429220300929,1.0157320888505055,0.589206605621547,0.523424830626725,0.6052877394474521,0.5200911008168525,0.5602915232381732,0.5392290828940378,0.5803951535301182,0.6336748436981109,0.753623372442785,0.14533739302905904,0.05237386374799923,0.031010259445004663,0.0009556970118982077,1.0317086306635894,0.4167182005202623,0.9552135021692975,0.6608314820694353,0.998265880185502,0.3606524382200083,0.3362952959139829,0.3801201721927802,0.3092390485931485,0.13304556404495146,0.13105203880133284,0.13049932637474299,0.13201611101275185,0.1251670632083742,0.12742942781005664,0.13433026180793267,0.4103999660778101,0.8551825870170835,0.7687613916818866,0.5406813154266122,0.5476331899894812,0.5633237039029984,0.5321037590987961,0.5721702249933266,0.5347910207311787,0.5328731532186537,0.5708433585418728,0.560839229434633,0.5577653351624913,0.5226372063146314,0.5435637701090956,0.5762423928508162,0.6079664812421995,0.606609205427734,0.7645495510959283,0.8663890622138497,0.8644306194963222,0.8702299947432168,0.8675383315489045,0.8661593501640785,0.5759191344760825,0.6063111716698563,0.602543320037482,0.5895176340836169,0.5206928830337549,0.603149987772981,0.5200484538234806,0.5617813790818789,0.5440662135108261,0.5813377628194032,0.635418124106099,0.7504514498977002
sklin2_skin_lesions,0.34817011064715236,0.383648784883605,0.3695681992792469,0.46264253466685,0.0,0.44831089630930515,0.6718591522482273,0.3614152530091734,0.5572192332596124,0.6358766448256147,0.40695821659641596,0.39049592208030526,0.4396047862717583,0.3990478103900107,0.6979076889521807,0.7167184000319099,0.21971181345943008,0.24744943414346152,0.3583468981159426,0.3562831776907973,0.32632128926916243,0.327436407011052,0.32920817990784185,0.32652840008795797,0.32707212888179504,0.32698633704729463,0.3266734981714284,0.12713327678550707,0.421643347325654,0.3177783349900388,0.495172596937977,0.24933426717282495,0.5146113792198599,0.41801715324742444,0.4408340889271578,0.4636481723911667,0.41284461828673075,0.47088427000027144,0.41490415421342736,0.4119413738317353,0.4724154058669167,0.45646983698270577,0.4450209269682143,0.3971251987285671,0.4396049070740496,0.4798694651348198,0.503581144744625,0.12336732299606654,0.5070118764642687,0.20874057439999674,0.44629864267307506,0.5553247078795878,0.42264034506095216,0.44794468240916663,0.44848004333682134,0.4484978723565814,0.44933091278109816,0.30366484142630457,0.2857282670386214,0.28762918481603783,0.5112977742965957,0.6359326849998663,0.5542007518376865,0.4146745166559449,0.4973773730870168,0.5158839957794641,0.5193783943894639,0.524080917177557,0.49308423259966616,0.42112814902755263,0.36698150581540107,0.3471782637629257,0.3880847032692021,0.3750995048583608,0.4628395965503885,0.6744757663561023,0.3601604591059238,0.6286742124642174,0.44034819164742584,0.6971061307493378,0.22138275733811769,0.24267212835878188,0.3588057811869478,0.3595518705886283,0.3239101241880188,0.3289192796986308,0.3305393537794709,0.3310913584869976,0.3332293386779768,0.32522413786621585,0.3235072461790378,0.4297630512296138,0.4944119323997599,0.5116893803172368,0.42681264347787373,0.44287214563154775,0.46064806301533157,0.41401464637880725,0.46694378299988926,0.41546539323656356,0.40611000313801043,0.4652939983259844,0.46333374801404076,0.44748268691503845,0.3936364271907182,0.44343824935918397,0.4809125250622505,0.5048256503184146,0.5069667868303244,0.20585857626221998,0.44867181471738815,0.4460049836146013,0.45119926040520103,0.44750932013148814,0.4479985688116901,0.29905899138913816,0.2872104513730575,0.2868159230476389,0.5561422155599228,0.4117342227976429,0.49824235346403173,0.5139162759017395,0.5187080296112946,0.5276982586432163,0.4904617613866476,0.420377510831074,0.3631734126466465
identify_nbi_infframes,0.33586716690547347,0.3592254956470316,0.3385828621226474,0.4120506705033099,0.28417264762582223,0.0,0.2812123385603496,0.4227106748025068,0.34446321055569173,0.29810709394598917,0.26915980613643137,0.25226106256183145,0.3000023328165398,0.24778490606217585,0.46384164460422794,0.4666643070552942,0.2737003576224965,0.2853651211310639,0.37789388868338036,0.37867363815757854,0.3295442981248188,0.33335317498089806,0.33184295098542943,0.32956162748422557,0.3318640564967897,0.3311492043988,0.3332282713008888,0.23930980043014977,0.3350805257753448,0.23868130875133506,0.343858820611023,0.3276276462864643,0.47448791421654607,0.3962721984833614,0.3922692721311194,0.4001536336609631,0.3969180384319822,0.40041373809750525,0.39259873667530026,0.3928911303734852,0.40130825372619583,0.4049066401146223,0.39424317968641914,0.39193911767466705,0.38754950327688736,0.4046875781314563,0.4184851152581367,0.23725373543782172,0.4326058357148834,0.24892134227329835,0.46665559217677555,0.5649342679713928,0.41058978333278967,0.4679004320762177,0.46856256404974284,0.46728154494765695,0.4682914857188914,0.4141061438697064,0.4044113647802252,0.40611973329178447,0.30285417147053195,0.5999316584138642,0.4230782457327499,0.39423648216378876,0.38696608289331996,0.4870154731412488,0.38158979754973216,0.4071185250613254,0.3984522683844832,0.3910392826645184,0.4408317711297806,0.3352496334845943,0.3456600896598541,0.34335252857504983,0.4151989029914171,0.28110046089906915,0.41910843700366596,0.29870823923900947,0.299141518824732,0.4622549345199746,0.2725948014435774,0.2784968487351248,0.3806029804909144,0.3807096320348065,0.3262018787673821,0.32912588404612403,0.33542713151510894,0.33721213912939063,0.33886809010512436,0.3301017369477228,0.3247631351998306,0.3442277355237054,0.3451218617725271,0.47274983582939645,0.4007830873622543,0.39558571037940155,0.39934844126121904,0.4049363040185513,0.39362890129228006,0.3913338003057337,0.38762738949953274,0.39798849218402654,0.4076553777681194,0.3950580070795264,0.3933164437382355,0.3918060089097233,0.40863696151006473,0.42124277427991924,0.4318103330486634,0.24674611012173642,0.46778398086239786,0.4678873516145514,0.46925840789348394,0.4677997127618687,0.4686628667591872,0.4139018155715384,0.4044286029685708,0.40410776884513316,0.42392538312083233,0.3909268485529234,0.3884788026960985,0.48513849494865424,0.3811563210560755,0.40724948162236124,0.3963797403315476,0.39246159831662464,0.4390744648561241
laryngeal_tissues,0.84688617638749,0.846830386855636,0.8336541967159875,0.8965718039862437,0.7049026587265902,0.513320268560778,0.0,0.829460989610365,0.6310006271746196,0.3499518778840874,0.5358318489069048,0.5502809551708069,0.4440855752466339,0.38938867303606034,0.6237084350454813,0.6414877497299588,0.7893389749166424,0.7870313261540883,0.8135331543497809,0.8412517718662919,0.8413564601602731,0.8451259179703875,0.8439472907761497,0.8410626990979623,0.8442318403494976,0.8433079863541627,0.8449509905859425,0.6214651511391881,0.7469604550210295,0.7018628565331892,0.6332379196526724,0.6876483523765814,0.8825466590891139,0.8801870590984129,0.8802391589721468,0.8800258846212167,0.883402717380231,0.8807977638284076,0.8767783481908605,0.8802308126701754,0.8824971783394249,0.8855331406821709,0.8765725740125999,0.8759640356035107,0.869821178866357,0.8806203852467641,0.9273527959893503,0.69930624765043,0.9415427794091218,0.5494355777392874,0.8743618388226827,1.0502168032158805,0.8406782282537374,0.875734007548069,0.8761453121776801,0.8726511922801339,0.8754021835138536,0.8244895050294301,0.8044898645777255,0.8077759851787795,0.6968921368299724,0.9646699125634152,0.8684531630749742,0.8377280611139907,0.8636920730240868,0.9133695926576282,0.844531477621411,0.8300022728046416,0.8598331669026568,0.7917382516139831,0.8949536451446748,0.847920070710396,0.8774967751978384,0.8384328638142662,0.8972242082859545,0.00037406041613118486,0.8269582706639483,0.35156245740949943,0.4414526163267782,0.6217155305447513,0.7900032969690376,0.78405596044251,0.8134059314478435,0.8443742743281455,0.8377257030037876,0.8434457868325625,0.8468636811007448,0.8505577255581545,0.8499566901469516,0.8407698444281707,0.8379819083906758,0.759919727332547,0.6318982614807194,0.8829836538861295,0.8856898518708731,0.8822506979288357,0.8797166343357378,0.889338730820062,0.8767509885681323,0.8747849401661579,0.875887401468706,0.8807452443420494,0.8867313817457365,0.8756462465382386,0.8779881066918057,0.8709216034558037,0.8862209395665904,0.929557683386096,0.9409101191939216,0.5517059170559551,0.8759432085397332,0.8752942345380127,0.8760617455987448,0.8725317710634685,0.8759263708882067,0.8235892375252578,0.804578922562583,0.8063593928085958,0.8693260586981817,0.8339531232706074,0.8629829731515277,0.9123479479901698,0.8450938176585575,0.8338000969218965,0.8603750422621674,0.7942942896626659,0.8933147109623432
nerthus_bowel_cleansing_quality,0.4065665542657651,0.37894114653975064,0.3934371760810059,0.4713422358841954,0.5737436038225938,0.7104795431711881,1.0857953482913392,0.0,0.8206584712219821,0.8748132750928121,0.5899307903420387,0.5619930928272301,0.6104137417826428,0.5906136458733803,0.9904929572015571,1.0200944343290506,0.21581025330212072,0.16296504287569252,0.056659936349516486,0.12667890075714058,0.27213371496869454,0.2704446349898105,0.2703473174828081,0.2723131309466808,0.27213724233127634,0.2709373798685495,0.27216049588280994,0.5616400187138816,0.28469366028580884,0.6612683406676724,0.838820977753812,0.8368634844457431,0.6267070318785324,0.4618564379421978,0.4518918246862175,0.47038334981545815,0.45380156642402697,0.47020128041804543,0.45133541527890053,0.44662327662544615,0.4781528269351925,0.4751110148037876,0.4612952496880538,0.44687081855086613,0.4731982252394167,0.4846201567523309,0.6239040078878172,0.6207150051555662,0.616637163132572,0.7579840999113368,0.7289253170103095,0.60561541418663,0.4426945694582014,0.7299230820674052,0.7281206080816489,0.730641855613765,0.7290788368319825,0.31346047568971935,0.30510769063587073,0.3006303060871111,0.8160592673302022,0.898263468049098,0.5518511862395324,0.3743602950594322,0.4752961005180031,0.48856351392021924,0.5019316756788741,0.46903037865705594,0.4649480390036443,0.7680014755151615,0.6048704875660085,0.408093225939666,0.39978477965733505,0.3933957477286248,0.4669230728416006,1.0892519522157986,0.0006167323727528295,0.8633884522019734,0.6104104614294434,0.9906097364627994,0.21681598010842865,0.1702472674283634,0.05665666626981373,0.1268673373182788,0.2682926164968394,0.27426667897369844,0.2719607696283039,0.2728185630517526,0.2742036298803624,0.2720836011233824,0.2707385368895602,0.28362085862474856,0.8394275296000874,0.6247388477682813,0.4683167342680995,0.45303564806402824,0.4683299892237971,0.45549083824486825,0.4704507897236121,0.45227198898817983,0.44466485372744774,0.4727140257214927,0.4811023254881324,0.46563217934247325,0.44292757234591534,0.47183054795214885,0.48548110593443783,0.620394326351624,0.6194648890613588,0.7512697006614761,0.7317851721705273,0.7267905509501233,0.730954361719452,0.731118952804727,0.7277807510660566,0.31096760723184846,0.30931038495948954,0.2983584304866236,0.5552857764254702,0.37025459358407675,0.4745744896324828,0.4889171043350457,0.501080135766063,0.4742738923302548,0.46446551243312867,0.7695505383059424,0.5992349974272965
stanford_dogs_image_categorization,0.35322701623148656,0.3873837862756385,0.36102585235921086,0.41729291255160605,0.3349886423776989,0.31925659927607297,0.41832477184239586,0.47055511519926535,0.0,0.4298318772495023,0.11815733716597891,0.11801128465484986,0.19022743989831478,0.1965470346663998,0.5067409097133199,0.5061260143168995,0.3573684161278459,0.36911327028125956,0.4374131269153326,0.435530931260315,0.40805192605362,0.41096510328707936,0.41019573138958937,0.4082231521797369,0.4088506064882952,0.409798070635795,0.41010878496167846,0.2766261926215703,0.43498306323182634,0.30732745294671276,0.4145207940612173,0.28510485245890377,0.43141226121851534,0.47356933445450217,0.47179511649203176,0.4763219935961704,0.4752418876046664,0.47635393706531565,0.4713591752844937,0.4721899542832485,0.47779962907068896,0.4803664195920594,0.47212746849983217,0.4750756368146423,0.46859248557471983,0.47972431584667447,0.4769615171317782,0.31594669980196344,0.4903230004399374,0.33674121069058915,0.43599838781001893,0.5707180478817973,0.4268881835021036,0.43718229985756146,0.43745547524336253,0.43679821786272915,0.4383880697078782,0.45951337787240737,0.44276480780488714,0.4443218667291622,0.4165751717945496,0.5521174838001455,0.44251010082815956,0.4234039304095627,0.40144596599019794,0.5015274756771497,0.38856900816336676,0.4229265470384217,0.4118543716306094,0.34735305622874785,0.43251047314147434,0.3492905700287727,0.3823981547655012,0.36518824042914855,0.4220780783562459,0.41789890688332704,0.4681840727626137,0.4266799355975422,0.19261800874947088,0.5055732511857022,0.3569064917375452,0.36536464657034784,0.4383881938991899,0.43677186184403527,0.4076661806318432,0.4099108457235699,0.41532822839262173,0.41343417804224647,0.4142309716645216,0.4091098976897094,0.4057703408867217,0.443948776959909,0.41474768269058615,0.43174565096136613,0.4788279631093793,0.4745458545315,0.4777750669284087,0.48115116365497174,0.47260592204987445,0.4721364538530465,0.46740183195914375,0.47675381326143557,0.48175194706943547,0.4718926809132842,0.4750738457578492,0.46961982822015136,0.4844261385057446,0.4793572742493906,0.4894137582181354,0.3358382316479077,0.4369479855142536,0.4379977516033438,0.43796441520265955,0.43661634540504735,0.4377477501770814,0.4579049850021049,0.4438263819975863,0.44186890208578244,0.44388595745252296,0.4191902318481682,0.4028674581109965,0.500053411565635,0.38863823532028763,0.4247820517803671,0.40942634112085347,0.3480750219410299,0.4327803724934982
svhn,0.8116162460316236,0.779747689511724,0.7666547650757468,0.8080022343060187,0.7473906838265523,0.6014412012152283,0.42992447364112907,0.7357456213453148,0.6281025431724069,0.0,0.5035063031398382,0.5014260757057148,0.23246177163636023,0.1923690197116257,0.39930398935444045,0.40959460166243716,0.7235691261293129,0.7223787440756007,0.7228854572434996,0.7349915868593497,0.7412235116301454,0.7446064798626105,0.7421237884228211,0.7418072809116907,0.7430475956535768,0.7422608782526356,0.7450460031141232,0.7160334611059567,0.708548445598974,0.7161947463801811,0.6851654851151725,0.8463390501377858,0.7993893500362914,0.707347812557526,0.6941156378545646,0.6950609936209438,0.7060952689384807,0.6937435202264723,0.7013808141034918,0.7030282405455898,0.6968078836373496,0.7031372405671998,0.6931210256840923,0.7025953650722689,0.6923331507475187,0.6963159022956695,0.7829451895206762,0.7596610770787428,0.7930518754410184,0.7375071431390944,0.8844547848880323,0.8643150118998473,0.7444057378328586,0.884871696667405,0.8854012159069854,0.8836225277271075,0.884340971984929,0.7399981024438695,0.7203242860550636,0.7230916011647734,0.7135473517697174,0.9753474845556208,0.6732431652891879,0.6711245995003461,0.6817469177693916,0.7309881527765972,0.6625105551232952,0.6257605299276653,0.6640274483948674,0.8028506280854945,0.8671124026793575,0.8144591374328677,0.7825616064459228,0.7687218511236799,0.807160205960676,0.4328145147867478,0.732740085253027,0.0008569384371397982,0.22811391790653454,0.3992200556959471,0.7254327434760344,0.7194614789668962,0.7226541756678756,0.7384022462303869,0.7380240458136559,0.7422500646544911,0.7461735753082885,0.7498625597026325,0.7482121306913172,0.7447372105047747,0.7377236652160991,0.7177986857471946,0.6828659720586553,0.8003597993504952,0.711116497373506,0.697517143969768,0.6949103694581201,0.7138802369222015,0.6893088538931017,0.7009066225102516,0.7002617097368611,0.6962617262441216,0.7027263178447044,0.6945320762039425,0.7059707319723583,0.6932103132779076,0.6995157571369711,0.7853041138781575,0.7920238732513883,0.7377136716698293,0.8860094989755553,0.8845495534720417,0.8854760362863894,0.8831873085922892,0.8839836064880029,0.7382899964788519,0.7167961167584391,0.7225607133062476,0.6760622444184803,0.6678641925145965,0.6818228085450435,0.732383284781952,0.662936619110379,0.6272333529011087,0.6646469135140012,0.8048005709794254,0.865754750884316
