,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.05317386945762017,0.06002640292857993,0.11447927253086582,0.2904661655819089,0.30156769453169363,0.6010037653042566,0.2902686101236262,0.3528306343290876,0.60484982028504,0.2687078776531733,0.26188370764309077,0.3826313050819493,0.34879120963982346,0.6510278780955122,0.6650110943771426,0.14003358100165772,0.14301970869098493,0.225872884164977,0.20112760652690564,0.11486558222597977,0.11713477495347782,0.11600950122515219,0.11532662094712993,0.11480039182625645,0.1152104081243903,0.11472195974088353,0.29320051544102504,0.2926981910664347,0.30402019414373316,0.4672694224484033,0.3913961502844791,0.49123273960117136,0.3244754893338383,0.32816392369406955,0.3409318291761784,0.32210662112097943,0.34345112656461985,0.32042847164785304,0.32060691607621095,0.3451956611931162,0.338931974511502,0.33207650936785327,0.3179966054431503,0.32096410167505834,0.3499150303692084,0.39835745783011983,0.3233610070608913,0.40381034208924366,0.3725804170002806,0.5571037407836479,0.4477561262750676,0.39385075490846044,0.5589117787856557,0.5590353319694014,0.560247423470971,0.5607321678051046,0.40207038230037656,0.3934423875031543,0.3923018140329238,0.45820045001254495,0.7441270692579338,0.4333071339691708,0.3426951469822134,0.39351751796786816,0.41041855071049416,0.38291125616932253,0.3757724812457932,0.40442853143841184,0.37560571924850833,0.49632439008062185,0.0006669991516471939,0.06415506795134898,0.05992808912309603,0.11642484992491824,0.6025421218456274,0.2896166889966784,0.6015343678199118,0.38541741892035186,0.6484421687593285,0.138003994044047,0.14142199187502302,0.22803943695937126,0.19979625182080038,0.11677556498429151,0.11505265730631424,0.11726295584033158,0.12056170096324505,0.1182868820864206,0.11220921244637494,0.11873594105456586,0.29809212106851524,0.46812828154034614,0.48859938392083285,0.32818960770181466,0.33008309788323514,0.3395966920366535,0.32598647578581325,0.3408691816885482,0.3219364346744927,0.3161962438727142,0.34133110127966027,0.34194180213755804,0.3332414703959295,0.3184432776130146,0.32234316723951334,0.35167685419913713,0.4004091032462394,0.4028405886904994,0.3671508570364753,0.5581595362118098,0.5581249922739319,0.5611696389996217,0.5599679347841278,0.5589910476591771,0.4001612177042925,0.3964745161025146,0.3910803716836157,0.4337611966058328,0.34103792765503455,0.39418565885019513,0.40845074921170427,0.3823734354181606,0.37804103380778553,0.4022304520179648,0.37653635969087945,0.4939890770709094
lapgyn4_surgical_actions,0.050333173637001384,0.0,0.017766867210477124,0.029930568778128244,0.35095640630266645,0.36184705247690147,0.6853758336670465,0.2805666156247644,0.3886933658990915,0.6351050933155342,0.28156262609183524,0.26676171810378935,0.381096714354237,0.3610538073311798,0.6717762192684261,0.6964977545984324,0.17318901816616217,0.17422521763925553,0.22552764598279407,0.18642463789628178,0.08093074784218036,0.08273651317128639,0.08110369866346927,0.08124786047466942,0.08057113755164345,0.08126765336390979,0.08048633641678644,0.3392370468727618,0.257886891571832,0.3435982282802238,0.5369049736153289,0.4847763415383778,0.5112159495520157,0.3099135593010617,0.3115277167266644,0.3223711769117872,0.3076814579964974,0.3252206973843042,0.30544044779302776,0.30606488966283574,0.32865747325493544,0.3206130027898269,0.31490241229387256,0.3033351498210659,0.3085387723181565,0.3309853155871607,0.3966009896375171,0.37556764839040235,0.3984040292243516,0.4592044287205832,0.6146751034103668,0.4154815658702675,0.3694857480651591,0.616350606955679,0.6161317865626728,0.616930214035058,0.6175952633917192,0.379041690946101,0.3828986078187008,0.3835503099386359,0.47950457593528384,0.783567986053797,0.3904161533207964,0.3173315397532656,0.3777348418499372,0.3667193653466008,0.34758386350254816,0.3425814624026497,0.3686860148297429,0.39296981175032447,0.5349616444498428,0.051505928834275426,0.009861219786726369,0.016475696876189848,0.03007731673347131,0.6869799262611633,0.2803880347121973,0.6305335013139053,0.38487212474029847,0.669379028824624,0.1724641516525367,0.17187164276745703,0.22711097085865825,0.18599472253067845,0.08298226898967875,0.08133420987020196,0.08179465521827307,0.0851411726365319,0.0806487961319503,0.07899078350673783,0.08526285147744977,0.25988902376264644,0.5369487531192887,0.5089677191396721,0.3127550859704479,0.3118461872623278,0.32072514587161827,0.30984229798366536,0.324188617075509,0.3072759738850834,0.30351159107296904,0.32450087598264415,0.32284989869156383,0.31687823936265974,0.30346482737401864,0.3078693874451416,0.3318416338758661,0.39717340709195575,0.3987084232520883,0.45324528655130975,0.6157138947991831,0.6152449603436346,0.6184361777326047,0.6170422173270532,0.6165698560276369,0.37714540665148116,0.38552827244549037,0.3823471127749062,0.3912581211639804,0.31497983048404327,0.37652799095804906,0.365709116692037,0.3480062102493476,0.3461114963027119,0.3680135421339168,0.3936700759776522,0.5321058473245222
lapgyn4_instrument_count,0.05624171601323992,0.018125974074289883,0.0,0.024067158916759764,0.3132804423656799,0.3234954574803634,0.6273974604442222,0.27979958632506474,0.3472919630409318,0.5898451676040225,0.25005198799820016,0.23600283275170808,0.35672704990185056,0.334563238461731,0.6257292211426754,0.6457966087054189,0.1600786859717356,0.1616229673834558,0.2336872380691932,0.20918133692936663,0.0630378036495863,0.06497105739873335,0.06333478389930564,0.06315600723322665,0.06297693047988095,0.06356162823782165,0.0627104445812552,0.31031009441543717,0.273584552118378,0.3451870419250097,0.4889075194167142,0.42876077677054225,0.4915863111829393,0.3192743501105753,0.3236508671952103,0.3361192549153578,0.3171396798848449,0.3388600456182016,0.31532184755659376,0.315871795779049,0.3417671794522445,0.33384599060097825,0.326941271507444,0.3116485532709634,0.31875564052737704,0.34507276203081577,0.39558205276651165,0.3471271736685326,0.40076883297215293,0.42107842521423017,0.552221029114585,0.43082252150088374,0.37204335102302066,0.5535875468657797,0.5536763700989442,0.5544677414817878,0.5550086914374158,0.3512463792717002,0.3622030235946391,0.36343726778132546,0.4702438384421923,0.7180504179491034,0.3702211228544829,0.30370073680447884,0.34093402904324943,0.36217021581071196,0.3188865830574004,0.32335419618196726,0.34184096853522594,0.37689072511018745,0.48528376318755656,0.057100060925584034,0.02045389275589632,0.0007768519042738557,0.026174751250075845,0.6287798547323629,0.27952234597670134,0.585896136092672,0.3599582176584395,0.6228447729087063,0.1592574119018446,0.1588218649639572,0.23567740855239971,0.2084538120073233,0.06522856070201842,0.06336119625287114,0.06522005889470231,0.06643513090817679,0.06299048255863368,0.060798330496661696,0.0655808253692933,0.2774353157025188,0.48921655687443977,0.4893389514208412,0.3234581983784174,0.32471384253446334,0.3341168454174218,0.320493396859661,0.336627565686843,0.31723268799920135,0.312576194149252,0.33767445497335363,0.33702941567336686,0.32910380794844674,0.3116196028136808,0.31929462937425107,0.3462964810597642,0.39765221624012514,0.40115738187671696,0.41598273019575394,0.5532044769579223,0.5527343630414484,0.5558361844444645,0.5544777003389716,0.5537784955843368,0.3500887921849411,0.3644248864275395,0.3622852307945109,0.3707585897419401,0.30103667712451454,0.3401237857748381,0.3609142250719717,0.31897760512439965,0.3257780141587632,0.34040560473833953,0.37771760394657333,0.4832667227844001
lapgyn4_anatomical_actions,0.10951910481994022,0.03084853462829649,0.024350508340299844,0.0,0.4228845998335,0.4153058559699957,0.7288570276260741,0.3647091477617542,0.4257638679833373,0.6709768959474168,0.32096815031579085,0.30609243178389245,0.42783982577763513,0.4105643477674651,0.7072217650820465,0.7311698834482131,0.2553028048098862,0.25572260690419685,0.30814540291546055,0.2802149315961762,0.12335246374908519,0.1254723921677766,0.12304392766219557,0.12332376840179345,0.12289611198555442,0.12383162487062947,0.12265960023914942,0.409029252084913,0.32385517836504873,0.4321779197941139,0.6082946055508069,0.5473543295559805,0.583573521945155,0.38355085727357324,0.3866798335175451,0.39607404266881724,0.38266044333307037,0.3988150378706251,0.3796382615453643,0.38211231775042787,0.4025475151192708,0.39331181704770846,0.38828212009863544,0.3776105417957635,0.38065195546601394,0.40265637138033883,0.46599540974232,0.44858035438375427,0.4697594105846034,0.5343370256956949,0.6868430302002667,0.4804577248617077,0.4538264984964427,0.6885378723625957,0.6884482271002977,0.6888717426488187,0.689910879670613,0.4465962795302645,0.46192025372166423,0.46383365164307544,0.5500674255814555,0.8504500278070415,0.43933798542623004,0.3807630186354916,0.4218607785752586,0.4210923768924669,0.38906496050936057,0.38672031848018923,0.4167780568565407,0.4493702807486123,0.6112829104146806,0.11048797497193963,0.034511675323112896,0.023851884932651633,0.0009050115001178317,0.7304064988364415,0.36433819748972923,0.6673049540864615,0.43194100903512334,0.7040639595034494,0.25432795161404054,0.2528541820253407,0.30975692431078705,0.27953809632533944,0.12686744349572152,0.1235670161155457,0.1253346818436429,0.12779230041822653,0.1207305403649579,0.12096203099454605,0.1271087113083038,0.32628918577904936,0.6085445350954195,0.5820049481543754,0.3865959469744493,0.38696371341000146,0.39414806680094044,0.38509043303244306,0.39722979333315367,0.38171961108366886,0.37893223956570243,0.3985506902689596,0.3951978140073902,0.39056704835393413,0.3784352412135332,0.3800073354787952,0.4036698545733777,0.4677275862113889,0.47015793357658375,0.5294113947492737,0.6876762136278496,0.6876197906785156,0.690770116503393,0.6890506337603519,0.6888621520193947,0.4453530128602206,0.4644749753428162,0.46187745852000733,0.4399711405969086,0.3776343592781474,0.4203480651411466,0.42021866822704257,0.3897121128266736,0.38983573913316116,0.4159815883797372,0.4502149074213016,0.6091611670763577
sklin2_skin_lesions,0.31138754961862963,0.39218960871310915,0.3503909963466937,0.45240674117447216,0.0,0.26323518780613275,0.4466740666718524,0.39962096453778484,0.31157576762390155,0.4967446291152565,0.2534914230526957,0.25057510585603426,0.3695173304932093,0.3213476515860303,0.5719699061078284,0.5625128364554824,0.2138016024385898,0.2360522661529702,0.374847336547363,0.4012730006930771,0.3484757666540006,0.3517110242789942,0.3517940174627533,0.34907444669657806,0.3501523577360756,0.3502054988932601,0.35041441771903303,0.09256141017753824,0.4144711904968277,0.24148107365172022,0.39023129793864364,0.17141401188951466,0.4556997597528082,0.4253096834289896,0.4304855259720542,0.443896622690179,0.4221974693329255,0.44543279206055186,0.42044234794551233,0.4186371997421783,0.44903870294795106,0.44887523068446245,0.43206781828297114,0.4076492267277838,0.4281062800501217,0.45195579848961964,0.5169558796492032,0.0838325795995527,0.5311909768605503,0.14283654385801928,0.3708043050834199,0.6111174301604769,0.4459392307565273,0.37310909212687315,0.37358130115350113,0.3739795683169129,0.37516363759692234,0.32094276030301966,0.30366251491407475,0.3058743858870581,0.35140562926772945,0.5543136490072529,0.5112503740907796,0.42156565234399757,0.4339980896204493,0.5466406173613703,0.45553958506310027,0.45691327237343826,0.44933847324911846,0.35450054978001955,0.3156959368733598,0.30768099610303656,0.3891197673808443,0.3587281936145756,0.4594438070210716,0.44786082150750306,0.39695202382855205,0.4946031809802018,0.37040395591118036,0.5691418178109972,0.21336517124698196,0.23089051458108212,0.37634465596394107,0.40277839729104364,0.3471146488788741,0.3491710529658801,0.3566893728787216,0.35557249948529945,0.358808068113856,0.3462527208221546,0.34480304900382364,0.4263997696254464,0.39069470058714373,0.45309399558852326,0.43340878442190117,0.4365165103540084,0.4415512413915722,0.42962062784427435,0.4372196092119182,0.4209432404510569,0.41105882410968747,0.4445736049591653,0.4522073210725158,0.4337853896685223,0.4085891338717097,0.4342668082183018,0.4565946650917887,0.521940402772941,0.5299831739921084,0.14134071587338376,0.3721943144281665,0.37174855653932576,0.376022904375501,0.37322986162814625,0.37308457635657555,0.31911178465295886,0.3036571753533641,0.3054224875272047,0.5117399720246393,0.41816256282453096,0.4369288123426194,0.5439420218900346,0.454293940945276,0.45592319804246983,0.44414694963694834,0.35457710658432207,0.31397592633877147
identify_nbi_infframes,0.3014713849402089,0.38107176999743814,0.35078060481696643,0.4402390080675447,0.28949679512261556,0.0,0.22515730801652353,0.48877083484043615,0.25058197964341994,0.3279967581484291,0.22097519258169046,0.2232024134054042,0.3379008245763832,0.2804350377709803,0.43205514514111737,0.41696959426150493,0.27761369310408757,0.2990672574004469,0.4375281991665326,0.43068803624444285,0.37694570779980946,0.38101967103207846,0.3796221967534109,0.37651698793456523,0.3787820151348975,0.3789483851208354,0.3807743894088604,0.2285143240658444,0.3974895329472114,0.23420821097523445,0.2988898925437673,0.2677265625166182,0.4686569086527139,0.4363072232846793,0.4223313080598304,0.427548740239785,0.43633785914781376,0.42406055813304616,0.42994932379706974,0.4307225790032593,0.4275489227556163,0.4396898869908879,0.4230944921917319,0.4286463110945749,0.41910608786898845,0.42806483152343766,0.4805738074091073,0.2445755410215863,0.5010761348584788,0.20089599980921155,0.4883958759141841,0.647813128997793,0.4935954050194048,0.48888347799009046,0.49047959760307347,0.49073044521270887,0.4920928898647776,0.5191391175918969,0.5096082742946973,0.5102958355364283,0.2471552650234362,0.6472380740494192,0.5015718227277706,0.4295949028773729,0.40433962364537646,0.5644582077771101,0.43114118886314245,0.44867890712232517,0.45229257347113816,0.37848338169209345,0.4829682645353977,0.2983505059230631,0.3655156670212326,0.35656421484908585,0.4496698044654718,0.22483171551117398,0.48546811502408604,0.33089244582910626,0.33814420770646314,0.42776185478561374,0.27394637381129583,0.2924536611646779,0.441125447479695,0.4304573207416852,0.37524559497630305,0.375116093190053,0.385185013685167,0.3859731252544084,0.3867325168534459,0.3754155956582201,0.3719436981959904,0.40990597071645146,0.30146617441448886,0.46546344672677575,0.4397260266360155,0.4284310359194291,0.4272890849335898,0.4483260571619384,0.414873563291297,0.42738391644744245,0.4222936430780944,0.4242537897455163,0.4416745220442853,0.4233844266528882,0.4335868281704279,0.4245454967889485,0.43427231646359016,0.48665889199359147,0.49937325610420547,0.19933824166169023,0.48869235603787187,0.49001429898248666,0.49072663542750466,0.4897568766046325,0.49065148961564237,0.5200436405486417,0.5107988202163827,0.5066319981224707,0.5020908500785836,0.42806482194113527,0.4083814587046021,0.5599078547851174,0.4305728177061594,0.44560811608646617,0.4462699675929166,0.37999067810998055,0.481852221524425
laryngeal_tissues,0.672548463446271,0.7805370388466693,0.7227004759737448,0.8224797066813285,0.5108401296558208,0.23024706555709978,0.0,0.8488541189648249,0.3751383486444431,0.2784923267342526,0.37019567634719763,0.3933768063232916,0.41419668355527783,0.34954580788346745,0.49012802924620635,0.46355056627690805,0.640891340325745,0.6583861269295572,0.8051680021300143,0.8633065222986431,0.7945093708020403,0.8004634066768115,0.7979742586674198,0.7940709683200562,0.7966315452839676,0.7970485124949849,0.7990399478367874,0.4083710974363942,0.7611043945104867,0.5400652497830634,0.49584007905396954,0.4147051108645065,0.7440740837585574,0.8453881023425038,0.8340224679460367,0.8331185421678727,0.8510457378376473,0.8277504260491053,0.840803676472877,0.8451920238239603,0.8320474712497958,0.8499751859310339,0.8295781967682823,0.8437491012597853,0.822233986429806,0.8286479959304979,0.8474371713414861,0.45815067105551793,0.8759917622932908,0.3101895702613472,0.725060836131923,1.0711936825079762,0.8721744900363471,0.726586967178513,0.7279332865605398,0.727370926109465,0.7297895323064869,0.789884003958563,0.7761756131768344,0.7789173524959652,0.4671134437654468,0.8861397879612251,0.7939330326763329,0.7981056923312781,0.7284203720151479,0.9171014436716227,0.7512096305993968,0.7712332146089331,0.766088733452591,0.6453421721143513,0.768922304785762,0.6687885110033851,0.7821913123589526,0.7319542497003202,0.8318658508100693,0.0002689418776762759,0.8445882992549625,0.2853046048621011,0.4115963136792431,0.48430363366632834,0.6382163609570465,0.6525218299272069,0.8096586901794887,0.8634961061751063,0.7923362512036884,0.7934239334788212,0.8066847935321985,0.8062223405641591,0.8061215373213184,0.7914250788046251,0.7868445314311463,0.7799045505588035,0.49841789906734313,0.7418351744558211,0.8510167444381782,0.8426481628803035,0.8320604265050713,0.8666243530818601,0.815978163701763,0.8381817982354679,0.8340822307199799,0.8305660918320179,0.8509095499519721,0.828256620383607,0.8505517374959842,0.8301891889978881,0.8388122514633469,0.8567900019697534,0.8729172627260375,0.31159389528559284,0.7256629049277559,0.7277024507370826,0.727745954765565,0.725980086438996,0.7282349255043981,0.7907850562791952,0.7769315237064525,0.7750534823040849,0.7946137070760907,0.7947489152983682,0.7321549003045098,0.9131603940944567,0.7496547663757589,0.7670358131442165,0.760131381137573,0.6478757576152498,0.7699184143273634
nerthus_bowel_cleansing_quality,0.2871168465588683,0.29876015464229816,0.2972548531846022,0.3816085488983807,0.3721642257553119,0.47037329615271256,0.75979686177523,0.0,0.49974052062001056,0.6415969282250873,0.3494009631994004,0.33054628029662014,0.4174202105751256,0.3958724184049149,0.7114162496817017,0.7280081576545573,0.14136766391665453,0.11585240354851639,0.03995297322677063,0.10984308719876906,0.21884132052006827,0.21874232594661375,0.21883995278642648,0.21928902974466513,0.219467151277333,0.21905079363006963,0.2196426104038725,0.38391132741134437,0.22611119753658215,0.44310916368103265,0.5859119779375438,0.5714571840436178,0.46490200106487367,0.3764125734096928,0.366107197090477,0.37874147672574987,0.3693928011653391,0.37852109581599225,0.36776011516964013,0.3635919165191594,0.38423248492390927,0.38513633857425394,0.37135245015026297,0.36187156610315535,0.3772631346448836,0.38844525788620976,0.49427055124260894,0.409985546520687,0.49682910328226715,0.5248575442357442,0.5556757381967632,0.5380249699214715,0.3273384583993848,0.556421277877606,0.5563691055966902,0.5580650012811292,0.557162328700201,0.2364741932054881,0.23132235111169883,0.22871410976928153,0.5510488416761155,0.7200494789234758,0.4363417325456844,0.30702210826447374,0.36272100868700946,0.41753898497248887,0.3821294720923152,0.3449689287132134,0.3634087138477418,0.5359235032854285,0.4558027296195648,0.2861903949356601,0.3144852465294039,0.29909563076306556,0.3821615916880456,0.761480687896362,0.0005800376790511503,0.6344261311381146,0.4176058673603807,0.7106143878137647,0.14125505684601258,0.12065591145943383,0.04001989976051155,0.1091960687078678,0.21698400053042943,0.22104982062858458,0.2220710842610721,0.22134924784002102,0.22298460945443876,0.2183647461933403,0.21792129880172176,0.22811796378086532,0.5868857267442217,0.4620031003217817,0.38239606310918767,0.36852380388715833,0.3768641007303868,0.3728435348914264,0.3765931792155374,0.3686818835155621,0.3608944424675947,0.38039317829035124,0.38949119330775167,0.3746900514019055,0.3609173474730957,0.37735821764113653,0.3905306009271732,0.4945894427195325,0.49797143917749104,0.5196948152882847,0.5574954369147699,0.5550317570868465,0.5578268535707123,0.5582308516138865,0.5554318032523924,0.2346854500118991,0.23351684904209674,0.22724324635392693,0.43821113672504935,0.30396581557530505,0.3627179162701903,0.41622723981620335,0.3810332789256454,0.34722144696565316,0.36175500992687476,0.5365203988045126,0.45185716285628075
stanford_dogs_image_categorization,0.36781339599667917,0.41338705087369326,0.37388288013205695,0.4474846643803759,0.31883747928068595,0.21861406652594764,0.3036674145326894,0.500367283302829,0.0,0.3470406259642582,0.08996764723819908,0.09508269827851695,0.18900394640770088,0.17894385650999212,0.4003825321166861,0.40704746187995383,0.34277702055596104,0.36485837817761274,0.459549333436605,0.48020536222206195,0.43408584326330496,0.43803698470273394,0.43613646253386296,0.43367179824186525,0.43515821683351974,0.43621816351928044,0.4365035404647309,0.26606406985323333,0.4532232794714265,0.3039842193905875,0.34969249898833465,0.3141702651510128,0.4472632556449192,0.488587417475898,0.4806778624910865,0.48420014241761783,0.49066348120222825,0.4827584826831018,0.4846981446999729,0.48543647666887985,0.4851675040880387,0.4921070464835717,0.4802683030665903,0.4880557928583484,0.47231287274887374,0.4853693954360899,0.5167111312127501,0.3058340203800047,0.5342538298601761,0.28954423793976786,0.5031898191325764,0.6414323650510049,0.4457126914391565,0.5046806700474654,0.5054055360629714,0.5049801870523719,0.5065711887115844,0.4580440694656674,0.44182441557171126,0.44406895492899623,0.33266461304242956,0.625138182045555,0.437231366980253,0.43310308544922815,0.3883769095590525,0.5224991132083628,0.3765810941600841,0.39716381182983074,0.40054511159788164,0.3575971012278061,0.492898935230341,0.3638957754676423,0.40950679286853636,0.3796897395885598,0.4542133560447686,0.3031982156526015,0.49776317903168743,0.3466134205329194,0.19217062052746148,0.39780203839262196,0.3405499420557851,0.36057179215746443,0.4620319475966208,0.4805161200927317,0.4338571238921779,0.4351399405042929,0.4437540680141485,0.4418124736683389,0.4424642023747369,0.43309890606096607,0.4290864802793475,0.46481680709414547,0.3508598787322505,0.4466068029191155,0.4937823951487803,0.48589117073368726,0.48363120493271117,0.5006331566228318,0.47539326989342473,0.4857653303427404,0.47877750132375035,0.482596280594882,0.4934389759843377,0.4808584878903719,0.49089763381230866,0.4747986230380011,0.4915209228160548,0.5223992736194538,0.5326620394752754,0.2892932286200921,0.5035993438827404,0.5053124900635615,0.5060233458932901,0.5043026335290025,0.5054362714518184,0.4574528788291693,0.4437925029541297,0.44109848764616466,0.43772698649135683,0.4279647245385561,0.389828070279827,0.5196937240880426,0.37566995425879945,0.3956395516255541,0.39646398870432825,0.3584915461217129,0.49266278525549134
svhn,0.6249664792602648,0.6750897123921887,0.6288418657232511,0.7166728991167922,0.4944058741605984,0.2815863815061278,0.2546961756812529,0.6615735636973995,0.37146452530727253,0.0,0.30295220071294066,0.30177637438064586,0.2063453650382962,0.16542446336238908,0.28241251399255674,0.27043363755334293,0.5428996054206218,0.554097406201383,0.6320070807789873,0.6723828101739298,0.6537511979955288,0.6584273147069775,0.6559687826950227,0.653536887255354,0.6557740638185295,0.6561404922107709,0.657762079071776,0.4324908478903426,0.5978665736225753,0.4833117554300068,0.47207084467273525,0.5124092378268975,0.649491895002372,0.6668945545534393,0.6558085479831416,0.6576388746263336,0.6688786299824165,0.6538578818436022,0.6624117132211242,0.6642094238530367,0.6566448982861678,0.6685121107075082,0.653320668834093,0.6632534667619845,0.6438436056351089,0.655712240296289,0.6863780754846235,0.47331526456421197,0.7074509910494885,0.4113160822816643,0.687698247058478,0.8698863677713642,0.6557168027691793,0.68841060933636,0.6899693210946518,0.6896567642438007,0.69100913807563,0.6376956066526184,0.6241290703810305,0.627432744137277,0.47772577354368134,0.8355056509099836,0.5660517620775183,0.5975100719650105,0.5314793040548892,0.679372931096438,0.5369979742398733,0.5159489711554568,0.5406555503292907,0.6020402521276957,0.700629944189244,0.6232864661782196,0.6687345199849853,0.6354100180809792,0.7223233074490965,0.25588919548577244,0.6576244017312791,0.0007213633436749604,0.20265698552135258,0.2808295969641796,0.5403044569854807,0.5497726289938978,0.6343571920286486,0.6739589578518261,0.6513450996355521,0.6527009832502517,0.6642010706115076,0.6640799534649661,0.6631867341974613,0.6535720130299467,0.6467646608013408,0.612891341494686,0.4736622920337799,0.6473489123832422,0.6725059526063601,0.6617398514391578,0.6551882798459202,0.6808058297214172,0.6441277340503369,0.6610940539815747,0.6561797361533109,0.6554257191695012,0.6699468383285097,0.654041343252701,0.6697004778498834,0.6486404139613797,0.6631286790112231,0.6939778185479933,0.7048835326667041,0.4117567043905097,0.6883996004714119,0.6890477890313699,0.6894458799627479,0.6883679598220341,0.6898361870136093,0.6377408132706319,0.6241063102656237,0.6239813026911221,0.5673648991414951,0.5946868949085476,0.5339409276044087,0.677219660332514,0.5362487239835556,0.5129461630492497,0.5367211334640246,0.6037712421110032,0.7007995985143369
