,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.03805346041917801,0.033585257828235626,0.07670816034078598,0.14791595935821533,0.06664540618658066,0.459865927696228,0.15136177837848663,0.14317330718040466,0.5897858142852783,0.05141641944646835,0.05458318442106247,0.29795488715171814,0.2824274003505707,0.4466550350189209,0.4948285222053528,0.04630251228809357,0.049736764281988144,0.10066039860248566,0.10353945940732956,0.059147659689188004,0.06100635975599289,0.060003265738487244,0.0593891479074955,0.05924057215452194,0.05958619341254234,0.059472307562828064,0.13075320422649384,0.1600046157836914,0.17388835549354553,0.24016737937927246,0.26898106932640076,0.3471542298793793,0.21143124997615814,0.21405933797359467,0.2230549156665802,0.20945125818252563,0.22497011721134186,0.20770323276519775,0.20785023272037506,0.22501271963119507,0.22065852582454681,0.21575939655303955,0.20756731927394867,0.20543822646141052,0.22936804592609406,0.28659626841545105,0.16741512715816498,0.29076313972473145,0.1760699599981308,0.39216387271881104,0.2930334210395813,0.2440091371536255,0.3935268223285675,0.39331766963005066,0.39554303884506226,0.39494121074676514,0.2528177797794342,0.25020796060562134,0.2488681972026825,0.3810920715332031,0.5402075052261353,0.3112350106239319,0.19401274621486664,0.23904336988925934,0.27901217341423035,0.24671359360218048,0.22884675860404968,0.2563343346118927,0.243483766913414,0.36485549807548523,-0.0013463804498314857,0.041028689593076706,0.03540736809372902,0.07967790961265564,0.4571130573749542,0.14968977868556976,0.586689829826355,0.3027932047843933,0.4449286460876465,0.044159796088933945,0.04725697636604309,0.10269105434417725,0.1023295521736145,0.06046552211046219,0.05862978845834732,0.06160354241728783,0.06412634998559952,0.06153218448162079,0.057643793523311615,0.06052462011575699,0.16404922306537628,0.24387387931346893,0.3434946835041046,0.21516315639019012,0.21389265358448029,0.2205408364534378,0.21058301627635956,0.22433096170425415,0.20879067480564117,0.2049066722393036,0.22448238730430603,0.22249338030815125,0.21813875436782837,0.20686009526252747,0.20677264034748077,0.22886481881141663,0.2883286774158478,0.29160138964653015,0.17173540592193604,0.3929064869880676,0.39299967885017395,0.3933246433734894,0.39566922187805176,0.3942785859107971,0.25239232182502747,0.2519412040710449,0.24952667951583862,0.31279730796813965,0.19206294417381287,0.2391093522310257,0.2764435410499573,0.2463059276342392,0.23014278709888458,0.2534415125846863,0.2444111704826355,0.36301738023757935
lapgyn4_surgical_actions,0.0005112684448249638,0.0,-0.002092889742925763,0.02161012589931488,0.15130850672721863,0.058610059320926666,0.45882245898246765,0.13069938123226166,0.13407990336418152,0.5713423490524292,0.036378923803567886,0.03686359152197838,0.28294095396995544,0.2740578055381775,0.42014992237091064,0.46921560168266296,0.047621164470911026,0.048588212579488754,0.0890391543507576,0.08594536036252975,0.03172615170478821,0.03345946595072746,0.03233182430267334,0.03196738287806511,0.03179939463734627,0.03221190348267555,0.03204961121082306,0.11720099300146103,0.12846103310585022,0.16336286067962646,0.24449080228805542,0.2836667001247406,0.3239152133464813,0.19009371101856232,0.19069142639636993,0.1978503316640854,0.188454270362854,0.19952470064163208,0.1862383484840393,0.18648426234722137,0.200336754322052,0.19667252898216248,0.19169001281261444,0.18623942136764526,0.18396879732608795,0.20331230759620667,0.266858845949173,0.1617230623960495,0.26987528800964355,0.17910228669643402,0.3889540433883667,0.26794788241386414,0.21340501308441162,0.39010000228881836,0.38990458846092224,0.3918478190898895,0.39131858944892883,0.21129432320594788,0.21525965631008148,0.21508577466011047,0.34315240383148193,0.5236235857009888,0.26645103096961975,0.16395726799964905,0.20740222930908203,0.2392706274986267,0.2078046202659607,0.1936175376176834,0.21804974973201752,0.23591023683547974,0.35819029808044434,-0.0008482058183290064,0.0016842962941154838,-0.0006850610952824354,0.023741934448480606,0.45572611689567566,0.12922033667564392,0.5680541396141052,0.2877795100212097,0.4186989367008209,0.0459984689950943,0.04580026865005493,0.09078536927700043,0.08514858037233353,0.03311022371053696,0.03127578645944595,0.0338827483355999,0.03626338019967079,0.032899126410484314,0.03035382740199566,0.03293222934007645,0.13135004043579102,0.24811075627803802,0.32050713896751404,0.1932758092880249,0.19010546803474426,0.19527265429496765,0.18927966058254242,0.19906339049339294,0.18712136149406433,0.1841486245393753,0.1998612880706787,0.19791147112846375,0.1943233609199524,0.18562692403793335,0.18458254635334015,0.20284217596054077,0.26796188950538635,0.27103814482688904,0.17470431327819824,0.3894297182559967,0.3896462023258209,0.3897584080696106,0.39207881689071655,0.3909355401992798,0.21093067526817322,0.21663318574428558,0.215383842587471,0.26795101165771484,0.161850705742836,0.20645837485790253,0.23708252608776093,0.2078676074743271,0.19512036442756653,0.2160390168428421,0.23671995103359222,0.35632166266441345
lapgyn4_instrument_count,0.014524070546030998,0.016257302835583687,0.0,0.02715168707072735,0.15136513113975525,0.06170404329895973,0.44076958298683167,0.14241503179073334,0.13544166088104248,0.5389325618743896,0.03817477077245712,0.038223836570978165,0.27093711495399475,0.25966307520866394,0.4084470272064209,0.4557751715183258,0.05612706020474434,0.05557290092110634,0.10469944775104523,0.10522442311048508,0.03246548771858215,0.03421943634748459,0.033100880682468414,0.03261857107281685,0.03269612789154053,0.03307069092988968,0.03283439204096794,0.129118412733078,0.14844870567321777,0.18851816654205322,0.2429814487695694,0.29132458567619324,0.3426252007484436,0.20776166021823883,0.21033397316932678,0.21897651255130768,0.20613017678260803,0.22079527378082275,0.20414455235004425,0.20433373749256134,0.2211799919605255,0.2169746309518814,0.2114933878183365,0.20321042835712433,0.2022937685251236,0.22505661845207214,0.2826259732246399,0.17360199987888336,0.2865663468837738,0.1970365047454834,0.36698558926582336,0.29118919372558594,0.22761212289333344,0.36809730529785156,0.3678673207759857,0.36976727843284607,0.36923250555992126,0.20780107378959656,0.215520977973938,0.21578039228916168,0.3759511709213257,0.49548131227493286,0.2673710584640503,0.16790032386779785,0.19947029650211334,0.24396616220474243,0.2017507404088974,0.19261057674884796,0.21233579516410828,0.25103703141212463,0.3364112377166748,0.013031394220888615,0.015408183448016644,0.002241744427010417,0.02995660901069641,0.4379798471927643,0.14108097553253174,0.5359032154083252,0.27536964416503906,0.40648311376571655,0.05449175089597702,0.05264822766184807,0.10652649402618408,0.10428474098443985,0.03387545421719551,0.03203564137220383,0.03491688892245293,0.03665158897638321,0.03361755236983299,0.031160930171608925,0.03308577090501785,0.15187151730060577,0.24658843874931335,0.3390985429286957,0.21164461970329285,0.2099291831254959,0.2160969227552414,0.20714044570922852,0.21998628973960876,0.20506741106510162,0.20171545445919037,0.22065673768520355,0.2189260572195053,0.21442586183547974,0.20237670838832855,0.20335547626018524,0.22447896003723145,0.284135639667511,0.28788456320762634,0.19310300052165985,0.36762046813964844,0.3675128221511841,0.3679475784301758,0.37005624175071716,0.3689022958278656,0.20763003826141357,0.21666181087493896,0.21628277003765106,0.2685004770755768,0.16548621654510498,0.19862280786037445,0.24180053174495697,0.20159679651260376,0.1936502903699875,0.20994989573955536,0.2518395483493805,0.3350819945335388
lapgyn4_anatomical_actions,0.017343834042549133,0.005158708430826664,-0.0082478616386652,0.0,0.1836492419242859,0.07970763742923737,0.4596370458602905,0.1638924479484558,0.14138731360435486,0.5536667704582214,0.04305635020136833,0.04357529804110527,0.2794942855834961,0.26961034536361694,0.4183187186717987,0.4648992717266083,0.08141998201608658,0.07881629467010498,0.12152720987796783,0.11932235211133957,0.042042557150125504,0.04409732669591904,0.04254794865846634,0.04223598539829254,0.04215659573674202,0.042631130665540695,0.04230228066444397,0.14677616953849792,0.15466687083244324,0.1966855376958847,0.2723616063594818,0.3267817795276642,0.36284294724464417,0.21547996997833252,0.21705764532089233,0.224241241812706,0.214475616812706,0.22606654465198517,0.211874857544899,0.21270683407783508,0.2268773317337036,0.22247208654880524,0.2176043689250946,0.2115560621023178,0.20813000202178955,0.22934603691101074,0.2932969927787781,0.20073260366916656,0.29687047004699707,0.22287103533744812,0.43102043867111206,0.2961348593235016,0.24643535912036896,0.43223804235458374,0.43206968903541565,0.43392491340637207,0.4335109293460846,0.232884481549263,0.2433377206325531,0.24401551485061646,0.36312538385391235,0.5638458728790283,0.2894269526004791,0.18400341272354126,0.22039242088794708,0.26035264134407043,0.2218303382396698,0.207170769572258,0.2356756329536438,0.26959070563316345,0.39832866191864014,0.015736175701022148,0.004608542192727327,-0.006364975590258837,0.002093440154567361,0.4569093883037567,0.1624484807252884,0.5506947636604309,0.2844811677932739,0.41631433367729187,0.07952910661697388,0.07579990476369858,0.12328031659126282,0.11843186616897583,0.044146932661533356,0.041574615985155106,0.04464077949523926,0.04691420868039131,0.04237045720219612,0.04057556390762329,0.04316800460219383,0.15762026607990265,0.2760568857192993,0.3597845137119293,0.21865496039390564,0.21646510064601898,0.22157546877861023,0.21529324352741241,0.22519813477993011,0.21268148720264435,0.21017852425575256,0.22626419365406036,0.22368833422660828,0.22047299146652222,0.21111245453357697,0.2086203694343567,0.22889135777950287,0.29465457797050476,0.29815903306007385,0.21917283535003662,0.4314035177230835,0.43187451362609863,0.43192800879478455,0.43419328331947327,0.433214008808136,0.23267044126987457,0.24462668597698212,0.24414490163326263,0.29085490107536316,0.18139459192752838,0.2190672904253006,0.2581872344017029,0.2220904529094696,0.20873452723026276,0.23351392149925232,0.2704007923603058,0.3967480957508087
sklin2_skin_lesions,0.22843846678733826,0.2771707773208618,0.2459050565958023,0.3169085383415222,0.0,0.09790375828742981,0.5164327621459961,0.24920132756233215,0.18866614997386932,0.7515087127685547,0.09957891702651978,0.0952979251742363,0.43189895153045654,0.4159139394760132,0.6021897196769714,0.6233921051025391,0.14310608804225922,0.14945867657661438,0.2249639481306076,0.24183887243270874,0.2175385057926178,0.2193537801504135,0.21902841329574585,0.21818505227565765,0.21855607628822327,0.21904291212558746,0.21843495965003967,0.027082771062850952,0.25738903880119324,0.15896938741207123,0.2769700288772583,0.13748799264431,0.3453731834888458,0.28438594937324524,0.2872035801410675,0.2967279553413391,0.28135931491851807,0.2982754707336426,0.2793309688568115,0.27764424681663513,0.3005576729774475,0.29965680837631226,0.2875756621360779,0.2711777687072754,0.2814680337905884,0.3042774796485901,0.4159117639064789,0.0391862615942955,0.4213173985481262,0.05630240589380264,0.2643531262874603,0.4227672517299652,0.2917986214160919,0.2666519284248352,0.2656932771205902,0.2669205069541931,0.2671961188316345,0.2489819973707199,0.2359105944633484,0.23613184690475464,0.313715398311615,0.3940829634666443,0.3586842119693756,0.25291183590888977,0.2885345220565796,0.3577651381492615,0.3043449819087982,0.2796989381313324,0.2888459861278534,0.2720112204551697,0.2252691388130188,0.2253558188676834,0.27761930227279663,0.253988116979599,0.3220592141151428,0.5120189189910889,0.2469809651374817,0.7492793798446655,0.4383244514465332,0.6013766527175903,0.1428513377904892,0.14468830823898315,0.22626808285713196,0.24308888614177704,0.21655724942684174,0.21826690435409546,0.22283607721328735,0.22203019261360168,0.2230161875486374,0.216536745429039,0.21453310549259186,0.26522067189216614,0.28190428018569946,0.342523992061615,0.29008159041404724,0.2896750569343567,0.2933695912361145,0.28400787711143494,0.29413920640945435,0.2795955538749695,0.2735096514225006,0.2994656264781952,0.3020933270454407,0.2909225821495056,0.270905077457428,0.28487539291381836,0.30520087480545044,0.4181337356567383,0.4227355122566223,0.05559809133410454,0.26524028182029724,0.264838844537735,0.267402321100235,0.26696038246154785,0.2662339508533478,0.248715341091156,0.23617297410964966,0.23719148337841034,0.35911938548088074,0.24978019297122955,0.29080018401145935,0.3559532165527344,0.3033035099506378,0.2784893810749054,0.28408071398735046,0.27217599749565125,0.2243872880935669
identify_nbi_infframes,0.24157948791980743,0.2813282608985901,0.2732311487197876,0.3438265323638916,0.26825839281082153,0.0,0.47269752621650696,0.3313165009021759,0.24454069137573242,0.6638957858085632,0.15168499946594238,0.14772406220436096,0.4347953200340271,0.41340190172195435,0.591184675693512,0.6025638580322266,0.20715901255607605,0.21578183770179749,0.28660646080970764,0.2751754820346832,0.2582453191280365,0.2602477967739105,0.25950026512145996,0.2584332823753357,0.25898250937461853,0.259671688079834,0.26034560799598694,0.20910750329494476,0.28704699873924255,0.22472211718559265,0.3467515707015991,0.35454195737838745,0.4682278037071228,0.32981911301612854,0.3188154101371765,0.32571858167648315,0.3282557427883148,0.3243604600429535,0.32322174310684204,0.32281965017318726,0.32678720355033875,0.3330634534358978,0.3206566870212555,0.32160529494285583,0.31634584069252014,0.32928669452667236,0.45515817403793335,0.2635805308818817,0.4646143913269043,0.22797392308712006,0.49933916330337524,0.5038612484931946,0.3840874433517456,0.4996500313282013,0.5004289150238037,0.5023350119590759,0.5020264387130737,0.4549601078033447,0.44384726881980896,0.44259652495384216,0.3194233477115631,0.6395745277404785,0.4221908450126648,0.30115586519241333,0.3370707929134369,0.41579896211624146,0.3561927378177643,0.3293841481208801,0.3569803535938263,0.35754987597465515,0.48635801672935486,0.23838822543621063,0.27463459968566895,0.27795925736427307,0.3515566289424896,0.46766263246536255,0.3288460671901703,0.6640421152114868,0.44047123193740845,0.5888699293136597,0.2044352889060974,0.21032144129276276,0.28923389315605164,0.27521345019340515,0.25775623321533203,0.25710034370422363,0.2636820375919342,0.26524168252944946,0.2636096775531769,0.25845208764076233,0.2562007009983063,0.2937881350517273,0.35286739468574524,0.46291911602020264,0.3325608968734741,0.3216612935066223,0.32427671551704407,0.33325332403182983,0.31942903995513916,0.32163840532302856,0.31781989336013794,0.3262665867805481,0.33446818590164185,0.3232021927833557,0.32355183362960815,0.31914645433425903,0.3311275839805603,0.45760437846183777,0.4655171036720276,0.22494067251682281,0.4998118579387665,0.5000420808792114,0.4996560215950012,0.5022454857826233,0.5020332932472229,0.4554857313632965,0.4439893066883087,0.44375523924827576,0.4235474765300751,0.2994556427001953,0.3404369652271271,0.4119952917098999,0.3561224341392517,0.3269869089126587,0.35209596157073975,0.3585146963596344,0.48373913764953613
laryngeal_tissues,0.5148236751556396,0.5526906251907349,0.5294420719146729,0.6106546521186829,0.4052734076976776,0.1859724372625351,0.0,0.5916346311569214,0.33812031149864197,0.19635964930057526,0.20527383685112,0.2206840217113495,0.21991963684558868,0.17450633645057678,0.39888638257980347,0.39884886145591736,0.4799165725708008,0.47649478912353516,0.5599262118339539,0.5570488572120667,0.5430474281311035,0.5463482141494751,0.5446447134017944,0.543795108795166,0.5435411334037781,0.5456756353378296,0.5452561378479004,0.3206225037574768,0.5510908961296082,0.4438778758049011,0.46883824467658997,0.4995124340057373,0.6686795949935913,0.6043242812156677,0.5993024706840515,0.6041303873062134,0.606695830821991,0.603161096572876,0.5995264053344727,0.6007692217826843,0.6057565212249756,0.6126999258995056,0.596943736076355,0.6012205481529236,0.5878763794898987,0.6077361702919006,0.7249482274055481,0.4347217381000519,0.7364798188209534,0.31550332903862,0.7582381367683411,0.818008542060852,0.6766906976699829,0.7598275542259216,0.7596877217292786,0.7618156671524048,0.7620704174041748,0.6783415079116821,0.6627498269081116,0.6635782718658447,0.513007402420044,0.944030225276947,0.6004574298858643,0.5387226343154907,0.5715293288230896,0.6508190035820007,0.5670256614685059,0.5264204144477844,0.5371201038360596,0.5357679724693298,0.7571117877960205,0.5108146667480469,0.5746510624885559,0.537874162197113,0.6176785230636597,-0.0004061082727275789,0.5882381200790405,0.20058123767375946,0.22110587358474731,0.3948010802268982,0.47880324721336365,0.470184862613678,0.5635234713554382,0.5581766963005066,0.5422425866127014,0.5433310866355896,0.5511094927787781,0.5524072051048279,0.5493646264076233,0.5413506031036377,0.5385535359382629,0.5626505613327026,0.4730601906776428,0.662591278553009,0.6105908155441284,0.6021119356155396,0.6002920269966125,0.6115199327468872,0.5967312455177307,0.5979969501495361,0.5950115919113159,0.606636106967926,0.6136879920959473,0.6002907752990723,0.6040419340133667,0.5917268991470337,0.6118862628936768,0.729006826877594,0.7363888025283813,0.3131730556488037,0.7596371173858643,0.7589574456214905,0.7591720819473267,0.7618507146835327,0.7621131539344788,0.6785625219345093,0.6627606749534607,0.6669443249702454,0.6014020442962646,0.5361951589584351,0.5743971467018127,0.6474952697753906,0.5658950209617615,0.5241404175758362,0.5335568785667419,0.5372005105018616,0.7547782063484192
nerthus_bowel_cleansing_quality,0.09952269494533539,0.12687543034553528,0.11609487980604172,0.17895585298538208,0.12005921453237534,0.07357395440340042,0.3887004852294922,0.0,0.1669241040945053,0.47739917039871216,0.034185174852609634,0.031646475195884705,0.24934054911136627,0.2314796894788742,0.3426542580127716,0.37439990043640137,0.017108259722590446,0.009414930827915668,0.0015244417591020465,0.0419013649225235,0.07826284319162369,0.07894966751337051,0.07877365499734879,0.07858162373304367,0.07891373336315155,0.07894522696733475,0.07913225144147873,0.10143427550792694,0.0773092582821846,0.16561537981033325,0.20232415199279785,0.2775717079639435,0.24533569812774658,0.19080005586147308,0.18509024381637573,0.1917608678340912,0.18629977107048035,0.1920372098684311,0.18466612696647644,0.1824939101934433,0.19410794973373413,0.19585810601711273,0.1858443170785904,0.18044888973236084,0.18484655022621155,0.1972086876630783,0.28483298420906067,0.13468194007873535,0.2879478335380554,0.1693265736103058,0.2618238031864166,0.2960841953754425,0.15466809272766113,0.2622842490673065,0.2622942626476288,0.2642034888267517,0.26327812671661377,0.10866909474134445,0.10534843057394028,0.10313952714204788,0.2950610816478729,0.38281282782554626,0.23821832239627838,0.12632890045642853,0.14349931478500366,0.21907593309879303,0.17086119949817657,0.1475435048341751,0.164088636636734,0.28616660833358765,0.2263219654560089,0.09774719923734665,0.13617877662181854,0.11909294873476028,0.1816224455833435,0.3862036168575287,-0.0007139422232285142,0.4737091362476349,0.2522400915622711,0.34204477071762085,0.0157480388879776,0.01022297702729702,0.0024716092739254236,0.041444081813097,0.0776045173406601,0.0788344293832779,0.0813942700624466,0.08168628811836243,0.08136273920536041,0.0779607892036438,0.07685274630784988,0.08079774677753448,0.20593199133872986,0.24141089618206024,0.19528740644454956,0.1860554814338684,0.18936032056808472,0.18837764859199524,0.19018718600273132,0.18500292301177979,0.18016499280929565,0.1936456710100174,0.19839262962341309,0.18903884291648865,0.17994962632656097,0.18594501912593842,0.19768308103084564,0.28573545813560486,0.28926876187324524,0.1652016043663025,0.2627331614494324,0.2614433169364929,0.2618876099586487,0.2644313871860504,0.2626877427101135,0.10853876918554306,0.1063053160905838,0.10265947133302689,0.23886562883853912,0.12331514805555344,0.1442248821258545,0.21697314083576202,0.16983136534690857,0.14697809517383575,0.16007883846759796,0.28683197498321533,0.22424361109733582
stanford_dogs_image_categorization,0.3511292636394501,0.37376490235328674,0.35400059819221497,0.41508588194847107,0.3351619243621826,0.20774739980697632,0.3878839313983917,0.3988844156265259,0.0,0.448552668094635,0.06974110007286072,0.08122774213552475,0.21467895805835724,0.22088369727134705,0.41413021087646484,0.4710255265235901,0.32248619198799133,0.32227638363838196,0.36189332604408264,0.3661583960056305,0.3617301285266876,0.3639344274997711,0.3629170060157776,0.3619392514228821,0.3622800409793854,0.36340057849884033,0.36285775899887085,0.3264840841293335,0.38546672463417053,0.2944544553756714,0.3625722825527191,0.5828453302383423,0.4916609227657318,0.42802825570106506,0.42298269271850586,0.4267567992210388,0.4273039996623993,0.4280548691749573,0.4236629009246826,0.4228675663471222,0.42796385288238525,0.4301643967628479,0.4222486913204193,0.4245409667491913,0.40856775641441345,0.4302586615085602,0.5068482756614685,0.3874925673007965,0.5150510668754578,0.39689943194389343,0.5913875699043274,0.5638155341148376,0.37642350792884827,0.5927575826644897,0.5925105214118958,0.5940312743186951,0.5934786200523376,0.4289175271987915,0.41399767994880676,0.41385549306869507,0.39788538217544556,0.6933135986328125,0.4225575625896454,0.35293495655059814,0.3730684518814087,0.44700372219085693,0.36523815989494324,0.3458849787712097,0.36552318930625916,0.409670889377594,0.5478349924087524,0.34609296917915344,0.38880065083503723,0.3597877025604248,0.4198373556137085,0.3852812945842743,0.3972030282020569,0.44749853014945984,0.2192252278327942,0.4132266342639923,0.3198773264884949,0.3184056878089905,0.3638451099395752,0.36625632643699646,0.36156603693962097,0.363252192735672,0.368743360042572,0.36807048320770264,0.3661562204360962,0.3609316349029541,0.35859358310699463,0.3913666903972626,0.36558958888053894,0.4885657727718353,0.4318108856678009,0.4235088527202606,0.42491570115089417,0.4313509166240692,0.42352837324142456,0.4237799644470215,0.41853922605514526,0.4281822443008423,0.4303247928619385,0.42490172386169434,0.4262775182723999,0.4095280170440674,0.43240994215011597,0.5093796849250793,0.515566885471344,0.3948156535625458,0.5924436450004578,0.5920377969741821,0.5919963717460632,0.5942924618721008,0.5936364531517029,0.42871972918510437,0.41599488258361816,0.4145450294017792,0.4231433570384979,0.3494197428226471,0.37344545125961304,0.4443586766719818,0.36441102623939514,0.34476739168167114,0.3612903952598572,0.4094703495502472,0.5462391376495361
svhn,0.5355094075202942,0.5439362525939941,0.5198473930358887,0.5986016392707825,0.3945505917072296,0.20827621221542358,0.1487366408109665,0.4861224293708801,0.31174221634864807,0.0,0.1688375473022461,0.15918901562690735,0.09390632808208466,0.06038568913936615,0.19215796887874603,0.1928578019142151,0.4423048794269562,0.4283576011657715,0.4692675769329071,0.4561494290828705,0.4825778603553772,0.48507168889045715,0.4837498664855957,0.4832971394062042,0.4837973117828369,0.48512783646583557,0.48462462425231934,0.3418356478214264,0.43247342109680176,0.39823099970817566,0.38736453652381897,0.6312137842178345,0.581628680229187,0.5533444881439209,0.5552693009376526,0.5624732971191406,0.5569702386856079,0.5638527274131775,0.5515425205230713,0.552582323551178,0.5604993104934692,0.563011884689331,0.5525988936424255,0.551243007183075,0.5357006788253784,0.5658343434333801,0.606738269329071,0.4266408085823059,0.6137603521347046,0.40194272994995117,0.6366448998451233,0.7410911321640015,0.47791144251823425,0.6376156806945801,0.6375793218612671,0.6397446393966675,0.6392418146133423,0.5262954831123352,0.5103057622909546,0.5124019980430603,0.539110541343689,0.7676854133605957,0.4263165593147278,0.42951130867004395,0.4197447896003723,0.4761209785938263,0.39787837862968445,0.348869651556015,0.37801575660705566,0.5560925006866455,0.6311207413673401,0.5328941345214844,0.5524470210075378,0.5273870229721069,0.6022270917892456,0.1499817669391632,0.4833759367465973,0.0012051700614392757,0.0912606418132782,0.1906462013721466,0.4414871037006378,0.4233977496623993,0.47039175033569336,0.45869314670562744,0.48167452216148376,0.4830566346645355,0.49075937271118164,0.4891142249107361,0.48760005831718445,0.4829780161380768,0.4768869876861572,0.44280773401260376,0.3919769525527954,0.576418936252594,0.5598691701889038,0.557249128818512,0.5566301941871643,0.5591009855270386,0.5571420192718506,0.5493564605712891,0.5483737587928772,0.5624173283576965,0.5642062425613403,0.5581797957420349,0.5536994338035583,0.5379486680030823,0.5687052011489868,0.6093434691429138,0.6126980781555176,0.39992085099220276,0.6376188397407532,0.6372337341308594,0.6365934014320374,0.639462947845459,0.6398016214370728,0.5256161093711853,0.5107828974723816,0.5139124393463135,0.4270164668560028,0.4265114665031433,0.4199602007865906,0.47366976737976074,0.39679038524627686,0.3468131422996521,0.37689051032066345,0.5565494894981384,0.6291720271110535
