,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.06454344093799591,0.07210882008075714,0.09915333986282349,0.19745604693889618,0.19439797103405,0.2700638473033905,0.15482822060585022,0.24200956523418427,0.2707730233669281,0.2043379545211792,0.2033543884754181,0.22729220986366272,0.21795716881752014,0.2809083163738251,0.2868669629096985,0.12650571763515472,0.11678177118301392,0.14325131475925446,0.12780839204788208,0.09313219785690308,0.09345684945583344,0.09310543537139893,0.09284012019634247,0.09273149073123932,0.09297891706228256,0.09279599785804749,0.20102743804454803,0.18447144329547882,0.20539283752441406,0.239207461476326,0.21954360604286194,0.25055280327796936,0.2011878490447998,0.2033482789993286,0.2078903615474701,0.2003733515739441,0.20860007405281067,0.2004852294921875,0.20048531889915466,0.2089046835899353,0.20683470368385315,0.20536485314369202,0.19874894618988037,0.20181065797805786,0.21079079806804657,0.20848509669303894,0.20936353504657745,0.20794335007667542,0.21829287707805634,0.25952014327049255,0.22342747449874878,0.21167823672294617,0.259945809841156,0.2599116563796997,0.26027584075927734,0.2599549889564514,0.2065618932247162,0.20379307866096497,0.20288829505443573,0.2530598044395447,0.2843201160430908,0.23785312473773956,0.1982516646385193,0.2207106500864029,0.21140289306640625,0.229486882686615,0.2209395170211792,0.22696836292743683,0.2245592176914215,0.2426932156085968,,0.07746705412864685,0.07135024666786194,0.09992416203022003,0.2706015706062317,0.15508732199668884,0.26998990774154663,0.2279963344335556,0.28056085109710693,0.12566229701042175,0.11637163907289505,0.14423730969429016,0.12697863578796387,0.09372606873512268,0.09305668622255325,0.09316153824329376,0.09430976212024689,0.09388287365436554,0.09108355641365051,0.09523650258779526,0.18502184748649597,0.23908787965774536,0.2497221678495407,0.20205143094062805,0.20341770350933075,0.20763260126113892,0.20010507106781006,0.20809704065322876,0.20046570897102356,0.19935278594493866,0.2083224058151245,0.20794406533241272,0.20580905675888062,0.19834308326244354,0.20207521319389343,0.21048614382743835,0.20812605321407318,0.20796319842338562,0.21649762988090515,0.25990140438079834,0.25958365201950073,0.2604634761810303,0.26012712717056274,0.25951826572418213,0.20566079020500183,0.2046131193637848,0.20260146260261536,0.23772570490837097,0.1980682611465454,0.2212279886007309,0.21091735363006592,0.22964608669281006,0.22187352180480957,0.22651031613349915,0.22472809255123138,0.2422131597995758
lapgyn4_surgical_actions,0.06626579910516739,0.0,0.040692996233701706,0.05753372609615326,0.2101348340511322,0.20859667658805847,0.2791260778903961,0.16130994260311127,0.25030356645584106,0.273540735244751,0.20360946655273438,0.20089557766914368,0.22861641645431519,0.2210489958524704,0.2736075222492218,0.2803364396095276,0.14597249031066895,0.1418784111738205,0.1496308147907257,0.13240022957324982,0.08380468189716339,0.08411255478858948,0.08341607451438904,0.08379004895687103,0.08313047885894775,0.08353280276060104,0.08300980180501938,0.21065184473991394,0.17272639274597168,0.21956056356430054,0.24726824462413788,0.23982477188110352,0.24953819811344147,0.20296049118041992,0.20293103158473969,0.20589786767959595,0.20207065343856812,0.20643185079097748,0.20176951587200165,0.20183953642845154,0.20723167061805725,0.20573092997074127,0.20422086119651794,0.20006313920021057,0.20225274562835693,0.2078319489955902,0.21359366178512573,0.2213088870048523,0.21135646104812622,0.23573054373264313,0.26305916905403137,0.2181835174560547,0.2119411826133728,0.26340240240097046,0.2632039189338684,0.26360341906547546,0.2633149027824402,0.20764613151550293,0.2083892822265625,0.20810425281524658,0.2537703216075897,0.2869691252708435,0.2244359254837036,0.19422940909862518,0.2167278379201889,0.19766764342784882,0.21705766022205353,0.21108397841453552,0.21763280034065247,0.2267289161682129,0.24477073550224304,0.06744001060724258,,0.038307689130306244,0.058185212314128876,0.27944231033325195,0.16149990260601044,0.2728129029273987,0.22929289937019348,0.27307355403900146,0.14608439803123474,0.14110521972179413,0.15029887855052948,0.13192009925842285,0.08446389436721802,0.08365795761346817,0.08307161182165146,0.08475131541490555,0.08184070885181427,0.082368865609169,0.08638262748718262,0.17223092913627625,0.2470429241657257,0.24896283447742462,0.20321670174598694,0.2026781141757965,0.20543059706687927,0.20153465867042542,0.20618057250976562,0.2016773819923401,0.200953409075737,0.20659062266349792,0.20618227124214172,0.20490272343158722,0.19980120658874512,0.20225507020950317,0.20768402516841888,0.21270781755447388,0.2116742581129074,0.23378905653953552,0.26332324743270874,0.2628823518753052,0.2637765109539032,0.2635941505432129,0.2631690800189972,0.20683622360229492,0.20871984958648682,0.20815983414649963,0.22436891496181488,0.19362720847129822,0.2163827121257782,0.1972634196281433,0.2173498570919037,0.2120140790939331,0.21754419803619385,0.22670984268188477,0.24418777227401733
lapgyn4_instrument_count,0.07199210673570633,0.03901612386107445,0.0,0.04412320256233215,0.19788920879364014,0.20403385162353516,0.2733948826789856,0.16146042943000793,0.24176694452762604,0.26642489433288574,0.19240865111351013,0.1906103491783142,0.22150853276252747,0.21500332653522491,0.26245999336242676,0.26772671937942505,0.13940492272377014,0.13518792390823364,0.1517229825258255,0.1406344473361969,0.07515428960323334,0.07595236599445343,0.07503935694694519,0.07507935166358948,0.07471112906932831,0.07518860697746277,0.07444653660058975,0.2049388736486435,0.17824502289295197,0.21869926154613495,0.23779559135437012,0.22721487283706665,0.24133901298046112,0.2031349390745163,0.20447880029678345,0.20858971774578094,0.20176012814044952,0.20934748649597168,0.20188277959823608,0.20163172483444214,0.20992343127727509,0.20703765749931335,0.20549066364765167,0.19968846440315247,0.20409786701202393,0.21079757809638977,0.20824426412582397,0.21499904990196228,0.2060212939977646,0.22918283939361572,0.25207459926605225,0.21792413294315338,0.20888637006282806,0.2524089217185974,0.2521135210990906,0.25257501006126404,0.2522946298122406,0.2024962604045868,0.2047053426504135,0.2045588195323944,0.2516706883907318,0.2767498195171356,0.2197868674993515,0.19379794597625732,0.21027590334415436,0.20067757368087769,0.21082623302936554,0.2053467482328415,0.2114846110343933,0.2238609939813614,0.2338140904903412,0.07266087085008621,0.04542058706283569,,0.04618079587817192,0.27384743094444275,0.16151730716228485,0.2657510042190552,0.222167506814003,0.26197201013565063,0.13972178101539612,0.13413944840431213,0.15235823392868042,0.14025962352752686,0.0759749487042427,0.07500945031642914,0.07513119280338287,0.07641201466321945,0.07368513196706772,0.07349696755409241,0.0772966593503952,0.17828068137168884,0.23766398429870605,0.24076950550079346,0.20370471477508545,0.20435309410095215,0.2078094482421875,0.2016734629869461,0.20921483635902405,0.20193389058113098,0.200709268450737,0.20919685065746307,0.20814314484596252,0.20632141828536987,0.19916671514511108,0.2043670415878296,0.2104988396167755,0.2075369656085968,0.20604999363422394,0.22699469327926636,0.2523714303970337,0.25183165073394775,0.25275954604148865,0.2526087164878845,0.2521951496601105,0.2017737627029419,0.2047935575246811,0.20463751256465912,0.21980580687522888,0.19332678616046906,0.20996467769145966,0.20020824670791626,0.21112939715385437,0.20618538558483124,0.21135751903057098,0.22386789321899414,0.23327581584453583
lapgyn4_anatomical_actions,0.10670439898967743,0.05992227420210838,0.04821091890335083,0.0,0.22884052991867065,0.23497289419174194,0.2999292314052582,0.19242636859416962,0.268876850605011,0.2939864695072174,0.22084331512451172,0.21890100836753845,0.2507883310317993,0.2444513738155365,0.28824734687805176,0.29388871788978577,0.17759600281715393,0.17225497961044312,0.1837015151977539,0.17105981707572937,0.11007539182901382,0.11053834855556488,0.10954832285642624,0.1099402904510498,0.1094186082482338,0.10995514690876007,0.10922161489725113,0.2325158417224884,0.19461113214492798,0.2513159215450287,0.26984667778015137,0.2582463026046753,0.2676728367805481,0.23127776384353638,0.2324392944574356,0.23575542867183685,0.23050282895565033,0.23666301369667053,0.23021675646305084,0.23059910535812378,0.23753812909126282,0.2343454360961914,0.2331455647945404,0.22860820591449738,0.23185336589813232,0.23742148280143738,0.23754620552062988,0.24007080495357513,0.23538339138031006,0.25826096534729004,0.27674925327301025,0.23870635032653809,0.236385315656662,0.2771071195602417,0.2768755555152893,0.2771545946598053,0.2769019603729248,0.22864174842834473,0.23390993475914001,0.23411688208580017,0.2795472741127014,0.2989717721939087,0.2411099225282669,0.22087138891220093,0.2373378574848175,0.22055108845233917,0.23120859265327454,0.22550000250339508,0.23421284556388855,0.24659866094589233,0.2574232816696167,0.10716299712657928,0.06481139361858368,0.04766378551721573,,0.3003389239311218,0.19254136085510254,0.2934154272079468,0.2515309453010559,0.28753164410591125,0.17797261476516724,0.17164915800094604,0.18446487188339233,0.170904278755188,0.11133946478366852,0.1103305071592331,0.109896719455719,0.11046160757541656,0.10727106034755707,0.10865321755409241,0.11198081076145172,0.1944577395915985,0.26979899406433105,0.26722609996795654,0.23173588514328003,0.23221564292907715,0.2349720299243927,0.2301265001296997,0.23677542805671692,0.2303163856267929,0.22966594994068146,0.23678526282310486,0.23480074107646942,0.23381349444389343,0.2283903807401657,0.23188786208629608,0.23702627420425415,0.2367260754108429,0.23533132672309875,0.2563968300819397,0.27700579166412354,0.27665287256240845,0.27750617265701294,0.27714574337005615,0.2766762375831604,0.22780108451843262,0.2342742383480072,0.23427879810333252,0.24108263850212097,0.22047004103660583,0.23658490180969238,0.22018074989318848,0.23160186409950256,0.22641688585281372,0.23425805568695068,0.24675267934799194,0.2570094168186188
sklin2_skin_lesions,0.18354645371437073,0.19135937094688416,0.18774938583374023,0.2078431248664856,0.0,0.2014540433883667,0.2381078004837036,0.17976556718349457,0.23004963994026184,0.23850110173225403,0.18424931168556213,0.18104533851146698,0.20545969903469086,0.1920987218618393,0.23290333151817322,0.23425820469856262,0.1432037651538849,0.14877095818519592,0.18162915110588074,0.17915424704551697,0.1718258559703827,0.17220239341259003,0.17257007956504822,0.17193564772605896,0.17209745943546295,0.17204231023788452,0.17213349044322968,0.10498099029064178,0.19263269007205963,0.1803009957075119,0.20710216462612152,0.15659484267234802,0.21527095139026642,0.20192840695381165,0.20798829197883606,0.2116566151380539,0.2004815936088562,0.2135508507490158,0.20148199796676636,0.2008117139339447,0.2137005776166916,0.21040242910385132,0.20767608284950256,0.19639720022678375,0.20765411853790283,0.2144595980644226,0.2136985957622528,0.10616559535264969,0.21426056325435638,0.13122698664665222,0.19699177145957947,0.2272670716047287,0.19108888506889343,0.19736704230308533,0.1973787546157837,0.19782480597496033,0.1976538449525833,0.16868141293525696,0.16222509741783142,0.1626778542995453,0.21962790191173553,0.2341933399438858,0.23157837986946106,0.19677641987800598,0.21608233451843262,0.21915094554424286,0.22404703497886658,0.22883927822113037,0.21809528768062592,0.19502148032188416,0.18453729152679443,0.18316565454006195,0.19139473140239716,0.18960103392601013,0.20819315314292908,0.23861533403396606,0.17929138243198395,0.23717562854290009,0.20529967546463013,0.2329135537147522,0.14329157769680023,0.14741258323192596,0.1816687285900116,0.17954453825950623,0.17088809609413147,0.1727963387966156,0.1731531023979187,0.17299389839172363,0.17401166260242462,0.17137488722801208,0.17107735574245453,0.19480086863040924,0.20683589577674866,0.21414941549301147,0.20361772179603577,0.208677738904953,0.21086449921131134,0.19961106777191162,0.21272538602352142,0.2013748288154602,0.19941584765911102,0.21278727054595947,0.21130630373954773,0.208297461271286,0.19543126225471497,0.20910024642944336,0.2141786813735962,0.2139275223016739,0.21411947906017303,0.12994186580181122,0.19748011231422424,0.19698721170425415,0.1976611316204071,0.197443887591362,0.1972721517086029,0.16752183437347412,0.16178911924362183,0.16337096691131592,0.2317298948764801,0.1965358853340149,0.21639195084571838,0.21846826374530792,0.22379782795906067,0.22911643981933594,0.21717792749404907,0.19451101124286652,0.18387684226036072
identify_nbi_infframes,0.18821530044078827,0.19823682308197021,0.19447430968284607,0.21078166365623474,0.1735653281211853,0.0,0.16547608375549316,0.19911722838878632,0.19459865987300873,0.1544492542743683,0.17084021866321564,0.16884754598140717,0.17813856899738312,0.16083472967147827,0.18784581124782562,0.1942100077867508,0.16495627164840698,0.1671377420425415,0.18489034473896027,0.19383662939071655,0.18320252001285553,0.1842193305492401,0.18394878506660461,0.18341229856014252,0.183944970369339,0.18353942036628723,0.1842428594827652,0.15980029106140137,0.18114906549453735,0.15884551405906677,0.15910208225250244,0.18780095875263214,0.20678390562534332,0.197829931974411,0.19573357701301575,0.1942298412322998,0.1973189413547516,0.19408908486366272,0.19720281660556793,0.1965995579957962,0.1940438449382782,0.19695718586444855,0.1950361728668213,0.19692710041999817,0.192923903465271,0.19432181119918823,0.19608205556869507,0.15215206146240234,0.19973841309547424,0.15545931458473206,0.20514237880706787,0.22221285104751587,0.19243301451206207,0.20522156357765198,0.20545879006385803,0.20559029281139374,0.20545819401741028,0.1988271176815033,0.19537024199962616,0.19457989931106567,0.16767705976963043,0.22700294852256775,0.20737159252166748,0.19273191690444946,0.19067427515983582,0.21914836764335632,0.19731104373931885,0.20161421597003937,0.19846104085445404,0.2033112645149231,0.20742559432983398,0.18792787194252014,0.19558162987232208,0.19577106833457947,0.2109067738056183,0.16579197347164154,0.19808325171470642,0.15406766533851624,0.17765657603740692,0.1876402050256729,0.16466538608074188,0.16474774479866028,0.18570710718631744,0.19445140659809113,0.18259817361831665,0.1832181066274643,0.18503718078136444,0.185746967792511,0.1854989230632782,0.18409228324890137,0.18234360218048096,0.1832360029220581,0.15972812473773956,0.20636068284511566,0.19804048538208008,0.19587689638137817,0.1937309205532074,0.19838066399097443,0.19267147779464722,0.19640430808067322,0.19562122225761414,0.19451528787612915,0.1963997185230255,0.1949848085641861,0.19708696007728577,0.19428636133670807,0.19489747285842896,0.1971166431903839,0.19958189129829407,0.15549206733703613,0.20525236427783966,0.20522253215312958,0.2054504156112671,0.20535901188850403,0.20501279830932617,0.19886237382888794,0.19526425004005432,0.19387303292751312,0.20692507922649384,0.19137349724769592,0.19115681946277618,0.21863240003585815,0.19724887609481812,0.20149964094161987,0.19841578602790833,0.20324203372001648,0.20758818089962006
laryngeal_tissues,0.3280557692050934,0.33469465374946594,0.33392179012298584,0.34720808267593384,0.2894863188266754,0.2505224645137787,0.0,0.3168369233608246,0.2832432687282562,0.18526600301265717,0.2629522681236267,0.27063897252082825,0.22559067606925964,0.21315616369247437,0.22974595427513123,0.23193460702896118,0.31976670026779175,0.3184029757976532,0.3147107660770416,0.3290751874446869,0.3358922302722931,0.3364364504814148,0.33644264936447144,0.3358500599861145,0.33637672662734985,0.3360242247581482,0.33666133880615234,0.2746174931526184,0.3039310872554779,0.3003525733947754,0.2646315097808838,0.3076615333557129,0.3287096321582794,0.34315967559814453,0.34554043412208557,0.34390440583229065,0.34292542934417725,0.3446745276451111,0.3435523808002472,0.3437027335166931,0.3438076972961426,0.34351176023483276,0.3433467447757721,0.3418468236923218,0.3394615650177002,0.34307199716567993,0.34604382514953613,0.2903561294078827,0.350483775138855,0.2571488916873932,0.32278889417648315,0.3683057725429535,0.3269636929035187,0.3229372799396515,0.32285332679748535,0.3226405084133148,0.32303813099861145,0.3172134757041931,0.3111482262611389,0.3110325336456299,0.2895617187023163,0.3356260657310486,0.3385692238807678,0.3314381539821625,0.3320792019367218,0.3412143886089325,0.33136680722236633,0.32902151346206665,0.3316405415534973,0.31771373748779297,0.3327392339706421,0.3275536298751831,0.3485162854194641,0.3341739773750305,0.34753310680389404,,0.316341370344162,0.18638353049755096,0.22513866424560547,0.2294445037841797,0.3194845914840698,0.31793543696403503,0.3150956630706787,0.32982486486434937,0.3349021077156067,0.335980623960495,0.3374027609825134,0.33768707513809204,0.33818161487579346,0.3352200984954834,0.33569303154945374,0.3065459132194519,0.2640845775604248,0.32866573333740234,0.34351080656051636,0.3456207811832428,0.34312909841537476,0.34290415048599243,0.34382420778274536,0.34291553497314453,0.342978835105896,0.3438557982444763,0.34336549043655396,0.3432042598724365,0.34232020378112793,0.34011462330818176,0.3434358239173889,0.3472144603729248,0.3504060208797455,0.2581053674221039,0.3226943612098694,0.3229290843009949,0.32267409563064575,0.3223310112953186,0.32299691438674927,0.31696879863739014,0.31060734391212463,0.3113144636154175,0.33870139718055725,0.33115333318710327,0.33246174454689026,0.34112119674682617,0.3313257694244385,0.3297218978404999,0.3310123085975647,0.317676842212677,0.3323974609375
nerthus_bowel_cleansing_quality,0.16154031455516815,0.16221167147159576,0.16632333397865295,0.18589088320732117,0.20326626300811768,0.22328394651412964,0.2862342298030853,0.0,0.25704848766326904,0.26020365953445435,0.20359840989112854,0.19784966111183167,0.22258824110031128,0.21264351904392242,0.2650492191314697,0.2699870467185974,0.11409623175859451,0.10022465884685516,0.05702667683362961,0.09190414100885391,0.13404560089111328,0.1335555613040924,0.1336888074874878,0.13420704007148743,0.1339704394340515,0.13365083932876587,0.13420428335666656,0.20505346357822418,0.1440134197473526,0.21850654482841492,0.24824471771717072,0.2487248182296753,0.22877609729766846,0.18317702412605286,0.18365129828453064,0.188397616147995,0.18155530095100403,0.1887923777103424,0.18163332343101501,0.18091164529323578,0.1894252598285675,0.18845877051353455,0.18552947044372559,0.17918932437896729,0.18717102706432343,0.19143298268318176,0.2171405553817749,0.2175607979297638,0.2163856029510498,0.2310379594564438,0.2312120497226715,0.2147989422082901,0.18579933047294617,0.23155122995376587,0.2313014268875122,0.23173442482948303,0.23131749033927917,0.15762998163700104,0.15374399721622467,0.15234462916851044,0.2503051161766052,0.2556741535663605,0.21921640634536743,0.16979184746742249,0.1921442449092865,0.1970571130514145,0.2060265690088272,0.20122918486595154,0.197317972779274,0.2447778731584549,0.21530871093273163,0.1618504524230957,0.1668831706047058,0.16629299521446228,0.18499378859996796,0.28676658868789673,,0.2585057020187378,0.22230634093284607,0.26532378792762756,0.11451366543769836,0.10295958817005157,0.05700914189219475,0.09124502539634705,0.1332569718360901,0.1344226598739624,0.1337740123271942,0.1345735788345337,0.13475202023983002,0.13345491886138916,0.13426978886127472,0.1434958428144455,0.24859553575515747,0.22827625274658203,0.18456274271011353,0.1839042603969574,0.1880282610654831,0.18198038637638092,0.1882399022579193,0.18162879347801208,0.17986980080604553,0.1883259266614914,0.19004586338996887,0.18626610934734344,0.17837461829185486,0.18715894222259521,0.19138887524604797,0.2165159285068512,0.21692144870758057,0.22983847558498383,0.23165279626846313,0.23110038042068481,0.23171687126159668,0.23170404136180878,0.23088514804840088,0.15703070163726807,0.15418051183223724,0.1522933691740036,0.21960791945457458,0.16880755126476288,0.19230464100837708,0.19694802165031433,0.205724835395813,0.20215368270874023,0.19688105583190918,0.24514096975326538,0.21445807814598083
stanford_dogs_image_categorization,0.17939168214797974,0.19080707430839539,0.18496596813201904,0.19625820219516754,0.17056025564670563,0.18363270163536072,0.20424789190292358,0.19954240322113037,0.0,0.19721221923828125,0.11619564145803452,0.11626572906970978,0.1380183845758438,0.14507439732551575,0.2006177008152008,0.20432041585445404,0.17825430631637573,0.18185769021511078,0.19080735743045807,0.19511562585830688,0.19185051321983337,0.19247230887413025,0.19249211251735687,0.19191193580627441,0.1920272409915924,0.1921897828578949,0.19226819276809692,0.16205421090126038,0.20562604069709778,0.17272458970546722,0.18724855780601501,0.15991386771202087,0.1856735497713089,0.20764240622520447,0.20740827918052673,0.20763590931892395,0.2073298841714859,0.20772364735603333,0.20725925266742706,0.20698601007461548,0.20762546360492706,0.20812463760375977,0.20728564262390137,0.2068101465702057,0.20583407580852509,0.20840071141719818,0.21284162998199463,0.17210528254508972,0.21553784608840942,0.17567968368530273,0.18663668632507324,0.2204550802707672,0.1919613629579544,0.18667826056480408,0.18693913519382477,0.1867651343345642,0.18690070509910583,0.20036497712135315,0.1952742487192154,0.1948508322238922,0.1921762228012085,0.20012852549552917,0.20293277502059937,0.1972368061542511,0.19062235951423645,0.2084828019142151,0.19150355458259583,0.19602827727794647,0.19516557455062866,0.16516247391700745,0.19433698058128357,0.17813259363174438,0.18836739659309387,0.1865372359752655,0.19749990105628967,0.2042582929134369,0.1989210844039917,0.1963677704334259,0.1391870081424713,0.2006034255027771,0.17785336077213287,0.18125048279762268,0.1909501850605011,0.19521783292293549,0.19258198142051697,0.19228072464466095,0.1932419389486313,0.1930622160434723,0.19308239221572876,0.19221031665802002,0.19157631695270538,0.20726406574249268,0.18723326921463013,0.18564045429229736,0.20814025402069092,0.20748849213123322,0.20789209008216858,0.20762678980827332,0.20707771182060242,0.20742425322532654,0.20602306723594666,0.20766884088516235,0.20830459892749786,0.20716142654418945,0.20673853158950806,0.20601147413253784,0.20882701873779297,0.21361875534057617,0.21540631353855133,0.17502981424331665,0.1866912841796875,0.186957448720932,0.18687424063682556,0.1866164654493332,0.18668830394744873,0.20015734434127808,0.19538965821266174,0.19473770260810852,0.20284508168697357,0.19648602604866028,0.19099029898643494,0.20788231492042542,0.1914922297000885,0.19621621072292328,0.1947883665561676,0.1652904748916626,0.1943890005350113
svhn,0.3135356605052948,0.31504377722740173,0.3116138279438019,0.32142001390457153,0.2981061339378357,0.24991318583488464,0.17436343431472778,0.30087149143218994,0.2698124647140503,0.0,0.24192149937152863,0.24307242035865784,0.13868683576583862,0.12048333883285522,0.17187568545341492,0.1721779704093933,0.2956833243370056,0.2970070242881775,0.2954626977443695,0.3071748614311218,0.3080732226371765,0.3088281452655792,0.3085222840309143,0.3081229329109192,0.30848443508148193,0.3081201910972595,0.3090968728065491,0.2933364510536194,0.3007071614265442,0.2966201901435852,0.2553828954696655,0.3144250214099884,0.3013750910758972,0.29967179894447327,0.2945399284362793,0.29343345761299133,0.29877957701683044,0.29277724027633667,0.29783540964126587,0.29759055376052856,0.2932920455932617,0.2961132824420929,0.2939067482948303,0.298198938369751,0.2941528558731079,0.2927600145339966,0.31338992714881897,0.30211368203163147,0.3167586624622345,0.28554433584213257,0.31960347294807434,0.3296380043029785,0.3000413477420807,0.31961336731910706,0.3198060393333435,0.31969451904296875,0.31955915689468384,0.29975613951683044,0.2938436269760132,0.2937184274196625,0.2873772382736206,0.3293876647949219,0.29577043652534485,0.2878614664077759,0.28787726163864136,0.3000115752220154,0.28726065158843994,0.2805357575416565,0.288002073764801,0.3133869171142578,0.32370835542678833,0.31352588534355164,0.31491291522979736,0.3123612701892853,0.32141730189323425,0.17464236915111542,0.3003924787044525,,0.13702042400836945,0.17168065905570984,0.2955470681190491,0.29567936062812805,0.29604291915893555,0.30800163745880127,0.3074515759944916,0.3081968426704407,0.3092372715473175,0.3103158473968506,0.3102142810821533,0.3089909255504608,0.3077109158039093,0.30208316445350647,0.25497040152549744,0.301572322845459,0.2998380661010742,0.29534438252449036,0.29334405064582825,0.30031701922416687,0.2917095720767975,0.2969861328601837,0.2968270480632782,0.2933594584465027,0.29580578207969666,0.294226735830307,0.29902923107147217,0.2952757477760315,0.29328614473342896,0.3141201138496399,0.3169177174568176,0.286447674036026,0.3196091651916504,0.3197251558303833,0.31959405541419983,0.31935471296310425,0.31921011209487915,0.2993343770503998,0.2931218147277832,0.29393893480300903,0.2964658737182617,0.2877928912639618,0.2884475290775299,0.2998753488063812,0.28708022832870483,0.2808198928833008,0.28724420070648193,0.3134465217590332,0.32356521487236023
