,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0500764325261116,0.05330827087163925,0.07604724168777466,0.12368905544281006,0.11984005570411682,0.18159550428390503,0.11362124979496002,0.1383829414844513,0.19813060760498047,0.10821402817964554,0.10997969657182693,0.15357917547225952,0.14632205665111542,0.18107247352600098,0.18598507344722748,0.08125575631856918,0.07961010932922363,0.09881894290447235,0.09711277484893799,0.07138039171695709,0.07191769033670425,0.07161277532577515,0.07128536701202393,0.07119906693696976,0.07140213996171951,0.07129129022359848,0.1250019520521164,0.12666170299053192,0.1301993429660797,0.15478569269180298,0.15604433417320251,0.1751881241798401,0.13750222325325012,0.1383783221244812,0.14106573164463043,0.13711151480674744,0.14159226417541504,0.13669243454933167,0.13688749074935913,0.14169861376285553,0.1406944990158081,0.1390833854675293,0.1360938549041748,0.1355578601360321,0.14281022548675537,0.15561285614967346,0.13447096943855286,0.15660512447357178,0.13965387642383575,0.1842256784439087,0.16796554625034332,0.1481306254863739,0.18448680639266968,0.184566468000412,0.18503350019454956,0.18483613431453705,0.15060484409332275,0.14851057529449463,0.14791247248649597,0.16438862681388855,0.21557089686393738,0.16780948638916016,0.13519063591957092,0.14913587272167206,0.15477758646011353,0.15354028344154358,0.1475358009338379,0.15701882541179657,0.15147078037261963,0.17452946305274963,0.004081374034285545,0.05620433762669563,0.053169846534729004,0.07695113122463226,0.181536465883255,0.11360940337181091,0.19817952811717987,0.1546429693698883,0.18052062392234802,0.0805630087852478,0.0789659172296524,0.0995926633477211,0.09648115187883377,0.07209251821041107,0.07121849060058594,0.07189430296421051,0.07308264076709747,0.0721927285194397,0.07014551013708115,0.07280479371547699,0.12778371572494507,0.15535099804401398,0.17426607012748718,0.13815444707870483,0.13878345489501953,0.14054088294506073,0.13753189146518707,0.14081652462482452,0.1366710662841797,0.13564938306808472,0.14140097796916962,0.14122483134269714,0.13941249251365662,0.1361156553030014,0.13609670102596283,0.14287212491035461,0.15596771240234375,0.15663942694664001,0.1383979767560959,0.18443214893341064,0.18434178829193115,0.1847112774848938,0.1849600374698639,0.18453779816627502,0.15031065046787262,0.1492113471031189,0.14790332317352295,0.16783733665943146,0.13488523662090302,0.1493755280971527,0.15403729677200317,0.15356987714767456,0.14792723953723907,0.15607154369354248,0.1517038643360138,0.17420931160449982
lapgyn4_surgical_actions,0.049259353429079056,0.0,0.02919493243098259,0.04231975972652435,0.1385595053434372,0.13597293198108673,0.19896692037582397,0.11985836923122406,0.14992868900299072,0.20842887461185455,0.11324095726013184,0.11279066652059555,0.15856125950813293,0.15289372205734253,0.1877344846725464,0.19433939456939697,0.09674316644668579,0.09769653528928757,0.10658293962478638,0.10107383131980896,0.06379889696836472,0.06432034075260162,0.06364759057760239,0.06379005312919617,0.06337673217058182,0.06375743448734283,0.06337812542915344,0.13721007108688354,0.12318854033946991,0.14296525716781616,0.16852512955665588,0.1779990792274475,0.1834796965122223,0.14199435710906982,0.14149627089500427,0.14359787106513977,0.14144238829612732,0.1440998762845993,0.14082178473472595,0.14092931151390076,0.1445794403553009,0.14360007643699646,0.1420072466135025,0.14013412594795227,0.1397087126970291,0.1451871544122696,0.16283467411994934,0.14760297536849976,0.1627213954925537,0.15912333130836487,0.19784724712371826,0.16764217615127563,0.152971088886261,0.19812336564064026,0.1980472058057785,0.19852538406848907,0.19839468598365784,0.15438395738601685,0.15439218282699585,0.15425895154476166,0.1755649596452713,0.2282945215702057,0.16366422176361084,0.13449475169181824,0.1498252898454666,0.14982938766479492,0.14987576007843018,0.14585673809051514,0.15402618050575256,0.16077116131782532,0.1846809983253479,0.04989005625247955,0.01929619535803795,0.027848990634083748,0.04262557625770569,0.1988285779953003,0.11972884833812714,0.2082485556602478,0.1595628708600998,0.18714356422424316,0.09656962007284164,0.09680978953838348,0.1071653962135315,0.100680872797966,0.06463735550642014,0.06372225284576416,0.06373919546604156,0.06514464318752289,0.06255574524402618,0.06278333067893982,0.06573054939508438,0.12344157695770264,0.16896161437034607,0.1827179491519928,0.14241153001785278,0.14144107699394226,0.14292515814304352,0.14149901270866394,0.14364652335643768,0.14082235097885132,0.14005577564239502,0.14422887563705444,0.14385733008384705,0.14272187650203705,0.14019127190113068,0.13986659049987793,0.1452464461326599,0.16281872987747192,0.16298115253448486,0.15771540999412537,0.1979641169309616,0.19782978296279907,0.198221355676651,0.198523610830307,0.19825342297554016,0.15409380197525024,0.1548449844121933,0.15439163148403168,0.16374583542346954,0.1337326467037201,0.14949047565460205,0.14917346835136414,0.15001219511032104,0.14630265533924103,0.1534111052751541,0.1608358472585678,0.184245765209198
lapgyn4_instrument_count,0.053143590688705444,0.02979402244091034,0.0,0.03432241827249527,0.1332428753376007,0.13156940042972565,0.1936919391155243,0.12134811282157898,0.14411981403827667,0.20280605554580688,0.10860975086688995,0.10875652730464935,0.15535634756088257,0.15054844319820404,0.1828501969575882,0.1881488859653473,0.0940341204404831,0.09471079707145691,0.10931780189275742,0.1082635447382927,0.05649269372224808,0.05729634314775467,0.056526631116867065,0.056456174701452255,0.05625945329666138,0.056654829531908035,0.05616842955350876,0.13550826907157898,0.12830668687820435,0.14538753032684326,0.1633545160293579,0.17131149768829346,0.17964734137058258,0.14444154500961304,0.14473246037960052,0.14743605256080627,0.1436610221862793,0.147955060005188,0.14328110218048096,0.14330285787582397,0.1483212113380432,0.1468934416770935,0.14508067071437836,0.14218631386756897,0.14287999272346497,0.1490657478570938,0.16207841038703918,0.14569056034088135,0.1621706187725067,0.15649941563606262,0.190382182598114,0.17101876437664032,0.15367665886878967,0.19063279032707214,0.1905350536108017,0.1910104751586914,0.19089621305465698,0.15031924843788147,0.15193775296211243,0.15187373757362366,0.1745929718017578,0.2204008251428604,0.15953944623470306,0.1336037516593933,0.14302605390548706,0.15117618441581726,0.1442221701145172,0.14165589213371277,0.14781513810157776,0.15999937057495117,0.17766359448432922,0.05357552319765091,0.0318780280649662,0.004353347234427929,0.03580006957054138,0.19365054368972778,0.12114270776510239,0.20273375511169434,0.15631306171417236,0.18221569061279297,0.09392282366752625,0.0937042236328125,0.11000221967697144,0.10788217186927795,0.057449523359537125,0.05638507008552551,0.05698410049080849,0.057934168726205826,0.055641449987888336,0.055314160883426666,0.05798380449414253,0.1289466768503189,0.1638757288455963,0.17881521582603455,0.1450689136981964,0.14480380713939667,0.14670169353485107,0.1441468745470047,0.1473568081855774,0.14327873289585114,0.14225700497627258,0.14790388941764832,0.14757809042930603,0.14582890272140503,0.14212483167648315,0.14329801499843597,0.14915989339351654,0.1622321605682373,0.16234014928340912,0.1550370454788208,0.19055195152759552,0.1903478503227234,0.19072245061397552,0.19104531407356262,0.19078455865383148,0.15014907717704773,0.1521630585193634,0.1519678235054016,0.15962767601013184,0.13294923305511475,0.1427207887172699,0.15047919750213623,0.14437735080718994,0.1420832872390747,0.14717158675193787,0.16009430587291718,0.17729684710502625
lapgyn4_anatomical_actions,0.07351002842187881,0.041651174426078796,0.03306908160448074,0.0,0.14904245734214783,0.14311201870441437,0.20337271690368652,0.13859140872955322,0.15362446010112762,0.21199961006641388,0.12013748288154602,0.12041549384593964,0.16695894300937653,0.16215780377388,0.1908021718263626,0.19662591814994812,0.1153470054268837,0.11596356332302094,0.12632665038108826,0.12509489059448242,0.0801924541592598,0.08077898621559143,0.07996322959661484,0.08007506281137466,0.0798502266407013,0.08024604618549347,0.07981797307729721,0.14782750606536865,0.1352011263370514,0.15839451551437378,0.17688840627670288,0.1868148297071457,0.19050243496894836,0.15716055035591125,0.15689370036125183,0.15869452059268951,0.15693733096122742,0.15926724672317505,0.1561374068260193,0.1566070020198822,0.1598188430070877,0.15841838717460632,0.1568579375743866,0.15557557344436646,0.15485259890556335,0.15974116325378418,0.17401860654354095,0.15669015049934387,0.17432630062103271,0.1698925942182541,0.2046869695186615,0.17963019013404846,0.16687807440757751,0.2049562782049179,0.20489686727523804,0.20526045560836792,0.20518267154693604,0.16461119055747986,0.16767537593841553,0.16783079504966736,0.18509134650230408,0.2335394024848938,0.16983062028884888,0.14637643098831177,0.1562754511833191,0.15944799780845642,0.15386223793029785,0.1504170298576355,0.15907025337219238,0.16962146759033203,0.19157353043556213,0.07359546422958374,0.042190730571746826,0.03287827968597412,0.005109146237373352,0.20332133769989014,0.1383642703294754,0.21200716495513916,0.168039470911026,0.19005051255226135,0.11523864418268204,0.11525838077068329,0.1269826591014862,0.12489292025566101,0.08130058646202087,0.08024908602237701,0.08058945089578629,0.0812893956899643,0.07863092422485352,0.0791979730129242,0.08141052722930908,0.1356794685125351,0.17745691537857056,0.1898578256368637,0.1575649380683899,0.15685993432998657,0.15801432728767395,0.15720628201961517,0.15882375836372375,0.15612630546092987,0.15547075867652893,0.15937384963035583,0.15857577323913574,0.15745094418525696,0.15583518147468567,0.15507343411445618,0.15979377925395966,0.17411968111991882,0.17440953850746155,0.1687001883983612,0.2048375904560089,0.2047709971666336,0.20507925748825073,0.20529097318649292,0.20499777793884277,0.16440196335315704,0.16813430190086365,0.16792923212051392,0.16997361183166504,0.14574536681175232,0.15575215220451355,0.1588200479745865,0.15402530133724213,0.15087050199508667,0.1585463285446167,0.16978538036346436,0.19134271144866943
sklin2_skin_lesions,0.12972325086593628,0.14751097559928894,0.13900765776634216,0.15904785692691803,0.0,0.11131872236728668,0.1513708084821701,0.13913783431053162,0.12877510488033295,0.1769457310438156,0.10819791257381439,0.1087750568985939,0.1505470871925354,0.13988032937049866,0.1649756133556366,0.16496947407722473,0.10252494364976883,0.10513956844806671,0.1357361078262329,0.14149510860443115,0.1319458782672882,0.13255897164344788,0.13261130452156067,0.13207092881202698,0.13232335448265076,0.13237296044826508,0.1322701871395111,0.06393088400363922,0.14595559239387512,0.11473479866981506,0.13501256704330444,0.10149365663528442,0.15856289863586426,0.153127983212471,0.15474988520145416,0.15656286478042603,0.15241912007331848,0.15710273385047913,0.15233148634433746,0.1519787311553955,0.15737611055374146,0.15746524930000305,0.15431201457977295,0.14948314428329468,0.1528891921043396,0.15788519382476807,0.1716647893190384,0.06331370770931244,0.17405521869659424,0.08034541457891464,0.13575594127178192,0.18870139122009277,0.1485249400138855,0.13623499870300293,0.13617661595344543,0.1365531086921692,0.13652193546295166,0.1296234130859375,0.1249178797006607,0.12514129281044006,0.14309588074684143,0.17283138632774353,0.1694517582654953,0.14445850253105164,0.14979664981365204,0.17067033052444458,0.15714195370674133,0.1570114642381668,0.15500441193580627,0.13675878942012787,0.1276349127292633,0.12862402200698853,0.14689311385154724,0.14113256335258484,0.16044534742832184,0.15136829018592834,0.13844674825668335,0.17702801525592804,0.15084125101566315,0.16472116112709045,0.10221241414546967,0.10376568883657455,0.13604241609573364,0.14169654250144958,0.13161318004131317,0.13216011226177216,0.133584126830101,0.1334073841571808,0.13388454914093018,0.1314898282289505,0.1311209499835968,0.14856156706809998,0.13541898131370544,0.15760955214500427,0.15459772944450378,0.15576690435409546,0.1560419797897339,0.1531517505645752,0.15544375777244568,0.15214356780052185,0.15032057464122772,0.1572508066892624,0.15779593586921692,0.15486092865467072,0.14957651495933533,0.15432211756706238,0.15826551616191864,0.17258493602275848,0.1739821434020996,0.07950477302074432,0.13600076735019684,0.1358700394630432,0.1364475041627884,0.1363874077796936,0.1361706554889679,0.1293787956237793,0.12460560351610184,0.1255764365196228,0.1693006157875061,0.14410606026649475,0.15048721432685852,0.16985899209976196,0.1567581743001938,0.156549334526062,0.15362530946731567,0.13671672344207764,0.12743887305259705
identify_nbi_infframes,0.12647584080696106,0.14473509788513184,0.13898566365242004,0.15573382377624512,0.11948445439338684,0.0,0.10975351929664612,0.15063127875328064,0.12469925731420517,0.13653157651424408,0.10800344496965408,0.11114371567964554,0.1415332853794098,0.13017502427101135,0.13764023780822754,0.13955897092819214,0.11479276418685913,0.11747128516435623,0.13925598561763763,0.14549386501312256,0.13744840025901794,0.13824042677879333,0.13801436126232147,0.13746294379234314,0.13791115581989288,0.13792015612125397,0.13817943632602692,0.10663492977619171,0.14086134731769562,0.10982314497232437,0.11435674875974655,0.13222937285900116,0.158858060836792,0.15321025252342224,0.15006506443023682,0.1497684270143509,0.15347233414649963,0.1488158404827118,0.15227460861206055,0.1524706929922104,0.14904749393463135,0.15256094932556152,0.1496870219707489,0.15240217745304108,0.14767931401729584,0.14899244904518127,0.15994970500469208,0.1094207912683487,0.1639682948589325,0.10024257004261017,0.16175523400306702,0.1904377043247223,0.15670858323574066,0.16174453496932983,0.16208617389202118,0.16244085133075714,0.16232627630233765,0.16442175209522247,0.16244825720787048,0.1618753969669342,0.11342015862464905,0.19057707488536835,0.16695493459701538,0.14689931273460388,0.14373382925987244,0.1732693463563919,0.15300892293453217,0.15182964503765106,0.15435463190078735,0.14363369345664978,0.16330572962760925,0.12547312676906586,0.1417165994644165,0.14041244983673096,0.1573263704776764,0.10966044664382935,0.1498909294605255,0.13730677962303162,0.14178813993930817,0.13703587651252747,0.11387291550636292,0.11586881428956985,0.14009487628936768,0.14530682563781738,0.13738317787647247,0.13690020143985748,0.1391817182302475,0.13955393433570862,0.13923335075378418,0.13748446106910706,0.13669046759605408,0.1431567519903183,0.11529430747032166,0.1580648422241211,0.15362539887428284,0.15078142285346985,0.14949515461921692,0.15545177459716797,0.14669859409332275,0.15148282051086426,0.1506817638874054,0.1492786407470703,0.15238453447818756,0.14966242015361786,0.1534031331539154,0.14910045266151428,0.1499047577381134,0.1612653136253357,0.16372394561767578,0.09971068799495697,0.1618787795305252,0.16186241805553436,0.1618811935186386,0.16230306029319763,0.16204607486724854,0.16481128334999084,0.1627238392829895,0.16150407493114471,0.1666027158498764,0.1465189903974533,0.14456859230995178,0.1722838580608368,0.1529064178466797,0.1509319394826889,0.1533137559890747,0.1437014937400818,0.16335034370422363
laryngeal_tissues,0.1786912977695465,0.19758981466293335,0.19062389433383942,0.20518645644187927,0.14657750725746155,0.0958331748843193,0.0,0.19769138097763062,0.13683369755744934,0.09868869185447693,0.12725989520549774,0.1348617672920227,0.1275937408208847,0.11826442927122116,0.12638014554977417,0.12366630136966705,0.17212451994419098,0.17281648516654968,0.18882985413074493,0.20100674033164978,0.19798234105110168,0.19881027936935425,0.19850605726242065,0.19798102974891663,0.19830358028411865,0.1984470784664154,0.19858887791633606,0.1307484358549118,0.18702778220176697,0.1527499556541443,0.14064213633537292,0.15063482522964478,0.19246183335781097,0.20458544790744781,0.20332373678684235,0.2021792083978653,0.2053336650133133,0.20161432027816772,0.20430874824523926,0.20487050712108612,0.2013721615076065,0.20406277477741241,0.20182865858078003,0.20459960401058197,0.1987113207578659,0.2008354365825653,0.20501841604709625,0.1395525336265564,0.20969228446483612,0.11456623673439026,0.18580254912376404,0.23885199427604675,0.2029118537902832,0.1858973205089569,0.18612106144428253,0.18627357482910156,0.18642716109752655,0.19513782858848572,0.19263452291488647,0.1926535665988922,0.1394493281841278,0.20891299843788147,0.1990317851305008,0.19316871464252472,0.18689462542533875,0.21319355070590973,0.19319823384284973,0.19107785820960999,0.19131888449192047,0.17448851466178894,0.1933964490890503,0.1774032860994339,0.20118743181228638,0.1921090930700302,0.20675283670425415,0.0015734108164906502,0.19705377519130707,0.10029111802577972,0.12743626534938812,0.125686377286911,0.17129361629486084,0.17182880640029907,0.18961802124977112,0.20083385705947876,0.1978183388710022,0.19752642512321472,0.19973687827587128,0.20004525780677795,0.19960501790046692,0.19746237993240356,0.19721293449401855,0.18965119123458862,0.1413785219192505,0.1919180154800415,0.20514874160289764,0.20405907928943634,0.20175381004810333,0.20704500377178192,0.19957494735717773,0.20358341932296753,0.203155517578125,0.20186591148376465,0.20385801792144775,0.20165303349494934,0.20580723881721497,0.19995534420013428,0.2020236849784851,0.20648396015167236,0.2092210054397583,0.11486820876598358,0.18583479523658752,0.18605078756809235,0.185804545879364,0.18613919615745544,0.18633981049060822,0.19546037912368774,0.19267550110816956,0.19272452592849731,0.19873356819152832,0.19312775135040283,0.18757225573062897,0.21244682371616364,0.192983016371727,0.19021081924438477,0.19039861857891083,0.1746530830860138,0.19363118708133698
nerthus_bowel_cleansing_quality,0.11198468506336212,0.12062914669513702,0.12029854208230972,0.1414814591407776,0.12956441938877106,0.1391434371471405,0.19433429837226868,0.0,0.1557738035917282,0.19772633910179138,0.11590979993343353,0.11242818832397461,0.15605944395065308,0.1471412479877472,0.18179678916931152,0.18597108125686646,0.07297251373529434,0.06632713973522186,0.03792790323495865,0.06943464279174805,0.09865745157003403,0.09858082234859467,0.09867998957633972,0.09881412982940674,0.09879434108734131,0.09863286465406418,0.09892715513706207,0.1343856155872345,0.1036795824766159,0.14551281929016113,0.16493870317935944,0.1751314401626587,0.16479936242103577,0.14023439586162567,0.13945138454437256,0.1422986090183258,0.13862209022045135,0.14256826043128967,0.13856056332588196,0.1377708911895752,0.14314821362495422,0.14326158165931702,0.14018169045448303,0.13663437962532043,0.14062777161598206,0.14441536366939545,0.16810384392738342,0.14253446459770203,0.1691635251045227,0.15344803035259247,0.16930294036865234,0.1770171821117401,0.132746160030365,0.16949160397052765,0.16955697536468506,0.17004531621932983,0.16964107751846313,0.11467191576957703,0.11249212920665741,0.1115199625492096,0.1739324927330017,0.19938552379608154,0.1621185839176178,0.12448149174451828,0.136167973279953,0.1514883190393448,0.14549461007118225,0.1388709396123886,0.14184194803237915,0.173326313495636,0.15615910291671753,0.11153829842805862,0.12469923496246338,0.12093048542737961,0.14167189598083496,0.19434420764446259,0.003181939013302326,0.1971319615840912,0.15623366832733154,0.18178389966487885,0.07270481437444687,0.06807708740234375,0.03800950199365616,0.0688391923904419,0.09823386371135712,0.09894189238548279,0.0993008092045784,0.09964479506015778,0.0996670052409172,0.09824113547801971,0.09855061769485474,0.10426322370767593,0.1655721664428711,0.16397449374198914,0.14159956574440002,0.13991329073905945,0.14177125692367554,0.1392805278301239,0.14191238582134247,0.1385589838027954,0.13682886958122253,0.14274080097675323,0.14434032142162323,0.1409062147140503,0.13628491759300232,0.14099270105361938,0.14466363191604614,0.1683245301246643,0.16944822669029236,0.15229889750480652,0.1695808619260788,0.16925542056560516,0.1696465015411377,0.1700316071510315,0.1692790687084198,0.11432245373725891,0.1127467080950737,0.11147074401378632,0.16229455173015594,0.12374340742826462,0.1363883912563324,0.15104936063289642,0.14518660306930542,0.1391770988702774,0.1407265067100525,0.17351926863193512,0.15549349784851074
stanford_dogs_image_categorization,0.15530504286289215,0.16866937279701233,0.16109101474285126,0.17607472836971283,0.14212460815906525,0.12326861917972565,0.1461462378501892,0.17392179369926453,0.0,0.15979385375976562,0.08038488775491714,0.08403356373310089,0.11391305178403854,0.1158907413482666,0.15253448486328125,0.15811949968338013,0.149601012468338,0.15239785611629486,0.16355985403060913,0.172043114900589,0.16963067650794983,0.1704486906528473,0.17019064724445343,0.16968125104904175,0.16993096470832825,0.17015056312084198,0.17011019587516785,0.1322842389345169,0.1748797595500946,0.14026129245758057,0.1456564962863922,0.16137024760246277,0.17259255051612854,0.17896822094917297,0.17689108848571777,0.17678424715995789,0.17901886999607086,0.17650102078914642,0.17815476655960083,0.17794668674468994,0.17646127939224243,0.1783265769481659,0.17645566165447235,0.17837390303611755,0.17296090722084045,0.17684969305992126,0.18955767154693604,0.14454418420791626,0.19311848282814026,0.14128440618515015,0.18462538719177246,0.21108224987983704,0.16494739055633545,0.18477880954742432,0.18500085175037384,0.18505018949508667,0.18509981036186218,0.17393404245376587,0.16884532570838928,0.1685701608657837,0.1485196352005005,0.20596513152122498,0.17393791675567627,0.1653655767440796,0.1593504250049591,0.1842702031135559,0.16129827499389648,0.1604187786579132,0.16448932886123657,0.15319404006004333,0.18471507728099823,0.15400628745555878,0.16897806525230408,0.16275498270988464,0.17764605581760406,0.14598718285560608,0.17333051562309265,0.1599532663822174,0.11531201004981995,0.15233664214611053,0.148823082447052,0.1514425277709961,0.16412930190563202,0.17195376753807068,0.17003902792930603,0.16970257461071014,0.17165715992450714,0.1715826690196991,0.17115449905395508,0.1695043444633484,0.16893929243087769,0.1770501434803009,0.1462593674659729,0.17218637466430664,0.17955835163593292,0.1772579550743103,0.1765255331993103,0.18043845891952515,0.17488981783390045,0.1780923306941986,0.1765158623456955,0.17662085592746735,0.1783181130886078,0.17661389708518982,0.1791115701198578,0.1735801100730896,0.17762285470962524,0.19074402749538422,0.19287464022636414,0.14078287780284882,0.18467670679092407,0.18481308221817017,0.18485161662101746,0.1849285364151001,0.18494004011154175,0.17407792806625366,0.16907815635204315,0.16866761445999146,0.17373113334178925,0.16472959518432617,0.15975789725780487,0.18333104252815247,0.16106398403644562,0.1598815768957138,0.1635170429944992,0.15324243903160095,0.18473504483699799
svhn,0.17955300211906433,0.19166894257068634,0.18406948447227478,0.19916106760501862,0.15193164348602295,0.10090195387601852,0.09309518337249756,0.18059983849525452,0.13293901085853577,0.0,0.11332850158214569,0.11511443555355072,0.09161286801099777,0.07911130040884018,0.09827972948551178,0.09609510004520416,0.16235533356666565,0.16326439380645752,0.17316626012325287,0.18278665840625763,0.18450017273426056,0.18529459834098816,0.18496188521385193,0.18452554941177368,0.1848991960287094,0.18499386310577393,0.18518143892288208,0.1420559287071228,0.17301815748214722,0.1484617292881012,0.1381315290927887,0.17286959290504456,0.18118733167648315,0.18404725193977356,0.18051713705062866,0.17975421249866486,0.18415480852127075,0.1789047122001648,0.182969868183136,0.18308034539222717,0.17900407314300537,0.18227988481521606,0.17960935831069946,0.18329665064811707,0.1771358847618103,0.17873969674110413,0.18986664712429047,0.15022453665733337,0.1936188042163849,0.13562342524528503,0.1874380111694336,0.2220574915409088,0.17965573072433472,0.1875021755695343,0.18780213594436646,0.18802660703659058,0.18793565034866333,0.18345606327056885,0.1796509474515915,0.1796686351299286,0.1460726261138916,0.2099481225013733,0.1683119237422943,0.16765418648719788,0.1596183031797409,0.1838195025920868,0.16293811798095703,0.15527215600013733,0.16120368242263794,0.1750497967004776,0.19079706072807312,0.17872744798660278,0.19052812457084656,0.1855846643447876,0.2003726363182068,0.09317311644554138,0.1799565553665161,0.0034009364899247885,0.0904960036277771,0.09787271171808243,0.16160520911216736,0.1621253490447998,0.17377570271492004,0.1829986274242401,0.18437251448631287,0.18410810828208923,0.18629074096679688,0.1866244524717331,0.18616020679473877,0.18450775742530823,0.18353620171546936,0.17538702487945557,0.1388825923204422,0.18071690201759338,0.18466299772262573,0.18122649192810059,0.17921587824821472,0.18606534600257874,0.17690442502498627,0.1822965145111084,0.18149791657924652,0.17937779426574707,0.18216943740844727,0.17990019917488098,0.18460717797279358,0.17837366461753845,0.17972922325134277,0.1909843385219574,0.1933181881904602,0.13582049310207367,0.18748968839645386,0.18764957785606384,0.18744415044784546,0.18783429265022278,0.18772530555725098,0.18358421325683594,0.17965266108512878,0.1795857846736908,0.1683429628610611,0.16752798855304718,0.1601308286190033,0.1831478774547577,0.16270291805267334,0.1544254571199417,0.16050150990486145,0.17518673837184906,0.19089525938034058
