,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,23.1339111328125,24.614208221435547,34.042236328125,55.324378967285156,53.846923828125,76.79944610595703,49.993019104003906,65.0228271484375,76.72738647460938,53.191890716552734,53.39365768432617,65.35810852050781,60.72498321533203,80.13485717773438,81.2612075805664,36.43861770629883,35.971431732177734,44.456398010253906,44.23604202270508,32.25125503540039,32.451786041259766,32.37012481689453,32.21739196777344,32.18989562988281,32.280418395996094,32.209232330322266,55.65684509277344,56.4586067199707,59.57904052734375,69.43016815185547,61.687255859375,73.97029876708984,60.00807189941406,60.43104934692383,61.4803352355957,59.81462478637695,61.650299072265625,59.755516052246094,59.81501007080078,61.753475189208984,61.31053161621094,60.77092742919922,59.415077209472656,59.4764289855957,62.170631408691406,65.07229614257812,59.491180419921875,65.32902526855469,60.840721130371094,75.51899719238281,69.70347595214844,66.73834228515625,75.59541320800781,75.64610290527344,75.77852630615234,75.70233917236328,62.73751449584961,62.14604187011719,61.792823791503906,69.93895721435547,86.81121826171875,71.11433410644531,60.004215240478516,64.47222900390625,65.96565246582031,66.50119018554688,64.56051635742188,68.08261108398438,64.1972885131836,72.19672393798828,,25.652523040771484,24.5478515625,34.26293182373047,76.97146606445312,50.052757263183594,76.68923950195312,65.63243865966797,79.88626098632812,36.179866790771484,35.725189208984375,44.752357482910156,43.965492248535156,32.58648681640625,32.206214904785156,32.436363220214844,32.958335876464844,32.583221435546875,31.746122360229492,32.85900115966797,56.906494140625,69.5852279663086,73.70384216308594,60.20552062988281,60.67615509033203,61.301490783691406,59.916168212890625,61.393836975097656,59.77484130859375,59.299556732177734,61.595603942871094,61.523590087890625,60.78089141845703,59.40454864501953,59.74238586425781,62.15326690673828,65.17793273925781,65.29379272460938,60.34004211425781,75.62418365478516,75.51697540283203,75.80352783203125,75.75155639648438,75.55606079101562,62.524017333984375,62.448387145996094,61.678306579589844,71.05487060546875,59.88865661621094,64.61022186279297,65.7236557006836,66.53077697753906,64.75560760498047,67.71836853027344,64.32240295410156,72.0877685546875
lapgyn4_surgical_actions,23.1339111328125,0.0,13.420144081115723,18.65091323852539,63.67798614501953,62.38874435424805,86.23970031738281,54.153465270996094,70.62908935546875,82.54081726074219,55.713584899902344,54.760318756103516,68.25595092773438,64.27992248535156,84.46116638183594,86.48424530029297,43.76287841796875,44.81853103637695,48.9494743347168,46.700050354003906,28.786033630371094,29.007078170776367,28.71373176574707,28.742340087890625,28.584218978881836,28.791927337646484,28.593982696533203,62.748435974121094,55.45441436767578,66.53264617919922,77.3096923828125,72.8360595703125,79.25233459472656,63.0535888671875,62.86308288574219,63.66900634765625,62.78282165527344,63.83464050292969,62.61571502685547,62.650001525878906,64.12593078613281,63.636474609375,63.139190673828125,62.254573822021484,62.3416748046875,64.28121948242188,69.5650863647461,66.94800567626953,69.38496398925781,71.21943664550781,83.79248046875,70.40750122070312,69.36505889892578,83.88558959960938,83.86018371582031,83.9962387084961,83.95124816894531,65.90982818603516,66.36900329589844,66.25082397460938,76.0134506225586,94.75531005859375,69.97186279296875,60.62079620361328,65.94111633300781,64.96304321289062,65.44535827636719,64.2894515991211,67.46121215820312,69.19717407226562,78.58064270019531,23.45566177368164,,12.882369995117188,18.630382537841797,86.39999389648438,54.14189147949219,82.39535522460938,68.51024627685547,84.18275451660156,43.701541900634766,44.468284606933594,49.20201873779297,46.53474807739258,29.20899772644043,28.76314926147461,28.73261260986328,29.33016586303711,28.145660400390625,28.3402042388916,29.634212493896484,55.519927978515625,77.40400695800781,79.05009460449219,63.13166427612305,62.89722442626953,63.41520690917969,62.71168899536133,63.73647689819336,62.65070343017578,62.3150634765625,63.930419921875,63.708431243896484,63.34477233886719,62.263607025146484,62.415122985839844,64.2645263671875,69.50384521484375,69.45833587646484,70.635986328125,83.86287689208984,83.736572265625,84.03189086914062,83.99893188476562,83.87118530273438,65.70726013183594,66.56224060058594,66.20265197753906,69.95147705078125,60.277809143066406,65.81314086914062,64.76045989990234,65.53691101074219,64.53575134277344,67.2634048461914,69.24942779541016,78.396240234375
lapgyn4_instrument_count,24.614208221435547,13.420144081115723,0.0,15.246274948120117,60.91265869140625,60.05177688598633,83.36885070800781,54.412193298339844,67.72727966308594,79.59521484375,53.68168640136719,53.07951354980469,66.6419677734375,63.08564376831055,81.71936798095703,83.38004302978516,42.433692932128906,43.40320587158203,49.68473815917969,49.83659362792969,25.32461929321289,25.662391662597656,25.331382751464844,25.294343948364258,25.216697692871094,25.412071228027344,25.182228088378906,61.18115234375,58.16111755371094,67.38568115234375,74.6297607421875,69.26002502441406,77.22782135009766,63.94587707519531,64.08882141113281,65.0450210571289,63.5819091796875,65.21272277832031,63.53504943847656,63.54072952270508,65.46839904785156,64.86951446533203,64.29074096679688,63.01791000366211,63.470909118652344,65.68811798095703,69.12440490722656,65.39813995361328,69.10594177246094,69.4783935546875,80.11320495605469,71.29927062988281,69.78497314453125,80.18955993652344,80.15899658203125,80.29051208496094,80.250732421875,64.25753784179688,65.5447998046875,65.467041015625,75.07711791992188,90.92469787597656,68.11349487304688,60.44609451293945,63.0712890625,65.29570007324219,63.29600524902344,62.77263641357422,65.06515502929688,68.41561126708984,75.4371337890625,24.893444061279297,14.094959259033203,,15.75596809387207,83.5501708984375,54.37472152709961,79.5108642578125,66.86282348632812,81.40988159179688,42.382442474365234,42.996971130371094,50.01224136352539,49.66721725463867,25.782859802246094,25.308971405029297,25.527021408081055,25.874034881591797,24.890823364257812,24.791255950927734,25.996307373046875,58.37209701538086,74.75981140136719,76.99297332763672,64.13771057128906,64.13831329345703,64.78883361816406,63.70769500732422,65.05262756347656,63.57329559326172,63.140968322753906,65.2388916015625,65.1247787475586,64.47634887695312,62.96037292480469,63.65410614013672,65.70589447021484,69.16117858886719,69.1488265991211,68.86410522460938,80.21111297607422,80.04981231689453,80.32618713378906,80.31184387207031,80.18516540527344,64.12359619140625,65.60935974121094,65.40618896484375,68.10289764404297,60.17201232910156,62.96107482910156,65.06877899169922,63.39196014404297,63.004390716552734,64.85470581054688,68.48236083984375,75.2818832397461
lapgyn4_anatomical_actions,34.042236328125,18.65091323852539,15.246274948120117,0.0,68.41134643554688,65.41962432861328,87.90131378173828,62.82939910888672,72.28158569335938,84.13092803955078,59.169063568115234,58.66701889038086,72.61415100097656,69.00978088378906,85.55211639404297,87.38302612304688,52.58561325073242,53.57969665527344,57.93791198730469,58.017364501953125,36.358272552490234,36.59868240356445,36.238426208496094,36.286460876464844,36.19816589355469,36.388397216796875,36.19062805175781,67.15711975097656,61.67823028564453,73.79653930664062,81.25963592529297,76.1029052734375,82.55908966064453,70.24864196777344,70.17930603027344,70.69598388671875,70.16851806640625,70.88372039794922,69.90414428710938,70.14373779296875,71.23883819580078,70.6402587890625,70.19528198242188,69.62788391113281,69.45567321777344,71.04844665527344,75.16902160644531,70.55406951904297,75.26895904541016,75.64251708984375,86.80781555175781,75.48667907714844,76.07389831542969,86.89547729492188,86.86805725097656,86.95484924316406,86.93219757080078,71.38246154785156,73.33419799804688,73.34886932373047,80.40451049804688,97.03792572021484,73.1505126953125,66.81939697265625,69.39420318603516,69.44369506835938,67.91751098632812,67.10858917236328,70.52627563476562,72.86417388916016,82.06895446777344,34.18724060058594,18.799190521240234,15.144466400146484,,88.08567810058594,62.77417755126953,84.11339569091797,72.88153076171875,85.18588256835938,52.530616760253906,53.3231315612793,58.241600036621094,57.921363830566406,36.8779296875,36.40113830566406,36.50056457519531,36.758827209472656,35.56715393066406,35.93414306640625,36.89790344238281,61.823974609375,81.40904998779297,82.41523742675781,70.3284912109375,70.17564392089844,70.4518051147461,70.1836929321289,70.79269409179688,69.93699645996094,69.69419860839844,71.00331115722656,70.6378173828125,70.30460357666016,69.72871398925781,69.54641723632812,71.04922485351562,75.1840591430664,75.27488708496094,75.14041137695312,86.8858871459961,86.79319763183594,87.04721069335938,86.97188568115234,86.83992004394531,71.23355102539062,73.50115966796875,73.27784729003906,73.15122985839844,66.54529571533203,69.1946792602539,69.23918914794922,68.0318603515625,67.35089111328125,70.36498260498047,72.95808410644531,81.98779296875
sklin2_skin_lesions,55.324378967285156,63.67798614501953,60.91265869140625,68.41134643554688,0.0,50.56632995605469,63.03589630126953,59.74726104736328,60.42217254638672,65.99417877197266,53.078086853027344,53.86211395263672,62.96410369873047,57.10179901123047,70.6283187866211,70.22893524169922,45.060935974121094,47.03331756591797,58.969749450683594,63.196815490722656,59.46223449707031,59.70553970336914,59.76954650878906,59.51536560058594,59.62969207763672,59.61518859863281,59.59441375732422,29.00309181213379,64.79200744628906,51.482967376708984,60.49143981933594,39.98872375488281,66.53045654296875,65.82389831542969,66.58003234863281,67.25140380859375,65.46631622314453,67.46083068847656,65.58747863769531,65.39326477050781,67.6692123413086,67.664306640625,66.51593780517578,64.31986999511719,66.1690673828125,67.85164642333984,71.08845520019531,27.82010269165039,71.96969604492188,35.2147331237793,55.81776428222656,77.09603881835938,66.90519714355469,55.96763229370117,55.98693084716797,56.100120544433594,56.082130432128906,51.28741455078125,49.80249786376953,49.918067932128906,58.776031494140625,69.66740417480469,73.91392517089844,65.22657775878906,66.74874114990234,73.55290222167969,70.1325454711914,71.04818725585938,69.2457275390625,57.87202453613281,52.70893096923828,54.942298889160156,63.26860809326172,61.57526397705078,68.92488098144531,63.20126724243164,59.48256301879883,65.93071746826172,62.82598114013672,70.52256774902344,44.915672302246094,46.52508544921875,59.08049392700195,63.259498596191406,59.34591293334961,59.48991012573242,60.02989196777344,60.09406280517578,60.262001037597656,59.22854995727539,59.20854568481445,65.80189514160156,60.556880950927734,66.23007202148438,66.36395263671875,66.99258422851562,67.13543701171875,65.67546081542969,66.85982513427734,65.54820251464844,64.72042846679688,67.52571105957031,67.78871154785156,66.57110595703125,64.29878234863281,66.80056762695312,67.9888916015625,71.44873809814453,71.8794174194336,34.840057373046875,55.94270324707031,55.82533264160156,56.1422004699707,56.015541076660156,55.922279357910156,51.077781677246094,49.64621353149414,50.013362884521484,73.81851196289062,65.14881896972656,67.04449462890625,73.22409057617188,69.96939086914062,70.87699127197266,68.67710876464844,57.87653732299805,52.652496337890625
identify_nbi_infframes,53.846923828125,62.38874435424805,60.05177688598633,65.41962432861328,50.56632995605469,0.0,42.861236572265625,64.1263427734375,56.286346435546875,47.12590789794922,51.13964080810547,52.886741638183594,57.56566619873047,51.51945877075195,56.80612564086914,56.713706970214844,49.45997619628906,51.418575286865234,59.955894470214844,64.93667602539062,60.93152618408203,61.25440979003906,61.17296600341797,60.915679931640625,61.152137756347656,61.116554260253906,61.24980163574219,45.20525360107422,59.69313049316406,47.17231750488281,47.94916534423828,48.39148712158203,61.45244598388672,64.62400817871094,63.36294937133789,62.928070068359375,64.74728393554688,62.44422149658203,64.40367889404297,64.51005554199219,62.5463981628418,64.0599594116211,63.140419006347656,64.4526138305664,62.54606628417969,62.31610107421875,62.47986602783203,44.760040283203125,64.18418884277344,41.5469970703125,60.887229919433594,74.80817413330078,67.42770385742188,60.8555908203125,60.983699798583984,61.097511291503906,61.063209533691406,64.41856384277344,64.56050109863281,64.29833221435547,43.73118591308594,70.89767456054688,68.19305419921875,63.82091522216797,59.72113800048828,71.93011474609375,63.9407844543457,64.45329284667969,64.38288116455078,56.27698516845703,62.137718200683594,53.51932144165039,60.59685516357422,60.5273323059082,66.06666564941406,42.975196838378906,63.832679748535156,47.336666107177734,57.4263916015625,56.569923400878906,49.07882308959961,50.822906494140625,60.283599853515625,64.81745910644531,60.95108413696289,60.55573272705078,61.54865264892578,61.7432861328125,61.613433837890625,60.89220428466797,60.6332893371582,60.585235595703125,48.22722625732422,61.268577575683594,64.70634460449219,63.666927337646484,62.87257385253906,65.52054595947266,61.61436080932617,64.08536529541016,63.816925048828125,62.60688018798828,63.901123046875,62.93574905395508,64.88932800292969,63.20500946044922,62.69867706298828,63.03370666503906,64.0162353515625,41.26974105834961,60.947357177734375,60.89178466796875,60.98765563964844,61.05307388305664,60.93573760986328,64.56266021728516,64.67927551269531,64.01976776123047,67.95219421386719,63.749595642089844,60.065032958984375,71.57183837890625,63.919986724853516,64.0831298828125,64.04837036132812,56.318931579589844,62.21968078613281
laryngeal_tissues,76.79944610595703,86.23970031738281,83.36885070800781,87.90131378173828,63.03589630126953,42.861236572265625,0.0,85.01803588867188,61.20331573486328,40.01836395263672,59.865875244140625,63.512001037597656,58.83017349243164,54.41571044921875,53.30010223388672,51.89807891845703,74.419189453125,75.74263000488281,82.05298614501953,90.26657104492188,87.57266235351562,87.887939453125,87.79827880859375,87.53961944580078,87.71897888183594,87.74276733398438,87.82966613769531,56.84890365600586,81.13140106201172,66.6944580078125,57.19715881347656,56.27299499511719,74.3604965209961,87.46366882324219,86.93695068359375,86.07942962646484,87.78134155273438,85.6920394897461,87.51776123046875,87.78363037109375,85.64811706542969,86.91365051269531,86.22219848632812,87.58726501464844,85.24959564208984,85.17782592773438,82.60179901123047,58.650238037109375,84.65592193603516,47.743865966796875,69.19973754882812,95.73611450195312,87.46443176269531,69.20445251464844,69.32076263427734,69.32640075683594,69.40672302246094,78.71179962158203,78.6026611328125,78.63203430175781,55.55310821533203,75.75511169433594,83.23949432373047,84.3648452758789,78.39076232910156,89.10209655761719,81.74456787109375,82.04185485839844,81.79638671875,68.41950988769531,74.02415466308594,76.34939575195312,86.54720306396484,83.87812805175781,88.58363342285156,,84.74691772460938,40.64176940917969,58.583805084228516,53.05668640136719,74.02154541015625,75.44395446777344,82.3327407836914,90.12916564941406,87.57475280761719,87.21749877929688,88.17343139648438,88.35601806640625,88.16697692871094,87.31739807128906,87.28878784179688,82.21955108642578,57.4152946472168,74.30844116210938,87.5709228515625,87.2857437133789,85.96388244628906,88.4725112915039,84.90304565429688,87.2232666015625,87.10366821289062,85.83233642578125,86.75460052490234,85.93229675292969,88.12096405029297,85.83085632324219,85.68547058105469,83.23497009277344,84.38224792480469,47.87347412109375,69.19468688964844,69.27584838867188,69.26441955566406,69.27601623535156,69.33050537109375,78.86151123046875,78.57635498046875,78.51290893554688,83.0696792602539,84.40271759033203,78.66551208496094,88.81555938720703,81.74606323242188,81.69364929199219,81.45677185058594,68.53340148925781,74.22738647460938
nerthus_bowel_cleansing_quality,49.993019104003906,54.153465270996094,54.412193298339844,62.82939910888672,59.74726104736328,64.1263427734375,85.01803588867188,0.0,73.119873046875,77.64643096923828,57.16893768310547,55.25846862792969,66.63523864746094,61.280487060546875,82.21092224121094,83.373291015625,33.626129150390625,30.61857032775879,17.270526885986328,32.1010627746582,45.62181091308594,45.54222106933594,45.590118408203125,45.638160705566406,45.65828323364258,45.57537841796875,45.72321319580078,61.36426544189453,47.384674072265625,67.67515563964844,76.34136962890625,73.45079803466797,71.93208312988281,63.354034423828125,62.777503967285156,63.93964767456055,62.56907653808594,63.939945220947266,62.619476318359375,62.2045783996582,64.29962921142578,64.4813003540039,63.24513244628906,61.867496490478516,63.57402038574219,64.83987426757812,73.20306396484375,64.75151062011719,73.64468383789062,69.55372619628906,73.41690063476562,77.2206039428711,61.06434631347656,73.47379302978516,73.49069213867188,73.65737915039062,73.49625396728516,48.9013786315918,48.228179931640625,47.72713851928711,75.19657897949219,84.30598449707031,71.21600341796875,57.337364196777344,61.79298400878906,66.93026733398438,65.361572265625,62.705413818359375,63.45115661621094,75.14091491699219,67.69280242919922,49.83134460449219,55.51556396484375,54.57091522216797,62.83528137207031,85.2059555053711,,77.28483581542969,66.5184555053711,82.17524719238281,33.52074432373047,31.42076873779297,17.34276580810547,31.84260368347168,45.405799865722656,45.68505859375,45.84154510498047,46.015052795410156,45.97295379638672,45.39126205444336,45.53026580810547,47.58515167236328,76.52723693847656,71.67849731445312,63.853904724121094,63.005897521972656,63.798797607421875,62.852420806884766,63.74584197998047,62.62519836425781,61.82888412475586,64.04898071289062,64.9339599609375,63.4548454284668,61.6705322265625,63.74972152709961,64.95236206054688,73.2572250366211,73.71314239501953,69.11431884765625,73.56503295898438,73.36329650878906,73.61061096191406,73.6561279296875,73.34648132324219,48.64678955078125,48.46931457519531,47.55144500732422,71.29033660888672,57.01105880737305,61.89771270751953,66.80313110351562,65.23670196533203,62.93115234375,63.04487609863281,75.27104187011719,67.3838119506836
stanford_dogs_image_categorization,65.0228271484375,70.62908935546875,67.72727966308594,72.28158569335938,60.42217254638672,56.286346435546875,61.20331573486328,73.119873046875,0.0,59.35710525512695,36.28164291381836,37.963279724121094,44.70317840576172,44.943824768066406,64.1047592163086,65.02995300292969,63.55608367919922,65.45429992675781,69.37031555175781,74.7159423828125,72.99021911621094,73.30550384521484,73.21568298339844,72.99738311767578,73.11498260498047,73.200927734375,73.18524932861328,55.540191650390625,74.32167053222656,61.37316131591797,62.93510818481445,59.218788146972656,66.78836059570312,74.88774108886719,74.01829528808594,73.8327407836914,74.87943267822266,73.58793640136719,74.6363296508789,74.53675842285156,73.70480346679688,74.48786926269531,73.8875961303711,74.7034912109375,72.9253158569336,73.76924133300781,76.30494689941406,59.971946716308594,77.71449279785156,59.201744079589844,69.86775207519531,82.53726959228516,70.41447448730469,69.91555786132812,70.00252532958984,69.97012329101562,70.00813293457031,68.90460205078125,67.70698547363281,67.61297607421875,61.160621643066406,76.85029602050781,70.5008544921875,71.10185241699219,66.00460815429688,75.02008819580078,66.6334457397461,67.43272399902344,68.01446533203125,61.37055206298828,70.4468002319336,64.64323425292969,69.65711975097656,68.26345825195312,72.90785217285156,61.29435729980469,72.88463592529297,59.288787841796875,45.172332763671875,64.01029968261719,63.271453857421875,65.1407470703125,69.55760192871094,74.66981506347656,73.24197387695312,72.91665649414062,73.71251678466797,73.73528289794922,73.51286315917969,72.94143676757812,72.74613189697266,75.16034698486328,63.10553741455078,66.76292419433594,75.0704574584961,74.18563842773438,73.81611633300781,75.38740539550781,73.04183959960938,74.69822692871094,74.0035400390625,73.70071411132812,74.49991607666016,73.8189697265625,74.95051574707031,73.17066192626953,74.05801391601562,76.7598876953125,77.5662841796875,59.0057373046875,69.8919677734375,69.89938354492188,70.05683898925781,69.93956756591797,69.90626525878906,68.91266632080078,67.75753021240234,67.5401611328125,70.34117889404297,70.88026428222656,66.18904113769531,74.66995239257812,66.57867431640625,67.266357421875,67.68729400634766,61.401641845703125,70.52398681640625
svhn,76.72738647460938,82.54081726074219,79.59521484375,84.13092803955078,65.99417877197266,47.12590789794922,40.01836395263672,77.64643096923828,59.35710525512695,0.0,52.30714416503906,54.052391052246094,42.398868560791016,37.02265930175781,40.12949752807617,39.269920349121094,70.48885345458984,71.98182678222656,75.04103088378906,81.80690002441406,81.58368682861328,81.88963317871094,81.76364135742188,81.55812072753906,81.74232482910156,81.75703430175781,81.86920166015625,62.04064178466797,74.96502685546875,65.6768798828125,57.792850494384766,65.64108276367188,71.23774719238281,78.0340576171875,76.30475616455078,75.6208724975586,78.04472351074219,75.08609008789062,77.65788269042969,77.72836303710938,75.26850891113281,76.83146667480469,75.89885711669922,77.82427978515625,75.35136413574219,74.9256591796875,77.08863067626953,64.09706115722656,78.67915344238281,57.666404724121094,72.47837829589844,88.79345703125,78.03701782226562,72.47294616699219,72.59005737304688,72.64865112304688,72.62161254882812,73.82250213623047,73.09378051757812,73.09305572509766,59.426246643066406,79.24061584472656,70.54067993164062,73.68600463867188,67.73406982421875,77.16792297363281,69.647216796875,67.22224426269531,69.43733215332031,69.69291687011719,75.19026184082031,76.51421356201172,81.59519958496094,80.04103088378906,84.63652801513672,40.08377456665039,77.40644073486328,,41.91656494140625,39.96656799316406,70.18121337890625,71.64144897460938,75.27210235595703,81.83045959472656,81.58714294433594,81.28189086914062,82.18638610839844,82.38837432861328,82.21510314941406,81.54633331298828,81.26020812988281,75.88636779785156,57.965763092041016,71.18951416015625,78.17534637451172,76.64462280273438,75.47850799560547,78.84214782714844,74.36803436279297,77.42333221435547,77.12745666503906,75.394775390625,76.72161102294922,75.84442138671875,78.41508483886719,75.90541076660156,75.31722259521484,77.52981567382812,78.50909423828125,57.71539306640625,72.51322174072266,72.53504180908203,72.52147674560547,72.5807876586914,72.50761413574219,73.87157440185547,73.03353118896484,72.9475326538086,70.54240417480469,73.66537475585938,67.94979858398438,76.92558288574219,69.64521789550781,66.90338134765625,69.19149017333984,69.79548645019531,75.30043029785156
