,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.05239161255756966,0.052661518867848964,0.07145868671236007,0.1144778666250832,0.2023608359985543,0.2633636424114879,0.09405907519992086,0.22748713393304726,0.221191637581416,0.16095765924599614,0.15563308287275865,0.14485430032328567,0.1352659299524032,0.2337416774768461,0.2522474390308865,0.07469250427232516,0.07059414354236482,0.08615271237108585,0.09189004430251235,0.06522695010541024,0.06554520773729337,0.06543170417525498,0.06498754818929055,0.0651229279363709,0.06511433271558609,0.06509583516240078,0.1294422224174519,0.10993867311286441,0.13852040697727946,0.24830564627119817,0.21714061112699556,0.18448736004844807,0.124452660674177,0.1249888826755863,0.12716836608528886,0.1237575605446864,0.12755938697760144,0.12389028269477752,0.12383008368530421,0.12749130299673017,0.12658475146168446,0.12547106191315055,0.12286158365017369,0.12250705578107816,0.12836700888424318,0.14482651556528403,0.13324570946294678,0.14590424083320763,0.18211508218256378,0.20985535696572527,0.15317590414585905,0.13641750944852943,0.21013082498923352,0.20994622999664392,0.21046294494118994,0.21003920182789226,0.11694499291906207,0.11549215728737502,0.11485433173875653,0.1701354570384217,0.28276984488896995,0.15685946138716517,0.12036739279571332,0.13876109235950823,0.1358829603382063,0.1419866020877072,0.13212367293571486,0.1431168283655813,0.15055595297145885,0.18148602036170097,0.01486298581432575,0.055480125466423946,0.05270834706144668,0.07222892999550332,0.2642800491474264,0.09398387676611467,0.21855585817731954,0.14599108667519078,0.23289308586195456,0.07415481198055017,0.0701002928975105,0.08691141871299357,0.09151218781993972,0.06573682508174555,0.06539049747218295,0.0657385619542655,0.0666536793401217,0.06611295862842573,0.06486946485583783,0.06576428395103473,0.11088805337371148,0.24811347719808374,0.18222449825180242,0.1251690804392081,0.12557788021599325,0.12686386487014112,0.12432499578214826,0.1269516023413761,0.12351820590233034,0.12252922340017751,0.127046965214477,0.1275657717713321,0.1258939400121437,0.12311957176815942,0.12313338840188659,0.12886005049622506,0.14525045864172625,0.1455832858083078,0.17725814285424954,0.21136359499976293,0.20923569560208816,0.21033281013718866,0.21095122834235608,0.2096775243543529,0.11656094123270742,0.11615189475479117,0.1144444256277343,0.15640378635185515,0.12036015983251283,0.13910072345169638,0.135089943747751,0.14233085234792592,0.13285859051038237,0.1424513251494329,0.15100267064873055,0.180248829714804
lapgyn4_surgical_actions,0.05239161255756966,0.0,0.03505908269400099,0.04309055844559448,0.12512583426302248,0.21682739076932933,0.2792415482110693,0.09584924897948971,0.23946004986817881,0.2285381406222291,0.1685160550187137,0.16096196387132514,0.14807475173759344,0.13973443799434238,0.23963242571391366,0.2608359484018882,0.0823196572094616,0.07926935214563113,0.08751381372537506,0.0885336812985921,0.05623604256447161,0.05638413475579597,0.05620628813152156,0.05596951087135669,0.055968818317782026,0.05619555160866895,0.05589698153353216,0.13988754414739663,0.10498651366764392,0.1478098762147999,0.26141853461752584,0.23489941884109736,0.19068049881635932,0.1237518012383246,0.12408887694692494,0.1262532727914823,0.12312133523456534,0.12671116279155722,0.12301572334810239,0.1230990598453642,0.12696323923260955,0.12542836370294058,0.12453805829390643,0.1220209359979594,0.1219051691630478,0.12756358043293026,0.14664311509801425,0.1431811262983498,0.14707052785406238,0.198624378429169,0.2221645430767979,0.15042908189421633,0.13706563065747113,0.2224511970311565,0.22224296773019486,0.22264333685666238,0.22225425330749388,0.11688672669709456,0.11661173361012195,0.11633805282892594,0.17827416792882292,0.29431074773639865,0.15313876419846342,0.11718586075974677,0.13863629912796907,0.1314309362487142,0.13772546152675735,0.12937422177547875,0.13925679763153154,0.15817587873634772,0.1919989455979014,0.05291909374005484,0.024966159641560567,0.034359612725150354,0.04266254541892596,0.28013559510551145,0.09573333478551317,0.22567501933835776,0.14920327244882392,0.23887409132517068,0.08219942188458963,0.07897922603169182,0.08798461356755671,0.08813510806227523,0.05688368858211149,0.056614028839258916,0.056235366254623394,0.057488785223563856,0.055632827195948684,0.055564203410717966,0.05717208162117028,0.10537468376358418,0.2612964372779439,0.18863342797044425,0.12438208045819357,0.12429331103319052,0.12567146197063553,0.12327089904243593,0.1262569280786199,0.12300081165054061,0.12220819009131129,0.1264209929691602,0.126124500534756,0.12528223084725307,0.12248130677406557,0.122075967103885,0.12797985127869654,0.14685723252535837,0.14712797435199926,0.1938204106430253,0.22372174131496186,0.2215390155758858,0.22270392948439832,0.22318238899847342,0.22203119687293488,0.11636932291932021,0.11725987143169678,0.11617067483828625,0.15274834244535693,0.11679945080903989,0.13866027832920827,0.1307709233659181,0.13817295929631146,0.13030902016460705,0.13875978685342621,0.15861644931119087,0.19050692473290626
lapgyn4_instrument_count,0.052661518867848964,0.03505908269400099,0.0,0.037477642414430384,0.12043434001841616,0.20969412384381197,0.27159864062425687,0.09813493269312326,0.23126807380017872,0.2226923449037154,0.16158959844870296,0.15444933454551432,0.14393402299024188,0.13579491013964506,0.23608613934781528,0.2555782957207518,0.08249824061422809,0.07914570806677981,0.09117519270287178,0.09606476154175558,0.053830270044122865,0.054106509402766206,0.053676290278999096,0.05341350349447216,0.05356218020888778,0.05368014921933667,0.05346909961853909,0.13584692118873695,0.11092923797202432,0.14966426468850486,0.25617070126118585,0.22601227877169736,0.18679033161737346,0.12855854322047658,0.12879957924168323,0.13090250074951593,0.12761671897483995,0.1313440047739275,0.12777211165298563,0.1277089596086024,0.13155594898036793,0.13030007288688078,0.12916706527055455,0.12648066921489542,0.12665328846677776,0.13209103768813582,0.14833084733340474,0.14003629350140145,0.14921323255293734,0.19264239905677116,0.21658772594955247,0.15540167739024158,0.14020882041858107,0.21677443656874146,0.21664263060156044,0.21704837177010144,0.21659578069021684,0.11746732534737792,0.11828145077883281,0.1181616901943429,0.17702031355442388,0.2892046653552057,0.1523938230170397,0.11969280916916716,0.1363510180364443,0.13480190604663536,0.13623572347338142,0.12951673514260675,0.13795645595978756,0.15701994202049896,0.18813591293644846,0.05304697908637536,0.035433810046120964,0.01519927718154267,0.03890127893690331,0.2724152853177317,0.09799083729921199,0.21998441353242076,0.14515594873252882,0.23527232818976535,0.08212575161947475,0.07864426485804657,0.09196005187463156,0.09561527515323169,0.05463573563878331,0.05394949659257854,0.05429720498923876,0.05471285521234779,0.053292519147809185,0.05281526956426591,0.0545353247612084,0.1117371712787126,0.2560883720063806,0.18464451467883136,0.12946632047737333,0.1290450246738733,0.13034334151376922,0.12815060072327067,0.13078599940358973,0.12760167876956147,0.12672700668077053,0.13103602213795168,0.13112886380082622,0.12972960954292223,0.12700594251673722,0.12720300074458873,0.1326073117487316,0.14879023061820365,0.14921689875605296,0.18791455228229184,0.21816587512162264,0.2159468991142546,0.21710831341204562,0.2175552719278716,0.21638641343855375,0.11710591425444382,0.11876762758226446,0.11788980941075392,0.1519558245840441,0.11940871951588289,0.1364694320969299,0.13406380205590818,0.13658691115626193,0.1301718748087034,0.13734436502982164,0.1574454718489712,0.18680226385633517
lapgyn4_anatomical_actions,0.07145868671236007,0.04309055844559448,0.037477642414430384,0.0,0.13507081227515488,0.22138147844869677,0.28201103270533423,0.1106949849013086,0.24190394555662448,0.23170281574550639,0.17346805618528383,0.1665095177623795,0.1564168576115873,0.14856860420637985,0.24389909926985645,0.26452888191176666,0.09886577714357138,0.09620537692014,0.10353911381806896,0.10787284617702579,0.07053444126548283,0.07080952088085848,0.07030544208886032,0.07019063037603457,0.07035240897066157,0.07050314795808703,0.07022413941428132,0.14924017144593088,0.11632022984829496,0.16226660232475362,0.26749964048854535,0.24013726668717417,0.19733416455752673,0.13900186177244425,0.13913280563562386,0.14069839686250532,0.1384413545398709,0.14099617208517679,0.13824693859324666,0.13853017158162723,0.14139014797159455,0.14030884808133293,0.13930242426200662,0.13731244254269642,0.13701423224948386,0.14148328536313187,0.16011309099118298,0.15157935588999943,0.16080792107636993,0.2054450227882043,0.23058845868617825,0.16286628789694899,0.15169311576575806,0.2308212547689783,0.23063455338889124,0.23101452056907507,0.2305878576592677,0.12916701395909225,0.1302215253218483,0.12999500823175048,0.1888942725048649,0.3010086192564236,0.16122234193662166,0.13116235325054398,0.1475183279355782,0.14121696374631681,0.14445534196638993,0.13787651222839226,0.14700655562919968,0.16870506835721225,0.2015275130387095,0.07156157444723557,0.04364014759562286,0.037308127117864506,0.015761062752377472,0.28288086990188,0.11054563583333268,0.22905918901466243,0.15757017800527529,0.2431859566755881,0.09854140536723718,0.09585103988033368,0.10426189291934868,0.10742917796366268,0.07144635062902886,0.07088379210398632,0.07075104346372385,0.07168814121292014,0.06936403496383482,0.06973145497679961,0.07111260743232017,0.11684149794304788,0.2674699411486975,0.19531149311402735,0.13967536035257114,0.1392370400702641,0.14015241599560474,0.13887760861034915,0.1404907708198744,0.13813799382023606,0.13755645132664596,0.14093757711226607,0.14073436121818728,0.1399011412322852,0.13790988770354495,0.13733225428595425,0.14199294151072672,0.1604568652184772,0.16087088625792118,0.20089865461812384,0.23209711794340948,0.2299379062100418,0.23114832901733784,0.23150731218387655,0.23038374000437944,0.1287789761326979,0.1306875312537492,0.1298130959454959,0.160726296247937,0.13073168364595356,0.14747548319094594,0.14065924659639528,0.14500017762432782,0.13868384215647056,0.14643053477876244,0.16919853847411626,0.2002669478249431
sklin2_skin_lesions,0.1144778666250832,0.12512583426302248,0.12043434001841616,0.13507081227515488,0.0,0.1962026585268734,0.25726788478043766,0.12727404428230815,0.2206106389576819,0.22695283448530504,0.16327036340875511,0.1597535742980582,0.15652444152075912,0.14473387014721628,0.2422972221896677,0.2574878649990408,0.10077647571115661,0.10307134347722474,0.12475069054184008,0.13200792872967898,0.11624574857642389,0.11668478954833422,0.11643370573001285,0.11620558883341359,0.1164321508088538,0.11640345833203958,0.11658273540845254,0.0942246980156397,0.13905718334825284,0.13444678916084152,0.24626470123346492,0.18626016904367002,0.193619013403334,0.14948602106649683,0.15048103522659728,0.15272495373011974,0.14846587156480706,0.15327305923375134,0.14869568468248615,0.14804205367155068,0.15350229951028604,0.1532418078656688,0.15085693060629893,0.14600273366837063,0.14932856209881684,0.15434467691157056,0.17280362290855641,0.08559222289088246,0.1746972268874326,0.14227586902158668,0.19477543543851406,0.18030050395755404,0.15629517897216383,0.19518021150470055,0.19525157486433187,0.19560434261980955,0.1953281215230151,0.1276564654343299,0.1223093584984738,0.12230553416232326,0.16763554649518508,0.2741142704581748,0.18061158953170475,0.14768384011114408,0.1583456790447012,0.1703481957336609,0.16386473023461492,0.16047423153220308,0.1626031315269787,0.1635457233680571,0.16456937436098354,0.11416752104510686,0.12488919191056466,0.12132295036025173,0.135786067342897,0.2580434547795956,0.1270359781424573,0.2244468557677689,0.1568321692355729,0.24148463012505775,0.1005351310907802,0.10251246866645128,0.12569759656003365,0.132068558105971,0.11623813317040074,0.11618487322708337,0.1170206841288185,0.11740309295002943,0.11775495286062451,0.11598036944588655,0.11637972104439707,0.14111624490474695,0.2460328150321333,0.19115140665060082,0.15066053161735388,0.1510067842504907,0.15247314139243384,0.14911116053925724,0.1523836519597062,0.14850594696184471,0.14710133226900757,0.15315799629144886,0.15425431419638957,0.15133290871822436,0.14627901324784276,0.15054636305546973,0.15505288760612354,0.17356075007716187,0.1746088371645797,0.13870788624976244,0.19602447469670864,0.19439478181477274,0.19573592750028904,0.19581079965899312,0.1948361381038407,0.12727840040321806,0.12242788564580863,0.1216495586449232,0.18045723658849366,0.14766945965390033,0.15890269685837358,0.16947136978542957,0.16376406095603,0.16085419954438301,0.16159720135782785,0.1639371350713132,0.16334895235166186
identify_nbi_infframes,0.2023608359985543,0.21682739076932933,0.20969412384381197,0.22138147844869677,0.1962026585268734,0.0,0.170775761979149,0.2279142672801982,0.18728691515755214,0.1930592430900477,0.17010408707035968,0.17218095483791185,0.20111342457885212,0.18493517511294777,0.23439695394909624,0.24307540988526083,0.2029997934147621,0.2068984208387008,0.22428091977254855,0.23108912196037124,0.215302096680007,0.21604823653121386,0.21571524188168273,0.21493047072052396,0.2156224435126692,0.21522890680602313,0.21596252522682458,0.17817010835507305,0.21761468679177848,0.18519984970889172,0.21663269192484824,0.20015152075838688,0.22870397375587204,0.2391344260079879,0.23596047949777416,0.2360782166515957,0.23897960721236655,0.23559455449096292,0.23830930566554467,0.23807961998256785,0.23595458791496382,0.23894430840316166,0.2361481131110535,0.23784651754143338,0.2361149009244583,0.2358505600071083,0.24271506467278905,0.17972696202272787,0.2470807759457733,0.16898004713640766,0.24792926508903068,0.2671302150382125,0.24025924001937837,0.24791743077542067,0.24833169920726245,0.248687753952605,0.24884739319396806,0.24028430361203215,0.237410811970164,0.23706039664339823,0.1813793595151973,0.3084380302477324,0.23564317725035844,0.2311290831074224,0.21626059765625927,0.2477904238152786,0.22083165592399473,0.22535452364035866,0.22778542461152917,0.21306079925218774,0.234178522401561,0.20165988175433153,0.21363155460500366,0.21091792310488516,0.2228414768852061,0.17100741801318992,0.2275497374410782,0.19354005062290927,0.2004127356076777,0.233177848293638,0.20215043785496617,0.2061235045798616,0.22525084861017006,0.23061738610547114,0.21525732984990326,0.21476717828403813,0.2163083752159538,0.2161665230335172,0.21656056733940238,0.2152201797776779,0.21481759264174438,0.2198948065684805,0.2171722141464867,0.22811658345164537,0.2397359644212806,0.23708359031530393,0.23620060464993564,0.24147830609296045,0.2338698875295154,0.2373071332823134,0.2365487447628078,0.23578663769283048,0.23956207237412058,0.23602872674265796,0.23857646041036235,0.2373122927474551,0.23656567861993616,0.24426185130426917,0.2468845833943097,0.16726148101668192,0.24857074136903723,0.24779939522454666,0.24853684275262913,0.2482891589673539,0.24838816966970245,0.24076124539645977,0.23778497869607884,0.23593279985413718,0.2359544034524627,0.23087782591544634,0.21688456892975994,0.24718762380545603,0.2205352074501582,0.2245341566142779,0.2267189133344895,0.21335789715637393,0.23381099884439271
laryngeal_tissues,0.2633636424114879,0.2792415482110693,0.27159864062425687,0.28201103270533423,0.25726788478043766,0.170775761979149,0.0,0.286761051399027,0.23265312492823675,0.2051816585733428,0.22202988627691567,0.2271036649503978,0.24120384946713502,0.22528046517514172,0.260635368771745,0.26075315608713817,0.2698272789932732,0.2712472122452302,0.284908477015715,0.29561588504056757,0.2772065535722371,0.2779713762230633,0.27748389175428767,0.2769242997435536,0.2774715238348968,0.27718617566581855,0.2777022118316386,0.235915037099797,0.2783702774149365,0.25722341936898857,0.25818626897737007,0.25036268193550393,0.2793670052039094,0.30764799756484673,0.3060683936200905,0.3060460532801743,0.30795342790057667,0.3054286463120538,0.3071438903803597,0.3075213139824564,0.3055673165338254,0.3080720899604407,0.3058719142056652,0.3071161961040505,0.3039744756215669,0.30538447844433325,0.3068879931519175,0.24617047963716268,0.3110074146925255,0.2118295847783842,0.282362453392418,0.33464245085985467,0.3029520213925785,0.2823723368523946,0.28268687653033076,0.28310551941531203,0.2830872091614671,0.2980376160428537,0.29556296867256004,0.29518689549957566,0.24707727183970507,0.32916194579299274,0.2913861283061427,0.29475102200696013,0.28207380400876886,0.3058979212260718,0.28540272168344494,0.28525429781048284,0.29108949960699715,0.27124380148231997,0.28052763770244643,0.2629642237192962,0.2784666054907723,0.2727897379556367,0.28328741354440734,0.013360725529882054,0.2863492580845577,0.20716615173170314,0.24061396782819866,0.2598461340289434,0.2692971730738633,0.27056075426425186,0.28584022817287147,0.29508119646335557,0.2772460684812201,0.2764464493312205,0.2780348356241802,0.2780299992014874,0.27815837755804534,0.27703516870529843,0.2767963745207296,0.28086575717356793,0.25884627598403587,0.2788202360201823,0.30814439999632665,0.3069273645596439,0.3059151319859304,0.30980096956997627,0.3043916125233762,0.3064660108464522,0.3059333639730662,0.3054174216960071,0.30871672989654464,0.305751667871097,0.30770212300260485,0.30503032898776683,0.30628980542121853,0.3083920153836451,0.3107267018917642,0.21188353641033067,0.28290770130184817,0.2824094936532314,0.28295598032869584,0.2825695802015,0.28271011649975336,0.29850865775389335,0.2960312779056119,0.2940868887613263,0.2916102006423593,0.2947920857941201,0.28264577544132957,0.30549673311792813,0.28491870775835315,0.28446997909620064,0.29021749216980586,0.2716734395386151,0.28034284394885156
nerthus_bowel_cleansing_quality,0.09405907519992086,0.09584924897948971,0.09813493269312326,0.1106949849013086,0.12727404428230815,0.2279142672801982,0.286761051399027,0.0,0.25325582977309086,0.23121599208304605,0.18110265101495762,0.17189928369595608,0.15399840936429526,0.14613878552574638,0.24931022391551472,0.2691478657381378,0.07314486073970575,0.06579137082446734,0.04070656412041321,0.07053952374169012,0.08071382531523157,0.08055898406656764,0.08056522541225372,0.0808147148228834,0.08077290691659994,0.08059400926492279,0.08059261242166474,0.1475449861589904,0.09811844416658125,0.15824404014252358,0.2739900539785299,0.2429484968542527,0.19129239075190052,0.12946778657251423,0.12761387406499375,0.1292228394779602,0.12777254823878592,0.12933080010611525,0.12800940799819552,0.1273722706061213,0.12972596901816502,0.12984503411736914,0.12807593170145098,0.12662443048246771,0.12727795297866212,0.1307057539740141,0.1562940011958139,0.14822169189571013,0.15697786416781326,0.20411226926689738,0.21929871318971492,0.16102840286122938,0.13134995649454126,0.219509989194394,0.21945215737458093,0.21983712432133884,0.21920975032782847,0.09962931362998631,0.09846487651592621,0.0977680027395184,0.18431445344605857,0.29073725385908533,0.1591243038994138,0.11845522606539843,0.13790392387399936,0.1357457182878139,0.14350759697207036,0.13336195267798193,0.13996812005418388,0.17241752492436163,0.18893332043347363,0.09402036190385575,0.10014433656018827,0.09840961571784425,0.11042786256864727,0.2877313578404975,0.014583248713495478,0.22822891364364978,0.154858842780803,0.2489283081416363,0.0725674489408566,0.06733260283818598,0.04114174189010371,0.06987452850997539,0.08076135876128943,0.08081249961029963,0.08055434843962601,0.08141466739580758,0.08120312966742443,0.08028566261082384,0.08099299834772763,0.09855641670604244,0.27370384113976237,0.18891067658025448,0.13010267370383072,0.12781741077240596,0.12881059339049336,0.12805330158689998,0.12892548297008494,0.12785566006749544,0.12654035099076696,0.1294100910334267,0.13056042321204275,0.12862788461314403,0.12698209372392047,0.12787413652049257,0.13096621309065595,0.1564167839726775,0.1567722107199087,0.19961871947715434,0.22095733063090278,0.21852158574521985,0.2197823592164989,0.2203963720087217,0.21891876700969098,0.09898528202833404,0.0990386366809467,0.09735143939578918,0.15862374270398416,0.1180290514735978,0.13830346368985483,0.13526299982220824,0.14384226020177024,0.13411112423265725,0.1391253926027719,0.17296484744833124,0.1875564069401655
stanford_dogs_image_categorization,0.22748713393304726,0.23946004986817881,0.23126807380017872,0.24190394555662448,0.2206106389576819,0.18728691515755214,0.23265312492823675,0.25325582977309086,0.0,0.23440405919581275,0.12084014846590416,0.12349613493967566,0.1833394540379708,0.17673422460551425,0.25007885115574335,0.25574385149995615,0.23266313141712985,0.23666602622405428,0.25002122269403115,0.2557059443622935,0.24306426058920705,0.24363614746461387,0.24328817900220218,0.24285011653449612,0.2430994548482446,0.2430544148228671,0.24346814537172384,0.20057261751876743,0.24524061677663417,0.22061955575514525,0.24095320703052367,0.21360221645693883,0.2394171421198145,0.26569184651263844,0.2637404674101658,0.2641793889806105,0.26542150237760964,0.2636773990770155,0.264958029636241,0.26444315470804425,0.2642395310849031,0.2662122554283318,0.2641199827201835,0.26480453160831374,0.2630774723111584,0.26419560771181444,0.26947407022761377,0.21096364229353254,0.27250477297842,0.2074812829487746,0.2624683881434027,0.28806492709523857,0.25470511549836344,0.26248101180252903,0.26278958437538386,0.26304255978103713,0.2631534797629413,0.25780196630069996,0.25419083285308036,0.2541459035541799,0.2253548616380181,0.31326091617222485,0.2496704948958708,0.2546357308206343,0.23759564408617356,0.26540462141399257,0.23740294231865544,0.24154400345573612,0.2455527415917066,0.22447992290664587,0.2531294577961668,0.22700737678514926,0.23672072741686986,0.23244321165384368,0.24342842476571402,0.2325206000974714,0.2529558962267084,0.23373043926371784,0.18398290279608104,0.24861608842919072,0.23240426959860078,0.23586198264092745,0.2506311575161858,0.25559050032877134,0.24301503772189814,0.24272318784387778,0.2441629604047132,0.24386710351957736,0.24409096351719228,0.24307604310674863,0.24262641033321591,0.24774105287653045,0.2416120936174408,0.23882643867674327,0.2665971642047032,0.2644587076456054,0.26435659063167416,0.26711402787623384,0.26288206350726717,0.26492035115369117,0.2632863435710351,0.26404469714302664,0.26685201994245744,0.26410728522877347,0.2650020418218282,0.2635214551728888,0.2650770695336369,0.270508306699734,0.27239498002076773,0.20679183338996862,0.262760724689206,0.26249727184072896,0.26323720129741524,0.26272952088437,0.2628183450644733,0.25800323155223903,0.2546689393821655,0.25315582868855263,0.24967044629195387,0.2542057651071576,0.23782502910618453,0.26486057720552736,0.2369632429231091,0.241096053712686,0.2444276097578231,0.22473156964514654,0.252661302105092
svhn,0.221191637581416,0.2285381406222291,0.2226923449037154,0.23170281574550639,0.22695283448530504,0.1930592430900477,0.2051816585733428,0.23121599208304605,0.23440405919581275,0.0,0.19761231704164098,0.19885336358349742,0.16658259766442535,0.15417590914464088,0.17513425981679653,0.17627041029123874,0.219292763059387,0.21869088480617455,0.22894893275879988,0.23673415665143682,0.22396174650049744,0.2244787314261061,0.22416034929004333,0.22364493309551992,0.22413355259216647,0.2239382141017527,0.22434413619769988,0.21396345281223061,0.23046137965621055,0.2281548415854149,0.2555108563881251,0.24395649945167885,0.25175298471955704,0.2522562043747465,0.24905632687016357,0.2496850622878606,0.2514648849276466,0.24890478400299287,0.25106395051738006,0.2507560823100806,0.24954221669275248,0.2517527092686984,0.24936122346694628,0.25021214641341827,0.24806477298389085,0.24949753211540002,0.2616442674373327,0.22275324016357137,0.2649352538975348,0.22064974478307042,0.2682645314265327,0.27914545405769314,0.2513735495742351,0.26827087631624413,0.2684904641058737,0.269031951345601,0.2686301015985787,0.24352706375142125,0.24061460340377766,0.24038237754455793,0.2313648530112538,0.3234776958287036,0.24362597676288966,0.23945281443065541,0.2341874986749707,0.2491945748827078,0.23856314849642352,0.23211296736075077,0.2416975760943304,0.24502374700054222,0.2593808666977673,0.22085315589082877,0.22821260632532978,0.22353670948062423,0.23261682306991727,0.20573347452164953,0.23084904492043923,0.015778180086361136,0.1650653425882357,0.17521777991532606,0.2190224171783101,0.21835518088266787,0.2295848340706641,0.23661403605436124,0.22388879371669135,0.22337415393818172,0.22446503989136357,0.22484613708256385,0.22471341725941285,0.2237425931101449,0.22376354821040448,0.23219151229005003,0.25575388082670486,0.2511693761886554,0.252859524101356,0.24959965647136567,0.24938926296649658,0.25305151198257003,0.24779793992282478,0.25049986480855113,0.24963584020970753,0.2494226648695868,0.2524435001554265,0.2496581495802912,0.25093642977113445,0.2488382475705785,0.25003315310836255,0.2628408838723514,0.2646531001735316,0.21949823674205016,0.26918881845675324,0.26796462731924886,0.2685809215553656,0.2688468393032274,0.2683279319707992,0.24347419020421673,0.24090096071089856,0.23951926440140842,0.24381447126265643,0.23950945119964448,0.23491507777620296,0.24874919724439845,0.23861811217293485,0.23169275375933987,0.24058461600607178,0.24542055656184608,0.25921010460641647
