,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0036344719119369984,0.00394199974834919,0.0053322892636060715,0.012204385362565517,0.01116857398301363,0.015223323367536068,0.010140000842511654,0.014397299848496914,0.01614343374967575,0.013206151314079762,0.01302841305732727,0.01434237975627184,0.013898205012083054,0.016380514949560165,0.016603318974375725,0.007694283500313759,0.007024366408586502,0.009170012548565865,0.00830048881471157,0.005711476318538189,0.005745528731495142,0.005713928956538439,0.005698157474398613,0.0056903366930782795,0.005688163451850414,0.005676319357007742,0.011944024823606014,0.011257256381213665,0.013073422946035862,0.013705963268876076,0.012917039915919304,0.015200618654489517,0.012102889828383923,0.012184105813503265,0.012406447902321815,0.012035942636430264,0.01245196908712387,0.012044181115925312,0.012038035318255424,0.012442820705473423,0.01234352309256792,0.012278540059924126,0.01198134571313858,0.0121178412809968,0.012551097199320793,0.012566878460347652,0.012255662120878696,0.012572146952152252,0.012387107126414776,0.015021965838968754,0.013376404531300068,0.013352748937904835,0.015038525685667992,0.015040160156786442,0.015059034340083599,0.015043091028928757,0.013211697340011597,0.013132777065038681,0.013062032870948315,0.015439152717590332,0.01640540361404419,0.014183172024786472,0.012142528779804707,0.013483421877026558,0.012717034667730331,0.013931634835898876,0.013583706691861153,0.01373487152159214,0.013707537204027176,0.014706327579915524,,0.004516049288213253,0.00389019213616848,0.005383263807743788,0.015235114842653275,0.010125122033059597,0.016111118718981743,0.014361986890435219,0.016369076445698738,0.007643569260835648,0.006942008156329393,0.009225127287209034,0.00823173113167286,0.005746815353631973,0.005681127309799194,0.0056892274878919125,0.005806537810713053,0.005758165381848812,0.005577916279435158,0.005848687607795,0.011295226402580738,0.013690583407878876,0.015150221064686775,0.012162214145064354,0.012153392657637596,0.012394167482852936,0.012049947865307331,0.01243971474468708,0.012052121572196484,0.011963864788413048,0.012434163130819798,0.01241043396294117,0.012299608439207077,0.011961988173425198,0.012146630324423313,0.0125282509252429,0.012572795152664185,0.012574716471135616,0.012257273308932781,0.01504124142229557,0.0150202177464962,0.015051305294036865,0.01505570113658905,0.015036108903586864,0.013176082633435726,0.013148725032806396,0.013061950914561749,0.014192289672791958,0.012149958871304989,0.013518691062927246,0.01270125713199377,0.013909941539168358,0.01358848251402378,0.013720876537263393,0.01370969694107771,0.014703537337481976
lapgyn4_surgical_actions,0.003749244147911668,0.0,0.0024888438638299704,0.003226421307772398,0.013115637935698032,0.012075965292751789,0.015911925584077835,0.010340923443436623,0.015341225080192089,0.016600055620074272,0.013497157022356987,0.01328135933727026,0.014763155952095985,0.014306108467280865,0.016645317897200584,0.01689433492720127,0.008748233318328857,0.008164488710463047,0.009474880993366241,0.008335952647030354,0.0051574488170444965,0.0051765297539532185,0.005148374009877443,0.005149058997631073,0.005124877672642469,0.005131498444825411,0.005114324856549501,0.012688524089753628,0.010768339969217777,0.013728062622249126,0.014488255605101585,0.014180346392095089,0.015390447340905666,0.012210628017783165,0.012274639680981636,0.0124575886875391,0.01215131115168333,0.012504535727202892,0.012148157693445683,0.012148103676736355,0.012509068474173546,0.012395123951137066,0.012343396432697773,0.01207960955798626,0.012211868539452553,0.012575805187225342,0.0129112359136343,0.013247927650809288,0.012865511700510979,0.01343220379203558,0.015553543344140053,0.013292323797941208,0.013080349192023277,0.015568404458463192,0.015567110851407051,0.015582343563437462,0.015566411428153515,0.013193303719162941,0.013264160603284836,0.013217260129749775,0.01556217297911644,0.016848359256982803,0.013840025290846825,0.012186303734779358,0.013645144179463387,0.012265313416719437,0.013711308129131794,0.013295742683112621,0.013636979274451733,0.013941867277026176,0.015162522904574871,0.003793541807681322,,0.002316087484359741,0.0032489278819411993,0.015924621373414993,0.010332501493394375,0.01655953750014305,0.01478920504450798,0.016627881675958633,0.008736761286854744,0.008090210147202015,0.009517152793705463,0.00828761700540781,0.005192154552787542,0.00511969905346632,0.0050894469022750854,0.005244704894721508,0.005127951968461275,0.005021536257117987,0.005306063685566187,0.01076976116746664,0.014467230997979641,0.015341311693191528,0.012248273007571697,0.012239707633852959,0.01243495848029852,0.012148512527346611,0.012504911981523037,0.012158404104411602,0.012092147022485733,0.012494022957980633,0.012442413717508316,0.012367622926831245,0.012058434076607227,0.012220339849591255,0.01254691369831562,0.01289736945182085,0.012880442664027214,0.013301477767527103,0.015575280413031578,0.015546760521829128,0.015579289756715298,0.015584076754748821,0.015563994646072388,0.013166657648980618,0.013274739496409893,0.013214574195444584,0.01385432481765747,0.012192131951451302,0.01365046575665474,0.012253020890057087,0.013705157674849033,0.013318020850419998,0.01364316139370203,0.013948170468211174,0.015152974054217339
lapgyn4_instrument_count,0.003917450085282326,0.002327475231140852,0.0,0.002530941041186452,0.012007920071482658,0.011402497068047523,0.015264401212334633,0.010059718042612076,0.014708894304931164,0.015810593962669373,0.012600159272551537,0.012384723871946335,0.014213117770850658,0.013653661124408245,0.015623298473656178,0.015850795432925224,0.0082048075273633,0.007536324206739664,0.009325782768428326,0.008477900177240372,0.004578490275889635,0.004618457052856684,0.004570871125906706,0.004561602137982845,0.004553542006760836,0.0045628673397004604,0.004533687140792608,0.011869208887219429,0.01073183212429285,0.013480537571012974,0.013509148731827736,0.013115827925503254,0.014715287834405899,0.012043536640703678,0.012188668362796307,0.01239905133843422,0.011984040960669518,0.01245739497244358,0.011995124630630016,0.011996390298008919,0.012441939674317837,0.012297113426029682,0.012246272526681423,0.011900147423148155,0.01207176223397255,0.012525036931037903,0.012410125695168972,0.012435895390808582,0.012402093037962914,0.012689306400716305,0.014562221243977547,0.013052388094365597,0.012682519853115082,0.014576757326722145,0.014576958492398262,0.014595558866858482,0.014576517045497894,0.012601620517671108,0.012708527967333794,0.012672643177211285,0.01528404001146555,0.015886764973402023,0.013329869136214256,0.011787529103457928,0.013042289763689041,0.011976337991654873,0.013156128115952015,0.01280132308602333,0.013090256601572037,0.01341220736503601,0.014194834977388382,0.003929744474589825,0.003219597740098834,,0.0026616521645337343,0.01527310162782669,0.010054096579551697,0.01577574759721756,0.014229442924261093,0.015604516491293907,0.008187114261090755,0.0074430848471820354,0.009368211030960083,0.008434560149908066,0.004632888361811638,0.0045378729701042175,0.004550454672425985,0.0046694898046553135,0.004545331932604313,0.00442521832883358,0.004698885604739189,0.01075727865099907,0.013491666875779629,0.0146703589707613,0.012100910767912865,0.01215908583253622,0.012361979112029076,0.011988786980509758,0.012445000931620598,0.01201084814965725,0.01193044614046812,0.012429638765752316,0.012360897846519947,0.012270220555365086,0.011875668540596962,0.012096161022782326,0.012494993396103382,0.012411759234964848,0.012410969473421574,0.012562266550958157,0.01458180695772171,0.01455665286630392,0.014589975588023663,0.0145949712023139,0.014572872780263424,0.012578338384628296,0.012708600610494614,0.012671987526118755,0.013341890648007393,0.011786719784140587,0.013049867935478687,0.011961588636040688,0.013145160861313343,0.0128089040517807,0.01309182494878769,0.013414038345217705,0.014190762303769588
lapgyn4_anatomical_actions,0.005867037456482649,0.003392117563635111,0.002806867705658078,0.0,0.013754600659012794,0.013239591382443905,0.016742968931794167,0.011952195316553116,0.01634107530117035,0.017526669427752495,0.014345867559313774,0.01416373997926712,0.0159774012863636,0.01546083390712738,0.01728803478181362,0.017550496384501457,0.010614926926791668,0.009818008169531822,0.011297634802758694,0.010382127948105335,0.0064719305373728275,0.0065028248354792595,0.0064498912543058395,0.006459363736212254,0.006442638114094734,0.006452606525272131,0.006422094069421291,0.013563928194344044,0.012174186296761036,0.01534393522888422,0.01555254589766264,0.01463313028216362,0.016415013000369072,0.013959652744233608,0.01412355899810791,0.014307430014014244,0.013910540379583836,0.014370601624250412,0.013917145319283009,0.013932362198829651,0.014364254660904408,0.014187362976372242,0.014171957038342953,0.013824664987623692,0.013994465582072735,0.014416740275919437,0.014351271092891693,0.014101339504122734,0.014312848448753357,0.014343583025038242,0.01634174957871437,0.014498399570584297,0.014355064369738102,0.01636037603020668,0.016356568783521652,0.016372283920645714,0.01635700650513172,0.014251723885536194,0.014466685242950916,0.014441424049437046,0.017043253406882286,0.0175054632127285,0.014820211566984653,0.013800223357975483,0.014832756482064724,0.013335904106497765,0.014721289277076721,0.014326834119856358,0.014641226269304752,0.014919190667569637,0.015876460820436478,0.005894235800951719,0.004346540663391352,0.002742675831541419,,0.016756216064095497,0.011946029029786587,0.017500953748822212,0.015989134088158607,0.017266906797885895,0.010595942847430706,0.009749652817845345,0.011342322453856468,0.010348938405513763,0.0065454281866550446,0.006436248309910297,0.0064415535889565945,0.006521559786051512,0.006369718350470066,0.0063472529873251915,0.006577180698513985,0.01218417752534151,0.015540311112999916,0.016380267217755318,0.014002889394760132,0.014091352000832558,0.014269258826971054,0.013898579403758049,0.01436156127601862,0.01393713615834713,0.013877445831894875,0.014358111657202244,0.014230857603251934,0.014192412607371807,0.013801442459225655,0.013995140790939331,0.014382767491042614,0.014342090114951134,0.014322781935334206,0.014220151118934155,0.01635797880589962,0.016336921602487564,0.016374098137021065,0.0163703802973032,0.016352729871869087,0.014227349311113358,0.01446260791271925,0.01442919485270977,0.0148245207965374,0.01379311177879572,0.014830086380243301,0.013328636065125465,0.01472033467143774,0.014337471686303616,0.014652950689196587,0.014921372756361961,0.01586957275867462
sklin2_skin_lesions,0.010553351603448391,0.011083070188760757,0.010716384276747704,0.011799085885286331,0.0,0.010546806268393993,0.013037766329944134,0.010274588130414486,0.013616698794066906,0.013277837075293064,0.010272066108882427,0.010114489123225212,0.0120974350720644,0.01131403911858797,0.012315645813941956,0.012480565346777439,0.008454671129584312,0.00887646246701479,0.010161151178181171,0.010415127500891685,0.009953293018043041,0.009968554601073265,0.009987997822463512,0.009961430914700031,0.009967043064534664,0.009969701990485191,0.009964185766875744,0.005755412392318249,0.010520842857658863,0.010216901078820229,0.010851867496967316,0.008872718550264835,0.011615470051765442,0.011390040628612041,0.011647348292171955,0.011873075738549232,0.011337772943079472,0.011942658573389053,0.011344383470714092,0.011323950253427029,0.01194820273667574,0.011813653632998466,0.01165221817791462,0.01112019270658493,0.011603392660617828,0.012011569924652576,0.012308498844504356,0.005820412188768387,0.012355847284197807,0.006927672307938337,0.010737208649516106,0.012935962527990341,0.010704384185373783,0.010748861357569695,0.010752251371741295,0.010775165632367134,0.010771295987069607,0.010064712725579739,0.00985298864543438,0.009864001534879208,0.011869814246892929,0.012262708507478237,0.012929891236126423,0.011083496734499931,0.012045295909047127,0.012348756194114685,0.012459582649171352,0.012460668571293354,0.012144684791564941,0.010516149923205376,0.009993660263717175,0.010548559948801994,0.011121846735477448,0.010818545706570148,0.011827255599200726,0.013039720244705677,0.010250652208924294,0.013209240511059761,0.012110994197428226,0.012308907695114613,0.008470715023577213,0.008784555830061436,0.010163342580199242,0.010448840446770191,0.00993222277611494,0.009992178529500961,0.010020597837865353,0.00999895203858614,0.010044933296740055,0.00993079412728548,0.00990738719701767,0.010626147501170635,0.010861784219741821,0.011562484316527843,0.011482210829854012,0.011659741401672363,0.011821926571428776,0.011337117291986942,0.01188835222274065,0.011323200538754463,0.011240597814321518,0.011885079555213451,0.011883983388543129,0.011694510467350483,0.011080510914325714,0.011676083318889141,0.012003239244222641,0.012323257513344288,0.012354813516139984,0.006848182063549757,0.010763389989733696,0.01073568407446146,0.010760045610368252,0.010762780904769897,0.010759977623820305,0.010022138245403767,0.009881967678666115,0.009850476868450642,0.012940462678670883,0.011058681644499302,0.012065415270626545,0.012322526425123215,0.012444301508367062,0.012471351772546768,0.012103664688766003,0.010502775199711323,0.00996626727283001
identify_nbi_infframes,0.011975138448178768,0.012836097739636898,0.012459056451916695,0.013545239344239235,0.00989387184381485,0.0,0.0084616644307971,0.013068758882582188,0.009882397018373013,0.008936265483498573,0.00975778792053461,0.009521056897938251,0.011266984976828098,0.010145474225282669,0.009817102923989296,0.00987815111875534,0.010924565605819225,0.011181057430803776,0.012232812121510506,0.012978649698197842,0.011965008452534676,0.01201390940696001,0.012007440440356731,0.011961197480559349,0.012015746906399727,0.011966857127845287,0.012047508731484413,0.00927253719419241,0.011604281142354012,0.009681224822998047,0.008736814372241497,0.009832538664340973,0.011851578950881958,0.01176881417632103,0.011360776610672474,0.011227731592953205,0.011714616790413857,0.01119453925639391,0.011684965342283249,0.011635447852313519,0.011177645064890385,0.011465688236057758,0.011310787871479988,0.011715317144989967,0.011248736642301083,0.011196146719157696,0.012789498083293438,0.009116685017943382,0.013090300373733044,0.008062534965574741,0.01116250827908516,0.013970981352031231,0.012609751895070076,0.011150025762617588,0.011173160746693611,0.011161137372255325,0.011171364225447178,0.012569799087941647,0.012206349521875381,0.012171829119324684,0.00931492168456316,0.01191152073442936,0.01170760951936245,0.011704760603606701,0.011077274568378925,0.012691420502960682,0.010988281108438969,0.011187123134732246,0.011507166549563408,0.011337357573211193,0.01225170586258173,0.011935124173760414,0.012776699848473072,0.012523550540208817,0.013646484352648258,0.008445542305707932,0.012990191578865051,0.008961477316915989,0.011236709542572498,0.009795318357646465,0.010875561274588108,0.011036527343094349,0.012289504520595074,0.013078747317194939,0.011907489039003849,0.011969153769314289,0.0121002783998847,0.012116123922169209,0.012119960971176624,0.012015043757855892,0.011882680468261242,0.011738845147192478,0.008786100894212723,0.011818534694612026,0.011722314171493053,0.011433538049459457,0.011269288137555122,0.011812673881649971,0.011094092391431332,0.011595513671636581,0.011597623117268085,0.011225583031773567,0.011414341628551483,0.011332330293953419,0.011778448708355427,0.011368106119334698,0.011217029765248299,0.012864060699939728,0.013076333329081535,0.008068596944212914,0.011149835772812366,0.01117500476539135,0.011152629740536213,0.01114459428936243,0.011165192350745201,0.012582309544086456,0.012123622000217438,0.012172389775514603,0.011719182133674622,0.011684326454997063,0.011154974810779095,0.012656029313802719,0.010986397974193096,0.011157662607729435,0.011491998098790646,0.011357228271663189,0.012250758707523346
laryngeal_tissues,0.02208339050412178,0.02285958267748356,0.022406410425901413,0.023237625136971474,0.019320577383041382,0.016362275928258896,0.0,0.022172486409544945,0.01706240139901638,0.01002479624003172,0.016485974192619324,0.016952937468886375,0.014734846539795399,0.013489789329469204,0.011211048811674118,0.01132567785680294,0.021382054314017296,0.021596355363726616,0.021848540753126144,0.023106133565306664,0.02233605831861496,0.022373899817466736,0.022372692823410034,0.022327754646539688,0.02237997204065323,0.022334836423397064,0.022407233715057373,0.01852360926568508,0.021182995289564133,0.020122328773140907,0.014001577161252499,0.018170971423387527,0.019512906670570374,0.021771084517240524,0.021412178874015808,0.021178895607590675,0.02174040675163269,0.021135836839675903,0.021719882264733315,0.021692177280783653,0.021132469177246094,0.021413782611489296,0.02130625955760479,0.021771591156721115,0.021267566829919815,0.021086830645799637,0.02237894758582115,0.019336052238941193,0.022680120542645454,0.016430433839559555,0.019809113815426826,0.0236075296998024,0.020877251401543617,0.01979871094226837,0.019816437736153603,0.019794022664427757,0.01980920322239399,0.020756540820002556,0.020396828651428223,0.0203995481133461,0.018514906987547874,0.01977311447262764,0.020220769569277763,0.02141069620847702,0.02053144760429859,0.021268879994750023,0.020003724843263626,0.019745390862226486,0.02048129215836525,0.019826458767056465,0.021458351984620094,0.022059597074985504,0.023137196898460388,0.022461213171482086,0.02332036942243576,,0.022105196490883827,0.010134167037904263,0.014682765118777752,0.011193578131496906,0.02134193666279316,0.021522056311368942,0.021885348483920097,0.023218197748064995,0.022289294749498367,0.02236062102019787,0.02246236614882946,0.02245609648525715,0.022473793476819992,0.022362513467669487,0.022268427535891533,0.021320391446352005,0.013965516351163387,0.01950729824602604,0.021725239232182503,0.021484507247805595,0.021215660497546196,0.02180909551680088,0.021064236760139465,0.02164427377283573,0.021678602322936058,0.02118307165801525,0.02133961208164692,0.021324871107935905,0.02183322235941887,0.021372172981500626,0.021102873608469963,0.022462161257863045,0.022665809839963913,0.016489971429109573,0.01979668438434601,0.019820939749479294,0.019795358180999756,0.019770285114645958,0.019796868786215782,0.020770756527781487,0.020285524427890778,0.02042914368212223,0.020237524062395096,0.021400468423962593,0.020599069073796272,0.021250750869512558,0.02000419981777668,0.019770223647356033,0.020491264760494232,0.019837604835629463,0.021461712196469307
nerthus_bowel_cleansing_quality,0.009655470959842205,0.009560591541230679,0.0097130062058568,0.010801013559103012,0.012256043963134289,0.012799691408872604,0.01646968349814415,0.0,0.01593346707522869,0.015809249132871628,0.012696042656898499,0.012398877181112766,0.013881072402000427,0.013389749452471733,0.015399974770843983,0.015668082982301712,0.007129206787794828,0.00611823471263051,0.0038472411688417196,0.005629874300211668,0.00786802638322115,0.007833365350961685,0.007844086736440659,0.007872505113482475,0.007870026864111423,0.00785011425614357,0.007881924510002136,0.011824513785541058,0.008310213685035706,0.013013914227485657,0.014558977447450161,0.014646326191723347,0.013406761921942234,0.010659408755600452,0.010457368567585945,0.010655549354851246,0.010547803714871407,0.010630181059241295,0.010519105941057205,0.01047587487846613,0.010707173496484756,0.010753583163022995,0.010551140643656254,0.010455133393406868,0.01076064258813858,0.010764781385660172,0.01256895437836647,0.012449507601559162,0.012513402849435806,0.013382925651967525,0.014064189046621323,0.012364117428660393,0.011201757937669754,0.014068331569433212,0.014050059020519257,0.014077932573854923,0.014062872156500816,0.009721753187477589,0.009543970227241516,0.009445063769817352,0.014473178423941135,0.015472439117729664,0.012779402546584606,0.009630246087908745,0.010863494127988815,0.011710543185472488,0.011838490143418312,0.011619067750871181,0.011450041085481644,0.014316707849502563,0.013431464321911335,0.00969404261559248,0.00985056720674038,0.009692884981632233,0.010770313441753387,0.016480037942528725,,0.015717875212430954,0.013899671845138073,0.015406460501253605,0.007172953803092241,0.006261858157813549,0.0038541865069419146,0.0056239161640405655,0.00779334083199501,0.007881167344748974,0.007855735719203949,0.007887466810643673,0.007918807677924633,0.007864912040531635,0.007854257710278034,0.008287116885185242,0.014560024254024029,0.013363942503929138,0.010715778917074203,0.01047397032380104,0.010634158737957478,0.010622953064739704,0.010606687515974045,0.01050488743931055,0.010423284955322742,0.010659709572792053,0.010815137065947056,0.010597683489322662,0.010433480143547058,0.010764500126242638,0.010768624022603035,0.012528456747531891,0.01254292856901884,0.01328579243272543,0.014096626080572605,0.014044173993170261,0.014051971025764942,0.014086979441344738,0.014060541056096554,0.009715883061289787,0.00960701797157526,0.009439388290047646,0.01279910746961832,0.009573938325047493,0.010883101262152195,0.011692591942846775,0.011805811896920204,0.011654115281999111,0.011427256278693676,0.014341389760375023,0.013384132646024227
stanford_dogs_image_categorization,0.011111646890640259,0.011923093348741531,0.011510339565575123,0.012349364347755909,0.010275986976921558,0.010166815482079983,0.011709327809512615,0.012616593390703201,0.0,0.012585803866386414,0.007269657216966152,0.007498973980545998,0.00907732080668211,0.00952131673693657,0.012123002670705318,0.012426717206835747,0.011078309267759323,0.011332007125020027,0.012015690095722675,0.012326566502451897,0.01189328171312809,0.011931249871850014,0.01192488707602024,0.011893185786902905,0.011906133033335209,0.011905391700565815,0.011916191317141056,0.00990388635545969,0.012758787721395493,0.010155980475246906,0.010886226780712605,0.009866180829703808,0.011608327738940716,0.013433205895125866,0.013412677682936192,0.013447507284581661,0.013402462936937809,0.013456527143716812,0.013399330899119377,0.013376711867749691,0.013452336192131042,0.013502410613000393,0.01340575236827135,0.013392158783972263,0.013307930901646614,0.013509240932762623,0.013682234100997448,0.010241836309432983,0.013835450634360313,0.010460018180310726,0.011814706027507782,0.014297466725111008,0.012196436524391174,0.01181554701179266,0.011827531270682812,0.011844227090477943,0.01183348335325718,0.013040305115282536,0.012930735945701599,0.012914768420159817,0.011959106661379337,0.012831993401050568,0.013182570226490498,0.01250315923243761,0.01210062950849533,0.013545487076044083,0.012220459058880806,0.012693936936557293,0.0123801464214921,0.010093679651618004,0.012277446687221527,0.011024725623428822,0.012034259736537933,0.011598215438425541,0.012443996034562588,0.01168609969317913,0.012571594677865505,0.012544357217848301,0.009148715995252132,0.012114930897951126,0.011033829301595688,0.011271880008280277,0.012038072571158409,0.012340320274233818,0.011900076642632484,0.01191683579236269,0.011997426860034466,0.011951477266848087,0.011966501362621784,0.011883041821420193,0.011869031004607677,0.012833872810006142,0.010887054726481438,0.01158667728304863,0.013474236242473125,0.01341103482991457,0.013473750092089176,0.013446428813040257,0.013416253961622715,0.013382415287196636,0.01330944336950779,0.013453042134642601,0.013512139208614826,0.013415415771305561,0.013391907326877117,0.013346754014492035,0.013534383848309517,0.013717615976929665,0.01382527593523264,0.01043532695621252,0.011818613857030869,0.011830974370241165,0.011830881237983704,0.011840867809951305,0.01181477215141058,0.013042096048593521,0.012940110638737679,0.012898051179945469,0.013176893815398216,0.012472582049667835,0.012128693982958794,0.013515209779143333,0.012230473570525646,0.012712348252534866,0.012340737506747246,0.010098976083099842,0.012284722179174423
svhn,0.0397179089486599,0.04001769796013832,0.03959708660840988,0.03996816277503967,0.03934231400489807,0.038344647735357285,0.015051308088004589,0.03943999484181404,0.03709563612937927,0.0,0.03287555277347565,0.03368816152215004,0.010816492140293121,0.009274338372051716,0.014542484655976295,0.014183470979332924,0.03969590738415718,0.03975369781255722,0.03961052745580673,0.04021570459008217,0.039830245077610016,0.039853498339653015,0.03984084725379944,0.0398271307349205,0.039850421249866486,0.0398353710770607,0.03986108675599098,0.039067838340997696,0.03949102386832237,0.03950344771146774,0.029639704152941704,0.039193302392959595,0.03802204504609108,0.039865512400865555,0.03975828364491463,0.03969932720065117,0.03985263407230377,0.03968515619635582,0.0398419164121151,0.03984157368540764,0.03967742621898651,0.03975745663046837,0.03972601518034935,0.039860837161540985,0.039682887494564056,0.039674218744039536,0.04008377715945244,0.03938908502459526,0.04018022492527962,0.0388023667037487,0.039502713829278946,0.0406060591340065,0.035496070981025696,0.03949960321187973,0.03950168192386627,0.03949901834130287,0.03950280323624611,0.037753816694021225,0.03759836405515671,0.03765273094177246,0.03922180086374283,0.039411481469869614,0.03914666175842285,0.039581604301929474,0.039353322237730026,0.03934231400489807,0.039101023226976395,0.0385078601539135,0.03921741992235184,0.03923653066158295,0.04000340402126312,0.03969332203269005,0.0401301309466362,0.03962032124400139,0.03999803960323334,0.015262942761182785,0.039410900324583054,,0.010628268122673035,0.014517043717205524,0.039682283997535706,0.039723463356494904,0.039616215974092484,0.04026295989751816,0.039806511253118515,0.03984777256846428,0.039898235350847244,0.039866138249635696,0.03988322243094444,0.03982589393854141,0.039809420704841614,0.03955361619591713,0.02939728833734989,0.038002677261829376,0.039856359362602234,0.039779841899871826,0.03970273211598396,0.039884768426418304,0.03966178372502327,0.039833784103393555,0.03981167823076248,0.03969929367303848,0.03974391520023346,0.039735931903123856,0.03989052027463913,0.03971664234995842,0.03967972844839096,0.04011132940649986,0.04017333686351776,0.03880436718463898,0.039499759674072266,0.039509642869234085,0.039493270218372345,0.039489999413490295,0.039495546370744705,0.03776765614748001,0.037508465349674225,0.03768397867679596,0.039144113659858704,0.03957614675164223,0.03938578814268112,0.03932374343276024,0.03911140561103821,0.03858273848891258,0.03920675441622734,0.03922535479068756,0.040006592869758606
