,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.006684007588773966,0.006895274389535189,0.010855472646653652,0.023540465161204338,0.03206927701830864,0.07872477918863297,0.018290996551513672,0.023090258240699768,0.09343931078910828,0.01250743679702282,0.013531802222132683,0.04785889759659767,0.05252717062830925,0.05662695690989494,0.061847176402807236,0.013401470147073269,0.01258659828454256,0.014101551845669746,0.012960078194737434,0.010278171859681606,0.010418110527098179,0.010313399136066437,0.010297496803104877,0.010228872299194336,0.01021455880254507,0.010241947136819363,0.02940972149372101,0.0189887136220932,0.02312501333653927,0.03725225850939751,0.06101257726550102,0.039532873779535294,0.022479133680462837,0.022962315008044243,0.023702416568994522,0.022435806691646576,0.024029159918427467,0.02227231115102768,0.02235589362680912,0.0237748883664608,0.023178480565547943,0.02298159711062908,0.022496338933706284,0.022417588159441948,0.024207929149270058,0.03046301379799843,0.030521191656589508,0.030320845544338226,0.03909427300095558,0.04944562166929245,0.029722269624471664,0.02202160470187664,0.049535878002643585,0.04944498836994171,0.04966885596513748,0.04961157217621803,0.037186551839113235,0.03615682199597359,0.03617013245820999,0.0551164336502552,0.05910206586122513,0.03200651332736015,0.020727958530187607,0.0276663675904274,0.027628490701317787,0.027924351394176483,0.02590511366724968,0.028576133772730827,0.03783922642469406,0.043452609330415726,,0.007720286026597023,0.006815131288021803,0.011074552312493324,0.07799305021762848,0.01820262521505356,0.09272783249616623,0.04859793186187744,0.0568755641579628,0.013332542032003403,0.012387344613671303,0.014208631590008736,0.012854230590164661,0.010305346921086311,0.01024834904819727,0.010318641550838947,0.0105667132884264,0.01045507937669754,0.010096908546984196,0.010590708814561367,0.01905144192278385,0.037450242787599564,0.039086539298295975,0.02280292473733425,0.02280072309076786,0.023500118404626846,0.022456476464867592,0.024060091003775597,0.02229655720293522,0.022251341491937637,0.02378980815410614,0.02335396595299244,0.02335173636674881,0.02237827703356743,0.022372877225279808,0.02408575266599655,0.030486878007650375,0.030513696372509003,0.038307830691337585,0.0495603121817112,0.04951560124754906,0.04923349618911743,0.049724094569683075,0.04969538748264313,0.03737408295273781,0.03625836223363876,0.03653040528297424,0.03227978199720383,0.020640779286623,0.02758190967142582,0.027547024190425873,0.027870826423168182,0.025970933958888054,0.02840440161526203,0.03783169016242027,0.04319683462381363
lapgyn4_surgical_actions,0.0067915525287389755,0.0,0.0043192976154387,0.0064863585866987705,0.02406848780810833,0.03386060893535614,0.08036448806524277,0.017628803849220276,0.02501762844622135,0.09415585547685623,0.013054030016064644,0.013776667416095734,0.04811004549264908,0.0528855063021183,0.05704895406961441,0.062119726091623306,0.01600807160139084,0.014149638824164867,0.014956243336200714,0.01267220824956894,0.009164774790406227,0.009265509434044361,0.00918053649365902,0.00921261589974165,0.009126954711973667,0.009102595038712025,0.009121130220592022,0.029282690957188606,0.01813959889113903,0.02386128157377243,0.03809492662549019,0.06261472404003143,0.0393415205180645,0.022051827982068062,0.022611266002058983,0.02337983436882496,0.021947447210550308,0.0237599927932024,0.021840041503310204,0.02187134511768818,0.02354813739657402,0.02283012866973877,0.02262186072766781,0.021984796971082687,0.022329021245241165,0.02401682175695896,0.030401920899748802,0.031072717159986496,0.030184591189026833,0.04004617780447006,0.04909966140985489,0.029112782329320908,0.021808920428156853,0.04918425902724266,0.04909946769475937,0.049320656806230545,0.04926548898220062,0.035161640495061874,0.03437059000134468,0.03442366421222687,0.05534857511520386,0.05865169316530228,0.030945800244808197,0.019684338942170143,0.026574434712529182,0.026331545785069466,0.02681818976998329,0.02509952150285244,0.027474861592054367,0.03914185240864754,0.04315929114818573,0.006797822192311287,,0.003956434316933155,0.006586451083421707,0.07963072508573532,0.017548825591802597,0.09340830892324448,0.04884497448801994,0.05731004476547241,0.01603725738823414,0.01391435693949461,0.014964199624955654,0.012602150440216064,0.009203536435961723,0.009159991517663002,0.00911760050803423,0.009435747750103474,0.009239668026566505,0.008997220546007156,0.009492458775639534,0.01812833547592163,0.03828578069806099,0.038877636194229126,0.022411281242966652,0.02238648757338524,0.02311854250729084,0.021851593628525734,0.02387070469558239,0.0218927264213562,0.021866805851459503,0.02355949766933918,0.023023033514618874,0.02304031141102314,0.021793371066451073,0.022218309342861176,0.02386978268623352,0.030387168750166893,0.03039673902094364,0.03926084563136101,0.04920368641614914,0.049162931740283966,0.04888683184981346,0.04938356578350067,0.04935036972165108,0.035337258130311966,0.03446846082806587,0.034759871661663055,0.031226202845573425,0.01957356557250023,0.026446646079421043,0.026259006932377815,0.02678246796131134,0.025189964100718498,0.027321873232722282,0.039130669087171555,0.042908139526844025
lapgyn4_instrument_count,0.007352429907768965,0.0047353897243738174,0.0,0.00528762536123395,0.023590736091136932,0.03300702944397926,0.07918043434619904,0.018155116587877274,0.024230509996414185,0.09325914084911346,0.012212942354381084,0.012598755769431591,0.04766332358121872,0.052420180290937424,0.05637563765048981,0.06135162338614464,0.01622270792722702,0.01372434850782156,0.015907850116491318,0.013451756909489632,0.008020909503102303,0.00813580397516489,0.008028940297663212,0.008023111149668694,0.007993154227733612,0.00799523200839758,0.007968517020344734,0.029764926061034203,0.01808283105492592,0.02429262362420559,0.03775029256939888,0.06319182366132736,0.03977247700095177,0.022768056020140648,0.023378588259220123,0.024194132536649704,0.022739915177226067,0.024550747126340866,0.022583013400435448,0.022661037743091583,0.02429041638970375,0.023649031296372414,0.023363878950476646,0.022666648030281067,0.02293718419969082,0.024761786684393883,0.03047715127468109,0.03159991279244423,0.03027643822133541,0.0403793528676033,0.04770911857485771,0.03070158138871193,0.021751899272203445,0.047797054052352905,0.047713011503219604,0.04793127253651619,0.047883566468954086,0.033521562814712524,0.03300561383366585,0.033075109124183655,0.055624209344387054,0.057186998426914215,0.030027642846107483,0.018883785232901573,0.024717699736356735,0.02590750716626644,0.025011740624904633,0.023623958230018616,0.025822971016168594,0.03974316641688347,0.041724227368831635,0.007295816205441952,0.005517765413969755,,0.005636319052428007,0.07844763249158859,0.018090669065713882,0.09252553433179855,0.04839899390935898,0.05662965029478073,0.016229070723056793,0.013459257781505585,0.01591389812529087,0.013391051441431046,0.008108115755021572,0.007983074523508549,0.008075634948909283,0.0083042336627841,0.008037657476961613,0.007822315208613873,0.008229855448007584,0.018129907548427582,0.03795348107814789,0.03928894177079201,0.023136526346206665,0.023210400715470314,0.023948827758431435,0.022713666781783104,0.024567920714616776,0.022593388333916664,0.022579414770007133,0.024320857599377632,0.023864932358264923,0.02379353530704975,0.0225193090736866,0.02287517860531807,0.02463754266500473,0.030477937310934067,0.03049307130277157,0.039647288620471954,0.04782192409038544,0.047772862017154694,0.04750213399529457,0.04800530523061752,0.04797010496258736,0.03371454030275345,0.03311580792069435,0.03338878974318504,0.030293462797999382,0.01872199773788452,0.024576336145401,0.025845419615507126,0.024977877736091614,0.023704789578914642,0.02563101053237915,0.03972996771335602,0.0414937287569046
lapgyn4_anatomical_actions,0.009498951956629753,0.005879241041839123,0.004421555902808905,0.0,0.025594156235456467,0.0354604572057724,0.08126967400312424,0.019744083285331726,0.025812501087784767,0.09409213066101074,0.013649736531078815,0.014030850492417812,0.04794752597808838,0.052768342196941376,0.05739561468362808,0.062416110187768936,0.0189408790320158,0.01631883531808853,0.017681308090686798,0.014802694320678711,0.010454417206346989,0.01054678950458765,0.010444225743412971,0.01046124380081892,0.010424650274217129,0.01042666845023632,0.0104043148458004,0.031192215159535408,0.01881285011768341,0.025261083617806435,0.03964006528258324,0.06556326895952225,0.04057317599654198,0.023540562018752098,0.024129526689648628,0.024906208738684654,0.023513227701187134,0.025273026898503304,0.023364750668406487,0.023442095145583153,0.02501552179455757,0.02435498684644699,0.024101797491312027,0.02346145734190941,0.02368277870118618,0.025450468063354492,0.030984576791524887,0.033654481172561646,0.03076848015189171,0.042593903839588165,0.05013740062713623,0.031324438750743866,0.022929947823286057,0.05023052170872688,0.050144653767347336,0.050361018627882004,0.050314586609601974,0.03468558192253113,0.03422505035996437,0.03430981561541557,0.05593687295913696,0.059501711279153824,0.031151456758379936,0.019917111843824387,0.026099268347024918,0.026592493057250977,0.026335909962654114,0.024669986218214035,0.02714475803077221,0.04139649122953415,0.043905191123485565,0.009428930468857288,0.006590135395526886,0.0043152496218681335,,0.0805482491850853,0.0196943748742342,0.09332507103681564,0.04869183525443077,0.057654622942209244,0.018957557156682014,0.016075782477855682,0.017654219642281532,0.014758476987481117,0.010538268834352493,0.010432407259941101,0.010494973510503769,0.010723819956183434,0.010400079190731049,0.010298860259354115,0.010639584623277187,0.018812056630849838,0.0398247092962265,0.04009725898504257,0.023887410759925842,0.0239423681050539,0.024670420214533806,0.023471718654036522,0.02529815211892128,0.02337389439344406,0.023374609649181366,0.025034241378307343,0.02455158717930317,0.02452841028571129,0.023312482982873917,0.02359316684305668,0.02533421479165554,0.030973391607403755,0.030981404706835747,0.0418892540037632,0.05025017261505127,0.05020511522889137,0.04993104934692383,0.0504370853304863,0.050404325127601624,0.034866444766521454,0.03434843569993973,0.0346129834651947,0.03143731877207756,0.01975838467478752,0.025941455736756325,0.02653292380273342,0.026310408487915993,0.02477039396762848,0.026962220668792725,0.041374530643224716,0.04366907849907875
sklin2_skin_lesions,0.026004981249570847,0.02581646665930748,0.023754918947815895,0.02708529680967331,0.0,0.024926682934165,0.07062187045812607,0.024121327325701714,0.021429629996418953,0.09196919947862625,0.013822351582348347,0.011451410129666328,0.04893206059932709,0.053439997136592865,0.056118644773960114,0.0599096454679966,0.02165874093770981,0.01805301010608673,0.02374858595430851,0.019718114286661148,0.01821923442184925,0.018245983868837357,0.018239812925457954,0.01823657751083374,0.01824849471449852,0.01831720769405365,0.018194159492850304,0.011609824374318123,0.022291172295808792,0.021069392561912537,0.030259549617767334,0.037754449993371964,0.03609398007392883,0.02550610527396202,0.025951415300369263,0.0266609787940979,0.02565532922744751,0.026886828243732452,0.02531980350613594,0.0254285279661417,0.02660129964351654,0.026421381160616875,0.025838911533355713,0.02526913210749626,0.025165598839521408,0.027022982016205788,0.034206245094537735,0.013741722330451012,0.0340285450220108,0.020429370924830437,0.03478073701262474,0.03567909821867943,0.021544573828577995,0.035001326352357864,0.034800924360752106,0.034940775483846664,0.03497401997447014,0.03696976974606514,0.03561924025416374,0.035621970891952515,0.05251071974635124,0.04586033150553703,0.027861803770065308,0.01947803422808647,0.023678960278630257,0.02726634591817856,0.0236444603651762,0.021788721904158592,0.02283787541091442,0.03377704694867134,0.029181307181715965,0.025728771463036537,0.02725866623222828,0.024337876588106155,0.027047866955399513,0.06988140940666199,0.024000784382224083,0.09140302240848541,0.04966270923614502,0.05634106323122978,0.021776806563138962,0.017656465992331505,0.023749107494950294,0.019873682409524918,0.01813063770532608,0.018416229635477066,0.018611965700984,0.01818530261516571,0.018354348838329315,0.01825352944433689,0.017859099432826042,0.022673675790429115,0.03056296892464161,0.035707987844944,0.025882719084620476,0.02603827230632305,0.026446402072906494,0.02585422433912754,0.02661549486219883,0.02520929090678692,0.025170106440782547,0.026750806719064713,0.026618516072630882,0.0262580756098032,0.025295626372098923,0.02526385709643364,0.02700098417699337,0.034226302057504654,0.03421244025230408,0.020136699080467224,0.03488682210445404,0.03483501449227333,0.03476374223828316,0.03504566848278046,0.03499200567603111,0.03721168637275696,0.03566380962729454,0.035939328372478485,0.02797280251979828,0.019278081133961678,0.0237218476831913,0.0272675734013319,0.023541612550616264,0.021746812388300896,0.02262006513774395,0.033766672015190125,0.028995947912335396
identify_nbi_infframes,0.024124234914779663,0.02395220287144184,0.023042017593979836,0.026570552960038185,0.025288427248597145,0.0,0.06495621055364609,0.025383295491337776,0.0236876979470253,0.0896112248301506,0.016578685492277145,0.015350899659097195,0.04907367751002312,0.05346376821398735,0.053601305931806564,0.057191673666238785,0.022231537848711014,0.020049400627613068,0.024027716368436813,0.02017919532954693,0.019565200433135033,0.019662030041217804,0.019611133262515068,0.01956753246486187,0.019565586000680923,0.019627274945378304,0.019613465294241905,0.02759975753724575,0.02457462251186371,0.024059846997261047,0.036612723022699356,0.05659227445721626,0.043890804052352905,0.02761738747358322,0.027512069791555405,0.028166156262159348,0.027869997546076775,0.028230348601937294,0.027385801076889038,0.02754007838666439,0.0279909186065197,0.028236830607056618,0.027560215443372726,0.02753123827278614,0.026829706504940987,0.028405509889125824,0.035857606679201126,0.031049907207489014,0.03580426797270775,0.031006790697574615,0.050216346979141235,0.03941888362169266,0.025952080264687538,0.05019596591591835,0.05020775645971298,0.0503772534430027,0.05032450333237648,0.04303009808063507,0.04143631085753441,0.04144100472331047,0.051273249089717865,0.058466535061597824,0.032581571489572525,0.023225363343954086,0.029246853664517403,0.030000951141119003,0.029024401679635048,0.027064919471740723,0.029394250363111496,0.04092603921890259,0.04579107463359833,0.023882219567894936,0.024818288162350655,0.0233903918415308,0.026700040325522423,0.06417722254991531,0.025302542373538017,0.08925367891788483,0.049789927899837494,0.053771793842315674,0.022138498723506927,0.019694475457072258,0.02409103512763977,0.020192835479974747,0.019509298726916313,0.01966083236038685,0.019941210746765137,0.019764363765716553,0.01976984739303589,0.019629571586847305,0.019431758671998978,0.02483329549431801,0.036985885351896286,0.04339224472641945,0.02781713381409645,0.027625270187854767,0.028083864599466324,0.028214342892169952,0.027837403118610382,0.027161911129951477,0.027152590453624725,0.028146618977189064,0.02839186042547226,0.027889760211110115,0.027651915326714516,0.0269694272428751,0.028461894020438194,0.03586697578430176,0.03595356270670891,0.030615292489528656,0.05030979588627815,0.0502593107521534,0.04992518946528435,0.05041422322392464,0.050435129553079605,0.043216440826654434,0.04144083708524704,0.04178057983517647,0.03281126916408539,0.023135574534535408,0.029329875484108925,0.02991020865738392,0.02894885279238224,0.02693532593548298,0.02921229973435402,0.04089806601405144,0.04551996663212776
laryngeal_tissues,0.0320109985768795,0.030769236385822296,0.030097970739006996,0.032813265919685364,0.030252357944846153,0.020989414304494858,0.0,0.03231228142976761,0.027279376983642578,0.03495747223496437,0.021150415763258934,0.021991346031427383,0.020009255036711693,0.020391367375850677,0.037839148193597794,0.03865060955286026,0.03258635476231575,0.02932153269648552,0.03145256265997887,0.026648148894309998,0.028082622215151787,0.028201749548316002,0.028127875179052353,0.02813718654215336,0.028082914650440216,0.028138259425759315,0.02810337021946907,0.02947782166302204,0.029964163899421692,0.029052330181002617,0.04286014661192894,0.054973945021629333,0.05032430589199066,0.034241531044244766,0.03437226638197899,0.03489821404218674,0.03441637381911278,0.03513840585947037,0.034063346683979034,0.03413940966129303,0.034842051565647125,0.034879282116889954,0.03435876592993736,0.03423528000712395,0.03346387296915054,0.03529825434088707,0.04207037389278412,0.03488186374306679,0.04193460941314697,0.03136897832155228,0.057729341089725494,0.04559151455760002,0.03214609995484352,0.05775928497314453,0.057669397443532944,0.05783117935061455,0.057796888053417206,0.04687165096402168,0.04500768706202507,0.04502120986580849,0.05456479266285896,0.06505262106657028,0.03694577515125275,0.030764838680624962,0.0384729765355587,0.0371745266020298,0.03765008598566055,0.0347059965133667,0.03536815941333771,0.0494256429374218,0.05254092440009117,0.031752921640872955,0.0338134728372097,0.030400659888982773,0.032708946615457535,,0.03225812688469887,0.035084035247564316,0.020316531881690025,0.037812668830156326,0.03261388838291168,0.02902688831090927,0.03154058754444122,0.026723962277173996,0.027964288368821144,0.028327831998467445,0.028403976932168007,0.028238506987690926,0.02826627530157566,0.028123730793595314,0.028015170246362686,0.03007105551660061,0.043064363300800323,0.04987995699048042,0.03447980433702469,0.03434450179338455,0.03478439152240753,0.03460840880870819,0.03482478857040405,0.03388204053044319,0.033897027373313904,0.03500780463218689,0.03502049297094345,0.03471486270427704,0.0342867374420166,0.033482905477285385,0.03536401316523552,0.042055703699588776,0.04203450307250023,0.031441207975149155,0.05787672847509384,0.05777483806014061,0.05743078514933586,0.057855263352394104,0.05796143412590027,0.046970244497060776,0.045039013028144836,0.04543260484933853,0.0369664691388607,0.030801795423030853,0.03850911930203438,0.037167441099882126,0.037481196224689484,0.03461778163909912,0.035435836762189865,0.0493469275534153,0.05225025489926338
nerthus_bowel_cleansing_quality,0.020817624405026436,0.01951909437775612,0.019237225875258446,0.022911041975021362,0.021925589069724083,0.0337953194975853,0.07668964564800262,0.0,0.027048185467720032,0.0923033133149147,0.01288979034870863,0.012492860667407513,0.047674790024757385,0.05221084505319595,0.05395187437534332,0.0585138201713562,0.011082290671765804,0.009658316150307655,0.00570642901584506,0.008795776404440403,0.01257412414997816,0.012567443773150444,0.012605796568095684,0.012674291618168354,0.012622999027371407,0.012623253278434277,0.012611685320734978,0.027690257877111435,0.013875163160264492,0.024779969826340675,0.03512317314743996,0.05823488160967827,0.03517572581768036,0.021530237048864365,0.021698767319321632,0.022196875885128975,0.021368209272623062,0.022448761388659477,0.021206175908446312,0.021174348890781403,0.022400785237550735,0.022016175091266632,0.021541021764278412,0.021146440878510475,0.02181427553296089,0.022660264745354652,0.029709065333008766,0.028051793575286865,0.029276927933096886,0.03723718225955963,0.040808454155921936,0.028809024021029472,0.018835900351405144,0.040781620889902115,0.04079752415418625,0.04102948680520058,0.04092538356781006,0.025620924308896065,0.02492622844874859,0.024851877242326736,0.055048540234565735,0.051275916397571564,0.027188261970877647,0.015958404168486595,0.020971912890672684,0.024052303284406662,0.0224574264138937,0.02058303914964199,0.022453665733337402,0.039619944989681244,0.03506014868617058,0.02069851942360401,0.022185316309332848,0.019400978460907936,0.022798778489232063,0.07595129311084747,,0.0915728434920311,0.04836142063140869,0.054225482046604156,0.011081025004386902,0.009971093386411667,0.005664188414812088,0.00871984101831913,0.012502518482506275,0.012802079319953918,0.012785579077899456,0.012616774998605251,0.01273703295737505,0.012666983529925346,0.012577095068991184,0.013963893055915833,0.03530552610754967,0.03476376831531525,0.021950818598270416,0.0216471329331398,0.02194560319185257,0.021254461258649826,0.02255648747086525,0.021257363259792328,0.0211984533816576,0.022511716932058334,0.022223511710762978,0.02199356071650982,0.020995929837226868,0.021737877279520035,0.02252444624900818,0.02965131588280201,0.029493046924471855,0.03636512905359268,0.040877122431993484,0.040775950998067856,0.040547799319028854,0.04108622670173645,0.040963973850011826,0.025796907022595406,0.024904845282435417,0.02510114014148712,0.027362274006009102,0.01578536629676819,0.02093598060309887,0.0240014735609293,0.02237761951982975,0.02056444063782692,0.022211825475096703,0.039567731320858,0.03481898829340935
stanford_dogs_image_categorization,0.03160393610596657,0.03116828016936779,0.030664125457406044,0.03364384546875954,0.03328491374850273,0.026771416887640953,0.0648745596408844,0.03214257210493088,0.0,0.08616169542074203,0.020014051347970963,0.021650681272149086,0.04529841989278793,0.050027307122945786,0.054288748651742935,0.060376863926649094,0.032506804913282394,0.029845522716641426,0.03094598278403282,0.026489397510886192,0.028646035119891167,0.028762485831975937,0.02870805561542511,0.028706232085824013,0.028660790994763374,0.02867366001009941,0.028652004897594452,0.037463974207639694,0.031350914388895035,0.027307594195008278,0.04217595234513283,0.07345765829086304,0.04991871118545532,0.033748701214790344,0.03363790363073349,0.03394196555018425,0.03388278931379318,0.0342109315097332,0.03358176723122597,0.03361882269382477,0.03382019326090813,0.03392662853002548,0.03357643261551857,0.03391329199075699,0.032367415726184845,0.0341467410326004,0.0401034951210022,0.03993966057896614,0.04015031456947327,0.04560753330588341,0.059966400265693665,0.04496453329920769,0.02973427250981331,0.060005564242601395,0.05991451069712639,0.06008295342326164,0.06000782549381256,0.046064216643571854,0.043459031730890274,0.04339968040585518,0.05393100157380104,0.06664416939020157,0.03924721106886864,0.030711038038134575,0.038524072617292404,0.03731507807970047,0.038546327501535416,0.03573272004723549,0.0380774661898613,0.04798481985926628,0.053484875708818436,0.031240416690707207,0.034222252666950226,0.030912447720766068,0.03355595842003822,0.0641554668545723,0.03210684657096863,0.08574289083480835,0.04600650817155838,0.05450369045138359,0.03244110941886902,0.029548564925789833,0.03102681413292885,0.026539398357272148,0.028497884050011635,0.028899040073156357,0.029010364785790443,0.028772076591849327,0.0289006307721138,0.028649773448705673,0.028635628521442413,0.0314146913588047,0.04231821000576019,0.04951993003487587,0.033918727189302444,0.033550940454006195,0.033883482217788696,0.03414986655116081,0.03385339304804802,0.03339951112866402,0.033358510583639145,0.03398570045828819,0.033978477120399475,0.03386742249131203,0.034009404480457306,0.032363031059503555,0.03424004092812538,0.040135208517313004,0.04026111587882042,0.04519238695502281,0.060100436210632324,0.05998043343424797,0.05969082936644554,0.06008462980389595,0.06015146151185036,0.0461428165435791,0.043515510857105255,0.043803490698337555,0.03941687196493149,0.030739929527044296,0.03851756453514099,0.03727444261312485,0.03840000182390213,0.03561526909470558,0.038014549762010574,0.047895655035972595,0.05317965894937515
svhn,0.03398996964097023,0.032263513654470444,0.03126784786581993,0.03459732234477997,0.030207939445972443,0.020229948684573174,0.03710339590907097,0.030655525624752045,0.029540590941905975,0.0,0.021821042522788048,0.019672870635986328,0.01512356661260128,0.01336906012147665,0.0365557037293911,0.036553483456373215,0.031837787479162216,0.02813790552318096,0.030642397701740265,0.025222783908247948,0.027013080194592476,0.027093466371297836,0.027049442753195763,0.027062181383371353,0.027049781754612923,0.027098458260297775,0.02704135701060295,0.03201644495129585,0.028828321024775505,0.028245562687516212,0.041890908032655716,0.06561578810214996,0.04730963706970215,0.032908279448747635,0.0332263819873333,0.03374181315302849,0.03313731402158737,0.034018442034721375,0.0328119695186615,0.032935287803411484,0.0335710309445858,0.033542387187480927,0.03309314697980881,0.03294866532087326,0.032013505697250366,0.033991046249866486,0.038588058203458786,0.036366235464811325,0.038507889956235886,0.03717374429106712,0.054993461817502975,0.0441867969930172,0.02900068834424019,0.0550495944917202,0.05497969314455986,0.055145397782325745,0.05509502813220024,0.04515218362212181,0.04315415769815445,0.04317078739404678,0.054849009960889816,0.06219746544957161,0.03166695684194565,0.027221139520406723,0.03267385810613632,0.03256683424115181,0.03164754807949066,0.028528112918138504,0.02976107783615589,0.04996909573674202,0.04965263977646828,0.03375599905848503,0.03403204679489136,0.03165386617183685,0.03452382609248161,0.03738785535097122,0.030570274218916893,,0.014848031103610992,0.036664754152297974,0.03183549642562866,0.027793725952506065,0.030647385865449905,0.02538222447037697,0.02687726356089115,0.0272244643419981,0.027394823729991913,0.02715020813047886,0.02716953307390213,0.027095166966319084,0.026795698329806328,0.029107611626386642,0.042199376970529556,0.04687010124325752,0.03317928686738014,0.033214323222637177,0.033582184463739395,0.033335164189338684,0.033634211868047714,0.03260713070631027,0.03265396133065224,0.033767905086278915,0.033662568777799606,0.03347454220056534,0.03302733600139618,0.03204897418618202,0.03405310958623886,0.038623880594968796,0.038588181138038635,0.03698057308793068,0.05511355400085449,0.055053386837244034,0.05473106727004051,0.05516437068581581,0.05523582175374031,0.04526549205183983,0.04321137070655823,0.04350880905985832,0.03168753534555435,0.02720474824309349,0.03269420191645622,0.032546963542699814,0.03146977350115776,0.028375713154673576,0.029808033257722855,0.04987211525440216,0.04939430579543114
