,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.04037260636687279,0.040327105671167374,0.04061417654156685,0.04160868376493454,0.04324446991086006,0.04433389753103256,0.04162006825208664,0.041359592229127884,0.043868955224752426,0.041218362748622894,0.04114234820008278,0.04161256551742554,0.04158921167254448,0.0450565442442894,0.04502264782786369,0.04088323563337326,0.04077857360243797,0.0412185937166214,0.04092312604188919,0.040668826550245285,0.04068392142653465,0.04060690104961395,0.04063033685088158,0.04066421836614609,0.04065616428852081,0.04061179608106613,0.04159492999315262,0.04153384640812874,0.041709184646606445,0.04315820336341858,0.04214825853705406,0.0432361364364624,0.041790373623371124,0.04166704788804054,0.0419129878282547,0.04177004471421242,0.04182842746376991,0.04175388813018799,0.04171329736709595,0.041861239820718765,0.04188726842403412,0.04176986217498779,0.04175090044736862,0.04186088219285011,0.042091965675354004,0.04251198470592499,0.04185417294502258,0.042444612830877304,0.04234539344906807,0.0441211499273777,0.04263809695839882,0.04191794991493225,0.04356057569384575,0.04374133422970772,0.044164083898067474,0.0440097451210022,0.042073361575603485,0.04197610914707184,0.04222434014081955,0.04333372041583061,0.04630608856678009,0.042131341993808746,0.04173925518989563,0.04193686693906784,0.04215856269001961,0.04182421788573265,0.041883744299411774,0.04206472635269165,0.04231826961040497,0.04335378482937813,,0.040439292788505554,0.040480758994817734,0.040806449949741364,0.04413603991270065,0.041443321853876114,0.04347692430019379,0.04164804518222809,0.04547139257192612,0.04084085673093796,0.04074407368898392,0.041289106011390686,0.04112260788679123,0.040675800293684006,0.040620218962430954,0.04071638733148575,0.04074208810925484,0.040661510080099106,0.0407075397670269,0.0407203733921051,0.04167160391807556,0.04289942607283592,0.04309137910604477,0.04183961823582649,0.04178840294480324,0.04190858080983162,0.04174579679965973,0.04194820299744606,0.04183031618595123,0.04177377372980118,0.041832368820905685,0.042027078568935394,0.04206357151269913,0.0417700856924057,0.04175958037376404,0.04198543727397919,0.042716898024082184,0.04255199432373047,0.042214926332235336,0.04419086501002312,0.04414454847574234,0.04425593093037605,0.043954361230134964,0.04430641233921051,0.04209114611148834,0.042100150138139725,0.04206747189164162,0.04220369830727577,0.041715238243341446,0.041887786239385605,0.042249761521816254,0.04178363457322121,0.04191232845187187,0.04202668368816376,0.04234602674841881,0.043206069618463516
lapgyn4_surgical_actions,0.04037260636687279,0.0,0.04000265896320343,0.04011038690805435,0.04154106229543686,0.04326088726520538,0.044245097786188126,0.04147491231560707,0.04117203131318092,0.04368709772825241,0.04100343585014343,0.04091328755021095,0.04137783497571945,0.04136219248175621,0.0448606014251709,0.04482824727892876,0.0409882515668869,0.04076923802495003,0.04106612876057625,0.040736228227615356,0.040347788482904434,0.04036584869027138,0.0402664989233017,0.040316592901945114,0.04038504511117935,0.04030418395996094,0.04027340188622475,0.04147874563932419,0.0412193164229393,0.041579101234674454,0.043118029832839966,0.04217744618654251,0.0430404469370842,0.04156935587525368,0.041444141417741776,0.0416715145111084,0.04154949262738228,0.04160141572356224,0.04152563214302063,0.04151083901524544,0.04164653643965721,0.041653845459222794,0.04154553636908531,0.04153081402182579,0.041657060384750366,0.04186456650495529,0.04232431575655937,0.04179927334189415,0.04224201291799545,0.04235900565981865,0.04397333785891533,0.04243537411093712,0.04163772240281105,0.04341215267777443,0.043604955077171326,0.04400528222322464,0.04386105388402939,0.041809841990470886,0.041758641600608826,0.041980594396591187,0.043107181787490845,0.046106576919555664,0.04181908071041107,0.04146672785282135,0.04169057682156563,0.04183382913470268,0.041552066802978516,0.041620053350925446,0.041781891137361526,0.042202696204185486,0.04317697137594223,0.04018452763557434,,0.04006294533610344,0.040192749351263046,0.044061679393053055,0.04127442091703415,0.04330035671591759,0.04141335189342499,0.04529485106468201,0.04095764830708504,0.040821582078933716,0.041145872324705124,0.04090557619929314,0.04034223407506943,0.04030614346265793,0.04038350284099579,0.0403791107237339,0.0403829887509346,0.040321167558431625,0.040397949516773224,0.04135832563042641,0.042838193476200104,0.04287990182638168,0.04162277653813362,0.04155334457755089,0.04165808483958244,0.0415365993976593,0.04171618074178696,0.04162602499127388,0.04159541055560112,0.041584331542253494,0.041817694902420044,0.04183453693985939,0.04157676920294762,0.04154239222407341,0.04176471382379532,0.04255472123622894,0.042359087616205215,0.04226916283369064,0.044047147035598755,0.04398314282298088,0.044096771627664566,0.04381683096289635,0.04417562857270241,0.04182502627372742,0.04187648370862007,0.04181208834052086,0.04189971089363098,0.04148782417178154,0.041666917502880096,0.041946131736040115,0.041488420218229294,0.04162730276584625,0.041745562106370926,0.04220380261540413,0.0430179201066494
lapgyn4_instrument_count,0.040327105671167374,0.04000265896320343,0.0,0.040049124509096146,0.04148634895682335,0.04322117194533348,0.0441972017288208,0.04147994890809059,0.04113033786416054,0.043643783777952194,0.040970008820295334,0.04088204726576805,0.04135872796177864,0.0413401797413826,0.044807855039834976,0.04477054625749588,0.04094500467181206,0.040743518620729446,0.04107494279742241,0.040814612060785294,0.04032156988978386,0.04031733423471451,0.04020662233233452,0.04025580361485481,0.040340982377529144,0.04023255035281181,0.04020939767360687,0.041468847543001175,0.04129539057612419,0.041600365191698074,0.04306293651461601,0.04210391268134117,0.043028995394706726,0.0415860190987587,0.04147195816040039,0.04170495271682739,0.04156938195228577,0.04163485765457153,0.04154379293322563,0.04153081402182579,0.04167359694838524,0.04168174788355827,0.04156921058893204,0.04154248163104057,0.04167678952217102,0.04189985245466232,0.04229465872049332,0.041784532368183136,0.04221329092979431,0.04234710708260536,0.04392283037304878,0.04242151230573654,0.04164232313632965,0.043363623321056366,0.04355451092123985,0.04396074637770653,0.04380788654088974,0.04179680719971657,0.04174472391605377,0.04198038950562477,0.04313649237155914,0.046059854328632355,0.04180627316236496,0.0414651557803154,0.04163951799273491,0.0418502613902092,0.04151390865445137,0.04158379137516022,0.0417541079223156,0.042207010090351105,0.04313376918435097,0.04017237573862076,0.04003800451755524,,0.04013586789369583,0.04401346668601036,0.041281137615442276,0.04325621947646141,0.04139699041843414,0.04523758590221405,0.04090626910328865,0.04077894613146782,0.041160568594932556,0.040985915809869766,0.04027581587433815,0.040268078446388245,0.04035332053899765,0.040335964411497116,0.04031290113925934,0.04028796777129173,0.04037449136376381,0.041437163949012756,0.04278844967484474,0.04287630692124367,0.04164910316467285,0.04158153384923935,0.04169951006770134,0.04155494272708893,0.041742317378520966,0.041643157601356506,0.04160557687282562,0.04161622375249863,0.04183828458189964,0.04185621067881584,0.04158157855272293,0.041559718549251556,0.04180079326033592,0.04251177981495857,0.042340539395809174,0.042252179235219955,0.04399651288986206,0.043935563415288925,0.04405263066291809,0.043768346309661865,0.04412065073847771,0.04181193560361862,0.04186747968196869,0.04181068763136864,0.041887108236551285,0.04146891459822655,0.04161364585161209,0.041954196989536285,0.041457291692495346,0.04160146787762642,0.04171561449766159,0.04220869019627571,0.04297883063554764
lapgyn4_anatomical_actions,0.04061417654156685,0.04011038690805435,0.040049124509096146,0.0,0.0417032353579998,0.04344195872545242,0.04438621550798416,0.041768964380025864,0.04130450263619423,0.04380020499229431,0.0411335788667202,0.041038382798433304,0.04151701182126999,0.041497599333524704,0.044967614114284515,0.04494014009833336,0.041273877024650574,0.04106290638446808,0.04137056693434715,0.04106990247964859,0.04057084769010544,0.040551669895648956,0.04040592536330223,0.04049868509173393,0.04058719426393509,0.0404738150537014,0.04045621678233147,0.04167058691382408,0.041446417570114136,0.041814401745796204,0.04329657554626465,0.04234176129102707,0.043225646018981934,0.04175615310668945,0.04164682328701019,0.04186373949050903,0.04174512252211571,0.041791174560785294,0.04171029478311539,0.04171653836965561,0.041838064789772034,0.04183543473482132,0.041733793914318085,0.04172280803322792,0.041843246668577194,0.042044565081596375,0.042478520423173904,0.04199708253145218,0.04239070788025856,0.042555052787065506,0.04412655532360077,0.04258028417825699,0.041841812431812286,0.04357406497001648,0.04376405104994774,0.044160760939121246,0.044017016887664795,0.04201950132846832,0.04197140410542488,0.04219980537891388,0.043307963758707047,0.04624246060848236,0.04194273799657822,0.04163528233766556,0.041800595819950104,0.041982173919677734,0.0416640006005764,0.04172086715698242,0.04190574213862419,0.04234185814857483,0.04333457350730896,0.040456514805555344,0.04014010354876518,0.040066275745630264,,0.04420870915055275,0.0415639653801918,0.0434209443628788,0.0415545217692852,0.045405033975839615,0.04123109579086304,0.04110393673181534,0.04144447669386864,0.0412454716861248,0.04049826040863991,0.040492553263902664,0.04058785364031792,0.04057804495096207,0.040566135197877884,0.040533263236284256,0.0406096912920475,0.04159894585609436,0.043010562658309937,0.04306971654295921,0.04181278124451637,0.04175032302737236,0.04185942932963371,0.041728030890226364,0.04189744219183922,0.04181642830371857,0.04180086404085159,0.041770871728658676,0.041999828070402145,0.04201333597302437,0.04176601395010948,0.04172549024224281,0.041951559484004974,0.04270419850945473,0.04252142086625099,0.04246378690004349,0.044205211102962494,0.044142041355371475,0.044259048998355865,0.04397716745734215,0.044331420212984085,0.0420353002846241,0.04209380969405174,0.042033396661281586,0.0420214906334877,0.04165862500667572,0.041782964020967484,0.042087726294994354,0.041597381234169006,0.04173674061894417,0.04187406972050667,0.042344480752944946,0.04318404570221901
sklin2_skin_lesions,0.04160868376493454,0.04154106229543686,0.04148634895682335,0.0417032353579998,0.0,0.043252259492874146,0.044015467166900635,0.041908763349056244,0.04128079488873482,0.04357537627220154,0.04111797735095024,0.041035715490579605,0.04148415848612785,0.041434790939092636,0.04476768523454666,0.044723041355609894,0.04113844782114029,0.04116707667708397,0.041638873517513275,0.04142950475215912,0.04139936342835426,0.041395969688892365,0.04132922738790512,0.04127159342169762,0.04137706011533737,0.04139332100749016,0.041325632482767105,0.04062556475400925,0.0417160764336586,0.041455499827861786,0.042868178337812424,0.041314538568258286,0.04295084625482559,0.041776470839977264,0.04166124016046524,0.04188686981797218,0.04176697880029678,0.041814256459474564,0.04175260663032532,0.04166865348815918,0.04191378504037857,0.04191593453288078,0.041772402822971344,0.04170406237244606,0.04193441569805145,0.04211004078388214,0.042604852467775345,0.040762171149253845,0.04253426566720009,0.04123973846435547,0.04348689690232277,0.04276656359434128,0.04180777072906494,0.042929381132125854,0.04305446520447731,0.043546002358198166,0.043367352336645126,0.04171532019972801,0.04163531959056854,0.04183965176343918,0.04294061288237572,0.045752398669719696,0.0420745424926281,0.04170756787061691,0.04185612127184868,0.04220437631011009,0.0417853444814682,0.04184095934033394,0.04196697846055031,0.04218219965696335,0.04264548793435097,0.0416254997253418,0.041514232754707336,0.04152334854006767,0.0417969673871994,0.043857138603925705,0.04168911650776863,0.04317755252122879,0.04152867570519447,0.04515840485692024,0.041252586990594864,0.04116746410727501,0.04165913164615631,0.04160453751683235,0.04128027334809303,0.041355233639478683,0.04143737629055977,0.041474100202322006,0.04135623574256897,0.04141779616475105,0.041423749178647995,0.04186248406767845,0.042647585272789,0.04282490909099579,0.04184446483850479,0.04181276261806488,0.04196028783917427,0.0417439267039299,0.04193665832281113,0.041842859238386154,0.04173339903354645,0.04182765260338783,0.042030759155750275,0.04205514118075371,0.04173268377780914,0.04178628325462341,0.041966650635004044,0.042825836688280106,0.042670201510190964,0.041272882372140884,0.0435754731297493,0.04350774362683296,0.043652404099702835,0.04333997517824173,0.04366389662027359,0.04173683002591133,0.04168553277850151,0.04165888577699661,0.04212537035346031,0.04166392236948013,0.04182811081409454,0.04228460416197777,0.041737671941518784,0.04187920317053795,0.04188508540391922,0.04218494892120361,0.04247412458062172
identify_nbi_infframes,0.04324446991086006,0.04326088726520538,0.04322117194533348,0.04344195872545242,0.043252259492874146,0.0,0.044721852988004684,0.04377635940909386,0.042894165962934494,0.04462532699108124,0.04275425523519516,0.04268943890929222,0.0430845282971859,0.04303905367851257,0.04598386213183403,0.04588397592306137,0.043112076818943024,0.04311060532927513,0.04349663481116295,0.04322157800197601,0.043243732303380966,0.04323573037981987,0.04305461049079895,0.043044187128543854,0.04318118467926979,0.043222762644290924,0.04320139065384865,0.04302533343434334,0.043392058461904526,0.043194133788347244,0.044154517352581024,0.04362274706363678,0.044708214700222015,0.04357863962650299,0.04345497861504555,0.043623559176921844,0.04357783868908882,0.043533969670534134,0.04353572800755501,0.043469175696372986,0.043637439608573914,0.04365669935941696,0.043483566492795944,0.04357225075364113,0.04365922883152962,0.04377753660082817,0.04430800676345825,0.04330224543809891,0.04421072453260422,0.043510809540748596,0.04552016034722328,0.04459808021783829,0.04366515576839447,0.044959332793951035,0.045149799436330795,0.0455765500664711,0.04540582001209259,0.043912384659051895,0.043820831924676895,0.04404732212424278,0.0442977100610733,0.04763220250606537,0.04373255372047424,0.04351459816098213,0.043514590710401535,0.04397313669323921,0.04339003935456276,0.0434233620762825,0.04366456717252731,0.043970126658678055,0.04486354812979698,0.04335970804095268,0.04320390895009041,0.04325326904654503,0.04354733228683472,0.04455414414405823,0.04359375312924385,0.0442839115858078,0.04315180703997612,0.046315085142850876,0.04315486550331116,0.04307551681995392,0.04351460933685303,0.04341519996523857,0.042981017380952835,0.04318137466907501,0.04325799643993378,0.04331797733902931,0.043195754289627075,0.04325506463646889,0.0431855209171772,0.04343901947140694,0.043981216847896576,0.044610876590013504,0.043621551245450974,0.043551985174417496,0.04369989037513733,0.043568097054958344,0.04363634064793587,0.04360469803214073,0.04350549727678299,0.04358433187007904,0.0437169224023819,0.04377705603837967,0.04356352612376213,0.04349660500884056,0.04365495592355728,0.044481005519628525,0.044395811855793,0.04345108941197395,0.04558796435594559,0.045572344213724136,0.045622967183589935,0.04533785581588745,0.04574466869235039,0.043903179466724396,0.043921396136283875,0.04390021786093712,0.04378589987754822,0.04337599501013756,0.04346355423331261,0.04401135817170143,0.04339282587170601,0.04349222406744957,0.04357406869530678,0.0439520888030529,0.04478447884321213
laryngeal_tissues,0.04433389753103256,0.044245097786188126,0.0441972017288208,0.04438621550798416,0.044015467166900635,0.044721852988004684,0.0,0.04466966912150383,0.043398208916187286,0.04343264549970627,0.04319101199507713,0.04317774996161461,0.04299634322524071,0.0429147407412529,0.04587329924106598,0.045792557299137115,0.04419540986418724,0.04412258043885231,0.044437188655138016,0.04419347271323204,0.044301703572273254,0.04427727684378624,0.04412641376256943,0.044118255376815796,0.044252555817365646,0.04428163543343544,0.04423229768872261,0.04371684044599533,0.0443093441426754,0.0440969318151474,0.04478462412953377,0.04430926591157913,0.045454204082489014,0.04453466087579727,0.04442991316318512,0.044577423483133316,0.044545404613018036,0.04450363665819168,0.04448037967085838,0.044453274458646774,0.04461250454187393,0.04459492862224579,0.04445609450340271,0.044517211616039276,0.04461945220828056,0.04473559930920601,0.04518681392073631,0.04418352246284485,0.04507263004779816,0.04403785243630409,0.04632609710097313,0.04549998790025711,0.04443834722042084,0.04580846056342125,0.04598110541701317,0.04638151079416275,0.04622273147106171,0.0445709228515625,0.04449152573943138,0.04470492899417877,0.045158207416534424,0.048416752368211746,0.04449514299631119,0.04438624903559685,0.04439980909228325,0.04475609213113785,0.04420999810099602,0.04427969083189964,0.04444090649485588,0.044764261692762375,0.045670703053474426,0.04442676156759262,0.04426352307200432,0.04423903301358223,0.04445146769285202,,0.04448692500591278,0.04321950301527977,0.043066322803497314,0.04618211090564728,0.04426441714167595,0.04416370764374733,0.044417474418878555,0.04440877586603165,0.04400074481964111,0.04423723369836807,0.044306885451078415,0.044344305992126465,0.04423857480287552,0.044299546629190445,0.04426906257867813,0.044369809329509735,0.044606711715459824,0.045348625630140305,0.04458793252706528,0.04450761526823044,0.04464111104607582,0.04452789947390556,0.04457683488726616,0.04457768425345421,0.044513579457998276,0.044510480016469955,0.04469158127903938,0.04472716525197029,0.04454900696873665,0.04444750025868416,0.04463230445981026,0.04537090286612511,0.04525776207447052,0.04406633600592613,0.046412065625190735,0.046368975192308426,0.04646168276667595,0.046168018132448196,0.04656515270471573,0.04457053169608116,0.04456869885325432,0.0445575974881649,0.04453457146883011,0.044300615787506104,0.04436658322811127,0.04480766877532005,0.04421103373169899,0.044259652495384216,0.04436889663338661,0.044728949666023254,0.045602571219205856
nerthus_bowel_cleansing_quality,0.04162006825208664,0.04147491231560707,0.04147994890809059,0.041768964380025864,0.041908763349056244,0.04377635940909386,0.04466966912150383,0.0,0.04167064279317856,0.04402550682425499,0.041429303586483,0.04136146605014801,0.041808076202869415,0.041768766939640045,0.045162878930568695,0.04513423517346382,0.04099069908261299,0.04063085839152336,0.04020654037594795,0.04075159877538681,0.04118998721241951,0.04128319025039673,0.04119633510708809,0.041128963232040405,0.04121292755007744,0.04125416278839111,0.041227903217077255,0.04185725003480911,0.04124539718031883,0.04203535616397858,0.04349399730563164,0.042609527707099915,0.04320065677165985,0.041940342634916306,0.04174567013978958,0.04198959469795227,0.04192053899168968,0.04192319139838219,0.041897255927324295,0.04179365560412407,0.04197223111987114,0.04205766320228577,0.04186654090881348,0.04189348220825195,0.042036186903715134,0.042196039110422134,0.042758140712976456,0.04210200160741806,0.04267532378435135,0.042715344578027725,0.04409113526344299,0.04288176819682121,0.04180951789021492,0.04352526739239693,0.04372992739081383,0.044155944138765335,0.04398293420672417,0.041669584810733795,0.04153527691960335,0.04175768047571182,0.043518710881471634,0.04624802991747856,0.042122360318899155,0.041629642248153687,0.04180552437901497,0.042224906384944916,0.04180692508816719,0.04184269905090332,0.04200553521513939,0.04281896352767944,0.04326443374156952,0.041588522493839264,0.04155848175287247,0.041615117341279984,0.041871149092912674,0.04450760409235954,,0.04358188807964325,0.04182323068380356,0.04557929188013077,0.04106028750538826,0.04084460437297821,0.0402153804898262,0.040669720619916916,0.041203271597623825,0.04116034507751465,0.0412084199488163,0.041237760335206985,0.04122983291745186,0.04124656319618225,0.04120922461152077,0.041316498070955276,0.04321230947971344,0.04303007572889328,0.04198692739009857,0.04188757762312889,0.04203059524297714,0.041895270347595215,0.04206572845578194,0.041967377066612244,0.04189889505505562,0.041946060955524445,0.04215040057897568,0.04220321401953697,0.041929781436920166,0.041850440204143524,0.04209725558757782,0.04300625994801521,0.04280710220336914,0.042629241943359375,0.044152386486530304,0.04408278688788414,0.04417409375309944,0.04392489045858383,0.0443095862865448,0.04167705029249191,0.04166095331311226,0.04159562289714813,0.04223865270614624,0.04156897962093353,0.041799210011959076,0.042277488857507706,0.041774358600378036,0.04187264293432236,0.041932083666324615,0.04280974343419075,0.043098874390125275
stanford_dogs_image_categorization,0.041359592229127884,0.04117203131318092,0.04113033786416054,0.04130450263619423,0.04128079488873482,0.042894165962934494,0.043398208916187286,0.04167064279317856,0.0,0.04284786805510521,0.040294066071510315,0.04020659625530243,0.04059312120079994,0.04065437614917755,0.04408920183777809,0.04405519738793373,0.04125326871871948,0.04112338274717331,0.0414317362010479,0.04111400619149208,0.04123074188828468,0.041233908385038376,0.041104547679424286,0.0410773903131485,0.041199494153261185,0.041218727827072144,0.041151776909828186,0.04120006039738655,0.04138495773077011,0.041215088218450546,0.04253235086798668,0.04178003966808319,0.04253638535737991,0.04151488095521927,0.04140308499336243,0.041574057191610336,0.04152519255876541,0.04153003543615341,0.04146229848265648,0.0414421483874321,0.04158817231655121,0.04155096784234047,0.04145710915327072,0.04147651791572571,0.041594039648771286,0.041760075837373734,0.042129162698984146,0.04152804613113403,0.04203013330698013,0.041956137865781784,0.04345037043094635,0.04236520454287529,0.041358377784490585,0.04292553663253784,0.0431167408823967,0.04351150244474411,0.043358273804187775,0.041643768548965454,0.041545357555150986,0.04176163673400879,0.04264717176556587,0.04551073908805847,0.0415022075176239,0.04133687540888786,0.04136720299720764,0.04171694815158844,0.04120064526796341,0.04130911827087402,0.04144803434610367,0.041854821145534515,0.04271358624100685,0.04136350378394127,0.04115995392203331,0.04122164100408554,0.04134025797247887,0.04326050728559494,0.0414908193051815,0.0424748994410038,0.040606461465358734,0.04449226334691048,0.04127730056643486,0.04120573401451111,0.0414213202893734,0.041335638612508774,0.04110545292496681,0.04117601364850998,0.04122867435216904,0.04126157611608505,0.04115181788802147,0.04123217239975929,0.04121997579932213,0.04150397703051567,0.042283542454242706,0.04241850972175598,0.041568730026483536,0.04147583618760109,0.04160425439476967,0.04149826988577843,0.04160437360405922,0.04154721274971962,0.041524261236190796,0.041486985981464386,0.04171381890773773,0.04173312336206436,0.04154660552740097,0.041433464735746384,0.04167678952217102,0.04234699159860611,0.0422014519572258,0.041884131729602814,0.043548334389925,0.04348927363753319,0.043600331991910934,0.04331442341208458,0.04367676377296448,0.04163611680269241,0.04164266958832741,0.041577134281396866,0.04155923053622246,0.04129775986075401,0.04133722186088562,0.04181460291147232,0.04115796461701393,0.04134225845336914,0.04137035459280014,0.041815221309661865,0.042621828615665436
svhn,0.043868955224752426,0.04368709772825241,0.043643783777952194,0.04380020499229431,0.04357537627220154,0.04462532699108124,0.04343264549970627,0.04402550682425499,0.04284786805510521,0.0,0.042642053216695786,0.04260169714689255,0.041854556649923325,0.041786473244428635,0.04448249191045761,0.044322460889816284,0.04364113509654999,0.04353383183479309,0.043796829879283905,0.04351522773504257,0.04365846887230873,0.04365033283829689,0.04350191354751587,0.043481796979904175,0.043609391897916794,0.04364746809005737,0.043597809970378876,0.04343276098370552,0.04367264360189438,0.04355394095182419,0.04434005171060562,0.044146083295345306,0.04483626410365105,0.04379982128739357,0.043693576008081436,0.0438418872654438,0.043811362236738205,0.04379415884613991,0.04374416917562485,0.04372240975499153,0.04387475922703743,0.043852850794792175,0.0437433086335659,0.043798357248306274,0.04388860613107681,0.044020555913448334,0.04443155229091644,0.04380178824067116,0.04432697966694832,0.04405475780367851,0.045753128826618195,0.04475610703229904,0.04366942495107651,0.04523274675011635,0.04541563242673874,0.04581066593527794,0.04566144198179245,0.04395410045981407,0.043853092938661575,0.044069014489650726,0.044731345027685165,0.047815896570682526,0.043666671961545944,0.043614067137241364,0.043590057641267776,0.043962106108665466,0.0434093251824379,0.043418437242507935,0.04362514615058899,0.04428409785032272,0.04506384953856468,0.04390542581677437,0.04365639388561249,0.043713852763175964,0.04385150969028473,0.04357524961233139,0.04382561892271042,,0.041940852999687195,0.044835735112428665,0.04368304833769798,0.04358406737446785,0.043782953172922134,0.043701883405447006,0.04343585669994354,0.043595846742391586,0.04365552216768265,0.04369117319583893,0.04360517859458923,0.04366978630423546,0.04363266006112099,0.04375290870666504,0.04408617317676544,0.04471924155950546,0.04385174438357353,0.043774597346782684,0.04390362277626991,0.04379013553261757,0.043853648006916046,0.04384775459766388,0.04379548132419586,0.043771494179964066,0.043958649039268494,0.04399624466896057,0.04382854327559471,0.04370962455868721,0.04392169415950775,0.04464258998632431,0.04451346769928932,0.04402165487408638,0.04583735018968582,0.045791104435920715,0.045880936086177826,0.04560102894902229,0.0459943525493145,0.04393961653113365,0.04394453018903732,0.04390380159020424,0.0437161810696125,0.043530356138944626,0.043574463576078415,0.04401262849569321,0.043408118188381195,0.043395865708589554,0.04356742650270462,0.044239163398742676,0.0449800081551075
