,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.00213530319077948,0.002449620269473004,0.004252353218942425,0.010487226554962596,0.013912537030459396,0.02624610342041943,0.009224466853583621,0.008295228456578707,0.022921913648524098,0.007481166518638574,0.006967819618035085,0.00986269601829758,0.009433097041774075,0.03160912775516838,0.031683469732849356,0.0054799363849608465,0.005051052915823589,0.00777485380965936,0.0061327819623050285,0.0038462743341106014,0.003910266246620887,0.003875433931308492,0.003866973150427951,0.0038429794592533947,0.0038611535750303115,0.00384281880202617,0.010257523970655881,0.00936123406078386,0.010354189399128902,0.0180687395348559,0.01328859526882689,0.01837621668691463,0.010710535301178057,0.010866552837194841,0.0114813175342418,0.01063679258574245,0.011627654158981914,0.01053577609920562,0.010498391082755862,0.0117527120112723,0.011376327371496749,0.011100763795753773,0.01045444376022226,0.010949795390088975,0.011958741496857293,0.015023899183126153,0.011657873949958823,0.015010708919221684,0.013096153280618817,0.023541833396550395,0.01595540495105671,0.011785388711781836,0.023625058929601563,0.023611619222751516,0.023649206339578257,0.023773807938221134,0.012859796288899376,0.012341718756265031,0.012411295672172213,0.019533769095594605,0.03745217539932836,0.01295904240845332,0.010459790171008065,0.011989400253545847,0.013206823195629786,0.011146003497749428,0.01146104770352317,0.012160253534386751,0.01505705399291458,0.018887982538789306,0.00023105816842930725,0.002683928549596424,0.00244059207257503,0.004349648160247747,0.0260930079265506,0.009235986128508991,0.022619070693613682,0.009985264876754291,0.03175848772595958,0.005464461329920024,0.005021070067583796,0.007816965478394841,0.0061184561421310756,0.003909394118321312,0.003907540842924771,0.003946723714257529,0.004009418080881112,0.003985405092478759,0.0038167810991156788,0.004006750320355872,0.009486390717915174,0.018062191702816772,0.01832034806246049,0.010929675978726957,0.010908110803691154,0.011464288597016382,0.010758273754261383,0.01161796052941536,0.010626854349352592,0.010452455064130412,0.011562635530485777,0.01154581609144255,0.011240660823394111,0.01041873742506737,0.010939560175050218,0.012024191522592521,0.015095064813267821,0.015067580214602415,0.013194241948108873,0.023619887985020446,0.02369169723720091,0.023690817326092843,0.023579259058721866,0.02374621520385545,0.01276186606830983,0.012444096997699687,0.01239796750561661,0.013087876636726153,0.010317812365187631,0.011979413859427235,0.013213226391080357,0.01115616003641902,0.0116032330105221,0.012096796875468357,0.015111767652750973,0.018583286327737533
lapgyn4_surgical_actions,0.00213530319077948,0.0,0.0008505586869717545,0.001432220993843402,0.010263322253488371,0.01386752748086541,0.0257602637888994,0.008647991592676455,0.007309372160006484,0.021985788356230582,0.006407581851448226,0.005789271023665577,0.008752266475848626,0.008412838137143394,0.030582284113982033,0.03067300533907735,0.005903131317948925,0.0055081423273458194,0.007543279811782409,0.0055505259230840456,0.002669531774091048,0.002715356821151433,0.002677317763651945,0.002681762116677822,0.002658257692193956,0.002678590362906191,0.002656533021153307,0.009786980933790188,0.00796614755118076,0.009870974465709963,0.017821738885413323,0.013258989892902896,0.017384649181176902,0.009809154216955704,0.009933701058248758,0.010507243575459508,0.009754560692279705,0.01065420886440326,0.00963223218191647,0.009605462859135152,0.010804902818086888,0.010417056459681455,0.01014928886624174,0.009564397857815177,0.010080017310720604,0.01096692632390589,0.014171912173336451,0.011324802486546692,0.014123486628026694,0.013094766391009163,0.022908275098600994,0.014837959254197492,0.010522643633052357,0.0229881815089356,0.02297120290378413,0.022999753703540248,0.02312947772335594,0.011742008227268477,0.011362537891329216,0.011465657122261282,0.0185701270916557,0.03652041125573984,0.011421150839087959,0.009324762209020765,0.010855271690105214,0.011711362761028587,0.00967286792033426,0.010067895284566586,0.01077761160511421,0.01430997800237022,0.01810821338403657,0.002188189471585795,0.0006854111883189253,0.000834850959278123,0.0014705830266693461,0.02560402926937775,0.00867150165846252,0.021676587037643764,0.008878153800821485,0.03073005971056392,0.005948824611219343,0.005454497687498194,0.007560629157076252,0.005569521994752885,0.0027256854380099615,0.0027261350618966846,0.002735823740466318,0.002806872092139234,0.0027190221071616803,0.002651926449801592,0.002810036886740015,0.008052054139972634,0.017801802373818187,0.017334748628878127,0.010011040302049827,0.009964043138172698,0.01048532045668887,0.009860016279377975,0.010660712159573803,0.009725652628994245,0.009578921993302498,0.010604711304206592,0.010571569254308218,0.01029396267699425,0.009528993873580123,0.010042550018757793,0.011028299408253409,0.014225035317208512,0.014189130118808272,0.01321254795510879,0.02298396161342866,0.0230554711039369,0.023050058180090646,0.022932672281439255,0.023109428930506257,0.011646379769359646,0.011454762270131872,0.011440090656764608,0.0115521696367706,0.00917421713260573,0.010817277525457298,0.011727226957939303,0.009698513348029469,0.010222908144977413,0.010732455879234448,0.01436176574345168,0.01779799165876166
lapgyn4_instrument_count,0.002449620269473004,0.0008505586869717545,0.0,0.0010661043845022094,0.009655585399252632,0.0136287125392817,0.025267478319089966,0.008485266082486894,0.006965071348710156,0.021547211771864017,0.006051760582472209,0.005450323299538115,0.008436231412985613,0.008082729121572391,0.030073372540368355,0.030155773693767488,0.0056339001603661005,0.005202650515097856,0.007563051248210284,0.0058524277319675,0.002170775635929438,0.0022282322428423544,0.0021830463738471764,0.0021849222325796744,0.0021707253584908374,0.0021857626114655544,0.002158034072171714,0.009412239456707227,0.008180247548586725,0.00981805472244554,0.017263724805543786,0.012704845763712938,0.017172233859227403,0.009757158007929586,0.009933117514422508,0.010536071607944142,0.009699211087315564,0.01068622730647277,0.009589084944425936,0.00955770798237016,0.010823997742135926,0.010428075376958001,0.010148383088551857,0.009495788941584983,0.010047470748095847,0.01100690735227251,0.014016948171006386,0.010969290118108573,0.013996168469092267,0.012750746582854258,0.022224022048707832,0.01487759040639189,0.010413953432464117,0.022302506041725286,0.022287509003514356,0.022319751751801075,0.022445361124845055,0.011267868286342077,0.010964397578606832,0.011073364767706461,0.018445178931165263,0.03591382791076943,0.011168304346896345,0.009060789971529464,0.010398626237168623,0.011624894854981574,0.009327537013779166,0.009800919329599799,0.010437289811641865,0.014102336365902197,0.017505304037171432,0.002488619234090458,0.0011082840724622187,0.00024292588783654398,0.0011556363382064828,0.025110623574120618,0.008515089088699121,0.02124257516489642,0.008558904862941088,0.03021776425715206,0.005676096095484521,0.005141687601642939,0.007581035791530302,0.005870862338045423,0.0022424639322911367,0.0022367692781673147,0.0022680887601991035,0.0022956982055309856,0.0022276423956787994,0.002145794221392424,0.002290309570736761,0.008284903015665217,0.01724565481501172,0.017123221621865754,0.009976406648269275,0.009968575386525812,0.010507632439509775,0.009814902081236317,0.010679883871735744,0.009684447603135676,0.009526267483541084,0.010624348725205367,0.010601244963117939,0.010296546031987269,0.009454963434405642,0.010024924394902598,0.011069429631338015,0.01408318632215987,0.014061188087645792,0.012870344271970854,0.02230028467120459,0.022370295302847645,0.022367005954353213,0.022252494055810045,0.02242435888378963,0.011180225540617346,0.011047479726184067,0.01105505069013794,0.011297426239191999,0.008905454754602957,0.010363984691333471,0.011640750847145399,0.009348330649414916,0.00994661929795817,0.010386584547024697,0.01415396294478165,0.017202085822804837
lapgyn4_anatomical_actions,0.004252353218942425,0.001432220993843402,0.0010661043845022094,0.0,0.011607542521256474,0.015481395595549537,0.026913017055165404,0.010530168169620857,0.00831588474511624,0.023055105247810237,0.00742240264705651,0.0067942203471325876,0.009831239827823872,0.009523786278924523,0.031564858630978486,0.031669278612704306,0.00799156946304868,0.007528591447748548,0.00959207128896159,0.007713285401111788,0.003951167526893458,0.0040108269592558365,0.003949865025512416,0.003962412056265211,0.0039456265689832995,0.003966027935272764,0.003931070200882313,0.011215900617185626,0.009522076306810389,0.011530401866412979,0.019222138910664325,0.014602031411775228,0.018750591247839964,0.01137790694078328,0.011534944847850387,0.012095652409227905,0.011346132839316889,0.012243473339660495,0.011213945130245276,0.01120555425767225,0.012395079824550915,0.011989565882792527,0.011731821831741143,0.011150421120139477,0.011652118077255918,0.012535188840845656,0.015582744776132503,0.01279604331619751,0.01554811479438205,0.014665668362702316,0.024161904276145226,0.016262052166777945,0.011974463434961296,0.024242639006240973,0.02422448552568569,0.02424918045355009,0.024382038049757387,0.013097468965364923,0.012815072592750425,0.012940889199787378,0.02001048222677126,0.037643794023789645,0.012579210994107878,0.010740578715459274,0.012034005775255619,0.012990155398544301,0.010777362159150655,0.011192189868430217,0.011961293584983467,0.015588677937922164,0.0193559895461632,0.004296618100616992,0.0017487697091619718,0.0010844471097190248,0.0002406976413924277,0.026755384954374694,0.010560246145442988,0.022751395780800536,0.00995804159800284,0.031707091956947826,0.008046524461814905,0.007468531958181323,0.00960028052859202,0.007742531634564649,0.004033526196637685,0.0040202798006148495,0.004049678311905521,0.004092710529565671,0.003953103940713282,0.003937153762127693,0.004076640078832601,0.009610222040392186,0.01919939875636564,0.018711007213283764,0.011581255636470337,0.01156690065339261,0.012070621387499446,0.011453535009069768,0.012245177234693275,0.011310327706664871,0.011178211193755712,0.012194902881047074,0.012141745559676355,0.011877895023712446,0.011120931378178406,0.011611936501766522,0.012599653238708932,0.015642521494047937,0.015612395961553026,0.014796511266881642,0.024234646801945158,0.024311140213896427,0.024304352391868737,0.024182075518195525,0.024362692613294983,0.01300552678356409,0.012899679905412754,0.012910784604363849,0.012708130544246262,0.010575714205861142,0.011987351241387768,0.013009436884296444,0.010809456554573979,0.011344050090228402,0.01191608163719105,0.015638539712575693,0.019051983702229356
sklin2_skin_lesions,0.010487226554962596,0.010263322253488371,0.009655585399252632,0.011607542521256474,0.0,0.01495026103154615,0.024697610436365335,0.011359487889853793,0.00833912728803123,0.021663076125911195,0.007449681248510941,0.006919101376821617,0.009684659303390969,0.009125024020070921,0.03022190847943319,0.030166451735451582,0.007853883872587791,0.008026518114462642,0.010986493155608118,0.009935805838892205,0.00928811291193122,0.00932226447622677,0.009322437787765559,0.009304287118360552,0.009296027349670798,0.009321516987490824,0.009299771048460722,0.004728401487952709,0.011057208909661071,0.009264136830287569,0.016854939513707607,0.009091367859892454,0.017283157174531855,0.011716544823112079,0.011936545499568423,0.012537594322154939,0.011631909057053956,0.012691252042000818,0.011535360398019522,0.011455343570434111,0.012835016385274147,0.012506516317007714,0.01211135427076364,0.01129713848435015,0.012090586651262138,0.013015275609258633,0.016382187719783205,0.005185489641253627,0.016408417428729873,0.007602544138884852,0.019932774344115833,0.017590462187077847,0.011712493892484119,0.020029877910552444,0.02001657786842522,0.020057692468481648,0.020181112328080186,0.01145027072699712,0.010731894061842672,0.010860719603105098,0.01799735989681257,0.03445121090498506,0.013327469976885106,0.011070326342004258,0.012282281994429201,0.014393566522219296,0.011583187398888566,0.01207439378533139,0.012215335969740646,0.014386365236818782,0.015009235268975143,0.010508203901939451,0.010328555681880503,0.009848547889775565,0.011632677792007143,0.02454792148853752,0.01135911726004666,0.021369857295998818,0.009804080213700007,0.030375037435105563,0.007941843147280374,0.007915680818970611,0.010975708879256205,0.010013767241967772,0.009243648824287657,0.009389087505461418,0.00947866892973452,0.009389995986283203,0.009492299625442365,0.009306589037749455,0.00924506670812005,0.011262196458536173,0.016857679357021083,0.017223373449670353,0.011988023998541266,0.012024890770401196,0.012497330968413498,0.011768081436335467,0.012621115501983436,0.0116047024803455,0.011399757478087573,0.012638482617314999,0.012681813082478618,0.012270916198512703,0.01125630027566723,0.012133559608573596,0.013102341242196353,0.016462443416510163,0.016463045098855836,0.007741777720661905,0.020017169821450038,0.020067471688775224,0.02012176045378521,0.01998385148827561,0.020138202383152823,0.011351598363125711,0.010788507048419842,0.010858273640832748,0.013455494432574641,0.010915141409356845,0.012290692501368538,0.014404740753569524,0.011582133763827695,0.01219340774236703,0.012125463533010217,0.014415553352418398,0.014712942033415237
identify_nbi_infframes,0.013912537030459396,0.01386752748086541,0.0136287125392817,0.015481395595549537,0.01495026103154615,0.0,0.024360603895378523,0.016664319755168414,0.012475334785782307,0.02312405170954138,0.011729394021589757,0.011280125565231443,0.013757220959677767,0.013056207408790318,0.03240476885040162,0.032227762997760825,0.013029146792208648,0.013009851281516986,0.01568396698966229,0.014110899639179083,0.013520984275371666,0.013598211828974442,0.013552012802018202,0.013530529681647833,0.013547196024375607,0.013560909092071825,0.013596513768276017,0.013611856975490364,0.014866879311427852,0.013570257310327608,0.01965016128383558,0.017125041215898876,0.022310215170753375,0.016038674057984342,0.015886512800826716,0.016355150395819376,0.01600663616695298,0.016422478903660245,0.01582851669848924,0.0157955394069077,0.01655946930036937,0.016459802827369432,0.016071139439548753,0.015786457554229104,0.016055392261196025,0.016701077259478253,0.02035986810362418,0.014978190474999011,0.02048294980493068,0.015312609463807053,0.02694146032117919,0.02228846513660705,0.01697043068715684,0.02700565638198671,0.027009090457817377,0.027042820706023565,0.027174942830980937,0.018659578254737495,0.018021493017783493,0.01812056762167183,0.020168291030944238,0.04061407379056047,0.01744900580747423,0.015437928471803001,0.016156527644102938,0.018890959257035343,0.015583095798794152,0.015879511609765907,0.01658376444848318,0.01934968633345009,0.022970041674065692,0.013926468686926924,0.013775876167141212,0.013757464778130515,0.015576408614512557,0.0241937919525088,0.016641283291314153,0.02296812973292169,0.01386751256279721,0.032530563409355444,0.01303837638514863,0.012885088301604368,0.015702272045646497,0.014161487458342422,0.013505385997088845,0.013534768285997263,0.013742484074775655,0.01371030644706862,0.013733706181206373,0.013583771889476376,0.013481798223075627,0.015081014162110048,0.019723666519681635,0.022249513821847762,0.01622667280607048,0.015989554102911804,0.016359418795770603,0.016219910846277583,0.01632970227808162,0.015863172049037907,0.015735264413747785,0.016399051500943118,0.016595090414317403,0.01619785109538289,0.01581694379007955,0.01608918431827038,0.016815878442906145,0.02045787953720503,0.020531597605675685,0.015431435083198303,0.027006793438849822,0.027094757229259973,0.027064194162268903,0.026969935251876378,0.027153134190956052,0.018591278098871143,0.018080548204469957,0.018097533131898103,0.017577308008451066,0.015313128137061646,0.016204881270191207,0.01888121222805226,0.015599492446828928,0.01594201207745509,0.01649943673188524,0.01939671124052699,0.022685376019455795
laryngeal_tissues,0.02624610342041943,0.0257602637888994,0.025267478319089966,0.026913017055165404,0.024697610436365335,0.024360603895378523,0.0,0.027687921658534436,0.020826793164323006,0.02205404424122518,0.019694983118094873,0.01973992305913005,0.018752317360618796,0.01763339857389899,0.03670335828193765,0.03660549655847963,0.025246942958579596,0.025025183984354767,0.027098571219926024,0.026075362227286205,0.02577109648709325,0.02583967014071978,0.02579937698970607,0.025777299766678037,0.02578309993762385,0.025808248181639248,0.02582277942992146,0.02289241844449271,0.025982493271237434,0.024488132320570694,0.028218555279126842,0.02629024692868502,0.03211849479749358,0.027485347747248815,0.02745400680672742,0.027839287099839613,0.027506289972265997,0.027924310894270624,0.027320482779926603,0.027308945355021284,0.028065643326600307,0.02792413551572786,0.027566036773786072,0.027326592722393447,0.02752678381439955,0.028153381877575746,0.031213726494141062,0.025366483858868704,0.03133892250547815,0.023709017155290713,0.03709257292595893,0.03336441493387375,0.027260476259769035,0.03717033652174653,0.037160843408599056,0.03718726390324316,0.037328128090964426,0.028256713559260235,0.02756874098299684,0.027708658535938235,0.03022962222514554,0.05047584604898546,0.02739877308262197,0.026414879546107873,0.026967952163901934,0.029259113926049584,0.02599946991783138,0.02615494134401411,0.026781001500788323,0.029219793696698918,0.03333511905749579,0.026268411575252386,0.026058836260078037,0.025440910055812938,0.026938202212155024,0.0002373983840653352,0.0276789074346767,0.022146000992046354,0.018775783955912794,0.036798124427363084,0.02530024170505052,0.02495854111785761,0.027100777685529775,0.02615012919164888,0.02571808628005198,0.02584988428752772,0.025976477283590566,0.025938098784713027,0.025974254435605762,0.025816098566199524,0.025725193172796666,0.026242889649274116,0.02823516229504656,0.032080577055814054,0.027693475292868978,0.02754949223629119,0.027830221953285966,0.02770647339386246,0.027850524766281186,0.027378432472244432,0.027265162323376477,0.02790787911601957,0.02804710842105031,0.02768825476776902,0.027356250934204265,0.027535059857050275,0.028290444750361868,0.031313328071852185,0.03137902301180211,0.023885123739244906,0.03716279688210517,0.03725063940566729,0.03721958068800743,0.03710790149627031,0.03730588594832028,0.02817924351933237,0.02762636153115687,0.027705177891971897,0.02752209488997462,0.02627453313565935,0.026983818200745146,0.029262342149191708,0.026005173809620707,0.02626290094208433,0.026717800935101444,0.02926529588400736,0.03305638019291907
nerthus_bowel_cleansing_quality,0.009224466853583621,0.008647991592676455,0.008485266082486894,0.010530168169620857,0.011359487889853793,0.016664319755168414,0.027687921658534436,0.0,0.009692205565352737,0.02313262579010566,0.008196593244182331,0.00759199083541356,0.010440138045704149,0.009986599742830095,0.031718936740074054,0.03178168987293688,0.005265913470447697,0.004179140994794637,0.0021228941214989803,0.004235791767012572,0.006909681647347682,0.00689053675314878,0.006899700632577464,0.006925340492556317,0.006913040352022813,0.0069150099202148945,0.006914523254100139,0.010999358692902595,0.00756327340170915,0.011857105547121145,0.019339484624136222,0.015348927548138283,0.01770016536697782,0.011264284697816406,0.011172013306323255,0.011757397243319612,0.011136077120638011,0.01184950737485837,0.011014403328177593,0.01092142704623702,0.012034569259490866,0.01181095967824915,0.011403248922374556,0.010896940473370571,0.011550804069815974,0.01221951548145365,0.016233743670509573,0.012456949880133565,0.01617659679985217,0.014635499551284388,0.022894458600733192,0.017007763595566546,0.01085575415097625,0.022957798615647906,0.022941268801244922,0.022989421070637405,0.023099514096309115,0.009793211910568039,0.009346068436103392,0.009334257491436869,0.020308483473060253,0.036848134935702326,0.012834024816868194,0.009627304656608769,0.011002487408475469,0.013302621658968347,0.010731917122923052,0.010886637265123601,0.011324841059995459,0.01714729695420738,0.017865648612902692,0.009269436727109058,0.009071217678424545,0.008566194375034971,0.010508699008745693,0.027531814839624164,0.00022823788165589898,0.022795522588081388,0.010542679531870554,0.03188424801022633,0.005316781036972479,0.004352443431071303,0.002137780342699884,0.004243155812804437,0.006874342292753378,0.007011526283997774,0.007027901915825328,0.0069882265705417945,0.007036482612503516,0.006947162169648891,0.006910591393804115,0.007643085627607673,0.019336985049525038,0.01764002143921791,0.01150663140252609,0.01123649464814569,0.011729539930155186,0.011279022800567159,0.011823797985446709,0.011087122739349939,0.010893795096637227,0.011835580204897101,0.012000501986124653,0.011562953502067532,0.010857110392117023,0.011534210551869654,0.012296202613977543,0.016273818388606785,0.01624691136761537,0.014770149045314295,0.022979290447653948,0.02301577999207247,0.023008625515223268,0.022922986197472798,0.023072483794223574,0.00972139203796138,0.009450491237001743,0.009295067968857675,0.012973886840921831,0.009465706797378567,0.010997341359447582,0.013317741033864513,0.010729263086791953,0.011020805529457698,0.011251546409277755,0.017200720899354444,0.017536035954516895
stanford_dogs_image_categorization,0.008295228456578707,0.007309372160006484,0.006965071348710156,0.00831588474511624,0.00833912728803123,0.012475334785782307,0.020826793164323006,0.009692205565352737,0.0,0.017148039427772974,0.0022721326839495294,0.0019191243053466903,0.004042687909910664,0.0041181671243823844,0.0259284948239015,0.02600720815644896,0.007501266045751525,0.00734188359998378,0.009196934060508593,0.007614814738446042,0.00749596459618504,0.00753606358255537,0.007513916332530813,0.007500139784997324,0.007491765565177441,0.007527604041195666,0.007518907007992499,0.0077667027816,0.008608866974374648,0.0073394042884021,0.014385175192618761,0.010635878798617786,0.014462910283423211,0.0093066696922929,0.009353860735505893,0.009827696651743845,0.009306773238991095,0.009945084227242895,0.009157644021546176,0.009120208204934222,0.010082618508758603,0.009817710249687764,0.009527273670400516,0.009159647688210718,0.00949931981665432,0.010217006199806377,0.013060828807568802,0.009266737732672347,0.013098729963706323,0.010661923364650073,0.019914695518609173,0.01445343025799659,0.008753865393731856,0.019988115826817112,0.01997964619945021,0.01999556731766264,0.02013265946643984,0.01055786716159898,0.00982497171904186,0.009963339802621606,0.015219274582861446,0.032996647136940144,0.00943544147155413,0.008334904824509775,0.008927045878245136,0.011006777842259625,0.007753969652302631,0.008387677681843536,0.00879180757643912,0.011917886517755662,0.015529846355744496,0.008311682856904168,0.007472028176069561,0.007096781305051453,0.008310382207539354,0.0206568577687113,0.009711845321852585,0.01686379717569231,0.0041819283538075324,0.026081840493487475,0.007573917069728153,0.007298952086524882,0.009171236540827618,0.0076777481672271565,0.007468868233790533,0.007612490585195288,0.007674966372461906,0.007611769911399264,0.007665379301133009,0.007549211145681332,0.007467765900316353,0.008761494973886612,0.014364017416434241,0.0144411923426541,0.009516347232346864,0.009415086871373407,0.009833666464997151,0.009468904279649264,0.009916312086467968,0.009252549767269828,0.009093497938545279,0.009894949576301172,0.009960221254962535,0.00965288834004533,0.009157136998465572,0.009460838078169108,0.010328557208360194,0.013136149703048435,0.013149290926421399,0.01085135566160614,0.019980715700638047,0.020070863330758502,0.020046805912182164,0.019920899242953462,0.020110311527609382,0.010468806483543635,0.009913576646095015,0.009942927860743633,0.00956296080111043,0.008161462943826043,0.008907256593443814,0.011023332761582242,0.007766884106710232,0.008512620728957584,0.008723069559490293,0.011953949874861543,0.015236299472072255
svhn,0.022921913648524098,0.021985788356230582,0.021547211771864017,0.023055105247810237,0.021663076125911195,0.02312405170954138,0.02205404424122518,0.02313262579010566,0.017148039427772974,0.0,0.015820301631731717,0.015538942904110583,0.01192986171680056,0.010744844503938153,0.027082063516395628,0.02697372363570689,0.021336007946358506,0.021113513935261393,0.022770651878362278,0.02147273270360346,0.02158463316032799,0.021638813470887714,0.021604074832163464,0.02159095528366911,0.02159949695078526,0.021622352186585064,0.021633151100293155,0.020718271084211315,0.021698824726097427,0.02093678012534336,0.024810977017711438,0.024577214103193804,0.027732279716948877,0.022775440152572376,0.022747448405728933,0.023169862012275225,0.02278285668144662,0.023255914211730008,0.022617244431849242,0.02259759103456848,0.023378409632808114,0.02320430014843629,0.022875305284442166,0.022607849000774883,0.02281635844251396,0.02349074175239876,0.026467993908266697,0.022511593362812315,0.026559835872739194,0.022974102031760854,0.033206642510419354,0.028540990592058328,0.022160264193568938,0.033278238362298956,0.03327165828907373,0.033294020468417194,0.033429740820283715,0.023938860379519984,0.023180764099621297,0.023326144619188183,0.027653118098789113,0.0464417153972536,0.021997941178417794,0.02142798263965326,0.021720386796982773,0.024031726722774496,0.02063812061311741,0.020446476380101806,0.021395452255739383,0.02614496114401018,0.029170633974370117,0.022964618653332852,0.022037561012543908,0.021695517641222406,0.02305139083188994,0.022044333315223617,0.023123688773327693,0.0003353608138553257,0.011864080872815961,0.02722764469084491,0.021404462978849847,0.021059631613581844,0.022747796995922547,0.02155922064205532,0.02153949858456858,0.02166330806285955,0.021782178929469036,0.021732192795811883,0.021768795516768476,0.021653787128048343,0.021525884961257923,0.021923100993228563,0.02479490041194849,0.02770131981123031,0.022980569718942433,0.022830652090606186,0.023145506040964308,0.0229749257263547,0.023184468041086575,0.022679315104001736,0.022554450163573287,0.02321788574212679,0.023335188194098612,0.023010084166298937,0.022642691421897454,0.022814364138853904,0.023616223520115134,0.026561920783902713,0.026601226853801542,0.02316139986637451,0.03327210322460908,0.03335862921248468,0.03332628539312613,0.03321564432230348,0.033408373457289434,0.023853392555723326,0.023230926361422745,0.02332104209056585,0.02213085358411518,0.02129251074944047,0.02172221437432821,0.024040050739193467,0.020651068484275344,0.02053712989424174,0.021348160430154497,0.02618392845400782,0.02888372024531207
