,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0054412949830293655,0.005961848422884941,0.010289090685546398,0.03042612597346306,0.02602745220065117,0.053660087287425995,0.025360779836773872,0.03846507892012596,0.06082170456647873,0.02929147332906723,0.028353746980428696,0.045373812317848206,0.04199330881237984,0.059850648045539856,0.062458060681819916,0.012793999165296555,0.011984000913798809,0.01945972628891468,0.017697399482131004,0.009689758531749249,0.010353419929742813,0.010026421397924423,0.009563308209180832,0.010141308419406414,0.009950636886060238,0.009533788077533245,0.029985826462507248,0.029872121289372444,0.034083981066942215,0.042890168726444244,0.03799031302332878,0.05302155762910843,0.03576041758060455,0.035743433982133865,0.03743217512965202,0.03454427048563957,0.037738505750894547,0.03502828627824783,0.03487114980816841,0.03742283210158348,0.03718719258904457,0.036323774605989456,0.0344289094209671,0.03476933762431145,0.03819679468870163,0.04400727525353432,0.033144500106573105,0.04341694712638855,0.034857481718063354,0.053898077458143234,0.04671522602438927,0.0423770509660244,0.05446956306695938,0.054121192544698715,0.054254937916994095,0.05414111167192459,0.03994634374976158,0.039972856640815735,0.04058496654033661,0.04934999719262123,0.06807640194892883,0.04937043786048889,0.035903118550777435,0.04147740453481674,0.042580850422382355,0.04354484751820564,0.041117068380117416,0.04405815526843071,0.041851598769426346,0.05172125995159149,,0.00656921649351716,0.005634123459458351,0.010693799704313278,0.05364043638110161,0.02538118325173855,0.06096336990594864,0.04542513191699982,0.05973995476961136,0.012607729062438011,0.011817323043942451,0.01968046836555004,0.017246976494789124,0.010227654129266739,0.010191477835178375,0.010571994818747044,0.010317865759134293,0.01050851121544838,0.009453867562115192,0.010788071900606155,0.03047403320670128,0.042558517307043076,0.05229335278272629,0.0357980839908123,0.035754695534706116,0.03726048395037651,0.035754118114709854,0.03785927966237068,0.034881457686424255,0.03459199517965317,0.03723657503724098,0.03671269118785858,0.03686203062534332,0.03405121713876724,0.034687478095293045,0.03766666352748871,0.04341687262058258,0.04417279735207558,0.034055594354867935,0.054128311574459076,0.05428091809153557,0.05413762480020523,0.05459844693541527,0.054717499762773514,0.04135773703455925,0.0414607934653759,0.039894964545965195,0.048771802335977554,0.03534860163927078,0.04083584249019623,0.04266007989645004,0.043171003460884094,0.04144202172756195,0.04386260360479355,0.0424901582300663,0.05152164772152901
lapgyn4_surgical_actions,0.0054412949830293655,0.0,0.0017993187066167593,0.0027641686610877514,0.0369785837829113,0.031092435121536255,0.06031488999724388,0.02691052295267582,0.04367346689105034,0.0646020844578743,0.030711766332387924,0.02908148802816868,0.04763655364513397,0.044818732887506485,0.06179666891694069,0.06480247527360916,0.017724521458148956,0.016854887828230858,0.02172965183854103,0.018414143472909927,0.007365399040281773,0.007382580544799566,0.007410919759422541,0.007023609708994627,0.007124233525246382,0.0072423722594976425,0.007104573771357536,0.034455977380275726,0.027300922200083733,0.039330657571554184,0.04953710362315178,0.04739950969815254,0.05528542771935463,0.036778368055820465,0.036806125193834305,0.03795218840241432,0.03563883155584335,0.038460761308670044,0.0362326018512249,0.03619808331131935,0.03845268115401268,0.038034308701753616,0.03730924800038338,0.03539455309510231,0.036118995398283005,0.0386473648250103,0.04585811495780945,0.039230991154909134,0.045096345245838165,0.042825717478990555,0.05960157886147499,0.04596256837248802,0.041478969156742096,0.060155343264341354,0.05979641154408455,0.05987793579697609,0.059866707772016525,0.04039281606674194,0.041704852133989334,0.042275529354810715,0.05150660499930382,0.07249020040035248,0.045808032155036926,0.03480767086148262,0.041067708283662796,0.03943266719579697,0.04060450941324234,0.03869199380278587,0.041707564145326614,0.04511843994259834,0.05610246956348419,0.0046168118715286255,,0.0015658672200515866,0.002630434464663267,0.06037814915180206,0.02697734348475933,0.06481822580099106,0.047708965837955475,0.06150123104453087,0.017632290720939636,0.016933340579271317,0.022137906402349472,0.01814238913357258,0.007381188217550516,0.007376591209322214,0.007739474531263113,0.007420946843922138,0.00749343354254961,0.006856894586235285,0.007926780730485916,0.027872132137417793,0.04906904697418213,0.054677724838256836,0.03683764860033989,0.03670867532491684,0.03795141354203224,0.036712177097797394,0.03863002732396126,0.03611204773187637,0.03595505654811859,0.03824606165289879,0.03750193491578102,0.03779326751828194,0.035263530910015106,0.035916492342948914,0.038282692432403564,0.04527082294225693,0.04592369869351387,0.04174000397324562,0.059743065387010574,0.05993465334177017,0.059783898293972015,0.06022454425692558,0.060365770012140274,0.041611965745687485,0.042939722537994385,0.04161815345287323,0.04541114345192909,0.0347866490483284,0.04037797078490257,0.03944975137710571,0.04012659564614296,0.03906869888305664,0.04175446555018425,0.045653942972421646,0.05566646158695221
lapgyn4_instrument_count,0.005961848422884941,0.0017993187066167593,0.0,0.002003680681809783,0.03294948861002922,0.029091954231262207,0.05646283179521561,0.026420289650559425,0.040410757064819336,0.06100471690297127,0.02795216254889965,0.026543665677309036,0.04496322572231293,0.042100414633750916,0.057856831699609756,0.06066184490919113,0.01657775789499283,0.015407133847475052,0.021993499249219894,0.020138317719101906,0.005694155115634203,0.0060073561035096645,0.006044707261025906,0.005440227221697569,0.005600243806838989,0.005610023625195026,0.005665511824190617,0.03229821100831032,0.02837497927248478,0.03935171291232109,0.04589111730456352,0.04358697682619095,0.05403273180127144,0.037497036159038544,0.037846338003873825,0.03915376216173172,0.036300357431173325,0.039684295654296875,0.03692907467484474,0.03695281594991684,0.03962650150060654,0.03912757337093353,0.0384066216647625,0.036062974482774734,0.03680359944701195,0.039969343692064285,0.045738231390714645,0.036974404007196426,0.04527544975280762,0.04094228148460388,0.05462835729122162,0.04729913920164108,0.04120013862848282,0.055174700915813446,0.05478924885392189,0.05492443963885307,0.05481787398457527,0.03735710307955742,0.03904307261109352,0.03972456604242325,0.05086199939250946,0.06738497316837311,0.04457054287195206,0.034063201397657394,0.038759272545576096,0.03934133052825928,0.038630906492471695,0.03739854320883751,0.039846692234277725,0.043783038854599,0.0516677089035511,0.005200446117669344,0.0024309884756803513,,0.0021804070565849543,0.056515030562877655,0.02657313086092472,0.061172667890787125,0.04495285451412201,0.057550098747015,0.016622288152575493,0.015359853394329548,0.022440539672970772,0.01980152353644371,0.0059554241597652435,0.005789328832179308,0.006211158353835344,0.005850239656865597,0.006050063297152519,0.005182723980396986,0.006292624864727259,0.028980404138565063,0.04546524956822395,0.0534517839550972,0.037769317626953125,0.03780433535575867,0.03912770748138428,0.037472423166036606,0.03984319418668747,0.03689521923661232,0.036633897572755814,0.03940781205892563,0.03861502930521965,0.038821324706077576,0.03573417663574219,0.036711521446704865,0.03953343257308006,0.045213572680950165,0.046030305325984955,0.03986188396811485,0.05485028401017189,0.05498332902789116,0.054818570613861084,0.05524012818932533,0.05539543554186821,0.0385015606880188,0.040118277072906494,0.03906236216425896,0.04401516169309616,0.033877335488796234,0.03788239508867264,0.03939798101782799,0.03813787177205086,0.037692658603191376,0.03980444371700287,0.044231217354536057,0.051296595484018326
lapgyn4_anatomical_actions,0.010289090685546398,0.0027641686610877514,0.002003680681809783,0.0,0.04132475703954697,0.03652280569076538,0.06407280266284943,0.03408782556653023,0.04687109589576721,0.06838493049144745,0.033827248960733414,0.03234022855758667,0.05146632343530655,0.048875804990530014,0.06473138183355331,0.06790084391832352,0.024910686537623405,0.023447711020708084,0.029015449807047844,0.026564519852399826,0.010914929211139679,0.010849518701434135,0.011122426949441433,0.010294739156961441,0.010485503822565079,0.010481545701622963,0.010702435858547688,0.039418160915374756,0.033265020698308945,0.04685148969292641,0.05491955205798149,0.05198649689555168,0.06154591962695122,0.04364759847521782,0.044070325791835785,0.045105986297130585,0.042574960738420486,0.04563077539205551,0.043150581419467926,0.043308012187480927,0.045734819024801254,0.04499487951397896,0.04444760084152222,0.04229697585105896,0.042977917939424515,0.04579389467835426,0.051941826939582825,0.044473662972450256,0.05143085494637489,0.04884021729230881,0.06435106694698334,0.05174989253282547,0.04819837585091591,0.06498143821954727,0.06451048702001572,0.06472364813089371,0.06455355882644653,0.045538224279880524,0.04768882319331169,0.04840277507901192,0.05772829055786133,0.07667653262615204,0.05042220279574394,0.04066767543554306,0.04551677778363228,0.044334251433610916,0.044689640402793884,0.04264064133167267,0.04628697410225868,0.04971129074692726,0.060848210006952286,0.009447897784411907,0.00344519829377532,0.0020953118801116943,,0.06415699422359467,0.034240007400512695,0.06863440573215485,0.051490262150764465,0.06437413394451141,0.024925781413912773,0.023599224165081978,0.029490415006875992,0.026147857308387756,0.010793037712574005,0.010710552334785461,0.011270773597061634,0.010693058371543884,0.010973659344017506,0.010119994170963764,0.011301526799798012,0.03393770381808281,0.05454571172595024,0.06109296903014183,0.04385512322187424,0.04395480453968048,0.04503451660275459,0.04369138553738594,0.04585641622543335,0.04316950589418411,0.04302949085831642,0.045545537024736404,0.04450324550271034,0.044917572289705276,0.042167697101831436,0.04273573309183121,0.045374203473329544,0.051396552473306656,0.052144113928079605,0.04760367050766945,0.06457412987947464,0.06471402198076248,0.06455166637897491,0.06495493650436401,0.06514155864715576,0.0466652512550354,0.04877914860844612,0.047651298344135284,0.04994887858629227,0.04067860171198845,0.044752854853868484,0.04444015771150589,0.044134121388196945,0.04304617643356323,0.046314459294080734,0.05017467588186264,0.06043219193816185
sklin2_skin_lesions,0.03042612597346306,0.0369785837829113,0.03294948861002922,0.04132475703954697,0.0,0.025158369913697243,0.040616583079099655,0.03234316036105156,0.035396747291088104,0.04759470373392105,0.02510625123977661,0.024350440129637718,0.03938636928796768,0.03533516079187393,0.04703069105744362,0.04827483370900154,0.019740745425224304,0.021148182451725006,0.031168479472398758,0.033104583621025085,0.02933763526380062,0.030246540904045105,0.029968300834298134,0.029498634859919548,0.030018353834748268,0.029231226071715355,0.029822083190083504,0.0081687793135643,0.03609844669699669,0.025161389261484146,0.03384551778435707,0.017583800479769707,0.04191867262125015,0.039026785641908646,0.03918271139264107,0.04071511700749397,0.037734758108854294,0.04142012447118759,0.0380345955491066,0.03813993185758591,0.0413241870701313,0.04092220962047577,0.040023770183324814,0.03671903535723686,0.038724351674318314,0.041812390089035034,0.04999327287077904,0.008582638576626778,0.04958584904670715,0.012193359434604645,0.031722601503133774,0.05404123291373253,0.038301095366477966,0.03240131586790085,0.03162272647023201,0.03204748407006264,0.031760990619659424,0.029212288558483124,0.027868175879120827,0.02833346650004387,0.037167180329561234,0.044441863894462585,0.04797564074397087,0.03632236644625664,0.03995528817176819,0.04692499339580536,0.04224192351102829,0.04135209694504738,0.040441617369651794,0.03465043380856514,0.027865080162882805,0.02997516468167305,0.03671314939856529,0.03375774994492531,0.042330656200647354,0.04067513719201088,0.03278591111302376,0.04760769009590149,0.039401281625032425,0.04701460897922516,0.019888507202267647,0.020232485607266426,0.03099268488585949,0.03310840576887131,0.029348477721214294,0.029729554429650307,0.030234627425670624,0.030407514423131943,0.03007127344608307,0.029177004471421242,0.029475918039679527,0.036734066903591156,0.03352508693933487,0.04142186790704727,0.03974195569753647,0.039821017533540726,0.04089902713894844,0.039101243019104004,0.04095432162284851,0.038270577788352966,0.0374496653676033,0.04075663164258003,0.04086373746395111,0.03985811024904251,0.03596371039748192,0.03862907737493515,0.04106980189681053,0.04936884716153145,0.05040377750992775,0.012185988016426563,0.03194303810596466,0.03191857412457466,0.032118868082761765,0.03221186250448227,0.03257887437939644,0.029785392805933952,0.028618311509490013,0.028213439509272575,0.04688286781311035,0.035366665571928024,0.03880123421549797,0.04692722111940384,0.04208945110440254,0.04138575866818428,0.03988984227180481,0.03491218388080597,0.02769152633845806
identify_nbi_infframes,0.02602745220065117,0.031092435121536255,0.029091954231262207,0.03652280569076538,0.025158369913697243,0.0,0.02410336770117283,0.035081930458545685,0.02738388068974018,0.0319400392472744,0.020540939643979073,0.02026517689228058,0.03289978951215744,0.028356922790408134,0.03504570573568344,0.03584553301334381,0.02152368240058422,0.022341124713420868,0.031771279871463776,0.030902983620762825,0.027980435639619827,0.029160432517528534,0.028437290340662003,0.02813527174293995,0.028390983119606972,0.027484843507409096,0.028531592339277267,0.02046065218746662,0.030289098620414734,0.022232400253415108,0.026438163593411446,0.029253782704472542,0.04193682223558426,0.03523708134889603,0.03363971784710884,0.0343082956969738,0.03481385111808777,0.03431876748800278,0.03428123518824577,0.034638866782188416,0.03405074402689934,0.03515249118208885,0.03421684354543686,0.0341973677277565,0.0329974889755249,0.03499297797679901,0.04336902126669884,0.02217649668455124,0.043628938496112823,0.020663391798734665,0.04063877835869789,0.05312086269259453,0.03970335051417351,0.04125425964593887,0.040905095636844635,0.040985774248838425,0.040983039885759354,0.04140079393982887,0.040547147393226624,0.04157315939664841,0.025387613102793694,0.050786856561899185,0.04253220558166504,0.03352495655417442,0.033682119101285934,0.04409927502274513,0.035955388098955154,0.03487253561615944,0.03688376024365425,0.034422777593135834,0.04190729185938835,0.02534361742436886,0.02984580211341381,0.029291661456227303,0.03751339763402939,0.02410774864256382,0.03600967302918434,0.03239474073052406,0.032729100435972214,0.03482635319232941,0.021706992760300636,0.021317163482308388,0.031005339697003365,0.030697060748934746,0.028113117441534996,0.027616791427135468,0.029330670833587646,0.029621724039316177,0.028182178735733032,0.027566686272621155,0.028322214260697365,0.030617494136095047,0.02613897994160652,0.04134662449359894,0.03588598966598511,0.03386334329843521,0.03428438678383827,0.036273762583732605,0.0339692160487175,0.034313883632421494,0.034284092485904694,0.0338003896176815,0.03482365235686302,0.03388683497905731,0.03418175131082535,0.03287915140390396,0.03438403829932213,0.0428490936756134,0.04439989849925041,0.02029714733362198,0.04098394140601158,0.04095728322863579,0.04084821790456772,0.041078053414821625,0.04137958958745003,0.043062739074230194,0.041749387979507446,0.04068781062960625,0.04133320227265358,0.03224287927150726,0.032478462904691696,0.04376784339547157,0.035544175654649734,0.034796521067619324,0.03611944615840912,0.03443856164813042,0.041666701436042786
laryngeal_tissues,0.053660087287425995,0.06031488999724388,0.05646283179521561,0.06407280266284943,0.040616583079099655,0.02410336770117283,0.0,0.05984611436724663,0.0352400578558445,0.017302319407463074,0.027489149942994118,0.029320454224944115,0.024737177416682243,0.020395101979374886,0.031145604327321053,0.031445909291505814,0.049794163554906845,0.04957197979092598,0.05748546123504639,0.06162522733211517,0.05930453911423683,0.06088320165872574,0.06019645929336548,0.05930427089333534,0.05965431407094002,0.058527491986751556,0.06012875214219093,0.03427354618906975,0.05550730973482132,0.04391217976808548,0.03542757034301758,0.04271668940782547,0.05933651700615883,0.06444275379180908,0.06288569420576096,0.06273975968360901,0.0641830712556839,0.06296995282173157,0.06358537077903748,0.06406485289335251,0.06288764625787735,0.06382032483816147,0.06309380382299423,0.06351932138204575,0.06117099151015282,0.06348887085914612,0.06918372213840485,0.04049001634120941,0.06992833316326141,0.030284766107797623,0.0590086467564106,0.08335260301828384,0.06200720742344856,0.05974016338586807,0.059210892766714096,0.059550173580646515,0.059496987611055374,0.05759570002555847,0.056396014988422394,0.057743433862924576,0.04144648090004921,0.06806360930204391,0.06116216629743576,0.0586996003985405,0.057661574333906174,0.06696522980928421,0.05808328837156296,0.05502868816256523,0.05745813250541687,0.050946034491062164,0.06294836848974228,0.05279145389795303,0.06205698102712631,0.05709267035126686,0.06535351276397705,,0.06099908798933029,0.017509745433926582,0.024469848722219467,0.030739299952983856,0.050253912806510925,0.048889342695474625,0.05675762891769409,0.06142035126686096,0.059446562081575394,0.05920614302158356,0.061122313141822815,0.061313558369874954,0.059844210743904114,0.058557067066431046,0.05966108292341232,0.05593379959464073,0.03570547327399254,0.058975256979465485,0.06531184911727905,0.0634227991104126,0.06258301436901093,0.065466970205307,0.062358103692531586,0.06391745805740356,0.06362437456846237,0.0626782551407814,0.06361258029937744,0.06253030896186829,0.06359990686178207,0.06111421063542366,0.06297522038221359,0.06862939894199371,0.07057855278253555,0.03018103539943695,0.059530410915613174,0.05937609821557999,0.05946989357471466,0.05958746746182442,0.05985545739531517,0.05902402848005295,0.05749455466866493,0.056797683238983154,0.060190752148628235,0.057525888085365295,0.05597822368144989,0.06623455882072449,0.05789736658334732,0.055231012403964996,0.05631578341126442,0.05056743323802948,0.06288094073534012
nerthus_bowel_cleansing_quality,0.025360779836773872,0.02691052295267582,0.026420289650559425,0.03408782556653023,0.03234316036105156,0.035081930458545685,0.05984611436724663,0.0,0.04725783318281174,0.057613275945186615,0.02940382808446884,0.02827746979892254,0.044654786586761475,0.04133657366037369,0.056540828198194504,0.05851336568593979,0.011805454269051552,0.008605065755546093,0.0033525298349559307,0.009617894887924194,0.018078509718179703,0.01835191249847412,0.018019476905465126,0.018298469483852386,0.018281353637576103,0.018537502735853195,0.01812930777668953,0.031229857355356216,0.018717467784881592,0.040425874292850494,0.04779767617583275,0.04854772984981537,0.04442767798900604,0.035119470208883286,0.03401881456375122,0.03526288643479347,0.0340779684484005,0.03555374592542648,0.03432194143533707,0.03423529863357544,0.035635437816381454,0.036329224705696106,0.03521465137600899,0.03358696028590202,0.03465648740530014,0.035858627408742905,0.04785160720348358,0.035565562546253204,0.047054946422576904,0.040817685425281525,0.046424709260463715,0.04921257868409157,0.032810624688863754,0.04691125079989433,0.04664003103971481,0.046355653554201126,0.046625200659036636,0.02264745533466339,0.02229459397494793,0.02261747419834137,0.0506039597094059,0.058742545545101166,0.04358111694455147,0.02755853720009327,0.03171796724200249,0.03843308985233307,0.03573114052414894,0.03371432051062584,0.034175727516412735,0.05238666012883186,0.04161430522799492,0.02486434578895569,0.028526725247502327,0.026608578860759735,0.03386218473315239,0.059901583939790726,,0.05795960873365402,0.04452589899301529,0.05635383725166321,0.011636841110885143,0.009662597440183163,0.00356249394826591,0.009636949747800827,0.018121996894478798,0.018338315188884735,0.018493272364139557,0.01892402209341526,0.018412698060274124,0.018313458189368248,0.018050426617264748,0.01896684616804123,0.04727878049015999,0.043769609183073044,0.03576839342713356,0.034129440784454346,0.03525293990969658,0.03574547916650772,0.035207297652959824,0.03427897021174431,0.03393781930208206,0.03536343201994896,0.035989537835121155,0.035082556307315826,0.03316322714090347,0.034727610647678375,0.03559642657637596,0.04740418866276741,0.047871023416519165,0.040406953543424606,0.04642782360315323,0.046573393046855927,0.046477314084768295,0.04694884642958641,0.047034744173288345,0.02352394163608551,0.023198990151286125,0.022102074697613716,0.042746271938085556,0.026874452829360962,0.0312642902135849,0.03903393819928169,0.03578030318021774,0.033567458391189575,0.03416252136230469,0.05305708944797516,0.04103594273328781
stanford_dogs_image_categorization,0.03846507892012596,0.04367346689105034,0.040410757064819336,0.04687109589576721,0.035396747291088104,0.02738388068974018,0.0352400578558445,0.04725783318281174,0.0,0.03950688615441322,0.012899303808808327,0.013687482103705406,0.02319125458598137,0.02380744181573391,0.03904443234205246,0.0418132059276104,0.03661163151264191,0.037509266287088394,0.043376244604587555,0.045413509011268616,0.04384702071547508,0.0451212003827095,0.04462544992566109,0.04349213093519211,0.04405070096254349,0.043179698288440704,0.04445711895823479,0.031598545610904694,0.04728929325938225,0.03297920525074005,0.035379499197006226,0.04038434848189354,0.0468900091946125,0.05136304348707199,0.05032381787896156,0.05086061358451843,0.05085041746497154,0.05135259032249451,0.05088410899043083,0.050570178776979446,0.05080333352088928,0.051499754190444946,0.050878383219242096,0.05055667459964752,0.04871697723865509,0.05151800811290741,0.05573295056819916,0.035655491054058075,0.056226328015327454,0.03595874831080437,0.05019748583436012,0.06467091292142868,0.04439187049865723,0.050861112773418427,0.05049183592200279,0.050781797617673874,0.050541192293167114,0.04678795114159584,0.045287590473890305,0.04624488949775696,0.039448775351047516,0.058814890682697296,0.04907035827636719,0.04416199028491974,0.04250412806868553,0.05317094922065735,0.0430382676422596,0.04244767129421234,0.04387527331709862,0.039077434688806534,0.05137432739138603,0.037932347506284714,0.044504132121801376,0.04102673754096031,0.04797078296542168,0.03529048711061478,0.04772287607192993,0.03958406671881676,0.023778194561600685,0.03905263915657997,0.036991316825151443,0.036630772054195404,0.04323741793632507,0.04495379701256752,0.04414581507444382,0.04351665824651718,0.04528554156422615,0.04506736621260643,0.04455014318227768,0.04296741634607315,0.04408228024840355,0.047648388892412186,0.03540932014584541,0.04654061049222946,0.05223913863301277,0.050761278718709946,0.05034811422228813,0.05204802006483078,0.05048568174242973,0.05103928595781326,0.050694774836301804,0.05033694952726364,0.05075644701719284,0.05065540596842766,0.05044257640838623,0.048142582178115845,0.050795383751392365,0.0551152229309082,0.0568528026342392,0.03543386980891228,0.05067640170454979,0.05054004117846489,0.05048792436718941,0.050758246332407,0.050856154412031174,0.0480286106467247,0.04653676599264145,0.045355409383773804,0.048423513770103455,0.043097544461488724,0.04099690914154053,0.05268283933401108,0.042640570551157,0.042290229350328445,0.04316706582903862,0.038753360509872437,0.05121063441038132
svhn,0.06082170456647873,0.0646020844578743,0.06100471690297127,0.06838493049144745,0.04759470373392105,0.0319400392472744,0.017302319407463074,0.057613275945186615,0.03950688615441322,0.0,0.027740422636270523,0.028676548972725868,0.01316771563142538,0.009553800337016582,0.0189743060618639,0.018826497718691826,0.051952019333839417,0.05203479528427124,0.056788668036460876,0.059132169932127,0.06043658405542374,0.061290107667446136,0.06077000871300697,0.060071829706430435,0.060334742069244385,0.05931766703724861,0.06102364510297775,0.043273426592350006,0.05488833039999008,0.04801851511001587,0.03750089928507805,0.05717281252145767,0.05825957655906677,0.060379087924957275,0.05926442891359329,0.0592910572886467,0.060236454010009766,0.05946410819888115,0.059902533888816833,0.060110077261924744,0.05926040932536125,0.06008917838335037,0.05941421166062355,0.05960764363408089,0.05738096311688423,0.05975281819701195,0.06491325050592422,0.0480428971350193,0.0653824433684349,0.04377921670675278,0.06154162436723709,0.07799667119979858,0.05602708086371422,0.06223138049244881,0.06180797889828682,0.06194905564188957,0.06191018968820572,0.05725974217057228,0.05541161075234413,0.056612350046634674,0.04814070090651512,0.06986981630325317,0.05241559073328972,0.052889615297317505,0.05027318745851517,0.058906834572553635,0.04949987307190895,0.04515650123357773,0.04899119958281517,0.058624181896448135,0.06400321424007416,0.06003929674625397,0.06418805569410324,0.061413057148456573,0.06953810155391693,0.017366349697113037,0.058743033558130264,,0.012413518503308296,0.018574917688965797,0.0524112768471241,0.05150551721453667,0.05611037835478783,0.05893786624073982,0.05991945415735245,0.05949687585234642,0.06177991256117821,0.06183812767267227,0.06032798811793327,0.0595523975789547,0.060063883662223816,0.055589303374290466,0.037640634924173355,0.05799640715122223,0.06117020919919014,0.059349916875362396,0.058945074677467346,0.06147240474820137,0.05868016928434372,0.06021920219063759,0.05988585948944092,0.05904436483979225,0.05980314314365387,0.05908142775297165,0.0597803071141243,0.05726030096411705,0.05923779681324959,0.06453009694814682,0.06595995277166367,0.043662939220666885,0.06188144162297249,0.06180006265640259,0.0618351586163044,0.06200024113059044,0.06229245290160179,0.05834142491221428,0.0564238503575325,0.055824846029281616,0.05148797482252121,0.05182481184601784,0.048783790320158005,0.058577265590429306,0.04931534081697464,0.0449538417160511,0.048195380717515945,0.05823646858334541,0.0638275220990181
