,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.07020174492060027,0.08188743530019726,0.152145039676999,0.40912395232712306,0.391866089930744,0.8215071599116928,0.3491869343307852,0.39597249186210615,0.8270890277477134,0.32456718050071,0.3092718722739871,0.46460328440332255,0.4377535812002047,0.9511054816786757,0.9590257116162606,0.19383723170895628,0.18086901269068845,0.2814658989781238,0.23531931802390638,0.1368724417864673,0.139321018689484,0.13792224971277278,0.13748837376146694,0.13656987355709393,0.13718660862824006,0.13652792675768,0.4048811380206385,0.3761801513097809,0.4209291301159457,0.6366591160268613,0.506843484596506,0.6986197026838883,0.4385755166275134,0.44535904883288246,0.4674508813998428,0.4347342151150069,0.47258036189302954,0.43214569935137126,0.43105164858296074,0.47576234434799325,0.4630091467914501,0.45331239420667524,0.42790157111861227,0.44289471643350886,0.4840140657342942,0.5833902737032721,0.4494748797968593,0.5848297122384936,0.48707076968570284,0.8010529770595634,0.614767709087392,0.4995940465884501,0.8036253277981631,0.8032503996825562,0.804442813292781,0.8066261599460174,0.5166476901320829,0.5042851592704318,0.5042770767933806,0.7031188174250609,1.0748102110534128,0.5588603613474508,0.4316928798828461,0.4987358871535372,0.5318776204955005,0.48449982691898263,0.4829082080450955,0.5112603950284447,0.5664759180464061,0.7032427962439871,0.0016671315965286482,0.09027359450388817,0.08087513605080465,0.1554170682591378,0.8188663622162249,0.34829120790064483,0.820294765272529,0.46797237585711393,0.9496142471495097,0.1920262245112161,0.17889820654613064,0.2836812573953349,0.23361815500729044,0.13895197633309886,0.13771353544627374,0.1394756591023123,0.14286527036946373,0.14083071632733546,0.13410173989252527,0.1425487945914421,0.3808601612493714,0.6370318333334701,0.6947423286846348,0.4457370492746091,0.44605841485555686,0.46567372576799304,0.43791424064289064,0.47129502456946737,0.4344621894090479,0.42754184495165815,0.47005419144233285,0.468564689467164,0.4573844345077549,0.42607703270447406,0.4432637684531153,0.485067381004872,0.5853684114003066,0.5861237337553731,0.48465730526288153,0.8029529611483843,0.8040138199006965,0.8051928188015207,0.8034041293024208,0.805194508700589,0.513476704804869,0.5076813199427179,0.5038090698828084,0.561740322037422,0.4267027331863513,0.49893795316510925,0.5298516503673971,0.4841849847740667,0.48620442115769436,0.5077311848926578,0.5683769503677292,0.6963585686757421
lapgyn4_surgical_actions,0.07020174492060027,0.0,0.025478425821381823,0.04709657828889746,0.43431316212685456,0.4168869285441015,0.8414850935607956,0.3459113620183816,0.39388305275846536,0.8234240640464434,0.30851320547982164,0.2873291935432909,0.44927127496534425,0.42740411130994627,0.9377086220480217,0.9483870278259747,0.23199073604494247,0.21933862305493923,0.2911795498636396,0.22824089371496425,0.09957549636145213,0.10140666761928996,0.09980665263311339,0.09998397771585354,0.09896363882269288,0.09975675753089819,0.09892983888313456,0.415556297493207,0.3346606009757993,0.4348995770079376,0.6635281221773464,0.5494570876942646,0.6871470918317537,0.42565313974617913,0.43088487626880045,0.4509275395191037,0.4225441773608649,0.45618910364620513,0.41900218875846384,0.41839537569381724,0.46070017147958353,0.4471101575858891,0.43782755057362843,0.41516050266909454,0.4312739994790378,0.46663964294319094,0.5760377699510348,0.4696657340781374,0.5754431543430334,0.524235016820993,0.8117040541092599,0.5903117217134035,0.4683970248919156,0.8141418391230095,0.8135705755821765,0.8143919164978173,0.8167306463347086,0.49198507767056254,0.4887906029060449,0.4905066927204378,0.6915460298535225,1.0723199998848387,0.5104964999659591,0.40537561024252033,0.47437086682586527,0.4853155888865426,0.44002172331165745,0.4427570413570514,0.47217648356526043,0.5643761596317978,0.7048405084189655,0.07139236943248672,0.019035872144711696,0.023748565747661043,0.04807922734296799,0.8387484785969037,0.345515338680324,0.8162305555539722,0.45285776333847805,0.9360426982713586,0.2323890191854452,0.2163921253516854,0.2924717920916553,0.2278219670993411,0.10152248849319578,0.10040729944707616,0.10079795327254493,0.10439144482886098,0.09975900635580759,0.09728681011700324,0.10468373454312596,0.33710562661698873,0.6633939253597703,0.6834994569551665,0.4319526980724313,0.4309056965913758,0.4487419413519915,0.4247608930676501,0.4557966514019789,0.4214166661024974,0.4159805462568471,0.4545304081827979,0.45177701337885434,0.4423044244017613,0.4131877425894097,0.4302110902107885,0.46741444661910414,0.576986893348002,0.5773105111854093,0.5220706232117158,0.8135216330306396,0.8144601771546482,0.8155234213381748,0.8135855948015944,0.8157316886161894,0.48896816267851406,0.4917923667054005,0.4894850857631714,0.5135941546815874,0.3999329002533263,0.47287543876379035,0.48383959779899444,0.4405803269228077,0.4468483931653142,0.4698163970142475,0.5661764915379708,0.6976887834632106
lapgyn4_instrument_count,0.08188743530019726,0.025478425821381823,0.0,0.03343610962865595,0.40214877500002055,0.40202051258249005,0.8123974539038157,0.3396614221583216,0.3702660379962004,0.7949544753849334,0.2861084985591753,0.2656462845954999,0.4286360593697216,0.4064017464646219,0.9060346844440108,0.9153865299836892,0.22013936530106326,0.20588466397383742,0.2935161284791836,0.2441579733253736,0.07920876964006629,0.08149805578788838,0.07960995872375953,0.07961965363645973,0.07904180258783589,0.07966944173317936,0.07861015383451209,0.3967076317886824,0.34631005554243766,0.4340742925981025,0.6325744656590744,0.5187394130008229,0.6762513177956206,0.42550713023221487,0.4336793541467481,0.4552500110500808,0.42231262504941114,0.4606830658588392,0.4194036398634706,0.41865023405396506,0.4644599040545323,0.4504029036930106,0.4405210354811957,0.4142264657928103,0.4319339252814616,0.47150462944462035,0.5685095553645167,0.4520619029106263,0.5696426656506475,0.5079096674379469,0.7732748105620004,0.5950431815385997,0.46402440003749224,0.7756142953142149,0.7751525085739752,0.7761020277823318,0.7782710314634813,0.46637532584738484,0.467548687288851,0.46970833447411753,0.6855096312501772,1.0353722165157353,0.4958671166325317,0.3922709359739782,0.4483440976613515,0.481380913932119,0.4198191625840617,0.42759382158796155,0.45272197461665176,0.5533839585052172,0.6709973369586821,0.08250984145413431,0.034385790692096574,0.0018042631573664814,0.03644567037174351,0.8095894478819528,0.3395245191767464,0.7880226042046647,0.43199403622678645,0.9041629369720554,0.220437962234596,0.20253644392941705,0.29486381130872497,0.2436500625904663,0.08176676110836967,0.08027074419034053,0.08165485654954319,0.08352104741548017,0.07963916701025875,0.07674022686935089,0.08328015523916488,0.3498198007329747,0.6324859759261829,0.6726915773835911,0.43279772561766094,0.4340064049553378,0.45265311111277695,0.4251469408978319,0.4595227337226291,0.42193659244181436,0.41583710515336003,0.45833543040826763,0.45607111238530074,0.44514425415080083,0.4120167158249797,0.43170669394719896,0.4723109904933871,0.5702716898525528,0.5714638783826853,0.5059712248581625,0.7750973576631237,0.7760083399827149,0.7771318497291433,0.775273039519893,0.7772239752840231,0.46378057320170685,0.47001754866201484,0.4689899969346496,0.49883047028485183,0.38649294982901505,0.44695723547683075,0.4798890683755963,0.42007674197850964,0.43113226986295716,0.45007932651193316,0.5551561753392766,0.6642704602367409
lapgyn4_anatomical_actions,0.152145039676999,0.04709657828889746,0.03343610962865595,0.0,0.49422207972440946,0.4855432514693887,0.8905018719112174,0.4325220387447204,0.43603254963302396,0.8693489964230632,0.34988554993415555,0.3284878931246187,0.4969648034882157,0.47686507547308743,0.9767110653607758,0.988434195685385,0.3246975763314124,0.30799682046522836,0.3831450577677358,0.32637418308716937,0.1511879691010658,0.1536618399547165,0.15105260175993518,0.15150293125024694,0.15074764699428034,0.15161459738388716,0.15027538384889105,0.47892351758659,0.40435502418893154,0.5165447241085208,0.7275274622829913,0.6101466188755529,0.7526673368517369,0.5009616366799161,0.5083331665869242,0.5277003672123479,0.4990742134916162,0.5330758706959333,0.49501827726225933,0.49559052926989633,0.5375815458369875,0.5227773147559129,0.5141038817797514,0.4911851676597827,0.5061239699063558,0.5422399550742725,0.6427228170077264,0.5364506925247241,0.6431635228124128,0.5963590377873631,0.8693242178413314,0.6576522953298283,0.53875920895711,0.8718425573524633,0.8712004662267523,0.8718270825299137,0.8743226444353129,0.55360431729064,0.5576865041167585,0.5606401888458108,0.7593342613036116,1.1230522425844889,0.5621307659255406,0.4707341906153326,0.5259036460054327,0.542728123742656,0.48755047833299825,0.4907185280763211,0.5246764548837537,0.6209454240383669,0.7620963977497826,0.15301039469602618,0.05839159408261807,0.03305089950026652,0.0019806109401154792,0.8876909527392409,0.43235763843193986,0.8626012368230431,0.5007102160644208,0.9746471541457664,0.3252684728174131,0.3046702821637979,0.3842253106170608,0.3262441058461958,0.15448837803426851,0.15243134614448373,0.15368366529648858,0.15617061793313347,0.14913885408075478,0.1489345156442936,0.15569801552146645,0.4069646006358907,0.7273530580567389,0.749625860773329,0.5074177302753435,0.5084083066626683,0.5251851649845283,0.5013664598134877,0.5322539606577883,0.49753207549396183,0.49295931770032375,0.5315110071460247,0.5272347469852461,0.5187208478828507,0.4895272353290805,0.5049635690730714,0.5431161057613911,0.64415528525676,0.6449666908415952,0.5947634875798786,0.8709467633810042,0.8722003170757247,0.8732492203815276,0.8710328174889179,0.8733640183416784,0.5508111973608765,0.5602756116076315,0.559301850444617,0.5650723903112609,0.4645151884382783,0.5238314560430402,0.5414361528967846,0.4884847795595757,0.4946307352204733,0.5223160206888098,0.622653004572169,0.755383749567927
sklin2_skin_lesions,0.40912395232712306,0.43431316212685456,0.40214877500002055,0.49422207972440946,0.0,0.4101190210565764,0.7149918399532735,0.44110136406970035,0.37328032597295513,0.7271504833125588,0.3006710376820294,0.28434479361928755,0.42907242640296417,0.3953427589483023,0.8502345321987201,0.8477136760052266,0.2885667436365833,0.3015609304828675,0.42150301399548606,0.41030732871247144,0.3748537911597074,0.3766235476922528,0.3767866709436771,0.3756095531957926,0.37565599623229184,0.37653412053686797,0.3755438305707921,0.14679339565742344,0.4481088808529168,0.34602953863551056,0.5554738493089486,0.29058836721771053,0.6145957656709107,0.4800384069300927,0.4904464311382153,0.5116275962371204,0.4759390043868219,0.5169707778653536,0.4733182172387256,0.4701591274670798,0.5212452580628519,0.5115142891617754,0.494864886810634,0.4605347434100313,0.4909501788056465,0.5279878652268772,0.644336856660126,0.15462592633666672,0.6487770882711095,0.23083538618933197,0.5930603780800725,0.6953141100622728,0.47679792789311515,0.5961795058397739,0.595675254702642,0.5965429554515471,0.5991136904775578,0.4247283561842292,0.40183658722620663,0.40531811115337124,0.6004627721694846,0.8781652834079776,0.5617013211416282,0.4485212116006627,0.49630592745661994,0.5840762288612025,0.4910909940584882,0.5008555685662253,0.495148374586885,0.5107630082560726,0.48156905893435686,0.4077699821971845,0.4352242298831408,0.41069254251211973,0.4969611900226165,0.7124097211252169,0.43955844698297764,0.7208628854337604,0.43192061981932994,0.8490057782795302,0.29061685732537246,0.2958405354468061,0.4216638489582829,0.4128342936180198,0.37261640366230164,0.37761057363814077,0.3820593302250037,0.379186911356971,0.38291572110998295,0.37396497250188254,0.371501160083183,0.45759100733147884,0.5562752966508753,0.6108282635472686,0.48999587351815155,0.4938210760062045,0.508541971738822,0.4802036989456666,0.5120677301761334,0.47446006576937316,0.4655726350891025,0.5151213425643824,0.5173308715225988,0.49994558710544057,0.45863825808498015,0.49440132675275184,0.5303287351181876,0.6470840402314137,0.6498623011999993,0.23135482274934382,0.5951446201150006,0.5954784451021684,0.5986555981954242,0.5952149478447866,0.5972068313503254,0.4215696531664328,0.4031100777653145,0.4052173421268943,0.5644652983054339,0.4427852444205853,0.4974579870636795,0.5822063198216538,0.49002738707364246,0.5027182265381072,0.48999243207827714,0.5113929985026648,0.4748905115977804
identify_nbi_infframes,0.391866089930744,0.4168869285441015,0.40202051258249005,0.4855432514693887,0.4101190210565764,0.0,0.5434147163982574,0.5089423183165067,0.3632403467356786,0.6064159080723392,0.3076975860514004,0.2953867554667857,0.42174727622213304,0.38331854345930827,0.7680152151201534,0.7591303606369713,0.3485623753063245,0.35269735217392073,0.45978732266140465,0.42356045957081,0.39266758093336707,0.39585221011641103,0.39432781147352136,0.39300631197964186,0.39398870770781924,0.3945459454244409,0.39590205252835675,0.3564295514763942,0.438265748669592,0.36252881272854687,0.512386324153741,0.4728555490023578,0.6632112306237437,0.49198818977436476,0.4822582127384645,0.496173206537466,0.49087117166916006,0.49671546162917846,0.48401461049823036,0.48317433969376244,0.5005316503726434,0.5031151574181867,0.4871629944283131,0.4822251784269227,0.48390928943674316,0.5052206854564254,0.6336630430782173,0.39601925219926803,0.6435610893058716,0.3872528672300608,0.7388743388905401,0.7275787088386667,0.5399008528482789,0.7403760153076835,0.740896456126249,0.7415882093933872,0.7443490111901445,0.5893991923565856,0.5710438777891187,0.5726146019328762,0.5181646898566861,0.9893984795549606,0.5589938098725207,0.4647562994293577,0.48385037293811983,0.6025925052047856,0.480943690926797,0.48533909910743,0.5082276295011932,0.5575045668687442,0.6760425496957958,0.3902869491444112,0.4086922637900394,0.40726852599054064,0.49136097434076964,0.5399392250496633,0.5063687765824199,0.6052542542053336,0.4240757670643318,0.7656677224479393,0.34710348648590683,0.3461847217661713,0.4616948309793161,0.424803989807256,0.3913938484546642,0.3920986687357697,0.4010023091327235,0.40088555610632914,0.40069254798043064,0.3937128428798258,0.3896301970308147,0.4475769918754744,0.5156187707831963,0.6593045550697458,0.49743539489140476,0.48618760170909026,0.4954215735136476,0.49921599484835566,0.4906837534303148,0.48314231220351056,0.4783284119636577,0.49641831526382285,0.5066302180938274,0.49061572160555,0.4842502594751381,0.48680088171385405,0.5090842192042344,0.6374140101512142,0.6442409439750443,0.38688600263917516,0.7399861278431605,0.7420257213299637,0.7415535830891211,0.7403859325527486,0.7433487451580159,0.5880151064354466,0.5721773632437204,0.571476636358863,0.561503331988658,0.46032200487852526,0.4865892335257973,0.5994136988889585,0.4810396024696555,0.4846192162629883,0.5033753672321506,0.5590472121744252,0.670088417589735
laryngeal_tissues,0.8215071599116928,0.8414850935607956,0.8123974539038157,0.8905018719112174,0.7149918399532735,0.5434147163982574,0.0,0.8890274357082926,0.5903682804701873,0.48655205756593256,0.5196276790378453,0.5325752152393339,0.48657028104709754,0.4376842380992847,0.832895839022159,0.8246893258943278,0.7773706188920828,0.7726776695531035,0.8547225023474803,0.8546901083930565,0.836873358778893,0.8404750285034694,0.8387184915505834,0.837141355728396,0.8378989807625556,0.8389832552176206,0.8396101035728476,0.6367879903082607,0.8211237258549593,0.7259400136754954,0.7545590821606196,0.7486590280411742,0.9761000896367786,0.9026475126787799,0.897732706740185,0.9058357839336515,0.9043371361321455,0.9067797548132797,0.8967741000199085,0.897321912944911,0.9106117288066757,0.9131100738471978,0.8978475928683838,0.8974190099560948,0.8915425545302691,0.9121009048079514,1.0131601070869194,0.7287216253430397,1.0251418336995552,0.6266822778834098,1.0659152304910924,1.1330669470972183,0.8873179784656791,1.0681163465145387,1.0680217833300607,1.068406197723946,1.0716186822370486,0.8910250989822122,0.8702353597392736,0.87403147835983,0.8294086363036528,1.3028330044007244,0.882409588792195,0.8452926203901971,0.8536705489946144,0.956099203201513,0.8325876612094447,0.8248636700152194,0.8452561182739955,0.8697075947711013,1.0205606154547238,0.8197350372680381,0.8569239771788579,0.8201195889311697,0.8942563680112978,0.0011620190156591548,0.8868136448271926,0.4914275810130966,0.4857118959909017,0.8296132517510029,0.7771199347854383,0.7684015619021483,0.8562669995282008,0.8569282130383158,0.8347211910943972,0.8383371320795736,0.8461174568049548,0.8454417098968543,0.8453367882180123,0.8367025215043773,0.833140593614603,0.8332980238172638,0.7557062216922641,0.9733216474330448,0.9093082468435312,0.9015465003996854,0.9041728685181942,0.9124160636973011,0.9008047112026656,0.8965343926980163,0.8926368330801568,0.9073163317405113,0.9154971654072437,0.9009772390599333,0.9000260710770207,0.8940557984060433,0.9174953316741781,1.0177074832663862,1.0251270234180714,0.6289129934654212,1.067303310512028,1.0693159707723172,1.068770022452834,1.0668385112257814,1.0705643249983723,0.8892055340785969,0.871180158579433,0.8740121677530892,0.884416799237493,0.8405307546895511,0.8552594788866945,0.9534906729491737,0.8320558490534204,0.82587660385059,0.841609298051972,0.8711437021624926,1.0152461886175415
nerthus_bowel_cleansing_quality,0.3491869343307852,0.3459113620183816,0.3396614221583216,0.4325220387447204,0.44110136406970035,0.5089423183165067,0.8890274357082926,0.0,0.47146029331874484,0.8206354807790359,0.34965676346343466,0.3279380368290892,0.47791379385018873,0.4505978699669879,0.9407155465002139,0.9467349560341565,0.18386375390527165,0.14317918980727518,0.06231032340757059,0.14731777444776695,0.2597484913683554,0.2589220822764102,0.2592968758787215,0.26030383898492815,0.2600119360160642,0.25987476464771975,0.2601106546451186,0.4310905159458249,0.2794498138436885,0.48934861537416197,0.69274056627465,0.6086756940432805,0.6426422265557004,0.4553193361650907,0.44875346245212855,0.46895230902942986,0.4485091492395261,0.4711421769513766,0.44488360060488397,0.44073419944216496,0.4776174813648839,0.4731084741808971,0.45630476403302067,0.43888430912300125,0.4623995116503621,0.48463867970905117,0.6365685441975093,0.480162714045691,0.6354460987721988,0.5564486639035291,0.7474238709002763,0.65857272537172,0.43215806309883487,0.7489572490975487,0.7483706070263403,0.7499740392790004,0.75153163824266,0.35386195742550264,0.342154980472698,0.33960595884186917,0.7310399458642407,1.0155252596507456,0.5334783431257444,0.37557216381881364,0.4315593401207978,0.5218021964321067,0.4446376230987239,0.4370402880827404,0.4487244154076646,0.6704254338702285,0.6290587369358578,0.34956820947341694,0.36549584699635007,0.34207320237286387,0.4321105442822133,0.8862802839873907,0.0015113262888823975,0.8115935277851434,0.4797775057978866,0.9402288320703565,0.18471067560343846,0.14952863823543172,0.06269898603362067,0.14703164107547906,0.2574273123661479,0.2624270276765275,0.2631977582388054,0.2623063393315497,0.26388325501427845,0.2598314572905065,0.25860040992459243,0.281837545643179,0.6934867457023914,0.6387854719443049,0.4637738270269467,0.4507916017768263,0.46657512241166765,0.4530288369768982,0.46930196804657864,0.4463270273366797,0.4382930701774832,0.47141476045988506,0.4796079550789125,0.4616964333486564,0.43673299413271005,0.4623165778991143,0.4864463400176362,0.6367859287978801,0.6375585514524396,0.555218090213383,0.7497477600053948,0.7489584748967539,0.749630842130522,0.7491285990051826,0.7501855176131835,0.3518157177661769,0.3455198879994996,0.33794381769298054,0.5369627077335677,0.36908234184041433,0.43163294916457495,0.5203489885742982,0.44352167322164426,0.44000033614024403,0.44460363362864364,0.6723126034718119,0.6207463434985683
stanford_dogs_image_categorization,0.39597249186210615,0.39388305275846536,0.3702660379962004,0.43603254963302396,0.37328032597295513,0.3632403467356786,0.5903682804701873,0.47146029331874484,0.0,0.5739672599236592,0.11061912663398976,0.10720113724389835,0.21051659335715556,0.21681502003669095,0.7053914730220057,0.7128585319680356,0.36602779286155585,0.36704100728630973,0.43646689622764523,0.40962314054276394,0.4003690348732398,0.4028654768501658,0.4017394297318213,0.4005589568907628,0.4006588466461123,0.40216755577615615,0.4016935865621889,0.34500070145967277,0.4422536116839777,0.3396081371521271,0.5063406704798998,0.4426235896242807,0.5688332664412274,0.4800839970234554,0.4790149343160164,0.49151365003224035,0.4801081694795015,0.4944276774507985,0.474829157792088,0.47364689172968477,0.49767857070235477,0.49375919817994207,0.482375963063725,0.47541396001219205,0.47510866146921726,0.5018362089737605,0.5894426261981862,0.39965058357144745,0.5970295730765232,0.427650229937667,0.6881222245454452,0.6646118788589543,0.4343312669191892,0.6901127526399438,0.6902056330416446,0.6902570417086609,0.6930017355584153,0.4904453171756935,0.46647092907885535,0.46972171051536105,0.5421938991267643,0.9138772970479154,0.4681438527112438,0.41923032260010196,0.42621737119128467,0.526758295487197,0.3973339542477863,0.4128917167326547,0.4252652449859,0.47444100836719905,0.6127842603603599,0.3931926164126667,0.4012876207412748,0.3763949080893796,0.4388645819708721,0.5867159261430648,0.4704290247735039,0.5683100311480191,0.2149074104881672,0.7041790302318356,0.366185816729919,0.3637398668924616,0.43669317523788864,0.41097345760436976,0.3995400776340188,0.4034075857647581,0.40850457317859057,0.40634036320118083,0.4070123038110318,0.40052988522171695,0.3976522316488924,0.4496734090134331,0.5064265786356574,0.567021758725625,0.48693746094430157,0.48079832670724043,0.4909109158219187,0.48638385198842515,0.4906667632308821,0.4769412526305046,0.4698432937091428,0.49309941843174654,0.497004189665061,0.485590506043458,0.47606092317459625,0.4749181989820386,0.505957824440197,0.5926387060000682,0.5976453401175754,0.42992588225205575,0.6892044959373189,0.6914361618196563,0.6913411392730544,0.6889560943018478,0.691826946223034,0.4882040675214103,0.4692365144572075,0.4687324034108493,0.4705301430651998,0.41263883699256887,0.4261104509504037,0.5246720825381126,0.39699519543024486,0.4147173732177203,0.4208676668321072,0.4752441703702752,0.6069220972307376
svhn,0.8270890277477134,0.8234240640464434,0.7949544753849334,0.8693489964230632,0.7271504833125588,0.6064159080723392,0.48655205756593256,0.8206354807790359,0.5739672599236592,0.0,0.48421304195833015,0.48016100703176834,0.31151243871057277,0.2647252025061517,0.5844485458933626,0.5754516795368945,0.7458859104594349,0.7419265022475079,0.799785225834277,0.7828445707836189,0.7906764327453932,0.793571468394223,0.7919384488213019,0.7909123455946201,0.7918981528417,0.7926638892446554,0.7933120401754525,0.684451495993688,0.768277939398534,0.7113212056025975,0.7346041062229625,0.8328369980110781,0.9170728482831851,0.8226855550166885,0.8179488512211868,0.8282385096142,0.823276558782648,0.8294336873320369,0.8171290656268071,0.8171037352194959,0.8320473046325589,0.8324436538681868,0.8190552894695986,0.816743938907277,0.8118967426364652,0.8349931245503783,0.93087655646073,0.750100498561602,0.940383960718234,0.7320931692669488,1.0353466931543411,1.0438295547194274,0.7876776886033308,1.0372151567080938,1.0372967850933605,1.0375519409976781,1.0403948073109524,0.8363117532055728,0.8112730040684091,0.8153791168756017,0.8554563640668333,1.2650856383754059,0.760822224637697,0.7490343204016741,0.7424576929566133,0.8433231743255116,0.7133075883183801,0.6893287898331883,0.7260748492323166,0.8839479652305315,0.9762004584487931,0.8265111125754303,0.8224691646304358,0.8016026707592081,0.8717579299111717,0.48754802237496575,0.8184320599494126,0.002070420364320924,0.30701530972079416,0.5832058770184485,0.746333022179952,0.7382430550343493,0.8000139816191152,0.7858487577218964,0.7885319218717899,0.7919061315217673,0.7995219092139734,0.7980040634292922,0.7981970752875229,0.791909906673546,0.7860678280035387,0.7789520449129017,0.734551139642516,0.9147463879061628,0.8292128543186128,0.821134800807251,0.8257246878745188,0.8310193490644737,0.8237139670930218,0.8173118425754002,0.812779376213292,0.8286648681061437,0.835283730346366,0.8230299912202859,0.8194617132077155,0.8135185726293463,0.8397031578517096,0.934859489800111,0.9405078506225393,0.7345702805988084,1.0364393826768814,1.0384080578060058,1.0377704014611493,1.0359970523349222,1.039378451481114,0.8340835842781584,0.8117163415613806,0.8152887800774948,0.7635077418001117,0.7443530662125015,0.743093251649416,0.8413315224712345,0.7130079814434951,0.6897045832894966,0.7234082598070621,0.8850499958881608,0.9704625804322387
