,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.09244012832641602,0.10060405731201172,0.17141342163085938,0.43360328674316406,0.42337846755981445,0.832573413848877,0.36147475242614746,0.41367483139038086,0.8705563545227051,0.34006500244140625,0.32622647285461426,0.47721219062805176,0.4490981101989746,0.9673910140991211,0.9603738784790039,0.21422100067138672,0.19715523719787598,0.3018672466278076,0.2523970603942871,0.16275286674499512,0.15741991996765137,0.15897297859191895,0.15310239791870117,0.15536093711853027,0.16054654121398926,0.15976595878601074,0.41878771781921387,0.38692545890808105,0.43404698371887207,0.6544167995452881,0.5260474681854248,0.7106764316558838,0.4506826400756836,0.46202731132507324,0.47899889945983887,0.45148277282714844,0.4860191345214844,0.4508535861968994,0.44997191429138184,0.4867241382598877,0.4789588451385498,0.46881723403930664,0.4397568702697754,0.45813512802124023,0.49289369583129883,0.5993318557739258,0.46279215812683105,0.5975334644317627,0.49704670906066895,0.8089573383331299,0.6320197582244873,0.5156228542327881,0.8136279582977295,0.8275594711303711,0.8244071006774902,0.8191301822662354,0.5349411964416504,0.5174679756164551,0.5096940994262695,0.7147653102874756,1.094357967376709,0.5786702632904053,0.44896697998046875,0.5169174671173096,0.549736738204956,0.5016088485717773,0.5008282661437988,0.5254762172698975,0.5694184303283691,0.6992824077606201,,0.11341023445129395,0.10262680053710938,0.17681431770324707,0.834385871887207,0.36774730682373047,0.8330495357513428,0.48716306686401367,0.9590120315551758,0.2172393798828125,0.1988062858581543,0.3019740581512451,0.2469775676727295,0.1559455394744873,0.16675925254821777,0.15974164009094238,0.1667037010192871,0.16327381134033203,0.1543283462524414,0.16498136520385742,0.4001452922821045,0.6518492698669434,0.7081871032714844,0.46779799461364746,0.46159815788269043,0.4837028980255127,0.45044445991516113,0.4853043556213379,0.4441056251525879,0.4447453022003174,0.4818408489227295,0.48433732986450195,0.47525453567504883,0.44237852096557617,0.45700716972351074,0.5068156719207764,0.5936398506164551,0.6063203811645508,0.5059809684753418,0.817108154296875,0.8056883811950684,0.8309237957000732,0.8164577484130859,0.8295257091522217,0.5382988452911377,0.5157685279846191,0.5209653377532959,0.5813491344451904,0.4388105869293213,0.5252583026885986,0.5461089611053467,0.49922943115234375,0.5065116882324219,0.5224363803863525,0.5982260704040527,0.6979207992553711
lapgyn4_surgical_actions,0.09244012832641602,0.0,0.04384303092956543,0.06424474716186523,0.4589211940765381,0.4499831199645996,0.858222484588623,0.35616612434387207,0.41285109519958496,0.8721094131469727,0.3255643844604492,0.30352258682250977,0.46152615547180176,0.4403042793273926,0.9581120014190674,0.9533042907714844,0.2493603229522705,0.23264694213867188,0.3125150203704834,0.24570083618164062,0.11995840072631836,0.11762166023254395,0.11655497550964355,0.11468625068664551,0.11453056335449219,0.12126827239990234,0.1161050796508789,0.4331021308898926,0.3480708599090576,0.4504740238189697,0.6861746311187744,0.5692074298858643,0.7025797367095947,0.43935394287109375,0.4467947483062744,0.4618523120880127,0.4356825351715088,0.468919038772583,0.4342658519744873,0.4345400333404541,0.47046709060668945,0.46255970001220703,0.45323920249938965,0.4270496368408203,0.44600677490234375,0.4745607376098633,0.5947973728179932,0.486370325088501,0.5908372402191162,0.5386486053466797,0.8225972652435303,0.6053934097290039,0.48476076126098633,0.8275041580200195,0.841799259185791,0.8381667137145996,0.8318889141082764,0.5094499588012695,0.5041666030883789,0.4970681667327881,0.7052524089813232,1.0938904285430908,0.5290577411651611,0.42124223709106445,0.4915022850036621,0.5031588077545166,0.4560258388519287,0.459730863571167,0.4848818778991699,0.5683000087738037,0.7021777629852295,0.08522343635559082,,0.046545982360839844,0.06675028800964355,0.8597190380096436,0.36348748207092285,0.8322269916534424,0.47154998779296875,0.9490554332733154,0.256364107131958,0.2360701560974121,0.3122260570526123,0.24190592765808105,0.11548590660095215,0.12571263313293457,0.1173849105834961,0.12637567520141602,0.11736893653869629,0.11400508880615234,0.12402033805847168,0.36148977279663086,0.6842658519744873,0.6987330913543701,0.45328378677368164,0.4448366165161133,0.46564221382141113,0.43683505058288574,0.46825122833251953,0.4322371482849121,0.43277859687805176,0.46562886238098145,0.46717286109924316,0.45928096771240234,0.428027868270874,0.44290661811828613,0.48922061920166016,0.5885906219482422,0.6012423038482666,0.5458879470825195,0.830775260925293,0.8196115493774414,0.8435637950897217,0.8297011852264404,0.8435039520263672,0.5132901668548584,0.5002915859222412,0.5051407814025879,0.5328800678253174,0.41262054443359375,0.49724841117858887,0.49927258491516113,0.4550926685333252,0.4673335552215576,0.4831969738006592,0.5984926223754883,0.7013270854949951
lapgyn4_instrument_count,0.10060405731201172,0.04384303092956543,0.0,0.05350065231323242,0.4277167320251465,0.4331238269805908,0.827303409576416,0.35315561294555664,0.39316415786743164,0.8443112373352051,0.3048255443572998,0.28443479537963867,0.44398045539855957,0.42168211936950684,0.9274566173553467,0.9211626052856445,0.2396097183227539,0.22069764137268066,0.31682658195495605,0.2618391513824463,0.0998082160949707,0.09721541404724121,0.09735941886901855,0.09498047828674316,0.09636640548706055,0.10149216651916504,0.09685087203979492,0.4147298336029053,0.35965800285339355,0.4496786594390869,0.6532180309295654,0.5392441749572754,0.6937332153320312,0.4378011226654053,0.4495387077331543,0.4662439823150635,0.4366919994354248,0.47356081008911133,0.43653392791748047,0.4357280731201172,0.4742000102996826,0.46602630615234375,0.4549524784088135,0.4256479740142822,0.4465456008911133,0.47873806953430176,0.5864670276641846,0.469052791595459,0.5835959911346436,0.5208604335784912,0.7867069244384766,0.6095132827758789,0.48169803619384766,0.7914495468139648,0.8064315319061279,0.8021993637084961,0.7959206104278564,0.4863300323486328,0.4837024211883545,0.477785587310791,0.7002608776092529,1.0607059001922607,0.5151340961456299,0.40822625160217285,0.4668304920196533,0.49964070320129395,0.43766260147094727,0.4460945129394531,0.4673597812652588,0.5574996471405029,0.6715312004089355,0.09455561637878418,0.05312967300415039,,0.05706977844238281,0.8285715579986572,0.3608131408691406,0.8054873943328857,0.45335841178894043,0.9188852310180664,0.24528980255126953,0.22331500053405762,0.3172783851623535,0.25823068618774414,0.09743452072143555,0.10620737075805664,0.09897637367248535,0.1063683032989502,0.10066652297973633,0.09505105018615723,0.10397481918334961,0.37206530570983887,0.6511819362640381,0.6901555061340332,0.4537038803100586,0.44741034507751465,0.46970534324645996,0.4366455078125,0.47222185134887695,0.4319427013397217,0.432253360748291,0.4696216583251953,0.47054243087768555,0.4620945453643799,0.4276134967803955,0.4444723129272461,0.4938771724700928,0.5806281566619873,0.59385085105896,0.5280897617340088,0.7952280044555664,0.7838492393493652,0.807441234588623,0.7939682006835938,0.807281494140625,0.48933863639831543,0.4795835018157959,0.4870421886444092,0.5188488960266113,0.3998727798461914,0.472489595413208,0.49591517448425293,0.43668222427368164,0.45162367820739746,0.46533823013305664,0.5870511531829834,0.6708765029907227
lapgyn4_anatomical_actions,0.17141342163085938,0.06424474716186523,0.05350065231323242,0.0,0.5234062671661377,0.5269575119018555,0.9158740043640137,0.4451630115509033,0.46381211280822754,0.928539514541626,0.3743734359741211,0.3527982234954834,0.5170583724975586,0.49738073348999023,1.0063791275024414,1.002079725265503,0.3443434238433838,0.32425880432128906,0.40727758407592773,0.34505128860473633,0.17002320289611816,0.16853690147399902,0.16615724563598633,0.16549253463745117,0.1665792465209961,0.1735389232635498,0.16451263427734375,0.5020153522491455,0.42157793045043945,0.5385568141937256,0.7538957595825195,0.63651442527771,0.7751610279083252,0.5200831890106201,0.5304410457611084,0.5451500415802002,0.5172743797302246,0.552457332611084,0.516575813293457,0.5169422626495361,0.5538666248321533,0.5447499752044678,0.5354018211364746,0.5085368156433105,0.5265195369720459,0.5556633472442627,0.6654856204986572,0.5607583522796631,0.6616380214691162,0.6192762851715088,0.8866825103759766,0.6770422458648682,0.558988094329834,0.8914170265197754,0.9060690402984619,0.901578426361084,0.8958697319030762,0.5756549835205078,0.5786492824554443,0.5725584030151367,0.7812216281890869,1.1529788970947266,0.5870780944824219,0.49099087715148926,0.5505127906799316,0.5657050609588623,0.510202169418335,0.5157523155212402,0.5448014736175537,0.6279497146606445,0.7656245231628418,0.16148614883422852,0.07653045654296875,0.05481910705566406,,0.9167704582214355,0.4531867504119873,0.8882226943969727,0.5269098281860352,0.9973537921905518,0.35217738151550293,0.3280467987060547,0.40729355812072754,0.341249942779541,0.1674518585205078,0.1780381202697754,0.1680142879486084,0.17810964584350586,0.16783547401428223,0.16333341598510742,0.17550349235534668,0.4359006881713867,0.7523119449615479,0.7721061706542969,0.5335290431976318,0.5282819271087646,0.5489711761474609,0.518425703048706,0.552032470703125,0.5141773223876953,0.515592098236084,0.5490541458129883,0.5481362342834473,0.5419328212738037,0.5098295211791992,0.5231425762176514,0.5722131729125977,0.6599016189575195,0.672532320022583,0.6256439685821533,0.8945925235748291,0.8839080333709717,0.9073998928070068,0.8937473297119141,0.9075024127960205,0.5784687995910645,0.5741441249847412,0.5810110569000244,0.5912773609161377,0.4834256172180176,0.5547759532928467,0.5614292621612549,0.5102496147155762,0.5213558673858643,0.5430722236633301,0.6577835083007812,0.765350341796875
sklin2_skin_lesions,0.43360328674316406,0.4589211940765381,0.4277167320251465,0.5234062671661377,0.0,0.44277453422546387,0.7348592281341553,0.4651205539703369,0.3990802764892578,0.7803258895874023,0.32353949546813965,0.3098268508911133,0.4475569725036621,0.41623616218566895,0.8753278255462646,0.8597574234008789,0.3153984546661377,0.3285999298095703,0.45275068283081055,0.4344503879547119,0.40746474266052246,0.4018900394439697,0.41032910346984863,0.41174912452697754,0.4023752212524414,0.40361905097961426,0.4081301689147949,0.17914175987243652,0.47151827812194824,0.36597752571105957,0.5865747928619385,0.31402587890625,0.6400039196014404,0.500903844833374,0.517632007598877,0.5357456207275391,0.5057046413421631,0.5414860248565674,0.5077483654022217,0.5043058395385742,0.5472762584686279,0.5398011207580566,0.5207271575927734,0.480604887008667,0.516681432723999,0.5485920906066895,0.6712961196899414,0.1791393756866455,0.6711874008178711,0.25662946701049805,0.6129031181335449,0.7208456993103027,0.5045902729034424,0.6178724765777588,0.6314237117767334,0.6269845962524414,0.625206470489502,0.44986581802368164,0.42023134231567383,0.4233894348144531,0.6242165565490723,0.9107480049133301,0.587651252746582,0.47394776344299316,0.5216851234436035,0.6074113845825195,0.5163154602050781,0.5252752304077148,0.5166535377502441,0.5206320285797119,0.49214911460876465,0.43367767333984375,0.46061038970947266,0.4375734329223633,0.5224416255950928,0.7363324165344238,0.47348952293395996,0.7453787326812744,0.45626187324523926,0.8693060874938965,0.3168981075286865,0.32597970962524414,0.4575788974761963,0.4339473247528076,0.40854382514953613,0.40082430839538574,0.4037437438964844,0.398700475692749,0.40560221672058105,0.39510679244995117,0.3977522850036621,0.4867575168609619,0.5833761692047119,0.6390149593353271,0.5212972164154053,0.5180394649505615,0.5393173694610596,0.5017461776733398,0.5385162830352783,0.49245429039001465,0.49083518981933594,0.5430433750152588,0.5414960384368896,0.5293805599212646,0.4834167957305908,0.5213484764099121,0.5667529106140137,0.6662003993988037,0.6825413703918457,0.263110876083374,0.6245625019073486,0.6120033264160156,0.6374495029449463,0.621572732925415,0.6340103149414062,0.45176076889038086,0.42005157470703125,0.4315683841705322,0.5905547142028809,0.46219897270202637,0.5311493873596191,0.6060054302215576,0.5132830142974854,0.5250539779663086,0.5124561786651611,0.5421979427337646,0.4895751476287842
identify_nbi_infframes,0.42337846755981445,0.4499831199645996,0.4331238269805908,0.5269575119018555,0.44277453422546387,0.0,0.5645298957824707,0.5321187973022461,0.39118385314941406,0.6512284278869629,0.3326237201690674,0.3231379985809326,0.4470641613006592,0.41091442108154297,0.7911686897277832,0.7707602977752686,0.38524770736694336,0.3834714889526367,0.4941749572753906,0.45075440406799316,0.42874813079833984,0.4244551658630371,0.4348025321960449,0.4347527027130127,0.42083072662353516,0.425403356552124,0.4333651065826416,0.380446195602417,0.4624490737915039,0.3876607418060303,0.5437605381011963,0.5026724338531494,0.6845252513885498,0.5213408470153809,0.5160093307495117,0.5244410037994385,0.5263888835906982,0.5260920524597168,0.5237059593200684,0.5206167697906494,0.532097578048706,0.5362648963928223,0.520512580871582,0.5040435791015625,0.5156934261322021,0.5296845436096191,0.6691627502441406,0.4158191680908203,0.6721591949462891,0.40532827377319336,0.7564775943756104,0.7626440525054932,0.5690596103668213,0.7598118782043457,0.7768352031707764,0.7716975212097168,0.7660300731658936,0.6213009357452393,0.5904381275177002,0.5887987613677979,0.5393531322479248,1.0176670551300049,0.5866429805755615,0.495128870010376,0.5094435214996338,0.6286695003509521,0.5049922466278076,0.5118839740753174,0.530245304107666,0.5814833641052246,0.6846168041229248,0.42753028869628906,0.44227051734924316,0.4411051273345947,0.5232105255126953,0.565603494644165,0.5333080291748047,0.6292495727539062,0.45148277282714844,0.7858567237854004,0.381211519241333,0.37422800064086914,0.5000827312469482,0.45195531845092773,0.43237972259521484,0.42083120346069336,0.4238741397857666,0.4264054298400879,0.42697691917419434,0.419466495513916,0.42156553268432617,0.4737257957458496,0.5413458347320557,0.6837866306304932,0.5349290370941162,0.5189785957336426,0.5297451019287109,0.5280942916870117,0.5219340324401855,0.5056271553039551,0.5057930946350098,0.5275487899780273,0.5403797626495361,0.5201404094696045,0.5120577812194824,0.5203607082366943,0.5468425750732422,0.6609718799591064,0.6812403202056885,0.4097623825073242,0.7660861015319824,0.7540616989135742,0.773193359375,0.7611804008483887,0.7758476734161377,0.6201596260070801,0.5864627361297607,0.6022810935974121,0.5889928340911865,0.48122143745422363,0.5246458053588867,0.6250665187835693,0.5035345554351807,0.5066220760345459,0.528188943862915,0.598135232925415,0.6817190647125244
laryngeal_tissues,0.832573413848877,0.858222484588623,0.827303409576416,0.9158740043640137,0.7348592281341553,0.5645298957824707,0.0,0.9013791084289551,0.6068432331085205,0.5164890289306641,0.539290189743042,0.5536627769470215,0.4994394779205322,0.4570918083190918,0.8489794731140137,0.8304080963134766,0.796903133392334,0.7899627685546875,0.8761439323425293,0.8672158718109131,0.8594310283660889,0.8536012172698975,0.8636472225189209,0.8650455474853516,0.8504538536071777,0.8574128150939941,0.8606894016265869,0.6528711318969727,0.8369758129119873,0.73580002784729,0.7729811668395996,0.7631897926330566,0.9918177127838135,0.9170980453491211,0.9157540798187256,0.9211571216583252,0.9256408214569092,0.9226431846618652,0.9211642742156982,0.9209389686584473,0.9303431510925293,0.9333927631378174,0.9178471565246582,0.9055936336517334,0.9080321788787842,0.9205186367034912,1.0341806411743164,0.7409276962280273,1.0397298336029053,0.6408560276031494,1.0795576572418213,1.1502206325531006,0.9080796241760254,1.0831992626190186,1.09812593460083,1.095491647720337,1.0923519134521484,0.9137115478515625,0.879589319229126,0.8819127082824707,0.8446753025054932,1.3275182247161865,0.9002053737640381,0.8646562099456787,0.8720238208770752,0.9700462818145752,0.8528077602386475,0.8444957733154297,0.8618075847625732,0.8832471370697021,1.0240826606750488,0.8362467288970947,0.8713667392730713,0.8347814083099365,0.9090218544006348,,0.9060420989990234,0.512535810470581,0.503894567489624,0.8473324775695801,0.7962963581085205,0.7841079235076904,0.8846909999847412,0.8698477745056152,0.8640480041503906,0.8516099452972412,0.8517026901245117,0.8550374507904053,0.8554644584655762,0.84505295753479,0.848308801651001,0.8534579277038574,0.773385763168335,0.9955179691314697,0.9320268630981445,0.919745922088623,0.9281249046325684,0.9262821674346924,0.9189350605010986,0.905388355255127,0.9064195156097412,0.9251654148101807,0.9341895580291748,0.9184467792510986,0.9111189842224121,0.9136388301849365,0.9431393146514893,1.0283560752868652,1.0491504669189453,0.6380593776702881,1.0884623527526855,1.0772895812988281,1.0972211360931396,1.0837037563323975,1.1002986431121826,0.9101459980010986,0.8762171268463135,0.8964974880218506,0.903179407119751,0.8533542156219482,0.8832957744598389,0.9692947864532471,0.8476824760437012,0.8365747928619385,0.8593020439147949,0.8981084823608398,1.0204856395721436
nerthus_bowel_cleansing_quality,0.36147475242614746,0.35616612434387207,0.35315561294555664,0.4451630115509033,0.4651205539703369,0.5321187973022461,0.9013791084289551,0.0,0.48879027366638184,0.8669114112854004,0.3627281188964844,0.33864808082580566,0.49123191833496094,0.46216464042663574,0.9593276977539062,0.9515419006347656,0.18942856788635254,0.1597919464111328,0.07984709739685059,0.16348648071289062,0.27999401092529297,0.27171802520751953,0.27393078804016113,0.28261423110961914,0.27165770530700684,0.2757582664489746,0.2771475315093994,0.44870638847351074,0.2882068157196045,0.5031619071960449,0.7144520282745361,0.6299207210540771,0.6605117321014404,0.4702341556549072,0.4689202308654785,0.4817483425140381,0.46127891540527344,0.4865291118621826,0.4623405933380127,0.45977234840393066,0.48973774909973145,0.4892845153808594,0.47324633598327637,0.44954895973205566,0.47973036766052246,0.49671339988708496,0.6529860496520996,0.5004022121429443,0.6492142677307129,0.5703933238983154,0.7584681510925293,0.6734621524810791,0.4473280906677246,0.7653779983520508,0.7783632278442383,0.777214527130127,0.7676956653594971,0.3736913204193115,0.3562510013580322,0.34994959831237793,0.743722677230835,1.0401325225830078,0.5492565631866455,0.39208316802978516,0.44899964332580566,0.5379362106323242,0.4593632221221924,0.4508044719696045,0.46065735816955566,0.6700587272644043,0.6270146369934082,0.3595466613769531,0.3778979778289795,0.3603191375732422,0.4448421001434326,0.9047205448150635,,0.8248450756072998,0.49536800384521484,0.9509739875793457,0.2017371654510498,0.17719435691833496,0.07834005355834961,0.16289520263671875,0.2783675193786621,0.27166247367858887,0.27594733238220215,0.27222609519958496,0.2710254192352295,0.2739415168762207,0.27227067947387695,0.29593753814697266,0.7129881381988525,0.6532442569732666,0.4905219078063965,0.46862053871154785,0.48528170585632324,0.463376522064209,0.48221588134765625,0.4570488929748535,0.4543640613555908,0.4888124465942383,0.4984121322631836,0.4770188331604004,0.44838404655456543,0.47682905197143555,0.5080993175506592,0.644540548324585,0.6595401763916016,0.5789134502410889,0.7686145305633545,0.7566783428192139,0.7782433032989502,0.7680368423461914,0.7786355018615723,0.37740635871887207,0.35677647590637207,0.35585498809814453,0.5546057224273682,0.38257384300231934,0.4546651840209961,0.5337774753570557,0.4589557647705078,0.4623532295227051,0.4606175422668457,0.7000412940979004,0.6265974044799805
stanford_dogs_image_categorization,0.41367483139038086,0.41285109519958496,0.39316415786743164,0.46381211280822754,0.3990802764892578,0.39118385314941406,0.6068432331085205,0.48879027366638184,0.0,0.6213808059692383,0.13303446769714355,0.13564157485961914,0.22711467742919922,0.2384181022644043,0.7278528213500977,0.7218070030212402,0.3918485641479492,0.38978147506713867,0.46501803398132324,0.42771434783935547,0.4294857978820801,0.42124032974243164,0.4299640655517578,0.43186092376708984,0.42065954208374023,0.4288496971130371,0.4278898239135742,0.3688170909881592,0.46129322052001953,0.35651111602783203,0.5291628837585449,0.4686853885650635,0.5895283222198486,0.5003557205200195,0.500382661819458,0.5115540027618408,0.5040607452392578,0.5149621963500977,0.5016906261444092,0.4996328353881836,0.5193703174591064,0.5183291435241699,0.5080611705780029,0.4914672374725342,0.49592041969299316,0.5156216621398926,0.6138210296630859,0.4213864803314209,0.6173355579376221,0.4496750831604004,0.7063755989074707,0.6881096363067627,0.4573049545288086,0.7101669311523438,0.725776195526123,0.7209038734436035,0.7170500755310059,0.5168261528015137,0.48526978492736816,0.48574161529541016,0.5603010654449463,0.9421989917755127,0.49428462982177734,0.441974401473999,0.4519791603088379,0.5472767353057861,0.4229714870452881,0.43771934509277344,0.446943998336792,0.49119067192077637,0.6218960285186768,0.4108860492706299,0.421586275100708,0.39839839935302734,0.46131324768066406,0.6054201126098633,0.49356532096862793,0.5866274833679199,0.23832225799560547,0.7208497524261475,0.39280104637145996,0.3865211009979248,0.46756672859191895,0.4301578998565674,0.431398868560791,0.42644596099853516,0.42317724227905273,0.42264628410339355,0.42320752143859863,0.4166417121887207,0.4185218811035156,0.47501492500305176,0.5278720855712891,0.5916805267333984,0.5145304203033447,0.5048747062683105,0.5186769962310791,0.5055840015411377,0.5099663734436035,0.4921302795410156,0.48944711685180664,0.5121219158172607,0.5199220180511475,0.5095007419586182,0.49394702911376953,0.4980790615081787,0.5362119674682617,0.6084403991699219,0.6271829605102539,0.45600390434265137,0.7131025791168213,0.7040798664093018,0.7244031429290771,0.7109105587005615,0.7271089553833008,0.5150856971740723,0.4835197925567627,0.49755358695983887,0.4947509765625,0.432910680770874,0.45679569244384766,0.5463080406188965,0.4172348976135254,0.43717408180236816,0.44458436965942383,0.508380651473999,0.6186702251434326
svhn,0.8705563545227051,0.8721094131469727,0.8443112373352051,0.928539514541626,0.7803258895874023,0.6512284278869629,0.5164890289306641,0.8669114112854004,0.6213808059692383,0.0,0.5336709022521973,0.5314693450927734,0.36157774925231934,0.30901241302490234,0.6295680999755859,0.6138443946838379,0.7975685596466064,0.7915313243865967,0.8570113182067871,0.8285338878631592,0.8464169502258301,0.8403208255767822,0.8501501083374023,0.8546023368835449,0.8378117084503174,0.8448045253753662,0.8468797206878662,0.732022762298584,0.8180639743804932,0.7551217079162598,0.7797980308532715,0.8819470405578613,0.9671835899353027,0.8719806671142578,0.8710534572601318,0.877004861831665,0.8759927749633789,0.8794879913330078,0.8742263317108154,0.8728280067443848,0.8842647075653076,0.8867645263671875,0.8719062805175781,0.8595855236053467,0.8623418807983398,0.878312349319458,0.9855785369873047,0.7959120273590088,0.9892640113830566,0.7770395278930664,1.079902172088623,1.0981988906860352,0.8456780910491943,1.0841541290283203,1.0990712642669678,1.0959858894348145,1.0915966033935547,0.8929426670074463,0.857081413269043,0.8586924076080322,0.8998806476593018,1.3216931819915771,0.8133866786956787,0.8007428646087646,0.795600414276123,0.8926067352294922,0.7676575183868408,0.7459056377410889,0.7763230800628662,0.9268479347229004,1.0113532543182373,0.8744430541992188,0.8706188201904297,0.8517162799835205,0.9200074672698975,0.517606258392334,0.8704628944396973,,0.3457677364349365,0.6250095367431641,0.7974932193756104,0.7873396873474121,0.8619351387023926,0.8332600593566895,0.8507654666900635,0.8378534317016602,0.8391773700714111,0.8391549587249756,0.8398370742797852,0.8344752788543701,0.8336050510406494,0.831718921661377,0.7822222709655762,0.9661548137664795,0.8867213726043701,0.8730428218841553,0.8818907737731934,0.8786828517913818,0.8746523857116699,0.859321117401123,0.8596372604370117,0.8812527656555176,0.8889052867889404,0.8731415271759033,0.8642866611480713,0.865487813949585,0.898165225982666,0.9790635108947754,0.9990811347961426,0.7803478240966797,1.0886828899383545,1.0771093368530273,1.096606969833374,1.0842394828796387,1.1002790927886963,0.8896934986114502,0.8533732891082764,0.8721694946289062,0.8175957202911377,0.7924983501434326,0.8030641078948975,0.891726016998291,0.7640767097473145,0.7367370128631592,0.7781856060028076,0.9449942111968994,1.0086159706115723
