,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.22421550750732422,0.2705245018005371,0.49014854431152344,1.4053478240966797,1.255323886871338,2.541219711303711,1.1588263511657715,1.5614323616027832,2.7479562759399414,1.2156038284301758,1.1494617462158203,1.8265652656555176,1.7152414321899414,2.8711791038513184,2.9428253173828125,0.624239444732666,0.5867586135864258,0.8878850936889648,0.7822055816650391,0.44745492935180664,0.4654197692871094,0.4576883316040039,0.45244407653808594,0.4562506675720215,0.46681833267211914,0.4494819641113281,1.3774394989013672,1.3171501159667969,1.4857454299926758,1.9996585845947266,1.7784948348999023,2.355020523071289,1.5468058586120605,1.5781517028808594,1.6548914909362793,1.5548782348632812,1.6548447608947754,1.5434694290161133,1.5180621147155762,1.6572694778442383,1.6214661598205566,1.5870847702026367,1.5032873153686523,1.550661563873291,1.6806097030639648,1.9790544509887695,1.5404353141784668,1.9923028945922852,1.612617015838623,2.519819736480713,2.0734663009643555,1.8283600807189941,2.5497612953186035,2.5524635314941406,2.588578224182129,2.522347927093506,1.7637076377868652,1.7709522247314453,1.7790141105651855,2.2650580406188965,3.2441983222961426,2.034006118774414,1.5304927825927734,1.7975044250488281,1.8622255325317383,1.7975726127624512,1.767284870147705,1.8505120277404785,1.9166383743286133,2.3455610275268555,,0.2978487014770508,0.2687110900878906,0.523468017578125,2.5431571006774902,1.1594023704528809,2.762139320373535,1.8192028999328613,2.844295024871826,0.6220765113830566,0.5695147514343262,0.9337368011474609,0.7799215316772461,0.4731593132019043,0.4661126136779785,0.47643280029296875,0.5004062652587891,0.4449944496154785,0.4508986473083496,0.47338294982910156,1.3188886642456055,2.0252485275268555,2.349216938018799,1.588700294494629,1.5693817138671875,1.6281299591064453,1.5342307090759277,1.6526360511779785,1.5449776649475098,1.4935860633850098,1.6260747909545898,1.6403050422668457,1.5978384017944336,1.4965591430664062,1.6016058921813965,1.6900711059570312,1.9684648513793945,1.976114273071289,1.5771198272705078,2.5603795051574707,2.529179096221924,2.5426836013793945,2.5692567825317383,2.5549769401550293,1.7638797760009766,1.808030128479004,1.7628331184387207,2.0789270401000977,1.519831657409668,1.8024964332580566,1.8323378562927246,1.798591136932373,1.7707867622375488,1.8576231002807617,1.858264446258545,2.3939194679260254
lapgyn4_surgical_actions,0.22421550750732422,0.0,0.08899545669555664,0.15014266967773438,1.5862054824829102,1.4134941101074219,2.729977607727051,1.1962852478027344,1.6788272857666016,2.8246841430664062,1.2487754821777344,1.1592063903808594,1.856710433959961,1.755946159362793,2.898970603942871,2.990814685821533,0.7946758270263672,0.7713713645935059,0.9705328941345215,0.8030810356140137,0.3301219940185547,0.33864736557006836,0.3249320983886719,0.32489871978759766,0.3240232467651367,0.34938907623291016,0.3158602714538574,1.5030632019042969,1.1949968338012695,1.6410579681396484,2.2096171379089355,2.052405834197998,2.4177417755126953,1.5732455253601074,1.595165729522705,1.6690239906311035,1.5801239013671875,1.6734085083007812,1.567143440246582,1.5552887916564941,1.6724586486816406,1.636566162109375,1.6123700141906738,1.5336718559265137,1.5733766555786133,1.6891260147094727,2.045039653778076,1.6978092193603516,2.0461621284484863,1.838146686553955,2.6638903617858887,2.0523242950439453,1.7742481231689453,2.6904354095458984,2.691647529602051,2.72721004486084,2.667942523956299,1.7349658012390137,1.7869410514831543,1.800682544708252,2.3069405555725098,3.340548515319824,1.9146714210510254,1.5026559829711914,1.770756721496582,1.7508621215820312,1.6920232772827148,1.6777987480163574,1.7690305709838867,1.998548984527588,2.447767734527588,0.22319746017456055,,0.088287353515625,0.16661691665649414,2.7326035499572754,1.1936960220336914,2.8365745544433594,1.8579959869384766,2.8734331130981445,0.8210954666137695,0.7371306419372559,1.0064783096313477,0.7972159385681152,0.336789608001709,0.3364543914794922,0.35298919677734375,0.374661922454834,0.3179941177368164,0.3336014747619629,0.3474769592285156,1.1880908012390137,2.2375612258911133,2.4117236137390137,1.6039190292358398,1.5853557586669922,1.644214153289795,1.5722522735595703,1.6686716079711914,1.569575309753418,1.526535987854004,1.6464662551879883,1.652261734008789,1.6227374076843262,1.5245370864868164,1.6201486587524414,1.6953973770141602,2.029285430908203,2.0344300270080566,1.7980480194091797,2.7021031379699707,2.667356491088867,2.6817216873168945,2.709139823913574,2.6982035636901855,1.735306739807129,1.8239574432373047,1.7852168083190918,1.964444637298584,1.4843578338623047,1.778585433959961,1.7256860733032227,1.6933603286743164,1.6847419738769531,1.776200294494629,1.9443721771240234,2.49477481842041
lapgyn4_instrument_count,0.2705245018005371,0.08899545669555664,0.0,0.1065821647644043,1.4602303504943848,1.3509998321533203,2.5950517654418945,1.1867260932922363,1.5618972778320312,2.704141139984131,1.1471223831176758,1.0613632202148438,1.7676572799682617,1.6665797233581543,2.763673782348633,2.8428735733032227,0.7682814598083496,0.7433547973632812,0.9996237754821777,0.8892173767089844,0.26709556579589844,0.28901004791259766,0.27118635177612305,0.2738614082336426,0.27345752716064453,0.2913627624511719,0.2638702392578125,1.4337687492370605,1.2607593536376953,1.6427960395812988,2.076815128326416,1.9199390411376953,2.360045909881592,1.578390121459961,1.6153793334960938,1.6945414543151855,1.5891237258911133,1.6967878341674805,1.577162265777588,1.5601305961608887,1.6955695152282715,1.6563692092895508,1.626145362854004,1.5358800888061523,1.583852767944336,1.716078281402588,2.006683349609375,1.640915870666504,2.0205163955688477,1.7832908630371094,2.49198579788208,2.0776233673095703,1.759608268737793,2.51993465423584,2.521413803100586,2.5548171997070312,2.495687484741211,1.634535312652588,1.70701265335083,1.7204713821411133,2.283329963684082,3.1709823608398438,1.848428726196289,1.4474611282348633,1.6618642807006836,1.7435989379882812,1.604729175567627,1.6146788597106934,1.691319465637207,1.9457359313964844,2.3003158569335938,0.25960874557495117,0.11109113693237305,,0.13440227508544922,2.597655773162842,1.1872401237487793,2.7156271934509277,1.7734947204589844,2.737204074859619,0.7922821044921875,0.7042441368103027,1.0405006408691406,0.882199764251709,0.28622961044311523,0.28450870513916016,0.30407142639160156,0.3174471855163574,0.26920318603515625,0.2804446220397949,0.28319883346557617,1.260324478149414,2.1027708053588867,2.355118751525879,1.611968994140625,1.6086912155151367,1.6634702682495117,1.577775001525879,1.6892576217651367,1.5766963958740234,1.5315675735473633,1.6677322387695312,1.6776714324951172,1.6386852264404297,1.5260934829711914,1.6370739936828613,1.723935604095459,1.9974079132080078,2.0068359375,1.7451386451721191,2.530074119567871,2.4970717430114746,2.5106616020202637,2.5382604598999023,2.5263490676879883,1.6362299919128418,1.7401466369628906,1.7058939933776855,1.8943214416503906,1.4282517433166504,1.6672062873840332,1.7138605117797852,1.6108059883117676,1.620795726776123,1.6948051452636719,1.8923940658569336,2.3461475372314453
lapgyn4_anatomical_actions,0.49014854431152344,0.15014266967773438,0.1065821647644043,0.0,1.8306283950805664,1.7019834518432617,2.938673496246338,1.5226497650146484,1.8380699157714844,3.02677059173584,1.4091572761535645,1.3211097717285156,2.051419734954834,1.9601898193359375,3.0733795166015625,3.16532564163208,1.154038429260254,1.1179203987121582,1.321664810180664,1.1847381591796875,0.5050263404846191,0.5213432312011719,0.4957404136657715,0.5008139610290527,0.5020170211791992,0.5362215042114258,0.48528194427490234,1.7660436630249023,1.4887280464172363,1.9780588150024414,2.4745631217956543,2.2961034774780273,2.6751952171325684,1.8664741516113281,1.9010086059570312,1.9753732681274414,1.8797245025634766,1.9830632209777832,1.865121841430664,1.8585104942321777,1.97963285446167,1.9369182586669922,1.9154605865478516,1.8346195220947266,1.8673596382141113,1.9888124465942383,2.3044581413269043,1.9795856475830078,2.312532424926758,2.1367721557617188,2.8974905014038086,2.3106689453125,2.068815231323242,2.9260549545288086,2.9246644973754883,2.9569320678710938,2.899156093597412,1.9746379852294922,2.0653953552246094,2.080397129058838,2.5915660858154297,3.5446691513061523,2.113476276397705,1.7563467025756836,1.9718589782714844,1.9729056358337402,1.8756084442138672,1.865105152130127,1.9797000885009766,2.221534252166748,2.6815285682678223,0.4815340042114258,0.1791071891784668,0.10233020782470703,,2.9430665969848633,1.520986557006836,3.041167736053467,2.057668685913086,3.0468297004699707,1.1863231658935547,1.0768499374389648,1.3627686500549316,1.1743392944335938,0.5184116363525391,0.5157394409179688,0.5413374900817871,0.5600733757019043,0.49546289443969727,0.5162920951843262,0.519350528717041,1.4824509620666504,2.5018372535705566,2.6717495918273926,1.8938250541687012,1.8943119049072266,1.9514636993408203,1.873204231262207,1.9759140014648438,1.863703727722168,1.8295507431030273,1.953653335571289,1.9496254920959473,1.9260854721069336,1.825632095336914,1.910848617553711,1.997452735900879,2.2934117317199707,2.298459529876709,2.0983572006225586,2.9308056831359863,2.897751808166504,2.9146571159362793,2.939143657684326,2.9289770126342773,1.9763851165771484,2.100330352783203,2.0640869140625,2.162534236907959,1.7338600158691406,1.980356216430664,1.946943759918213,1.882758617401123,1.8734130859375,1.9822282791137695,2.1703577041625977,2.727566719055176
sklin2_skin_lesions,1.4053478240966797,1.5862054824829102,1.4602303504943848,1.8306283950805664,0.0,1.2281923294067383,2.0497493743896484,1.4762392044067383,1.4427952766418457,2.2731456756591797,1.0820965766906738,1.0266036987304688,1.6334590911865234,1.4930992126464844,2.4032444953918457,2.4175539016723633,0.9304466247558594,1.0107550621032715,1.4096240997314453,1.4637928009033203,1.3350849151611328,1.3531484603881836,1.3454174995422363,1.363499641418457,1.3911714553833008,1.3096590042114258,1.3591337203979492,0.4294090270996094,1.5839333534240723,1.1641407012939453,1.6474394798278809,0.8842225074768066,1.9781408309936523,1.7254619598388672,1.7744369506835938,1.855825424194336,1.7334771156311035,1.846109390258789,1.7110471725463867,1.6765871047973633,1.845839023590088,1.8337736129760742,1.7622809410095215,1.625941276550293,1.7596921920776367,1.8869991302490234,2.219977378845215,0.46639490127563477,2.2620272636413574,0.6791725158691406,1.6288905143737793,2.4210472106933594,1.688194751739502,1.6672983169555664,1.6781773567199707,1.6867179870605469,1.635754108428955,1.3475241661071777,1.3161792755126953,1.3351311683654785,1.8089370727539062,2.353950023651123,2.0098519325256348,1.581101894378662,1.7657370567321777,2.0753931999206543,1.8036437034606934,1.8103313446044922,1.759469985961914,1.6493816375732422,1.394270420074463,1.3776650428771973,1.6195015907287598,1.4815244674682617,1.8565864562988281,2.0599541664123535,1.5069470405578613,2.2884573936462402,1.6457862854003906,2.375333309173584,0.9454898834228516,0.9782686233520508,1.4532208442687988,1.4754271507263184,1.3411388397216797,1.3813600540161133,1.369100570678711,1.3611164093017578,1.3816618919372559,1.3607873916625977,1.2961397171020508,1.6249008178710938,1.6842002868652344,1.9710969924926758,1.7733111381530762,1.7736234664916992,1.8153753280639648,1.7087836265563965,1.8215713500976562,1.7211594581604004,1.6591272354125977,1.8260889053344727,1.861621379852295,1.7827496528625488,1.6386995315551758,1.851330280303955,1.8850698471069336,2.2259678840637207,2.251966953277588,0.6575345993041992,1.6699066162109375,1.6400666236877441,1.6568598747253418,1.677058219909668,1.656355857849121,1.3504447937011719,1.3194103240966797,1.3174991607666016,2.0493531227111816,1.5694694519042969,1.7632241249084473,2.0403709411621094,1.8140316009521484,1.813382625579834,1.7437076568603516,1.605025291442871,1.429187297821045
identify_nbi_infframes,1.255323886871338,1.4134941101074219,1.3509998321533203,1.7019834518432617,1.2281923294067383,0.0,1.3176159858703613,1.6269817352294922,1.232396125793457,1.647822380065918,0.9705896377563477,0.9227170944213867,1.4216318130493164,1.2758474349975586,1.9546289443969727,1.9369163513183594,1.0821857452392578,1.095177173614502,1.471848487854004,1.3934741020202637,1.291865348815918,1.3189916610717773,1.3090038299560547,1.330538272857666,1.354426383972168,1.2780876159667969,1.3418803215026855,1.006105899810791,1.3767094612121582,1.063985824584961,1.3654589653015137,1.4252886772155762,2.029557228088379,1.5851335525512695,1.5755209922790527,1.6090755462646484,1.6221933364868164,1.580404281616211,1.5667142868041992,1.5657696723937988,1.5730843544006348,1.6074657440185547,1.5505852699279785,1.5606613159179688,1.561605453491211,1.6101932525634766,2.0067849159240723,1.1371936798095703,2.077695846557617,1.0453057289123535,2.0556907653808594,2.399966239929199,1.8293390274047852,2.0716447830200195,2.082821846008301,2.1103248596191406,2.065983295440674,1.8807644844055176,1.8773880004882812,1.9000215530395508,1.3376421928405762,2.6698789596557617,1.846207618713379,1.5043535232543945,1.558476448059082,2.009321689605713,1.6020193099975586,1.6006603240966797,1.6709251403808594,1.6642789840698242,2.0292773246765137,1.228759765625,1.4202427864074707,1.361680507659912,1.7207794189453125,1.3125543594360352,1.677990436553955,1.6843585968017578,1.435567855834961,1.9257316589355469,1.0731744766235352,1.0780057907104492,1.5126185417175293,1.4120912551879883,1.3056483268737793,1.3283042907714844,1.3615150451660156,1.3553757667541504,1.3326916694641113,1.3379011154174805,1.2555456161499023,1.4278850555419922,1.4321322441101074,2.031628131866455,1.6212635040283203,1.5669631958007812,1.5778765678405762,1.5998725891113281,1.552018165588379,1.5674657821655273,1.5373263359069824,1.57159423828125,1.6442465782165527,1.5578961372375488,1.5725765228271484,1.6350841522216797,1.6189112663269043,2.018857479095459,2.0637764930725098,1.026756763458252,2.0821361541748047,2.063394546508789,2.066995620727539,2.0917787551879883,2.0842533111572266,1.900655746459961,1.8854303359985352,1.8715715408325195,1.8783812522888184,1.4866809844970703,1.5796098709106445,1.9637665748596191,1.6150169372558594,1.586054801940918,1.6478300094604492,1.6413965225219727,2.062793254852295
laryngeal_tissues,2.541219711303711,2.729977607727051,2.5950517654418945,2.938673496246338,2.0497493743896484,1.3176159858703613,0.0,2.757091999053955,1.7050890922546387,1.0321769714355469,1.384047508239746,1.4431004524230957,1.2487196922302246,1.098637580871582,1.8915698528289795,1.8621926307678223,2.3825249671936035,2.3777213096618652,2.65447998046875,2.757951259613037,2.6917152404785156,2.72908353805542,2.7115912437438965,2.7402291297912598,2.7715067863464355,2.671414375305176,2.7395238876342773,1.7458086013793945,2.544959545135498,2.1335396766662598,1.9270174503326416,2.1274919509887695,2.8887999057769775,2.871358871459961,2.8898520469665527,2.903956890106201,2.9330596923828125,2.875840187072754,2.871953010559082,2.8794212341308594,2.860623836517334,2.8964781761169434,2.8489537239074707,2.8751397132873535,2.8381032943725586,2.887507438659668,3.1501622200012207,2.0646867752075195,3.244997024536133,1.620884895324707,2.9682061672210693,3.697488784790039,2.8500938415527344,2.9843852519989014,2.989668607711792,3.0135624408721924,2.9851276874542236,2.6900558471679688,2.675692081451416,2.7121829986572266,2.1628406047821045,3.5209500789642334,2.748776912689209,2.6466569900512695,2.652350902557373,3.0462093353271484,2.618154525756836,2.561516761779785,2.633943557739258,2.5177724361419678,3.0257723331451416,2.5101890563964844,2.8357577323913574,2.6154932975769043,2.9517602920532227,,2.8196606636047363,1.081644058227539,1.23881196975708,1.8584771156311035,2.3779993057250977,2.369871139526367,2.702991008758545,2.7682995796203613,2.7054247856140137,2.7455763816833496,2.7788567543029785,2.762645721435547,2.744426727294922,2.748702049255371,2.6422362327575684,2.598616600036621,1.9744889736175537,2.885340929031372,2.922333240509033,2.882391929626465,2.869511127471924,2.9161596298217773,2.8452248573303223,2.8765697479248047,2.85978364944458,2.8719654083251953,2.9318275451660156,2.8532724380493164,2.896627902984619,2.9093103408813477,2.9039649963378906,3.1755363941192627,3.2247533798217773,1.6018195152282715,2.9841740131378174,2.977458953857422,2.9871723651885986,3.0010101795196533,2.992523670196533,2.712151527404785,2.6848840713500977,2.6833229064941406,2.7710466384887695,2.6414103507995605,2.672736167907715,3.004826545715332,2.6475419998168945,2.5560622215270996,2.6085662841796875,2.498579978942871,3.0544097423553467
nerthus_bowel_cleansing_quality,1.1588263511657715,1.1962852478027344,1.1867260932922363,1.5226497650146484,1.4762392044067383,1.6269817352294922,2.757091999053955,0.0,1.8493785858154297,2.633695602416992,1.267374038696289,1.1720466613769531,1.811180591583252,1.6789708137512207,2.7317209243774414,2.798426628112793,0.5595626831054688,0.4529261589050293,0.1819019317626953,0.4760251045227051,0.8714914321899414,0.8485269546508789,0.8570480346679688,0.8692817687988281,0.8749904632568359,0.8326506614685059,0.8662939071655273,1.4332542419433594,0.8846263885498047,1.7353167533874512,2.172152042388916,2.158022403717041,2.0692009925842285,1.5720062255859375,1.5423884391784668,1.619828224182129,1.5606107711791992,1.5911774635314941,1.5371026992797852,1.5213165283203125,1.6044707298278809,1.6130037307739258,1.5662341117858887,1.4984440803527832,1.5656161308288574,1.6476597785949707,2.1639328002929688,1.6104326248168945,2.163715362548828,1.8422093391418457,2.2026772499084473,2.2095632553100586,1.4862775802612305,2.2199316024780273,2.2282676696777344,2.264589786529541,2.2128005027770996,1.0672764778137207,1.05454683303833,1.0576696395874023,2.3225979804992676,2.895979881286621,1.8381757736206055,1.2386631965637207,1.4422354698181152,1.7682723999023438,1.5581684112548828,1.4953866004943848,1.50897216796875,2.3255410194396973,1.959580898284912,1.1616802215576172,1.2783193588256836,1.1867480278015137,1.5581631660461426,2.760847568511963,,2.634613037109375,1.814021110534668,2.7125134468078613,0.5661129951477051,0.4659299850463867,0.188568115234375,0.4501032829284668,0.8451781272888184,0.881523609161377,0.8757658004760742,0.8723855018615723,0.890775203704834,0.8615946769714355,0.8431291580200195,0.8851971626281738,2.217069149017334,2.053701400756836,1.6020946502685547,1.5549397468566895,1.5676078796386719,1.5628085136413574,1.583390712738037,1.550987720489502,1.485356330871582,1.5907955169677734,1.6474556922912598,1.585400104522705,1.4856176376342773,1.6386327743530273,1.6404261589050293,2.143655776977539,2.150932788848877,1.8096418380737305,2.2536163330078125,2.2142410278320312,2.215786933898926,2.2462921142578125,2.231934070587158,1.0609283447265625,1.0963668823242188,1.0479307174682617,1.88322114944458,1.209951400756836,1.4498085975646973,1.7254362106323242,1.5486021041870117,1.5024595260620117,1.5065813064575195,2.268740177154541,1.992906093597412
stanford_dogs_image_categorization,1.5614323616027832,1.6788272857666016,1.5618972778320312,1.8380699157714844,1.4427952766418457,1.232396125793457,1.7050890922546387,1.8493785858154297,0.0,1.828256607055664,0.4628028869628906,0.4719052314758301,0.8894329071044922,0.9456591606140137,1.9887113571166992,2.050124168395996,1.4722366333007812,1.5083284378051758,1.71354341506958,1.718827724456787,1.6858010292053223,1.718553066253662,1.688239574432373,1.7197661399841309,1.747389316558838,1.66654634475708,1.7067666053771973,1.3177099227905273,1.8216266632080078,1.3430304527282715,1.617006778717041,1.6680378913879395,2.0027379989624023,1.9626045227050781,1.9893131256103516,2.016019344329834,2.0177016258239746,2.0058746337890625,1.9703845977783203,1.969059944152832,2.000032424926758,2.0079126358032227,1.9770989418029785,1.9641022682189941,1.9391889572143555,2.024606704711914,2.241830825805664,1.5123376846313477,2.2967472076416016,1.509861946105957,2.2426795959472656,2.5624642372131348,1.7710094451904297,2.2600555419921875,2.267195701599121,2.285329818725586,2.2396888732910156,1.8741722106933594,1.8384408950805664,1.8707327842712402,1.7621030807495117,2.7546496391296387,1.8629894256591797,1.6947708129882812,1.6981711387634277,2.0922985076904297,1.6353302001953125,1.6819448471069336,1.7211322784423828,1.6747703552246094,2.1733884811401367,1.5415573120117188,1.724466323852539,1.5638999938964844,1.8562297821044922,1.715897560119629,1.8943805694580078,1.84944486618042,0.9070496559143066,1.9620227813720703,1.4863700866699219,1.4866724014282227,1.7580022811889648,1.722395896911621,1.6918144226074219,1.7361397743225098,1.7582530975341797,1.7452945709228516,1.7304115295410156,1.7399024963378906,1.6448702812194824,1.8460206985473633,1.6570262908935547,1.9966459274291992,2.0193214416503906,1.9889326095581055,2.004044532775879,1.9985284805297852,1.9948949813842773,1.9810314178466797,1.9371099472045898,1.988358497619629,2.036078929901123,1.9802803993225098,1.9654288291931152,1.996640682220459,2.04728364944458,2.2479166984558105,2.276764392852783,1.4931135177612305,2.257783889770508,2.246354103088379,2.263554573059082,2.2685537338256836,2.2617273330688477,1.8901276588439941,1.8601298332214355,1.8383235931396484,1.8992514610290527,1.689096450805664,1.706817626953125,2.0507116317749023,1.651073932647705,1.669116497039795,1.6901435852050781,1.653745174407959,2.194046974182129
svhn,2.7479562759399414,2.8246841430664062,2.704141139984131,3.02677059173584,2.2731456756591797,1.647822380065918,1.0321769714355469,2.633695602416992,1.828256607055664,0.0,1.4014043807983398,1.3948969841003418,0.7227091789245605,0.5788669586181641,1.2277491092681885,1.2178993225097656,2.42398738861084,2.430233955383301,2.5920629501342773,2.631150245666504,2.6700005531311035,2.698310375213623,2.6843347549438477,2.716520309448242,2.743244171142578,2.644259452819824,2.710049629211426,2.091785430908203,2.492332935333252,2.2539310455322266,1.9767539501190186,2.6471080780029297,2.8228883743286133,2.706291675567627,2.717288017272949,2.7490763664245605,2.76202392578125,2.7118372917175293,2.7033514976501465,2.721978187561035,2.703232765197754,2.7256546020507812,2.6963844299316406,2.7115554809570312,2.6680097579956055,2.7354736328125,2.99003267288208,2.327394485473633,3.0606231689453125,2.1606316566467285,3.027282953262329,3.4842514991760254,2.593672275543213,3.038527250289917,3.046435594558716,3.072939157485962,3.037015199661255,2.6372032165527344,2.6084704399108887,2.6467947959899902,2.4142801761627197,3.5496623516082764,2.3969969749450684,2.4057607650756836,2.347850799560547,2.7331528663635254,2.276401996612549,2.156599521636963,2.3038406372070312,2.7561235427856445,3.0266971588134766,2.716306686401367,2.8478240966796875,2.7106857299804688,3.0281476974487305,1.0238440036773682,2.6967830657958984,,0.7350125312805176,1.2172307968139648,2.4223361015319824,2.419015407562256,2.627530574798584,2.648791790008545,2.6713032722473145,2.7139439582824707,2.7488832473754883,2.7230944633483887,2.724346160888672,2.731006622314453,2.616429328918457,2.546380043029785,2.0215771198272705,2.8202033042907715,2.744532585144043,2.718618869781494,2.7067995071411133,2.749998092651367,2.6903018951416016,2.7120823860168457,2.6872148513793945,2.714320182800293,2.7686290740966797,2.7007269859313965,2.7218923568725586,2.730757236480713,2.7450408935546875,3.0102176666259766,3.042959213256836,2.1406707763671875,3.0416977405548096,3.035740375518799,3.0425922870635986,3.0567076206207275,3.04632568359375,2.658634662628174,2.615968704223633,2.613433361053467,2.423579692840576,2.397447109222412,2.3684492111206055,2.6874732971191406,2.303765296936035,2.1432323455810547,2.269913673400879,2.733562469482422,3.0512473583221436
