,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.019999999552965164,0.020000115036964417,0.019999969750642776,0.019999943673610687,0.020010069012641907,0.020001370459794998,0.01999998837709427,0.019999943673610687,0.02000005915760994,0.02000001072883606,0.019999884068965912,0.0199999138712883,0.019999925047159195,0.020000014454126358,0.02000012807548046,0.01999983936548233,0.020000219345092773,0.01999996230006218,0.020000096410512924,0.020000066608190536,0.0200001522898674,0.019999969750642776,0.020000005140900612,0.019999932497739792,0.02000005543231964,0.02000010758638382,0.019999973475933075,0.019999902695417404,0.020000021904706955,0.01999996230006218,0.020073439925909042,0.019999956712126732,0.019999895244836807,0.019999969750642776,0.020000021904706955,0.019999902695417404,0.020000077784061432,0.019999871030449867,0.020000047981739044,0.019999980926513672,0.020000040531158447,0.019999921321868896,0.019999999552965164,0.019999956712126732,0.020000163465738297,0.019999753683805466,0.020002271980047226,0.0200001522898674,0.02000001072883606,0.019999876618385315,0.020000029355287552,0.020000072196125984,0.020008109509944916,0.019999921321868896,0.020000029355287552,0.020000599324703217,0.019999876618385315,0.020000141113996506,0.019999857991933823,0.019999884068965912,0.020000025629997253,0.019999992102384567,0.020000018179416656,0.02000436931848526,0.020000047981739044,0.019999895244836807,0.02000005543231964,0.020000018179416656,0.02000005543231964,0.020000115036964417,,0.02000005915760994,0.019999969750642776,0.019999973475933075,0.020000288262963295,0.01999983936548233,0.01999996230006218,0.020000047981739044,0.020000137388706207,0.020000029355287552,0.020000092685222626,0.020000029355287552,0.01999996230006218,0.020000047981739044,0.02000001072883606,0.02000005915760994,0.019999921321868896,0.019999995827674866,0.020000023767352104,0.02000010944902897,0.019999973475933075,0.020000137388706207,0.01999998837709427,0.019999943673610687,0.02000003680586815,0.019999932497739792,0.02000001072883606,0.0199999138712883,0.019999902695417404,0.01999988965690136,0.019999951124191284,0.019999973475933075,0.020000211894512177,0.020000047981739044,0.01999986544251442,0.019999973475933075,0.019999809563159943,0.020000066608190536,0.020000088959932327,0.020000066608190536,0.02000538259744644,0.02000005543231964,0.02000005543231964,0.020000018179416656,0.019999973475933075,0.02000003680586815,0.019999857991933823,0.019999943673610687,0.01999993994832039,0.019999956712126732,0.019999871030449867,0.020000047981739044,0.01999998465180397,0.02000018209218979,0.020000029355287552,0.019999943673610687
lapgyn4_surgical_actions,0.019999999552965164,0.0,0.020000092685222626,0.019999943673610687,0.019999921321868896,0.020010046660900116,0.02000134438276291,0.01999996230006218,0.019999921321868896,0.02000003680586815,0.01999998837709427,0.019999857991933823,0.01999988965690136,0.019999902695417404,0.01999998837709427,0.02000010386109352,0.01999981701374054,0.020000195130705833,0.01999993994832039,0.020000074058771133,0.020000042393803596,0.020000126212835312,0.019999943673610687,0.019999980926513672,0.019999908283352852,0.020000029355287552,0.02000008523464203,0.019999951124191284,0.019999876618385315,0.019999997690320015,0.01999993994832039,0.02007341757416725,0.019999932497739792,0.019999872893095016,0.019999943673610687,0.019999999552965164,0.019999876618385315,0.02000005543231964,0.019999846816062927,0.020000023767352104,0.019999956712126732,0.020000018179416656,0.019999895244836807,0.019999975338578224,0.019999932497739792,0.020000139251351357,0.019999731332063675,0.020002249628305435,0.020000126212835312,0.01999998837709427,0.019999854266643524,0.020000005140900612,0.020000047981739044,0.020008083432912827,0.019999895244836807,0.02000000700354576,0.020000576972961426,0.019999854266643524,0.020000115036964417,0.019999835640192032,0.019999857991933823,0.019999999552965164,0.019999969750642776,0.019999992102384567,0.02000434696674347,0.020000023767352104,0.019999872893095016,0.020000029355287552,0.019999993965029716,0.020000029355287552,0.020000090822577477,0.020000066608190536,,0.019999943673610687,0.019999951124191284,0.020000264048576355,0.01999981701374054,0.01999993994832039,0.020000025629997253,0.020000115036964417,0.02000000700354576,0.020000066608190536,0.02000000700354576,0.01999993808567524,0.020000025629997253,0.01999998837709427,0.02000003680586815,0.019999895244836807,0.019999971613287926,0.019999999552965164,0.02000008523464203,0.019999951124191284,0.020000115036964417,0.01999996230006218,0.019999921321868896,0.02000001072883606,0.019999906420707703,0.01999998837709427,0.01999988965690136,0.019999876618385315,0.01999986544251442,0.019999925047159195,0.019999951124191284,0.020000189542770386,0.020000023767352104,0.01999983936548233,0.019999951124191284,0.019999787211418152,0.020000042393803596,0.020000064745545387,0.020000042393803596,0.020005356520414352,0.020000029355287552,0.020000029355287552,0.019999992102384567,0.019999951124191284,0.02000001072883606,0.019999835640192032,0.019999921321868896,0.0199999138712883,0.019999932497739792,0.019999846816062927,0.020000023767352104,0.01999995857477188,0.0200001560151577,0.02000000700354576,0.019999921321868896
lapgyn4_instrument_count,0.020000115036964417,0.020000092685222626,0.0,0.02000006102025509,0.02000003680586815,0.02001016214489937,0.02000146172940731,0.02000007964670658,0.02000003680586815,0.0200001522898674,0.02000010386109352,0.019999975338578224,0.02000000700354576,0.020000018179416656,0.02000010572373867,0.020000219345092773,0.019999932497739792,0.020000312477350235,0.02000005543231964,0.020000189542770386,0.020000159740447998,0.020000243559479713,0.02000006102025509,0.020000096410512924,0.020000025629997253,0.020000146701931953,0.02000020071864128,0.020000066608190536,0.019999993965029716,0.020000115036964417,0.02000005543231964,0.020073533058166504,0.020000047981739044,0.01999998837709427,0.02000006102025509,0.020000115036964417,0.019999993965029716,0.020000170916318893,0.01999996230006218,0.020000141113996506,0.020000074058771133,0.02000013366341591,0.02000001259148121,0.020000092685222626,0.020000047981739044,0.020000256597995758,0.019999846816062927,0.020002365112304688,0.020000243559479713,0.02000010386109352,0.019999969750642776,0.020000122487545013,0.020000163465738297,0.020008200779557228,0.02000001259148121,0.020000122487545013,0.020000692456960678,0.019999969750642776,0.020000232383608818,0.019999951124191284,0.019999975338578224,0.020000116899609566,0.02000008523464203,0.02000010944902897,0.02000446245074272,0.020000141113996506,0.01999998837709427,0.020000146701931953,0.020000111311674118,0.020000146701931953,0.020000208169221878,0.02000018209218979,0.0200001522898674,,0.020000066608190536,0.020000379532575607,0.019999932497739792,0.02000005543231964,0.020000141113996506,0.02000023052096367,0.020000122487545013,0.020000183954834938,0.020000122487545013,0.02000005543231964,0.020000141113996506,0.02000010386109352,0.0200001522898674,0.02000001259148121,0.020000088959932327,0.020000115036964417,0.02000020071864128,0.020000066608190536,0.02000023052096367,0.02000007964670658,0.02000003680586815,0.02000012807548046,0.020000023767352104,0.02000010386109352,0.02000000700354576,0.019999993965029716,0.019999980926513672,0.020000042393803596,0.020000066608190536,0.020000305026769638,0.020000141113996506,0.019999956712126732,0.020000066608190536,0.019999902695417404,0.020000159740447998,0.02000018209218979,0.020000159740447998,0.020005473867058754,0.020000146701931953,0.020000146701931953,0.02000010944902897,0.020000066608190536,0.02000012807548046,0.019999951124191284,0.02000003680586815,0.0200000312179327,0.020000047981739044,0.01999996230006218,0.020000141113996506,0.020000075921416283,0.0200002733618021,0.020000122487545013,0.02000003680586815
lapgyn4_anatomical_actions,0.019999969750642776,0.019999943673610687,0.02000006102025509,0.0,0.01999988965690136,0.02001001499593258,0.02000131458044052,0.019999932497739792,0.01999988965690136,0.020000005140900612,0.019999956712126732,0.019999828189611435,0.019999857991933823,0.019999871030449867,0.01999995857477188,0.020000074058771133,0.019999785348773003,0.020000163465738297,0.019999908283352852,0.020000042393803596,0.02000001072883606,0.020000096410512924,0.0199999138712883,0.019999951124191284,0.019999876618385315,0.019999999552965164,0.020000053569674492,0.019999919459223747,0.019999846816062927,0.019999966025352478,0.019999908283352852,0.020073385909199715,0.019999902695417404,0.01999984122812748,0.0199999138712883,0.019999967887997627,0.019999846816062927,0.020000023767352104,0.01999981701374054,0.019999992102384567,0.019999925047159195,0.01999998651444912,0.01999986544251442,0.019999943673610687,0.019999902695417404,0.02000010758638382,0.019999699667096138,0.020002217963337898,0.020000096410512924,0.019999956712126732,0.019999822601675987,0.019999973475933075,0.020000018179416656,0.02000805363059044,0.01999986544251442,0.019999975338578224,0.02000054530799389,0.019999822601675987,0.02000008523464203,0.019999803975224495,0.019999828189611435,0.019999969750642776,0.01999993808567524,0.01999996230006218,0.020004315301775932,0.019999992102384567,0.01999984122812748,0.019999999552965164,0.01999996230006218,0.019999999552965164,0.02000005915760994,0.02000003680586815,0.020000005140900612,0.0199999138712883,,0.020000234246253967,0.019999785348773003,0.019999908283352852,0.019999993965029716,0.02000008337199688,0.019999975338578224,0.02000003680586815,0.019999975338578224,0.019999906420707703,0.019999993965029716,0.019999956712126732,0.020000005140900612,0.01999986544251442,0.01999993994832039,0.019999969750642776,0.02000005543231964,0.019999919459223747,0.02000008337199688,0.019999932497739792,0.01999988965690136,0.019999980926513672,0.019999876618385315,0.019999956712126732,0.019999857991933823,0.019999846816062927,0.019999835640192032,0.019999895244836807,0.019999919459223747,0.02000015787780285,0.019999992102384567,0.019999809563159943,0.019999919459223747,0.019999755546450615,0.02000001072883606,0.02000003308057785,0.02000001072883606,0.020005326718091965,0.019999999552965164,0.019999999552965164,0.01999996230006218,0.019999919459223747,0.019999980926513672,0.019999803975224495,0.01999988965690136,0.019999884068965912,0.019999902695417404,0.01999981701374054,0.019999992102384567,0.019999928772449493,0.020000126212835312,0.019999975338578224,0.01999988965690136
sklin2_skin_lesions,0.019999943673610687,0.019999921321868896,0.02000003680586815,0.01999988965690136,0.0,0.02000999078154564,0.02000129036605358,0.019999908283352852,0.01999986544251442,0.019999980926513672,0.019999932497739792,0.019999803975224495,0.019999835640192032,0.019999846816062927,0.01999993436038494,0.020000047981739044,0.019999761134386063,0.020000141113996506,0.019999884068965912,0.020000018179416656,0.01999998837709427,0.020000072196125984,0.01999988965690136,0.019999925047159195,0.019999854266643524,0.019999975338578224,0.020000029355287552,0.019999895244836807,0.019999822601675987,0.019999943673610687,0.019999884068965912,0.020073361694812775,0.019999876618385315,0.01999981701374054,0.01999988965690136,0.019999943673610687,0.019999822601675987,0.019999999552965164,0.01999979093670845,0.019999969750642776,0.019999902695417404,0.01999996230006218,0.01999984122812748,0.019999921321868896,0.019999876618385315,0.02000008523464203,0.019999675452709198,0.020002193748950958,0.020000072196125984,0.019999932497739792,0.019999798387289047,0.019999951124191284,0.019999992102384567,0.0200080294162035,0.01999984122812748,0.019999951124191284,0.02000052109360695,0.019999798387289047,0.02000006102025509,0.019999779760837555,0.019999803975224495,0.019999945536255836,0.0199999138712883,0.01999993808567524,0.020004291087388992,0.019999969750642776,0.01999981701374054,0.019999975338578224,0.01999993994832039,0.019999975338578224,0.02000003680586815,0.02000001072883606,0.019999980926513672,0.01999988965690136,0.019999895244836807,0.020000208169221878,0.019999761134386063,0.019999884068965912,0.019999969750642776,0.02000005915760994,0.019999951124191284,0.02000001259148121,0.019999951124191284,0.019999884068965912,0.019999969750642776,0.019999932497739792,0.019999980926513672,0.01999984122812748,0.019999917596578598,0.019999943673610687,0.020000029355287552,0.019999895244836807,0.02000005915760994,0.019999908283352852,0.01999986544251442,0.019999956712126732,0.019999852403998375,0.019999932497739792,0.019999835640192032,0.019999822601675987,0.019999809563159943,0.019999871030449867,0.019999895244836807,0.02000013366341591,0.019999969750642776,0.019999785348773003,0.019999895244836807,0.019999731332063675,0.01999998837709427,0.02000001072883606,0.01999998837709427,0.020005302503705025,0.019999975338578224,0.019999975338578224,0.01999993808567524,0.019999895244836807,0.019999956712126732,0.019999779760837555,0.01999986544251442,0.019999859854578972,0.019999876618385315,0.01999979093670845,0.019999969750642776,0.019999904558062553,0.020000101998448372,0.019999951124191284,0.01999986544251442
identify_nbi_infframes,0.020010069012641907,0.020010046660900116,0.02001016214489937,0.02001001499593258,0.02000999078154564,0.0,0.0200114157050848,0.02001003362238407,0.02000999078154564,0.02001010626554489,0.02001005783677101,0.020009929314255714,0.02000996097922325,0.020009972155094147,0.02001005969941616,0.020010173320770264,0.020009886473417282,0.020010266453027725,0.02001000940799713,0.020010143518447876,0.02001011371612549,0.020010197535157204,0.02001001499593258,0.020010050386190414,0.020009979605674744,0.020010100677609444,0.02001015469431877,0.020010020583868027,0.020009947940707207,0.020010069012641907,0.02001000940799713,0.020083487033843994,0.020010001957416534,0.02000994235277176,0.02001001499593258,0.020010069012641907,0.020009947940707207,0.020010124891996384,0.02000991627573967,0.020010095089673996,0.020010028034448624,0.0200100876390934,0.0200099665671587,0.020010046660900116,0.020010001957416534,0.02001021057367325,0.020009800791740417,0.020012319087982178,0.020010197535157204,0.02001005783677101,0.020009923726320267,0.020010076463222504,0.020010117441415787,0.02001815475523472,0.0200099665671587,0.020010076463222504,0.02001064643263817,0.020009923726320267,0.02001018635928631,0.020009905099868774,0.020009929314255714,0.020010070875287056,0.02001003921031952,0.02001006342470646,0.020014416426420212,0.020010095089673996,0.02000994235277176,0.020010100677609444,0.02001006528735161,0.020010100677609444,0.02001016214489937,0.02001013606786728,0.02001010626554489,0.02001001499593258,0.020010020583868027,0.020010333508253098,0.020009886473417282,0.02001000940799713,0.020010095089673996,0.02001018449664116,0.020010076463222504,0.02001013793051243,0.020010076463222504,0.02001000940799713,0.020010095089673996,0.02001005783677101,0.02001010626554489,0.0200099665671587,0.020010042935609818,0.020010069012641907,0.02001015469431877,0.020010020583868027,0.02001018449664116,0.02001003362238407,0.02000999078154564,0.02001008205115795,0.020009977743029594,0.02001005783677101,0.02000996097922325,0.020009947940707207,0.020009934902191162,0.020009996369481087,0.020010020583868027,0.02001025900244713,0.020010095089673996,0.020009910687804222,0.020010020583868027,0.020009856671094894,0.02001011371612549,0.02001013606786728,0.02001011371612549,0.020015427842736244,0.020010100677609444,0.020010100677609444,0.02001006342470646,0.020010020583868027,0.02001008205115795,0.020009905099868774,0.02000999078154564,0.02000998519361019,0.020010001957416534,0.02000991627573967,0.020010095089673996,0.020010029897093773,0.02001022733747959,0.020010076463222504,0.02000999078154564
laryngeal_tissues,0.020001370459794998,0.02000134438276291,0.02000146172940731,0.02000131458044052,0.02000129036605358,0.0200114157050848,0.0,0.020001333206892014,0.02000129036605358,0.020001405850052834,0.020001357421278954,0.020001228898763657,0.020001258701086044,0.02000127173960209,0.020001359283924103,0.020001474767923355,0.020001186057925224,0.020001564174890518,0.020001308992505074,0.020001443102955818,0.02000141143798828,0.020001497119665146,0.02000131458044052,0.020001351833343506,0.020001277327537537,0.020001400262117386,0.020001454278826714,0.02000132016837597,0.02000124752521515,0.0200013667345047,0.020001308992505074,0.020074786618351936,0.020001303404569626,0.0200012419372797,0.02000131458044052,0.02000136859714985,0.02000124752521515,0.020001424476504326,0.02000121772289276,0.02000139281153679,0.020001325756311417,0.02000138722360134,0.02000126615166664,0.02000134438276291,0.020001303404569626,0.02000150829553604,0.02000110037624836,0.02000361867249012,0.020001497119665146,0.020001357421278954,0.02000122331082821,0.020001374185085297,0.020001418888568878,0.02000945433974266,0.02000126615166664,0.020001376047730446,0.02000194601714611,0.02000122331082821,0.02000148594379425,0.020001204684376717,0.020001228898763657,0.020001370459794998,0.02000133879482746,0.0200013630092144,0.020005716010928154,0.02000139281153679,0.0200012419372797,0.020001400262117386,0.0200013630092144,0.020001400262117386,0.02000145986676216,0.02000143751502037,0.020001405850052834,0.02000131458044052,0.02000132016837597,,0.020001186057925224,0.020001308992505074,0.020001394674181938,0.0200014840811491,0.020001376047730446,0.02000143751502037,0.020001376047730446,0.020001307129859924,0.020001394674181938,0.020001357421278954,0.020001405850052834,0.02000126615166664,0.02000134065747261,0.020001370459794998,0.020001456141471863,0.02000132016837597,0.0200014840811491,0.020001333206892014,0.02000129036605358,0.020001381635665894,0.020001277327537537,0.020001357421278954,0.020001258701086044,0.02000124752521515,0.020001236349344254,0.02000129595398903,0.02000132016837597,0.02000155858695507,0.02000139281153679,0.020001210272312164,0.02000132016837597,0.020001156255602837,0.02000141143798828,0.020001433789730072,0.02000141143798828,0.020006727427244186,0.020001400262117386,0.020001400262117386,0.0200013630092144,0.02000132016837597,0.020001381635665894,0.020001204684376717,0.02000129036605358,0.020001284778118134,0.020001303404569626,0.02000121772289276,0.02000139281153679,0.020001329481601715,0.020001526921987534,0.020001376047730446,0.02000129036605358
nerthus_bowel_cleansing_quality,0.01999998837709427,0.01999996230006218,0.02000007964670658,0.019999932497739792,0.019999908283352852,0.02001003362238407,0.020001333206892014,0.0,0.019999908283352852,0.020000023767352104,0.019999975338578224,0.019999846816062927,0.019999876618385315,0.01999988965690136,0.019999977201223373,0.020000092685222626,0.019999803975224495,0.02000018209218979,0.019999926909804344,0.02000006102025509,0.020000029355287552,0.020000115036964417,0.019999932497739792,0.019999969750642776,0.019999895244836807,0.020000018179416656,0.020000072196125984,0.01999993808567524,0.01999986544251442,0.01999998465180397,0.019999926909804344,0.020073404535651207,0.019999921321868896,0.019999859854578972,0.019999932497739792,0.01999998651444912,0.01999986544251442,0.020000042393803596,0.019999835640192032,0.02000001072883606,0.019999943673610687,0.020000005140900612,0.019999884068965912,0.01999996230006218,0.019999921321868896,0.020000126212835312,0.01999971829354763,0.02000223658978939,0.020000115036964417,0.019999975338578224,0.01999984122812748,0.019999992102384567,0.02000003680586815,0.02000807225704193,0.019999884068965912,0.019999993965029716,0.02000056393444538,0.01999984122812748,0.02000010386109352,0.019999822601675987,0.019999846816062927,0.01999998837709427,0.019999956712126732,0.019999980926513672,0.020004333928227425,0.02000001072883606,0.019999859854578972,0.020000018179416656,0.019999980926513672,0.020000018179416656,0.020000077784061432,0.02000005543231964,0.020000023767352104,0.019999932497739792,0.01999993808567524,0.02000025287270546,,0.019999926909804344,0.02000001259148121,0.020000101998448372,0.019999993965029716,0.02000005543231964,0.019999993965029716,0.019999925047159195,0.02000001259148121,0.019999975338578224,0.020000023767352104,0.019999884068965912,0.01999995857477188,0.01999998837709427,0.020000074058771133,0.01999993808567524,0.020000101998448372,0.019999951124191284,0.019999908283352852,0.019999999552965164,0.019999895244836807,0.019999975338578224,0.019999876618385315,0.01999986544251442,0.019999854266643524,0.0199999138712883,0.01999993808567524,0.02000017650425434,0.02000001072883606,0.019999828189611435,0.01999993808567524,0.019999774172902107,0.020000029355287552,0.020000051707029343,0.020000029355287552,0.020005345344543457,0.020000018179416656,0.020000018179416656,0.019999980926513672,0.01999993808567524,0.019999999552965164,0.019999822601675987,0.019999908283352852,0.019999902695417404,0.019999921321868896,0.019999835640192032,0.02000001072883606,0.019999947398900986,0.020000144839286804,0.019999993965029716,0.019999908283352852
stanford_dogs_image_categorization,0.019999943673610687,0.019999921321868896,0.02000003680586815,0.01999988965690136,0.01999986544251442,0.02000999078154564,0.02000129036605358,0.019999908283352852,0.0,0.019999980926513672,0.019999932497739792,0.019999803975224495,0.019999835640192032,0.019999846816062927,0.01999993436038494,0.020000047981739044,0.019999761134386063,0.020000141113996506,0.019999884068965912,0.020000018179416656,0.01999998837709427,0.020000072196125984,0.01999988965690136,0.019999925047159195,0.019999854266643524,0.019999975338578224,0.020000029355287552,0.019999895244836807,0.019999822601675987,0.019999943673610687,0.019999884068965912,0.020073361694812775,0.019999876618385315,0.01999981701374054,0.01999988965690136,0.019999943673610687,0.019999822601675987,0.019999999552965164,0.01999979093670845,0.019999969750642776,0.019999902695417404,0.01999996230006218,0.01999984122812748,0.019999921321868896,0.019999876618385315,0.02000008523464203,0.019999675452709198,0.020002193748950958,0.020000072196125984,0.019999932497739792,0.019999798387289047,0.019999951124191284,0.019999992102384567,0.0200080294162035,0.01999984122812748,0.019999951124191284,0.02000052109360695,0.019999798387289047,0.02000006102025509,0.019999779760837555,0.019999803975224495,0.019999945536255836,0.0199999138712883,0.01999993808567524,0.020004291087388992,0.019999969750642776,0.01999981701374054,0.019999975338578224,0.01999993994832039,0.019999975338578224,0.02000003680586815,0.02000001072883606,0.019999980926513672,0.01999988965690136,0.019999895244836807,0.020000208169221878,0.019999761134386063,0.019999884068965912,0.019999969750642776,0.02000005915760994,0.019999951124191284,0.02000001259148121,0.019999951124191284,0.019999884068965912,0.019999969750642776,0.019999932497739792,0.019999980926513672,0.01999984122812748,0.019999917596578598,0.019999943673610687,0.020000029355287552,0.019999895244836807,0.02000005915760994,0.019999908283352852,0.01999986544251442,0.019999956712126732,0.019999852403998375,0.019999932497739792,0.019999835640192032,0.019999822601675987,0.019999809563159943,0.019999871030449867,0.019999895244836807,0.02000013366341591,0.019999969750642776,0.019999785348773003,0.019999895244836807,0.019999731332063675,0.01999998837709427,0.02000001072883606,0.01999998837709427,0.020005302503705025,0.019999975338578224,0.019999975338578224,0.01999993808567524,0.019999895244836807,0.019999956712126732,0.019999779760837555,0.01999986544251442,0.019999859854578972,0.019999876618385315,0.01999979093670845,0.019999969750642776,0.019999904558062553,0.020000101998448372,0.019999951124191284,0.01999986544251442
svhn,0.02000005915760994,0.02000003680586815,0.0200001522898674,0.020000005140900612,0.019999980926513672,0.02001010626554489,0.020001405850052834,0.020000023767352104,0.019999980926513672,0.0,0.020000047981739044,0.019999919459223747,0.019999951124191284,0.01999996230006218,0.020000049844384193,0.020000163465738297,0.019999876618385315,0.020000256597995758,0.019999999552965164,0.02000013366341591,0.02000010386109352,0.020000187680125237,0.020000005140900612,0.020000040531158447,0.019999969750642776,0.020000090822577477,0.020000144839286804,0.02000001072883606,0.01999993808567524,0.02000005915760994,0.019999999552965164,0.020073477178812027,0.019999992102384567,0.019999932497739792,0.020000005140900612,0.02000005915760994,0.01999993808567524,0.020000115036964417,0.019999906420707703,0.02000008523464203,0.020000018179416656,0.020000077784061432,0.019999956712126732,0.02000003680586815,0.019999992102384567,0.02000020071864128,0.01999979093670845,0.02000230923295021,0.020000187680125237,0.020000047981739044,0.0199999138712883,0.020000066608190536,0.02000010758638382,0.02000814490020275,0.019999956712126732,0.020000066608190536,0.0200006365776062,0.0199999138712883,0.02000017650425434,0.019999895244836807,0.019999919459223747,0.02000006102025509,0.020000029355287552,0.020000053569674492,0.020004406571388245,0.02000008523464203,0.019999932497739792,0.020000090822577477,0.02000005543231964,0.020000090822577477,0.0200001522898674,0.020000126212835312,0.020000096410512924,0.020000005140900612,0.02000001072883606,0.02000032365322113,0.019999876618385315,,0.02000008523464203,0.020000174641609192,0.020000066608190536,0.02000012807548046,0.020000066608190536,0.019999999552965164,0.02000008523464203,0.020000047981739044,0.020000096410512924,0.019999956712126732,0.02000003308057785,0.02000005915760994,0.020000144839286804,0.02000001072883606,0.020000174641609192,0.020000023767352104,0.019999980926513672,0.020000072196125984,0.019999967887997627,0.020000047981739044,0.019999951124191284,0.01999993808567524,0.019999925047159195,0.01999998651444912,0.02000001072883606,0.02000024914741516,0.02000008523464203,0.019999900832772255,0.02000001072883606,0.019999846816062927,0.02000010386109352,0.020000126212835312,0.02000010386109352,0.020005417987704277,0.020000090822577477,0.020000090822577477,0.020000053569674492,0.02000001072883606,0.020000072196125984,0.019999895244836807,0.019999980926513672,0.019999975338578224,0.019999992102384567,0.019999906420707703,0.02000008523464203,0.020000020042061806,0.020000217482447624,0.020000066608190536,0.019999980926513672
