,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,70.22030455161739,92.47264162679916,107.62438492444258,269.42347281813375,247.45385908523775,384.2925054514572,159.61059050657107,459.89193250503064,424.865249904966,449.66864398498836,443.59928953890164,424.0455539627558,412.3617016206157,493.56585953291403,487.74720139522117,145.9340465898648,134.43671656160257,156.4585602717061,154.29845511893538,89.37430983515796,106.56709621776946,106.62503281162456,106.48494542848542,106.60779792576093,106.90342999015753,106.81202741739136,286.66827551937865,187.0512483545669,385.9502926188792,392.76569988828885,270.3741432811619,338.3182203569562,281.21887465792497,278.9123473767055,280.20352902672244,282.1400659924153,280.71365898445134,279.83047657458934,280.4278680688616,280.57111929156986,280.7604395418392,280.13181474331486,280.84267822724473,282.8698194018924,281.14382970412316,292.99771123740106,273.1332290986439,293.7274423524899,300.9606500247998,295.03637165911266,301.8784327572631,294.83170062450074,294.5662944285924,294.58169316998493,295.22041847383935,294.92951863879966,217.73891490207296,231.1681597387634,228.08720620836579,285.2030610792888,311.73066429858864,356.5972795534656,300.9202195809102,315.61214712292787,366.55352235806845,349.31981111400546,359.97561593476325,339.52048138094074,422.4096598476186,291.401640729576,34.73044732628857,71.88475952772097,93.48775219162502,108.6254682143919,385.0563959059126,161.1781810326435,426.63886791291236,424.36477005393,493.87513988630366,146.82574549966753,134.9667340182071,156.27060037267017,153.72815096869226,91.1690005405017,108.20256153701408,107.57894503512838,107.61724994566015,107.41593923160292,107.12034988506609,110.3406935997958,188.34987676175962,393.97845998356826,338.6832994562206,281.84184386913205,278.46430705499995,280.0331290162677,282.77984948415286,281.3249093446128,279.7135604973815,280.53041384303214,281.0361806059059,281.1515175788852,281.05883371570616,281.7286495213278,283.1320346640472,281.0307729919767,292.50747096960094,294.1353909617294,298.6602288974942,295.62940771554645,293.9426004278474,294.05652307794725,294.6860321409781,295.0401556831423,220.25919452599146,229.79575384329218,224.6907240906387,355.0955570413938,300.75870005974656,316.2671297666037,365.47579974824043,349.8833985429153,360.64585887823364,339.3105521907603,421.5758254532904,292.5961772947097
lapgyn4_surgical_actions,70.22030455161739,0.0,75.95463715494074,82.33180915528541,274.43560594131907,244.06689364304015,380.5412011867876,168.4455078438284,459.45257876495964,419.1521460122302,445.0930545831151,438.2166026056178,420.03433774043253,410.90255751414435,489.54803514596705,483.3733606676485,162.8616245970162,150.61222849054184,165.46808978497927,155.1817633364845,81.43617107563557,94.52711203520926,94.43070104167626,94.34809995121304,94.54315699464199,94.98590024705985,94.68791337966522,288.2190699815625,168.80138729925474,379.54284875913515,392.8882986179228,276.2034304459014,336.99845701874256,277.7018348745241,274.279103090533,275.18770335073464,279.0939996646028,275.13331694633484,276.52777335990504,277.1845414577948,275.6050608855354,276.4224095414746,275.427425612968,277.85803475914,280.5792144520751,275.356658085928,294.02975729922866,268.925577818333,294.9579891321242,310.76068273139015,308.78274272340957,300.97772243173563,298.0541699505267,308.3676392230976,308.4926514920094,308.935515181338,308.68459906158046,227.1178602411029,244.17447785541873,241.89877497611064,287.70288228688594,327.02012135131383,344.86699659966604,289.366389100625,304.2697352693888,358.5024145800546,336.40002521678,350.7491228200419,329.0752639166783,430.9544781135944,306.5572815226019,70.65162583057418,48.18663006945681,76.73998296327775,83.76102927445959,381.23778360867095,169.803463295271,421.0179165333257,420.91848533237953,489.64138548397744,162.88993489317207,151.08531363859703,165.17872353298168,154.95415148989105,83.10490815948785,95.71761126238324,95.32250856188978,95.44081057277862,95.06010296903833,94.67550938685876,97.46558295532782,170.0671742933202,394.1638399726632,337.21464765302784,278.4442470480893,273.9850106436307,275.17422666385727,279.7949995667746,275.82194307996883,276.3000442489132,277.00014969145326,275.6541275531433,276.4255933635543,276.28509692457936,278.6514675020335,280.6550956151673,275.4976945520316,293.4245958995635,295.48390302652376,308.6953814185058,309.447138179641,307.7434956133598,307.8765121092285,308.4742254396881,308.91751179760206,229.42389819839013,242.75348725527599,238.46397170818574,343.42512234443353,289.2711397796528,304.90537302735765,357.2134807517143,336.9822860438765,351.3926010609772,328.791103505142,430.0489986511981,307.6259244471191
lapgyn4_instrument_count,92.47264162679916,75.95463715494074,0.0,43.35906819077702,289.3028116752613,260.06070395380493,400.04028972000594,138.5393961867183,476.86256864134066,437.45370046242755,461.63820963360615,455.5287008889699,440.78429807345833,434.329659453262,516.779843992166,510.8099054617164,148.3517787252132,129.83338342601002,138.540227707653,138.5016178950093,61.908625295602164,55.56670895838921,55.51567768993505,55.37070404754469,55.799024431017514,56.3724488361317,56.020025605874395,297.4858496551361,154.86229652423424,394.1534429152804,406.2782070766282,284.9016954315548,351.4490478004593,265.65324084021154,261.48984721626306,261.62515228863856,267.00860711770736,261.0845948150916,264.2765075210595,265.28033002640245,261.79394127785247,263.4425907555035,262.01120543528907,266.6548976741708,269.8454506740081,261.48123156654367,282.9593967728549,274.550324182762,284.19166112975165,339.4117921209446,297.8536055403921,291.1856668059422,288.72592321384906,297.2203817827575,297.13588481623043,297.71693325967743,297.4809025430838,237.06896490006432,258.4652061443968,256.5706209599773,287.6879501427375,319.5858457180684,346.5323043623635,286.72351646070956,303.0404699402614,364.52060304687376,340.48909324698405,354.78748858878663,326.54473553127,426.7663832662495,299.4949833131959,93.95947138217409,77.61073872281816,36.26509157698729,44.303332251837986,400.91549636231355,140.28105865842193,439.1942723291521,441.28921065182533,516.922785587771,148.11185648029408,129.75761826884292,138.4858552832032,137.81908848579525,63.7933161576059,56.95492258537932,56.38020231945817,56.68731182523326,55.36102255656046,55.79535179598345,59.693842909358864,154.89246403325438,407.53057874334297,351.6971070737598,265.75912357598406,261.2587518903872,261.7384492795923,267.5787179433603,261.54494454566054,264.20294719787296,264.89735503051736,261.9195271644622,262.9253755931618,262.7562873189014,267.4056764613997,270.27703690160115,260.8524569448573,282.58521714210565,284.54970904099525,336.8847385296766,298.3787700379479,296.44560099043235,296.6689269055244,297.2746908278592,297.55555682297467,239.2797355076051,257.2476898696843,253.01954747106947,344.5782558386071,286.7403744620234,303.7092594093985,363.3804682489379,341.23933147082187,355.00953405883274,325.91128301894815,426.10127692093613,300.05215871155485
lapgyn4_anatomical_actions,107.62438492444258,82.33180915528541,43.35906819077702,0.0,316.69100028367257,287.38346662567915,419.4142320176766,145.04104785333925,491.38806915733136,455.0009339571546,475.5199459871825,470.15944594814346,458.3798976242541,453.718840905241,527.5949115049049,522.8375390053172,166.61440284002074,144.1225033004413,145.78907859389778,146.84941238753922,73.24728219912804,60.46563720828723,60.328617991068256,59.89932503605549,60.681741452978244,61.4062715503395,61.02046936011435,322.8177050494733,155.49524363235557,416.608204796029,421.3328470360552,306.66388104743453,358.24044831722244,271.50377426671173,266.4395433646539,266.2404948998788,273.0415126808787,265.40346117134135,270.1069679587534,271.34014035577485,266.41741571815237,268.343660497314,266.87224885407403,272.88462365135183,276.32305653265956,265.48530507369446,290.0478321450679,291.482863381544,291.09573058299674,370.08246715394137,311.3485838705906,297.9532395755512,299.15214834376366,310.8675395196831,310.7747114371351,311.40533734098346,310.8602439250817,262.8054376102189,286.751680593977,285.0998817653389,302.25452736557276,331.2025246879209,354.46008927841217,295.0648184974476,312.1516034731274,373.9598593960193,349.7255294180711,365.4611077554801,335.89714088495236,446.5553175572345,311.69875333984754,109.2342221687434,84.5366384944094,43.073585008181766,21.12956904936612,420.22951581681696,147.12408616769318,456.8552093982454,459.0310103609853,527.691811709378,166.1723758050622,144.14189366167344,145.84922866288014,146.02431793306863,75.24693061875129,61.584152525141924,60.60482409996734,61.12337127130684,58.96122013789373,60.57003064487929,65.71041262429054,154.16628268385105,422.66194055803504,358.44067987788037,271.4884907176948,266.22249640947837,266.3758141711332,273.7131896064144,265.80805702764815,269.94852484474563,270.9226210286108,266.35053819171134,267.5248743831959,267.6263982871385,273.83231880484067,276.6517177773931,264.918429110156,289.4822645255555,291.4238484765891,367.8798086339899,311.776403294434,310.0841978004333,310.49646965105205,311.0040029625835,310.8736219450376,265.25849667195666,285.9223193312629,280.9575076551514,352.2385738655596,294.92386708797943,312.581690809686,373.14940292345193,350.6734066892109,365.8481883930784,335.2758312201551,445.833126424861,312.1446977327274
sklin2_skin_lesions,269.42347281813375,274.43560594131907,289.3028116752613,316.69100028367257,0.0,230.50240548372773,319.3609427027675,296.7133702245296,464.35133067934345,359.28191163755963,443.8075766745296,431.0956709774497,386.4511900563234,362.9783537154175,421.76129710828013,415.76519637255876,217.2339794080499,233.6233795681187,289.97403248016894,243.73504737492306,263.6720214467922,275.57886994136504,276.19704539416284,275.78793938425554,275.39827747539954,275.45348117336187,275.5520056273056,139.28652334584172,289.58092386195057,280.6177514574343,354.4113272717748,162.74238524679885,351.81670286216826,314.9101142593279,315.2538856745142,317.6869941425183,315.0645825382471,319.14872188948596,313.1099593885093,312.33430963483306,318.1843175978912,317.66819819706177,317.1398715478995,311.9283090620926,315.292889092319,319.56624826513786,328.5530038271523,134.22557571857143,328.6017561131366,139.0366240304407,291.587131497681,327.2023339234868,323.6418082107265,290.73070320132194,291.4628467393434,291.13769552676786,291.700001276046,189.6166041953972,192.72213540762752,191.86297277502047,284.62884163101523,306.995717799619,364.4097037429049,330.4470637490503,337.861534222522,361.6786656245994,354.6564535262378,361.8514120377287,351.2119370501717,337.54531470000234,287.5804726180327,268.7948701198816,273.5709825077808,292.84173928692326,318.8834023259566,320.01503762157745,296.6118643620986,360.91953248234995,386.25899190782775,421.90931805548865,217.85476841206025,233.35417075059146,289.5794936823353,244.9508078277479,263.3922449782427,277.76791851553753,278.21754168794337,277.1523897903621,278.10015659566005,276.26065439529236,273.80516577692885,291.93816095172986,355.48929814745287,352.6149354822943,317.2074067241615,314.7415875498931,317.9068350972464,316.158876814407,320.11850406849214,313.7468095544524,312.33765021704517,319.6215886350528,319.7869689660593,319.1696051666836,311.16712540104413,314.7839187294087,322.0828962042381,328.5997439415927,329.2919319324309,139.14978652842638,292.60836600263406,290.8349860521255,290.2145291900983,290.75075839727737,292.09661378698354,189.5754340908221,192.07520928259714,191.9640313879486,365.44943422664767,331.1369857621888,338.81764225720156,360.34997466707284,354.6590725278942,363.1262700033417,351.50134201482393,336.59450799782735,289.05340724855074
identify_nbi_infframes,247.45385908523775,244.06689364304015,260.06070395380493,287.38346662567915,230.50240548372773,0.0,183.91800415898325,261.170956812202,425.72073828573735,234.48544297099025,388.03895700879644,381.3815244447885,288.5014674636833,264.6738695965198,324.0873674803479,314.4744961958296,219.60193402348193,235.48067114647364,254.91767565266466,220.4280426741911,230.6249982102205,237.01874849967638,237.31004249578604,238.6534819445492,236.81373613169237,236.17405001649365,236.62341926501801,206.91602613198668,240.31502062758494,185.656675237109,296.41899696053844,264.3144221105128,323.2213219500358,320.7759449964715,316.28221662154164,319.1235123821674,323.14363872892955,320.1052404358286,316.37431026989145,317.14198855731064,317.3049881694452,318.28209299440346,319.7809077488768,318.00551040172553,330.0534631742503,319.8851541988983,332.4303529407458,199.92993506132257,333.36825683926105,219.6574197967231,308.39951404766884,346.9357338428682,339.29772922074585,307.2011085789501,307.8095184850671,307.23246637023203,308.43221414955434,162.6210426962342,166.76165474271704,166.77638950171317,245.2923526684488,322.2246426760196,363.47162508879757,310.70448249762046,326.6879782736638,363.27394948826117,347.84195781115403,350.797878298746,345.3150733536147,406.06125074223024,317.723682338122,245.2734943593791,245.86011947452496,268.45556766993695,290.2297689714766,184.51991615596012,259.7019703918114,237.16320729278135,288.27385666685143,324.2957803251025,219.25214259336485,235.74651374072346,253.25320538730858,222.21427137784207,229.61599140994525,237.2068601523293,242.1901145321877,240.94556016722305,243.16898553443693,240.5189733528868,231.31133002842316,246.9865984515183,297.5772076084614,324.0053355498962,322.76531293041523,316.24740724926295,320.14367212502907,323.94867413246243,321.3826295155317,316.2340806565098,319.05074738785424,321.1314023741746,323.1775851188162,321.7491963225889,316.8183067161378,328.4485968971092,322.9140588903916,332.81601904115365,333.61664559268036,221.14895409564917,309.1082316981535,306.829807526286,305.99928320348226,307.2385356427991,308.87991473514296,162.68904657063766,166.25702788096896,167.3400600745798,364.5824946944009,313.30453130700016,328.5864825199283,362.7029163528372,347.2373091887391,353.26933945448224,345.7146990028593,405.0840035339026,319.2486107968576
laryngeal_tissues,384.2925054514572,380.5412011867876,400.04028972000594,419.4142320176766,319.3609427027675,183.91800415898325,0.0,384.6345443664451,412.92242399112695,90.10378306414088,354.5931701657677,359.8272017506864,191.84480342789388,162.74086024316074,194.96186627061516,185.06727130902286,359.41496095943074,374.4007647102743,373.08598019501073,363.30284856057244,375.75798777591154,389.43107077806974,389.8163655415477,389.87718031340967,388.9621910124005,388.6957869107948,388.8666092558089,282.47869831263336,371.66784046185114,213.43263415704183,288.52653287613816,312.8385962040711,366.7829070630757,402.0145275976686,403.21613393221304,403.96996674535006,402.51819317979806,404.66326020393046,401.67583988116513,401.6388145045916,403.4114863515943,403.5899244186594,403.163038836621,401.66555518712505,409.9606659939989,405.46747431185656,401.8751352853342,293.8142561214564,402.68899004352284,252.84081995554325,395.7446823843265,414.7936666219789,404.26869197967545,395.0958906633582,395.38799329206296,394.93858122980043,396.0115685394718,211.2048942454106,196.07696120770402,196.625259276722,328.35305246876874,388.2923851641219,399.4950502175622,371.43240013777034,378.5275194862071,396.87429226954765,385.9570488340513,382.41050367916984,389.31607683764753,427.9467391931319,409.3165498104876,382.32855106810354,378.4084613907846,402.08245428383725,421.47676559530225,11.70321443917637,383.1089612801876,92.16941693293273,191.92427517434896,195.14716232506672,359.18724457764756,374.4406257426808,371.4437200765546,364.65530014700187,373.6895886813912,389.65637378857224,391.357856658164,389.73404187692086,391.77033205551544,390.33962500190387,383.1140533321834,376.25844891783913,289.1369206619358,367.1610755949433,402.4951140267814,402.24420761797256,404.12762411231586,402.4242579555149,404.5317074367415,401.0346387081174,402.3560302989926,403.4608701665755,404.48101013535097,403.4770303761877,401.5530456269695,409.7124167096202,405.38911904647097,402.3460537500472,402.6330452125066,255.62200179022653,397.0094194429737,394.9229370600965,394.4258022133526,394.5375597682835,396.1368901742364,210.64058189550704,195.99063404351713,200.63702181127178,400.8296656500921,372.84285217021426,380.08163959716444,395.13859452411845,385.01782118986824,383.6502996331192,389.8539671762161,427.20552190159987,410.3277865249403
nerthus_bowel_cleansing_quality,159.61059050657107,168.4455078438284,138.5393961867183,145.04104785333925,296.7133702245296,261.170956812202,384.6345443664451,0.0,485.0689724896759,421.7858514675077,459.72287979405183,454.4748171995591,433.2931132000417,423.95879710434895,484.99227517566527,482.97572617697983,106.8091786247219,87.25999204866545,30.732050152559196,86.28673163618558,121.78241482466458,114.2845208818742,114.27636918093273,114.09154371592606,114.21862405259691,114.3392853240161,114.6071582404354,286.92405604478773,148.24093722085212,384.349514526123,384.4588073479702,288.9294827415381,326.3153644055908,256.0364669765886,253.0267922627703,254.04518576594097,257.4011169419066,253.74596596238564,254.80913203408446,255.70841273102928,254.01894652792996,255.39764740911446,253.86607231888513,256.6381007480687,265.32966455681765,254.52855673186403,269.11239605206873,268.81931735538154,269.9951694418188,341.5310518610045,252.4872359104617,280.62038681146305,261.67239796736146,251.95415243628037,251.8888347505254,252.5846447337667,252.1886256898329,204.37023778429784,225.93351691887315,223.79811275903398,270.05310346582075,277.9791058839461,354.6180896067551,289.3413704524822,314.4227921120506,366.7252572139371,354.7046816242081,354.68324867020476,331.81379327394814,434.4069271169629,261.88794317085365,160.57403519379633,170.77157418938452,139.44003651866464,144.42885421252475,385.1979246548191,20.59775065113036,423.16814941367954,433.79276683176533,485.3810427444926,107.81372482211907,88.19149050801812,31.55585286410794,85.3847429827749,122.40435826573201,115.69401640704604,114.69308535644058,114.2269387452674,114.69406344156232,114.88206406763672,117.15076165263523,147.87361443857264,385.8684848520727,326.6501750796561,256.48886896705824,252.02505418677106,254.0481223526402,257.98643828251346,253.97140709569703,254.74890443019757,255.57661425479142,254.27932791747673,255.55831355334658,254.90377488459342,257.54104164626324,265.8853350990903,254.44960967927372,268.8721098761918,270.0697764903821,339.57255395425193,253.116532829183,251.3762420559268,251.43344761421338,252.29511007643225,252.46145386063546,207.10808982818247,225.20772227329974,219.97917695153555,353.2277223332774,289.2544466280861,315.31561220628043,365.70812594201647,355.17417099817806,355.47020322597933,331.2778970602476,433.595785303695,262.27858353183996
stanford_dogs_image_categorization,459.89193250503064,459.45257876495964,476.86256864134066,491.38806915733136,464.35133067934345,425.72073828573735,412.92242399112695,485.0689724896759,0.0,436.22929663497666,375.75499819058103,377.5062411643641,342.2322107597132,367.8187513218905,498.0433287322096,491.18208040994193,463.6107720150779,469.8871682226471,481.58028714001046,467.6879024247131,467.7252437404493,481.8843920518725,481.96225221413465,481.9839773915172,481.50975958614276,481.47974479696313,481.63309138646935,437.22638104321527,468.38150396909623,448.91267244157785,464.0263683810818,449.5391698447161,471.5035131487079,477.33712274929445,478.6262461266418,479.8651431264339,477.1849526327509,480.9758714100865,476.7020422681086,477.1314194410718,479.5105625283136,478.58552971492594,478.9108019237086,476.31190870443305,479.0491303924485,481.1032566186155,477.69481377435034,448.25259626644765,477.5850452630546,431.46861165906495,499.65858813096287,484.5707044377422,476.520016779402,499.34037053195476,499.3516668393013,499.1782581829902,499.94484730267004,427.3638604717561,419.4408972832798,419.53227595348886,484.73415224366624,503.7383725783083,482.27673905313134,480.85528647848065,471.8988641257623,479.5500764996037,475.83433440647997,482.7867070683369,484.6030839708692,469.27026398349597,501.7394206407349,459.2499118221999,458.6731745952519,478.4619558266363,492.6334413363124,413.41169818022536,484.79526502384533,437.5472128878756,344.7716346583692,498.3854060326946,464.1185382581207,470.6716129794181,480.96060497120914,468.52536900983284,467.9286570091113,482.68017989114514,483.0049176069972,482.28589352093945,483.5263060783699,482.4518313374544,479.80786204240604,470.111930602264,464.8577434486548,472.0484197558088,478.1616638932332,478.345822812303,480.54970261403867,476.8594557986705,481.1555140603298,476.88091155962996,477.9499759037655,479.91033640053104,479.7109004075104,479.67823626339975,476.5772654060722,478.8738919755291,480.6959057006639,477.92912329129035,477.5894773457195,432.4509774946366,500.0419198145294,499.4215481315011,498.8440119479774,499.01649141491794,500.1194483213749,427.1466528307184,420.0850760148896,421.3600934731918,482.3823158513078,481.57160836381894,472.44816034737164,479.3201039005212,475.82648754813954,483.222562126404,485.3700591057053,469.0233484473737,502.63218985792236
svhn,424.865249904966,419.1521460122302,437.45370046242755,455.0009339571546,359.28191163755963,234.48544297099025,90.10378306414088,421.7858514675077,436.22929663497666,0.0,369.2352572134321,366.83760245385054,198.4559532317345,167.3966161714256,168.76374667997212,164.32610393529473,394.22853014563384,412.3431441000339,411.3900880105299,397.37195224375796,414.1607493311916,426.93685471349744,427.0732595859941,427.5906121326299,426.65783313388283,426.19966547248055,426.3189204443412,332.76698446796917,405.7353766153635,242.66256660872403,298.7098093863511,362.43414965474415,378.3848342076676,418.22886858698763,418.87731572042406,419.38979350095207,418.92144601882944,419.3644304611577,417.6763784666832,417.8814279224869,418.7845142414752,419.38225052251516,418.7101583588458,418.2196986877872,425.35501920849333,420.1481775525827,420.45473252015336,344.6996466519592,421.4739677557304,299.27111453959856,417.18372565556524,433.20643634819874,413.4881093274038,416.412993432391,416.65391174803347,416.2702134113077,417.4586340751164,268.63878602451626,249.51719101802303,249.82922092749925,353.3816953283379,413.54089687904684,408.56294003157535,385.693979302009,391.7097361570405,405.909673880698,395.8073221365585,389.93097069032797,398.79929280938524,455.01694134462,434.3524328680214,422.73899456116976,417.20264219170895,439.89212484580133,457.01678090085306,89.5539693747128,420.35890983440004,34.81021542097604,198.49553147949013,168.63733517529678,393.7246504044005,412.51290114140767,409.8559801903968,398.47157314080715,412.4404426444577,427.5374040307123,428.68307234601014,427.6475472324314,428.7937789893398,427.6593769406056,421.07774720258357,409.66558871664097,299.34910966620777,378.8115807722437,418.8506719902419,417.9131556456594,419.5873358126416,418.8895158583696,419.343974625231,417.11702451826983,418.5147267504053,418.8154194740505,420.1115505351763,419.2372646667509,418.18497454755334,425.06969941109026,420.36400335591713,420.8367431548075,421.33984335171544,302.12204506808905,418.38395081611975,416.39512905235756,415.6378209494721,415.8803140054255,417.5795286554596,267.84922171212185,249.77933311261023,254.26259536688138,410.0181621737231,386.99047070003394,393.2540792671365,404.6906846566483,394.60232943475614,391.57850596794043,399.3047109094745,454.5362458063296,435.2796300914948
