,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,8.67096275087599,8.862459388904957,10.288490194874854,17.673505248443576,15.190151634899964,21.61521851626638,14.853859822522535,25.412648364723758,23.848347192852728,20.784131374098287,21.43078211528199,23.432519419642944,22.15641629922979,22.795422113776105,23.471011636950436,11.792200748980498,11.754571029935306,13.325920441909801,13.531840231808044,10.435325392702401,10.49313013685045,10.46179196701,10.454163570773106,10.428650571142288,10.42178502458978,10.421013836050896,17.4499943544433,16.69895897590699,18.659101874114207,19.24805416003596,19.378119671780425,22.223681643848845,18.1943301364058,18.256118408857063,18.429488477386478,18.065660513444172,18.48434229458463,18.09724350301611,18.112688181344307,18.447682241380377,18.367074056971884,18.334131201465624,18.01601027261203,17.915708346342214,18.57259314874169,19.549767939471437,18.2684703801279,19.645829779122575,17.871863720531127,21.921607771972,19.69127722540449,20.784084831428288,21.938412330238375,21.963200460946673,22.017737223619463,21.96442433557859,19.08017879428354,19.266788043747717,19.135115784056964,20.877562530835473,24.966077806424487,22.072497395436862,18.354343264339185,19.618358278810284,19.897144404117924,20.943576293920835,20.079827743406863,20.878969834460513,19.15755349634019,21.700032617754452,3.7126792651958063,9.21527904925249,8.935385506102069,10.443808747170696,21.664785401422506,14.822458516834544,23.942953796333807,23.54927118572822,22.77223528200944,11.76693371103806,11.787736334634564,13.420089316549015,13.481815013760581,10.661664595910283,10.513695292150814,10.549992509487,10.636245363955133,10.532459179786743,10.44702169651678,10.692254333246266,16.798962724947707,19.32654268464247,22.155907074322975,18.26822610602604,18.298253402346006,18.424151457430536,18.128517157212727,18.499293409085027,18.15507498703669,18.036628168294648,18.50318802204022,18.428485308406444,18.375716630780452,18.01800687933449,18.045777687550075,18.57431159700649,19.616856065320857,19.68579684640117,17.765697667386107,21.963511380708074,21.90866939862878,21.978337140579153,22.023128909733998,21.945888000967287,19.078190995413934,19.32600645201224,19.17423374434364,22.09464465390294,18.45392247525011,19.687045627950415,19.89472357151066,20.932977021857546,20.101340849806984,20.885196283276123,19.212930336110134,21.755115597742332
lapgyn4_surgical_actions,8.67096275087599,0.0,8.095712483818357,8.421611533971387,19.96397148932461,17.145516891918057,24.128858307801437,16.21834991603032,27.328741918334444,25.580334884926422,21.906400671682945,22.33869217529992,24.79251497356283,23.618032022394072,24.063976599476053,24.91077967371766,14.021362817414047,13.991699237018558,14.928624771478793,14.660521372285245,10.351343260803063,10.397948464163104,10.37207218305111,10.361424127942644,10.346026936340849,10.347569718018212,10.324076070163674,19.15653234888066,16.86683511023896,20.74024412146469,21.82016705776952,22.482786651641,23.598715493702677,19.392988618138535,19.398278191492814,19.523996507808008,19.28726425825122,19.56775377342887,19.283491215304217,19.313750395079367,19.593649544550715,19.468005496981682,19.443408609871327,19.20661412791416,19.13224881041709,19.628759724019815,21.013085102606667,20.346678679227026,21.04580268354191,20.484232477142427,24.15784531482764,20.614118962581433,21.468058541154335,24.171216470084765,24.184813499962353,24.232550686902012,24.19126677002741,19.912739214585365,20.498757317392815,20.41587643917298,22.16794929813267,26.911867101053694,22.15303705049005,19.073910312378636,20.52667692590439,20.019013378869552,21.114624525978257,20.364606855267148,21.26791748020299,20.694531102249236,23.604890807214574,8.750772400504875,7.015647563034359,8.143648612887096,8.570972246669047,24.176139316353954,16.186731683670544,25.678118207702532,24.938394251779233,24.04612137876159,14.015509605556321,14.01603845671888,15.005714060268403,14.641316735234994,10.591144675766522,10.43887100665496,10.454587018754001,10.529115122571344,10.376032193302084,10.357753695948782,10.651139541521495,16.92372236866671,21.899799344069052,23.536268583048287,19.45686540376095,19.413031655911414,19.483856699625132,19.31617608509711,19.610408476602913,19.331535893334213,19.287665121832568,19.625649379061556,19.50502433927444,19.50718596415532,19.204060934715148,19.217488039682046,19.614178389231874,21.04656546928011,21.110087433817398,20.35218450797514,24.194257184245902,24.136417926476206,24.207146208201273,24.254104024691927,24.186029759596437,19.91929039596176,20.53439333510559,20.435440988679193,22.1853379091868,19.17626831846122,20.54175292038105,20.040454013746206,21.14737449710955,20.420482149874942,21.33766745316657,20.735864029685995,23.644150776552937
lapgyn4_instrument_count,8.862459388904957,8.095712483818357,0.0,8.006510598545816,19.183619143636715,17.155725914284506,23.485841218870952,16.174509373157512,26.745999426381495,24.932104189322942,21.406521331222706,21.79982601868952,24.30847498105487,23.16470059881013,23.344919916859006,24.10176572863429,13.755621682443472,13.727669833912557,15.114379120322795,15.270005528024107,9.362836309558855,9.420864606163939,9.387422240884737,9.37126540035843,9.384554237073614,9.37990854034923,9.329418488386617,18.8817080027562,17.466547609234283,21.109680765575288,21.131420989894576,21.68055902513345,23.582611375796684,19.62357416534077,19.75796483234071,19.951272949005485,19.506384297102482,20.006502267172312,19.543238182559392,19.56450595050286,19.98693974976549,19.85130391407239,19.79409660391804,19.399147117873053,19.404890292435155,20.0831498721687,21.09184937382004,20.097904181465893,21.176416633637817,20.300019596521643,23.18719799931781,21.06970992541938,21.641918056559618,23.189714253767725,23.208554989597726,23.255088108241452,23.216918031932536,19.34948060619085,20.08181945767508,20.01935884417113,22.377679552371735,25.939950416621542,21.880403220590395,18.914299062040364,19.87730629208461,20.1433536578333,20.64192703924431,20.1482795878037,20.85631672615864,20.622745344791788,22.717537754349813,8.939873807685473,8.380635185462598,6.501023976581552,8.244041543108409,23.54016208799999,16.160502609931036,25.04001459871889,24.453275374597553,23.313709828704035,13.760295898459292,13.740034692175717,15.191150374266146,15.23396881074267,9.618340370339975,9.485018121086057,9.541219476949372,9.591888449702411,9.443100528774739,9.401773254743524,9.703160681075246,17.54613228903103,21.19928783150231,23.52768023929073,19.727805152342462,19.779011097310473,19.876729951602155,19.552884353683936,20.028216808661213,19.587275356041708,19.51952214649523,20.01896853503642,19.92850566316065,19.85626316076052,19.39289049337544,19.52304129497276,20.063698843735594,21.143606460849437,21.238485907213914,20.19666513803235,23.216641129257145,23.155838655928306,23.222019661782603,23.274687488052976,23.20545754815939,19.370368373666068,20.08686324662836,20.04425246057431,21.8952769772703,19.007292376389366,19.888355630681083,20.162154106263934,20.65251218399338,20.19062677646511,20.90407241840594,20.672815805933872,22.758215110150203
lapgyn4_anatomical_actions,10.288490194874854,8.421611533971387,8.006510598545816,0.0,21.15382909732252,19.243542721298752,24.920276221602272,18.201218920901553,27.869496744008867,26.34259265028861,22.622720670135557,23.147589698001514,25.66305260778868,24.693623740430933,24.42606569419882,25.344164682362965,16.178311885704144,15.996584252720588,16.972945795360353,16.987778602100004,11.309305936012894,11.348301286903567,11.309660835343315,11.312883313138734,11.310971893343861,11.300380396528563,11.262526274007344,20.52573175496785,18.3921774546856,22.835220279259005,23.121725714339497,23.684492414177925,24.96091741094161,21.140243869470957,21.239549685231648,21.33678965836291,21.089266063642388,21.379488254260977,21.067000176123877,21.146890669016422,21.405158744838936,21.23569156550436,21.231087208965604,20.9797814068543,20.852837210571494,21.39184113466681,22.38281437900596,21.70362522359978,22.45994150865412,22.139016204212624,25.211873556745424,21.995993625718892,23.017104818259536,25.241003946260506,25.244867672212145,25.283280947844347,25.246937932546356,21.249240609376177,22.135111813928095,22.095805515168394,23.72226464493641,27.693677620464463,23.126182782542173,20.456015469951893,21.453761025706257,21.078219799001452,21.936147685533317,21.197462386914722,22.272451183424963,21.72230191484325,24.703079898531687,10.36311747484902,8.692810826739038,8.12500074964762,4.9798987344848795,24.96838499136658,18.17411517163945,26.46750895977247,25.8098011750906,24.385264721461947,16.142736219940076,15.984898553180852,17.050450185987884,16.96300371906179,11.594566165726608,11.395442671759403,11.428061358002019,11.473269057412104,11.24213759626766,11.306345672202184,11.590144391462003,18.419582342670548,23.200948179170737,24.91590433927565,21.204445974578626,21.246057575031553,21.270525959850197,21.09476660657805,21.40672411792154,21.105709270636595,21.09159509866427,21.448654296807455,21.260176362087073,21.30814950639116,20.989673882836954,20.925683477328082,21.37922786568054,22.432417462648857,22.519046243339417,22.015015583943224,25.23767187243294,25.196865876044924,25.266216001352166,25.306486893350865,25.236984278937182,21.257878164110323,22.145472354389014,22.091897207767083,23.12828761750404,20.52455351755499,21.452568227356068,21.100590743593735,21.985206172334873,21.249793867524158,22.33219750837452,21.765516801668394,24.758664291060157
sklin2_skin_lesions,17.673505248443576,19.96397148932461,19.183619143636715,21.15382909732252,0.0,16.238316985605657,18.311437610990637,17.78308210744329,24.88149614731249,20.671561345743203,20.46187818503617,21.348456489899803,22.63317079779518,21.043273809737602,19.934008606337567,20.29595280363548,14.766853678936116,15.192599443957112,17.466813458103218,18.859230009078985,17.842567063635563,17.87381242441426,17.896001743716003,17.861124729067875,17.880762462163464,17.87368330198128,17.82886085187393,9.747953081937172,19.36373147577665,16.623498233347284,17.04264559148354,12.377175287914945,19.43976595942272,19.665367340397786,19.84268494905184,19.994613999562482,19.54920874834829,20.023469340521082,19.556802495857248,19.517435734861337,20.05166238378588,20.074632505292318,19.77190811485195,19.18842089319908,19.603063102044906,20.131296124856114,21.763625342964293,9.157038006547019,21.98244189534426,9.93384300985517,15.639742569936416,22.786622672620243,20.07626677758248,15.669564853386301,15.681146014854502,15.695942236887849,15.699884399359451,16.096423737500814,15.992852572729443,16.004522797152653,17.848598233699946,18.619596170151297,22.770455707325603,19.38686338932579,20.299956205548355,22.11125273717549,21.927975068949024,21.31856877406048,21.04791532554306,17.708572831199792,15.000610248397638,17.623187090339087,20.002015746587603,19.475152700469604,21.3530237557786,18.359725716484835,17.719766307715034,20.782384237581205,22.679158863011008,19.91993445897528,14.769692366640722,15.104741120641743,17.53393504282431,18.89347348719762,17.893980789790525,17.879128802868845,18.016604740867447,17.962263461286582,18.026432187585225,17.82675622586565,17.865303437587592,19.631555109634846,17.118556359786343,19.38746661494308,19.83606653806459,19.946464851680318,19.93498995564758,19.635415404082508,19.883706870541136,19.55699982538485,19.392808946011943,20.08735665215409,20.152180769868398,19.856371020272036,19.219582049470148,19.85697311732558,20.158420574821527,21.86332521835144,22.015534462703485,10.022572195011271,15.66958052561505,15.63599766485952,15.740255079348069,15.723026250145406,15.673110947691985,16.078211543469166,15.993208846252594,16.025825016783912,22.7502361218044,19.478475037027295,20.410099643041317,22.075197997380137,21.910407829787264,21.30584503189943,20.98928311142771,17.707983778407566,15.061870737831034
identify_nbi_infframes,15.190151634899964,17.145516891918057,17.155725914284506,19.243542721298752,16.238316985605657,0.0,12.795503456179002,17.729027523034596,22.681421112887406,15.629684715043986,19.081497097541018,19.828684445592465,20.11841020337279,18.62795370109137,16.66965781817197,16.747905720736902,15.165115667229754,15.319025502108248,16.86808499405968,17.595838910063883,15.958793165300943,16.131060708883403,15.950636402042178,15.902207759192095,16.013038461275897,15.984794214181292,16.070116075932546,14.773468222372356,16.56755112176708,15.152897606139046,14.703140461358203,16.661440545427247,19.424701916799364,18.321511750105067,17.797730915678446,17.751520408805987,18.337686597597624,17.728976137455767,18.085393789434207,18.139180176495763,17.66402482643902,18.06287505771138,17.533929856112337,18.144269947895165,17.808101691116928,17.62445869245737,19.58092822423992,15.370365525940553,19.930760118892184,13.953587815584813,18.489293234060916,22.0131470998881,20.477327951935752,18.46242385095749,18.505516566136443,18.538800355967446,18.50448942491846,19.698839956077414,19.771414132605095,19.71343778688705,14.262512745113138,20.484574155511318,20.599216403249457,17.8601879503844,17.894654982734032,20.556802691613242,19.651528893087416,18.666089130006856,19.52513269377231,17.286037836356925,19.110741510479667,15.171022160101899,17.526313254742092,17.487937293098216,19.495214530007516,12.83973521944058,17.603239079386242,15.87516578848702,20.20205482900644,16.634018734713713,15.120558254643514,15.187874161065285,16.954625882272953,17.60158768426428,16.082510177073875,15.935964064610108,16.52246694127515,16.327305037479086,16.366654319177517,16.282389614225323,16.03287466657037,16.79190624023049,14.810838386129852,19.343247008659183,18.462395309000712,18.059599952596386,17.828853886379825,18.667299915283,17.582088851249818,18.11872740309679,18.12452329975342,17.838412731608386,18.102857536944647,17.95342243148726,18.258603501824467,17.909783684855093,17.879070630113095,19.690195186419,19.941444133084744,13.893237919232531,18.496281676445683,18.466405434428953,18.481463603561743,18.53902817096408,18.515567092464536,19.778321651177833,19.747777659976233,19.692756532055444,20.56895239771486,18.00850386505298,18.059711815634543,20.644462994108075,19.6823724025517,18.576968877883075,19.479751381042774,17.310008277840318,19.164556346413733
laryngeal_tissues,21.61521851626638,24.128858307801437,23.485841218870952,24.920276221602272,18.311437610990637,12.795503456179002,0.0,23.012657113794774,22.2188021469059,8.91809204933944,18.577122132419035,20.212242316887604,15.304183981396491,13.850153969040722,12.665580690754412,12.761305002146388,21.149855449885674,21.10550519038903,22.167395128230524,24.25441178949704,23.66301529219264,23.764916248047378,23.716162888669885,23.67261221844149,23.711288481338162,23.70317935718301,23.74301765311687,16.12696468523641,21.963629827183144,19.11608020829719,15.098100263875006,18.013218994136153,21.52854637924429,24.10505910192242,23.793034359383853,23.508202869025958,24.15008495706946,23.400640603482387,24.06800251697233,24.14169324264563,23.349636972549867,23.77266211883625,23.559213022995703,24.10879756111668,23.269884924882007,23.206831648144775,24.114142797623707,17.94930461945408,24.60501177334939,14.146692896928027,20.714837386606334,27.649199138257238,24.026621933156108,20.716151832216788,20.735713108762685,20.75829524249442,20.75830770430981,21.94657610809991,21.937189022061133,21.911891376503196,16.06026193512888,22.21720605194827,23.489455401342298,22.805967654860947,22.35512756711082,24.54332211353991,23.40222777890829,22.154836981553526,22.787390958159097,19.651438325050727,22.3925813510154,21.519722205426376,24.670157519507683,23.704947362737773,25.16426585597654,0.6783561772136841,22.915783616859272,9.152317631603772,15.281533119918542,12.624909152017132,21.022169180171122,21.03095232290488,22.279133918929524,24.25478973111902,23.716812468391968,23.630453982069096,23.958868710297903,23.991655067150628,23.86157347475241,23.731183795759648,23.695636046825935,22.276012496590006,15.17083422241013,21.484111654804448,24.171765083930207,23.91807433923092,23.48620193742829,24.38616697794121,23.21382673393105,23.969674182860945,23.98778589031383,23.516319827536424,23.75699057725933,23.601037759252883,24.279335195415133,23.418076817002703,23.38933157149907,24.270681979114684,24.565813390378615,14.150671427300743,20.72317968185687,20.708394831592372,20.710869128065664,20.758727390639628,20.755337292324775,22.00358596115916,21.89170267908915,21.943736750347615,23.428358187555645,22.92597716445736,22.473529535950362,24.482176365327028,23.397950538801055,22.10966190180127,22.741907586200313,19.659304231182322,22.4842310998674
nerthus_bowel_cleansing_quality,14.853859822522535,16.21834991603032,16.174509373157512,18.201218920901553,17.78308210744329,17.729027523034596,23.012657113794774,0.0,27.555885573455118,22.84128947610999,21.10851757320187,21.618539237211152,23.34527888364322,22.02926277328241,21.80095955940918,22.460206856862406,11.093268706828248,10.15464917864075,5.118703913614011,10.761028669120767,13.638359075709399,13.608085039310701,13.62867172968381,13.65565530012125,13.656859656921418,13.623840344679081,13.639049585522166,17.53336462369395,13.578738037128424,20.051036763890643,20.15503808001197,21.843901206952943,19.645866528064793,18.178416564158304,17.82728339431693,17.94723964560664,17.956765715958205,17.910383867874245,17.962969797522376,17.87357808763061,17.974433458608132,18.14885696940856,17.87949256487317,17.814684872073617,17.976632805119323,18.06559927747761,20.619825754816045,18.33522244947773,20.638274182808445,19.327343055104144,19.324368017468533,20.578558516077244,17.79969980012094,19.310506683543156,19.323514962498244,19.387201154185654,19.32894008955087,13.540109815549755,13.68608859571071,13.538508679778644,20.974727061060037,22.049200498799397,20.728216944793246,16.33388361038581,17.341066922361453,18.9691134787019,19.37518007589881,18.179182394182106,18.474207937239242,21.7813453028754,18.528572281787667,14.863295272093946,16.866046695597454,16.27412231766018,18.312386928942725,23.064056754877377,2.8510250143494797,22.856458095453114,23.426425390412483,21.81600678777013,11.080380778664024,10.424684133845203,5.240211756627094,10.780785304718009,13.710680410118554,13.650758978998464,13.73827431687312,13.75498872980435,13.738408607791847,13.657066436496482,13.69543654850089,13.655612929038938,20.255923470682312,19.57303675254751,18.287912490001766,17.903028419164098,17.932331810503737,18.055401026803466,17.883886679898758,17.977117129085833,17.841612579823682,18.008219327096086,18.25244335467246,17.95970636960565,17.821362416432965,18.08853361238403,18.083403400208013,20.615487855862924,20.69540586017817,19.22524070043096,19.384588544426084,19.274580182112885,19.320263586392905,19.410019873165815,19.312030522477343,13.619036375981459,13.778450199378298,13.541326713809223,20.770573025674715,16.375360856782624,17.423504009382857,18.98003229344308,19.34569415448449,18.187908786870885,18.43537588971342,21.822706170841126,18.531725881242323
stanford_dogs_image_categorization,25.412648364723758,27.328741918334444,26.745999426381495,27.869496744008867,24.88149614731249,22.681421112887406,22.2188021469059,27.555885573455118,0.0,23.638298532155705,21.258710895255135,22.010883560544947,21.202120293536392,22.427054703489578,22.884715402331352,23.644576416346144,25.472893201784316,25.7346053199299,26.461726507080094,27.770563212112247,27.433962527323807,27.52105316032588,27.48857029558706,27.457288373089895,27.474227566809496,27.474357163436117,27.475065653335328,23.747004097396662,27.992410050812943,24.25379414562547,22.88913209219465,25.654774839723576,26.219409398979455,28.747843277439266,28.483741647344786,28.28536510378577,28.73807106177344,28.235592116516774,28.693760915257283,28.69770140692673,28.183475848253238,28.483056772153585,28.369432004361677,28.76243506871164,27.97466029255935,28.17794772726007,28.67504594590767,24.897563767298465,29.04543171065898,24.192766752932044,26.55648263942115,30.790391759310573,27.079791621740647,26.556089915765256,26.582354518507596,26.61160222245463,26.584465040915354,27.14137647753377,26.95115875210636,26.907347697367957,23.848768123982232,27.97528725620416,27.942588178512775,26.853246935201057,26.279503560156527,28.647801025500247,27.020471923569765,26.488211721612863,26.924872942318338,24.365083104003354,27.33604636483942,25.290489190257205,27.563637400086826,26.961151430445177,28.121611001024263,22.229814702662505,27.526547891189807,23.774500315196264,21.752164602813302,22.888187861648387,25.378508449601114,25.668432041133066,26.52649412249512,27.753260652596865,27.564054843152896,27.462404100523226,27.68624874951721,27.65595579880327,27.57091387387406,27.4719845620833,27.466344405318342,28.17981177399169,22.99031593904047,26.225490337893397,28.818929813470582,28.525954633626966,28.307115340694878,28.870769816633604,28.130001650780255,28.69328838406765,28.557280912569148,28.344553733604148,28.43953324432328,28.411878748733436,28.86354259546173,28.089475190698536,28.281736373624806,28.807125407950547,29.04488111399096,24.21314259302169,26.551993024884954,26.556520697897014,26.581029171451085,26.614036846972258,26.56841977317412,27.17881345946052,27.003432504029767,26.906849307311035,27.91626877787679,26.90255901691312,26.356700943898716,28.624299417587885,27.04020278887878,26.487014455857214,26.879105861007893,24.34980535661165,27.41528613408886
svhn,23.848347192852728,25.580334884926422,24.932104189322942,26.34259265028861,20.671561345743203,15.629684715043986,8.91809204933944,22.84128947610999,23.638298532155705,0.0,18.926714780204456,19.911967632476824,12.114665707120517,10.628902902211843,9.3033795249675,9.370268044876852,22.14438753809387,22.16976293353076,22.443111403622655,23.847979432895542,24.193900170879587,24.26739291105704,24.233775661680156,24.184391912040088,24.243452448318536,24.22128364350454,24.25555070993577,19.298922871228,22.14724166958664,20.722213453093744,16.006975658599018,22.757675202207956,21.616731321643258,23.462895320973153,23.125636090399084,22.89616407722945,23.47988897199547,22.79901359029006,23.415580603761036,23.454687710638392,22.729073356187385,23.112321292781974,22.932425105387097,23.43227830757852,22.594271687510016,22.653941019471603,23.44207246473055,20.656923461783933,23.832675579517883,18.6108750745014,21.888652030020335,26.715209999851417,22.67618472943364,21.885895680219324,21.906741313094898,21.937717436466777,21.910436814486573,22.410549939233924,22.175514108535523,22.14837782437004,18.417373316643577,23.200340386932503,21.192795846107764,21.47514055336522,20.526782764860997,22.55951249427475,21.110925819141045,19.49329728129722,20.554135336510754,22.067843613263744,23.18179857000022,23.828790879691212,25.569954804850944,25.09836422191777,26.568310131702198,8.967503516459988,22.762842017131995,2.943463149986917,12.06887677866398,9.301838406244961,22.046511664948646,22.112141876456448,22.513234887936633,23.888770492464573,24.283812275361957,24.1377362746902,24.458733798146923,24.451726805644967,24.37260559817868,24.257889434634507,24.153886435839127,22.452010673126715,16.062767389457733,21.591318850908138,23.50053248327691,23.202152025542212,22.843226145705906,23.671599562869595,22.62712920404254,23.35016008035413,23.311606181624533,22.875947318483227,23.071709488567123,22.99120240460227,23.601567121006568,22.763074781650595,22.766924637551163,23.574283116912362,23.809103444745283,18.610004733577327,21.887747249453433,21.875763340521594,21.87811015057828,21.92932895752671,21.905159815866945,22.435032058791016,22.141709911098253,22.167090829126366,21.202274022295924,21.596471375939736,20.616893879644767,22.541076095799287,21.11475522713861,19.432309926282038,20.546777120236364,22.07002509872145,23.256019308696914
