,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,8.746574401855469,8.937776565551758,10.359170913696289,17.728782653808594,15.254865646362305,21.66147804260254,14.924565315246582,25.488235473632812,23.89409637451172,20.886354446411133,21.53375244140625,23.49573516845703,22.220273971557617,22.834186553955078,23.512271881103516,11.870773315429688,11.823901176452637,13.406061172485352,13.588708877563477,10.505088806152344,10.560583114624023,10.533946990966797,10.524642944335938,10.498573303222656,10.491241455078125,10.492340087890625,17.507909774780273,16.759302139282227,18.721437454223633,19.294845581054688,19.42906379699707,22.263378143310547,18.24795913696289,18.311765670776367,18.482566833496094,18.125164031982422,18.53819465637207,18.15155792236328,18.1690673828125,18.505678176879883,18.423744201660156,18.386878967285156,18.071514129638672,17.97108268737793,18.63079261779785,19.600481033325195,18.31661605834961,19.695478439331055,17.921649932861328,21.956647872924805,19.741107940673828,20.833023071289062,21.97092056274414,21.9962158203125,22.050203323364258,21.99783706665039,19.141094207763672,19.331697463989258,19.200790405273438,20.930805206298828,24.98975372314453,22.13260269165039,18.41337776184082,19.679323196411133,19.958080291748047,20.99974822998047,20.141355514526367,20.937259674072266,19.222068786621094,21.7442569732666,,9.289224624633789,9.015093803405762,10.517669677734375,21.708232879638672,14.893584251403809,23.986759185791016,23.607580184936523,22.807415008544922,11.843339920043945,11.856473922729492,13.4950590133667,13.537464141845703,10.7308349609375,10.585087776184082,10.62320613861084,10.703554153442383,10.599059104919434,10.522354125976562,10.765003204345703,16.85808753967285,19.3710994720459,22.196605682373047,18.324474334716797,18.349517822265625,18.482589721679688,18.178466796875,18.553096771240234,18.207902908325195,18.08696174621582,18.56426239013672,18.481796264648438,18.429916381835938,18.069822311401367,18.099393844604492,18.62986183166504,19.6702880859375,19.7364501953125,17.819568634033203,21.99688720703125,21.942707061767578,22.012908935546875,22.05575942993164,21.977210998535156,19.13888931274414,19.39238929748535,19.23656463623047,22.15493392944336,18.517635345458984,19.74847412109375,19.948261260986328,20.989227294921875,20.16427993774414,20.94009017944336,19.276134490966797,21.800817489624023
lapgyn4_surgical_actions,8.746574401855469,0.0,8.174005508422852,8.495977401733398,20.022911071777344,17.21050262451172,24.172672271728516,16.28563690185547,27.3984317779541,25.626611709594727,21.985626220703125,22.435428619384766,24.85512924194336,23.67832374572754,24.10144805908203,24.950164794921875,14.091463088989258,14.059711456298828,15.000954627990723,14.714412689208984,10.42038345336914,10.462069511413574,10.439244270324707,10.42902946472168,10.415449142456055,10.414161682128906,10.393131256103516,19.218124389648438,16.924274444580078,20.80677604675293,21.866073608398438,22.532875061035156,23.64101791381836,19.449378967285156,19.45745086669922,19.578956604003906,19.347143173217773,19.620502471923828,19.337135314941406,19.37279510498047,19.653377532958984,19.528175354003906,19.499492645263672,19.260540008544922,19.18923568725586,19.689189910888672,21.064292907714844,20.40265464782715,21.095890045166016,20.534164428710938,24.194093704223633,20.665023803710938,21.52062225341797,24.205751419067383,24.21863555908203,24.267578125,24.227066040039062,19.9722900390625,20.55999755859375,20.47762680053711,22.22103500366211,26.937360763549805,22.220481872558594,19.136882781982422,20.58965301513672,20.08180046081543,21.172855377197266,20.433921813964844,21.330345153808594,20.755887985229492,23.651744842529297,8.830310821533203,,8.22313404083252,8.647345542907715,24.218154907226562,16.254497528076172,25.723094940185547,24.99597930908203,24.0838623046875,14.087688446044922,14.08027458190918,15.077125549316406,14.696746826171875,10.659689903259277,10.50699234008789,10.529251098632812,10.598603248596191,10.446388244628906,10.432394027709961,10.720484733581543,16.982118606567383,21.947162628173828,23.579811096191406,19.514263153076172,19.466575622558594,19.54287338256836,19.369104385375977,19.664125442504883,19.38932228088379,19.341745376586914,19.68872833251953,19.56036376953125,19.562362670898438,19.257959365844727,19.273954391479492,19.670495986938477,21.101415634155273,21.161115646362305,20.40390968322754,24.228944778442383,24.172372817993164,24.243499755859375,24.28860855102539,24.219480514526367,19.976158142089844,20.596359252929688,20.495359420776367,22.252281188964844,19.24186897277832,20.60525131225586,20.098915100097656,21.20603370666504,20.490055084228516,21.39724349975586,20.79818344116211,23.692771911621094
lapgyn4_instrument_count,8.937776565551758,8.174005508422852,0.0,8.082952499389648,19.247238159179688,17.228086471557617,23.53014373779297,16.24295425415039,26.817419052124023,24.978422164916992,21.497438430786133,21.903610229492188,24.375520706176758,23.23137855529785,23.383174896240234,24.14569664001465,13.834406852722168,13.796369552612305,15.193216323852539,15.32933235168457,9.433496475219727,9.487027168273926,9.45672607421875,9.438909530639648,9.453758239746094,9.447728157043457,9.398107528686523,18.946666717529297,17.529983520507812,21.18039321899414,21.18284034729004,21.738191604614258,23.63121795654297,19.685550689697266,19.81954002380371,20.011722564697266,19.57193374633789,20.065330505371094,19.60220718383789,19.63006591796875,20.049564361572266,19.915363311767578,19.85566520690918,19.458629608154297,19.467683792114258,20.147151947021484,21.146347045898438,20.153112411499023,21.228687286376953,20.35769271850586,23.229713439941406,21.124250411987305,21.69662857055664,23.229564666748047,23.24858856201172,23.29572296142578,23.25827407836914,19.413114547729492,20.146255493164062,20.087665557861328,22.436626434326172,25.970443725585938,21.95126724243164,18.98296356201172,19.94155502319336,20.20882225036621,20.706310272216797,20.216083526611328,20.922832489013672,20.687114715576172,22.767993927001953,9.025857925415039,8.459819793701172,,8.325444221496582,23.58165740966797,16.231063842773438,25.08489227294922,24.516544342041016,23.35254669189453,13.832498550415039,13.808913230895996,15.26504135131836,15.29348373413086,9.69178295135498,9.556722640991211,9.617940902709961,9.665580749511719,9.513900756835938,9.478524208068848,9.774535179138184,17.606216430664062,21.250211715698242,23.576927185058594,19.790027618408203,19.833797454833984,19.94317626953125,19.611160278320312,20.083486557006836,19.646724700927734,19.577613830566406,20.084209442138672,19.986854553222656,19.917343139648438,19.451194763183594,19.583417892456055,20.123123168945312,21.201005935668945,21.289945602416992,20.252267837524414,23.257484436035156,23.196720123291016,23.263957977294922,23.313779830932617,23.246685028076172,19.432048797607422,20.152597427368164,20.10738182067871,21.96463394165039,19.07481575012207,19.951723098754883,20.22405433654785,20.717084884643555,20.260452270507812,20.966833114624023,20.737117767333984,22.810012817382812
lapgyn4_anatomical_actions,10.359170913696289,8.495977401733398,8.082952499389648,0.0,21.211214065551758,19.304367065429688,24.959327697753906,18.256258010864258,27.940065383911133,26.379854202270508,22.7056941986084,23.239198684692383,25.72110939025879,24.75250244140625,24.4603214263916,25.379749298095703,16.24979019165039,16.059043884277344,17.037784576416016,17.041505813598633,11.376625061035156,11.412176132202148,11.373531341552734,11.376190185546875,11.376669883728027,11.363035202026367,11.330621719360352,20.583744049072266,18.44717025756836,22.898422241210938,23.161014556884766,23.73640251159668,25.004886627197266,21.191734313964844,21.293575286865234,21.38672637939453,21.144184112548828,21.428024291992188,21.11865234375,21.20294761657715,21.4594783782959,21.293212890625,21.282634735107422,21.0316162109375,20.904884338378906,21.44696807861328,22.431838989257812,21.760156631469727,22.507246017456055,22.190261840820312,25.246448516845703,22.046476364135742,23.06952667236328,25.277074813842773,25.27867317199707,25.316808700561523,25.280864715576172,21.306541442871094,22.19227409362793,22.155635833740234,23.77086639404297,27.718490600585938,23.183696746826172,20.51131820678711,21.509796142578125,21.13379669189453,21.990663528442383,21.249141693115234,22.33159637451172,21.780715942382812,24.751163482666016,10.440170288085938,8.76788330078125,8.201178550720215,,25.00223159790039,18.231468200683594,26.504318237304688,25.867176055908203,24.41925621032715,16.209897994995117,16.04697608947754,17.11444854736328,17.015743255615234,11.660938262939453,11.458845138549805,11.499879837036133,11.540349006652832,11.306299209594727,11.379051208496094,11.655926704406738,18.471824645996094,23.240341186523438,24.960506439208984,21.25757598876953,21.294898986816406,21.324838638305664,21.146554946899414,21.456989288330078,21.155759811401367,21.141441345214844,21.506023406982422,21.312185287475586,21.360904693603516,21.038761138916016,20.976665496826172,21.43104362487793,22.48200798034668,22.56584930419922,22.06698226928711,25.27104949951172,25.232622146606445,25.302011489868164,25.34127426147461,25.270601272583008,21.31421661376953,22.20604705810547,22.1480712890625,23.184757232666016,20.583782196044922,21.50751495361328,21.153310775756836,22.0396728515625,21.303499221801758,22.388484954833984,21.82292938232422,24.806230545043945
sklin2_skin_lesions,17.728782653808594,20.022911071777344,19.247238159179688,21.211214065551758,0.0,16.291797637939453,18.35358238220215,17.831024169921875,24.93964958190918,20.712982177734375,20.542924880981445,21.438209533691406,22.690109252929688,21.112728118896484,19.96407699584961,20.32496452331543,14.827314376831055,15.25216293334961,17.517131805419922,18.910720825195312,17.9017391204834,17.933109283447266,17.95574188232422,17.92296028137207,17.94205665588379,17.93658447265625,17.89019203186035,9.834985733032227,19.415857315063477,16.680015563964844,17.088638305664062,12.455850601196289,19.4859561920166,19.721515655517578,19.89728546142578,20.048131942749023,19.605918884277344,20.077245712280273,19.612815856933594,19.575740814208984,20.108295440673828,20.130035400390625,19.827865600585938,19.240530014038086,19.656675338745117,20.188674926757812,21.811283111572266,9.243385314941406,22.027631759643555,10.014289855957031,15.686834335327148,22.830347061157227,20.12565803527832,15.712722778320312,15.727672576904297,15.740891456604004,15.74557876586914,16.149463653564453,16.047985076904297,16.058521270751953,17.894081115722656,18.65580940246582,22.821931838989258,19.438793182373047,20.34947967529297,22.15825653076172,21.975608825683594,21.36618423461914,21.094593048095703,17.76136589050293,15.05810832977295,17.676877975463867,20.060380935668945,19.533344268798828,21.40863800048828,18.399978637695312,17.769817352294922,20.820953369140625,22.732084274291992,19.948070526123047,14.827113151550293,15.161531448364258,17.582544326782227,18.94430923461914,17.95139503479004,17.934326171875,18.077713012695312,18.01802635192871,18.08301544189453,17.889053344726562,17.920875549316406,19.682279586791992,17.163835525512695,19.43229103088379,19.889957427978516,19.999860763549805,19.990726470947266,19.69073486328125,19.93758773803711,19.6107234954834,19.446809768676758,20.141193389892578,20.204345703125,19.909122467041016,19.27361297607422,19.909841537475586,20.210609436035156,21.912744522094727,22.062984466552734,10.097243309020996,15.715529441833496,15.679765701293945,15.784921646118164,15.770038604736328,15.717866897583008,16.130718231201172,16.046493530273438,16.080575942993164,22.796302795410156,19.530811309814453,20.459732055664062,22.121131896972656,21.956743240356445,21.35531234741211,21.033517837524414,17.758991241455078,15.11581039428711
identify_nbi_infframes,15.254865646362305,17.21050262451172,17.228086471557617,19.304367065429688,16.291797637939453,0.0,12.845603942871094,17.78329849243164,22.745811462402344,15.675323486328125,19.154943466186523,19.932254791259766,20.177738189697266,18.69176483154297,16.700923919677734,16.78078842163086,15.228673934936523,15.377616882324219,16.92142677307129,17.64982795715332,16.031169891357422,16.196748733520508,16.01822853088379,15.97269344329834,16.081972122192383,16.054553985595703,16.139007568359375,14.828462600708008,16.631488800048828,15.20792293548584,14.752886772155762,16.7092227935791,19.462554931640625,18.375091552734375,17.852092742919922,17.805192947387695,18.394065856933594,17.783550262451172,18.1417293548584,18.194549560546875,17.719757080078125,18.121965408325195,17.593191146850586,18.198665618896484,17.85926628112793,17.679645538330078,19.62843132019043,15.420207977294922,19.97506332397461,14.009254455566406,18.527732849121094,22.05828857421875,20.525754928588867,18.50214385986328,18.543270111083984,18.575838088989258,18.542247772216797,19.754743576049805,19.824378967285156,19.765716552734375,14.30910873413086,20.513111114501953,20.66130256652832,17.916122436523438,17.94651985168457,20.61347198486328,19.702449798583984,18.725502014160156,19.58047103881836,17.34332275390625,19.15691375732422,15.234127044677734,17.587669372558594,17.54882049560547,19.55521011352539,12.890182495117188,17.659046173095703,15.92289924621582,20.260662078857422,16.661712646484375,15.180532455444336,15.246487617492676,17.006484985351562,17.6534423828125,16.153831481933594,16.006093978881836,16.588260650634766,16.39386749267578,16.432842254638672,16.343952178955078,16.10297203063965,16.85387420654297,14.860074043273926,19.381420135498047,18.51388931274414,18.107961654663086,17.880300521850586,18.713844299316406,17.630626678466797,18.168643951416016,18.174053192138672,17.8914794921875,18.156023025512695,18.004243850708008,18.31218910217285,17.960954666137695,17.930238723754883,19.73697853088379,19.985443115234375,13.949054718017578,18.533302307128906,18.50545883178711,18.519847869873047,18.576305389404297,18.551467895507812,19.83336639404297,19.803478240966797,19.744293212890625,20.62560272216797,18.067773818969727,18.113887786865234,20.694175720214844,19.731138229370117,18.63491439819336,19.53615379333496,17.36802101135254,19.21019744873047
laryngeal_tissues,21.66147804260254,24.172672271728516,23.53014373779297,24.959327697753906,18.35358238220215,12.845603942871094,0.0,23.049888610839844,22.267383575439453,8.964319229125977,18.63315200805664,20.280170440673828,15.35599136352539,13.9069185256958,12.6934814453125,12.790470123291016,21.190967559814453,21.142948150634766,22.204578399658203,24.29153060913086,23.710365295410156,23.8099308013916,23.76180648803711,23.718748092651367,23.75758171081543,23.74995994567871,23.79012680053711,16.170249938964844,22.006040573120117,19.162830352783203,15.127653121948242,18.05486297607422,21.555213928222656,24.14291763305664,23.831127166748047,23.545867919921875,24.189285278320312,23.4375,24.10588836669922,24.179710388183594,23.388952255249023,23.813291549682617,23.597322463989258,24.145315170288086,23.307449340820312,23.24700164794922,24.145275115966797,17.989105224609375,24.63455581665039,14.19352912902832,20.740829467773438,27.677513122558594,24.062416076660156,20.741453170776367,20.761348724365234,20.782817840576172,20.78411865234375,21.985204696655273,21.981163024902344,21.952247619628906,16.100210189819336,22.235811233520508,23.52712631225586,22.843645095825195,22.39011001586914,24.57834243774414,23.437814712524414,22.192039489746094,22.828453063964844,19.688339233398438,22.423477172851562,21.561683654785156,24.709182739257812,23.74748992919922,25.201805114746094,,22.952346801757812,9.19430160522461,15.333089828491211,12.651654243469238,21.06171417236328,21.070358276367188,22.313390731811523,24.292022705078125,23.7609920501709,23.673748016357422,24.005826950073242,24.033384323120117,23.907041549682617,23.77608871459961,23.737934112548828,22.318220138549805,15.200604438781738,21.512022018432617,24.210994720458984,23.955089569091797,23.52269172668457,24.42190170288086,23.250242233276367,24.00783920288086,24.02312469482422,23.554370880126953,23.794384002685547,23.636634826660156,24.315582275390625,23.456424713134766,23.424518585205078,24.302051544189453,24.595632553100586,14.194225311279297,20.747325897216797,20.733797073364258,20.735992431640625,20.784574508666992,20.780874252319336,22.039918899536133,21.936038970947266,21.982704162597656,23.463848114013672,22.964080810546875,22.51007843017578,24.513439178466797,23.433008193969727,22.14554214477539,22.776439666748047,19.69647979736328,22.513343811035156
nerthus_bowel_cleansing_quality,14.924565315246582,16.28563690185547,16.24295425415039,18.256258010864258,17.831024169921875,17.78329849243164,23.049888610839844,0.0,27.616348266601562,22.876617431640625,21.189441680908203,21.705528259277344,23.39605140686035,22.084659576416016,21.82986068725586,22.488927841186523,11.16721248626709,10.21994400024414,5.168630599975586,10.821292877197266,13.701322555541992,13.667854309082031,13.690382957458496,13.714583396911621,13.72018051147461,13.68557071685791,13.701007843017578,17.586929321289062,13.62883472442627,20.105873107910156,20.201519012451172,21.88857650756836,19.679134368896484,18.226787567138672,17.878602981567383,17.995155334472656,18.006908416748047,17.958038330078125,18.01218605041504,17.926143646240234,18.02499008178711,18.20077133178711,17.92728042602539,17.862377166748047,18.025419235229492,18.11888885498047,20.661008834838867,18.377586364746094,20.677867889404297,19.37135124206543,19.35917091369629,20.61895751953125,17.84211540222168,19.343242645263672,19.357074737548828,19.419832229614258,19.361217498779297,13.598366737365723,13.748489379882812,13.601835250854492,21.018686294555664,22.075305938720703,20.77622413635254,16.384357452392578,17.38592529296875,19.02082061767578,19.417633056640625,18.226985931396484,18.521560668945312,21.834218978881836,18.567773818969727,14.938263893127441,16.921619415283203,16.340656280517578,18.36888885498047,23.098350524902344,,22.89083480834961,23.47132110595703,21.843982696533203,11.148880958557129,10.491724014282227,5.29274845123291,10.841337203979492,13.771746635437012,13.715275764465332,13.802167892456055,13.813488006591797,13.796340942382812,13.719606399536133,13.756715774536133,13.70940113067627,20.29981231689453,19.608802795410156,18.338485717773438,17.947948455810547,17.98017120361328,18.1005916595459,17.931528091430664,18.022104263305664,17.88715362548828,18.062454223632812,18.299339294433594,18.005680084228516,17.86871337890625,18.13644790649414,18.131986618041992,20.656314849853516,20.735300064086914,19.270463943481445,19.41587257385254,19.308319091796875,19.35383415222168,19.444507598876953,19.345142364501953,13.678014755249023,13.841731071472168,13.600730895996094,20.813331604003906,16.426361083984375,17.468507766723633,19.027301788330078,19.388736724853516,18.237316131591797,18.48031234741211,21.87442398071289,18.57490348815918
stanford_dogs_image_categorization,25.488235473632812,27.3984317779541,26.817419052124023,27.940065383911133,24.93964958190918,22.745811462402344,22.267383575439453,27.616348266601562,0.0,23.68402099609375,21.36505126953125,22.129140853881836,21.303813934326172,22.501407623291016,22.932334899902344,23.690221786499023,25.553007125854492,25.804790496826172,26.533489227294922,27.828418731689453,27.498321533203125,27.582843780517578,27.551918029785156,27.519132614135742,27.53810691833496,27.54039764404297,27.537784576416016,23.805240631103516,28.043079376220703,24.324508666992188,22.93816375732422,25.70665740966797,26.269071578979492,28.80048370361328,28.539722442626953,28.33976173400879,28.79425048828125,28.28870964050293,28.74610137939453,28.754398345947266,28.241718292236328,28.541982650756836,28.422386169433594,28.81326675415039,28.028656005859375,28.24009132385254,28.722312927246094,24.950016021728516,29.09368896484375,24.24693489074707,26.598384857177734,30.837215423583984,27.141841888427734,26.597576141357422,26.62353515625,26.65291404724121,26.627201080322266,27.20054054260254,27.00908088684082,26.969196319580078,23.904346466064453,28.01578140258789,27.998573303222656,26.909236907958984,26.334461212158203,28.703929901123047,27.07685089111328,26.54157066345215,26.98124885559082,24.44134521484375,27.381025314331055,25.36685562133789,27.63044548034668,27.027706146240234,28.189361572265625,22.27560043334961,27.585792541503906,23.818204879760742,21.8483943939209,22.93288803100586,25.449594497680664,25.73841094970703,26.595680236816406,27.812015533447266,27.624099731445312,27.522783279418945,27.757490158081055,27.715858459472656,27.630704879760742,27.544099807739258,27.5311336517334,28.2286376953125,23.038110733032227,26.274463653564453,28.873903274536133,28.577926635742188,28.362152099609375,28.924179077148438,28.185007095336914,28.746732711791992,28.609085083007812,28.40595817565918,28.493019104003906,28.4644775390625,28.916200637817383,28.143985748291016,28.337203979492188,28.856555938720703,29.093210220336914,24.26675796508789,26.59485626220703,26.597919464111328,26.6224365234375,26.656471252441406,26.60931396484375,27.234397888183594,27.06448745727539,26.96612548828125,27.971399307250977,26.9620304107666,26.41260528564453,28.679636001586914,27.09662437438965,26.54222869873047,26.937271118164062,24.42169952392578,27.46206283569336
svhn,23.89409637451172,25.626611709594727,24.978422164916992,26.379854202270508,20.712982177734375,15.675323486328125,8.964319229125977,22.876617431640625,23.68402099609375,0.0,18.986083984375,19.979225158691406,12.174344062805176,10.690281867980957,9.33835220336914,9.41309928894043,22.18431854248047,22.20862579345703,22.47870635986328,23.881786346435547,24.240962982177734,24.311023712158203,24.28014373779297,24.231231689453125,24.289512634277344,24.268075942993164,24.30157470703125,19.338653564453125,22.186424255371094,20.769126892089844,16.03816795349121,22.792573928833008,21.647178649902344,23.499065399169922,23.164321899414062,22.93475914001465,23.517662048339844,22.834760665893555,23.452362060546875,23.492599487304688,22.769676208496094,23.150794982910156,22.971277236938477,23.467573165893555,22.63186264038086,22.693241119384766,23.473112106323242,20.69309425354004,23.86440086364746,18.650484085083008,21.91472625732422,26.744775772094727,22.712604522705078,21.912124633789062,21.93334197998047,21.963041305541992,21.9357852935791,22.44778060913086,22.213607788085938,22.185985565185547,18.45471954345703,23.216999053955078,21.233745574951172,21.51532745361328,20.565099716186523,22.59860610961914,21.150531768798828,19.536218643188477,20.59284019470215,22.104541778564453,23.208480834960938,23.873554229736328,25.610851287841797,25.139719009399414,26.605308532714844,9.012901306152344,22.800643920898438,,12.132899284362793,9.337026596069336,22.086633682250977,22.15037727355957,22.548370361328125,23.923812866210938,24.330425262451172,24.182819366455078,24.50495147705078,24.496028900146484,24.41827392578125,24.30169677734375,24.201480865478516,22.493000030517578,16.09288787841797,21.621173858642578,23.536418914794922,23.238204956054688,22.882488250732422,23.706823348999023,22.665145874023438,23.38660430908203,23.346817016601562,22.917545318603516,23.108539581298828,23.027908325195312,23.637516021728516,22.79908561706543,22.806793212890625,23.60836410522461,23.841129302978516,18.64961814880371,21.914474487304688,21.903104782104492,21.90406036376953,21.955671310424805,21.930511474609375,22.470382690429688,22.180355072021484,22.203657150268555,21.24059295654297,21.636371612548828,20.654136657714844,22.578903198242188,21.15522003173828,19.474430084228516,20.58458709716797,22.10653305053711,23.282583236694336
