s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9950265884399414,-0.9578006267547609,-0.9981240034103394,-0.9249999523162842,-0.9849264025688172,-0.7789890766143799,-0.8512040376663208,-0.7117968201637268,-0.7088204622268677,-0.8514147996902466,-0.8837672472000122,-0.6899764537811279,-0.6085952520370483,-0.6812845468521118,-0.8952715396881104,-0.6522606611251831,-0.7396640777587891,-0.6006214022636414,-0.9986176490783693,-0.6979166865348816,-0.9986087083816528,-0.7441525459289551,-0.8908483386039734,-0.941399335861206,-0.9798214435577391,-0.7945517301559448,-0.7923580408096313,-0.7768389582633972,-0.8184143900871277,-0.9981690645217896,-0.9953893423080444,-0.9657610058784484,-0.9451068639755248,-0.8809910416603088,-0.8593143820762634,-0.800696849822998,-0.9131790399551392,-0.732296347618103,-0.8852012157440186,-0.8307828307151794,-0.8393417596817017,-0.9927310943603516,,,,,,,,,,,,,,,,,,,,,,-0.9950265884399414,-0.9981240034103394,-0.9849264025688172,-0.7789890766143799,-0.8512040376663208,-0.7117968201637268,-0.7088204622268677,-0.8514147996902466,-0.8837672472000122,-0.6899764537811279,-0.6085952520370483,-0.6812845468521118,-0.8952715396881104,-0.6522606611251831,-0.7396640777587891,-0.6006214022636414,-0.9986176490783693,-0.9986087083816528,-0.7441525459289551,-0.8908483386039734,-0.7945517301559448,-0.7923580408096313,-0.7768389582633972,-0.8184143900871277,-0.9981690645217896,-0.9953893423080444,-0.9657610058784484,-0.8593143820762634,-0.800696849822998,-0.9131790399551392,-0.732296347618103,-0.8852012157440186,-0.8307828307151794,-0.8393417596817017,-0.9927310943603516,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9934805631637572,,-0.9920965433120728,-0.610714316368103,-0.9925979375839232,-0.7743897438049316,-0.8514283895492554,-0.7215838432312012,-0.7220221757888794,-0.8578760027885437,-0.8801838159561157,-0.6855801343917847,-0.6261476278305054,-0.6748025417327881,-0.90101420879364,-0.6944537162780762,-0.7336198091506958,-0.6251251697540283,-0.9981279373168944,-0.743055522441864,-0.9968856573104858,-0.795240044593811,-0.904673397541046,-0.9538769721984864,-0.971071481704712,-0.8175172805786133,-0.8210220336914062,-0.8379696011543274,-0.8365082144737244,-0.9997854828834534,-0.9934896230697632,-0.963758945465088,-0.949416995048523,-0.869855523109436,-0.8729385137557983,-0.7629455327987671,-0.8956172466278076,-0.7163423895835876,-0.8795056343078613,-0.831824541091919,-0.849829912185669,-0.9980591535568236,-0.9219425320625304,,,,,,,,,,,,,,,,,,,,,-0.9934805631637572,-0.9920965433120728,-0.9925979375839232,-0.7743897438049316,-0.8514283895492554,-0.7215838432312012,-0.7220221757888794,-0.8578760027885437,-0.8801838159561157,-0.6855801343917847,-0.6261476278305054,-0.6748025417327881,-0.90101420879364,-0.6944537162780762,-0.7336198091506958,-0.6251251697540283,-0.9981279373168944,-0.9968856573104858,-0.795240044593811,-0.904673397541046,-0.8175172805786133,-0.8210220336914062,-0.8379696011543274,-0.8365082144737244,-0.9997854828834534,-0.9934896230697632,-0.963758945465088,-0.8729385137557983,-0.7629455327987671,-0.8956172466278076,-0.7163423895835876,-0.8795056343078613,-0.831824541091919,-0.849829912185669,-0.9980591535568236,-0.9219425320625304
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9956490993499756,-0.9076188802719116,-0.9954062700271606,-0.8821429014205933,-0.9868971705436708,-0.7679417133331299,-0.8683670163154602,-0.7384531497955322,-0.7139431238174438,-0.8478311896324158,-0.8930422067642212,-0.714262843132019,-0.6280144453048706,-0.6929928660392761,-0.8993585109710693,-0.6913619041442871,-0.7464889883995056,-0.6129175424575806,-0.9984389543533324,-0.4700520932674408,-0.9976882934570312,-0.7541354894638062,-0.8881082534790039,-0.939950942993164,-0.9835714101791382,-0.7917240858078003,-0.7789649963378906,-0.8120098114013672,-0.843255877494812,-0.998900294303894,-0.993382215499878,-0.9625315070152284,-0.9433979988098145,-0.8999598026275635,-0.8669543266296387,-0.7945707440376282,-0.9173457622528076,-0.73575758934021,-0.8740036487579346,-0.8157817125320435,-0.8428232669830322,,-0.9289377331733704,,,,,,,,,,,,,,,,,,,,,-0.9956490993499756,-0.9954062700271606,-0.9868971705436708,-0.7679417133331299,-0.8683670163154602,-0.7384531497955322,-0.7139431238174438,-0.8478311896324158,-0.8930422067642212,-0.714262843132019,-0.6280144453048706,-0.6929928660392761,-0.8993585109710693,-0.6913619041442871,-0.7464889883995056,-0.6129175424575806,-0.9984389543533324,-0.9976882934570312,-0.7541354894638062,-0.8881082534790039,-0.7917240858078003,-0.7789649963378906,-0.8120098114013672,-0.843255877494812,-0.998900294303894,-0.993382215499878,-0.9625315070152284,-0.8669543266296387,-0.7945707440376282,-0.9173457622528076,-0.73575758934021,-0.8740036487579346,-0.8157817125320435,-0.8428232669830322,,-0.9289377331733704
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.994801104068756,-0.9475135207176208,,-0.7250000238418579,-0.9872496128082277,-0.7764299511909485,-0.8720476627349854,-0.7107279896736145,-0.6938633918762207,-0.8532172441482544,-0.8866070508956909,-0.6747782230377197,-0.6306976675987244,-0.6898868083953857,-0.888109564781189,-0.6776762008666992,-0.7240365743637085,-0.6345389485359192,-0.9987177848815918,-0.8155381679534912,-0.9964414834976196,-0.747327446937561,-0.9186172485351562,-0.9520944356918336,-0.9880356788635254,-0.8048965930938721,-0.8030940890312195,-0.7847866415977478,-0.8549258708953857,-0.9992706775665284,-0.993549346923828,-0.9714204668998718,-0.960795283317566,-0.8724965453147888,-0.8747220635414124,-0.8023509979248047,-0.8951234817504883,-0.7274489402770996,-0.8849914073944092,-0.8173700571060181,-0.8270208835601807,-0.9987718462944032,-0.9278818964958192,,,,,,,,,,,,,,,,,,,,,-0.994801104068756,,-0.9872496128082277,-0.7764299511909485,-0.8720476627349854,-0.7107279896736145,-0.6938633918762207,-0.8532172441482544,-0.8866070508956909,-0.6747782230377197,-0.6306976675987244,-0.6898868083953857,-0.888109564781189,-0.6776762008666992,-0.7240365743637085,-0.6345389485359192,-0.9987177848815918,-0.9964414834976196,-0.747327446937561,-0.9186172485351562,-0.8048965930938721,-0.8030940890312195,-0.7847866415977478,-0.8549258708953857,-0.9992706775665284,-0.993549346923828,-0.9714204668998718,-0.8747220635414124,-0.8023509979248047,-0.8951234817504883,-0.7274489402770996,-0.8849914073944092,-0.8173700571060181,-0.8270208835601807,-0.9987718462944032,-0.9278818964958192
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9957464337348938,-0.9796699285507202,-0.9897639751434326,-0.9428571462631226,,-0.7804080843925476,-0.8543574810028076,-0.7342780828475952,-0.6919329166412354,-0.851084291934967,-0.8812205791473389,-0.6809488534927368,-0.6316635608673096,-0.6881335377693176,-0.898551344871521,-0.652305006980896,-0.7362943887710571,-0.5871739983558655,-0.999199151992798,-0.80859375,-0.997345805168152,-0.7499806880950928,-0.8975138068199158,-0.9564950466156006,-0.9860714673995972,-0.7963448166847229,-0.8254100680351257,-0.775040864944458,-0.8557292819023132,-0.9999258518218994,-0.9969266653060912,-0.9723511934280396,-0.948655605316162,-0.887676477432251,-0.8692247867584229,-0.8203586339950562,-0.9094444513320924,-0.745890736579895,-0.8751492500305176,-0.8180186748504639,-0.8599927425384521,-0.993836522102356,-0.9152261018753052,,,,,,,,,,,,,,,,,,,,,-0.9957464337348938,-0.9897639751434326,,-0.7804080843925476,-0.8543574810028076,-0.7342780828475952,-0.6919329166412354,-0.851084291934967,-0.8812205791473389,-0.6809488534927368,-0.6316635608673096,-0.6881335377693176,-0.898551344871521,-0.652305006980896,-0.7362943887710571,-0.5871739983558655,-0.999199151992798,-0.997345805168152,-0.7499806880950928,-0.8975138068199158,-0.7963448166847229,-0.8254100680351257,-0.775040864944458,-0.8557292819023132,-0.9999258518218994,-0.9969266653060912,-0.9723511934280396,-0.8692247867584229,-0.8203586339950562,-0.9094444513320924,-0.745890736579895,-0.8751492500305176,-0.8180186748504639,-0.8599927425384521,-0.993836522102356,-0.9152261018753052
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9933836460113524,-0.9493985176086426,-0.9918433427810668,-0.2392857074737548,-0.9930790662765504,-0.76626056432724,-0.8670051693916321,-0.7447413206100464,-0.7317527532577515,-0.8501116633415222,-0.882418692111969,-0.7006895542144775,-0.6972588896751404,-0.6922372579574585,-0.9000016450881958,-0.6891844272613525,-0.7387357354164124,-0.6188160181045532,-0.9982447028160096,-0.5993923544883728,-0.9983090162277222,-0.8111451864242554,-0.9259113669395448,-0.9390597343444824,-0.97089284658432,-0.7931379079818726,-0.8125274777412415,-0.806583046913147,-0.8658551573753357,-0.9996451139450072,-0.9931603074073792,-0.9698177576065063,,-0.8797764778137207,-0.8544296026229858,-0.796320915222168,-0.9099999666213988,-0.7285416126251221,-0.8808609247207642,-0.8221390247344971,-0.8606497049331665,-0.9971296191215516,-0.9294421076774596,,,,,,,,,,,,,,,,,,,,,-0.9933836460113524,-0.9918433427810668,-0.9930790662765504,-0.76626056432724,-0.8670051693916321,-0.7447413206100464,-0.7317527532577515,-0.8501116633415222,-0.882418692111969,-0.7006895542144775,-0.6972588896751404,-0.6922372579574585,-0.9000016450881958,-0.6891844272613525,-0.7387357354164124,-0.6188160181045532,-0.9982447028160096,-0.9983090162277222,-0.8111451864242554,-0.9259113669395448,-0.7931379079818726,-0.8125274777412415,-0.806583046913147,-0.8658551573753357,-0.9996451139450072,-0.9931603074073792,-0.9698177576065063,-0.8544296026229858,-0.796320915222168,-0.9099999666213988,-0.7285416126251221,-0.8808609247207642,-0.8221390247344971,-0.8606497049331665,-0.9971296191215516,-0.9294421076774596
caltech101_object_classification,-0.993958294391632,-0.9596742987632751,-0.9035676121711732,-0.9731764793395996,-0.820988118648529,-0.9995498657226562,-1.0,-1.0,,-0.9801236391067504,,,-0.9759279489517212,,-0.999066174030304,,-0.9892422556877136,-0.908447265625,-0.9947747588157654,-0.9822101593017578,-0.9274364709854126,-0.9572749137878418,-0.9869846105575562,-0.8192379474639893,-0.91739159822464,-0.9314223527908324,-0.9733483791351318,-0.8790743947029114,-0.9936978816986084,-0.9298678636550904,-0.98883318901062,-0.9071428775787354,-0.987571895122528,-0.779488742351532,-0.8632495403289795,-0.6736570596694946,-0.7340013980865479,-0.8483976721763611,-0.8820419311523438,-0.6831480264663696,-0.6054151654243469,-0.7007239460945129,-0.9083362817764282,-0.6892287731170654,-0.7473131418228149,-0.6072726249694824,-0.9982696771621704,-0.7261285185813904,-0.99676251411438,-0.729741096496582,-0.9143980145454408,-0.9530971050262452,-0.9787499904632568,-0.7768621444702148,-0.8035789728164673,-0.8504077792167664,-0.8504217863082886,-0.999602198600769,-0.9956124424934388,-0.9735342860221864,-0.9441149234771729,-0.8799068927764893,-0.856317937374115,-0.805682897567749,-0.8945679068565369,-0.7434132099151611,-0.8719222545623779,-0.8159372806549072,-0.8322192430496216,-0.9981154203414916,-0.9311168789863586,-0.993958294391632,-0.9596742987632751,-0.9035676121711732,-0.9731764793395996,-1.0,-1.0,-0.9801236391067504,-0.9759279489517212,-0.999066174030304,-0.9892422556877136,-0.908447265625,-0.9947747588157654,-0.9822101593017578,-0.9274364709854126,-0.9572749137878418,-0.9869846105575562,-0.8192379474639893,-0.91739159822464,-0.9314223527908324,-0.9733483791351318,-0.9936978816986084,-0.98883318901062,-0.987571895122528,-0.779488742351532,-0.8632495403289795,-0.6736570596694946,-0.7340013980865479,-0.8483976721763611,-0.8820419311523438,-0.6831480264663696,-0.6054151654243469,-0.7007239460945129,-0.9083362817764282,-0.6892287731170654,-0.7473131418228149,-0.6072726249694824,-0.9982696771621704,-0.99676251411438,-0.729741096496582,-0.9143980145454408,-0.7768621444702148,-0.8035789728164673,-0.8504077792167664,-0.8504217863082886,-0.999602198600769,-0.9956124424934388,-0.9735342860221864,-0.856317937374115,-0.805682897567749,-0.8945679068565369,-0.7434132099151611,-0.8719222545623779,-0.8159372806549072,-0.8322192430496216,-0.9981154203414916,-0.9311168789863586
caltech256_object_classification,-0.9915950894355774,-0.9568538069725036,-0.8925613164901733,-0.9743869304656982,-0.7863982915878296,-0.998521089553833,-0.9999617338180542,-1.0,,-0.9798356294631958,,,-0.9762016534805298,,-0.9994468092918396,,-0.964948832988739,-0.9225482940673828,-0.9902318716049194,-0.9788180589675904,-0.932141900062561,-0.9490858316421508,-0.9787701368331908,-0.8682030439376831,-0.886192798614502,-0.914781391620636,-0.9751479625701904,-0.8582879900932312,-0.99145770072937,-0.954849123954773,-0.9861868619918824,-0.9142857789993286,-0.9918060302734376,-0.7853367328643799,-0.8657392859458923,-0.6717822551727295,-0.7196322679519653,-0.8440055847167969,-0.8878628611564636,-0.6748743057250977,-0.6293184161186218,-0.6872259974479675,-0.901836097240448,-0.7111369371414185,-0.7287304997444153,-0.5905869007110596,-0.9963558912277222,-0.7990450859069824,-0.9952481985092164,-0.7367753982543945,-0.8964198231697083,-0.9557709693908693,-0.9603570699691772,-0.7967241406440735,-0.7830369472503662,-0.83935546875,-0.8196982145309448,-0.9988807439804076,-0.9925401210784912,-0.9781435132026672,-0.4973421096801758,-0.8774147033691406,-0.8537969589233398,-0.8048877716064453,-0.9153395295143129,-0.7323315143585205,-0.881425678730011,-0.8280254602432251,-0.8496640920639038,-0.9965306520462036,-0.9161351323127748,-0.9915950894355774,-0.9568538069725036,-0.8925613164901733,-0.9743869304656982,-0.9999617338180542,-1.0,-0.9798356294631958,-0.9762016534805298,-0.9994468092918396,-0.964948832988739,-0.9225482940673828,-0.9902318716049194,-0.9788180589675904,-0.932141900062561,-0.9490858316421508,-0.9787701368331908,-0.8682030439376831,-0.886192798614502,-0.914781391620636,-0.9751479625701904,-0.99145770072937,-0.9861868619918824,-0.9918060302734376,-0.7853367328643799,-0.8657392859458923,-0.6717822551727295,-0.7196322679519653,-0.8440055847167969,-0.8878628611564636,-0.6748743057250977,-0.6293184161186218,-0.6872259974479675,-0.901836097240448,-0.7111369371414185,-0.7287304997444153,-0.5905869007110596,-0.9963558912277222,-0.9952481985092164,-0.7367753982543945,-0.8964198231697083,-0.7967241406440735,-0.7830369472503662,-0.83935546875,-0.8196982145309448,-0.9988807439804076,-0.9925401210784912,-0.9781435132026672,-0.8537969589233398,-0.8048877716064453,-0.9153395295143129,-0.7323315143585205,-0.881425678730011,-0.8280254602432251,-0.8496640920639038,-0.9965306520462036,-0.9161351323127748
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9930492043495178,-0.9365711212158204,-0.9923819303512572,-0.8964285850524902,-0.9837961196899414,,,,,,,,,,,,,,-0.9971089959144592,-0.8459200859069824,-0.9934288263320924,-0.773112416267395,-0.8861750960350037,-0.9498662948608398,-0.9666070938110352,-0.8155173063278198,-0.7516683340072632,-0.8225416541099548,-0.7894330024719238,-0.999401330947876,-0.9926910400390624,-0.9741230010986328,-0.9425163269042968,-0.860253095626831,-0.8523596525192261,-0.7837093472480774,-0.8906172513961792,-0.7157069444656372,-0.8675578832626343,-0.789649248123169,-0.8341976404190063,-0.992103099822998,-0.892194390296936,,,,,,,,,,,,,,,,,,,,,-0.9930492043495178,-0.9923819303512572,-0.9837961196899414,,,,,,,,,,,,,,-0.9971089959144592,-0.9934288263320924,-0.773112416267395,-0.8861750960350037,-0.8155173063278198,-0.7516683340072632,-0.8225416541099548,-0.7894330024719238,-0.999401330947876,-0.9926910400390624,-0.9741230010986328,-0.8523596525192261,-0.7837093472480774,-0.8906172513961792,-0.7157069444656372,-0.8675578832626343,-0.789649248123169,-0.8341976404190063,-0.992103099822998,-0.892194390296936
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9904921054840088,-0.8922829031944275,-0.9862902164459229,-0.8821429014205933,-0.9817980527877808,,,,,,,,,,,,,,-0.9967539310455322,-0.8133680820465088,-0.9974367618560792,-0.6961401700973511,-0.869236171245575,-0.9360516667366028,-0.978928565979004,-0.7888275384902954,-0.7679404616355896,-0.7676447629928589,-0.7852339744567871,-0.9990407228469848,-0.9935604333877563,-0.9646957516670228,-0.9316474795341492,-0.8702618479728699,-0.8487516045570374,-0.8043763637542725,-0.8566358685493469,-0.7213545441627502,-0.8335376977920532,-0.7946860194206238,-0.8397669792175293,-0.9869440793991088,-0.8937579393386841,,,,,,,,,,,,,,,,,,,,,-0.9904921054840088,-0.9862902164459229,-0.9817980527877808,,,,,,,,,,,,,,-0.9967539310455322,-0.9974367618560792,-0.6961401700973511,-0.869236171245575,-0.7888275384902954,-0.7679404616355896,-0.7676447629928589,-0.7852339744567871,-0.9990407228469848,-0.9935604333877563,-0.9646957516670228,-0.8487516045570374,-0.8043763637542725,-0.8566358685493469,-0.7213545441627502,-0.8335376977920532,-0.7946860194206238,-0.8397669792175293,-0.9869440793991088,-0.8937579393386841
