s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9816666841506958,-0.850793719291687,-0.9812008142471312,-0.7785714268684387,-0.9612702131271362,-0.7011471390724182,-0.7540754079818726,-0.542660117149353,-0.5899471044540405,-0.7439529895782471,-0.793615460395813,-0.625792384147644,-0.5133150219917297,-0.5993680357933044,-0.8116632699966431,-0.5120899677276611,-0.6075999736785889,-0.5036722421646118,-0.984949231147766,-0.5208333730697632,-0.9897043704986572,-0.5451332330703735,-0.5981674194335938,-0.8948307037353516,-0.9249999523162842,-0.6875861883163452,-0.4881308972835541,-0.4415898323059082,-0.4915895164012909,-0.9884060621261596,-0.938752830028534,-0.7955521941184998,-0.7744632959365845,-0.6315475702285767,-0.779087245464325,-0.731508731842041,-0.8291666507720947,-0.6584709882736206,-0.825486421585083,-0.7492119073867798,-0.7787090539932251,-0.953150987625122,,,,,,,,,,,,,,,,,,,,,,-0.9816666841506958,-0.9812008142471312,-0.9612702131271362,-0.7011471390724182,-0.7540754079818726,-0.542660117149353,-0.5899471044540405,-0.7439529895782471,-0.793615460395813,-0.625792384147644,-0.5133150219917297,-0.5993680357933044,-0.8116632699966431,-0.5120899677276611,-0.6075999736785889,-0.5036722421646118,-0.984949231147766,-0.9897043704986572,-0.5451332330703735,-0.5981674194335938,-0.6875861883163452,-0.4881308972835541,-0.4415898323059082,-0.4915895164012909,-0.9884060621261596,-0.938752830028534,-0.7955521941184998,-0.779087245464325,-0.731508731842041,-0.8291666507720947,-0.6584709882736206,-0.825486421585083,-0.7492119073867798,-0.7787090539932251,-0.953150987625122,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9786111116409302,,-0.9597159624099731,-0.5464285612106323,-0.958884298801422,-0.6981610059738159,-0.7714754939079285,-0.5323145985603333,-0.6141132712364197,-0.7608312368392944,-0.7866286635398865,-0.625478982925415,-0.5226532220840454,-0.6046416163444519,-0.8351420164108276,-0.5376551151275635,-0.6141250133514404,-0.507926344871521,-0.9855141043663024,-0.5833333730697632,-0.9849953651428224,-0.5944694876670837,-0.6315761804580688,-0.9030748605728148,-0.8964285850524902,-0.7318965196609497,-0.4572387933731079,-0.4556019902229309,-0.4712191522121429,-0.9900400638580322,-0.9209049344062804,-0.7788992524147034,-0.8241501450538635,-0.6809523701667786,-0.8004779815673828,-0.6997917890548706,-0.8342592716217041,-0.6505842208862305,-0.8136758208274841,-0.7488683462142944,-0.7885827422142029,-0.9786838293075562,-0.636858344078064,,,,,,,,,,,,,,,,,,,,,-0.9786111116409302,-0.9597159624099731,-0.958884298801422,-0.6981610059738159,-0.7714754939079285,-0.5323145985603333,-0.6141132712364197,-0.7608312368392944,-0.7866286635398865,-0.625478982925415,-0.5226532220840454,-0.6046416163444519,-0.8351420164108276,-0.5376551151275635,-0.6141250133514404,-0.507926344871521,-0.9855141043663024,-0.9849953651428224,-0.5944694876670837,-0.6315761804580688,-0.7318965196609497,-0.4572387933731079,-0.4556019902229309,-0.4712191522121429,-0.9900400638580322,-0.9209049344062804,-0.7788992524147034,-0.8004779815673828,-0.6997917890548706,-0.8342592716217041,-0.6505842208862305,-0.8136758208274841,-0.7488683462142944,-0.7885827422142029,-0.9786838293075562,-0.636858344078064
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9777777791023254,-0.720634937286377,-0.9672092795372008,-0.7571429014205933,-0.9506216049194336,-0.6927205324172974,-0.7566706538200378,-0.54377281665802,-0.5485742688179016,-0.744160532951355,-0.8195730447769165,-0.6375532150268555,-0.5112928152084351,-0.5970392823219299,-0.8253712058067322,-0.5291334390640259,-0.6050741672515869,-0.5066448450088501,-0.9930001497268676,-0.3125,-0.9792482852935792,-0.5686022639274597,-0.5419967174530029,-0.9024064540863036,-0.9330357313156128,-0.6925172805786133,-0.4786828756332397,-0.4657632112503052,-0.4901234805583954,-0.989002764225006,-0.9365147948265076,-0.8193430304527283,-0.8090981245040894,-0.6357142925262451,-0.7935889959335327,-0.7277708053588867,-0.8541666269302368,-0.6762887239456177,-0.8255026340484619,-0.7379401326179504,-0.7864077091217041,,-0.6474225521087646,,,,,,,,,,,,,,,,,,,,,-0.9777777791023254,-0.9672092795372008,-0.9506216049194336,-0.6927205324172974,-0.7566706538200378,-0.54377281665802,-0.5485742688179016,-0.744160532951355,-0.8195730447769165,-0.6375532150268555,-0.5112928152084351,-0.5970392823219299,-0.8253712058067322,-0.5291334390640259,-0.6050741672515869,-0.5066448450088501,-0.9930001497268676,-0.9792482852935792,-0.5686022639274597,-0.5419967174530029,-0.6925172805786133,-0.4786828756332397,-0.4657632112503052,-0.4901234805583954,-0.989002764225006,-0.9365147948265076,-0.8193430304527283,-0.7935889959335327,-0.7277708053588867,-0.8541666269302368,-0.6762887239456177,-0.8255026340484619,-0.7379401326179504,-0.7864077091217041,,-0.6474225521087646
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9819444417953492,-0.8420635461807251,,-0.6285713911056519,-0.942501664161682,-0.700150191783905,-0.7682673931121826,-0.5392746329307556,-0.5832897424697876,-0.7409282326698303,-0.7996251583099365,-0.6073084473609924,-0.5192610025405884,-0.6189181804656982,-0.7963485717773438,-0.5724623203277588,-0.6072711944580078,-0.5117847919464111,-0.9930001497268676,-0.5833333730697632,-0.9783706665039062,-0.5620716214179993,-0.6329156756401062,-0.8948307037353516,-0.9455356597900392,-0.7205172777175903,-0.5294168591499329,-0.4775299429893493,-0.4428240656852722,-0.9863314628601074,-0.9345953464508056,-0.8269756436347961,-0.8320562243461609,-0.6124999523162842,-0.7986493706703186,-0.7348946332931519,-0.8425925970077515,-0.6675436496734619,-0.8432347178459167,-0.7394839525222778,-0.761232316493988,-0.970246434211731,-0.6063330173492432,,,,,,,,,,,,,,,,,,,,,-0.9819444417953492,,-0.942501664161682,-0.700150191783905,-0.7682673931121826,-0.5392746329307556,-0.5832897424697876,-0.7409282326698303,-0.7996251583099365,-0.6073084473609924,-0.5192610025405884,-0.6189181804656982,-0.7963485717773438,-0.5724623203277588,-0.6072711944580078,-0.5117847919464111,-0.9930001497268676,-0.9783706665039062,-0.5620716214179993,-0.6329156756401062,-0.7205172777175903,-0.5294168591499329,-0.4775299429893493,-0.4428240656852722,-0.9863314628601074,-0.9345953464508056,-0.8269756436347961,-0.7986493706703186,-0.7348946332931519,-0.8425925970077515,-0.6675436496734619,-0.8432347178459167,-0.7394839525222778,-0.761232316493988,-0.970246434211731,-0.6063330173492432
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9813889265060424,-0.9071428775787354,-0.9547014236450196,-0.889285683631897,,-0.7048996090888977,-0.7514035701751709,-0.5357237458229065,-0.5745503902435303,-0.7384325265884399,-0.7942544221878052,-0.6291863918304443,-0.5071516633033752,-0.5934453010559082,-0.8076379299163818,-0.532679557800293,-0.6161729693412781,-0.5033274292945862,-0.9930001497268676,-0.6041666865348816,-0.9816830158233644,-0.5649514198303223,-0.5778822898864746,-0.9095365405082704,-0.9526785612106324,-0.710068941116333,-0.5356155633926392,-0.459691971540451,-0.4520061612129211,-0.9961353540420532,-0.94431734085083,-0.7948571443557739,-0.8400231599807739,-0.6422618627548218,-0.8072729706764221,-0.7533133625984192,-0.8337962627410889,-0.6789156198501587,-0.814240574836731,-0.7305765151977539,-0.7902857661247253,-0.970355987548828,-0.6208113431930542,,,,,,,,,,,,,,,,,,,,,-0.9813889265060424,-0.9547014236450196,,-0.7048996090888977,-0.7514035701751709,-0.5357237458229065,-0.5745503902435303,-0.7384325265884399,-0.7942544221878052,-0.6291863918304443,-0.5071516633033752,-0.5934453010559082,-0.8076379299163818,-0.532679557800293,-0.6161729693412781,-0.5033274292945862,-0.9930001497268676,-0.9816830158233644,-0.5649514198303223,-0.5778822898864746,-0.710068941116333,-0.5356155633926392,-0.459691971540451,-0.4520061612129211,-0.9961353540420532,-0.94431734085083,-0.7948571443557739,-0.8072729706764221,-0.7533133625984192,-0.8337962627410889,-0.6789156198501587,-0.814240574836731,-0.7305765151977539,-0.7902857661247253,-0.970355987548828,-0.6208113431930542
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9788888692855836,-0.7952381372451782,-0.9544196724891664,-0.3857142925262451,-0.9570921659469604,-0.6881747245788574,-0.781609058380127,-0.5333800315856934,-0.6107203364372253,-0.7477706074714661,-0.803587019443512,-0.6231788396835327,-0.5231701731681824,-0.6302804946899414,-0.8318494558334351,-0.5340979695320129,-0.6515311002731323,-0.5103647708892822,-0.9905834197998048,-0.2708333432674408,-0.987269639968872,-0.5730240941047668,-0.6487443447113037,-0.8725489974021912,-0.9169642925262452,-0.6894137859344482,-0.4218502938747406,-0.4841772019863128,-0.5344135761260986,-0.990636706352234,-0.930134892463684,-0.7909943461418152,,-0.6077380776405334,-0.7823189496994019,-0.7326693534851074,-0.8550926446914673,-0.6710412502288818,-0.8260350227355957,-0.7422201037406921,-0.791070282459259,-0.9700826406478882,-0.6304687857627869,,,,,,,,,,,,,,,,,,,,,-0.9788888692855836,-0.9544196724891664,-0.9570921659469604,-0.6881747245788574,-0.781609058380127,-0.5333800315856934,-0.6107203364372253,-0.7477706074714661,-0.803587019443512,-0.6231788396835327,-0.5231701731681824,-0.6302804946899414,-0.8318494558334351,-0.5340979695320129,-0.6515311002731323,-0.5103647708892822,-0.9905834197998048,-0.987269639968872,-0.5730240941047668,-0.6487443447113037,-0.6894137859344482,-0.4218502938747406,-0.4841772019863128,-0.5344135761260986,-0.990636706352234,-0.930134892463684,-0.7909943461418152,-0.7823189496994019,-0.7326693534851074,-0.8550926446914673,-0.6710412502288818,-0.8260350227355957,-0.7422201037406921,-0.791070282459259,-0.9700826406478882,-0.6304687857627869
caltech101_object_classification,-0.9349881410598756,-0.7338518500328064,-0.7141479253768921,-0.8743078112602234,-0.3723214268684387,-0.9791666269302368,-0.992424249649048,-1.0,,-0.826196551322937,,,-0.7930999994277954,,-0.9687649011611938,,-0.8262401819229126,-0.4004600644111633,-0.962934136390686,-0.9297828674316406,-0.8536775708198547,-0.8934644460678101,-0.9489779472351074,-0.6390828490257263,-0.7439190745353699,-0.7548496723175049,-0.8363978862762451,-0.4902329742908478,-0.979722261428833,-0.8325396776199341,-0.962758243083954,-0.8285714387893677,-0.9536013603210448,-0.701176643371582,-0.7662699818611145,-0.545619010925293,-0.5820238590240479,-0.7247236967086792,-0.795619010925293,-0.6302093267440796,-0.5071516633033752,-0.6120404005050659,-0.8185338973999023,-0.5468860864639282,-0.6216286420822144,-0.5052770376205444,-0.9892177581787108,-0.5208333730697632,-0.9811639785766602,-0.5348033905029297,-0.6396341323852539,-0.8874777555465698,-0.9196428656578064,-0.6697241067886353,-0.4043311476707458,-0.47686368227005,-0.4797068238258362,-0.9857348203659058,-0.958808958530426,-0.8070985674858093,-0.8479596376419067,-0.6571428775787354,-0.7921907901763916,-0.7296397686004639,-0.8365740776062012,-0.6617985963821411,-0.8142244219779968,-0.7358789443969727,-0.7777777910232544,-0.978739321231842,-0.6208434700965881,-0.9349881410598756,-0.7338518500328064,-0.7141479253768921,-0.8743078112602234,-0.992424249649048,-1.0,-0.826196551322937,-0.7930999994277954,-0.9687649011611938,-0.8262401819229126,-0.4004600644111633,-0.962934136390686,-0.9297828674316406,-0.8536775708198547,-0.8934644460678101,-0.9489779472351074,-0.6390828490257263,-0.7439190745353699,-0.7548496723175049,-0.8363978862762451,-0.979722261428833,-0.962758243083954,-0.9536013603210448,-0.701176643371582,-0.7662699818611145,-0.545619010925293,-0.5820238590240479,-0.7247236967086792,-0.795619010925293,-0.6302093267440796,-0.5071516633033752,-0.6120404005050659,-0.8185338973999023,-0.5468860864639282,-0.6216286420822144,-0.5052770376205444,-0.9892177581787108,-0.9811639785766602,-0.5348033905029297,-0.6396341323852539,-0.6697241067886353,-0.4043311476707458,-0.47686368227005,-0.4797068238258362,-0.9857348203659058,-0.958808958530426,-0.8070985674858093,-0.7921907901763916,-0.7296397686004639,-0.8365740776062012,-0.6617985963821411,-0.8142244219779968,-0.7358789443969727,-0.7777777910232544,-0.978739321231842,-0.6208434700965881
caltech256_object_classification,-0.927284836769104,-0.7293809056282043,-0.6963802576065063,-0.8645866513252258,-0.4040178656578064,-0.9652777910232544,-0.992424249649048,-1.0,,-0.8293372392654419,,,-0.8043000102043152,,-0.976539134979248,,-0.8251508474349976,-0.4276873767375946,-0.9505884647369384,-0.9347580671310424,-0.8600194454193115,-0.8068557977676392,-0.939056158065796,-0.6642597913742065,-0.7503830194473267,-0.750973105430603,-0.846950888633728,-0.4763441085815429,-0.9744444489479064,-0.6111111640930176,-0.950532078742981,-0.8321428298950195,-0.9501540660858154,-0.7144066095352173,-0.7767162919044495,-0.5315569043159485,-0.6166108250617981,-0.7451438903808594,-0.8036537170410156,-0.6230250597000122,-0.5244507193565369,-0.6026303768157959,-0.8365293145179749,-0.5568373203277588,-0.6178768277168274,-0.5065778493881226,-0.9843844175338744,-0.6666666865348816,-0.9715853929519652,-0.5332467555999756,-0.6028217077255249,-0.895053505897522,-0.9044642448425292,-0.7282413840293884,-0.442222535610199,-0.4432680904865265,-0.4387345910072326,-0.9884060621261596,-0.9066667556762696,-0.7851176261901855,-0.2878124713897705,-0.663690447807312,-0.779849112033844,-0.7329040765762329,-0.8425925970077515,-0.6668034791946411,-0.819581151008606,-0.7317444682121277,-0.7830590605735779,-0.9659173488616944,-0.5863294005393982,-0.927284836769104,-0.7293809056282043,-0.6963802576065063,-0.8645866513252258,-0.992424249649048,-1.0,-0.8293372392654419,-0.8043000102043152,-0.976539134979248,-0.8251508474349976,-0.4276873767375946,-0.9505884647369384,-0.9347580671310424,-0.8600194454193115,-0.8068557977676392,-0.939056158065796,-0.6642597913742065,-0.7503830194473267,-0.750973105430603,-0.846950888633728,-0.9744444489479064,-0.950532078742981,-0.9501540660858154,-0.7144066095352173,-0.7767162919044495,-0.5315569043159485,-0.6166108250617981,-0.7451438903808594,-0.8036537170410156,-0.6230250597000122,-0.5244507193565369,-0.6026303768157959,-0.8365293145179749,-0.5568373203277588,-0.6178768277168274,-0.5065778493881226,-0.9843844175338744,-0.9715853929519652,-0.5332467555999756,-0.6028217077255249,-0.7282413840293884,-0.442222535610199,-0.4432680904865265,-0.4387345910072326,-0.9884060621261596,-0.9066667556762696,-0.7851176261901855,-0.779849112033844,-0.7329040765762329,-0.8425925970077515,-0.6668034791946411,-0.819581151008606,-0.7317444682121277,-0.7830590605735779,-0.9659173488616944,-0.5863294005393982
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9769444465637208,-0.75,-0.958663821220398,-0.8428571224212646,-0.9266963005065918,,,,,,,,,,,,,,-0.9817317724227904,-0.7083333730697632,-0.977851629257202,-0.5703850984573364,-0.5548821687698364,-0.8870320916175842,-0.9401785731315612,-0.7411379218101501,-0.4960582852363586,-0.4471560418605804,-0.4463734626770019,-0.9900400638580322,-0.9303500652313232,-0.7916653156280518,-0.7991546988487244,-0.5994047522544861,-0.7811022996902466,-0.7119400501251221,-0.8185185194015503,-0.6475448608398438,-0.8211946487426758,-0.7207475304603577,-0.770155668258667,-0.940330445766449,-0.5781275033950806,,,,,,,,,,,,,,,,,,,,,-0.9769444465637208,-0.958663821220398,-0.9266963005065918,,,,,,,,,,,,,,-0.9817317724227904,-0.977851629257202,-0.5703850984573364,-0.5548821687698364,-0.7411379218101501,-0.4960582852363586,-0.4471560418605804,-0.4463734626770019,-0.9900400638580322,-0.9303500652313232,-0.7916653156280518,-0.7811022996902466,-0.7119400501251221,-0.8185185194015503,-0.6475448608398438,-0.8211946487426758,-0.7207475304603577,-0.770155668258667,-0.940330445766449,-0.5781275033950806
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9711110591888428,-0.6936508417129517,-0.9563919305801392,-0.7571429014205933,-0.926086127758026,,,,,,,,,,,,,,-0.9817317724227904,-0.6458333730697632,-0.987269639968872,-0.5508855581283569,-0.574619710445404,-0.895053505897522,-0.9133929014205932,-0.7165172100067139,-0.4601284861564636,-0.421316921710968,-0.4728395342826843,-0.9814294576644896,-0.8909450769424438,-0.7349756956100464,-0.7941677570343018,-0.6708333492279053,-0.7711728811264038,-0.73896324634552,-0.7782407402992249,-0.6233600378036499,-0.785230278968811,-0.7281354069709778,-0.7843092679977417,-0.9360014200210572,-0.5604216456413269,,,,,,,,,,,,,,,,,,,,,-0.9711110591888428,-0.9563919305801392,-0.926086127758026,,,,,,,,,,,,,,-0.9817317724227904,-0.987269639968872,-0.5508855581283569,-0.574619710445404,-0.7165172100067139,-0.4601284861564636,-0.421316921710968,-0.4728395342826843,-0.9814294576644896,-0.8909450769424438,-0.7349756956100464,-0.7711728811264038,-0.73896324634552,-0.7782407402992249,-0.6233600378036499,-0.785230278968811,-0.7281354069709778,-0.7843092679977417,-0.9360014200210572,-0.5604216456413269
