s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9936001300811768,-0.950082004070282,-0.9969220161437988,-0.9071428775787354,-0.9862346649169922,-0.791749119758606,-0.8715648651123047,-0.718765139579773,-0.7109115123748779,-0.845451831817627,-0.8804274797439575,-0.6932928562164307,-0.6624771356582642,-0.7014087438583374,-0.903213381767273,-0.6583665609359741,-0.737797200679779,-0.6066231727600098,-0.9981647729873656,-0.793836772441864,-0.9973565340042114,-0.709980845451355,-0.9130455255508424,-0.9398396015167236,-0.9666070938110352,-0.8211379051208496,-0.7784392237663269,-0.8459389805793762,-0.8333262205123901,-0.9992161989212036,-0.995397925376892,-0.9694539308547974,-0.9591702222824096,-0.8955630660057068,-0.848970890045166,-0.7973955273628235,-0.9016048908233644,-0.7558631896972656,-0.882474422454834,-0.8020344972610474,-0.8526087999343872,-0.9969674348831176,,,,,,,,,,,,,,,,,,,,,,-0.9936001300811768,-0.9969220161437988,-0.9862346649169922,-0.791749119758606,-0.8715648651123047,-0.718765139579773,-0.7109115123748779,-0.845451831817627,-0.8804274797439575,-0.6932928562164307,-0.6624771356582642,-0.7014087438583374,-0.903213381767273,-0.6583665609359741,-0.737797200679779,-0.6066231727600098,-0.9981647729873656,-0.9973565340042114,-0.709980845451355,-0.9130455255508424,-0.8211379051208496,-0.7784392237663269,-0.8459389805793762,-0.8333262205123901,-0.9992161989212036,-0.995397925376892,-0.9694539308547974,-0.848970890045166,-0.7973955273628235,-0.9016048908233644,-0.7558631896972656,-0.882474422454834,-0.8020344972610474,-0.8526087999343872,-0.9969674348831176,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9925426244735718,,-0.9954419136047364,-0.5428571701049805,-0.9847856760025024,-0.7901827692985535,-0.8608694076538086,-0.7331030368804932,-0.738088846206665,-0.8484482765197754,-0.8836500644683838,-0.6915762424468994,-0.6131030321121216,-0.6778017282485962,-0.9084019660949708,-0.6691877245903015,-0.7276930809020996,-0.6174498796463013,-0.9982410669326782,-0.3888889253139496,-0.9982581734657288,-0.7317621111869812,-0.8915376663208008,-0.9420677423477172,-0.9721428155899048,-0.7961379289627075,-0.779449462890625,-0.7924245595932007,-0.8675655722618103,-0.9991109371185304,-0.9950329661369324,-0.9558636546134948,-0.9516032934188844,-0.9010860919952391,-0.8588160276412964,-0.8065533638000488,-0.8845987319946289,-0.7318028211593628,-0.8832811713218689,-0.8162142038345337,-0.85927414894104,-0.9990414977073668,-0.9213314056396484,,,,,,,,,,,,,,,,,,,,,-0.9925426244735718,-0.9954419136047364,-0.9847856760025024,-0.7901827692985535,-0.8608694076538086,-0.7331030368804932,-0.738088846206665,-0.8484482765197754,-0.8836500644683838,-0.6915762424468994,-0.6131030321121216,-0.6778017282485962,-0.9084019660949708,-0.6691877245903015,-0.7276930809020996,-0.6174498796463013,-0.9982410669326782,-0.9982581734657288,-0.7317621111869812,-0.8915376663208008,-0.7961379289627075,-0.779449462890625,-0.7924245595932007,-0.8675655722618103,-0.9991109371185304,-0.9950329661369324,-0.9558636546134948,-0.8588160276412964,-0.8065533638000488,-0.8845987319946289,-0.7318028211593628,-0.8832811713218689,-0.8162142038345337,-0.85927414894104,-0.9990414977073668,-0.9213314056396484
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9932211637496948,-0.9253594875335692,-0.994671642780304,-0.8999999761581421,-0.988187313079834,-0.7720645666122437,-0.8540024757385254,-0.7260969877243042,-0.7148303985595703,-0.8592783212661743,-0.8852001428604126,-0.6773489713668823,-0.6464575529098511,-0.6667881011962891,-0.887006402015686,-0.673105001449585,-0.7382799386978149,-0.6071411967277527,-0.9987821578979492,-0.7569445371627808,-0.9987478256225586,-0.7669476866722107,-0.9089391827583312,-0.9445186853408812,-0.9807142019271852,-0.8020689487457275,-0.7897406816482544,-0.8346307873725891,-0.8622112274169922,-0.9985064268112184,-0.9967078566551208,-0.9662662744522096,-0.9486057162284852,-0.8931543827056885,-0.8600414991378784,-0.7968429327011108,-0.9010493755340576,-0.7294600009918213,-0.8875890970230103,-0.8035702705383301,-0.8392142057418823,,-0.9369940161705016,,,,,,,,,,,,,,,,,,,,,-0.9932211637496948,-0.994671642780304,-0.988187313079834,-0.7720645666122437,-0.8540024757385254,-0.7260969877243042,-0.7148303985595703,-0.8592783212661743,-0.8852001428604126,-0.6773489713668823,-0.6464575529098511,-0.6667881011962891,-0.887006402015686,-0.673105001449585,-0.7382799386978149,-0.6071411967277527,-0.9987821578979492,-0.9987478256225586,-0.7669476866722107,-0.9089391827583312,-0.8020689487457275,-0.7897406816482544,-0.8346307873725891,-0.8622112274169922,-0.9985064268112184,-0.9967078566551208,-0.9662662744522096,-0.8600414991378784,-0.7968429327011108,-0.9010493755340576,-0.7294600009918213,-0.8875890970230103,-0.8035702705383301,-0.8392142057418823,,-0.9369940161705016
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9954525232315063,-0.9322777986526488,,-0.889285683631897,-0.9858959913253784,-0.7709249258041382,-0.846070408821106,-0.7058221697807312,-0.7121614813804626,-0.8567050695419312,-0.8865419626235962,-0.6768581867218018,-0.6232907772064209,-0.675053060054779,-0.8858273029327393,-0.6257091760635376,-0.7450273036956787,-0.612042248249054,-0.9984270334243774,-0.786024272441864,-0.9972922801971436,-0.7166708111763,-0.9225260615348816,-0.9567736387252808,-0.9907143115997314,-0.8116551637649536,-0.8042647242546082,-0.8448381423950195,-0.8389034271240234,-0.9998518228530884,-0.99418842792511,-0.9704187512397766,-0.9634226560592652,-0.8673761487007141,-0.8686916828155518,-0.7942585349082947,-0.8805555701255798,-0.7316867113113403,-0.869114875793457,-0.8452211022377014,-0.8370359539985657,-0.9985530376434326,-0.920806884765625,,,,,,,,,,,,,,,,,,,,,-0.9954525232315063,,-0.9858959913253784,-0.7709249258041382,-0.846070408821106,-0.7058221697807312,-0.7121614813804626,-0.8567050695419312,-0.8865419626235962,-0.6768581867218018,-0.6232907772064209,-0.675053060054779,-0.8858273029327393,-0.6257091760635376,-0.7450273036956787,-0.612042248249054,-0.9984270334243774,-0.9972922801971436,-0.7166708111763,-0.9225260615348816,-0.8116551637649536,-0.8042647242546082,-0.8448381423950195,-0.8389034271240234,-0.9998518228530884,-0.99418842792511,-0.9704187512397766,-0.8686916828155518,-0.7942585349082947,-0.8805555701255798,-0.7316867113113403,-0.869114875793457,-0.8452211022377014,-0.8370359539985657,-0.9985530376434326,-0.920806884765625
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9950239658355712,-0.924562394618988,-0.9958342909812928,-0.9142857193946838,,-0.784710168838501,-0.8507583737373352,-0.7287377119064331,-0.7296198606491089,-0.8582770824432373,-0.878678560256958,-0.7057392597198486,-0.6247252225875854,-0.6838893890380859,-0.8896446228027344,-0.6423869132995605,-0.7414047718048096,-0.5863783359527588,-0.9987177848815918,-0.8025174140930176,-0.9986836910247804,-0.7714563608169556,-0.9164390563964844,-0.9471925497055054,-0.9682142734527588,-0.8153793215751648,-0.7988408207893372,-0.8169378638267517,-0.8786510825157166,-0.9989899396896362,-0.994547724723816,-0.9768505096435548,-0.9517920017242432,-0.8810272216796875,-0.8631688356399536,-0.7955009937286377,-0.8931481838226318,-0.73511803150177,-0.8686630725860596,-0.8202354907989502,-0.8370933532714844,-0.9966892600059508,-0.9289976358413696,,,,,,,,,,,,,,,,,,,,,-0.9950239658355712,-0.9958342909812928,,-0.784710168838501,-0.8507583737373352,-0.7287377119064331,-0.7296198606491089,-0.8582770824432373,-0.878678560256958,-0.7057392597198486,-0.6247252225875854,-0.6838893890380859,-0.8896446228027344,-0.6423869132995605,-0.7414047718048096,-0.5863783359527588,-0.9987177848815918,-0.9986836910247804,-0.7714563608169556,-0.9164390563964844,-0.8153793215751648,-0.7988408207893372,-0.8169378638267517,-0.8786510825157166,-0.9989899396896362,-0.994547724723816,-0.9768505096435548,-0.8631688356399536,-0.7955009937286377,-0.8931481838226318,-0.73511803150177,-0.8686630725860596,-0.8202354907989502,-0.8370933532714844,-0.9966892600059508,-0.9289976358413696
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.995269536972046,-0.9346081018447876,-0.9932129383087158,-0.5857142806053162,-0.9891841411590576,-0.7775095701217651,-0.8546764850616455,-0.7254383563995361,-0.7172342538833618,-0.8544729948043823,-0.8750095963478088,-0.6816521286964417,-0.6991968750953674,-0.6702892184257507,-0.8972976207733154,-0.6894558668136597,-0.7305019497871399,-0.6400807499885559,-0.9984484910964966,-0.4240451753139496,-0.9972334504127502,-0.7918263077735901,-0.8903421759605408,-0.942513346672058,-0.9698214530944824,-0.7791034579277039,-0.8101868629455566,-0.8422466516494751,-0.8667239546775818,-0.9997465014457704,-0.9973517060279846,-0.9563116431236268,,-0.8871572017669678,-0.8234517574310303,-0.7950401306152344,-0.9035801887512208,-0.7588881254196167,-0.8929781913757324,-0.8047261238098145,-0.8537441492080688,-0.998060941696167,-0.929481327533722,,,,,,,,,,,,,,,,,,,,,-0.995269536972046,-0.9932129383087158,-0.9891841411590576,-0.7775095701217651,-0.8546764850616455,-0.7254383563995361,-0.7172342538833618,-0.8544729948043823,-0.8750095963478088,-0.6816521286964417,-0.6991968750953674,-0.6702892184257507,-0.8972976207733154,-0.6894558668136597,-0.7305019497871399,-0.6400807499885559,-0.9984484910964966,-0.9972334504127502,-0.7918263077735901,-0.8903421759605408,-0.7791034579277039,-0.8101868629455566,-0.8422466516494751,-0.8667239546775818,-0.9997465014457704,-0.9973517060279846,-0.9563116431236268,-0.8234517574310303,-0.7950401306152344,-0.9035801887512208,-0.7588881254196167,-0.8929781913757324,-0.8047261238098145,-0.8537441492080688,-0.998060941696167,-0.929481327533722
caltech101_object_classification,-0.992741584777832,-0.9615826606750488,-0.8916047811508179,-0.971526026725769,-0.7942858934402466,-0.9994212985038756,-0.9999617338180542,-1.0,,-0.9764578938484192,,,-0.9715097546577454,,-0.9985381364822388,,-0.9802500009536744,-0.9219460487365724,-0.9922451376914978,-0.9824362993240356,-0.9288524985313416,-0.9652478694915771,-0.9841635227203368,-0.8797799348831177,-0.8976837992668152,-0.9278854727745056,-0.973353624343872,-0.8879758715629578,-0.9950374364852904,-0.9431873559951782,-0.9912084341049194,-0.8999999761581421,-0.9904587268829346,-0.7597881555557251,-0.8524022698402405,-0.7284704446792603,-0.7381787896156311,-0.8497319221496582,-0.8795336484909058,-0.6976170539855957,-0.634020209312439,-0.6758246421813965,-0.8973705768585205,-0.6958056092262268,-0.7225086688995361,-0.6070253252983093,-0.9985247850418092,-0.78125,-0.9987371563911438,-0.7524350881576538,-0.9120916724205016,-0.9585561752319336,-0.9780356884002686,-0.8105862140655518,-0.7505398392677307,-0.8303582072257996,-0.8422490954399109,-0.9997425675392152,-0.9947942495346068,-0.9733705520629884,-0.9751913547515868,-0.8639679551124573,-0.8624700307846069,-0.8092181086540222,-0.9015741348266602,-0.7554651498794556,-0.8678563237190247,-0.8235323429107666,-0.838939905166626,-0.9969667196273804,-0.9171146750450134,-0.992741584777832,-0.9615826606750488,-0.8916047811508179,-0.971526026725769,-0.9999617338180542,-1.0,-0.9764578938484192,-0.9715097546577454,-0.9985381364822388,-0.9802500009536744,-0.9219460487365724,-0.9922451376914978,-0.9824362993240356,-0.9288524985313416,-0.9652478694915771,-0.9841635227203368,-0.8797799348831177,-0.8976837992668152,-0.9278854727745056,-0.973353624343872,-0.9950374364852904,-0.9912084341049194,-0.9904587268829346,-0.7597881555557251,-0.8524022698402405,-0.7284704446792603,-0.7381787896156311,-0.8497319221496582,-0.8795336484909058,-0.6976170539855957,-0.634020209312439,-0.6758246421813965,-0.8973705768585205,-0.6958056092262268,-0.7225086688995361,-0.6070253252983093,-0.9985247850418092,-0.9987371563911438,-0.7524350881576538,-0.9120916724205016,-0.8105862140655518,-0.7505398392677307,-0.8303582072257996,-0.8422490954399109,-0.9997425675392152,-0.9947942495346068,-0.9733705520629884,-0.8624700307846069,-0.8092181086540222,-0.9015741348266602,-0.7554651498794556,-0.8678563237190247,-0.8235323429107666,-0.838939905166626,-0.9969667196273804,-0.9171146750450134
caltech256_object_classification,-0.9870113730430604,-0.9556870460510254,-0.8991402387619019,-0.975823700428009,-0.7960139513015747,-0.9996141791343688,-1.0,-1.0,,-0.9787603616714478,,,-0.9776511192321776,,-0.9990528225898744,,-0.987496852874756,-0.9100298881530762,-0.9932206869125366,-0.9859791994094848,-0.9360100626945496,-0.9362155199050904,-0.9838194847106934,-0.8755859136581421,-0.911403477191925,-0.9032870531082152,-0.9674605131149292,-0.8368638157844543,-0.9942114353179932,-0.9385778307914734,-0.9889259338378906,-0.8964285850524902,-0.9859782457351683,-0.7778246998786926,-0.8618806600570679,-0.7086964249610901,-0.7002770304679871,-0.8564051985740662,-0.8872299790382385,-0.6841192245483398,-0.6508550047874451,-0.6870844960212708,-0.9079723358154296,-0.7070257067680359,-0.7361969947814941,-0.5648988485336304,-0.9983984231948853,-0.7721354365348816,-0.9965270757675172,-0.6389504075050354,-0.892048180103302,-0.95610511302948,-0.9652678966522216,-0.8161724805831909,-0.797247588634491,-0.8022426962852478,-0.8502825498580933,-0.9998635053634644,-0.9953739047050476,-0.9640445709228516,-0.9634686708450316,-0.8496050238609314,-0.8624042272567749,-0.7901735305786133,-0.890216052532196,-0.7540242671966553,-0.8809255361557007,-0.8251923322677612,-0.8498724699020386,-0.99745911359787,-0.9226667284965516,-0.9870113730430604,-0.9556870460510254,-0.8991402387619019,-0.975823700428009,-1.0,-1.0,-0.9787603616714478,-0.9776511192321776,-0.9990528225898744,-0.987496852874756,-0.9100298881530762,-0.9932206869125366,-0.9859791994094848,-0.9360100626945496,-0.9362155199050904,-0.9838194847106934,-0.8755859136581421,-0.911403477191925,-0.9032870531082152,-0.9674605131149292,-0.9942114353179932,-0.9889259338378906,-0.9859782457351683,-0.7778246998786926,-0.8618806600570679,-0.7086964249610901,-0.7002770304679871,-0.8564051985740662,-0.8872299790382385,-0.6841192245483398,-0.6508550047874451,-0.6870844960212708,-0.9079723358154296,-0.7070257067680359,-0.7361969947814941,-0.5648988485336304,-0.9983984231948853,-0.9965270757675172,-0.6389504075050354,-0.892048180103302,-0.8161724805831909,-0.797247588634491,-0.8022426962852478,-0.8502825498580933,-0.9998635053634644,-0.9953739047050476,-0.9640445709228516,-0.8624042272567749,-0.7901735305786133,-0.890216052532196,-0.7540242671966553,-0.8809255361557007,-0.8251923322677612,-0.8498724699020386,-0.99745911359787,-0.9226667284965516
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9942126274108888,-0.943469762802124,-0.9967830181121826,-0.9142857789993286,-0.9951525926589966,,,,,,,,,,,,,,-0.9984461069107056,-0.7947048544883728,-0.997367262840271,-0.7384883165359497,-0.9091070294380188,-0.9202317595481871,-0.9678571224212646,-0.8201034069061279,-0.7667236328125,-0.8107679486274719,-0.843467116355896,-0.9999258518218994,-0.9936147332191468,-0.9658769965171814,-0.9495625495910645,-0.8781338930130005,-0.8625369071960449,-0.7953395247459412,-0.9008641839027404,-0.7457331418991089,-0.8581109642982483,-0.8176266551017761,-0.839818000793457,-0.99522066116333,-0.9202346801757812,,,,,,,,,,,,,,,,,,,,,-0.9942126274108888,-0.9967830181121826,-0.9951525926589966,,,,,,,,,,,,,,-0.9984461069107056,-0.997367262840271,-0.7384883165359497,-0.9091070294380188,-0.8201034069061279,-0.7667236328125,-0.8107679486274719,-0.843467116355896,-0.9999258518218994,-0.9936147332191468,-0.9658769965171814,-0.8625369071960449,-0.7953395247459412,-0.9008641839027404,-0.7457331418991089,-0.8581109642982483,-0.8176266551017761,-0.839818000793457,-0.99522066116333,-0.9202346801757812
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9912978410720824,-0.9318325519561768,-0.9872710704803468,-0.8892857432365417,-0.9869563579559326,,,,,,,,,,,,,,-0.9974677562713624,-0.766493022441864,-0.9984695315361024,-0.7665085792541504,-0.8788502812385559,-0.9463012218475342,-0.9608928561210632,-0.8196896314620972,-0.7518295645713806,-0.8316462635993958,-0.8550533056259155,-0.998328983783722,-0.9943965077400208,-0.967123806476593,-0.9477669596672058,-0.8761930465698242,-0.8450655937194824,-0.787606954574585,-0.9146295785903932,-0.7229167222976685,-0.8519797325134277,-0.8161474466323853,-0.8340615630149841,-0.996174454689026,-0.8964813351631165,,,,,,,,,,,,,,,,,,,,,-0.9912978410720824,-0.9872710704803468,-0.9869563579559326,,,,,,,,,,,,,,-0.9974677562713624,-0.9984695315361024,-0.7665085792541504,-0.8788502812385559,-0.8196896314620972,-0.7518295645713806,-0.8316462635993958,-0.8550533056259155,-0.998328983783722,-0.9943965077400208,-0.967123806476593,-0.8450655937194824,-0.787606954574585,-0.9146295785903932,-0.7229167222976685,-0.8519797325134277,-0.8161474466323853,-0.8340615630149841,-0.996174454689026,-0.8964813351631165
