s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9791666269302368,-0.7309523820877075,-0.9666457176208496,-0.8392857313156128,-0.9377082586288452,-0.7098402976989746,-0.7614572048187256,-0.5323618054389954,-0.6023664474487305,-0.7250231504440308,-0.7931960821151733,-0.6154091954231262,-0.5107612609863281,-0.6253288984298706,-0.811751663684845,-0.5291334390640259,-0.6040279269218445,-0.5059813261032104,-0.9787501692771912,-0.6875,-0.9869110584259032,-0.5398552417755127,-0.6080614328384399,-0.8952763080596924,-0.920535683631897,-0.7088620662689209,-0.4371332228183746,-0.4841772019863128,-0.4665895104408264,-0.989002764225006,-0.9511464834213256,-0.7885472178459167,-0.8455573916435242,-0.6761904954910278,-0.7800056338310242,-0.739806056022644,-0.8134258985519409,-0.6836779117584229,-0.8147568702697754,-0.724506139755249,-0.7775417566299438,-0.9529873132705688,,,,,,,,,,,,,,,,,,,,,,-0.9791666269302368,-0.9666457176208496,-0.9377082586288452,-0.7098402976989746,-0.7614572048187256,-0.5323618054389954,-0.6023664474487305,-0.7250231504440308,-0.7931960821151733,-0.6154091954231262,-0.5107612609863281,-0.6253288984298706,-0.811751663684845,-0.5291334390640259,-0.6040279269218445,-0.5059813261032104,-0.9787501692771912,-0.9869110584259032,-0.5398552417755127,-0.6080614328384399,-0.7088620662689209,-0.4371332228183746,-0.4841772019863128,-0.4665895104408264,-0.989002764225006,-0.9511464834213256,-0.7885472178459167,-0.7800056338310242,-0.739806056022644,-0.8134258985519409,-0.6836779117584229,-0.8147568702697754,-0.724506139755249,-0.7775417566299438,-0.9529873132705688,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9822221994400024,,-0.96869295835495,-0.6178570985794067,-0.9465370178222656,-0.7026447057723999,-0.766930103302002,-0.542375922203064,-0.609088122844696,-0.7422095537185669,-0.8015215396881104,-0.62093186378479,-0.5057961940765381,-0.5910773277282715,-0.8224923610687256,-0.5518617033958435,-0.611748218536377,-0.5018450021743774,-0.9885742664337158,-0.3333333432674408,-0.9874301552772522,-0.5287397503852844,-0.5661913156509399,-0.864973247051239,-0.923214316368103,-0.6968275904655457,-0.3837542235851288,-0.5322880744934082,-0.4499228596687317,-0.9916740655899048,-0.9419893026351928,-0.7564650177955627,-0.8729246854782104,-0.6892856955528259,-0.7835226655006409,-0.7291106581687927,-0.8268518447875977,-0.6746114492416382,-0.8249540328979492,-0.741747260093689,-0.7960454225540161,-0.9829046726226808,-0.6115859746932983,,,,,,,,,,,,,,,,,,,,,-0.9822221994400024,-0.96869295835495,-0.9465370178222656,-0.7026447057723999,-0.766930103302002,-0.542375922203064,-0.609088122844696,-0.7422095537185669,-0.8015215396881104,-0.62093186378479,-0.5057961940765381,-0.5910773277282715,-0.8224923610687256,-0.5518617033958435,-0.611748218536377,-0.5018450021743774,-0.9885742664337158,-0.9874301552772522,-0.5287397503852844,-0.5661913156509399,-0.6968275904655457,-0.3837542235851288,-0.5322880744934082,-0.4499228596687317,-0.9916740655899048,-0.9419893026351928,-0.7564650177955627,-0.7835226655006409,-0.7291106581687927,-0.8268518447875977,-0.6746114492416382,-0.8249540328979492,-0.741747260093689,-0.7960454225540161,-0.9829046726226808,-0.6115859746932983
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9780555963516236,-0.7309523820877075,-0.9638852477073668,-0.889285683631897,-0.9430460929870604,-0.7014440298080444,-0.7516570091247559,-0.5495256185531616,-0.5972127914428711,-0.751060426235199,-0.8037633895874023,-0.6222563982009888,-0.5104689598083496,-0.5790380239486694,-0.8119920492172241,-0.5241577625274658,-0.6270320415496826,-0.5042403340339661,-0.9892177581787108,-0.5416666865348816,-0.9911010265350342,-0.5470790863037109,-0.608121395111084,-0.8883689641952515,-0.9151785373687744,-0.7288275957107544,-0.4137556552886963,-0.4999347627162933,-0.518441379070282,-0.9888467788696288,-0.9511991739273072,-0.797641932964325,-0.8266739845275879,-0.6613094806671143,-0.7832275629043579,-0.7289570569992065,-0.8537037372589111,-0.6794525384902954,-0.8319403529167175,-0.7184600234031677,-0.7784857749938965,,-0.6391452550888062,,,,,,,,,,,,,,,,,,,,,-0.9780555963516236,-0.9638852477073668,-0.9430460929870604,-0.7014440298080444,-0.7516570091247559,-0.5495256185531616,-0.5972127914428711,-0.751060426235199,-0.8037633895874023,-0.6222563982009888,-0.5104689598083496,-0.5790380239486694,-0.8119920492172241,-0.5241577625274658,-0.6270320415496826,-0.5042403340339661,-0.9892177581787108,-0.9911010265350342,-0.5470790863037109,-0.608121395111084,-0.7288275957107544,-0.4137556552886963,-0.4999347627162933,-0.518441379070282,-0.9888467788696288,-0.9511991739273072,-0.797641932964325,-0.7832275629043579,-0.7289570569992065,-0.8537037372589111,-0.6794525384902954,-0.8319403529167175,-0.7184600234031677,-0.7784857749938965,,-0.6391452550888062
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9813889265060424,-0.7023810148239136,,-0.8535714149475098,-0.9553385972976683,-0.6936460137367249,-0.7223794460296631,-0.5247153639793396,-0.5944132208824158,-0.7537035942077637,-0.7997484803199768,-0.6176087856292725,-0.5107612609863281,-0.6061122417449951,-0.7973524332046509,-0.5149158239364624,-0.61457359790802,-0.50893235206604,-0.9868797063827516,-0.6666666865348816,-0.985353946685791,-0.550807774066925,-0.6447694897651672,-0.8879233598709106,-0.965178608894348,-0.7353103160858154,-0.4398101568222046,-0.5183788537979126,-0.5038580298423767,-0.9846974611282348,-0.956745147705078,-0.8170908689498901,-0.8438241481781006,-0.6321428418159485,-0.7952231168746948,-0.7205509543418884,-0.7986111044883728,-0.6805990934371948,-0.8195972442626953,-0.7780036926269531,-0.7772292494773865,-0.978739321231842,-0.61306232213974,,,,,,,,,,,,,,,,,,,,,-0.9813889265060424,,-0.9553385972976683,-0.6936460137367249,-0.7223794460296631,-0.5247153639793396,-0.5944132208824158,-0.7537035942077637,-0.7997484803199768,-0.6176087856292725,-0.5107612609863281,-0.6061122417449951,-0.7973524332046509,-0.5149158239364624,-0.61457359790802,-0.50893235206604,-0.9868797063827516,-0.985353946685791,-0.550807774066925,-0.6447694897651672,-0.7353103160858154,-0.4398101568222046,-0.5183788537979126,-0.5038580298423767,-0.9846974611282348,-0.956745147705078,-0.8170908689498901,-0.7952231168746948,-0.7205509543418884,-0.7986111044883728,-0.6805990934371948,-0.8195972442626953,-0.7780036926269531,-0.7772292494773865,-0.978739321231842,-0.61306232213974
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9800000190734864,-0.7309523820877075,-0.9614064693450928,-0.889285683631897,,-0.7001185417175293,-0.7461694478988647,-0.5356523990631104,-0.5953085422515869,-0.7560480833053589,-0.7844840884208679,-0.6289971470832825,-0.5148951411247253,-0.6013431549072266,-0.8089051246643066,-0.5319702625274658,-0.6323387026786804,-0.502282977104187,-0.984949231147766,-0.625,-0.9877886772155762,-0.5543807744979858,-0.611613392829895,-0.8959447145462036,-0.9375,-0.7159310579299927,-0.4399862289428711,-0.4985419511795044,-0.4555555582046509,-0.989002764225006,-0.931786298751831,-0.784498929977417,-0.8808307647705078,-0.6113095283508301,-0.7932032346725464,-0.7271584868431091,-0.828703761100769,-0.662329375743866,-0.8238891363143921,-0.7469001412391663,-0.7769995927810669,-0.970246434211731,-0.6187148690223694,,,,,,,,,,,,,,,,,,,,,-0.9800000190734864,-0.9614064693450928,,-0.7001185417175293,-0.7461694478988647,-0.5356523990631104,-0.5953085422515869,-0.7560480833053589,-0.7844840884208679,-0.6289971470832825,-0.5148951411247253,-0.6013431549072266,-0.8089051246643066,-0.5319702625274658,-0.6323387026786804,-0.502282977104187,-0.984949231147766,-0.9877886772155762,-0.5543807744979858,-0.611613392829895,-0.7159310579299927,-0.4399862289428711,-0.4985419511795044,-0.4555555582046509,-0.989002764225006,-0.931786298751831,-0.784498929977417,-0.7932032346725464,-0.7271584868431091,-0.828703761100769,-0.662329375743866,-0.8238891363143921,-0.7469001412391663,-0.7769995927810669,-0.970246434211731,-0.6187148690223694
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9827778339385986,-0.6936508417129517,-0.955264925956726,-0.6178570985794067,-0.9612537622451782,-0.7036322355270386,-0.7527264952659607,-0.5485545992851257,-0.5967329740524292,-0.7576982975006104,-0.7984539270401001,-0.5981847047805786,-0.538589596748352,-0.5960773825645447,-0.8184175491333008,-0.5625110864639282,-0.6152834296226501,-0.5104894638061523,-0.9874446392059326,-0.3541666865348816,-0.990223467350006,-0.5494772791862488,-0.5265146493911743,-0.917557954788208,-0.9107142686843872,-0.7008275985717773,-0.4389516115188598,-0.5212692022323608,-0.4360339641571045,-0.9867720603942872,-0.958334982395172,-0.7745816707611084,,-0.6523809432983398,-0.7605739235877991,-0.7227890491485596,-0.8439815044403076,-0.7001128196716309,-0.8233566284179688,-0.729557991027832,-0.7779372334480286,-0.9701367616653442,-0.6227187514305115,,,,,,,,,,,,,,,,,,,,,-0.9827778339385986,-0.955264925956726,-0.9612537622451782,-0.7036322355270386,-0.7527264952659607,-0.5485545992851257,-0.5967329740524292,-0.7576982975006104,-0.7984539270401001,-0.5981847047805786,-0.538589596748352,-0.5960773825645447,-0.8184175491333008,-0.5625110864639282,-0.6152834296226501,-0.5104894638061523,-0.9874446392059326,-0.990223467350006,-0.5494772791862488,-0.5265146493911743,-0.7008275985717773,-0.4389516115188598,-0.5212692022323608,-0.4360339641571045,-0.9867720603942872,-0.958334982395172,-0.7745816707611084,-0.7605739235877991,-0.7227890491485596,-0.8439815044403076,-0.7001128196716309,-0.8233566284179688,-0.729557991027832,-0.7779372334480286,-0.9701367616653442,-0.6227187514305115
caltech101_object_classification,-0.9092907905578612,-0.7338206768035889,-0.6960585713386536,-0.8736517429351807,-0.3465774059295654,-0.9722222089767456,-0.992424249649048,-1.0,,-0.8089069724082947,,,-0.7811000347137451,,-0.9607670903205872,,-0.8246995210647583,-0.4718553423881531,-0.9476898908615112,-0.9322704672813416,-0.8507460355758667,-0.8828908205032349,-0.9495012760162354,-0.660889744758606,-0.7255837917327881,-0.7463167309761047,-0.8476377725601196,-0.5622760057449341,-0.9800000190734864,-0.7769842147827148,-0.9557535648345948,-0.889285683631897,-0.955965220928192,-0.6814695000648499,-0.748508870601654,-0.5515849590301514,-0.6281648278236389,-0.7318211793899536,-0.7876343727111816,-0.6388777494430542,-0.5152696371078491,-0.5974715948104858,-0.8060123920440674,-0.5291334390640259,-0.6070699691772461,-0.5024791955947876,-0.9868797063827516,-0.6875,-0.9897043704986572,-0.5463785529136658,-0.6361324787139893,-0.9028520584106444,-0.9249999523162842,-0.7198965549468994,-0.442052960395813,-0.5362682938575745,-0.5176697969436646,-0.989002764225006,-0.9489808082580566,-0.8028521537780762,-0.9052180647850036,-0.6315475702285767,-0.7949312925338745,-0.7396332025527954,-0.8342592716217041,-0.6903725266456604,-0.8163703680038452,-0.7447096705436707,-0.7841433882713318,-0.9575340747833252,-0.6086729168891907,-0.9092907905578612,-0.7338206768035889,-0.6960585713386536,-0.8736517429351807,-0.992424249649048,-1.0,-0.8089069724082947,-0.7811000347137451,-0.9607670903205872,-0.8246995210647583,-0.4718553423881531,-0.9476898908615112,-0.9322704672813416,-0.8507460355758667,-0.8828908205032349,-0.9495012760162354,-0.660889744758606,-0.7255837917327881,-0.7463167309761047,-0.8476377725601196,-0.9800000190734864,-0.9557535648345948,-0.955965220928192,-0.6814695000648499,-0.748508870601654,-0.5515849590301514,-0.6281648278236389,-0.7318211793899536,-0.7876343727111816,-0.6388777494430542,-0.5152696371078491,-0.5974715948104858,-0.8060123920440674,-0.5291334390640259,-0.6070699691772461,-0.5024791955947876,-0.9868797063827516,-0.9897043704986572,-0.5463785529136658,-0.6361324787139893,-0.7198965549468994,-0.442052960395813,-0.5362682938575745,-0.5176697969436646,-0.989002764225006,-0.9489808082580566,-0.8028521537780762,-0.7949312925338745,-0.7396332025527954,-0.8342592716217041,-0.6903725266456604,-0.8163703680038452,-0.7447096705436707,-0.7841433882713318,-0.9575340747833252,-0.6086729168891907
caltech256_object_classification,-0.92597496509552,-0.7263168692588806,-0.7064842581748962,-0.8762072324752808,-0.3349702358245849,-0.9722222089767456,-1.0,-1.0,,-0.8252420425415039,,,-0.8112000226974487,,-0.9733176231384276,,-0.8232309818267822,-0.4698859453201294,-0.9494735598564148,-0.952246367931366,-0.8638026714324951,-0.8225420713424683,-0.9481388330459596,-0.6811106204986572,-0.780082106590271,-0.7031089067459106,-0.8202667236328125,-0.4207885563373565,-0.9808332920074464,-0.7960318326950073,-0.9591524600982666,-0.8642857074737549,-0.9324853420257568,-0.7043121457099915,-0.7548850774765015,-0.5379964113235474,-0.6162102818489075,-0.7383617162704468,-0.8018369078636169,-0.6308006048202515,-0.5228779315948486,-0.5978713035583496,-0.8150405883789062,-0.5369459390640259,-0.6225181818008423,-0.502297580242157,-0.9793936610221864,-0.6875,-0.9792482852935792,-0.5519752502441406,-0.5891171097755432,-0.9177807569503784,-0.912500023841858,-0.7211379408836365,-0.4823138117790222,-0.4129330515861511,-0.4415895342826843,-0.989002764225006,-0.9410800933837892,-0.77546226978302,-0.8520647287368774,-0.6035714149475098,-0.7891998291015625,-0.7242376804351807,-0.7888889312744141,-0.6692665815353394,-0.8174352645874023,-0.7490624189376831,-0.7892078161239624,-0.9659714698791504,-0.6294018030166626,-0.92597496509552,-0.7263168692588806,-0.7064842581748962,-0.8762072324752808,-1.0,-1.0,-0.8252420425415039,-0.8112000226974487,-0.9733176231384276,-0.8232309818267822,-0.4698859453201294,-0.9494735598564148,-0.952246367931366,-0.8638026714324951,-0.8225420713424683,-0.9481388330459596,-0.6811106204986572,-0.780082106590271,-0.7031089067459106,-0.8202667236328125,-0.9808332920074464,-0.9591524600982666,-0.9324853420257568,-0.7043121457099915,-0.7548850774765015,-0.5379964113235474,-0.6162102818489075,-0.7383617162704468,-0.8018369078636169,-0.6308006048202515,-0.5228779315948486,-0.5978713035583496,-0.8150405883789062,-0.5369459390640259,-0.6225181818008423,-0.502297580242157,-0.9793936610221864,-0.9792482852935792,-0.5519752502441406,-0.5891171097755432,-0.7211379408836365,-0.4823138117790222,-0.4129330515861511,-0.4415895342826843,-0.989002764225006,-0.9410800933837892,-0.77546226978302,-0.7891998291015625,-0.7242376804351807,-0.7888889312744141,-0.6692665815353394,-0.8174352645874023,-0.7490624189376831,-0.7892078161239624,-0.9659714698791504,-0.6294018030166626
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9800000190734864,-0.7674603462219238,-0.9607110023498536,-0.889285683631897,-0.9446243047714232,,,,,,,,,,,,,,-0.9874446392059326,-0.6666666865348816,-0.9769740104675292,-0.5694437623023987,-0.64900803565979,-0.8877005577087402,-0.9258928298950196,-0.767310380935669,-0.4385082125663757,-0.4129757285118103,-0.4955247044563293,-0.990636706352234,-0.9504817724227904,-0.7753732204437256,-0.8356139659881592,-0.6470237970352173,-0.7752273082733154,-0.7265333533287048,-0.8129629492759705,-0.6788368225097656,-0.8115298748016357,-0.7548861503601074,-0.7756792902946472,-0.948987066745758,-0.6026051044464111,,,,,,,,,,,,,,,,,,,,,-0.9800000190734864,-0.9607110023498536,-0.9446243047714232,,,,,,,,,,,,,,-0.9874446392059326,-0.9769740104675292,-0.5694437623023987,-0.64900803565979,-0.767310380935669,-0.4385082125663757,-0.4129757285118103,-0.4955247044563293,-0.990636706352234,-0.9504817724227904,-0.7753732204437256,-0.7752273082733154,-0.7265333533287048,-0.8129629492759705,-0.6788368225097656,-0.8115298748016357,-0.7548861503601074,-0.7756792902946472,-0.948987066745758,-0.6026051044464111
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.977222204208374,-0.721428632736206,-0.9464377164840698,-0.8035714626312256,-0.946624755859375,,,,,,,,,,,,,,-0.9855927228927612,-0.6875,-0.985353946685791,-0.5697551369667053,-0.587923526763916,-0.8801248073577881,-0.9035714268684388,-0.7269999980926514,-0.4165763258934021,-0.4415898323059082,-0.4394290149211883,-0.9900400638580322,-0.9449068903923036,-0.7268490791320801,-0.8106489777565002,-0.675000011920929,-0.7819663286209106,-0.7311695218086243,-0.8125,-0.6284893155097961,-0.7728548645973206,-0.7395082712173462,-0.7505676746368408,-0.957370400428772,-0.5953078269958496,,,,,,,,,,,,,,,,,,,,,-0.977222204208374,-0.9464377164840698,-0.946624755859375,,,,,,,,,,,,,,-0.9855927228927612,-0.985353946685791,-0.5697551369667053,-0.587923526763916,-0.7269999980926514,-0.4165763258934021,-0.4415898323059082,-0.4394290149211883,-0.9900400638580322,-0.9449068903923036,-0.7268490791320801,-0.7819663286209106,-0.7311695218086243,-0.8125,-0.6284893155097961,-0.7728548645973206,-0.7395082712173462,-0.7505676746368408,-0.957370400428772,-0.5953078269958496
