s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9955548048019408,-0.9812113642692566,-0.9956809282302856,-0.8892857432365417,-0.9881948828697203,-0.7732212543487549,-0.864098072052002,-0.6977509260177612,-0.7394185066223145,-0.8554828763008118,-0.8892812728881836,-0.6908467411994934,-0.634351909160614,-0.6916923522949219,-0.8974876403808594,-0.6062057018280029,-0.7376501560211182,-0.5948987007141113,-0.9981648325920104,-0.6831597685813904,-0.9986621737480164,-0.7092573642730713,-0.9040560722351074,-0.9627896547317504,-0.9782143235206604,-0.7722759246826172,-0.7781992554664612,-0.8414115309715271,-0.8295392394065857,-0.9986487030982972,-0.9945422410964966,-0.9702473878860474,-0.9658994078636168,-0.8732714653015137,-0.8629558682441711,-0.8017159700393677,-0.9006789922714233,-0.7590872049331665,-0.8622413873672485,-0.8152795433998108,-0.8318428993225098,-0.9981138706207277,,,,,,,,,,,,,,,,,,,,,,-0.9955548048019408,-0.9956809282302856,-0.9881948828697203,-0.7732212543487549,-0.864098072052002,-0.6977509260177612,-0.7394185066223145,-0.8554828763008118,-0.8892812728881836,-0.6908467411994934,-0.634351909160614,-0.6916923522949219,-0.8974876403808594,-0.6062057018280029,-0.7376501560211182,-0.5948987007141113,-0.9981648325920104,-0.9986621737480164,-0.7092573642730713,-0.9040560722351074,-0.7722759246826172,-0.7781992554664612,-0.8414115309715271,-0.8295392394065857,-0.9986487030982972,-0.9945422410964966,-0.9702473878860474,-0.8629558682441711,-0.8017159700393677,-0.9006789922714233,-0.7590872049331665,-0.8622413873672485,-0.8152795433998108,-0.8318428993225098,-0.9981138706207277,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.993806779384613,,-0.9908339977264404,-0.7928571701049805,-0.9894182682037354,-0.7879390120506287,-0.8600168228149414,-0.7302049398422241,-0.7470788359642029,-0.8462210893630981,-0.8769741654396057,-0.6927366256713867,-0.649249792098999,-0.6911294460296631,-0.9035791158676147,-0.6924313306808472,-0.7615045309066772,-0.645182728767395,-0.9980552196502686,-0.7747396230697632,-0.9975171089172364,-0.782574474811554,-0.8958825469017029,-0.9331550598144532,-0.9748214483261108,-0.7695517539978027,-0.8207266926765442,-0.8611676096916199,-0.8606696128845215,-0.9992706775665284,-0.992712140083313,-0.97506982088089,-0.9633264541625975,-0.8672564029693604,-0.8767416477203369,-0.7948843240737915,-0.9051234722137452,-0.7478582859039307,-0.8503985404968262,-0.821435809135437,-0.8422545194625854,-0.9973243474960328,-0.923933446407318,,,,,,,,,,,,,,,,,,,,,-0.993806779384613,-0.9908339977264404,-0.9894182682037354,-0.7879390120506287,-0.8600168228149414,-0.7302049398422241,-0.7470788359642029,-0.8462210893630981,-0.8769741654396057,-0.6927366256713867,-0.649249792098999,-0.6911294460296631,-0.9035791158676147,-0.6924313306808472,-0.7615045309066772,-0.645182728767395,-0.9980552196502686,-0.9975171089172364,-0.782574474811554,-0.8958825469017029,-0.7695517539978027,-0.8207266926765442,-0.8611676096916199,-0.8606696128845215,-0.9992706775665284,-0.992712140083313,-0.97506982088089,-0.8767416477203369,-0.7948843240737915,-0.9051234722137452,-0.7478582859039307,-0.8503985404968262,-0.821435809135437,-0.8422545194625854,-0.9973243474960328,-0.923933446407318
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9945451021194458,-0.9839069247245787,-0.995912790298462,-0.6428571343421936,-0.984443426132202,-0.7755666971206665,-0.8558119535446167,-0.7257168292999268,-0.6999964714050293,-0.8550812005996704,-0.8756935000419617,-0.6932843923568726,-0.6431846618652344,-0.6694556474685669,-0.8903436660766602,-0.694259762763977,-0.7420375347137451,-0.6199827790260315,-0.9981993436813354,-0.7356771230697632,-0.997367262840271,-0.7829487323760986,-0.916392147541046,-0.950646162033081,-0.962142825126648,-0.7871034145355225,-0.7717239260673523,-0.8192873001098633,-0.8534695506095886,-0.999797224998474,-0.9949098229408264,-0.9695911407470704,-0.9639678001403807,-0.8982324600219727,-0.8658360242843628,-0.800269365310669,-0.9182099103927612,-0.7232568264007568,-0.8850075602531433,-0.814923882484436,-0.8570693731307983,,-0.9249590039253236,,,,,,,,,,,,,,,,,,,,,-0.9945451021194458,-0.995912790298462,-0.984443426132202,-0.7755666971206665,-0.8558119535446167,-0.7257168292999268,-0.6999964714050293,-0.8550812005996704,-0.8756935000419617,-0.6932843923568726,-0.6431846618652344,-0.6694556474685669,-0.8903436660766602,-0.694259762763977,-0.7420375347137451,-0.6199827790260315,-0.9981993436813354,-0.997367262840271,-0.7829487323760986,-0.916392147541046,-0.7871034145355225,-0.7717239260673523,-0.8192873001098633,-0.8534695506095886,-0.999797224998474,-0.9949098229408264,-0.9695911407470704,-0.8658360242843628,-0.800269365310669,-0.9182099103927612,-0.7232568264007568,-0.8850075602531433,-0.814923882484436,-0.8570693731307983,,-0.9249590039253236
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9937522411346436,-0.976494312286377,,-0.8357142210006714,-0.9873487949371338,-0.7867270708084106,-0.8575611114501953,-0.7254011631011963,-0.7242552042007446,-0.8501775860786438,-0.8822682499885559,-0.7024475932121277,-0.6095746755599976,-0.6943227052688599,-0.9034698605537416,-0.6609042882919312,-0.7361890077590942,-0.5850849151611328,-0.9990180730819702,-0.7235243320465088,-0.9986943006515504,-0.7590396404266357,-0.9094581604003906,-0.9583333730697632,-0.9837499856948853,-0.7852758169174194,-0.788404643535614,-0.8064872622489929,-0.8429797887802124,-0.9988534450531006,-0.996852159500122,-0.9689725041389464,-0.9622793197631836,-0.8698943853378296,-0.86739182472229,-0.7984615564346313,-0.8702160120010376,-0.7140576839447021,-0.8766659498214722,-0.8230806589126587,-0.8496450185775757,-0.9993452429771424,-0.9318122863769532,,,,,,,,,,,,,,,,,,,,,-0.9937522411346436,,-0.9873487949371338,-0.7867270708084106,-0.8575611114501953,-0.7254011631011963,-0.7242552042007446,-0.8501775860786438,-0.8822682499885559,-0.7024475932121277,-0.6095746755599976,-0.6943227052688599,-0.9034698605537416,-0.6609042882919312,-0.7361890077590942,-0.5850849151611328,-0.9990180730819702,-0.9986943006515504,-0.7590396404266357,-0.9094581604003906,-0.7852758169174194,-0.788404643535614,-0.8064872622489929,-0.8429797887802124,-0.9988534450531006,-0.996852159500122,-0.9689725041389464,-0.86739182472229,-0.7984615564346313,-0.8702160120010376,-0.7140576839447021,-0.8766659498214722,-0.8230806589126587,-0.8496450185775757,-0.9993452429771424,-0.9318122863769532
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.992516040802002,-0.9852373600006104,-0.9952636361122132,-0.7964285612106323,,-0.7716679573059082,-0.8567884564399719,-0.7162505388259888,-0.7239676713943481,-0.8532555103302002,-0.8797788619995117,-0.6842390298843384,-0.6311590075492859,-0.6780481338500977,-0.8927643299102783,-0.6215702295303345,-0.7296618819236755,-0.5892812013626099,-0.9990657567977904,-0.7521700859069824,-0.998565912246704,-0.7476992607116699,-0.9142863154411316,-0.9516488313674928,-0.976607084274292,-0.7771034240722656,-0.8144930005073547,-0.7856113910675049,-0.8555177450180054,-0.9996373057365416,-0.9969869256019592,-0.9683915376663208,-0.93862646818161,-0.8689202070236206,-0.8698673844337463,-0.8076819181442261,-0.8932716846466064,-0.7503275871276855,-0.8628222942352295,-0.8119766116142273,-0.8406705856323242,-0.996720254421234,-0.929968535900116,,,,,,,,,,,,,,,,,,,,,-0.992516040802002,-0.9952636361122132,,-0.7716679573059082,-0.8567884564399719,-0.7162505388259888,-0.7239676713943481,-0.8532555103302002,-0.8797788619995117,-0.6842390298843384,-0.6311590075492859,-0.6780481338500977,-0.8927643299102783,-0.6215702295303345,-0.7296618819236755,-0.5892812013626099,-0.9990657567977904,-0.998565912246704,-0.7476992607116699,-0.9142863154411316,-0.7771034240722656,-0.8144930005073547,-0.7856113910675049,-0.8555177450180054,-0.9996373057365416,-0.9969869256019592,-0.9683915376663208,-0.8698673844337463,-0.8076819181442261,-0.8932716846466064,-0.7503275871276855,-0.8628222942352295,-0.8119766116142273,-0.8406705856323242,-0.996720254421234,-0.929968535900116
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9942047595977784,-0.9736401438713074,-0.9962408542633056,-0.8428571224212646,-0.9854549169540404,-0.7896592020988464,-0.860929548740387,-0.7219188213348389,-0.7167994976043701,-0.8569682240486145,-0.8919010758399963,-0.7165170907974243,-0.6745136976242065,-0.6803803443908691,-0.8859685063362122,-0.7071975469589233,-0.7363872528076172,-0.6101301312446594,-0.998131513595581,-0.7699653506278992,-0.9982903599739076,-0.8294858932495117,-0.9092429280281068,-0.945409893989563,-0.972678542137146,-0.8004138469696045,-0.8051418662071228,-0.8491932153701782,-0.8733628988265991,-0.999793291091919,-0.9958604574203492,-0.9657182097434998,,-0.8847434520721436,-0.8572461009025574,-0.796079158782959,-0.9125308990478516,-0.7310460805892944,-0.8739068508148193,-0.8095315098762512,-0.8550155162811279,-0.9963691234588624,-0.9072242975234984,,,,,,,,,,,,,,,,,,,,,-0.9942047595977784,-0.9962408542633056,-0.9854549169540404,-0.7896592020988464,-0.860929548740387,-0.7219188213348389,-0.7167994976043701,-0.8569682240486145,-0.8919010758399963,-0.7165170907974243,-0.6745136976242065,-0.6803803443908691,-0.8859685063362122,-0.7071975469589233,-0.7363872528076172,-0.6101301312446594,-0.998131513595581,-0.9982903599739076,-0.8294858932495117,-0.9092429280281068,-0.8004138469696045,-0.8051418662071228,-0.8491932153701782,-0.8733628988265991,-0.999793291091919,-0.9958604574203492,-0.9657182097434998,-0.8572461009025574,-0.796079158782959,-0.9125308990478516,-0.7310460805892944,-0.8739068508148193,-0.8095315098762512,-0.8550155162811279,-0.9963691234588624,-0.9072242975234984
caltech101_object_classification,-0.9947250485420228,-0.9578465223312378,-0.8913113474845886,-0.972757875919342,-0.8788339495658875,-0.999421238899231,-0.9999617338180542,-1.0,,-0.9737691283226012,,,-0.9676540493965148,,-0.9990196228027344,,-0.9889421463012696,-0.9095319509506226,-0.9933414459228516,-0.9841952323913574,-0.9286222457885742,-0.958252489566803,-0.9832386374473572,-0.8800815939903259,-0.8994405269622803,-0.9338515996932985,-0.9814199805259703,-0.8779447674751282,-0.9941954612731934,-0.979094922542572,-0.9886476993560792,-0.8857142925262451,-0.9857527613639832,-0.7671690583229065,-0.8632427453994751,-0.6690191030502319,-0.7242321968078613,-0.854548990726471,-0.878308117389679,-0.6792906522750854,-0.6650171279907227,-0.680687427520752,-0.9056077599525452,-0.6577349305152893,-0.7417065501213074,-0.6058074235916138,-0.9969040155410768,-0.6753472685813904,-0.9985231161117554,-0.6844921112060547,-0.9087199568748474,-0.9489750266075134,-0.9782142639160156,-0.7853792905807495,-0.8175269961357117,-0.8590535521507263,-0.819837749004364,-0.9991069436073304,-0.9986146688461304,-0.9853165745735168,-0.9701876640319824,-0.8751713037490845,-0.8621151447296143,-0.8006982803344727,-0.903024673461914,-0.7459404468536377,-0.8751653432846069,-0.8221046924591064,-0.8340764045715332,-0.9997814893722534,-0.91500061750412,-0.9947250485420228,-0.9578465223312378,-0.8913113474845886,-0.972757875919342,-0.9999617338180542,-1.0,-0.9737691283226012,-0.9676540493965148,-0.9990196228027344,-0.9889421463012696,-0.9095319509506226,-0.9933414459228516,-0.9841952323913574,-0.9286222457885742,-0.958252489566803,-0.9832386374473572,-0.8800815939903259,-0.8994405269622803,-0.9338515996932985,-0.9814199805259703,-0.9941954612731934,-0.9886476993560792,-0.9857527613639832,-0.7671690583229065,-0.8632427453994751,-0.6690191030502319,-0.7242321968078613,-0.854548990726471,-0.878308117389679,-0.6792906522750854,-0.6650171279907227,-0.680687427520752,-0.9056077599525452,-0.6577349305152893,-0.7417065501213074,-0.6058074235916138,-0.9969040155410768,-0.9985231161117554,-0.6844921112060547,-0.9087199568748474,-0.7853792905807495,-0.8175269961357117,-0.8590535521507263,-0.819837749004364,-0.9991069436073304,-0.9986146688461304,-0.9853165745735168,-0.8621151447296143,-0.8006982803344727,-0.903024673461914,-0.7459404468536377,-0.8751653432846069,-0.8221046924591064,-0.8340764045715332,-0.9997814893722534,-0.91500061750412
caltech256_object_classification,-0.9948528409004213,-0.9593138098716736,-0.9059643745422364,-0.9753555059432985,-0.8685503005981445,-0.9996141791343688,-1.0,-1.0,,-0.9834173321723938,,,-0.9721571207046508,,-0.9990226030349731,,-0.9937465190887452,-0.9313539266586304,-0.9937390089035034,-0.9866324663162231,-0.9323464035987854,-0.9522658586502076,-0.977447271347046,-0.8313390016555786,-0.8872097730636597,-0.8970502614974976,-0.9741582870483398,-0.8510324358940125,-0.9928357601165771,-0.9733678698539734,-0.9907163381576538,-0.9107142686843872,-0.9894200563430786,-0.7773162126541138,-0.8557925224304199,-0.6808826923370361,-0.7041739225387573,-0.850829541683197,-0.888134777545929,-0.6802595853805542,-0.6377761363983154,-0.682178795337677,-0.8995205163955688,-0.6772273778915405,-0.7308807373046875,-0.5689602494239807,-0.9979526996612548,-0.7339409589767456,-0.9988548755645752,-0.7494308948516846,-0.8989263772964478,-0.9594473838806152,-0.9737499952316284,-0.8062758445739746,-0.788526713848114,-0.8086662292480469,-0.869939923286438,-0.9997075200080872,-0.99051833152771,-0.9749571681022644,-0.9523805975914,-0.8802862763404846,-0.8649371862411499,-0.7932593822479248,-0.9013580679893494,-0.7568687200546265,-0.8759721517562866,-0.8299108147621155,-0.8476910591125488,-0.9981435537338256,-0.9157409071922302,-0.9948528409004213,-0.9593138098716736,-0.9059643745422364,-0.9753555059432985,-1.0,-1.0,-0.9834173321723938,-0.9721571207046508,-0.9990226030349731,-0.9937465190887452,-0.9313539266586304,-0.9937390089035034,-0.9866324663162231,-0.9323464035987854,-0.9522658586502076,-0.977447271347046,-0.8313390016555786,-0.8872097730636597,-0.8970502614974976,-0.9741582870483398,-0.9928357601165771,-0.9907163381576538,-0.9894200563430786,-0.7773162126541138,-0.8557925224304199,-0.6808826923370361,-0.7041739225387573,-0.850829541683197,-0.888134777545929,-0.6802595853805542,-0.6377761363983154,-0.682178795337677,-0.8995205163955688,-0.6772273778915405,-0.7308807373046875,-0.5689602494239807,-0.9979526996612548,-0.9988548755645752,-0.7494308948516846,-0.8989263772964478,-0.8062758445739746,-0.788526713848114,-0.8086662292480469,-0.869939923286438,-0.9997075200080872,-0.99051833152771,-0.9749571681022644,-0.8649371862411499,-0.7932593822479248,-0.9013580679893494,-0.7568687200546265,-0.8759721517562866,-0.8299108147621155,-0.8476910591125488,-0.9981435537338256,-0.9157409071922302
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9925951361656188,-0.9764341115951538,-0.9930309653282166,-0.9071428775787354,-0.9783115386962892,,,,,,,,,,,,,,-0.996844470500946,-0.7200521230697632,-0.9974421262741088,-0.7246034145355225,-0.8876380920410156,-0.9540997743606568,-0.9785714149475098,-0.7742068767547607,-0.736474335193634,-0.8008468747138977,-0.8031600713729858,-0.9994052648544312,-0.9907082915306092,-0.9636422395706176,-0.9456336498260498,-0.8300529718399048,-0.8371938467025757,-0.7770296335220337,-0.9107407331466676,-0.711441159248352,-0.8873955011367798,-0.8163434863090515,-0.819495439529419,-0.9969958662986756,-0.9102150201797484,,,,,,,,,,,,,,,,,,,,,-0.9925951361656188,-0.9930309653282166,-0.9783115386962892,,,,,,,,,,,,,,-0.996844470500946,-0.9974421262741088,-0.7246034145355225,-0.8876380920410156,-0.7742068767547607,-0.736474335193634,-0.8008468747138977,-0.8031600713729858,-0.9994052648544312,-0.9907082915306092,-0.9636422395706176,-0.8371938467025757,-0.7770296335220337,-0.9107407331466676,-0.711441159248352,-0.8873955011367798,-0.8163434863090515,-0.819495439529419,-0.9969958662986756,-0.9102150201797484
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.99512779712677,-0.9536356329917908,-0.994461178779602,-0.9214285612106324,-0.977447509765625,,,,,,,,,,,,,,-0.9973211288452148,-0.7491320371627808,-0.9982234239578248,-0.7462044954299927,-0.9004489779472351,-0.9683600664138794,-0.9785714149475098,-0.8120344877243042,-0.7943148016929626,-0.7896869778633118,-0.8151798248291016,-0.9990679621696472,-0.995033323764801,-0.9721811413764954,-0.9658676385879515,-0.8095300197601318,-0.8591350317001343,-0.7845858335494995,-0.9058951139450072,-0.7409127950668335,-0.8816354274749756,-0.8048392534255981,-0.8273546695709229,-0.997402548789978,-0.8985365033149719,,,,,,,,,,,,,,,,,,,,,-0.99512779712677,-0.994461178779602,-0.977447509765625,,,,,,,,,,,,,,-0.9973211288452148,-0.9982234239578248,-0.7462044954299927,-0.9004489779472351,-0.8120344877243042,-0.7943148016929626,-0.7896869778633118,-0.8151798248291016,-0.9990679621696472,-0.995033323764801,-0.9721811413764954,-0.8591350317001343,-0.7845858335494995,-0.9058951139450072,-0.7409127950668335,-0.8816354274749756,-0.8048392534255981,-0.8273546695709229,-0.997402548789978,-0.8985365033149719
