s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9800000190734864,-0.9166667461395264,-0.9663640260696412,-0.7928571701049805,-0.9383841156959534,-0.6977189779281616,-0.7571063041687012,-0.5440804958343506,-0.6403914093971252,-0.7457507848739624,-0.7935951948165894,-0.6323734521865845,-0.5154266953468323,-0.5977931022644043,-0.8192435503005981,-0.5064051151275635,-0.6110983490943909,-0.5051715970039368,-0.9823752641677856,-0.5416666865348816,-0.991978645324707,-0.5422607660293579,-0.5859453082084656,-0.9024064540863036,-0.9383928775787354,-0.657137930393219,-0.4463323950767517,-0.4709536433219909,-0.4989969134330749,-0.9900400638580322,-0.9212090969085692,-0.7703351974487305,-0.8244542479515076,-0.6309523582458496,-0.787468433380127,-0.7250676155090332,-0.8300926089286804,-0.6794919967651367,-0.8185162544250488,-0.72870934009552,-0.7738933563232422,-0.9617520570755004,,,,,,,,,,,,,,,,,,,,,,-0.9800000190734864,-0.9663640260696412,-0.9383841156959534,-0.6977189779281616,-0.7571063041687012,-0.5440804958343506,-0.6403914093971252,-0.7457507848739624,-0.7935951948165894,-0.6323734521865845,-0.5154266953468323,-0.5977931022644043,-0.8192435503005981,-0.5064051151275635,-0.6110983490943909,-0.5051715970039368,-0.9823752641677856,-0.991978645324707,-0.5422607660293579,-0.5859453082084656,-0.657137930393219,-0.4463323950767517,-0.4709536433219909,-0.4989969134330749,-0.9900400638580322,-0.9212090969085692,-0.7703351974487305,-0.787468433380127,-0.7250676155090332,-0.8300926089286804,-0.6794919967651367,-0.8185162544250488,-0.72870934009552,-0.7738933563232422,-0.9617520570755004,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9808333516120912,,-0.9577436447143556,-0.7107143402099609,-0.953040361404419,-0.7067407369613647,-0.7500302791595459,-0.5418785810470581,-0.6238765120506287,-0.7476572394371033,-0.8028169274330139,-0.6350224614143372,-0.5209909081459045,-0.6050679683685303,-0.8163471221923828,-0.5369570255279541,-0.6240730285644531,-0.5150861144065857,-0.9861575961112976,-0.6875000596046448,-0.9844763278961182,-0.5807149410247803,-0.5935593843460083,-0.8879233598709106,-0.9267857074737548,-0.6989655494689941,-0.4338109195232391,-0.4745937585830688,-0.4881172776222229,-0.981870174407959,-0.9357593655586244,-0.8185287714004517,-0.8491151332855225,-0.686904788017273,-0.8059258460998535,-0.7326309680938721,-0.8458333015441895,-0.6606458425521851,-0.8147568702697754,-0.7426202297210693,-0.7819045782089233,-0.9787933826446532,-0.6321966052055359,,,,,,,,,,,,,,,,,,,,,-0.9808333516120912,-0.9577436447143556,-0.953040361404419,-0.7067407369613647,-0.7500302791595459,-0.5418785810470581,-0.6238765120506287,-0.7476572394371033,-0.8028169274330139,-0.6350224614143372,-0.5209909081459045,-0.6050679683685303,-0.8163471221923828,-0.5369570255279541,-0.6240730285644531,-0.5150861144065857,-0.9861575961112976,-0.9844763278961182,-0.5807149410247803,-0.5935593843460083,-0.6989655494689941,-0.4338109195232391,-0.4745937585830688,-0.4881172776222229,-0.981870174407959,-0.9357593655586244,-0.8185287714004517,-0.8059258460998535,-0.7326309680938721,-0.8458333015441895,-0.6606458425521851,-0.8147568702697754,-0.7426202297210693,-0.7819045782089233,-0.9787933826446532,-0.6321966052055359
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.983888864517212,-0.9158730506896972,-0.9761862754821776,-0.675000011920929,-0.9460694789886476,-0.699439525604248,-0.7608742713928223,-0.5339717864990234,-0.5904269218444824,-0.7403285503387451,-0.7887550592422485,-0.6332545280456543,-0.5236195921897888,-0.5895847678184509,-0.798017144203186,-0.5710327625274658,-0.6131463646888733,-0.5125114917755127,-0.9878520965576172,-0.5208333730697632,-0.9816830158233644,-0.5676682591438293,-0.5705797672271729,-0.8954991102218628,-0.9321428537368774,-0.7269655466079712,-0.4784051179885864,-0.4806826114654541,-0.4666666984558105,-0.9933080673217772,-0.9489349126815796,-0.8068310022354126,-0.8381682634353638,-0.6446428298950195,-0.7770243883132935,-0.7228167653083801,-0.8412036895751953,-0.6532567143440247,-0.8233566284179688,-0.7417229413986206,-0.7938703894615173,,-0.6320687532424927,,,,,,,,,,,,,,,,,,,,,-0.983888864517212,-0.9761862754821776,-0.9460694789886476,-0.699439525604248,-0.7608742713928223,-0.5339717864990234,-0.5904269218444824,-0.7403285503387451,-0.7887550592422485,-0.6332545280456543,-0.5236195921897888,-0.5895847678184509,-0.798017144203186,-0.5710327625274658,-0.6131463646888733,-0.5125114917755127,-0.9878520965576172,-0.9816830158233644,-0.5676682591438293,-0.5705797672271729,-0.7269655466079712,-0.4784051179885864,-0.4806826114654541,-0.4666666984558105,-0.9933080673217772,-0.9489349126815796,-0.8068310022354126,-0.7770243883132935,-0.7228167653083801,-0.8412036895751953,-0.6532567143440247,-0.8233566284179688,-0.7417229413986206,-0.7938703894615173,,-0.6320687532424927
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9752777814865112,-0.879365086555481,,-0.7571429014205933,-0.9412868618965148,-0.709850549697876,-0.7481931447982788,-0.5432991981506348,-0.6196674704551697,-0.7447118759155273,-0.792413592338562,-0.6208313703536987,-0.5144457817077637,-0.606289267539978,-0.8125448822975159,-0.531981348991394,-0.6034902334213257,-0.5058951377868652,-0.9905047416687012,-0.6041667461395264,-0.9897043704986572,-0.5535246133804321,-0.5776333808898926,-0.9024064540863036,-0.9303571581840516,-0.7248275876045227,-0.4381875991821289,-0.4431670904159546,-0.5301697850227356,-0.9912333488464355,-0.9397298097610474,-0.8004089593887329,-0.8249711990356445,-0.697023868560791,-0.7952758073806763,-0.7337340116500854,-0.8245370388031006,-0.651488184928894,-0.8211946487426758,-0.7394839525222778,-0.7845388650894165,-0.9702450037002563,-0.6322883367538452,,,,,,,,,,,,,,,,,,,,,-0.9752777814865112,,-0.9412868618965148,-0.709850549697876,-0.7481931447982788,-0.5432991981506348,-0.6196674704551697,-0.7447118759155273,-0.792413592338562,-0.6208313703536987,-0.5144457817077637,-0.606289267539978,-0.8125448822975159,-0.531981348991394,-0.6034902334213257,-0.5058951377868652,-0.9905047416687012,-0.9897043704986572,-0.5535246133804321,-0.5776333808898926,-0.7248275876045227,-0.4381875991821289,-0.4431670904159546,-0.5301697850227356,-0.9912333488464355,-0.9397298097610474,-0.8004089593887329,-0.7952758073806763,-0.7337340116500854,-0.8245370388031006,-0.651488184928894,-0.8211946487426758,-0.7394839525222778,-0.7845388650894165,-0.9702450037002563,-0.6322883367538452
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9791666269302368,-0.9253969192504884,-0.9708150625228882,-0.7821428775787354,,-0.6994476318359375,-0.7459575533866882,-0.5441988110542297,-0.6154584288597107,-0.7395918369293213,-0.7902424931526184,-0.6248758435249329,-0.5348977446556091,-0.6143284440040588,-0.8105357885360718,-0.5156360864639282,-0.6037805080413818,-0.5113638639450073,-0.9880881309509276,-0.6041666865348816,-0.9863920211791992,-0.5748142600059509,-0.5935956239700317,-0.902629256248474,-0.9169642925262452,-0.7094482779502869,-0.5066162347793579,-0.4892170429229736,-0.4824845790863037,-0.9867720603942872,-0.942906618118286,-0.8146432042121887,-0.7941069602966309,-0.6476190686225891,-0.7914701700210571,-0.7379434704780579,-0.822685182094574,-0.7059822082519531,-0.810997486114502,-0.7295823097229004,-0.779793381690979,-0.9577518701553344,-0.6273763179779053,,,,,,,,,,,,,,,,,,,,,-0.9791666269302368,-0.9708150625228882,,-0.6994476318359375,-0.7459575533866882,-0.5441988110542297,-0.6154584288597107,-0.7395918369293213,-0.7902424931526184,-0.6248758435249329,-0.5348977446556091,-0.6143284440040588,-0.8105357885360718,-0.5156360864639282,-0.6037805080413818,-0.5113638639450073,-0.9880881309509276,-0.9863920211791992,-0.5748142600059509,-0.5935956239700317,-0.7094482779502869,-0.5066162347793579,-0.4892170429229736,-0.4824845790863037,-0.9867720603942872,-0.942906618118286,-0.8146432042121887,-0.7914701700210571,-0.7379434704780579,-0.822685182094574,-0.7059822082519531,-0.810997486114502,-0.7295823097229004,-0.779793381690979,-0.9577518701553344,-0.6273763179779053
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9802777767181396,-0.8230159282684326,-0.9613494277000428,-0.7571429014205933,-0.945442795753479,-0.7051092386245728,-0.7653970122337341,-0.5532422661781311,-0.608672559261322,-0.772163987159729,-0.8067154884338379,-0.6514841318130493,-0.5311456918716431,-0.5941159725189209,-0.8087524175643921,-0.5618129372596741,-0.639722466468811,-0.5096728205680847,-0.9873659610748292,-0.6041666865348816,-0.9883077144622804,-0.5599700808525085,-0.6340032815933228,-0.8957219123840332,-0.9107142686843872,-0.72917240858078,-0.4652389883995056,-0.4902609884738922,-0.4940586686134338,-0.990636706352234,-0.946218192577362,-0.7862687110900879,,-0.6898809671401978,-0.768011748790741,-0.7390977144241333,-0.8384259343147278,-0.6577764749526978,-0.8056246042251587,-0.7319707870483398,-0.7988391518592834,-0.970246434211731,-0.6020580530166626,,,,,,,,,,,,,,,,,,,,,-0.9802777767181396,-0.9613494277000428,-0.945442795753479,-0.7051092386245728,-0.7653970122337341,-0.5532422661781311,-0.608672559261322,-0.772163987159729,-0.8067154884338379,-0.6514841318130493,-0.5311456918716431,-0.5941159725189209,-0.8087524175643921,-0.5618129372596741,-0.639722466468811,-0.5096728205680847,-0.9873659610748292,-0.9883077144622804,-0.5599700808525085,-0.6340032815933228,-0.72917240858078,-0.4652389883995056,-0.4902609884738922,-0.4940586686134338,-0.990636706352234,-0.946218192577362,-0.7862687110900879,-0.768011748790741,-0.7390977144241333,-0.8384259343147278,-0.6577764749526978,-0.8056246042251587,-0.7319707870483398,-0.7988391518592834,-0.970246434211731,-0.6020580530166626
caltech101_object_classification,-0.9407193064689636,-0.7352418899536133,-0.6955485939979553,-0.8716132044792175,-0.4973214268684387,-0.9861111044883728,-0.996212124824524,-0.9995370507240297,,-0.7948862314224243,,,-0.7688000202178955,,-0.966894507408142,,-0.8288609981536865,-0.3904168009757995,-0.9520376920700072,-0.9573345184326172,-0.8561294078826904,-0.8661149144172668,-0.9441921710968018,-0.6944499015808105,-0.7837178707122803,-0.7716162204742432,-0.8761842250823975,-0.5262544751167297,-0.9841666221618652,-0.9253969192504884,-0.9529359340667723,-0.7821428775787354,-0.9448161721229552,-0.7053792476654053,-0.7547662258148193,-0.5468739867210388,-0.5863614082336426,-0.7426926493644714,-0.7828717231750488,-0.5946133136749268,-0.529729962348938,-0.6057783365249634,-0.8329970836639404,-0.5383643507957458,-0.6209557056427002,-0.5109058618545532,-0.9805233478546144,-0.4166666865348816,-0.993894338607788,-0.5272608995437622,-0.6030411720275879,-0.8801248073577881,-0.920535683631897,-0.7168276309967041,-0.4940180480480194,-0.3906524777412414,-0.4621913731098175,-0.989002764225006,-0.9484873414039612,-0.7962943315505981,-0.8347625732421875,-0.6505952477455139,-0.8001910448074341,-0.7373119592666626,-0.8675925731658936,-0.6681138277053833,-0.8287134170532227,-0.7496119737625122,-0.7950312495231628,-0.9786838293075562,-0.6082737445831299,-0.9407193064689636,-0.7352418899536133,-0.6955485939979553,-0.8716132044792175,-0.996212124824524,-0.9995370507240297,-0.7948862314224243,-0.7688000202178955,-0.966894507408142,-0.8288609981536865,-0.3904168009757995,-0.9520376920700072,-0.9573345184326172,-0.8561294078826904,-0.8661149144172668,-0.9441921710968018,-0.6944499015808105,-0.7837178707122803,-0.7716162204742432,-0.8761842250823975,-0.9841666221618652,-0.9529359340667723,-0.9448161721229552,-0.7053792476654053,-0.7547662258148193,-0.5468739867210388,-0.5863614082336426,-0.7426926493644714,-0.7828717231750488,-0.5946133136749268,-0.529729962348938,-0.6057783365249634,-0.8329970836639404,-0.5383643507957458,-0.6209557056427002,-0.5109058618545532,-0.9805233478546144,-0.993894338607788,-0.5272608995437622,-0.6030411720275879,-0.7168276309967041,-0.4940180480480194,-0.3906524777412414,-0.4621913731098175,-0.989002764225006,-0.9484873414039612,-0.7962943315505981,-0.8001910448074341,-0.7373119592666626,-0.8675925731658936,-0.6681138277053833,-0.8287134170532227,-0.7496119737625122,-0.7950312495231628,-0.9786838293075562,-0.6082737445831299
caltech256_object_classification,-0.923245131969452,-0.7240798473358154,-0.7112017869949341,-0.8840309381484985,-0.4520833492279053,-0.9930555820465088,-1.0,-1.0,,-0.8448251485824585,,,-0.7826000452041626,,-0.968892514705658,,-0.8263775110244751,-0.4635506272315979,-0.9465750455856324,-0.9473088979721068,-0.858391284942627,-0.832810640335083,-0.9298946857452391,-0.6455398797988892,-0.7070698142051697,-0.7181259989738464,-0.8588101863861084,-0.5095877647399902,-0.976111114025116,-0.9063493013381958,-0.950813889503479,-0.7928571701049805,-0.945459246635437,-0.7137900590896606,-0.7533639669418335,-0.5366467237472534,-0.5915643572807312,-0.7462029457092285,-0.7985279560089111,-0.6326218247413635,-0.5144457817077637,-0.5975333452224731,-0.8147063255310059,-0.5681959390640259,-0.6153356432914734,-0.5036507248878479,-0.984305739402771,-0.5833333730697632,-0.984315812587738,-0.5445957183837891,-0.5736595392227173,-0.9246880412101746,-0.9348214268684388,-0.7109999656677246,-0.4640129804611206,-0.425601989030838,-0.4956790208816528,-0.9879654049873352,-0.8919308185577393,-0.7786981463432312,-0.8377121090888977,-0.6470237970352173,-0.793537974357605,-0.731246292591095,-0.8347222208976746,-0.7011743187904358,-0.8093839883804321,-0.7493614554405212,-0.7797167897224426,-0.9703545570373536,-0.5905130505561829,-0.923245131969452,-0.7240798473358154,-0.7112017869949341,-0.8840309381484985,-1.0,-1.0,-0.8448251485824585,-0.7826000452041626,-0.968892514705658,-0.8263775110244751,-0.4635506272315979,-0.9465750455856324,-0.9473088979721068,-0.858391284942627,-0.832810640335083,-0.9298946857452391,-0.6455398797988892,-0.7070698142051697,-0.7181259989738464,-0.8588101863861084,-0.976111114025116,-0.950813889503479,-0.945459246635437,-0.7137900590896606,-0.7533639669418335,-0.5366467237472534,-0.5915643572807312,-0.7462029457092285,-0.7985279560089111,-0.6326218247413635,-0.5144457817077637,-0.5975333452224731,-0.8147063255310059,-0.5681959390640259,-0.6153356432914734,-0.5036507248878479,-0.984305739402771,-0.984315812587738,-0.5445957183837891,-0.5736595392227173,-0.7109999656677246,-0.4640129804611206,-0.425601989030838,-0.4956790208816528,-0.9879654049873352,-0.8919308185577393,-0.7786981463432312,-0.793537974357605,-0.731246292591095,-0.8347222208976746,-0.7011743187904358,-0.8093839883804321,-0.7493614554405212,-0.7797167897224426,-0.9703545570373536,-0.5905130505561829
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9811111092567444,-0.9253969192504884,-0.964598536491394,-0.8428571224212646,-0.9331119656562804,,,,,,,,,,,,,,-0.9785928726196288,-0.5416666865348816,-0.9755773544311525,-0.5448219180107117,-0.6166468262672424,-0.8872548937797546,-0.912500023841858,-0.7088276147842407,-0.4727146625518799,-0.4197026193141937,-0.449228435754776,-0.9855787754058838,-0.916204571723938,-0.7682029008865356,-0.8021042346954346,-0.6273809671401978,-0.7662097215652466,-0.7087461948394775,-0.8768518567085266,-0.6663971543312073,-0.8174352645874023,-0.7260459661483765,-0.7684526443481445,-0.9575340747833252,-0.5752168297767639,,,,,,,,,,,,,,,,,,,,,-0.9811111092567444,-0.964598536491394,-0.9331119656562804,,,,,,,,,,,,,,-0.9785928726196288,-0.9755773544311525,-0.5448219180107117,-0.6166468262672424,-0.7088276147842407,-0.4727146625518799,-0.4197026193141937,-0.449228435754776,-0.9855787754058838,-0.916204571723938,-0.7682029008865356,-0.7662097215652466,-0.7087461948394775,-0.8768518567085266,-0.6663971543312073,-0.8174352645874023,-0.7260459661483765,-0.7684526443481445,-0.9575340747833252,-0.5752168297767639
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.976111114025116,-0.8142857551574707,-0.9722987413406372,-0.8428571224212646,-0.9278453588485718,,,,,,,,,,,,,,-0.9830187559127808,-0.5625,-0.984315812587738,-0.5594252943992615,-0.5672033429145813,-0.9028520584106444,-0.9366071224212646,-0.7303793430328369,-0.4900954365730285,-0.3977338671684265,-0.4124228358268738,-0.9852941036224364,-0.941441535949707,-0.7778146266937256,-0.8147540092468262,-0.5613095164299011,-0.7846208810806274,-0.7190595865249634,-0.8444444537162781,-0.6730461120605469,-0.8002517223358154,-0.7326416969299316,-0.7697665691375732,-0.9532605409622192,-0.6147308349609375,,,,,,,,,,,,,,,,,,,,,-0.976111114025116,-0.9722987413406372,-0.9278453588485718,,,,,,,,,,,,,,-0.9830187559127808,-0.984315812587738,-0.5594252943992615,-0.5672033429145813,-0.7303793430328369,-0.4900954365730285,-0.3977338671684265,-0.4124228358268738,-0.9852941036224364,-0.941441535949707,-0.7778146266937256,-0.7846208810806274,-0.7190595865249634,-0.8444444537162781,-0.6730461120605469,-0.8002517223358154,-0.7326416969299316,-0.7697665691375732,-0.9532605409622192,-0.6147308349609375
