s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9822221994400024,-0.888888955116272,-0.9744207859039308,-0.8178571462631226,-0.9517214298248292,-0.7184358835220337,-0.7476508617401123,-0.5703107118606567,-0.6031183004379272,-0.7648686766624451,-0.8054293394088745,-0.6327341794967651,-0.5196354389190674,-0.6036243438720703,-0.8088460564613342,-0.5497450828552246,-0.6470386981964111,-0.504702091217041,-0.9875232577323914,-0.5625,-0.985353946685791,-0.5590360760688782,-0.5977979898452759,-0.8734402656555176,-0.9116071462631226,-0.7343792915344238,-0.5088146924972534,-0.4162664115428924,-0.4822530746459961,-0.9855787754058838,-0.8839372992515564,-0.7262182235717773,-0.7583166360855103,-0.7124999761581421,-0.7979239225387573,-0.720518946647644,-0.8240740299224854,-0.6691027879714966,-0.819581151008606,-0.743913471698761,-0.8004018068313599,-0.9533687829971312,,,,,,,,,,,,,,,,,,,,,,-0.9822221994400024,-0.9744207859039308,-0.9517214298248292,-0.7184358835220337,-0.7476508617401123,-0.5703107118606567,-0.6031183004379272,-0.7648686766624451,-0.8054293394088745,-0.6327341794967651,-0.5196354389190674,-0.6036243438720703,-0.8088460564613342,-0.5497450828552246,-0.6470386981964111,-0.504702091217041,-0.9875232577323914,-0.985353946685791,-0.5590360760688782,-0.5977979898452759,-0.7343792915344238,-0.5088146924972534,-0.4162664115428924,-0.4822530746459961,-0.9855787754058838,-0.8839372992515564,-0.7262182235717773,-0.7979239225387573,-0.720518946647644,-0.8240740299224854,-0.6691027879714966,-0.819581151008606,-0.743913471698761,-0.8004018068313599,-0.9533687829971312,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9800000190734864,,-0.9624764919281006,-0.7107143402099609,-0.9366248846054076,-0.7132192850112915,-0.7635468244552612,-0.5825262665748596,-0.5877708196640015,-0.7617816925048828,-0.8076462149620056,-0.648551344871521,-0.5324262380599976,-0.5796084403991699,-0.824996829032898,-0.5660793781280518,-0.6141250133514404,-0.502467691898346,-0.9785141944885254,-0.6041666865348816,-0.9797673225402832,-0.5304520726203918,-0.6381399631500244,-0.8799019455909729,-0.9133929014205932,-0.7150000333786011,-0.447010189294815,-0.3764169812202453,-0.469753086566925,-0.9797954559326172,-0.9233851432800292,-0.7511593699455261,-0.8397190570831299,-0.6619048118591309,-0.7856382131576538,-0.7438298463821411,-0.8240740299224854,-0.6373587846755981,-0.8421375751495361,-0.7586690187454224,-0.7845388650894165,-0.9615342617034912,-0.5890776515007019,,,,,,,,,,,,,,,,,,,,,-0.9800000190734864,-0.9624764919281006,-0.9366248846054076,-0.7132192850112915,-0.7635468244552612,-0.5825262665748596,-0.5877708196640015,-0.7617816925048828,-0.8076462149620056,-0.648551344871521,-0.5324262380599976,-0.5796084403991699,-0.824996829032898,-0.5660793781280518,-0.6141250133514404,-0.502467691898346,-0.9785141944885254,-0.9797673225402832,-0.5304520726203918,-0.6381399631500244,-0.7150000333786011,-0.447010189294815,-0.3764169812202453,-0.469753086566925,-0.9797954559326172,-0.9233851432800292,-0.7511593699455261,-0.7856382131576538,-0.7438298463821411,-0.8240740299224854,-0.6373587846755981,-0.8421375751495361,-0.7586690187454224,-0.7845388650894165,-0.9615342617034912,-0.5890776515007019
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9791666269302368,-0.888888955116272,-0.9833228588104248,-0.8178571462631226,-0.9547447562217712,-0.7223818302154541,-0.7744917273521423,-0.5507803559303284,-0.6284218430519104,-0.751213014125824,-0.802614688873291,-0.6223095655441284,-0.5270044803619385,-0.6066574454307556,-0.8341070413589478,-0.6051307916641235,-0.5999995470046997,-0.5099437832832336,-0.9811668395996094,-0.75,-0.9816830158233644,-0.506212055683136,-0.631757378578186,-0.8803476095199585,-0.8857142925262451,-0.7109999656677246,-0.4326319992542267,-0.3708332180976867,-0.4384259581565857,-0.9820261001586914,-0.883819580078125,-0.6746033430099487,-0.8029860854148865,-0.7220238447189331,-0.801587700843811,-0.7359209060668945,-0.8587962985038757,-0.6691421866416931,-0.8158217668533325,-0.769193172454834,-0.7867968082427979,,-0.5917906165122986,,,,,,,,,,,,,,,,,,,,,-0.9791666269302368,-0.9833228588104248,-0.9547447562217712,-0.7223818302154541,-0.7744917273521423,-0.5507803559303284,-0.6284218430519104,-0.751213014125824,-0.802614688873291,-0.6223095655441284,-0.5270044803619385,-0.6066574454307556,-0.8341070413589478,-0.6051307916641235,-0.5999995470046997,-0.5099437832832336,-0.9811668395996094,-0.9816830158233644,-0.506212055683136,-0.631757378578186,-0.7109999656677246,-0.4326319992542267,-0.3708332180976867,-0.4384259581565857,-0.9820261001586914,-0.883819580078125,-0.6746033430099487,-0.801587700843811,-0.7359209060668945,-0.8587962985038757,-0.6691421866416931,-0.8158217668533325,-0.769193172454834,-0.7867968082427979,,-0.5917906165122986
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9783333539962769,-0.888888955116272,,-0.8035714626312256,-0.9365699291229248,-0.7175134420394897,-0.7659128904342651,-0.548057496547699,-0.591930627822876,-0.7597898244857788,-0.798245370388031,-0.622398316860199,-0.5462654829025269,-0.6021115779876709,-0.8111430406570435,-0.5177748203277588,-0.6301708221435547,-0.5122928619384766,-0.9785141944885254,-0.6458333730697632,-0.9844763278961182,-0.5628499388694763,-0.57396399974823,-0.8943849802017212,-0.9133929014205932,-0.6900689601898193,-0.4195853471755981,-0.4179446697235107,-0.4810185432434082,-0.9912333488464355,-0.8939461708068848,-0.7709507942199707,-0.7859575748443604,-0.6470237970352173,-0.7814897298812866,-0.7307684421539307,-0.8217592835426331,-0.6291900873184204,-0.8056246042251587,-0.7364972829818726,-0.7672088146209717,-0.9532577395439148,-0.5992623567581177,,,,,,,,,,,,,,,,,,,,,-0.9783333539962769,,-0.9365699291229248,-0.7175134420394897,-0.7659128904342651,-0.548057496547699,-0.591930627822876,-0.7597898244857788,-0.798245370388031,-0.622398316860199,-0.5462654829025269,-0.6021115779876709,-0.8111430406570435,-0.5177748203277588,-0.6301708221435547,-0.5122928619384766,-0.9785141944885254,-0.9844763278961182,-0.5628499388694763,-0.57396399974823,-0.6900689601898193,-0.4195853471755981,-0.4179446697235107,-0.4810185432434082,-0.9912333488464355,-0.8939461708068848,-0.7709507942199707,-0.7814897298812866,-0.7307684421539307,-0.8217592835426331,-0.6291900873184204,-0.8056246042251587,-0.7364972829818726,-0.7672088146209717,-0.9532577395439148,-0.5992623567581177
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9763888716697692,-0.888888955116272,-0.9783083200454712,-0.6928571462631226,,-0.7084638476371765,-0.7608606815338135,-0.5824788808822632,-0.6106560230255127,-0.7411537170410156,-0.8018675446510315,-0.6337630152702332,-0.5321193337440491,-0.5754257440567017,-0.8374261856079102,-0.5518617033958435,-0.6093268990516663,-0.5087360739707947,-0.9911482930183412,-0.7291666865348816,-0.9802863597869872,-0.5678239464759827,-0.5159375667572021,-0.902629256248474,-0.9116071462631226,-0.6876206398010254,-0.4562395513057709,-0.412034660577774,-0.4900463223457336,-0.9846974611282348,-0.9123080968856812,-0.7324560880661011,-0.825944185256958,-0.6261904835700989,-0.7856300473213196,-0.7385686039924622,-0.8300926089286804,-0.6680350303649902,-0.8136758208274841,-0.7544375658035278,-0.7783199548721313,-0.9530954360961914,-0.5724419951438904,,,,,,,,,,,,,,,,,,,,,-0.9763888716697692,-0.9783083200454712,,-0.7084638476371765,-0.7608606815338135,-0.5824788808822632,-0.6106560230255127,-0.7411537170410156,-0.8018675446510315,-0.6337630152702332,-0.5321193337440491,-0.5754257440567017,-0.8374261856079102,-0.5518617033958435,-0.6093268990516663,-0.5087360739707947,-0.9911482930183412,-0.9802863597869872,-0.5678239464759827,-0.5159375667572021,-0.6876206398010254,-0.4562395513057709,-0.412034660577774,-0.4900463223457336,-0.9846974611282348,-0.9123080968856812,-0.7324560880661011,-0.7856300473213196,-0.7385686039924622,-0.8300926089286804,-0.6680350303649902,-0.8136758208274841,-0.7544375658035278,-0.7783199548721313,-0.9530954360961914,-0.5724419951438904
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9819444417953492,-0.8611111640930176,-0.9740641117095948,-0.2607142925262451,-0.9634913206100464,-0.7038573026657104,-0.7578720450401306,-0.5595631003379822,-0.5894180536270142,-0.7374997138977051,-0.8036832809448242,-0.637245774269104,-0.5400199294090271,-0.6067708730697632,-0.8230233192443848,-0.549035906791687,-0.6153955459594727,-0.5196496844291687,-0.9767410159111024,-0.6458333730697632,-0.9877886772155762,-0.5623829364776611,-0.6248742938041687,-0.8734402656555176,-0.8946428298950195,-0.7365172505378723,-0.4469571709632873,-0.4060769379138946,-0.446759283542633,-0.9830634593963624,-0.901945948600769,-0.7564383745193481,,-0.7047619223594666,-0.7910365462303162,-0.7241032719612122,-0.8120370507240295,-0.6753847599029541,-0.8217432498931885,-0.7419210076332092,-0.7691478729248047,-0.9403817653656006,-0.5600616931915283,,,,,,,,,,,,,,,,,,,,,-0.9819444417953492,-0.9740641117095948,-0.9634913206100464,-0.7038573026657104,-0.7578720450401306,-0.5595631003379822,-0.5894180536270142,-0.7374997138977051,-0.8036832809448242,-0.637245774269104,-0.5400199294090271,-0.6067708730697632,-0.8230233192443848,-0.549035906791687,-0.6153955459594727,-0.5196496844291687,-0.9767410159111024,-0.9877886772155762,-0.5623829364776611,-0.6248742938041687,-0.7365172505378723,-0.4469571709632873,-0.4060769379138946,-0.446759283542633,-0.9830634593963624,-0.901945948600769,-0.7564383745193481,-0.7910365462303162,-0.7241032719612122,-0.8120370507240295,-0.6753847599029541,-0.8217432498931885,-0.7419210076332092,-0.7691478729248047,-0.9403817653656006,-0.5600616931915283
caltech101_object_classification,-0.8831819295883179,-0.6983485817909241,-0.716672420501709,-0.8360629081726074,-0.6587797403335571,-0.9861111044883728,-0.9810606241226196,-0.998717963695526,-0.7119149565696716,-0.8264200687408447,,-0.7215416431427002,-0.7591999769210815,-0.781499981880188,-0.965703010559082,-0.8720301389694214,-0.8215698003768921,-0.4142983555793762,-0.968367874622345,-0.9169304966926576,-0.8406547904014587,-0.8546115756034851,-0.9324594736099244,-0.6731249094009399,-0.6991438865661621,-0.672451376914978,-0.8608717918395996,-0.408781349658966,-0.9736111164093018,-0.8611111640930176,-0.978026568889618,-0.8535714149475098,-0.9422548413276672,-0.7055833339691162,-0.7916696667671204,-0.5837808847427368,-0.6250138878822327,-0.7747130393981934,-0.8046712875366211,-0.6572847366333008,-0.5286741256713867,-0.5975228548049927,-0.8316277265548706,-0.5625221729278564,-0.6270920038223267,-0.5096443891525269,-0.9829400777816772,-0.6666666865348816,-0.9740201830863952,-0.5100963711738586,-0.5724992752075195,-0.9180035591125488,-0.8821428418159485,-0.7158965468406677,-0.4395337402820587,-0.4882282614707947,-0.4608024954795837,-0.9833481311798096,-0.8830990791320801,-0.7284224629402161,-0.786839485168457,-0.6571428775787354,-0.791856050491333,-0.7192814946174622,-0.815740704536438,-0.6367223262786865,-0.8287134170532227,-0.760184645652771,-0.7805013656616211,-0.9573134779930116,-0.6225650310516357,-0.8831819295883179,-0.6983485817909241,-0.716672420501709,-0.8360629081726074,-0.9810606241226196,-0.998717963695526,-0.8264200687408447,-0.7591999769210815,-0.965703010559082,-0.8215698003768921,-0.4142983555793762,-0.968367874622345,-0.9169304966926576,-0.8406547904014587,-0.8546115756034851,-0.9324594736099244,-0.6731249094009399,-0.6991438865661621,-0.672451376914978,-0.8608717918395996,-0.9736111164093018,-0.978026568889618,-0.9422548413276672,-0.7055833339691162,-0.7916696667671204,-0.5837808847427368,-0.6250138878822327,-0.7747130393981934,-0.8046712875366211,-0.6572847366333008,-0.5286741256713867,-0.5975228548049927,-0.8316277265548706,-0.5625221729278564,-0.6270920038223267,-0.5096443891525269,-0.9829400777816772,-0.9740201830863952,-0.5100963711738586,-0.5724992752075195,-0.7158965468406677,-0.4395337402820587,-0.4882282614707947,-0.4608024954795837,-0.9833481311798096,-0.8830990791320801,-0.7284224629402161,-0.791856050491333,-0.7192814946174622,-0.815740704536438,-0.6367223262786865,-0.8287134170532227,-0.760184645652771,-0.7805013656616211,-0.9573134779930116,-0.6225650310516357
caltech256_object_classification,-0.9172991514205932,-0.670010507106781,-0.7572112083435059,-0.8163212537765503,-0.5717262029647827,-0.9861111044883728,-0.9886363744735718,-0.990163803100586,-0.6599621772766113,-0.788206160068512,-0.8974327445030212,,-0.7480000257492065,-0.7572000026702881,-0.9680222272872924,-0.87641841173172,-0.8149603605270386,-0.3851941227912903,-0.962934136390686,-0.9396578073501588,-0.8329243063926697,-0.8402324914932251,-0.7179886102676392,-0.5894373655319214,-0.6638649702072144,-0.6583794951438904,-0.853872537612915,-0.4189964234828949,-0.9736111164093018,-0.7579365372657776,-0.9669275283813475,-0.4571428596973419,-0.9522383213043212,-0.730010449886322,-0.7870463132858276,-0.613963782787323,-0.6258150339126587,-0.7683786749839783,-0.8116450309753418,-0.6580889225006104,-0.5433299541473389,-0.618584394454956,-0.8449470400810242,-0.5767619609832764,-0.5856272578239441,-0.5194675326347351,-0.9843844175338744,-0.625,-0.964800238609314,-0.6145597100257874,-0.5920515060424805,-0.9097594022750854,-0.858035683631897,-0.6900689601898193,-0.5220485925674438,-0.4553309679031372,-0.5258487462997437,-0.9830634593963624,-0.8872853517532349,-0.7293598055839539,-0.6921182870864868,-0.5202381014823914,-0.7440239787101746,-0.6490544080734253,-0.7453703880310059,-0.5561733841896057,-0.7707412242889404,-0.7004429697990417,-0.7752264738082886,-0.9659714698791504,-0.5633378028869629,-0.9172991514205932,-0.670010507106781,-0.7572112083435059,-0.8163212537765503,-0.9886363744735718,-0.990163803100586,-0.788206160068512,-0.7480000257492065,-0.9680222272872924,-0.8149603605270386,-0.3851941227912903,-0.962934136390686,-0.9396578073501588,-0.8329243063926697,-0.8402324914932251,-0.7179886102676392,-0.5894373655319214,-0.6638649702072144,-0.6583794951438904,-0.853872537612915,-0.9736111164093018,-0.9669275283813475,-0.9522383213043212,-0.730010449886322,-0.7870463132858276,-0.613963782787323,-0.6258150339126587,-0.7683786749839783,-0.8116450309753418,-0.6580889225006104,-0.5433299541473389,-0.618584394454956,-0.8449470400810242,-0.5767619609832764,-0.5856272578239441,-0.5194675326347351,-0.9843844175338744,-0.964800238609314,-0.6145597100257874,-0.5920515060424805,-0.6900689601898193,-0.5220485925674438,-0.4553309679031372,-0.5258487462997437,-0.9830634593963624,-0.8872853517532349,-0.7293598055839539,-0.7440239787101746,-0.6490544080734253,-0.7453703880310059,-0.5561733841896057,-0.7707412242889404,-0.7004429697990417,-0.7752264738082886,-0.9659714698791504,-0.5633378028869629
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9794444441795348,-0.888888955116272,-0.9670023918151855,-0.8178571462631226,-0.9353551864624025,,,,,,,,,,,,,,-0.9892964363098145,-0.7916666865348816,-0.9877886772155762,-0.5351925492286682,-0.6033821105957031,-0.9173351526260376,-0.90625,-0.6974482536315918,-0.4725517630577087,-0.4225698411464691,-0.5084877014160156,-0.9797954559326172,-0.9086936712265016,-0.7215526103973389,-0.8435505032539368,-0.675595223903656,-0.7854963541030884,-0.7318970561027527,-0.82962965965271,-0.6688145995140076,-0.7943463325500488,-0.736646831035614,-0.7659586668014526,-0.9534228444099426,-0.5744264125823975,,,,,,,,,,,,,,,,,,,,,-0.9794444441795348,-0.9670023918151855,-0.9353551864624025,,,,,,,,,,,,,,-0.9892964363098145,-0.9877886772155762,-0.5351925492286682,-0.6033821105957031,-0.6974482536315918,-0.4725517630577087,-0.4225698411464691,-0.5084877014160156,-0.9797954559326172,-0.9086936712265016,-0.7215526103973389,-0.7854963541030884,-0.7318970561027527,-0.82962965965271,-0.6688145995140076,-0.7943463325500488,-0.736646831035614,-0.7659586668014526,-0.9534228444099426,-0.5744264125823975
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9794444441795348,-0.879365086555481,-0.970889925956726,-0.8428571224212646,-0.9395824670791626,,,,,,,,,,,,,,-0.984949231147766,-0.6041666865348816,-0.978210151195526,-0.5453667640686035,-0.5750066041946411,-0.8580659627914429,-0.8937499523162842,-0.7331379652023315,-0.4246383905410766,-0.44218710064888,-0.457253098487854,-0.9846974611282348,-0.9030423164367676,-0.7225264310836792,-0.7832512855529785,-0.6886904835700989,-0.7903589010238647,-0.7374335527420044,-0.8208333253860474,-0.6777234673500061,-0.8265674710273743,-0.7489168643951416,-0.7777777910232544,-0.9659159779548644,-0.5704163312911987,,,,,,,,,,,,,,,,,,,,,-0.9794444441795348,-0.970889925956726,-0.9395824670791626,,,,,,,,,,,,,,-0.984949231147766,-0.978210151195526,-0.5453667640686035,-0.5750066041946411,-0.7331379652023315,-0.4246383905410766,-0.44218710064888,-0.457253098487854,-0.9846974611282348,-0.9030423164367676,-0.7225264310836792,-0.7903589010238647,-0.7374335527420044,-0.8208333253860474,-0.6777234673500061,-0.8265674710273743,-0.7489168643951416,-0.7777777910232544,-0.9659159779548644,-0.5704163312911987
