s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9914604425430298,-0.9826409816741944,-0.9948819875717164,-0.8571428060531616,-0.9922968745231628,-0.7752223610877991,-0.8606986403465271,-0.7415038347244263,-0.7354236841201782,-0.8558538556098938,-0.8876935243606567,-0.7087230682373047,-0.5986226797103882,-0.6992358565330505,-0.9093000888824464,-0.6261746883392334,-0.723389208316803,-0.5332628488540649,-0.9981647729873656,-0.8420138359069824,-0.9955906867980956,-0.5736743807792664,-0.8900012969970703,-0.9643493890762328,-0.9734821319580078,-0.8034137487411499,-0.801293671131134,-0.8237558603286743,-0.8319631814956665,-0.9990113973617554,-0.988694190979004,-0.9629631042480468,-0.963586688041687,-0.892695963382721,-0.8616087436676025,-0.7883899211883545,-0.8733024597167969,-0.7300872206687927,-0.8763109445571899,-0.8138700723648071,-0.8606433868408203,-0.9886341094970704,,,,,,,,,,,,,,,,,,,,,,-0.9914604425430298,-0.9948819875717164,-0.9922968745231628,-0.7752223610877991,-0.8606986403465271,-0.7415038347244263,-0.7354236841201782,-0.8558538556098938,-0.8876935243606567,-0.7087230682373047,-0.5986226797103882,-0.6992358565330505,-0.9093000888824464,-0.6261746883392334,-0.723389208316803,-0.5332628488540649,-0.9981647729873656,-0.9955906867980956,-0.5736743807792664,-0.8900012969970703,-0.8034137487411499,-0.801293671131134,-0.8237558603286743,-0.8319631814956665,-0.9990113973617554,-0.988694190979004,-0.9629631042480468,-0.8616087436676025,-0.7883899211883545,-0.8733024597167969,-0.7300872206687927,-0.8763109445571899,-0.8138700723648071,-0.8606433868408203,-0.9886341094970704,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9933028221130372,,-0.9957629442214966,-0.8392857313156128,-0.9908449649810792,-0.7813738584518433,-0.8625785112380981,-0.7795397043228149,-0.7167657017707825,-0.8595263957977295,-0.8873424530029297,-0.6981651186943054,-0.6103264689445496,-0.6786847710609436,-0.9025346636772156,-0.6756371855735779,-0.721291184425354,-0.6366207599639893,-0.9987606406211852,-0.8120659589767456,-0.9960830211639404,-0.6696116924285889,-0.903256058692932,-0.9601157903671264,-0.9717856645584106,-0.7781723737716675,-0.7961124777793884,-0.7728559374809265,-0.8751882314682007,-0.9996646046638488,-0.9950891733169556,-0.9658026099205016,-0.9781596660614014,-0.8739813566207886,-0.8651056289672852,-0.8042757511138916,-0.914722204208374,-0.7265802621841431,-0.871599555015564,-0.8222774267196655,-0.8501031398773193,-0.996614396572113,-0.9127975702285768,,,,,,,,,,,,,,,,,,,,,-0.9933028221130372,-0.9957629442214966,-0.9908449649810792,-0.7813738584518433,-0.8625785112380981,-0.7795397043228149,-0.7167657017707825,-0.8595263957977295,-0.8873424530029297,-0.6981651186943054,-0.6103264689445496,-0.6786847710609436,-0.9025346636772156,-0.6756371855735779,-0.721291184425354,-0.6366207599639893,-0.9987606406211852,-0.9960830211639404,-0.6696116924285889,-0.903256058692932,-0.7781723737716675,-0.7961124777793884,-0.7728559374809265,-0.8751882314682007,-0.9996646046638488,-0.9950891733169556,-0.9658026099205016,-0.8651056289672852,-0.8042757511138916,-0.914722204208374,-0.7265802621841431,-0.871599555015564,-0.8222774267196655,-0.8501031398773193,-0.996614396572113,-0.9127975702285768
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9926922917366028,-0.9856580495834352,-0.9943078756332396,-0.8678571581840515,-0.9899193048477172,-0.7826324701309204,-0.8679119944572449,-0.7335174083709717,-0.7269509434700012,-0.8618322610855103,-0.8917783498764038,-0.7002320289611816,-0.6665493249893188,-0.6850225925445557,-0.9116408824920654,-0.6842420101165771,-0.735163152217865,-0.649224579334259,-0.9974021911621094,-0.8020833730697632,-0.9953176975250244,-0.6596982479095459,-0.8947616815567017,-0.9683600664138794,-0.97303569316864,-0.8003448247909546,-0.795055091381073,-0.8099546432495117,-0.8312959671020508,-0.9994462728500366,-0.9937683939933776,-0.958482265472412,-0.9780194759368896,-0.8552202582359314,-0.8568423986434937,-0.8036226034164429,-0.898086428642273,-0.7283052206039429,-0.8545774221420288,-0.8458747863769531,-0.8420823216438293,,-0.9057294726371764,,,,,,,,,,,,,,,,,,,,,-0.9926922917366028,-0.9943078756332396,-0.9899193048477172,-0.7826324701309204,-0.8679119944572449,-0.7335174083709717,-0.7269509434700012,-0.8618322610855103,-0.8917783498764038,-0.7002320289611816,-0.6665493249893188,-0.6850225925445557,-0.9116408824920654,-0.6842420101165771,-0.735163152217865,-0.649224579334259,-0.9974021911621094,-0.9953176975250244,-0.6596982479095459,-0.8947616815567017,-0.8003448247909546,-0.795055091381073,-0.8099546432495117,-0.8312959671020508,-0.9994462728500366,-0.9937683939933776,-0.958482265472412,-0.8568423986434937,-0.8036226034164429,-0.898086428642273,-0.7283052206039429,-0.8545774221420288,-0.8458747863769531,-0.8420823216438293,,-0.9057294726371764
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9928079843521118,-0.9888827204704284,,-0.7964285612106323,-0.9865611791610718,-0.7819328308105469,-0.8712986707687378,-0.7438599467277527,-0.7356202006340027,-0.8537874221801758,-0.8944109678268433,-0.7006645202636719,-0.6545293927192688,-0.6788911819458008,-0.9054653644561768,-0.661763072013855,-0.7342249155044556,-0.6048594117164612,-0.9968492984771729,-0.78515625,-0.998276948928833,-0.7231941223144531,-0.919244945049286,-0.9474153518676758,-0.968392848968506,-0.7910000085830688,-0.7673517465591431,-0.8017034530639648,-0.8496465682983398,-0.9979838132858276,-0.9921395182609558,-0.9743356704711914,-0.9514647722244264,-0.8715449571609497,-0.8657659292221069,-0.7908733487129211,-0.9040123224258424,-0.7082690596580505,-0.8549485206604004,-0.8176630735397339,-0.8426946401596069,-0.9945108294487,-0.9076053500175476,,,,,,,,,,,,,,,,,,,,,-0.9928079843521118,,-0.9865611791610718,-0.7819328308105469,-0.8712986707687378,-0.7438599467277527,-0.7356202006340027,-0.8537874221801758,-0.8944109678268433,-0.7006645202636719,-0.6545293927192688,-0.6788911819458008,-0.9054653644561768,-0.661763072013855,-0.7342249155044556,-0.6048594117164612,-0.9968492984771729,-0.998276948928833,-0.7231941223144531,-0.919244945049286,-0.7910000085830688,-0.7673517465591431,-0.8017034530639648,-0.8496465682983398,-0.9979838132858276,-0.9921395182609558,-0.9743356704711914,-0.8657659292221069,-0.7908733487129211,-0.9040123224258424,-0.7082690596580505,-0.8549485206604004,-0.8176630735397339,-0.8426946401596069,-0.9945108294487,-0.9076053500175476
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9943904280662536,-0.9422605037689208,-0.9960732460021972,-0.8071428537368774,,-0.773898720741272,-0.852155864238739,-0.7645208835601807,-0.7614554166793823,-0.846549391746521,-0.8883823156356812,-0.6994612216949463,-0.6514136791229248,-0.6984744668006897,-0.9094699621200562,-0.6593472957611084,-0.7403925657272339,-0.6066934466362,-0.9967586994171144,-0.849826455116272,-0.9962862730026244,-0.6526703834533691,-0.9157075881958008,-0.9503119587898254,-0.9694642424583436,-0.7973103523254395,-0.7962859869003296,-0.8444084525108337,-0.8476959466934204,-0.9996529221534728,-0.9934639930725098,-0.9541150331497192,-0.9672737121582032,-0.8458078503608704,-0.8624891042709351,-0.8045769929885864,-0.9031481742858888,-0.7492847442626953,-0.8884766101837158,-0.8363994359970093,-0.8574796915054321,-0.995086669921875,-0.8882442712783813,,,,,,,,,,,,,,,,,,,,,-0.9943904280662536,-0.9960732460021972,,-0.773898720741272,-0.852155864238739,-0.7645208835601807,-0.7614554166793823,-0.846549391746521,-0.8883823156356812,-0.6994612216949463,-0.6514136791229248,-0.6984744668006897,-0.9094699621200562,-0.6593472957611084,-0.7403925657272339,-0.6066934466362,-0.9967586994171144,-0.9962862730026244,-0.6526703834533691,-0.9157075881958008,-0.7973103523254395,-0.7962859869003296,-0.8444084525108337,-0.8476959466934204,-0.9996529221534728,-0.9934639930725098,-0.9541150331497192,-0.8624891042709351,-0.8045769929885864,-0.9031481742858888,-0.7492847442626953,-0.8884766101837158,-0.8363994359970093,-0.8574796915054321,-0.995086669921875,-0.8882442712783813
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9928978681564332,-0.988402783870697,-0.9955061674118042,-0.8785713911056519,-0.9924749135971068,-0.7775488495826721,-0.8536457419395447,-0.7661222815513611,-0.7276572585105896,-0.8590421676635742,-0.887458324432373,-0.6987642049789429,-0.6917616128921509,-0.6915243864059448,-0.9139448404312134,-0.6458776593208313,-0.7346410751342773,-0.6427525877952576,-0.9971352815628052,-0.8550347089767456,-0.9970675706863404,-0.689620852470398,-0.920966625213623,-0.960115909576416,-0.9650000333786012,-0.8238620758056641,-0.7673516273498535,-0.8306741118431091,-0.8242300748825073,-0.9981554746627808,-0.983362913131714,-0.9698328375816344,,-0.8963344097137451,-0.8578001260757446,-0.7818620204925537,-0.9084876775741576,-0.7176423072814941,-0.8864113092422485,-0.8337664604187012,-0.8392758369445801,-0.9966365098953248,-0.8869404196739197,,,,,,,,,,,,,,,,,,,,,-0.9928978681564332,-0.9955061674118042,-0.9924749135971068,-0.7775488495826721,-0.8536457419395447,-0.7661222815513611,-0.7276572585105896,-0.8590421676635742,-0.887458324432373,-0.6987642049789429,-0.6917616128921509,-0.6915243864059448,-0.9139448404312134,-0.6458776593208313,-0.7346410751342773,-0.6427525877952576,-0.9971352815628052,-0.9970675706863404,-0.689620852470398,-0.920966625213623,-0.8238620758056641,-0.7673516273498535,-0.8306741118431091,-0.8242300748825073,-0.9981554746627808,-0.983362913131714,-0.9698328375816344,-0.8578001260757446,-0.7818620204925537,-0.9084876775741576,-0.7176423072814941,-0.8864113092422485,-0.8337664604187012,-0.8392758369445801,-0.9966365098953248,-0.8869404196739197
caltech101_object_classification,-0.9888870120048524,-0.95284104347229,-0.9235377311706544,-0.9570146799087524,-0.92781400680542,-0.9992926716804504,-0.9999617338180542,-0.9999980330467224,-0.9912107586860656,-0.978256344795227,,-0.9878391027450562,-0.9620365500450134,-0.9934333562850952,-0.9991335272789,-0.9971859455108644,-0.9873641729354858,-0.9158715009689332,-0.9951759576797484,-0.9790818691253662,-0.9206031560897828,-0.919079840183258,-0.9754122495651244,-0.8471434116363525,-0.8783941268920898,-0.8943318128585815,-0.968984603881836,-0.8024975061416626,-0.9918422698974608,-0.9647129774093628,-0.9943863153457642,-0.8857142925262451,-0.991949737071991,-0.770720362663269,-0.870276689529419,-0.7384032011032104,-0.7203524708747864,-0.8442745208740234,-0.895512580871582,-0.6965364813804626,-0.6785688400268555,-0.6798568964004517,-0.9153525829315186,-0.6853002905845642,-0.7297910451889038,-0.622310996055603,-0.9971303939819336,-0.8190104365348816,-0.9961203932762146,-0.775316059589386,-0.8943637013435364,-0.95632803440094,-0.9555357694625854,-0.8035516738891602,-0.8276081085205078,-0.7918663024902344,-0.8351907730102539,-0.999142050743103,-0.9940605759620668,-0.9734639525413512,-0.9584317207336426,-0.6801869869232178,-0.8635286092758179,-0.7936896085739136,-0.8598456382751465,-0.7339611053466797,-0.874842643737793,-0.836389422416687,-0.8315622806549072,-0.9956276416778564,-0.9250984191894532,-0.9888870120048524,-0.95284104347229,-0.9235377311706544,-0.9570146799087524,-0.9999617338180542,-0.9999980330467224,-0.978256344795227,-0.9620365500450134,-0.9991335272789,-0.9873641729354858,-0.9158715009689332,-0.9951759576797484,-0.9790818691253662,-0.9206031560897828,-0.919079840183258,-0.9754122495651244,-0.8471434116363525,-0.8783941268920898,-0.8943318128585815,-0.968984603881836,-0.9918422698974608,-0.9943863153457642,-0.991949737071991,-0.770720362663269,-0.870276689529419,-0.7384032011032104,-0.7203524708747864,-0.8442745208740234,-0.895512580871582,-0.6965364813804626,-0.6785688400268555,-0.6798568964004517,-0.9153525829315186,-0.6853002905845642,-0.7297910451889038,-0.622310996055603,-0.9971303939819336,-0.9961203932762146,-0.775316059589386,-0.8943637013435364,-0.8035516738891602,-0.8276081085205078,-0.7918663024902344,-0.8351907730102539,-0.999142050743103,-0.9940605759620668,-0.9734639525413512,-0.8635286092758179,-0.7936896085739136,-0.8598456382751465,-0.7339611053466797,-0.874842643737793,-0.836389422416687,-0.8315622806549072,-0.9956276416778564,-0.9250984191894532
caltech256_object_classification,-0.9840644001960754,-0.9497329592704772,-0.9194725155830384,-0.9562695026397704,-0.912875235080719,-0.9996142387390136,-0.999808669090271,-0.9996615648269652,-0.9927850365638732,-0.5045079588890076,-0.9986459016799928,,-0.9738430976867676,-0.992716372013092,-0.998530387878418,-0.9971174597740172,-0.9836847186088562,-0.8862156271934509,-0.9967405796051024,-0.978139579296112,-0.9181410074234008,-0.9306782484054564,-0.9718450307846068,-0.8274780511856079,-0.8331880569458008,-0.9105759859085084,-0.9735628366470336,-0.8381902575492859,-0.9907723665237428,-0.9173641204833984,-0.9943827390670776,-0.8321428298950195,-0.9930827021598816,-0.7626051902770996,-0.8464111089706421,-0.7523622512817383,-0.724834144115448,-0.8464404344558716,-0.877976655960083,-0.693360447883606,-0.6361420154571533,-0.6651612520217896,-0.910168707370758,-0.6564826965332031,-0.7269980907440186,-0.5802693367004395,-0.9963010549545288,-0.3333333432674408,-0.997923731803894,-0.7005759477615356,-0.8977117538452148,-0.9409536719322203,-0.9826785326004028,-0.7862069010734558,-0.7812347412109375,-0.7601436972618103,-0.8376744985580444,-0.9979740381240844,-0.979239821434021,-0.9607418179512024,-0.8804253339767456,-0.6794172525405884,-0.8541882634162903,-0.7747055292129517,-0.8448147773742676,-0.697278618812561,-0.8750524520874023,-0.8205668926239014,-0.8165221214294434,-0.995052456855774,-0.9175330996513368,-0.9840644001960754,-0.9497329592704772,-0.9194725155830384,-0.9562695026397704,-0.999808669090271,-0.9996615648269652,-0.5045079588890076,-0.9738430976867676,-0.998530387878418,-0.9836847186088562,-0.8862156271934509,-0.9967405796051024,-0.978139579296112,-0.9181410074234008,-0.9306782484054564,-0.9718450307846068,-0.8274780511856079,-0.8331880569458008,-0.9105759859085084,-0.9735628366470336,-0.9907723665237428,-0.9943827390670776,-0.9930827021598816,-0.7626051902770996,-0.8464111089706421,-0.7523622512817383,-0.724834144115448,-0.8464404344558716,-0.877976655960083,-0.693360447883606,-0.6361420154571533,-0.6651612520217896,-0.910168707370758,-0.6564826965332031,-0.7269980907440186,-0.5802693367004395,-0.9963010549545288,-0.997923731803894,-0.7005759477615356,-0.8977117538452148,-0.7862069010734558,-0.7812347412109375,-0.7601436972618103,-0.8376744985580444,-0.9979740381240844,-0.979239821434021,-0.9607418179512024,-0.8541882634162903,-0.7747055292129517,-0.8448147773742676,-0.697278618812561,-0.8750524520874023,-0.8205668926239014,-0.8165221214294434,-0.995052456855774,-0.9175330996513368
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9928836822509766,-0.9836992025375366,-0.4194390177726745,-0.7678571343421936,-0.9930831789970398,,,,,,,,,,,,,,-0.9974021911621094,-0.8038195371627808,-0.997431457042694,-0.7341552972793579,-0.9019317626953124,-0.9380570650100708,-0.9758928418159484,-0.7865172624588013,-0.7989559173583984,-0.8117399215698242,-0.8239520788192749,-0.9991887807846068,-0.993710160255432,-0.9710240364074708,-0.9718397855758668,-0.8555384874343872,-0.8513320684432983,-0.8002182245254517,-0.8839505910873413,-0.7401208877563477,-0.8875246047973633,-0.4514614045619964,-0.8396288156509399,-0.9966932535171508,-0.9142347574234008,,,,,,,,,,,,,,,,,,,,,-0.9928836822509766,-0.4194390177726745,-0.9930831789970398,,,,,,,,,,,,,,-0.9974021911621094,-0.997431457042694,-0.7341552972793579,-0.9019317626953124,-0.7865172624588013,-0.7989559173583984,-0.8117399215698242,-0.8239520788192749,-0.9991887807846068,-0.993710160255432,-0.9710240364074708,-0.8513320684432983,-0.8002182245254517,-0.8839505910873413,-0.7401208877563477,-0.8875246047973633,-0.4514614045619964,-0.8396288156509399,-0.9966932535171508,-0.9142347574234008
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.993835985660553,-0.9793425798416138,-0.4198634624481201,-0.7749999761581421,-0.9907970428466796,,,,,,,,,,,,,,-0.9978729486465454,-0.830295205116272,-0.9968000650405884,-0.6855604648590088,-0.9123055338859558,-0.9338234663009644,-0.9719642400741576,-0.8112068772315979,-0.8033057451248169,-0.8214083909988403,-0.8466141223907471,-0.9963068962097168,-0.9936648607254028,-0.979146420955658,-0.9464418292045592,-0.8819867968559265,-0.8541896343231201,-0.7999088168144226,-0.9105863571166992,-0.7384476661682129,-0.87127685546875,-0.819010853767395,-0.8462941646575928,-0.9955217838287354,-0.9198024868965148,,,,,,,,,,,,,,,,,,,,,-0.993835985660553,-0.4198634624481201,-0.9907970428466796,,,,,,,,,,,,,,-0.9978729486465454,-0.9968000650405884,-0.6855604648590088,-0.9123055338859558,-0.8112068772315979,-0.8033057451248169,-0.8214083909988403,-0.8466141223907471,-0.9963068962097168,-0.9936648607254028,-0.979146420955658,-0.8541896343231201,-0.7999088168144226,-0.9105863571166992,-0.7384476661682129,-0.87127685546875,-0.819010853767395,-0.8462941646575928,-0.9955217838287354,-0.9198024868965148
