s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9819444417953492,-0.879365086555481,-0.974627673625946,-0.7321428656578064,-0.9417052268981934,-0.711138904094696,-0.7652374505996704,-0.5750929117202759,-0.6128966212272644,-0.7589371800422668,-0.811623752117157,-0.6460915207862854,-0.5303218364715576,-0.6140260696411133,-0.8163130283355713,-0.5454787015914917,-0.6028095483779907,-0.5043811202049255,-0.984949231147766,-0.6666666865348816,-0.9849953651428224,-0.5270346999168396,-0.5972306132316589,-0.8805704116821289,-0.9008928537368774,-0.7350000143051147,-0.4503959417343139,-0.3902980387210846,-0.4428240954875946,-0.9873687624931335,-0.9100120663642884,-0.7303690910339355,-0.8588761687278748,-0.6595238447189331,-0.7988423109054565,-0.7229362726211548,-0.8439815044403076,-0.6749328374862671,-0.8303269147872925,-0.7309240102767944,-0.7949547171592712,-0.9447107315063475,,,,,,,,,,,,,,,,,,,,,,-0.9819444417953492,-0.974627673625946,-0.9417052268981934,-0.711138904094696,-0.7652374505996704,-0.5750929117202759,-0.6128966212272644,-0.7589371800422668,-0.811623752117157,-0.6460915207862854,-0.5303218364715576,-0.6140260696411133,-0.8163130283355713,-0.5454787015914917,-0.6028095483779907,-0.5043811202049255,-0.984949231147766,-0.9849953651428224,-0.5270346999168396,-0.5972306132316589,-0.7350000143051147,-0.4503959417343139,-0.3902980387210846,-0.4428240954875946,-0.9873687624931335,-0.9100120663642884,-0.7303690910339355,-0.7988423109054565,-0.7229362726211548,-0.8439815044403076,-0.6749328374862671,-0.8303269147872925,-0.7309240102767944,-0.7949547171592712,-0.9447107315063475,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.980555534362793,,-0.9677727818489076,-0.8071428537368774,-0.9288682341575624,-0.7060579061508179,-0.7594184875488281,-0.5526265501976013,-0.6167543530464172,-0.7616225481033325,-0.8105212450027466,-0.6201573014259338,-0.5440788865089417,-0.5915040373802185,-0.8211870193481445,-0.5461879372596741,-0.6124657392501831,-0.5069873332977295,-0.9798012375831604,-0.6041666865348816,-0.9768134951591492,-0.5187990665435791,-0.6279381513595581,-0.902629256248474,-0.9303571581840516,-0.6943793296813965,-0.4241742193698883,-0.4491354823112488,-0.4942129850387573,-0.9863314628601074,-0.8966680765151978,-0.7040841579437256,-0.8221127986907959,-0.6839285492897034,-0.8004812598228455,-0.7311438918113708,-0.8439815044403076,-0.6456975340843201,-0.8356997966766357,-0.7511276006698608,-0.7933218479156494,-0.9576977491378784,-0.559589147567749,,,,,,,,,,,,,,,,,,,,,-0.980555534362793,-0.9677727818489076,-0.9288682341575624,-0.7060579061508179,-0.7594184875488281,-0.5526265501976013,-0.6167543530464172,-0.7616225481033325,-0.8105212450027466,-0.6201573014259338,-0.5440788865089417,-0.5915040373802185,-0.8211870193481445,-0.5461879372596741,-0.6124657392501831,-0.5069873332977295,-0.9798012375831604,-0.9768134951591492,-0.5187990665435791,-0.6279381513595581,-0.6943793296813965,-0.4241742193698883,-0.4491354823112488,-0.4942129850387573,-0.9863314628601074,-0.8966680765151978,-0.7040841579437256,-0.8004812598228455,-0.7311438918113708,-0.8439815044403076,-0.6456975340843201,-0.8356997966766357,-0.7511276006698608,-0.7933218479156494,-0.9576977491378784,-0.559589147567749
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9833333492279052,-0.888888955116272,-0.9747025966644288,-0.7964285612106323,-0.9453330039978028,-0.7115000486373901,-0.7581634521484375,-0.5658838748931885,-0.6050718426704407,-0.7512210607528687,-0.8227040767669678,-0.6431291103363037,-0.5323513150215149,-0.605850100517273,-0.833853542804718,-0.5440492033958435,-0.6056272983551025,-0.5107526779174805,-0.9809309244155884,-0.625,-0.9830796718597412,-0.5474682450294495,-0.6067252159118652,-0.9035204648971558,-0.9044642448425292,-0.7057585716247559,-0.4463551342487335,-0.4200853407382965,-0.499382734298706,-0.9814294576644896,-0.8861799240112305,-0.7012033462524414,-0.8350362181663513,-0.6339285373687744,-0.7922402620315552,-0.7373247146606445,-0.8203703761100769,-0.6424943208694458,-0.8190486431121826,-0.7653617858886719,-0.7745184302330017,,-0.52998948097229,,,,,,,,,,,,,,,,,,,,,-0.9833333492279052,-0.9747025966644288,-0.9453330039978028,-0.7115000486373901,-0.7581634521484375,-0.5658838748931885,-0.6050718426704407,-0.7512210607528687,-0.8227040767669678,-0.6431291103363037,-0.5323513150215149,-0.605850100517273,-0.833853542804718,-0.5440492033958435,-0.6056272983551025,-0.5107526779174805,-0.9809309244155884,-0.9830796718597412,-0.5474682450294495,-0.6067252159118652,-0.7057585716247559,-0.4463551342487335,-0.4200853407382965,-0.499382734298706,-0.9814294576644896,-0.8861799240112305,-0.7012033462524414,-0.7922402620315552,-0.7373247146606445,-0.8203703761100769,-0.6424943208694458,-0.8190486431121826,-0.7653617858886719,-0.7745184302330017,,-0.52998948097229
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9816666841506958,-0.879365086555481,,-0.6357142925262451,-0.9137059450149536,-0.7081643342971802,-0.7658603191375732,-0.5474895238876343,-0.6288374066352844,-0.7456846833229065,-0.8179754018783569,-0.6359390020370483,-0.5336994528770447,-0.6028046607971191,-0.8331180810928345,-0.5390846729278564,-0.629318118095398,-0.5068180561065674,-0.9737594723701476,-0.625,-0.985353946685791,-0.5953256487846375,-0.6914075613021851,-0.8513814210891724,-0.9196428656578064,-0.7153103351593018,-0.4194497466087341,-0.4172181487083435,-0.4634259343147278,-0.9820261001586914,-0.9038404822349548,-0.7593528032302856,-0.8356139659881592,-0.6505952477455139,-0.7887678146362305,-0.7222983241081238,-0.8236111402511597,-0.6362972855567932,-0.7922004461288452,-0.7416502237319946,-0.7744418978691101,-0.940435826778412,-0.5989563465118408,,,,,,,,,,,,,,,,,,,,,-0.9816666841506958,,-0.9137059450149536,-0.7081643342971802,-0.7658603191375732,-0.5474895238876343,-0.6288374066352844,-0.7456846833229065,-0.8179754018783569,-0.6359390020370483,-0.5336994528770447,-0.6028046607971191,-0.8331180810928345,-0.5390846729278564,-0.629318118095398,-0.5068180561065674,-0.9737594723701476,-0.985353946685791,-0.5953256487846375,-0.6914075613021851,-0.7153103351593018,-0.4194497466087341,-0.4172181487083435,-0.4634259343147278,-0.9820261001586914,-0.9038404822349548,-0.7593528032302856,-0.7887678146362305,-0.7222983241081238,-0.8236111402511597,-0.6362972855567932,-0.7922004461288452,-0.7416502237319946,-0.7744418978691101,-0.940435826778412,-0.5989563465118408
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9794444441795348,-0.888888955116272,-0.9696879982948304,-0.7107143402099609,,-0.7007218599319458,-0.7605562210083008,-0.5914278030395508,-0.6384721994400024,-0.7526562809944153,-0.8064334988594055,-0.6514250040054321,-0.5440788865089417,-0.6065106391906738,-0.8259161114692688,-0.5745899677276611,-0.6485934853553772,-0.5071143507957458,-0.9719076156616212,-0.6458333730697632,-0.9768134951591492,-0.5424942374229431,-0.6361117959022522,-0.8725489974021912,-0.90625,-0.7263793349266052,-0.5285014510154724,-0.4345297813415527,-0.4595679044723511,-0.9910774230957032,-0.9081364870071412,-0.7176069021224976,-0.8382898569107056,-0.5583333373069763,-0.8004796504974365,-0.7313935160636902,-0.8134258985519409,-0.6792432069778442,-0.8399916291236877,-0.7568018436431885,-0.7899860143661499,-0.9660810828208924,-0.5732424855232239,,,,,,,,,,,,,,,,,,,,,-0.9794444441795348,-0.9696879982948304,,-0.7007218599319458,-0.7605562210083008,-0.5914278030395508,-0.6384721994400024,-0.7526562809944153,-0.8064334988594055,-0.6514250040054321,-0.5440788865089417,-0.6065106391906738,-0.8259161114692688,-0.5745899677276611,-0.6485934853553772,-0.5071143507957458,-0.9719076156616212,-0.9768134951591492,-0.5424942374229431,-0.6361117959022522,-0.7263793349266052,-0.5285014510154724,-0.4345297813415527,-0.4595679044723511,-0.9910774230957032,-0.9081364870071412,-0.7176069021224976,-0.8004796504974365,-0.7313935160636902,-0.8134258985519409,-0.6792432069778442,-0.8399916291236877,-0.7568018436431885,-0.7899860143661499,-0.9660810828208924,-0.5732424855232239
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9800000190734864,-0.888888955116272,-0.9735006093978882,-0.7214285731315613,-0.9522931575775146,-0.697759211063385,-0.7416063547134399,-0.5670202970504761,-0.6247718930244446,-0.7617325186729431,-0.8102591037750244,-0.6415148973464966,-0.5303218364715576,-0.591975212097168,-0.8347753882408142,-0.5667774677276611,-0.6229283809661865,-0.5097320675849915,-0.982296586036682,-0.7708333730697632,-0.986750602722168,-0.5527535676956177,-0.6614448428153992,-0.8732174634933472,-0.8999999761581421,-0.7636206746101379,-0.473528116941452,-0.4174804091453552,-0.4760802686214447,-0.9830634593963624,-0.8827221393585205,-0.7279379367828369,,-0.6648809313774109,-0.7890052795410156,-0.7153089046478271,-0.8453704118728638,-0.6478723883628845,-0.8437510132789612,-0.7550599575042725,-0.7756027579307556,-0.9574230909347534,-0.5729088187217712,,,,,,,,,,,,,,,,,,,,,-0.9800000190734864,-0.9735006093978882,-0.9522931575775146,-0.697759211063385,-0.7416063547134399,-0.5670202970504761,-0.6247718930244446,-0.7617325186729431,-0.8102591037750244,-0.6415148973464966,-0.5303218364715576,-0.591975212097168,-0.8347753882408142,-0.5667774677276611,-0.6229283809661865,-0.5097320675849915,-0.982296586036682,-0.986750602722168,-0.5527535676956177,-0.6614448428153992,-0.7636206746101379,-0.473528116941452,-0.4174804091453552,-0.4760802686214447,-0.9830634593963624,-0.8827221393585205,-0.7279379367828369,-0.7890052795410156,-0.7153089046478271,-0.8453704118728638,-0.6478723883628845,-0.8437510132789612,-0.7550599575042725,-0.7756027579307556,-0.9574230909347534,-0.5729088187217712
caltech101_object_classification,-0.9116168022155762,-0.6976031064987183,-0.748572587966919,-0.8655257225036621,-0.5507440567016602,-0.9652777910232544,-0.992424249649048,-0.9995370507240297,-0.6992119550704956,-0.8233200311660767,,-0.680681586265564,-0.7237000465393066,-0.7621999979019165,-0.9678558111190796,-0.8773049712181091,-0.8261243104934692,-0.4003817439079284,-0.95892071723938,-0.9171566367149352,-0.8455595970153809,-0.8334351778030396,-0.935312271118164,-0.6396496295928955,-0.7213766574859619,-0.6907954216003418,-0.8353933095932007,-0.3857526779174804,-0.9797222018241882,-0.8611111640930176,-0.9667206406593324,-0.7928571701049805,-0.9417487382888794,-0.7044358253479004,-0.7555718421936035,-0.5880657434463501,-0.6169621348381042,-0.754038393497467,-0.8219731450080872,-0.6222622990608215,-0.5543158650398254,-0.5902388095855713,-0.8421653509140015,-0.5810061693191528,-0.6222708225250244,-0.5067341923713684,-0.9810882806777954,-0.6666666865348816,-0.9869110584259032,-0.5183320641517639,-0.6163674592971802,-0.902629256248474,-0.8839285373687744,-0.7362414002418518,-0.542717695236206,-0.4333107769489288,-0.4819444417953491,-0.9867720603942872,-0.9086290597915648,-0.7563005685806274,-0.80769944190979,-0.375,-0.8016849160194397,-0.7175405621528625,-0.7879629731178284,-0.6694759726524353,-0.8147729635238647,-0.7637694478034973,-0.7815219163894653,-0.957370400428772,-0.5816217064857483,-0.9116168022155762,-0.6976031064987183,-0.748572587966919,-0.8655257225036621,-0.992424249649048,-0.9995370507240297,-0.8233200311660767,-0.7237000465393066,-0.9678558111190796,-0.8261243104934692,-0.4003817439079284,-0.95892071723938,-0.9171566367149352,-0.8455595970153809,-0.8334351778030396,-0.935312271118164,-0.6396496295928955,-0.7213766574859619,-0.6907954216003418,-0.8353933095932007,-0.9797222018241882,-0.9667206406593324,-0.9417487382888794,-0.7044358253479004,-0.7555718421936035,-0.5880657434463501,-0.6169621348381042,-0.754038393497467,-0.8219731450080872,-0.6222622990608215,-0.5543158650398254,-0.5902388095855713,-0.8421653509140015,-0.5810061693191528,-0.6222708225250244,-0.5067341923713684,-0.9810882806777954,-0.9869110584259032,-0.5183320641517639,-0.6163674592971802,-0.7362414002418518,-0.542717695236206,-0.4333107769489288,-0.4819444417953491,-0.9867720603942872,-0.9086290597915648,-0.7563005685806274,-0.8016849160194397,-0.7175405621528625,-0.7879629731178284,-0.6694759726524353,-0.8147729635238647,-0.7637694478034973,-0.7815219163894653,-0.957370400428772,-0.5816217064857483
caltech256_object_classification,-0.8942325115203857,-0.6786156892776489,-0.7371820211410522,-0.827629029750824,-0.5480654239654541,-0.9861111044883728,-0.9886363744735718,-0.9986110925674438,-0.7122637033462524,-0.0991151630878448,-0.8877114057540894,,-0.787600040435791,-0.7480999231338501,-0.9549678564071656,-0.868971586227417,-0.820959210395813,-0.3145561218261719,-0.9600355625152588,-0.9421453475952148,-0.8407952785491943,-0.8246190547943115,-0.9280308485031128,-0.600085437297821,-0.6590386629104614,-0.7033926844596863,-0.8569412231445312,-0.4827957153320312,-0.976111114025116,-0.879365086555481,-0.9660073518753052,-0.7107143402099609,-0.9423481822013856,-0.697740375995636,-0.7423068284988403,-0.6385823488235474,-0.5872567892074585,-0.7611047625541687,-0.7902196049690247,-0.6366544365882874,-0.5748630166053772,-0.5957795977592468,-0.8233082294464111,-0.5838652849197388,-0.6424494981765747,-0.560302734375,-0.97391676902771,-0.3333333432674408,-0.980125904083252,-0.5371310710906982,-0.5750870704650879,-0.8446969985961914,-0.9285714030265808,-0.7245517373085022,-0.4820169508457184,-0.4194441437721252,-0.5046296119689941,-0.9790428280830384,-0.9017236232757568,-0.760567307472229,-0.7259928584098816,-0.4726190567016601,-0.783431887626648,-0.7046775221824646,-0.7851852178573608,-0.6483762264251709,-0.8201297521591187,-0.7417755126953125,-0.7582663297653198,-0.9529858827590942,-0.5986789464950562,-0.8942325115203857,-0.6786156892776489,-0.7371820211410522,-0.827629029750824,-0.9886363744735718,-0.9986110925674438,-0.0991151630878448,-0.787600040435791,-0.9549678564071656,-0.820959210395813,-0.3145561218261719,-0.9600355625152588,-0.9421453475952148,-0.8407952785491943,-0.8246190547943115,-0.9280308485031128,-0.600085437297821,-0.6590386629104614,-0.7033926844596863,-0.8569412231445312,-0.976111114025116,-0.9660073518753052,-0.9423481822013856,-0.697740375995636,-0.7423068284988403,-0.6385823488235474,-0.5872567892074585,-0.7611047625541687,-0.7902196049690247,-0.6366544365882874,-0.5748630166053772,-0.5957795977592468,-0.8233082294464111,-0.5838652849197388,-0.6424494981765747,-0.560302734375,-0.97391676902771,-0.980125904083252,-0.5371310710906982,-0.5750870704650879,-0.7245517373085022,-0.4820169508457184,-0.4194441437721252,-0.5046296119689941,-0.9790428280830384,-0.9017236232757568,-0.760567307472229,-0.783431887626648,-0.7046775221824646,-0.7851852178573608,-0.6483762264251709,-0.8201297521591187,-0.7417755126953125,-0.7582663297653198,-0.9529858827590942,-0.5986789464950562
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9794444441795348,-0.888888955116272,-0.4899530708789825,-0.5642856955528259,-0.9441731572151184,,,,,,,,,,,,,,-0.9780280590057372,-0.6666667461395264,-0.984834849834442,-0.5181763768196106,-0.6509894132614136,-0.8727718591690063,-0.9303571581840516,-0.7137585878372192,-0.4476475715637207,-0.4781272411346435,-0.4738426208496094,-0.9835041165351868,-0.8811196088790894,-0.7238850593566895,-0.8547406792640686,-0.6672618985176086,-0.7883836030960083,-0.7241096496582031,-0.8171296119689941,-0.6578096151351929,-0.8335376977920532,-0.4847311377525329,-0.7846217751502991,-0.9619157314300536,-0.5957754850387573,,,,,,,,,,,,,,,,,,,,,-0.9794444441795348,-0.4899530708789825,-0.9441731572151184,,,,,,,,,,,,,,-0.9780280590057372,-0.984834849834442,-0.5181763768196106,-0.6509894132614136,-0.7137585878372192,-0.4476475715637207,-0.4781272411346435,-0.4738426208496094,-0.9835041165351868,-0.8811196088790894,-0.7238850593566895,-0.7883836030960083,-0.7241096496582031,-0.8171296119689941,-0.6578096151351929,-0.8335376977920532,-0.4847311377525329,-0.7846217751502991,-0.9619157314300536,-0.5957754850387573
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9774999618530272,-0.8611111640930176,-0.4908732175827026,-0.6000000238418579,-0.935943365097046,,,,,,,,,,,,,,-0.987208604812622,-0.7083333730697632,-0.9869110584259032,-0.5142920613288879,-0.6684045195579529,-0.8582887649536133,-0.9330357313156128,-0.7214483022689819,-0.5152367949485779,-0.462187111377716,-0.4574846029281616,-0.9824668169021606,-0.9016147255897522,-0.7403651475906372,-0.8597276210784912,-0.6440476179122925,-0.7912262082099915,-0.7368788123130798,-0.8481481671333313,-0.6716902256011963,-0.8040111064910889,-0.7422443628311157,-0.7728090286254883,-0.9576963186264038,-0.5896363258361816,,,,,,,,,,,,,,,,,,,,,-0.9774999618530272,-0.4908732175827026,-0.935943365097046,,,,,,,,,,,,,,-0.987208604812622,-0.9869110584259032,-0.5142920613288879,-0.6684045195579529,-0.7214483022689819,-0.5152367949485779,-0.462187111377716,-0.4574846029281616,-0.9824668169021606,-0.9016147255897522,-0.7403651475906372,-0.7912262082099915,-0.7368788123130798,-0.8481481671333313,-0.6716902256011963,-0.8040111064910889,-0.7422443628311157,-0.7728090286254883,-0.9576963186264038,-0.5896363258361816
