s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9935396313667296,-0.9949904680252076,-0.9949569702148438,-0.8999999761581421,-0.9903796911239624,-0.7742048501968384,-0.8598383665084839,-0.6553031206130981,-0.7042220830917358,-0.8491371870040894,-0.8886986970901489,-0.6791952848434448,-0.6792337894439697,-0.7009711861610413,-0.9027203321456908,-0.6812998652458191,-0.7274186611175537,-0.5925257205963135,-0.9985318183898926,-0.818576455116272,-0.9948949813842772,-0.6315629482269287,-0.9106645584106444,-0.9665775299072266,-0.965178608894348,-0.7820000052452087,-0.7959417700767517,-0.8120097517967224,-0.8389458656311035,-0.9962445497512816,-0.9954292178153992,-0.9603185653686525,-0.9582343101501464,-0.891254723072052,-0.8520803451538086,-0.783849835395813,-0.914197564125061,-0.7366542816162109,-0.8913485407829285,-0.8026447296142578,-0.8598035573959351,-0.9922388792037964,,,,,,,,,,,,,,,,,,,,,,-0.9935396313667296,-0.9949569702148438,-0.9903796911239624,-0.7742048501968384,-0.8598383665084839,-0.6553031206130981,-0.7042220830917358,-0.8491371870040894,-0.8886986970901489,-0.6791952848434448,-0.6792337894439697,-0.7009711861610413,-0.9027203321456908,-0.6812998652458191,-0.7274186611175537,-0.5925257205963135,-0.9985318183898926,-0.9948949813842772,-0.6315629482269287,-0.9106645584106444,-0.7820000052452087,-0.7959417700767517,-0.8120097517967224,-0.8389458656311035,-0.9962445497512816,-0.9954292178153992,-0.9603185653686525,-0.8520803451538086,-0.783849835395813,-0.914197564125061,-0.7366542816162109,-0.8913485407829285,-0.8026447296142578,-0.8598035573959351,-0.9922388792037964,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.992732048034668,,-0.995306432247162,-0.8642857074737549,-0.9883465766906738,-0.7901994585990906,-0.862747311592102,-0.7401479482650757,-0.7495437860488892,-0.8623208999633789,-0.8869307637214661,-0.7090415954589844,-0.6233264207839966,-0.6906306147575378,-0.9051769971847534,-0.690990686416626,-0.7239656448364258,-0.6498339176177979,-0.9966275691986084,-0.8111979365348816,-0.9961471557617188,-0.5977301597595215,-0.8848121762275696,-0.9645721912384032,-0.971428632736206,-0.8004137277603149,-0.8192513585090637,-0.7740349173545837,-0.8206615447998047,-0.9992512464523317,-0.992607831954956,-0.9462400674819946,-0.9594616889953612,-0.8655534982681274,-0.8619624972343445,-0.7972803115844727,-0.9101234674453736,-0.7405624389648438,-0.8808609247207642,-0.8383747935295105,-0.857866644859314,-0.993338108062744,-0.9220535159111024,,,,,,,,,,,,,,,,,,,,,-0.992732048034668,-0.995306432247162,-0.9883465766906738,-0.7901994585990906,-0.862747311592102,-0.7401479482650757,-0.7495437860488892,-0.8623208999633789,-0.8869307637214661,-0.7090415954589844,-0.6233264207839966,-0.6906306147575378,-0.9051769971847534,-0.690990686416626,-0.7239656448364258,-0.6498339176177979,-0.9966275691986084,-0.9961471557617188,-0.5977301597595215,-0.8848121762275696,-0.8004137277603149,-0.8192513585090637,-0.7740349173545837,-0.8206615447998047,-0.9992512464523317,-0.992607831954956,-0.9462400674819946,-0.8619624972343445,-0.7972803115844727,-0.9101234674453736,-0.7405624389648438,-0.8808609247207642,-0.8383747935295105,-0.857866644859314,-0.993338108062744,-0.9220535159111024
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.991943061351776,-0.9635708332061768,-0.9949640035629272,-0.8928571343421936,-0.9886391162872314,-0.7845357656478882,-0.8661597967147827,-0.7261531352996826,-0.7233240008354187,-0.8608695268630981,-0.8975379467010498,-0.7066905498504639,-0.61293625831604,-0.6831651329994202,-0.9118883609771729,-0.6870290637016296,-0.7241811752319336,-0.5798577070236206,-0.9975975751876832,-0.860243022441864,-0.9981698989868164,-0.7151737213134766,-0.9042510986328124,-0.9627896547317504,-0.9614285230636596,-0.7875171899795532,-0.7748651504516602,-0.8489919900894165,-0.8546831011772156,-0.9989509582519532,-0.9915509223937988,-0.9468256831169128,-0.9477589130401612,-0.8764052391052246,-0.8691677451133728,-0.7960080504417419,-0.9051234722137452,-0.7234340906143188,-0.911662220954895,-0.8302018642425537,-0.8600735664367676,,-0.9000648856163025,,,,,,,,,,,,,,,,,,,,,-0.991943061351776,-0.9949640035629272,-0.9886391162872314,-0.7845357656478882,-0.8661597967147827,-0.7261531352996826,-0.7233240008354187,-0.8608695268630981,-0.8975379467010498,-0.7066905498504639,-0.61293625831604,-0.6831651329994202,-0.9118883609771729,-0.6870290637016296,-0.7241811752319336,-0.5798577070236206,-0.9975975751876832,-0.9981698989868164,-0.7151737213134766,-0.9042510986328124,-0.7875171899795532,-0.7748651504516602,-0.8489919900894165,-0.8546831011772156,-0.9989509582519532,-0.9915509223937988,-0.9468256831169128,-0.8691677451133728,-0.7960080504417419,-0.9051234722137452,-0.7234340906143188,-0.911662220954895,-0.8302018642425537,-0.8600735664367676,,-0.9000648856163025
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.99325430393219,-0.9994708895683287,,-0.9178571701049804,-0.989830195903778,-0.7902044653892517,-0.8647608757019043,-0.7752994894981384,-0.7351414561271667,-0.8549720644950867,-0.8869132995605469,-0.6976658701896667,-0.6682144999504089,-0.6827309131622314,-0.9159643650054932,-0.6502659320831299,-0.7270538806915283,-0.599969744682312,-0.9972853660583496,-0.8116320371627808,-0.9981056451797484,-0.7141621708869934,-0.8967224359512329,-0.9578877091407776,-0.9674999713897704,-0.7980000376701355,-0.8045625686645508,-0.8496492505073547,-0.8223929405212402,-0.999321460723877,-0.9906086921691896,-0.9783056378364564,-0.9211186170578004,-0.891081690788269,-0.8613606691360474,-0.8123714923858643,-0.8916358351707458,-0.7322517037391663,-0.8805705308914185,-0.8362115621566772,-0.8437321782112122,-0.9951931238174438,-0.8893579840660095,,,,,,,,,,,,,,,,,,,,,-0.99325430393219,,-0.989830195903778,-0.7902044653892517,-0.8647608757019043,-0.7752994894981384,-0.7351414561271667,-0.8549720644950867,-0.8869132995605469,-0.6976658701896667,-0.6682144999504089,-0.6827309131622314,-0.9159643650054932,-0.6502659320831299,-0.7270538806915283,-0.599969744682312,-0.9972853660583496,-0.9981056451797484,-0.7141621708869934,-0.8967224359512329,-0.7980000376701355,-0.8045625686645508,-0.8496492505073547,-0.8223929405212402,-0.999321460723877,-0.9906086921691896,-0.9783056378364564,-0.8613606691360474,-0.8123714923858643,-0.8916358351707458,-0.7322517037391663,-0.8805705308914185,-0.8362115621566772,-0.8437321782112122,-0.9951931238174438,-0.8893579840660095
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9937126636505128,-0.9863109588623048,-0.9916900396347046,-0.8357142806053162,,-0.7874939441680908,-0.8534435629844666,-0.7602117657661438,-0.7396605014801025,-0.8547451496124268,-0.8834540247917175,-0.7125750184059143,-0.6152945756912231,-0.7033495306968689,-0.904520869255066,-0.6515181660652161,-0.7182884216308594,-0.612884521484375,-0.9985270500183104,-0.8519966006278992,-0.9990795850753784,-0.6316789984703064,-0.8760718703269958,-0.94385027885437,-0.9530357122421264,-0.7862414121627808,-0.8074657320976257,-0.8349977731704712,-0.8357197642326355,-0.9978941679000854,-0.994369387626648,-0.9611568450927734,-0.9532676935195924,-0.8785959482192993,-0.8581862449645996,-0.8042782545089722,-0.9022221565246582,-0.734284520149231,-0.871793270111084,-0.8265705108642578,-0.8651635050773621,-0.9961485862731934,-0.8992683291435242,,,,,,,,,,,,,,,,,,,,,-0.9937126636505128,-0.9916900396347046,,-0.7874939441680908,-0.8534435629844666,-0.7602117657661438,-0.7396605014801025,-0.8547451496124268,-0.8834540247917175,-0.7125750184059143,-0.6152945756912231,-0.7033495306968689,-0.904520869255066,-0.6515181660652161,-0.7182884216308594,-0.612884521484375,-0.9985270500183104,-0.9990795850753784,-0.6316789984703064,-0.8760718703269958,-0.7862414121627808,-0.8074657320976257,-0.8349977731704712,-0.8357197642326355,-0.9978941679000854,-0.994369387626648,-0.9611568450927734,-0.8581862449645996,-0.8042782545089722,-0.9022221565246582,-0.734284520149231,-0.871793270111084,-0.8265705108642578,-0.8651635050773621,-0.9961485862731934,-0.8992683291435242
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9950484037399292,-0.9593380689620972,-0.9949747323989868,-0.8535714149475098,-0.9877675771713256,-0.7790091037750244,-0.8775248527526855,-0.7497904300689697,-0.7306448221206665,-0.864190936088562,-0.8856521844863892,-0.6939883828163147,-0.6734964847564697,-0.6907398104667664,-0.914233386516571,-0.6719304323196411,-0.7094416618347168,-0.6081993579864502,-0.9975809454917908,-0.8098958730697632,-0.9964147806167604,-0.5840833783149719,-0.8964473605155945,-0.9569964408874512,-0.9489285349845886,-0.8171724081039429,-0.7807957530021667,-0.8482375144958496,-0.8259180784225464,-0.9945501089096068,-0.9919962882995604,-0.9726463556289672,,-0.8622959852218628,-0.8591974973678589,-0.8109903335571289,-0.9053086042404176,-0.7250169515609741,-0.8917518854141235,-0.8310405015945435,-0.8418973684310913,-0.9917206168174744,-0.911998689174652,,,,,,,,,,,,,,,,,,,,,-0.9950484037399292,-0.9949747323989868,-0.9877675771713256,-0.7790091037750244,-0.8775248527526855,-0.7497904300689697,-0.7306448221206665,-0.864190936088562,-0.8856521844863892,-0.6939883828163147,-0.6734964847564697,-0.6907398104667664,-0.914233386516571,-0.6719304323196411,-0.7094416618347168,-0.6081993579864502,-0.9975809454917908,-0.9964147806167604,-0.5840833783149719,-0.8964473605155945,-0.8171724081039429,-0.7807957530021667,-0.8482375144958496,-0.8259180784225464,-0.9945501089096068,-0.9919962882995604,-0.9726463556289672,-0.8591974973678589,-0.8109903335571289,-0.9053086042404176,-0.7250169515609741,-0.8917518854141235,-0.8310405015945435,-0.8418973684310913,-0.9917206168174744,-0.911998689174652
caltech101_object_classification,-0.9912625551223756,-0.9515342712402344,-0.9220068454742432,-0.963290274143219,-0.9469915628433228,-0.9997427463531494,-0.999789535999298,-0.999983012676239,-0.9924720525741576,-0.9761348962783812,,-0.9893725514411926,-0.9682790040969848,-0.993813455104828,-0.9990291595458984,-0.9970555305480956,-0.9771379828453064,-0.892565906047821,-0.9950604438781738,-0.9772727489471436,-0.9200321435928344,-0.9394378662109376,-0.9745447039604188,-0.8546897172927856,-0.9136126041412354,-0.9004974365234375,-0.9633162617683412,-0.7984132766723633,-0.9939759969711304,-0.9653813242912292,-0.9972822666168212,-0.975000023841858,-0.9921966791152954,-0.7806872129440308,-0.863251805305481,-0.7536219954490662,-0.7203503847122192,-0.8584575653076172,-0.8892015218734741,-0.6984977722167969,-0.6603125333786011,-0.7031614780426025,-0.9144004583358764,-0.6580451726913452,-0.7433526515960693,-0.6200062036514282,-0.9969826936721802,-0.7335070371627808,-0.9966930150985718,-0.7295545339584351,-0.9160172343254088,-0.9498662948608398,-0.9694643020629884,-0.7686207294464111,-0.8276748657226562,-0.8170850872993469,-0.8470925092697144,-0.9983094334602356,-0.9906730651855468,-0.9615026712417604,-0.9536831378936768,-0.8215035200119019,-0.8703721761703491,-0.769777774810791,-0.8970987796783447,-0.6971148252487183,-0.8884281516075134,-0.8080846071243286,-0.8205447196960449,-0.9959579706192015,-0.9183522462844848,-0.9912625551223756,-0.9515342712402344,-0.9220068454742432,-0.963290274143219,-0.999789535999298,-0.999983012676239,-0.9761348962783812,-0.9682790040969848,-0.9990291595458984,-0.9771379828453064,-0.892565906047821,-0.9950604438781738,-0.9772727489471436,-0.9200321435928344,-0.9394378662109376,-0.9745447039604188,-0.8546897172927856,-0.9136126041412354,-0.9004974365234375,-0.9633162617683412,-0.9939759969711304,-0.9972822666168212,-0.9921966791152954,-0.7806872129440308,-0.863251805305481,-0.7536219954490662,-0.7203503847122192,-0.8584575653076172,-0.8892015218734741,-0.6984977722167969,-0.6603125333786011,-0.7031614780426025,-0.9144004583358764,-0.6580451726913452,-0.7433526515960693,-0.6200062036514282,-0.9969826936721802,-0.9966930150985718,-0.7295545339584351,-0.9160172343254088,-0.7686207294464111,-0.8276748657226562,-0.8170850872993469,-0.8470925092697144,-0.9983094334602356,-0.9906730651855468,-0.9615026712417604,-0.8703721761703491,-0.769777774810791,-0.8970987796783447,-0.6971148252487183,-0.8884281516075134,-0.8080846071243286,-0.8205447196960449,-0.9959579706192015,-0.9183522462844848
caltech256_object_classification,-0.9861993789672852,-0.9444701671600342,-0.932104229927063,-0.9569743275642396,-0.9087643027305604,-0.9988425970077516,-0.9993495941162108,-0.9998542666435242,-0.9917675852775574,-0.9771223068237304,-0.9985319972038268,,-0.9455267786979676,-0.9923502206802368,-0.9987902641296388,-0.997158408164978,-0.9469176530838012,-0.9018874168395996,-0.995566725730896,-0.9677747488021852,-0.9083701372146606,-0.9255199432373048,-0.976625919342041,-0.8390685319900513,-0.9055867195129396,-0.8763848543167114,-0.9647104740142822,-0.8161835074424744,-0.9889564514160156,-0.9135119318962096,-0.9966046810150146,-0.9392857551574708,-0.9541472792625428,-0.7533812522888184,-0.8602712154388428,-0.7211406230926514,-0.7130584120750427,-0.8450832962989807,-0.8868285417556763,-0.6751914024353027,-0.6458907127380371,-0.6852035522460938,-0.9061812162399292,-0.6881980895996094,-0.7340338230133057,-0.6255812644958496,-0.9972448945045472,-0.7955729365348816,-0.997281551361084,-0.7493240833282471,-0.9052587747573853,-0.9631239175796508,-0.966071367263794,-0.7853103876113892,-0.8245220184326172,-0.8575001955032349,-0.8286919593811035,-0.996921181678772,-0.9862046241760254,-0.961003303527832,-0.9275999069213868,-0.7966398596763611,-0.8516005277633667,-0.7433547973632812,-0.8809258937835693,-0.7054970264434814,-0.8651134967803955,-0.8396165370941162,-0.8271484375,-0.988109290599823,-0.8728311657905579,-0.9861993789672852,-0.9444701671600342,-0.932104229927063,-0.9569743275642396,-0.9993495941162108,-0.9998542666435242,-0.9771223068237304,-0.9455267786979676,-0.9987902641296388,-0.9469176530838012,-0.9018874168395996,-0.995566725730896,-0.9677747488021852,-0.9083701372146606,-0.9255199432373048,-0.976625919342041,-0.8390685319900513,-0.9055867195129396,-0.8763848543167114,-0.9647104740142822,-0.9889564514160156,-0.9966046810150146,-0.9541472792625428,-0.7533812522888184,-0.8602712154388428,-0.7211406230926514,-0.7130584120750427,-0.8450832962989807,-0.8868285417556763,-0.6751914024353027,-0.6458907127380371,-0.6852035522460938,-0.9061812162399292,-0.6881980895996094,-0.7340338230133057,-0.6255812644958496,-0.9972448945045472,-0.997281551361084,-0.7493240833282471,-0.9052587747573853,-0.7853103876113892,-0.8245220184326172,-0.8575001955032349,-0.8286919593811035,-0.996921181678772,-0.9862046241760254,-0.961003303527832,-0.8516005277633667,-0.7433547973632812,-0.8809258937835693,-0.7054970264434814,-0.8651134967803955,-0.8396165370941162,-0.8271484375,-0.988109290599823,-0.8728311657905579
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.994037628173828,-0.9643476009368896,-0.9967473149299622,-0.8321428298950195,-0.989447295665741,,,,,,,,,,,,,,-0.9976965188980104,-0.80078125,-0.99773108959198,-0.6532471179962158,-0.8813521265983582,-0.955659568309784,-0.9719643592834472,-0.8106206655502319,-0.7854825854301453,-0.7902037501335144,-0.8577461242675781,-0.9996061325073242,-0.99220609664917,-0.9449422955513,-0.9479352831840516,-0.8752318620681763,-0.8635997772216797,-0.7940181493759155,-0.8998148441314697,-0.7276718020439148,-0.880376935005188,-0.8446603417396545,-0.8582068681716919,-0.9917703866958618,-0.8986226916313171,,,,,,,,,,,,,,,,,,,,,-0.994037628173828,-0.9967473149299622,-0.989447295665741,,,,,,,,,,,,,,-0.9976965188980104,-0.99773108959198,-0.6532471179962158,-0.8813521265983582,-0.8106206655502319,-0.7854825854301453,-0.7902037501335144,-0.8577461242675781,-0.9996061325073242,-0.99220609664917,-0.9449422955513,-0.8635997772216797,-0.7940181493759155,-0.8998148441314697,-0.7276718020439148,-0.880376935005188,-0.8446603417396545,-0.8582068681716919,-0.9917703866958618,-0.8986226916313171
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9913204312324524,-0.9739615321159364,-0.994657337665558,-0.8071428537368774,-0.9867392778396606,,,,,,,,,,,,,,-0.995700478553772,-0.8181424140930176,-0.9938567876815796,-0.7304824590682983,-0.8962047696113586,-0.9670231342315674,-0.9617856740951538,-0.7661378979682922,-0.8018428683280945,-0.8293105959892273,-0.8610113859176636,-0.9976366758346558,-0.9916436672210692,-0.969512104988098,-0.945271134376526,-0.8794306516647339,-0.8628493547439575,-0.792026162147522,-0.8943210244178772,-0.7269285321235657,-0.887492299079895,-0.8268454074859619,-0.8513671159744263,-0.9974877834320068,-0.9078351259231568,,,,,,,,,,,,,,,,,,,,,-0.9913204312324524,-0.994657337665558,-0.9867392778396606,,,,,,,,,,,,,,-0.995700478553772,-0.9938567876815796,-0.7304824590682983,-0.8962047696113586,-0.7661378979682922,-0.8018428683280945,-0.8293105959892273,-0.8610113859176636,-0.9976366758346558,-0.9916436672210692,-0.969512104988098,-0.8628493547439575,-0.792026162147522,-0.8943210244178772,-0.7269285321235657,-0.887492299079895,-0.8268454074859619,-0.8513671159744263,-0.9974877834320068,-0.9078351259231568
