s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.980555534362793,-0.888888955116272,-0.9663640260696412,-0.8071428537368774,-0.9446899890899658,-0.7023285031318665,-0.7493438720703125,-0.5721335411071777,-0.6148651242256165,-0.7587183713912964,-0.8046963214874268,-0.6248758435249329,-0.5433299541473389,-0.6131917238235474,-0.8289565443992615,-0.5753102898597717,-0.6151112914085388,-0.5036799907684326,-0.9824538826942444,-0.6041666865348816,-0.9835987091064452,-0.5221385359764099,-0.6038943529129028,-0.8957219123840332,-0.9249999523162842,-0.7310000061988831,-0.4723594784736633,-0.415116399526596,-0.4538580477237701,-0.9814294576644896,-0.9096471071243286,-0.7292382121086121,-0.8426686525344849,-0.7464286088943481,-0.7905980348587036,-0.7217563986778259,-0.8370370864868164,-0.6677468419075012,-0.8319403529167175,-0.7409025430679321,-0.7975188493728638,-0.9362733364105223,,,,,,,,,,,,,,,,,,,,,,-0.980555534362793,-0.9663640260696412,-0.9446899890899658,-0.7023285031318665,-0.7493438720703125,-0.5721335411071777,-0.6148651242256165,-0.7587183713912964,-0.8046963214874268,-0.6248758435249329,-0.5433299541473389,-0.6131917238235474,-0.8289565443992615,-0.5753102898597717,-0.6151112914085388,-0.5036799907684326,-0.9824538826942444,-0.9835987091064452,-0.5221385359764099,-0.6038943529129028,-0.7310000061988831,-0.4723594784736633,-0.415116399526596,-0.4538580477237701,-0.9814294576644896,-0.9096471071243286,-0.7292382121086121,-0.7905980348587036,-0.7217563986778259,-0.8370370864868164,-0.6677468419075012,-0.8319403529167175,-0.7409025430679321,-0.7975188493728638,-0.9362733364105223,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9822221994400024,,-0.9714534282684326,-0.7928571701049805,-0.945283830165863,-0.7176409363746643,-0.7643125057220459,-0.556509256362915,-0.62747722864151,-0.7552492618560791,-0.7990351915359497,-0.6333727836608887,-0.5346803665161133,-0.6009891033172607,-0.8172109127044678,-0.5575575828552246,-0.6188554763793945,-0.5191339254379272,-0.9785141944885254,-0.6666666865348816,-0.9750583171844482,-0.5214380621910095,-0.6435672044754028,-0.9021836519241332,-0.9107142686843872,-0.7417585849761963,-0.47897669672966,-0.4118131697177887,-0.481790155172348,-0.989002764225006,-0.9020307064056396,-0.7341858148574829,-0.8712218403816223,-0.711309552192688,-0.7920951843261719,-0.7181016802787781,-0.8356481790542603,-0.6541938185691833,-0.8303269147872925,-0.7525461912155151,-0.7899860143661499,-0.9701367616653442,-0.5974884629249573,,,,,,,,,,,,,,,,,,,,,-0.9822221994400024,-0.9714534282684326,-0.945283830165863,-0.7176409363746643,-0.7643125057220459,-0.556509256362915,-0.62747722864151,-0.7552492618560791,-0.7990351915359497,-0.6333727836608887,-0.5346803665161133,-0.6009891033172607,-0.8172109127044678,-0.5575575828552246,-0.6188554763793945,-0.5191339254379272,-0.9785141944885254,-0.9750583171844482,-0.5214380621910095,-0.6435672044754028,-0.7417585849761963,-0.47897669672966,-0.4118131697177887,-0.481790155172348,-0.989002764225006,-0.9020307064056396,-0.7341858148574829,-0.7920951843261719,-0.7181016802787781,-0.8356481790542603,-0.6541938185691833,-0.8303269147872925,-0.7525461912155151,-0.7899860143661499,-0.9701367616653442,-0.5974884629249573
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9811111092567444,-0.888888955116272,-0.9761862754821776,-0.7678571343421936,-0.9371966123580932,-0.7083547115325928,-0.7724573612213135,-0.5504724979400635,-0.5868262052536011,-0.7533498406410217,-0.8300806283950806,-0.6373758316040039,-0.5310634970664978,-0.5989902019500732,-0.8321725130081177,-0.5518617033958435,-0.6167551875114441,-0.5034998655319214,-0.9793150424957277,-0.7083333730697632,-0.977851629257202,-0.5332467555999756,-0.5969710350036621,-0.902629256248474,-0.8616071343421936,-0.7078965306282043,-0.5202764272689819,-0.4817636013031006,-0.4154320955276489,-0.9857348203659058,-0.8889051675796509,-0.7135117053985596,-0.8059660792350769,-0.7011904716491699,-0.8096357583999634,-0.7361576557159424,-0.8277777433395386,-0.6658145189285278,-0.8356997966766357,-0.7622255682945251,-0.7812795042991638,,-0.5808680057525635,,,,,,,,,,,,,,,,,,,,,-0.9811111092567444,-0.9761862754821776,-0.9371966123580932,-0.7083547115325928,-0.7724573612213135,-0.5504724979400635,-0.5868262052536011,-0.7533498406410217,-0.8300806283950806,-0.6373758316040039,-0.5310634970664978,-0.5989902019500732,-0.8321725130081177,-0.5518617033958435,-0.6167551875114441,-0.5034998655319214,-0.9793150424957277,-0.977851629257202,-0.5332467555999756,-0.5969710350036621,-0.7078965306282043,-0.5202764272689819,-0.4817636013031006,-0.4154320955276489,-0.9857348203659058,-0.8889051675796509,-0.7135117053985596,-0.8096357583999634,-0.7361576557159424,-0.8277777433395386,-0.6658145189285278,-0.8356997966766357,-0.7622255682945251,-0.7812795042991638,,-0.5808680057525635
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.980555534362793,-0.9444445371627808,,-0.8428571224212646,-0.9406381845474244,-0.7240111827850342,-0.7729073762893677,-0.5873087644577026,-0.5841851234436035,-0.7402504682540894,-0.8145872354507446,-0.6362701058387756,-0.5376835465431213,-0.5958467721939087,-0.8354525566101074,-0.5675088763237,-0.6332128643989563,-0.5064824819564819,-0.9753754138946532,-0.6666667461395264,-0.9816830158233644,-0.5605222582817078,-0.668850302696228,-0.8959447145462036,-0.9330357313156128,-0.701758623123169,-0.430559366941452,-0.4206437170505523,-0.511496901512146,-0.9841008186340332,-0.9103649854660034,-0.7959132194519043,-0.7991546988487244,-0.6958333253860474,-0.7913713455200195,-0.7378794550895691,-0.8083333373069763,-0.657855212688446,-0.808319091796875,-0.7437114119529724,-0.7802653312683105,-0.9616965651512146,-0.570713460445404,,,,,,,,,,,,,,,,,,,,,-0.980555534362793,,-0.9406381845474244,-0.7240111827850342,-0.7729073762893677,-0.5873087644577026,-0.5841851234436035,-0.7402504682540894,-0.8145872354507446,-0.6362701058387756,-0.5376835465431213,-0.5958467721939087,-0.8354525566101074,-0.5675088763237,-0.6332128643989563,-0.5064824819564819,-0.9753754138946532,-0.9816830158233644,-0.5605222582817078,-0.668850302696228,-0.701758623123169,-0.430559366941452,-0.4206437170505523,-0.511496901512146,-0.9841008186340332,-0.9103649854660034,-0.7959132194519043,-0.7913713455200195,-0.7378794550895691,-0.8083333373069763,-0.657855212688446,-0.808319091796875,-0.7437114119529724,-0.7802653312683105,-0.9616965651512146,-0.570713460445404
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9730556011199952,-0.9444445371627808,-0.9521656036376952,-0.8035714626312256,,-0.7107863426208496,-0.7706958055496216,-0.5573612451553345,-0.623653769493103,-0.7543905377388,-0.8010251522064209,-0.6356610655784607,-0.530846118927002,-0.6046123504638672,-0.8232187032699585,-0.5937832593917847,-0.6292889714241028,-0.5107480883598328,-0.9885742664337158,-0.7083333730697632,-0.9830796718597412,-0.538765549659729,-0.5844894051551819,-0.8877005577087402,-0.8982142806053162,-0.7140689492225647,-0.5355064868927002,-0.4172871708869934,-0.4767746925354004,-0.9846974611282348,-0.8923753499984741,-0.7123605012893677,-0.8315089344978333,-0.6553571224212646,-0.7968636751174927,-0.7330704927444458,-0.8324074149131775,-0.6362122893333435,-0.8281809687614441,-0.7419978380203247,-0.7884998321533203,-0.9574785232543944,-0.5840203762054443,,,,,,,,,,,,,,,,,,,,,-0.9730556011199952,-0.9521656036376952,,-0.7107863426208496,-0.7706958055496216,-0.5573612451553345,-0.623653769493103,-0.7543905377388,-0.8010251522064209,-0.6356610655784607,-0.530846118927002,-0.6046123504638672,-0.8232187032699585,-0.5937832593917847,-0.6292889714241028,-0.5107480883598328,-0.9885742664337158,-0.9830796718597412,-0.538765549659729,-0.5844894051551819,-0.7140689492225647,-0.5355064868927002,-0.4172871708869934,-0.4767746925354004,-0.9846974611282348,-0.8923753499984741,-0.7123605012893677,-0.7968636751174927,-0.7330704927444458,-0.8324074149131775,-0.6362122893333435,-0.8281809687614441,-0.7419978380203247,-0.7884998321533203,-0.9574785232543944,-0.5840203762054443
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9783333539962769,-0.879365086555481,-0.9696879982948304,-0.8035714626312256,-0.9570044279098512,-0.7044264078140259,-0.7792552709579468,-0.5684642791748047,-0.6049432754516602,-0.7539206743240356,-0.8139317035675049,-0.6106433272361755,-0.5539340972900391,-0.6086198091506958,-0.8366215825080872,-0.5703457593917847,-0.6031306385993958,-0.5141425132751465,-0.9847133159637452,-0.7083333730697632,-0.985353946685791,-0.5519752502441406,-0.6328086853027344,-0.9024064540863036,-0.912500023841858,-0.7131379246711731,-0.4287719130516052,-0.4546220004558563,-0.4905092716217041,-0.9814294576644896,-0.8943080902099609,-0.7217859029769897,,-0.6714285612106323,-0.7900736331939697,-0.7384853363037109,-0.8402777910232544,-0.6543576121330261,-0.8276485204696655,-0.7460514307022095,-0.771405816078186,-0.9619171619415284,-0.5923043489456177,,,,,,,,,,,,,,,,,,,,,-0.9783333539962769,-0.9696879982948304,-0.9570044279098512,-0.7044264078140259,-0.7792552709579468,-0.5684642791748047,-0.6049432754516602,-0.7539206743240356,-0.8139317035675049,-0.6106433272361755,-0.5539340972900391,-0.6086198091506958,-0.8366215825080872,-0.5703457593917847,-0.6031306385993958,-0.5141425132751465,-0.9847133159637452,-0.985353946685791,-0.5519752502441406,-0.6328086853027344,-0.7131379246711731,-0.4287719130516052,-0.4546220004558563,-0.4905092716217041,-0.9814294576644896,-0.8943080902099609,-0.7217859029769897,-0.7900736331939697,-0.7384853363037109,-0.8402777910232544,-0.6543576121330261,-0.8276485204696655,-0.7460514307022095,-0.771405816078186,-0.9619171619415284,-0.5923043489456177
caltech101_object_classification,-0.9092897176742554,-0.6911753416061401,-0.7466192841529846,-0.8600666522979736,-0.7540178298950195,-0.9791666269302368,-0.992424249649048,-0.9990741014480592,-0.7282999753952026,-0.8182271122932434,,-0.7048606872558594,-0.7690999507904053,-0.7738000154495239,-0.9671643972396852,-0.8679964542388916,-0.8226094245910645,-0.3275062441825866,-0.9526777267456056,-0.9220563769340516,-0.8446996212005615,-0.8581846952438354,-0.93495512008667,-0.6146702766418457,-0.7005515694618225,-0.6667158603668213,-0.8305898904800415,-0.3634408712387085,-0.9816666841506958,-0.8611111640930176,-0.9688427448272704,-0.9285714626312256,-0.943387508392334,-0.7201025485992432,-0.7804975509643555,-0.5785250067710876,-0.5841208696365356,-0.7595551013946533,-0.8188155293464661,-0.6240479946136475,-0.5401769876480103,-0.6215405464172363,-0.8442121744155884,-0.5753102898597717,-0.6122413873672485,-0.510060727596283,-0.9731159806251526,-0.6458333730697632,-0.9811639785766602,-0.5331689119338989,-0.6334279775619507,-0.8415775299072266,-0.8883928060531616,-0.7285172939300537,-0.4731449484825134,-0.4695627093315124,-0.4898919761180877,-0.9824395179748536,-0.884459912776947,-0.7258943319320679,-0.8250015377998352,-0.6422619223594666,-0.797346830368042,-0.6983836889266968,-0.8268518447875977,-0.6466927528381348,-0.8136919736862183,-0.7306492328643799,-0.7537631988525391,-0.9404927492141724,-0.6123602390289307,-0.9092897176742554,-0.6911753416061401,-0.7466192841529846,-0.8600666522979736,-0.992424249649048,-0.9990741014480592,-0.8182271122932434,-0.7690999507904053,-0.9671643972396852,-0.8226094245910645,-0.3275062441825866,-0.9526777267456056,-0.9220563769340516,-0.8446996212005615,-0.8581846952438354,-0.93495512008667,-0.6146702766418457,-0.7005515694618225,-0.6667158603668213,-0.8305898904800415,-0.9816666841506958,-0.9688427448272704,-0.943387508392334,-0.7201025485992432,-0.7804975509643555,-0.5785250067710876,-0.5841208696365356,-0.7595551013946533,-0.8188155293464661,-0.6240479946136475,-0.5401769876480103,-0.6215405464172363,-0.8442121744155884,-0.5753102898597717,-0.6122413873672485,-0.510060727596283,-0.9731159806251526,-0.9811639785766602,-0.5331689119338989,-0.6334279775619507,-0.7285172939300537,-0.4731449484825134,-0.4695627093315124,-0.4898919761180877,-0.9824395179748536,-0.884459912776947,-0.7258943319320679,-0.797346830368042,-0.6983836889266968,-0.8268518447875977,-0.6466927528381348,-0.8136919736862183,-0.7306492328643799,-0.7537631988525391,-0.9404927492141724,-0.6123602390289307
caltech256_object_classification,-0.8915365934371948,-0.6679198145866394,-0.7780942916870117,-0.8289710283279419,-0.4941964149475097,-0.9722222089767456,-0.9734848737716676,-0.99390310049057,-0.7078517079353333,-0.8052452206611633,-0.8940805196762085,,-0.6747000217437744,-0.7412999868392944,-0.962368905544281,-0.8636967539787292,-0.8183571100234985,-0.3288091123104095,-0.9356786012649536,-0.9169304966926576,-0.8316110372543335,-0.8175313472747803,-0.9367328882217408,-0.6263676285743713,-0.7410972714424133,-0.6723754405975342,-0.8537262678146362,-0.4226702451705932,-0.9752777814865112,-0.8515872955322266,-0.961706042289734,-0.8928571343421936,-0.7872328162193298,-0.6823064088821411,-0.7778507471084595,-0.5892483592033386,-0.5902191400527954,-0.7221982479095459,-0.8172763586044312,-0.6210442185401917,-0.5669258832931519,-0.6184968948364258,-0.8302768468856812,-0.5838873982429504,-0.6524344086647034,-0.5127385258674622,-0.979000449180603,-0.6875,-0.9695091843605042,-0.5473125576972961,-0.6508374214172363,-0.8665329813957214,-0.8848214149475098,-0.6712068915367126,-0.5652951598167419,-0.5535622835159302,-0.4682870805263519,-0.9845414757728576,-0.8860925436019897,-0.7440399527549744,-0.7867177724838257,-0.5714285969734192,-0.7785530686378479,-0.6750578284263611,-0.8097221851348877,-0.6479304432868958,-0.7810190916061401,-0.763320803642273,-0.7711889743804932,-0.919015645980835,-0.5445510149002075,-0.8915365934371948,-0.6679198145866394,-0.7780942916870117,-0.8289710283279419,-0.9734848737716676,-0.99390310049057,-0.8052452206611633,-0.6747000217437744,-0.962368905544281,-0.8183571100234985,-0.3288091123104095,-0.9356786012649536,-0.9169304966926576,-0.8316110372543335,-0.8175313472747803,-0.9367328882217408,-0.6263676285743713,-0.7410972714424133,-0.6723754405975342,-0.8537262678146362,-0.9752777814865112,-0.961706042289734,-0.7872328162193298,-0.6823064088821411,-0.7778507471084595,-0.5892483592033386,-0.5902191400527954,-0.7221982479095459,-0.8172763586044312,-0.6210442185401917,-0.5669258832931519,-0.6184968948364258,-0.8302768468856812,-0.5838873982429504,-0.6524344086647034,-0.5127385258674622,-0.979000449180603,-0.9695091843605042,-0.5473125576972961,-0.6508374214172363,-0.6712068915367126,-0.5652951598167419,-0.5535622835159302,-0.4682870805263519,-0.9845414757728576,-0.8860925436019897,-0.7440399527549744,-0.7785530686378479,-0.6750578284263611,-0.8097221851348877,-0.6479304432868958,-0.7810190916061401,-0.763320803642273,-0.7711889743804932,-0.919015645980835,-0.5445510149002075
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.982777774333954,-0.8238095045089722,-0.9643168449401855,-0.7107143402099609,-0.9377191066741944,,,,,,,,,,,,,,-0.9828613996505736,-0.6875000596046448,-0.9825606346130372,-0.5314638614654541,-0.5992110967636108,-0.9102050065994264,-0.9249999523162842,-0.7217586040496826,-0.4456059336662292,-0.3920754194259643,-0.4905864298343658,-0.9863314628601074,-0.8971579074859619,-0.734887421131134,-0.8068479299545288,-0.6916666626930237,-0.8000921607017517,-0.7385557889938354,-0.8268518447875977,-0.6622443795204163,-0.8147568702697754,-0.7663803100585938,-0.7919186353683472,-0.9573148488998412,-0.5608463287353516,,,,,,,,,,,,,,,,,,,,,-0.982777774333954,-0.9643168449401855,-0.9377191066741944,,,,,,,,,,,,,,-0.9828613996505736,-0.9825606346130372,-0.5314638614654541,-0.5992110967636108,-0.7217586040496826,-0.4456059336662292,-0.3920754194259643,-0.4905864298343658,-0.9863314628601074,-0.8971579074859619,-0.734887421131134,-0.8000921607017517,-0.7385557889938354,-0.8268518447875977,-0.6622443795204163,-0.8147568702697754,-0.7663803100585938,-0.7919186353683472,-0.9573148488998412,-0.5608463287353516
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9744444489479064,-0.8611111640930176,-0.9640350341796876,-0.6857143044471741,-0.9446899890899658,,,,,,,,,,,,,,-0.9805233478546144,-0.6666666865348816,-0.9642436504364014,-0.542805552482605,-0.6149321794509888,-0.8957219123840332,-0.8991071581840515,-0.6765172481536865,-0.4844873249530792,-0.4391975998878479,-0.4560185372829437,-0.9873687624931335,-0.8901998996734619,-0.7393307685852051,-0.7462750673294067,-0.6595238447189331,-0.7956616282463074,-0.7246580123901367,-0.8245370388031006,-0.6819156408309937,-0.7970247268676758,-0.734007716178894,-0.803042471408844,-0.9615342617034912,-0.5621552467346191,,,,,,,,,,,,,,,,,,,,,-0.9744444489479064,-0.9640350341796876,-0.9446899890899658,,,,,,,,,,,,,,-0.9805233478546144,-0.9642436504364014,-0.542805552482605,-0.6149321794509888,-0.6765172481536865,-0.4844873249530792,-0.4391975998878479,-0.4560185372829437,-0.9873687624931335,-0.8901998996734619,-0.7393307685852051,-0.7956616282463074,-0.7246580123901367,-0.8245370388031006,-0.6819156408309937,-0.7970247268676758,-0.734007716178894,-0.803042471408844,-0.9615342617034912,-0.5621552467346191
