s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9932640790939332,-0.7688617706298828,-0.992556631565094,-0.7821428775787354,-0.992290496826172,-0.7683225870132446,-0.861082911491394,-0.7421903610229492,-0.7358547449111938,-0.8667374849319458,-0.8781999945640564,-0.7025713920593262,-0.6765604019165039,-0.681490421295166,-0.8942896127700806,-0.6385195255279541,-0.7326639890670776,-0.6586263179779053,-0.9971579313278198,-0.5685763955116272,-0.9959867000579834,-0.6159157752990723,-0.9056617617607116,-0.971256673336029,-0.983214259147644,-0.8120862245559692,-0.8060914874076843,-0.7820132970809937,-0.8314967155456543,-0.9984859228134156,-0.9968513250350952,-0.9668421149253844,-0.963480830192566,-0.8863198757171631,-0.8641263842582703,-0.8098486065864563,-0.913101851940155,-0.7315394878387451,-0.8801752328872681,-0.8114310503005981,-0.8553929328918457,-0.9983612895011902,,,,,,,,,,,,,,,,,,,,,,-0.9932640790939332,-0.992556631565094,-0.992290496826172,-0.7683225870132446,-0.861082911491394,-0.7421903610229492,-0.7358547449111938,-0.8667374849319458,-0.8781999945640564,-0.7025713920593262,-0.6765604019165039,-0.681490421295166,-0.8942896127700806,-0.6385195255279541,-0.7326639890670776,-0.6586263179779053,-0.9971579313278198,-0.9959867000579834,-0.6159157752990723,-0.9056617617607116,-0.8120862245559692,-0.8060914874076843,-0.7820132970809937,-0.8314967155456543,-0.9984859228134156,-0.9968513250350952,-0.9668421149253844,-0.8641263842582703,-0.8098486065864563,-0.913101851940155,-0.7315394878387451,-0.8801752328872681,-0.8114310503005981,-0.8553929328918457,-0.9983612895011902,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.993246614933014,,-0.9993009567260742,-0.9285714626312256,-0.987785816192627,-0.7885564565658569,-0.8640890121459961,-0.72209632396698,-0.6758174896240234,-0.7365843653678894,-0.8844165205955505,-0.6942086219787598,-0.668148934841156,-0.71556556224823,-0.9116016626358032,-0.5912123322486877,-0.7360716462135315,-0.5986146330833435,-0.9974188208580016,-0.7777778506278992,-0.997827410697937,-0.7433496117591858,-0.9104883074760436,-0.9654634594917296,-0.9587500095367432,-0.8136551976203918,-0.8065692782402039,-0.7623228430747986,-0.8411107063293457,-0.9955376982688904,-0.9975978136062622,-0.973892867565155,-0.9429941177368164,-0.8839154243469238,-0.870476245880127,-0.8057984113693237,-0.9125617146492004,-0.7452666759490967,-0.9087902307510376,-0.8297957181930542,-0.8632457256317139,-0.9988257884979248,-0.9357814192771912,,,,,,,,,,,,,,,,,,,,,-0.993246614933014,-0.9993009567260742,-0.987785816192627,-0.7885564565658569,-0.8640890121459961,-0.72209632396698,-0.6758174896240234,-0.7365843653678894,-0.8844165205955505,-0.6942086219787598,-0.668148934841156,-0.71556556224823,-0.9116016626358032,-0.5912123322486877,-0.7360716462135315,-0.5986146330833435,-0.9974188208580016,-0.997827410697937,-0.7433496117591858,-0.9104883074760436,-0.8136551976203918,-0.8065692782402039,-0.7623228430747986,-0.8411107063293457,-0.9955376982688904,-0.9975978136062622,-0.973892867565155,-0.870476245880127,-0.8057984113693237,-0.9125617146492004,-0.7452666759490967,-0.9087902307510376,-0.8297957181930542,-0.8632457256317139,-0.9988257884979248,-0.9357814192771912
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.995357871055603,-0.9184026718139648,-0.9961731433868408,-0.9035714268684388,-0.9877113699913024,-0.7904244661331177,-0.8649775981903076,-0.7463461756706238,-0.7162463068962097,-0.8684768676757812,-0.8907447457313538,-0.7173582315444946,-0.6745043992996216,-0.7084025144577026,-0.9228044152259828,-0.6917996406555176,-0.7531203627586365,-0.6319059133529663,-0.9985556602478028,-0.4249131679534912,-0.9963772296905518,-0.7533907890319824,-0.9072355628013612,-0.9656862616539,-0.9796428680419922,-0.8204827308654785,-0.7623649835586548,-0.8063158392906189,-0.8353539705276489,-0.9992746114730836,-0.996805727481842,-0.987723469734192,-0.9585294723510742,-0.8822336792945862,-0.8705023527145386,-0.8193477392196655,-0.9295679330825806,-0.7456793189048767,-0.8827487230300903,-0.8284821510314941,-0.857100248336792,,-0.9321308135986328,,,,,,,,,,,,,,,,,,,,,-0.995357871055603,-0.9961731433868408,-0.9877113699913024,-0.7904244661331177,-0.8649775981903076,-0.7463461756706238,-0.7162463068962097,-0.8684768676757812,-0.8907447457313538,-0.7173582315444946,-0.6745043992996216,-0.7084025144577026,-0.9228044152259828,-0.6917996406555176,-0.7531203627586365,-0.6319059133529663,-0.9985556602478028,-0.9963772296905518,-0.7533907890319824,-0.9072355628013612,-0.8204827308654785,-0.7623649835586548,-0.8063158392906189,-0.8353539705276489,-0.9992746114730836,-0.996805727481842,-0.987723469734192,-0.8705023527145386,-0.8193477392196655,-0.9295679330825806,-0.7456793189048767,-0.8827487230300903,-0.8284821510314941,-0.857100248336792,,-0.9321308135986328
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9933425784111024,-0.9652236700057985,,-0.9571428298950196,-0.9870609045028688,-0.7824817895889282,-0.8681391477584839,-0.7525434494018555,-0.7456201314926147,-0.8688751459121704,-0.8950436115264893,-0.714625358581543,-0.6904063820838928,-0.7043925523757935,-0.9142926335334778,-0.707624077796936,-0.7306267619132996,-0.6589053869247437,-0.9971232414245604,-0.8350694179534912,-0.9967678785324096,-0.682899534702301,-0.9138571619987488,-0.9748217463493348,-0.9837499856948853,-0.798241376876831,-0.812325119972229,-0.8294853568077087,-0.8335866928100586,-0.9998400211334229,-0.9935973882675172,-0.9723823666572572,-0.929842174053192,-0.8519049882888794,-0.8685001134872437,-0.8151240348815918,-0.9330864548683168,-0.752245306968689,-0.8750685453414917,-0.5,-0.8583599328994751,-0.9987976551055908,-0.9236467480659484,,,,,,,,,,,,,,,,,,,,,-0.9933425784111024,,-0.9870609045028688,-0.7824817895889282,-0.8681391477584839,-0.7525434494018555,-0.7456201314926147,-0.8688751459121704,-0.8950436115264893,-0.714625358581543,-0.6904063820838928,-0.7043925523757935,-0.9142926335334778,-0.707624077796936,-0.7306267619132996,-0.6589053869247437,-0.9971232414245604,-0.9967678785324096,-0.682899534702301,-0.9138571619987488,-0.798241376876831,-0.812325119972229,-0.8294853568077087,-0.8335866928100586,-0.9998400211334229,-0.9935973882675172,-0.9723823666572572,-0.8685001134872437,-0.8151240348815918,-0.9330864548683168,-0.752245306968689,-0.8750685453414917,-0.5,-0.8583599328994751,-0.9987976551055908,-0.9236467480659484
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.995357871055603,-0.9184026718139648,-0.9961731433868408,-0.9035714268684388,,-0.7904244661331177,-0.8649775981903076,-0.7463461756706238,-0.7162463068962097,-0.8684768676757812,-0.8907447457313538,-0.7173582315444946,-0.6745043992996216,-0.7084025144577026,-0.9228044152259828,-0.6917996406555176,-0.7531203627586365,-0.6319059133529663,-0.9985556602478028,-0.4249131679534912,-0.9963772296905518,-0.7533907890319824,-0.9072355628013612,-0.9656862616539,-0.9796428680419922,-0.8204827308654785,-0.7623649835586548,-0.8063158392906189,-0.8353539705276489,-0.9992746114730836,-0.996805727481842,-0.987723469734192,-0.9585294723510742,-0.8822336792945862,-0.8705023527145386,-0.8193477392196655,-0.9295679330825806,-0.7456793189048767,-0.8827487230300903,-0.8284821510314941,-0.857100248336792,-0.9986881017684937,-0.9321308135986328,,,,,,,,,,,,,,,,,,,,,-0.995357871055603,-0.9961731433868408,,-0.7904244661331177,-0.8649775981903076,-0.7463461756706238,-0.7162463068962097,-0.8684768676757812,-0.8907447457313538,-0.7173582315444946,-0.6745043992996216,-0.7084025144577026,-0.9228044152259828,-0.6917996406555176,-0.7531203627586365,-0.6319059133529663,-0.9985556602478028,-0.9963772296905518,-0.7533907890319824,-0.9072355628013612,-0.8204827308654785,-0.7623649835586548,-0.8063158392906189,-0.8353539705276489,-0.9992746114730836,-0.996805727481842,-0.987723469734192,-0.8705023527145386,-0.8193477392196655,-0.9295679330825806,-0.7456793189048767,-0.8827487230300903,-0.8284821510314941,-0.857100248336792,-0.9986881017684937,-0.9321308135986328
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9932640790939332,-0.7688617706298828,-0.992556631565094,-0.7821428775787354,-0.992290496826172,-0.7683225870132446,-0.861082911491394,-0.7421903610229492,-0.7358547449111938,-0.8667374849319458,-0.8781999945640564,-0.7025713920593262,-0.6765604019165039,-0.681490421295166,-0.8942896127700806,-0.6385195255279541,-0.7326639890670776,-0.6586263179779053,-0.9971579313278198,-0.5685763955116272,-0.9959867000579834,-0.6159157752990723,-0.9056617617607116,-0.971256673336029,-0.983214259147644,-0.8120862245559692,-0.8060914874076843,-0.7820132970809937,-0.8314967155456543,-0.9984859228134156,-0.9968513250350952,-0.9668421149253844,,-0.8863198757171631,-0.8641263842582703,-0.8098486065864563,-0.913101851940155,-0.7315394878387451,-0.8801752328872681,-0.8114310503005981,-0.8553929328918457,-0.9983612895011902,-0.9240161776542664,,,,,,,,,,,,,,,,,,,,,-0.9932640790939332,-0.992556631565094,-0.992290496826172,-0.7683225870132446,-0.861082911491394,-0.7421903610229492,-0.7358547449111938,-0.8667374849319458,-0.8781999945640564,-0.7025713920593262,-0.6765604019165039,-0.681490421295166,-0.8942896127700806,-0.6385195255279541,-0.7326639890670776,-0.6586263179779053,-0.9971579313278198,-0.9959867000579834,-0.6159157752990723,-0.9056617617607116,-0.8120862245559692,-0.8060914874076843,-0.7820132970809937,-0.8314967155456543,-0.9984859228134156,-0.9968513250350952,-0.9668421149253844,-0.8641263842582703,-0.8098486065864563,-0.913101851940155,-0.7315394878387451,-0.8801752328872681,-0.8114310503005981,-0.8553929328918457,-0.9983612895011902,-0.9240161776542664
caltech101_object_classification,-0.990778923034668,-0.961685061454773,-0.9020413160324096,-0.9602506160736084,-0.6901631355285645,-0.9998713731765748,-0.9998469352722168,-0.9999873638153076,-0.9957612752914428,-0.9751542210578918,,-0.99547016620636,-0.9756550192832948,-0.9960851669311525,-0.9985758066177368,-0.9972447752952576,-0.963209331035614,-0.8983343839645386,-0.9922884702682496,-0.9769837856292723,-0.936840295791626,-0.9273167848587036,-0.9849783182144164,-0.7758594751358032,-0.849624752998352,-0.8846420049667358,-0.965309739112854,-0.8519334197044373,-0.9957702159881592,-0.804837167263031,-0.9971538782119752,-0.3285714387893677,-0.9888039827346802,-0.7834851741790771,-0.8662405610084534,-0.7379837036132812,-0.7494184970855713,-0.863802433013916,-0.8927928805351257,-0.6874394416809082,-0.6522107124328613,-0.6917086839675903,-0.9161260724067688,-0.6637632846832275,-0.7380251288414001,-0.6403629183769226,-0.9969087839126588,-0.7113716006278992,-0.9971746206283568,-0.5887750387191772,-0.8983152508735657,-0.9554367065429688,-0.981785774230957,-0.8067241907119751,-0.8143631219863892,-0.793025016784668,-0.8326621055603027,-0.9974007606506348,-0.9932124614715576,-0.9724136590957642,-0.9227449893951416,-0.8711762428283691,-0.8749722838401794,-0.8049190044403076,-0.9422839879989624,-0.7398471236228943,-0.8859918117523193,-0.8302503824234009,-0.8551749587059021,-0.9904003143310548,-0.9200893640518188,-0.990778923034668,-0.961685061454773,-0.9020413160324096,-0.9602506160736084,-0.9998469352722168,-0.9999873638153076,-0.9751542210578918,-0.9756550192832948,-0.9985758066177368,-0.963209331035614,-0.8983343839645386,-0.9922884702682496,-0.9769837856292723,-0.936840295791626,-0.9273167848587036,-0.9849783182144164,-0.7758594751358032,-0.849624752998352,-0.8846420049667358,-0.965309739112854,-0.9957702159881592,-0.9971538782119752,-0.9888039827346802,-0.7834851741790771,-0.8662405610084534,-0.7379837036132812,-0.7494184970855713,-0.863802433013916,-0.8927928805351257,-0.6874394416809082,-0.6522107124328613,-0.6917086839675903,-0.9161260724067688,-0.6637632846832275,-0.7380251288414001,-0.6403629183769226,-0.9969087839126588,-0.9971746206283568,-0.5887750387191772,-0.8983152508735657,-0.8067241907119751,-0.8143631219863892,-0.793025016784668,-0.8326621055603027,-0.9974007606506348,-0.9932124614715576,-0.9724136590957642,-0.8749722838401794,-0.8049190044403076,-0.9422839879989624,-0.7398471236228943,-0.8859918117523193,-0.8302503824234009,-0.8551749587059021,-0.9904003143310548,-0.9200893640518188
caltech256_object_classification,-0.9896462559700012,-0.955710768699646,-0.903533935546875,-0.9650614261627196,-0.4788476228713989,-0.9998713731765748,-0.9999617338180542,-1.0,-0.9962802529335022,-0.9721726775169371,-0.9985289573669434,,-0.9807119369506836,-0.996171236038208,-0.9988287091255188,-0.9968751668930054,-0.9966351389884948,-0.9084948897361756,-0.9942299723625184,-0.9869590997695924,-0.9358789920806884,-0.9322540163993835,-0.9859449863433838,-0.908190369606018,-0.8965169191360474,-0.9171976447105408,-0.96595561504364,-0.8407125473022461,-0.9922254085540771,-0.8787087202072144,-0.9883089065551758,-0.7000000476837158,-0.9876538515090942,-0.7572471499443054,-0.8597874641418457,-0.7091480493545532,-0.7119911909103394,-0.8599396347999573,-0.8796036243438721,-0.703709602355957,-0.6769707798957825,-0.7066751718521118,-0.9100797772407532,-0.7000442743301392,-0.7447925806045532,-0.6358698606491089,-0.9922589063644408,-0.857638955116272,-0.9957083463668824,-0.6135694980621338,-0.8965663909912109,-0.9803922176361084,-0.9850000143051147,-0.8069483041763306,-0.7564563155174255,-0.8189201354980469,-0.845186710357666,-0.999769926071167,-0.9960011839866638,-0.9771005511283876,-0.8520857095718384,-0.8603209853172302,-0.8745934963226318,-0.8201122283935547,-0.9037809371948242,-0.7483568787574768,-0.8957775831222534,-0.8413270711898804,-0.859657883644104,-0.9963271021842957,-0.916435718536377,-0.9896462559700012,-0.955710768699646,-0.903533935546875,-0.9650614261627196,-0.9999617338180542,-1.0,-0.9721726775169371,-0.9807119369506836,-0.9988287091255188,-0.9966351389884948,-0.9084948897361756,-0.9942299723625184,-0.9869590997695924,-0.9358789920806884,-0.9322540163993835,-0.9859449863433838,-0.908190369606018,-0.8965169191360474,-0.9171976447105408,-0.96595561504364,-0.9922254085540771,-0.9883089065551758,-0.9876538515090942,-0.7572471499443054,-0.8597874641418457,-0.7091480493545532,-0.7119911909103394,-0.8599396347999573,-0.8796036243438721,-0.703709602355957,-0.6769707798957825,-0.7066751718521118,-0.9100797772407532,-0.7000442743301392,-0.7447925806045532,-0.6358698606491089,-0.9922589063644408,-0.9957083463668824,-0.6135694980621338,-0.8965663909912109,-0.8069483041763306,-0.7564563155174255,-0.8189201354980469,-0.845186710357666,-0.999769926071167,-0.9960011839866638,-0.9771005511283876,-0.8745934963226318,-0.8201122283935547,-0.9037809371948242,-0.7483568787574768,-0.8957775831222534,-0.8413270711898804,-0.859657883644104,-0.9963271021842957,-0.916435718536377
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9896396398544312,-0.8092950582504272,-0.994372010231018,-0.8357142210006714,-0.9893403053283693,,,,,,,,,,,,,,-0.9976547956466676,-0.5347222685813904,-0.9959331750869752,-0.4318194985389709,-0.8636838793754578,-0.9594473838806152,-0.9769642949104308,-0.8162413835525513,-0.7947021126747131,-0.8213993906974792,-0.7967910170555115,-0.9859287738800048,-0.984567165374756,-0.985581398010254,-0.9234427213668824,-0.859138011932373,-0.8565266132354736,-0.8183126449584961,-0.9022839069366456,-0.7249786853790283,-0.8825551271438599,-0.8369390964508057,-0.8513469099998474,-0.998196542263031,-0.9178377389907836,,,,,,,,,,,,,,,,,,,,,-0.9896396398544312,-0.994372010231018,-0.9893403053283693,,,,,,,,,,,,,,-0.9976547956466676,-0.9959331750869752,-0.4318194985389709,-0.8636838793754578,-0.8162413835525513,-0.7947021126747131,-0.8213993906974792,-0.7967910170555115,-0.9859287738800048,-0.984567165374756,-0.985581398010254,-0.8565266132354736,-0.8183126449584961,-0.9022839069366456,-0.7249786853790283,-0.8825551271438599,-0.8369390964508057,-0.8513469099998474,-0.998196542263031,-0.9178377389907836
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9927991628646852,-0.3503510653972626,-0.9904096126556396,-0.7428570985794067,-0.9869341850280762,,,,,,,,,,,,,,-0.9957302808761596,-0.5720486640930176,-0.992109715938568,-0.7240110635757446,-0.9003955721855164,-0.9466354846954346,-0.9755357503890992,-0.7941034436225891,-0.7425248026847839,-0.7540264129638672,-0.858568549156189,-0.9972233772277832,-0.9968388080596924,-0.9793376922607422,-0.936608076095581,-0.8533341884613037,-0.8659354448318481,-0.815764844417572,-0.9082716107368468,-0.7294880151748657,-0.8890734910964966,-0.8342170715332031,-0.5,-0.9976471662521362,-0.905476987361908,,,,,,,,,,,,,,,,,,,,,-0.9927991628646852,-0.9904096126556396,-0.9869341850280762,,,,,,,,,,,,,,-0.9957302808761596,-0.992109715938568,-0.7240110635757446,-0.9003955721855164,-0.7941034436225891,-0.7425248026847839,-0.7540264129638672,-0.858568549156189,-0.9972233772277832,-0.9968388080596924,-0.9793376922607422,-0.8659354448318481,-0.815764844417572,-0.9082716107368468,-0.7294880151748657,-0.8890734910964966,-0.8342170715332031,-0.5,-0.9976471662521362,-0.905476987361908
