s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9791666865348816,-0.5714285969734192,-0.9720169305801392,-0.8321428298950195,-0.9530075788497924,-0.716693639755249,-0.7731704711914062,-0.5422101616859436,-0.6023664474487305,-0.7631024122238159,-0.8122538328170776,-0.643998384475708,-0.5219645500183105,-0.597838819026947,-0.8396660089492798,-0.5589649677276611,-0.6191551089286804,-0.5129178166389465,-0.983662247657776,-0.3958333432674408,-0.9802863597869872,-0.5202778577804565,-0.6159639358520508,-0.8885917663574219,-0.9321428537368774,-0.7300689220428467,-0.396414041519165,-0.3868335485458374,-0.4663580358028412,-0.9846974611282348,-0.894245982170105,-0.7792854309082031,-0.8185855150222778,-0.6857143044471741,-0.8156607151031494,-0.7499210834503174,-0.8708333373069763,-0.682361364364624,-0.8217270374298096,-0.7571494579315186,-0.7965875864028931,-0.9660255908966064,,,,,,,,,,,,,,,,,,,,,,-0.9791666865348816,-0.9720169305801392,-0.9530075788497924,-0.716693639755249,-0.7731704711914062,-0.5422101616859436,-0.6023664474487305,-0.7631024122238159,-0.8122538328170776,-0.643998384475708,-0.5219645500183105,-0.597838819026947,-0.8396660089492798,-0.5589649677276611,-0.6191551089286804,-0.5129178166389465,-0.983662247657776,-0.9802863597869872,-0.5202778577804565,-0.6159639358520508,-0.7300689220428467,-0.396414041519165,-0.3868335485458374,-0.4663580358028412,-0.9846974611282348,-0.894245982170105,-0.7792854309082031,-0.8156607151031494,-0.7499210834503174,-0.8708333373069763,-0.682361364364624,-0.8217270374298096,-0.7571494579315186,-0.7965875864028931,-0.9660255908966064,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9847222566604614,,-0.9857267141342164,-0.8321428298950195,-0.9411277770996094,-0.7154365181922913,-0.7840014696121216,-0.5560593008995056,-0.5325949192047119,-0.5004823803901672,-0.8131595849990845,-0.6267561316490173,-0.5358037948608398,-0.6249107718467712,-0.8224318027496338,-0.58952796459198,-0.6386086344718933,-0.5003425478935242,-0.9790791273117064,-0.6666666865348816,-0.983957290649414,-0.5371310710906982,-0.6762576103210449,-0.888146162033081,-0.939285695552826,-0.7531379461288452,-0.4901813864707947,-0.4792364835739136,-0.4341821074485779,-0.989002764225006,-0.9125729203224182,-0.6631290912628174,-0.8643800020217896,-0.6964285373687744,-0.7987911701202393,-0.7199941277503967,-0.8365740776062012,-0.6757517457008362,-0.8222595453262329,-0.748714804649353,-0.7923077344894409,-0.9703545570373536,-0.6361151933670044,,,,,,,,,,,,,,,,,,,,,-0.9847222566604614,-0.9857267141342164,-0.9411277770996094,-0.7154365181922913,-0.7840014696121216,-0.5560593008995056,-0.5325949192047119,-0.5004823803901672,-0.8131595849990845,-0.6267561316490173,-0.5358037948608398,-0.6249107718467712,-0.8224318027496338,-0.58952796459198,-0.6386086344718933,-0.5003425478935242,-0.9790791273117064,-0.983957290649414,-0.5371310710906982,-0.6762576103210449,-0.7531379461288452,-0.4901813864707947,-0.4792364835739136,-0.4341821074485779,-0.989002764225006,-0.9125729203224182,-0.6631290912628174,-0.7987911701202393,-0.7199941277503967,-0.8365740776062012,-0.6757517457008362,-0.8222595453262329,-0.748714804649353,-0.7923077344894409,-0.9703545570373536,-0.6361151933670044
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9791666865348816,-0.5714285969734192,-0.9720169305801392,-0.8321428298950195,-0.9530075788497924,-0.716693639755249,-0.7731704711914062,-0.5422101616859436,-0.6023664474487305,-0.7631024122238159,-0.8122538328170776,-0.643998384475708,-0.5219645500183105,-0.597838819026947,-0.8396660089492798,-0.5589649677276611,-0.6191551089286804,-0.5129178166389465,-0.983662247657776,-0.3958333432674408,-0.9802863597869872,-0.5202778577804565,-0.6159639358520508,-0.8885917663574219,-0.9321428537368774,-0.7300689220428467,-0.396414041519165,-0.3868335485458374,-0.4663580358028412,-0.9846974611282348,-0.894245982170105,-0.7792854309082031,-0.8185855150222778,-0.6857143044471741,-0.8156607151031494,-0.7499210834503174,-0.8708333373069763,-0.682361364364624,-0.8217270374298096,-0.7571494579315186,-0.7965875864028931,,-0.6269605159759521,,,,,,,,,,,,,,,,,,,,,-0.9791666865348816,-0.9720169305801392,-0.9530075788497924,-0.716693639755249,-0.7731704711914062,-0.5422101616859436,-0.6023664474487305,-0.7631024122238159,-0.8122538328170776,-0.643998384475708,-0.5219645500183105,-0.597838819026947,-0.8396660089492798,-0.5589649677276611,-0.6191551089286804,-0.5129178166389465,-0.983662247657776,-0.9802863597869872,-0.5202778577804565,-0.6159639358520508,-0.7300689220428467,-0.396414041519165,-0.3868335485458374,-0.4663580358028412,-0.9846974611282348,-0.894245982170105,-0.7792854309082031,-0.8156607151031494,-0.7499210834503174,-0.8708333373069763,-0.682361364364624,-0.8217270374298096,-0.7571494579315186,-0.7965875864028931,,-0.6269605159759521
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9763888716697692,-0.8611111640930176,,-0.9285714626312256,-0.9425400495529176,-0.7142846584320068,-0.7742559313774109,-0.5492884516716003,-0.6320225596427917,-0.769883394241333,-0.8207885026931763,-0.6455889344215393,-0.5272291898727417,-0.6223779916763306,-0.8302960395812988,-0.5532912015914917,-0.6093192100524902,-0.5107187628746033,-0.9818103909492492,-0.7083333730697632,-0.983957290649414,-0.5404000878334045,-0.6366839408874512,-0.8959447145462036,-0.9330357313156128,-0.7291378974914551,-0.4253191947937011,-0.4264207482337951,-0.4699074327945709,-0.9852941036224364,-0.8815160393714905,-0.7585181593894958,-0.8188894987106323,-0.7202380895614624,-0.8002323508262634,-0.740729808807373,-0.8722221851348877,-0.7060942053794861,-0.8131272792816162,-0.5,-0.7950312495231628,-0.9744102954864502,-0.5990161895751953,,,,,,,,,,,,,,,,,,,,,-0.9763888716697692,,-0.9425400495529176,-0.7142846584320068,-0.7742559313774109,-0.5492884516716003,-0.6320225596427917,-0.769883394241333,-0.8207885026931763,-0.6455889344215393,-0.5272291898727417,-0.6223779916763306,-0.8302960395812988,-0.5532912015914917,-0.6093192100524902,-0.5107187628746033,-0.9818103909492492,-0.983957290649414,-0.5404000878334045,-0.6366839408874512,-0.7291378974914551,-0.4253191947937011,-0.4264207482337951,-0.4699074327945709,-0.9852941036224364,-0.8815160393714905,-0.7585181593894958,-0.8002323508262634,-0.740729808807373,-0.8722221851348877,-0.7060942053794861,-0.8131272792816162,-0.5,-0.7950312495231628,-0.9744102954864502,-0.5990161895751953
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9791666865348816,-0.5714285969734192,-0.9720169305801392,-0.8321428298950195,,-0.716693639755249,-0.7731704711914062,-0.5422101616859436,-0.6023664474487305,-0.7631024122238159,-0.8122538328170776,-0.643998384475708,-0.5219645500183105,-0.597838819026947,-0.8396660089492798,-0.5589649677276611,-0.6191551089286804,-0.5129178166389465,-0.983662247657776,-0.3958333432674408,-0.9802863597869872,-0.5202778577804565,-0.6159639358520508,-0.8885917663574219,-0.9321428537368774,-0.7300689220428467,-0.396414041519165,-0.3868335485458374,-0.4663580358028412,-0.9846974611282348,-0.894245982170105,-0.7792854309082031,-0.8185855150222778,-0.6857143044471741,-0.8156607151031494,-0.7499210834503174,-0.8708333373069763,-0.682361364364624,-0.8217270374298096,-0.7571494579315186,-0.7965875864028931,-0.9660255908966064,-0.6269605159759521,,,,,,,,,,,,,,,,,,,,,-0.9791666865348816,-0.9720169305801392,,-0.716693639755249,-0.7731704711914062,-0.5422101616859436,-0.6023664474487305,-0.7631024122238159,-0.8122538328170776,-0.643998384475708,-0.5219645500183105,-0.597838819026947,-0.8396660089492798,-0.5589649677276611,-0.6191551089286804,-0.5129178166389465,-0.983662247657776,-0.9802863597869872,-0.5202778577804565,-0.6159639358520508,-0.7300689220428467,-0.396414041519165,-0.3868335485458374,-0.4663580358028412,-0.9846974611282348,-0.894245982170105,-0.7792854309082031,-0.8156607151031494,-0.7499210834503174,-0.8708333373069763,-0.682361364364624,-0.8217270374298096,-0.7571494579315186,-0.7965875864028931,-0.9660255908966064,-0.6269605159759521
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9847222566604614,-0.8611111640930176,-0.9857267141342164,-0.8321428298950195,-0.9411277770996094,-0.7154365181922913,-0.7840014696121216,-0.5560593008995056,-0.5325949192047119,-0.5004823803901672,-0.8131595849990845,-0.6267561316490173,-0.5358037948608398,-0.6249107718467712,-0.8224318027496338,-0.58952796459198,-0.6386086344718933,-0.5003425478935242,-0.9790791273117064,-0.6666666865348816,-0.983957290649414,-0.5371310710906982,-0.6762576103210449,-0.888146162033081,-0.939285695552826,-0.7531379461288452,-0.4901813864707947,-0.4792364835739136,-0.4341821074485779,-0.989002764225006,-0.9125729203224182,-0.6631290912628174,,-0.6964285373687744,-0.7987911701202393,-0.7199941277503967,-0.8365740776062012,-0.6757517457008362,-0.8222595453262329,-0.748714804649353,-0.7923077344894409,-0.9703545570373536,-0.6361151933670044,,,,,,,,,,,,,,,,,,,,,-0.9847222566604614,-0.9857267141342164,-0.9411277770996094,-0.7154365181922913,-0.7840014696121216,-0.5560593008995056,-0.5325949192047119,-0.5004823803901672,-0.8131595849990845,-0.6267561316490173,-0.5358037948608398,-0.6249107718467712,-0.8224318027496338,-0.58952796459198,-0.6386086344718933,-0.5003425478935242,-0.9790791273117064,-0.983957290649414,-0.5371310710906982,-0.6762576103210449,-0.7531379461288452,-0.4901813864707947,-0.4792364835739136,-0.4341821074485779,-0.989002764225006,-0.9125729203224182,-0.6631290912628174,-0.7987911701202393,-0.7199941277503967,-0.8365740776062012,-0.6757517457008362,-0.8222595453262329,-0.748714804649353,-0.7923077344894409,-0.9703545570373536,-0.6361151933670044
caltech101_object_classification,-0.8953713774681091,-0.7148943543434143,-0.7297999858856201,-0.8647357821464539,-0.1624999940395355,-0.9861111044883728,-0.992424249649048,-0.9974359273910522,-0.8166866302490234,-0.7846121788024902,,-0.8230459690093994,-0.8347000479698181,-0.8252999782562256,-0.9577028155326844,-0.8695921897888184,-0.8284841775894165,-0.3822637498378753,-0.9600355625152588,-0.952284038066864,-0.8635468482971191,-0.8750619888305664,-0.9461700916290284,-0.731493353843689,-0.756898045539856,-0.6591346859931946,-0.8592697978019714,-0.4707885384559631,-0.9763888716697692,-0.8611111640930176,-0.967922568321228,-0.9285714626312256,-0.9425400495529176,-0.7142846584320068,-0.7742559313774109,-0.5492884516716003,-0.6320225596427917,-0.769883394241333,-0.8207885026931763,-0.6455889344215393,-0.5272291898727417,-0.6223779916763306,-0.8302960395812988,-0.5532912015914917,-0.6093192100524902,-0.5107187628746033,-0.9818103909492492,-0.7083333730697632,-0.983957290649414,-0.5404000878334045,-0.6366839408874512,-0.8959447145462036,-0.9330357313156128,-0.7291378974914551,-0.4253191947937011,-0.4264207482337951,-0.4699074327945709,-0.9852941036224364,-0.8815160393714905,-0.7585181593894958,-0.8188894987106323,-0.7202380895614624,-0.8002323508262634,-0.740729808807373,-0.8722221851348877,-0.7060942053794861,-0.8131272792816162,-0.5,-0.7950312495231628,-0.9744102954864502,-0.5990161895751953,-0.8953713774681091,-0.7148943543434143,-0.7297999858856201,-0.8647357821464539,-0.992424249649048,-0.9974359273910522,-0.7846121788024902,-0.8347000479698181,-0.9577028155326844,-0.8284841775894165,-0.3822637498378753,-0.9600355625152588,-0.952284038066864,-0.8635468482971191,-0.8750619888305664,-0.9461700916290284,-0.731493353843689,-0.756898045539856,-0.6591346859931946,-0.8592697978019714,-0.9763888716697692,-0.967922568321228,-0.9425400495529176,-0.7142846584320068,-0.7742559313774109,-0.5492884516716003,-0.6320225596427917,-0.769883394241333,-0.8207885026931763,-0.6455889344215393,-0.5272291898727417,-0.6223779916763306,-0.8302960395812988,-0.5532912015914917,-0.6093192100524902,-0.5107187628746033,-0.9818103909492492,-0.983957290649414,-0.5404000878334045,-0.6366839408874512,-0.7291378974914551,-0.4253191947937011,-0.4264207482337951,-0.4699074327945709,-0.9852941036224364,-0.8815160393714905,-0.7585181593894958,-0.8002323508262634,-0.740729808807373,-0.8722221851348877,-0.7060942053794861,-0.8131272792816162,-0.5,-0.7950312495231628,-0.9744102954864502,-0.5990161895751953
caltech256_object_classification,-0.8953713774681091,-0.7148943543434143,-0.7297999858856201,-0.8647357821464539,-0.1624999940395355,-0.9861111044883728,-0.992424249649048,-0.9974359273910522,-0.8166866302490234,-0.7846121788024902,-0.8884366154670715,,-0.8347000479698181,-0.8252999782562256,-0.9577028155326844,-0.8695921897888184,-0.8284841775894165,-0.3822637498378753,-0.9600355625152588,-0.952284038066864,-0.8635468482971191,-0.8750619888305664,-0.9461700916290284,-0.731493353843689,-0.756898045539856,-0.6591346859931946,-0.8592697978019714,-0.4707885384559631,-0.979722261428833,-0.6246032118797302,-0.9771063923835754,-0.4749999940395355,-0.9488515853881836,-0.7100251913070679,-0.7503340244293213,-0.5507088899612427,-0.5863614082336426,-0.7439135909080505,-0.8038731813430786,-0.6172362565994263,-0.5151197910308838,-0.5894246101379395,-0.805608868598938,-0.5575354695320129,-0.5949249267578125,-0.5059882402420044,-0.979236364364624,-0.3333333432674408,-0.9849953651428224,-0.5564044117927551,-0.6208884716033936,-0.9327094554901124,-0.9455356597900392,-0.7423793077468872,-0.4215032160282135,-0.3882652819156647,-0.4590277671813965,-0.9846974611282348,-0.9277284741401672,-0.7586082816123962,-0.7550325393676758,-0.5928571224212646,-0.8075153231620789,-0.7472413778305054,-0.8314814567565918,-0.677068293094635,-0.8217270374298096,-0.7610818147659302,-0.7959625124931335,-0.982903242111206,-0.6029492020606995,-0.8953713774681091,-0.7148943543434143,-0.7297999858856201,-0.8647357821464539,-0.992424249649048,-0.9974359273910522,-0.7846121788024902,-0.8347000479698181,-0.9577028155326844,-0.8284841775894165,-0.3822637498378753,-0.9600355625152588,-0.952284038066864,-0.8635468482971191,-0.8750619888305664,-0.9461700916290284,-0.731493353843689,-0.756898045539856,-0.6591346859931946,-0.8592697978019714,-0.979722261428833,-0.9771063923835754,-0.9488515853881836,-0.7100251913070679,-0.7503340244293213,-0.5507088899612427,-0.5863614082336426,-0.7439135909080505,-0.8038731813430786,-0.6172362565994263,-0.5151197910308838,-0.5894246101379395,-0.805608868598938,-0.5575354695320129,-0.5949249267578125,-0.5059882402420044,-0.979236364364624,-0.9849953651428224,-0.5564044117927551,-0.6208884716033936,-0.7423793077468872,-0.4215032160282135,-0.3882652819156647,-0.4590277671813965,-0.9846974611282348,-0.9277284741401672,-0.7586082816123962,-0.8075153231620789,-0.7472413778305054,-0.8314814567565918,-0.677068293094635,-0.8217270374298096,-0.7610818147659302,-0.7959625124931335,-0.982903242111206,-0.6029492020606995
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9847222566604614,-0.8611111640930176,-0.9857267141342164,-0.8321428298950195,-0.9411277770996094,,,,,,,,,,,,,,-0.9790791273117064,-0.6666666865348816,-0.983957290649414,-0.5371310710906982,-0.6762576103210449,-0.888146162033081,-0.939285695552826,-0.7531379461288452,-0.4901813864707947,-0.4792364835739136,-0.4341821074485779,-0.989002764225006,-0.9125729203224182,-0.6631290912628174,-0.8643800020217896,-0.6964285373687744,-0.7987911701202393,-0.7199941277503967,-0.8365740776062012,-0.6757517457008362,-0.8222595453262329,-0.748714804649353,-0.7923077344894409,-0.9703545570373536,-0.6361151933670044,,,,,,,,,,,,,,,,,,,,,-0.9847222566604614,-0.9857267141342164,-0.9411277770996094,,,,,,,,,,,,,,-0.9790791273117064,-0.983957290649414,-0.5371310710906982,-0.6762576103210449,-0.7531379461288452,-0.4901813864707947,-0.4792364835739136,-0.4341821074485779,-0.989002764225006,-0.9125729203224182,-0.6631290912628174,-0.7987911701202393,-0.7199941277503967,-0.8365740776062012,-0.6757517457008362,-0.8222595453262329,-0.748714804649353,-0.7923077344894409,-0.9703545570373536,-0.6361151933670044
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9766666889190674,-0.4944444894790649,-0.9693313837051392,-0.6000000238418579,-0.9417544603347778,,,,,,,,,,,,,,-0.9811668395996094,-0.5625,-0.9691132307052612,-0.5348812341690063,-0.6270298957824707,-0.9030748605728148,-0.9455356597900392,-0.7433103322982788,-0.4242332577705383,-0.4811770021915436,-0.4421296417713165,-0.9803921580314636,-0.9229692816734314,-0.7911978960037231,-0.8514870405197144,-0.7160714864730835,-0.802646279335022,-0.7514828443527222,-0.8412036895751953,-0.6675830483436584,-0.8292458653450012,-0.7504324316978455,-0.8001594543457031,-0.9574785232543944,-0.6218544840812683,,,,,,,,,,,,,,,,,,,,,-0.9766666889190674,-0.9693313837051392,-0.9417544603347778,,,,,,,,,,,,,,-0.9811668395996094,-0.9691132307052612,-0.5348812341690063,-0.6270298957824707,-0.7433103322982788,-0.4242332577705383,-0.4811770021915436,-0.4421296417713165,-0.9803921580314636,-0.9229692816734314,-0.7911978960037231,-0.802646279335022,-0.7514828443527222,-0.8412036895751953,-0.6675830483436584,-0.8292458653450012,-0.7504324316978455,-0.8001594543457031,-0.9574785232543944,-0.6218544840812683
