s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9813889265060424,-0.6936508417129517,-0.9737824201583862,-0.6821428537368774,-0.9530624747276306,-0.7187782526016235,-0.7790684103965759,-0.5719204545021057,-0.6297670602798462,-0.7580000162124634,-0.8097184896469116,-0.6390964984893799,-0.524315595626831,-0.5986558198928833,-0.8461832404136658,-0.533410906791687,-0.6232725381851196,-0.5154786109924316,-0.9756113290786744,-0.3125,-0.984834849834442,-0.5337915420532227,-0.6560441255569458,-0.9171122908592224,-0.9285714030265808,-0.7436206936836243,-0.5293915867805481,-0.4323997795581817,-0.4872685074806213,-0.983660101890564,-0.9086744785308838,-0.784247100353241,-0.8235723972320557,-0.7208333015441895,-0.8060198426246643,-0.733217716217041,-0.8606481552124023,-0.6889709830284119,-0.8270999193191528,-0.765163779258728,-0.7965046167373657,-0.9659714698791504,,,,,,,,,,,,,,,,,,,,,,-0.9813889265060424,-0.9737824201583862,-0.9530624747276306,-0.7187782526016235,-0.7790684103965759,-0.5719204545021057,-0.6297670602798462,-0.7580000162124634,-0.8097184896469116,-0.6390964984893799,-0.524315595626831,-0.5986558198928833,-0.8461832404136658,-0.533410906791687,-0.6232725381851196,-0.5154786109924316,-0.9756113290786744,-0.984834849834442,-0.5337915420532227,-0.6560441255569458,-0.7436206936836243,-0.5293915867805481,-0.4323997795581817,-0.4872685074806213,-0.983660101890564,-0.9086744785308838,-0.784247100353241,-0.8060198426246643,-0.733217716217041,-0.8606481552124023,-0.6889709830284119,-0.8270999193191528,-0.765163779258728,-0.7965046167373657,-0.9659714698791504,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9752777814865112,,-0.9723736047744752,-0.8071428537368774,-0.933475375175476,-0.7020906209945679,-0.7773348093032837,-0.5945997834205627,-0.5999331474304199,-0.7547366619110107,-0.8225125670433044,-0.6203938126564026,-0.5305465459823608,-0.6155200004577637,-0.8161630630493164,-0.5589760541915894,-0.6291844844818115,-0.5035213828086853,-0.9805233478546144,-0.7291666865348816,-0.9858729839324952,-0.5367492437362671,-0.6457463502883911,-0.8734402656555176,-0.9142856597900392,-0.7454482316970825,-0.5080217719078064,-0.433642029762268,-0.4774691462516784,-0.9814294576644896,-0.9243634939193726,-0.6957134008407593,-0.7923433184623718,-0.6505952477455139,-0.8053438067436218,-0.7305123805999756,-0.8629629611968994,-0.6792432069778442,-0.823872983455658,-0.7723051309585571,-0.5,-0.9617520570755004,-0.6120936870574951,,,,,,,,,,,,,,,,,,,,,-0.9752777814865112,-0.9723736047744752,-0.933475375175476,-0.7020906209945679,-0.7773348093032837,-0.5945997834205627,-0.5999331474304199,-0.7547366619110107,-0.8225125670433044,-0.6203938126564026,-0.5305465459823608,-0.6155200004577637,-0.8161630630493164,-0.5589760541915894,-0.6291844844818115,-0.5035213828086853,-0.9805233478546144,-0.9858729839324952,-0.5367492437362671,-0.6457463502883911,-0.7454482316970825,-0.5080217719078064,-0.433642029762268,-0.4774691462516784,-0.9814294576644896,-0.9243634939193726,-0.6957134008407593,-0.8053438067436218,-0.7305123805999756,-0.8629629611968994,-0.6792432069778442,-0.823872983455658,-0.7723051309585571,-0.5,-0.9617520570755004,-0.6120936870574951
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9808332920074464,-0.3523809611797333,-0.9756227135658264,-0.625,-0.9452673196792604,-0.6998990178108215,-0.7706341743469238,-0.5666174292564392,-0.5851297378540039,-0.7681746482849121,-0.8164987564086914,-0.6551501750946045,-0.5155764818191528,-0.608873188495636,-0.8239905834197998,-0.5682181119918823,-0.6159255504608154,-0.5068511366844177,-0.9809309244155884,-0.5833333730697632,-0.9802863597869872,-0.5265676975250244,-0.6372209787368774,-0.8727718591690063,-0.9330357313156128,-0.720827579498291,-0.5613486170768738,-0.4312265813350677,-0.4702160656452179,-0.9846974611282348,-0.9268991351127625,-0.7842482924461365,-0.7906708717346191,-0.6958333253860474,-0.8105063438415527,-0.736119270324707,-0.8430555462837219,-0.6889315843582153,-0.8249540328979492,-0.7651879787445068,-0.791606068611145,,-0.5827698707580566,,,,,,,,,,,,,,,,,,,,,-0.9808332920074464,-0.9756227135658264,-0.9452673196792604,-0.6998990178108215,-0.7706341743469238,-0.5666174292564392,-0.5851297378540039,-0.7681746482849121,-0.8164987564086914,-0.6551501750946045,-0.5155764818191528,-0.608873188495636,-0.8239905834197998,-0.5682181119918823,-0.6159255504608154,-0.5068511366844177,-0.9809309244155884,-0.9802863597869872,-0.5265676975250244,-0.6372209787368774,-0.720827579498291,-0.5613486170768738,-0.4312265813350677,-0.4702160656452179,-0.9846974611282348,-0.9268991351127625,-0.7842482924461365,-0.8105063438415527,-0.736119270324707,-0.8430555462837219,-0.6889315843582153,-0.8249540328979492,-0.7651879787445068,-0.791606068611145,,-0.5827698707580566
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9769444465637208,-0.3444444537162781,,-0.6535714268684387,-0.931628406047821,-0.7109912633895874,-0.7710545063018799,-0.5565088987350464,-0.6165465712547302,-0.7625808119773865,-0.8112367391586304,-0.6448261737823486,-0.5224961638450623,-0.6057412624359131,-0.8257082104682922,-0.5774379372596741,-0.6280261278152466,-0.50487220287323,-0.9759402275085448,-0.3750000298023224,-0.5,-0.5066012144088745,-0.653373122215271,-0.8957219123840332,-0.912500023841858,-0.7368276119232178,-0.4384351670742035,-0.4652864336967468,-0.4246914088726043,-0.989002764225006,-0.9209746718406676,-0.7144906520843506,-0.7832512855529785,-0.6553571224212646,-0.787466824054718,-0.741578996181488,-0.8472222089767456,-0.6909427046775818,-0.8174352645874023,-0.7353535890579224,-0.7765276432037354,-0.9789029955863952,-0.5906468629837036,,,,,,,,,,,,,,,,,,,,,-0.9769444465637208,,-0.931628406047821,-0.7109912633895874,-0.7710545063018799,-0.5565088987350464,-0.6165465712547302,-0.7625808119773865,-0.8112367391586304,-0.6448261737823486,-0.5224961638450623,-0.6057412624359131,-0.8257082104682922,-0.5774379372596741,-0.6280261278152466,-0.50487220287323,-0.9759402275085448,-0.5,-0.5066012144088745,-0.653373122215271,-0.7368276119232178,-0.4384351670742035,-0.4652864336967468,-0.4246914088726043,-0.989002764225006,-0.9209746718406676,-0.7144906520843506,-0.787466824054718,-0.741578996181488,-0.8472222089767456,-0.6909427046775818,-0.8174352645874023,-0.7353535890579224,-0.7765276432037354,-0.9789029955863952,-0.5906468629837036
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9769444465637208,-0.3444444537162781,-0.9714534282684326,-0.6535714268684387,,-0.7109912633895874,-0.7710545063018799,-0.5565088987350464,-0.6165465712547302,-0.7625808119773865,-0.8112367391586304,-0.6448261737823486,-0.5224961638450623,-0.6057412624359131,-0.8257082104682922,-0.5774379372596741,-0.6280261278152466,-0.50487220287323,-0.9759402275085448,-0.3750000298023224,-0.5,-0.5066012144088745,-0.653373122215271,-0.8957219123840332,-0.912500023841858,-0.7368276119232178,-0.4384351670742035,-0.4652864336967468,-0.4246914088726043,-0.989002764225006,-0.9209746718406676,-0.7144906520843506,-0.7832512855529785,-0.6553571224212646,-0.787466824054718,-0.741578996181488,-0.8472222089767456,-0.6909427046775818,-0.8174352645874023,-0.7353535890579224,-0.7765276432037354,-0.9789029955863952,-0.5906468629837036,,,,,,,,,,,,,,,,,,,,,-0.9769444465637208,-0.9714534282684326,,-0.7109912633895874,-0.7710545063018799,-0.5565088987350464,-0.6165465712547302,-0.7625808119773865,-0.8112367391586304,-0.6448261737823486,-0.5224961638450623,-0.6057412624359131,-0.8257082104682922,-0.5774379372596741,-0.6280261278152466,-0.50487220287323,-0.9759402275085448,-0.5,-0.5066012144088745,-0.653373122215271,-0.7368276119232178,-0.4384351670742035,-0.4652864336967468,-0.4246914088726043,-0.989002764225006,-0.9209746718406676,-0.7144906520843506,-0.787466824054718,-0.741578996181488,-0.8472222089767456,-0.6909427046775818,-0.8174352645874023,-0.7353535890579224,-0.7765276432037354,-0.9789029955863952,-0.5906468629837036
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.975833296775818,-0.8515872955322266,-0.9708150625228882,-0.9035714268684388,-0.9531116485595704,-0.719506025314331,-0.7748384475708008,-0.5392271876335144,-0.5884584188461304,-0.7530772686004639,-0.828514575958252,-0.6373758316040039,-0.5304716229438782,-0.6275455355644226,-0.791762113571167,-0.5660793781280518,-0.6085417866706848,-0.5041848421096802,-0.9861575961112976,-0.7291667461395264,-0.9825606346130372,-0.528980553150177,-0.5867418050765991,-0.917557954788208,-0.9401785731315612,-0.7340689897537231,-0.4742545783519745,-0.5221569538116455,-0.4982253313064575,-0.9879654049873352,-0.8994459509849548,-0.7658489942550659,,-0.7369047999382019,-0.7967664003372192,-0.7415213584899902,-0.85787034034729,-0.6601876616477966,-0.8217270374298096,-0.7545628547668457,-0.8021878004074097,-0.9616425037384032,-0.6191763877868652,,,,,,,,,,,,,,,,,,,,,-0.975833296775818,-0.9708150625228882,-0.9531116485595704,-0.719506025314331,-0.7748384475708008,-0.5392271876335144,-0.5884584188461304,-0.7530772686004639,-0.828514575958252,-0.6373758316040039,-0.5304716229438782,-0.6275455355644226,-0.791762113571167,-0.5660793781280518,-0.6085417866706848,-0.5041848421096802,-0.9861575961112976,-0.9825606346130372,-0.528980553150177,-0.5867418050765991,-0.7340689897537231,-0.4742545783519745,-0.5221569538116455,-0.4982253313064575,-0.9879654049873352,-0.8994459509849548,-0.7658489942550659,-0.7967664003372192,-0.7415213584899902,-0.85787034034729,-0.6601876616477966,-0.8217270374298096,-0.7545628547668457,-0.8021878004074097,-0.9616425037384032,-0.6191763877868652
caltech101_object_classification,-0.9083065390586852,-0.7544270157814026,-0.7157942056655884,-0.8727389574050903,-0.741815447807312,-0.9861111044883728,-0.9848484992980956,-0.9990741014480592,-0.7817341089248657,-0.7802016735076904,,-0.7784044742584229,-0.8327000141143799,-0.8141000270843506,-0.9692203402519226,-0.8694591522216797,-0.8305938243865967,-0.4324486851692199,-0.9356786012649536,-0.9424468278884888,-0.8625826835632324,-0.8271896243095398,-0.941354274749756,-0.6403857469558716,-0.7342885732650757,-0.6926834583282471,-0.856920063495636,-0.3930107653141022,-0.9752777814865112,-0.8515872955322266,-0.9723736047744752,-0.8071428537368774,-0.933475375175476,-0.7020906209945679,-0.7773348093032837,-0.5945997834205627,-0.5999331474304199,-0.7547366619110107,-0.8225125670433044,-0.6203938126564026,-0.5305465459823608,-0.6155200004577637,-0.8161630630493164,-0.5589760541915894,-0.6291844844818115,-0.5035213828086853,-0.9805233478546144,-0.7291666865348816,-0.9858729839324952,-0.5367492437362671,-0.6457463502883911,-0.8734402656555176,-0.9142856597900392,-0.7454482316970825,-0.5080217719078064,-0.433642029762268,-0.4774691462516784,-0.9814294576644896,-0.9243634939193726,-0.6957134008407593,-0.7923433184623718,-0.6505952477455139,-0.8053438067436218,-0.7305123805999756,-0.8629629611968994,-0.6792432069778442,-0.823872983455658,-0.7723051309585571,-0.5,-0.9617520570755004,-0.6120936870574951,-0.9083065390586852,-0.7544270157814026,-0.7157942056655884,-0.8727389574050903,-0.9848484992980956,-0.9990741014480592,-0.7802016735076904,-0.8327000141143799,-0.9692203402519226,-0.8305938243865967,-0.4324486851692199,-0.9356786012649536,-0.9424468278884888,-0.8625826835632324,-0.8271896243095398,-0.941354274749756,-0.6403857469558716,-0.7342885732650757,-0.6926834583282471,-0.856920063495636,-0.9752777814865112,-0.9723736047744752,-0.933475375175476,-0.7020906209945679,-0.7773348093032837,-0.5945997834205627,-0.5999331474304199,-0.7547366619110107,-0.8225125670433044,-0.6203938126564026,-0.5305465459823608,-0.6155200004577637,-0.8161630630493164,-0.5589760541915894,-0.6291844844818115,-0.5035213828086853,-0.9805233478546144,-0.9858729839324952,-0.5367492437362671,-0.6457463502883911,-0.7454482316970825,-0.5080217719078064,-0.433642029762268,-0.4774691462516784,-0.9814294576644896,-0.9243634939193726,-0.6957134008407593,-0.8053438067436218,-0.7305123805999756,-0.8629629611968994,-0.6792432069778442,-0.823872983455658,-0.7723051309585571,-0.5,-0.9617520570755004,-0.6120936870574951
caltech256_object_classification,-0.919423758983612,-0.7261202931404114,-0.7302893996238708,-0.875944972038269,-0.1875,-0.9791666269302368,-0.9810606241226196,-0.9956908822059632,-0.805518388748169,-0.7913108468055725,-0.8721423745155334,,-0.8315000534057617,-0.8222999572753906,-0.9567935466766356,-0.8646276593208313,-0.8256620168685913,-0.3799365758895874,-0.962934136390686,-0.9497964382171632,-0.8567605018615723,-0.8517649173736572,-0.9409878849983216,-0.6625605821609497,-0.7080178260803223,-0.7126004099845886,-0.8309524059295654,-0.4670251011848449,-0.9827778339385986,-0.4714285731315613,-0.9726553559303284,-0.4892857074737549,-0.9553000330924988,-0.701791524887085,-0.7604503035545349,-0.5379015803337097,-0.6175854802131653,-0.7695931196212769,-0.8138047456741333,-0.6219488978385925,-0.5350548624992371,-0.6048785448074341,-0.8206637501716614,-0.5611037015914917,-0.6019876003265381,-0.5122166872024536,-0.9758615493774414,-0.2916666865348816,-0.9797673225402832,-0.5264120697975159,-0.6342648267745972,-0.9028520584106444,-0.9589285850524902,-0.7377586364746094,-0.5332908630371094,-0.3649833798408508,-0.4894290566444397,-0.9748935103416444,-0.9422123432159424,-0.8020663261413574,-0.8246974945068359,-0.6148809194564819,-0.8052976131439209,-0.7495562434196472,-0.8365740776062012,-0.6647468209266663,-0.8330052495002747,-0.7615789175033569,-0.7697665691375732,-0.978739321231842,-0.6234059929847717,-0.919423758983612,-0.7261202931404114,-0.7302893996238708,-0.875944972038269,-0.9810606241226196,-0.9956908822059632,-0.7913108468055725,-0.8315000534057617,-0.9567935466766356,-0.8256620168685913,-0.3799365758895874,-0.962934136390686,-0.9497964382171632,-0.8567605018615723,-0.8517649173736572,-0.9409878849983216,-0.6625605821609497,-0.7080178260803223,-0.7126004099845886,-0.8309524059295654,-0.9827778339385986,-0.9726553559303284,-0.9553000330924988,-0.701791524887085,-0.7604503035545349,-0.5379015803337097,-0.6175854802131653,-0.7695931196212769,-0.8138047456741333,-0.6219488978385925,-0.5350548624992371,-0.6048785448074341,-0.8206637501716614,-0.5611037015914917,-0.6019876003265381,-0.5122166872024536,-0.9758615493774414,-0.9797673225402832,-0.5264120697975159,-0.6342648267745972,-0.7377586364746094,-0.5332908630371094,-0.3649833798408508,-0.4894290566444397,-0.9748935103416444,-0.9422123432159424,-0.8020663261413574,-0.8052976131439209,-0.7495562434196472,-0.8365740776062012,-0.6647468209266663,-0.8330052495002747,-0.7615789175033569,-0.7697665691375732,-0.978739321231842,-0.6234059929847717
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9808332920074464,-0.3523809611797333,-0.9756227135658264,-0.625,-0.9452673196792604,,,,,,,,,,,,,,-0.9809309244155884,-0.5833333730697632,-0.9802863597869872,-0.5265676975250244,-0.6372209787368774,-0.8727718591690063,-0.9330357313156128,-0.720827579498291,-0.5613486170768738,-0.4312265813350677,-0.4702160656452179,-0.9846974611282348,-0.9268991351127625,-0.7842482924461365,-0.7906708717346191,-0.6958333253860474,-0.8105063438415527,-0.736119270324707,-0.8430555462837219,-0.6889315843582153,-0.8249540328979492,-0.7651879787445068,-0.791606068611145,-0.9746835827827454,-0.5827698707580566,,,,,,,,,,,,,,,,,,,,,-0.9808332920074464,-0.9756227135658264,-0.9452673196792604,,,,,,,,,,,,,,-0.9809309244155884,-0.9802863597869872,-0.5265676975250244,-0.6372209787368774,-0.720827579498291,-0.5613486170768738,-0.4312265813350677,-0.4702160656452179,-0.9846974611282348,-0.9268991351127625,-0.7842482924461365,-0.8105063438415527,-0.736119270324707,-0.8430555462837219,-0.6889315843582153,-0.8249540328979492,-0.7651879787445068,-0.791606068611145,-0.9746835827827454,-0.5827698707580566
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9813889265060424,-0.6936508417129517,-0.9737824201583862,-0.6821428537368774,-0.9530624747276306,,,,,,,,,,,,,,-0.9756113290786744,-0.3125,-0.984834849834442,-0.5337915420532227,-0.6560441255569458,-0.9171122908592224,-0.9285714030265808,-0.7436206936836243,-0.5293915867805481,-0.4323997795581817,-0.4872685074806213,-0.983660101890564,-0.9086744785308838,-0.784247100353241,-0.8235723972320557,-0.7208333015441895,-0.8060198426246643,-0.733217716217041,-0.8606481552124023,-0.6889709830284119,-0.8270999193191528,-0.765163779258728,-0.7965046167373657,-0.9659714698791504,-0.6148691177368164,,,,,,,,,,,,,,,,,,,,,-0.9813889265060424,-0.9737824201583862,-0.9530624747276306,,,,,,,,,,,,,,-0.9756113290786744,-0.984834849834442,-0.5337915420532227,-0.6560441255569458,-0.7436206936836243,-0.5293915867805481,-0.4323997795581817,-0.4872685074806213,-0.983660101890564,-0.9086744785308838,-0.784247100353241,-0.8060198426246643,-0.733217716217041,-0.8606481552124023,-0.6889709830284119,-0.8270999193191528,-0.765163779258728,-0.7965046167373657,-0.9659714698791504,-0.6148691177368164
