s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9788888692855836,-0.5134920477867126,-0.9764679670333862,-0.5071429014205933,-0.944277286529541,-0.7134943604469299,-0.7695087194442749,-0.5824074149131775,-0.5895465612411499,-0.7570344805717468,-0.8014762997627258,-0.6239297389984131,-0.5295729041099548,-0.6130087375640869,-0.8314473032951355,-0.5717641711235046,-0.6278985142707825,-0.5124747157096863,-0.9767410159111024,-0.5,-0.982041597366333,-0.5393103957176208,-0.5785388946533203,-0.8729946613311768,-0.8991071581840515,-0.7396206855773926,-0.4727374315261841,-0.4192791283130646,-0.4523920118808746,-0.9863314628601074,-0.9214743971824646,-0.7777400016784668,-0.8411786556243896,-0.7196428775787354,-0.7892014384269714,-0.7437658309936523,-0.8282407522201538,-0.6798195838928223,-0.8153054714202881,-0.7520975470542908,-0.7811965942382812,-0.9617520570755004,,,,,,,,,,,,,,,,,,,,,,-0.9788888692855836,-0.9764679670333862,-0.944277286529541,-0.7134943604469299,-0.7695087194442749,-0.5824074149131775,-0.5895465612411499,-0.7570344805717468,-0.8014762997627258,-0.6239297389984131,-0.5295729041099548,-0.6130087375640869,-0.8314473032951355,-0.5717641711235046,-0.6278985142707825,-0.5124747157096863,-0.9767410159111024,-0.982041597366333,-0.5393103957176208,-0.5785388946533203,-0.7396206855773926,-0.4727374315261841,-0.4192791283130646,-0.4523920118808746,-0.9863314628601074,-0.9214743971824646,-0.7777400016784668,-0.7892014384269714,-0.7437658309936523,-0.8282407522201538,-0.6798195838928223,-0.8153054714202881,-0.7520975470542908,-0.7811965942382812,-0.9617520570755004,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.977222204208374,,-0.9637532234191896,-0.9035714268684388,-0.948972225189209,-0.6943413019180298,-0.7582300901412964,-0.5963038206100464,-0.6397531032562256,-0.7579166889190674,-0.8134946227073669,-0.6404742002487183,-0.5179804563522339,-0.6037527918815613,-0.8160279989242554,-0.5383643507957458,-0.6149546504020691,-0.5146734714508057,-0.9829400777816772,-0.7083333730697632,-0.9665179252624512,-0.5092402100563049,-0.708771824836731,-0.9249109029769896,-0.931249976158142,-0.7122068405151367,-0.4779636561870575,-0.4653272032737732,-0.4481481611728668,-0.9900400638580322,-0.8781816959381104,-0.7459579110145569,-0.8150581121444702,-0.7488095760345459,-0.8101667165756226,-0.7505910396575928,-0.8060184717178345,-0.6841692924499512,-0.8372970819473267,-0.7610050439834595,-0.781438946723938,-0.9701367616653442,-0.6171743869781494,,,,,,,,,,,,,,,,,,,,,-0.977222204208374,-0.9637532234191896,-0.948972225189209,-0.6943413019180298,-0.7582300901412964,-0.5963038206100464,-0.6397531032562256,-0.7579166889190674,-0.8134946227073669,-0.6404742002487183,-0.5179804563522339,-0.6037527918815613,-0.8160279989242554,-0.5383643507957458,-0.6149546504020691,-0.5146734714508057,-0.9829400777816772,-0.9665179252624512,-0.5092402100563049,-0.708771824836731,-0.7122068405151367,-0.4779636561870575,-0.4653272032737732,-0.4481481611728668,-0.9900400638580322,-0.8781816959381104,-0.7459579110145569,-0.8101667165756226,-0.7505910396575928,-0.8060184717178345,-0.6841692924499512,-0.8372970819473267,-0.7610050439834595,-0.781438946723938,-0.9701367616653442,-0.6171743869781494
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9780555963516236,-0.5698412656784058,-0.9693313837051392,-0.7964285612106323,-0.948906421661377,-0.7048726081848145,-0.7503343820571899,-0.5546626448631287,-0.6159382462501526,-0.7376375198364258,-0.8153885006904602,-0.6231374144554138,-0.5095556378364563,-0.6039504408836365,-0.836123526096344,-0.5802748203277588,-0.6004850268363953,-0.5085421204566956,-0.984791934490204,-0.4583333432674408,-0.9774930477142334,-0.5155373811721802,-0.6312215328216553,-0.8888146281242371,-0.933928608894348,-0.7248275876045227,-0.4888006448745727,-0.4561264812946319,-0.4781635999679565,-0.9846974611282348,-0.9134875535964966,-0.7624944448471069,-0.8079730272293091,-0.7166666388511658,-0.8144059181213379,-0.7373311519622803,-0.8583333492279053,-0.7078232765197754,-0.8115298748016357,-0.765236496925354,-0.7964280843734741,,-0.6079392433166504,,,,,,,,,,,,,,,,,,,,,-0.9780555963516236,-0.9693313837051392,-0.948906421661377,-0.7048726081848145,-0.7503343820571899,-0.5546626448631287,-0.6159382462501526,-0.7376375198364258,-0.8153885006904602,-0.6231374144554138,-0.5095556378364563,-0.6039504408836365,-0.836123526096344,-0.5802748203277588,-0.6004850268363953,-0.5085421204566956,-0.984791934490204,-0.9774930477142334,-0.5155373811721802,-0.6312215328216553,-0.7248275876045227,-0.4888006448745727,-0.4561264812946319,-0.4781635999679565,-0.9846974611282348,-0.9134875535964966,-0.7624944448471069,-0.8144059181213379,-0.7373311519622803,-0.8583333492279053,-0.7078232765197754,-0.8115298748016357,-0.765236496925354,-0.7964280843734741,,-0.6079392433166504
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9780555963516236,-0.5698412656784058,,-0.7964285612106323,-0.948906421661377,-0.7048726081848145,-0.7503343820571899,-0.5546626448631287,-0.6159382462501526,-0.7376375198364258,-0.8153885006904602,-0.6231374144554138,-0.5095556378364563,-0.6039504408836365,-0.836123526096344,-0.5802748203277588,-0.6004850268363953,-0.5085421204566956,-0.984791934490204,-0.4583333432674408,-0.9774930477142334,-0.5155373811721802,-0.6312215328216553,-0.8888146281242371,-0.933928608894348,-0.7248275876045227,-0.4888006448745727,-0.4561264812946319,-0.4781635999679565,-0.9846974611282348,-0.9134875535964966,-0.7624944448471069,-0.8079730272293091,-0.7166666388511658,-0.8144059181213379,-0.7373311519622803,-0.8583333492279053,-0.7078232765197754,-0.8115298748016357,-0.765236496925354,-0.7964280843734741,-0.9700826406478882,-0.6079392433166504,,,,,,,,,,,,,,,,,,,,,-0.9780555963516236,,-0.948906421661377,-0.7048726081848145,-0.7503343820571899,-0.5546626448631287,-0.6159382462501526,-0.7376375198364258,-0.8153885006904602,-0.6231374144554138,-0.5095556378364563,-0.6039504408836365,-0.836123526096344,-0.5802748203277588,-0.6004850268363953,-0.5085421204566956,-0.984791934490204,-0.9774930477142334,-0.5155373811721802,-0.6312215328216553,-0.7248275876045227,-0.4888006448745727,-0.4561264812946319,-0.4781635999679565,-0.9846974611282348,-0.9134875535964966,-0.7624944448471069,-0.8144059181213379,-0.7373311519622803,-0.8583333492279053,-0.7078232765197754,-0.8115298748016357,-0.765236496925354,-0.7964280843734741,-0.9700826406478882,-0.6079392433166504
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.977222204208374,-0.888888955116272,-0.9637532234191896,-0.9035714268684388,,-0.6943413019180298,-0.7582300901412964,-0.5963038206100464,-0.6397531032562256,-0.7579166889190674,-0.8134946227073669,-0.6404742002487183,-0.5179804563522339,-0.6037527918815613,-0.8160279989242554,-0.5383643507957458,-0.6149546504020691,-0.5146734714508057,-0.9829400777816772,-0.7083333730697632,-0.9665179252624512,-0.5092402100563049,-0.708771824836731,-0.9249109029769896,-0.931249976158142,-0.7122068405151367,-0.4779636561870575,-0.4653272032737732,-0.4481481611728668,-0.9900400638580322,-0.8781816959381104,-0.7459579110145569,-0.8150581121444702,-0.7488095760345459,-0.8101667165756226,-0.7505910396575928,-0.8060184717178345,-0.6841692924499512,-0.8372970819473267,-0.7610050439834595,-0.781438946723938,-0.9701367616653442,-0.6171743869781494,,,,,,,,,,,,,,,,,,,,,-0.977222204208374,-0.9637532234191896,,-0.6943413019180298,-0.7582300901412964,-0.5963038206100464,-0.6397531032562256,-0.7579166889190674,-0.8134946227073669,-0.6404742002487183,-0.5179804563522339,-0.6037527918815613,-0.8160279989242554,-0.5383643507957458,-0.6149546504020691,-0.5146734714508057,-0.9829400777816772,-0.9665179252624512,-0.5092402100563049,-0.708771824836731,-0.7122068405151367,-0.4779636561870575,-0.4653272032737732,-0.4481481611728668,-0.9900400638580322,-0.8781816959381104,-0.7459579110145569,-0.8101667165756226,-0.7505910396575928,-0.8060184717178345,-0.6841692924499512,-0.8372970819473267,-0.7610050439834595,-0.781438946723938,-0.9701367616653442,-0.6171743869781494
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9816666841506958,-0.4555555582046509,-0.9647305011749268,-0.75,-0.9336016178131104,-0.7139184474945068,-0.7786210775375366,-0.5613620281219482,-0.6165958046913147,-0.7479013204574585,-0.8132408261299133,-0.6375532150268555,-0.5413753390312195,-0.6154943704605103,-0.8318105936050415,-0.5618129372596741,-0.6199539303779602,-0.5104825496673584,-0.9779493808746338,-0.4166666865348816,-0.983957290649414,-0.5455223917961121,-0.628005862236023,-0.8954991102218628,-0.9035714268684388,-0.7146896719932556,-0.4945109784603119,-0.4379553496837616,-0.4178240895271301,-0.991830050945282,-0.9264513254165648,-0.8003380298614502,,-0.6827380657196045,-0.807422935962677,-0.7277132272720337,-0.8453704118728638,-0.670124888420105,-0.8330052495002747,-0.7685707807540894,-0.791223406791687,-0.9745739698410034,-0.5926722288131714,,,,,,,,,,,,,,,,,,,,,-0.9816666841506958,-0.9647305011749268,-0.9336016178131104,-0.7139184474945068,-0.7786210775375366,-0.5613620281219482,-0.6165958046913147,-0.7479013204574585,-0.8132408261299133,-0.6375532150268555,-0.5413753390312195,-0.6154943704605103,-0.8318105936050415,-0.5618129372596741,-0.6199539303779602,-0.5104825496673584,-0.9779493808746338,-0.983957290649414,-0.5455223917961121,-0.628005862236023,-0.7146896719932556,-0.4945109784603119,-0.4379553496837616,-0.4178240895271301,-0.991830050945282,-0.9264513254165648,-0.8003380298614502,-0.807422935962677,-0.7277132272720337,-0.8453704118728638,-0.670124888420105,-0.8330052495002747,-0.7685707807540894,-0.791223406791687,-0.9745739698410034,-0.5926722288131714
caltech101_object_classification,-0.9071881771087646,-0.7323873043060303,-0.7404531240463257,-0.8721645474433899,-0.3043155074119568,-0.9791666269302368,-0.25,-0.998717963695526,-0.8019682168960571,-0.8031476736068726,,-0.8205026388168335,-0.8273000121116638,-0.8284000158309937,-0.9553413987159728,-0.8667552471160889,-0.8220809698104858,-0.3322512507438659,-0.9469094276428224,-0.9447836875915528,-0.8663554191589355,-0.8825709819793701,-0.939401924610138,-0.6528467535972595,-0.7136709690093994,-0.7510133385658264,-0.8673691749572754,-0.4133512675762176,-0.9816666841506958,-0.4555555582046509,-0.9647305011749268,-0.75,-0.9336016178131104,-0.7139184474945068,-0.7786210775375366,-0.5613620281219482,-0.6165958046913147,-0.7479013204574585,-0.8132408261299133,-0.6375532150268555,-0.5413753390312195,-0.6154943704605103,-0.8318105936050415,-0.5618129372596741,-0.6199539303779602,-0.5104825496673584,-0.9779493808746338,-0.4166666865348816,-0.983957290649414,-0.5455223917961121,-0.628005862236023,-0.8954991102218628,-0.9035714268684388,-0.7146896719932556,-0.4945109784603119,-0.4379553496837616,-0.4178240895271301,-0.991830050945282,-0.9264513254165648,-0.8003380298614502,-0.856747567653656,-0.6827380657196045,-0.807422935962677,-0.7277132272720337,-0.8453704118728638,-0.670124888420105,-0.8330052495002747,-0.7685707807540894,-0.791223406791687,-0.9745739698410034,-0.5926722288131714,-0.9071881771087646,-0.7323873043060303,-0.7404531240463257,-0.8721645474433899,-0.25,-0.998717963695526,-0.8031476736068726,-0.8273000121116638,-0.9553413987159728,-0.8220809698104858,-0.3322512507438659,-0.9469094276428224,-0.9447836875915528,-0.8663554191589355,-0.8825709819793701,-0.939401924610138,-0.6528467535972595,-0.7136709690093994,-0.7510133385658264,-0.8673691749572754,-0.9816666841506958,-0.9647305011749268,-0.9336016178131104,-0.7139184474945068,-0.7786210775375366,-0.5613620281219482,-0.6165958046913147,-0.7479013204574585,-0.8132408261299133,-0.6375532150268555,-0.5413753390312195,-0.6154943704605103,-0.8318105936050415,-0.5618129372596741,-0.6199539303779602,-0.5104825496673584,-0.9779493808746338,-0.983957290649414,-0.5455223917961121,-0.628005862236023,-0.7146896719932556,-0.4945109784603119,-0.4379553496837616,-0.4178240895271301,-0.991830050945282,-0.9264513254165648,-0.8003380298614502,-0.807422935962677,-0.7277132272720337,-0.8453704118728638,-0.670124888420105,-0.8330052495002747,-0.7685707807540894,-0.791223406791687,-0.9745739698410034,-0.5926722288131714
caltech256_object_classification,-0.9071881771087646,-0.7323873043060303,-0.7404531240463257,-0.8721645474433899,-0.3043155074119568,-0.9791666269302368,-0.25,-0.998717963695526,-0.8019682168960571,-0.8031476736068726,-0.8913812637329102,,-0.8273000121116638,-0.8284000158309937,-0.9553413987159728,-0.8667552471160889,-0.8220809698104858,-0.3322512507438659,-0.9469094276428224,-0.9447836875915528,-0.8663554191589355,-0.8825709819793701,-0.939401924610138,-0.6528467535972595,-0.7136709690093994,-0.7510133385658264,-0.8673691749572754,-0.4133512675762176,-0.9752777814865112,-0.5341269969940186,-0.9491982460021972,-0.3678571581840515,-0.9274339079856871,-0.7187701463699341,-0.745851993560791,-0.5604623556137085,-0.5652669668197632,-0.73951256275177,-0.8023664951324463,-0.6271700859069824,-0.5203844308853149,-0.5961976051330566,-0.8025381565093994,-0.5717531442642212,-0.6002161502838135,-0.5046736598014832,-0.5,-0.6666666865348816,-0.9724255800247192,-0.5242400169372559,-0.5570788979530334,-0.9102050065994264,-0.9794642925262452,-0.71434485912323,-0.4800024628639221,-0.3417422771453857,-0.4883487820625305,-0.9869281053543092,-0.892064094543457,-0.7552973031997681,-0.7703582048416138,-0.5922619104385376,-0.7976386547088623,-0.7641879320144653,-0.8393518328666687,-0.6682382225990295,-0.8303269147872925,-0.7484399676322937,-0.7846919298171997,-0.9533687829971312,-0.6293493509292603,-0.9071881771087646,-0.7323873043060303,-0.7404531240463257,-0.8721645474433899,-0.25,-0.998717963695526,-0.8031476736068726,-0.8273000121116638,-0.9553413987159728,-0.8220809698104858,-0.3322512507438659,-0.9469094276428224,-0.9447836875915528,-0.8663554191589355,-0.8825709819793701,-0.939401924610138,-0.6528467535972595,-0.7136709690093994,-0.7510133385658264,-0.8673691749572754,-0.9752777814865112,-0.9491982460021972,-0.9274339079856871,-0.7187701463699341,-0.745851993560791,-0.5604623556137085,-0.5652669668197632,-0.73951256275177,-0.8023664951324463,-0.6271700859069824,-0.5203844308853149,-0.5961976051330566,-0.8025381565093994,-0.5717531442642212,-0.6002161502838135,-0.5046736598014832,-0.5,-0.9724255800247192,-0.5242400169372559,-0.5570788979530334,-0.71434485912323,-0.4800024628639221,-0.3417422771453857,-0.4883487820625305,-0.9869281053543092,-0.892064094543457,-0.7552973031997681,-0.7976386547088623,-0.7641879320144653,-0.8393518328666687,-0.6682382225990295,-0.8303269147872925,-0.7484399676322937,-0.7846919298171997,-0.9533687829971312,-0.6293493509292603
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9802777767181396,-0.5055556297302246,-0.96784770488739,-0.574999988079071,-0.9518420696258544,,,,,,,,,,,,,,-0.9830187559127808,-0.2708333134651184,-0.9825606346130372,-0.5630834102630615,-0.6540875434875488,-0.9102050065994264,-0.954464316368103,-0.7408275604248047,-0.5025805234909058,-0.4333691000938415,-0.4627315104007721,-0.9814294576644896,-0.9056142568588256,-0.7822179794311523,-0.8316608667373657,-0.6440476179122925,-0.8135370016098022,-0.7380266189575195,-0.8393518328666687,-0.6663058996200562,-0.8389105796813965,-0.7806872129440308,-0.7879576683044434,-0.9659714698791504,-0.5969615578651428,,,,,,,,,,,,,,,,,,,,,-0.9802777767181396,-0.96784770488739,-0.9518420696258544,,,,,,,,,,,,,,-0.9830187559127808,-0.9825606346130372,-0.5630834102630615,-0.6540875434875488,-0.7408275604248047,-0.5025805234909058,-0.4333691000938415,-0.4627315104007721,-0.9814294576644896,-0.9056142568588256,-0.7822179794311523,-0.8135370016098022,-0.7380266189575195,-0.8393518328666687,-0.6663058996200562,-0.8389105796813965,-0.7806872129440308,-0.7879576683044434,-0.9659714698791504,-0.5969615578651428
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9802777767181396,-0.5055556297302246,-0.96784770488739,-0.574999988079071,-0.9518420696258544,,,,,,,,,,,,,,-0.9830187559127808,-0.2708333134651184,-0.9825606346130372,-0.5630834102630615,-0.6540875434875488,-0.9102050065994264,-0.954464316368103,-0.7408275604248047,-0.5025805234909058,-0.4333691000938415,-0.4627315104007721,-0.9814294576644896,-0.9056142568588256,-0.7822179794311523,-0.8316608667373657,-0.6440476179122925,-0.8135370016098022,-0.7380266189575195,-0.8393518328666687,-0.6663058996200562,-0.8389105796813965,-0.7806872129440308,-0.7879576683044434,-0.9659714698791504,-0.5969615578651428,,,,,,,,,,,,,,,,,,,,,-0.9802777767181396,-0.96784770488739,-0.9518420696258544,,,,,,,,,,,,,,-0.9830187559127808,-0.9825606346130372,-0.5630834102630615,-0.6540875434875488,-0.7408275604248047,-0.5025805234909058,-0.4333691000938415,-0.4627315104007721,-0.9814294576644896,-0.9056142568588256,-0.7822179794311523,-0.8135370016098022,-0.7380266189575195,-0.8393518328666687,-0.6663058996200562,-0.8389105796813965,-0.7806872129440308,-0.7879576683044434,-0.9659714698791504,-0.5969615578651428
