s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9738888740539552,-0.7103174924850464,-0.97053325176239,-0.8071428537368774,-0.9499458074569702,-0.6993945837020874,-0.7610987424850464,-0.5681328177452087,-0.6020944118499756,-0.7488934397697449,-0.8002327680587769,-0.6249467730522156,-0.5414575934410095,-0.5881791114807129,-0.8130391836166382,-0.5426307916641235,-0.6231449842453003,-0.5071675181388855,-0.981653094291687,-0.3333333432674408,-0.9844763278961182,-0.5221385359764099,-0.5925452709197998,-0.8883689641952515,-0.891964316368103,-0.7371379137039185,-0.4449862241744995,-0.386601448059082,-0.4533179402351379,-0.9781614542007446,-0.8790088891983032,-0.742938756942749,-0.8329380750656128,-0.6202380657196045,-0.7845779657363892,-0.7063353061676025,-0.8370370864868164,-0.6586285829544067,-0.8131433725357056,-0.7354020476341248,-0.7825232744216919,-0.9490952491760254,,,,,,,,,,,,,,,,,,,,,,-0.9738888740539552,-0.97053325176239,-0.9499458074569702,-0.6993945837020874,-0.7610987424850464,-0.5681328177452087,-0.6020944118499756,-0.7488934397697449,-0.8002327680587769,-0.6249467730522156,-0.5414575934410095,-0.5881791114807129,-0.8130391836166382,-0.5426307916641235,-0.6231449842453003,-0.5071675181388855,-0.981653094291687,-0.9844763278961182,-0.5221385359764099,-0.5925452709197998,-0.7371379137039185,-0.4449862241744995,-0.386601448059082,-0.4533179402351379,-0.9781614542007446,-0.8790088891983032,-0.742938756942749,-0.7845779657363892,-0.7063353061676025,-0.8370370864868164,-0.6586285829544067,-0.8131433725357056,-0.7354020476341248,-0.7825232744216919,-0.9490952491760254,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9755555391311646,,-0.9502503871917723,-0.8535714149475098,-0.9325181245803832,-0.7148353457450867,-0.7458922863006592,-0.558734118938446,-0.5995175838470459,-0.7337789535522461,-0.8139212727546692,-0.6290149092674255,-0.5192610025405884,-0.595064640045166,-0.8146156072616577,-0.5490248203277588,-0.6175848841667175,-0.5117302536964417,-0.9760189056396484,-0.3125,-0.9731426239013672,-0.5344142317771912,-0.616547703742981,-0.9104278087615968,-0.9258928298950196,-0.7146896719932556,-0.455093115568161,-0.4059846997261047,-0.4552469551563263,-0.9863314628601074,-0.8628413081169128,-0.6808887124061584,-0.8606094121932983,-0.6827381253242493,-0.7840454578399658,-0.7222535014152527,-0.8203703761100769,-0.6481212377548218,-0.8142082691192627,-0.7530432939529419,-0.7684526443481445,-0.9744658470153807,-0.5591892004013062,,,,,,,,,,,,,,,,,,,,,-0.9755555391311646,-0.9502503871917723,-0.9325181245803832,-0.7148353457450867,-0.7458922863006592,-0.558734118938446,-0.5995175838470459,-0.7337789535522461,-0.8139212727546692,-0.6290149092674255,-0.5192610025405884,-0.595064640045166,-0.8146156072616577,-0.5490248203277588,-0.6175848841667175,-0.5117302536964417,-0.9760189056396484,-0.9731426239013672,-0.5344142317771912,-0.616547703742981,-0.7146896719932556,-0.455093115568161,-0.4059846997261047,-0.4552469551563263,-0.9863314628601074,-0.8628413081169128,-0.6808887124061584,-0.7840454578399658,-0.7222535014152527,-0.8203703761100769,-0.6481212377548218,-0.8142082691192627,-0.7530432939529419,-0.7684526443481445,-0.9744658470153807,-0.5591892004013062
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9741666316986084,-0.7563492059707642,-0.9626084566116332,-0.7464286088943481,-0.952848494052887,-0.695313036441803,-0.761468768119812,-0.5503067374229431,-0.6012633442878723,-0.7560172080993652,-0.8235344290733337,-0.6379138827323914,-0.5142284035682678,-0.6087831258773804,-0.8301723003387451,-0.5532912015914917,-0.6104913949966431,-0.5139645934104919,-0.9782639741897584,-0.2916666865348816,-0.9755773544311525,-0.5421050786972046,-0.5946705341339111,-0.8660873174667358,-0.8812500238418579,-0.7546896934509277,-0.4437195062637329,-0.429055780172348,-0.447685182094574,-0.9895994067192078,-0.8838353157043457,-0.7460154294967651,-0.7676519751548767,-0.6142857074737549,-0.7747985124588013,-0.7219548225402832,-0.8180555701255798,-0.6466470956802368,-0.8362321853637695,-0.7547366619110107,-0.7826763391494751,,-0.5801751017570496,,,,,,,,,,,,,,,,,,,,,-0.9741666316986084,-0.9626084566116332,-0.952848494052887,-0.695313036441803,-0.761468768119812,-0.5503067374229431,-0.6012633442878723,-0.7560172080993652,-0.8235344290733337,-0.6379138827323914,-0.5142284035682678,-0.6087831258773804,-0.8301723003387451,-0.5532912015914917,-0.6104913949966431,-0.5139645934104919,-0.9782639741897584,-0.9755773544311525,-0.5421050786972046,-0.5946705341339111,-0.7546896934509277,-0.4437195062637329,-0.429055780172348,-0.447685182094574,-0.9895994067192078,-0.8838353157043457,-0.7460154294967651,-0.7747985124588013,-0.7219548225402832,-0.8180555701255798,-0.6466470956802368,-0.8362321853637695,-0.7547366619110107,-0.7826763391494751,,-0.5801751017570496
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9777777791023254,-0.8515872955322266,,-0.8785713911056519,-0.9483070373535156,-0.7052453756332397,-0.7737273573875427,-0.5719443559646606,-0.583304762840271,-0.746117115020752,-0.8051421642303467,-0.645175039768219,-0.530689001083374,-0.588694155216217,-0.8357515335083008,-0.5333998203277588,-0.6123012900352478,-0.5118233561515808,-0.9835835695266724,-0.6041666865348816,-0.982041597366333,-0.5160043835639954,-0.6513292193412781,-0.8957219123840332,-0.8839285373687744,-0.7153103351593018,-0.4854777455329895,-0.4089742302894592,-0.4577932059764862,-0.9835041165351868,-0.8527150750160217,-0.7224764823913574,-0.7983033061027527,-0.6922619342803955,-0.7851121425628662,-0.7201178669929504,-0.8277777433395386,-0.6685326099395752,-0.7927490472793579,-0.7468758821487427,-0.7825168967247009,-0.9489301443099976,-0.576194703578949,,,,,,,,,,,,,,,,,,,,,-0.9777777791023254,,-0.9483070373535156,-0.7052453756332397,-0.7737273573875427,-0.5719443559646606,-0.583304762840271,-0.746117115020752,-0.8051421642303467,-0.645175039768219,-0.530689001083374,-0.588694155216217,-0.8357515335083008,-0.5333998203277588,-0.6123012900352478,-0.5118233561515808,-0.9835835695266724,-0.982041597366333,-0.5160043835639954,-0.6513292193412781,-0.7153103351593018,-0.4854777455329895,-0.4089742302894592,-0.4577932059764862,-0.9835041165351868,-0.8527150750160217,-0.7224764823913574,-0.7851121425628662,-0.7201178669929504,-0.8277777433395386,-0.6685326099395752,-0.7927490472793579,-0.7468758821487427,-0.7825168967247009,-0.9489301443099976,-0.576194703578949
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.979722261428833,-0.8603174686431885,-0.9567486047744752,-0.9285714626312256,,-0.69920414686203,-0.7634135484695435,-0.5897232294082642,-0.5867769718170166,-0.7370900511741638,-0.8063955307006836,-0.6377483606338501,-0.5458909869194031,-0.612838089466095,-0.8342468738555908,-0.5753102898597717,-0.6214719414710999,-0.506666362285614,-0.974324345588684,-0.4583333432674408,-0.985353946685791,-0.5365157127380371,-0.6098654270172119,-0.902629256248474,-0.9026785492897034,-0.7411724328994751,-0.4505807161331177,-0.4352669715881347,-0.4662037193775177,-0.978602170944214,-0.9123691320419312,-0.7422455549240112,-0.7688074111938477,-0.6464285850524902,-0.7782101631164551,-0.7272288799285889,-0.8245370388031006,-0.6465620994567871,-0.8045597076416016,-0.7372934818267822,-0.7879639863967896,-0.9743548035621644,-0.5561333894729614,,,,,,,,,,,,,,,,,,,,,-0.979722261428833,-0.9567486047744752,,-0.69920414686203,-0.7634135484695435,-0.5897232294082642,-0.5867769718170166,-0.7370900511741638,-0.8063955307006836,-0.6377483606338501,-0.5458909869194031,-0.612838089466095,-0.8342468738555908,-0.5753102898597717,-0.6214719414710999,-0.506666362285614,-0.974324345588684,-0.985353946685791,-0.5365157127380371,-0.6098654270172119,-0.7411724328994751,-0.4505807161331177,-0.4352669715881347,-0.4662037193775177,-0.978602170944214,-0.9123691320419312,-0.7422455549240112,-0.7782101631164551,-0.7272288799285889,-0.8245370388031006,-0.6465620994567871,-0.8045597076416016,-0.7372934818267822,-0.7879639863967896,-0.9743548035621644,-0.5561333894729614
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.975833296775818,-0.6896825432777405,-0.9588707089424132,-0.4821428656578064,-0.8845261335372925,-0.6979594230651855,-0.7655671834945679,-0.585295557975769,-0.5796247720718384,-0.7204251289367676,-0.810884952545166,-0.602850079536438,-0.5581721663475037,-0.598248302936554,-0.8215386867523193,-0.5348293781280518,-0.6101779937744141,-0.5171067118644714,-0.9785928726196288,-0.4375,-0.980644941329956,-0.5536729097366333,-0.5311775207519531,-0.8959447145462036,-0.8455356955528259,-0.6931379437446594,-0.4400959610939026,-0.4344714283943176,-0.4503086805343628,-0.9873687624931335,-0.89406418800354,-0.737678050994873,,-0.6547619104385376,-0.7466112375259399,-0.7087525725364685,-0.7814815044403076,-0.5968096256256104,-0.8115782737731934,-0.7016634941101074,-0.7606072425842285,-0.953096866607666,-0.6055551767349243,,,,,,,,,,,,,,,,,,,,,-0.975833296775818,-0.9588707089424132,-0.8845261335372925,-0.6979594230651855,-0.7655671834945679,-0.585295557975769,-0.5796247720718384,-0.7204251289367676,-0.810884952545166,-0.602850079536438,-0.5581721663475037,-0.598248302936554,-0.8215386867523193,-0.5348293781280518,-0.6101779937744141,-0.5171067118644714,-0.9785928726196288,-0.980644941329956,-0.5536729097366333,-0.5311775207519531,-0.6931379437446594,-0.4400959610939026,-0.4344714283943176,-0.4503086805343628,-0.9873687624931335,-0.89406418800354,-0.737678050994873,-0.7466112375259399,-0.7087525725364685,-0.7814815044403076,-0.5968096256256104,-0.8115782737731934,-0.7016634941101074,-0.7606072425842285,-0.953096866607666,-0.6055551767349243
caltech101_object_classification,-0.9036298394203186,-0.6307578086853027,-0.6751992702484131,-0.8282806873321533,-0.1375000029802322,-0.9791666269302368,-0.9810606241226196,-0.9958333373069764,,-0.775654137134552,,,-0.6597000360488892,,-0.9602491855621338,,-0.8254863023757935,-0.3439751267433166,-0.9614847898483276,-0.9195311069488524,-0.8086833953857422,-0.6556868553161621,-0.901183307170868,-0.623450517654419,-0.5678219795227051,-0.631998598575592,-0.7639572620391846,-0.3550179302692413,-0.9780555963516236,-0.3904761970043182,-0.9454426765441896,-0.5071429014205933,-0.9332230091094972,-0.708620011806488,-0.7422139048576355,-0.581649661064148,-0.5883941650390625,-0.7424631118774414,-0.7947167754173279,-0.6362523436546326,-0.5306214094161987,-0.5839073061943054,-0.796135425567627,-0.5625221729278564,-0.6099014282226562,-0.5084013342857361,-0.9718289971351624,-0.3125,-0.978210151195526,-0.5629982948303223,-0.5806817412376404,-0.8890374302864075,-0.826785683631897,-0.7516206502914429,-0.4304879903793335,-0.403743028640747,-0.4241512417793274,-0.9841008186340332,-0.8536466360092163,-0.7217639088630676,-0.7618439197540283,-0.6702380776405334,-0.7568161487579346,-0.7175021171569824,-0.7907407283782959,-0.6394549012184143,-0.8013327121734619,-0.754239559173584,-0.7445082664489746,-0.931727945804596,-0.5433472990989685,-0.9036298394203186,-0.6307578086853027,-0.6751992702484131,-0.8282806873321533,-0.9810606241226196,-0.9958333373069764,-0.775654137134552,-0.6597000360488892,-0.9602491855621338,-0.8254863023757935,-0.3439751267433166,-0.9614847898483276,-0.9195311069488524,-0.8086833953857422,-0.6556868553161621,-0.901183307170868,-0.623450517654419,-0.5678219795227051,-0.631998598575592,-0.7639572620391846,-0.9780555963516236,-0.9454426765441896,-0.9332230091094972,-0.708620011806488,-0.7422139048576355,-0.581649661064148,-0.5883941650390625,-0.7424631118774414,-0.7947167754173279,-0.6362523436546326,-0.5306214094161987,-0.5839073061943054,-0.796135425567627,-0.5625221729278564,-0.6099014282226562,-0.5084013342857361,-0.9718289971351624,-0.978210151195526,-0.5629982948303223,-0.5806817412376404,-0.7516206502914429,-0.4304879903793335,-0.403743028640747,-0.4241512417793274,-0.9841008186340332,-0.8536466360092163,-0.7217639088630676,-0.7568161487579346,-0.7175021171569824,-0.7907407283782959,-0.6394549012184143,-0.8013327121734619,-0.754239559173584,-0.7445082664489746,-0.931727945804596,-0.5433472990989685
caltech256_object_classification,-0.9120087623596193,-0.65288907289505,-0.6580541133880615,-0.844438910484314,-0.1156250014901161,-0.9930555820465088,-0.9848484992980956,-0.9956481456756592,,-0.796312153339386,,,-0.7233999967575073,,-0.9651827812194824,,-0.8206866979598999,-0.3942265510559082,-0.9614847898483276,-0.9145560264587402,-0.8333677053451538,-0.6524184942245483,-0.9189190864562988,-0.5742284655570984,-0.6425069570541382,-0.5874970555305481,-0.7657982707023621,-0.4235663115978241,-0.9766666889190674,-0.4158730506896972,-0.9499685764312744,-0.5714285969734192,-0.9411277770996094,-0.6946425437927246,-0.7492755651473999,-0.5517505407333374,-0.5926674604415894,-0.734411358833313,-0.8129842877388,-0.6305818557739258,-0.528127908706665,-0.5872935056686401,-0.8078913688659668,-0.5994570255279541,-0.6061649918556213,-0.505406379699707,-0.975454032421112,-0.2083333432674408,-0.9649606943130492,-0.5318530797958374,-0.5592767000198364,-0.8582887649536133,-0.8767857551574707,-0.7513103485107422,-0.4890587925910949,-0.4156214296817779,-0.4344907402992248,-0.9852941036224364,-0.8728742599487305,-0.7207144498825073,-0.8312351703643799,-0.6142857074737549,-0.7649598717689514,-0.7198618650436401,-0.79537034034729,-0.6461889147758484,-0.8179838061332703,-0.7445358633995056,-0.7732746601104736,-0.9361082315444946,-0.5450613498687744,-0.9120087623596193,-0.65288907289505,-0.6580541133880615,-0.844438910484314,-0.9848484992980956,-0.9956481456756592,-0.796312153339386,-0.7233999967575073,-0.9651827812194824,-0.8206866979598999,-0.3942265510559082,-0.9614847898483276,-0.9145560264587402,-0.8333677053451538,-0.6524184942245483,-0.9189190864562988,-0.5742284655570984,-0.6425069570541382,-0.5874970555305481,-0.7657982707023621,-0.9766666889190674,-0.9499685764312744,-0.9411277770996094,-0.6946425437927246,-0.7492755651473999,-0.5517505407333374,-0.5926674604415894,-0.734411358833313,-0.8129842877388,-0.6305818557739258,-0.528127908706665,-0.5872935056686401,-0.8078913688659668,-0.5994570255279541,-0.6061649918556213,-0.505406379699707,-0.975454032421112,-0.9649606943130492,-0.5318530797958374,-0.5592767000198364,-0.7513103485107422,-0.4890587925910949,-0.4156214296817779,-0.4344907402992248,-0.9852941036224364,-0.8728742599487305,-0.7207144498825073,-0.7649598717689514,-0.7198618650436401,-0.79537034034729,-0.6461889147758484,-0.8179838061332703,-0.7445358633995056,-0.7732746601104736,-0.9361082315444946,-0.5450613498687744
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9791666269302368,-0.7468254566192627,-0.9419118165969848,-0.574999988079071,-0.9265208840370178,,,,,,,,,,,,,,-0.9744816422462464,-0.5625,-0.974539279937744,-0.5290510654449463,-0.5944717526435852,-0.8288769721984863,-0.8848214149475098,-0.7150000333786011,-0.4127587676048279,-0.3759759366512298,-0.4088734686374664,-0.9800801873207092,-0.8391660451889038,-0.7214858531951904,-0.8123518228530884,-0.675000011920929,-0.772869348526001,-0.7187972068786621,-0.831944465637207,-0.6545276045799255,-0.7922004461288452,-0.7530674934387207,-0.765882134437561,-0.9444388747215272,-0.5363999009132385,,,,,,,,,,,,,,,,,,,,,-0.9791666269302368,-0.9419118165969848,-0.9265208840370178,,,,,,,,,,,,,,-0.9744816422462464,-0.974539279937744,-0.5290510654449463,-0.5944717526435852,-0.7150000333786011,-0.4127587676048279,-0.3759759366512298,-0.4088734686374664,-0.9800801873207092,-0.8391660451889038,-0.7214858531951904,-0.772869348526001,-0.7187972068786621,-0.831944465637207,-0.6545276045799255,-0.7922004461288452,-0.7530674934387207,-0.765882134437561,-0.9444388747215272,-0.5363999009132385
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.977222204208374,-0.694444477558136,-0.965368926525116,-0.6785714626312256,-0.9212871789932252,,,,,,,,,,,,,,-0.9756113290786744,-0.5,-0.982041597366333,-0.5500293970108032,-0.5713677406311035,-0.9108734130859376,-0.8928571343421936,-0.7660689353942871,-0.479378342628479,-0.3947619199752807,-0.4907407760620117,-0.9841008186340332,-0.8272659778594971,-0.6741044521331787,-0.7300675511360168,-0.6791666746139526,-0.7763848304748535,-0.717197060585022,-0.8231481313705444,-0.6659389734268188,-0.8072380423545837,-0.7415491938591003,-0.7697729468345642,-0.9232848882675172,-0.5628412961959839,,,,,,,,,,,,,,,,,,,,,-0.977222204208374,-0.965368926525116,-0.9212871789932252,,,,,,,,,,,,,,-0.9756113290786744,-0.982041597366333,-0.5500293970108032,-0.5713677406311035,-0.7660689353942871,-0.479378342628479,-0.3947619199752807,-0.4907407760620117,-0.9841008186340332,-0.8272659778594971,-0.6741044521331787,-0.7763848304748535,-0.717197060585022,-0.8231481313705444,-0.6659389734268188,-0.8072380423545837,-0.7415491938591003,-0.7697729468345642,-0.9232848882675172,-0.5628412961959839
