s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9586111307144164,-0.6555556058883667,-0.9362587928771972,-0.6821428537368774,-0.8928216099739075,-0.6806111931800842,-0.7410614490509033,-0.5483179092407227,-0.5229259133338928,-0.7286444306373596,-0.7920436859130859,-0.6191225051879883,-0.5324189066886902,-0.5689926743507385,-0.5904330015182495,-0.5355385541915894,-0.527001142501831,-0.5057420134544373,-0.9636207818984984,-0.4166666865348816,-0.9698302745819092,-0.532935380935669,-0.5930196046829224,-0.9106506109237672,-0.875,-0.7491379380226135,-0.4609027504920959,-0.3724687993526459,-0.4213734865188598,-0.981714129447937,-0.8074682950973511,-0.6610051393508911,-0.771513819694519,-0.5994047522544861,-0.7742627859115601,-0.7106215357780457,-0.8194444179534912,-0.6585103869438171,-0.8163703680038452,-0.7448592185974121,-0.7426521182060242,-0.9321094155311584,,,,,,,,,,,,,,,,,,,,,,-0.9586111307144164,-0.9362587928771972,-0.8928216099739075,-0.6806111931800842,-0.7410614490509033,-0.5483179092407227,-0.5229259133338928,-0.7286444306373596,-0.7920436859130859,-0.6191225051879883,-0.5324189066886902,-0.5689926743507385,-0.5904330015182495,-0.5355385541915894,-0.527001142501831,-0.5057420134544373,-0.9636207818984984,-0.9698302745819092,-0.532935380935669,-0.5930196046829224,-0.7491379380226135,-0.4609027504920959,-0.3724687993526459,-0.4213734865188598,-0.981714129447937,-0.8074682950973511,-0.6610051393508911,-0.7742627859115601,-0.7106215357780457,-0.8194444179534912,-0.6585103869438171,-0.8163703680038452,-0.7448592185974121,-0.7426521182060242,-0.9321094155311584,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9724999666213988,,-0.9451608657836914,-0.7428570985794067,-0.93947833776474,-0.7041811943054199,-0.7566170692443848,-0.5546151995658875,-0.6111851334571838,-0.7332191467285156,-0.7993488907814026,-0.60771644115448,-0.5380653142929077,-0.5962209701538086,-0.837287425994873,-0.5341090559959412,-0.6332573890686035,-0.5043834447860718,-0.9733662605285645,-0.5416666865348816,-0.9722650051116944,-0.5400887131690979,-0.5777717232704163,-0.8507130146026611,-0.8973214626312256,-0.7291378974914551,-0.4251357614994049,-0.3860963881015777,-0.4760030806064605,-0.9824668169021606,-0.8939185738563538,-0.6500398516654968,-0.7586207389831543,-0.6625000238418579,-0.8065524101257324,-0.7219228148460388,-0.855555534362793,-0.6476629972457886,-0.8276323676109314,-0.7515761852264404,-0.7860186100006104,-0.9660824537277222,-0.5782513618469238,,,,,,,,,,,,,,,,,,,,,-0.9724999666213988,-0.9451608657836914,-0.93947833776474,-0.7041811943054199,-0.7566170692443848,-0.5546151995658875,-0.6111851334571838,-0.7332191467285156,-0.7993488907814026,-0.60771644115448,-0.5380653142929077,-0.5962209701538086,-0.837287425994873,-0.5341090559959412,-0.6332573890686035,-0.5043834447860718,-0.9733662605285645,-0.9722650051116944,-0.5400887131690979,-0.5777717232704163,-0.7291378974914551,-0.4251357614994049,-0.3860963881015777,-0.4760030806064605,-0.9824668169021606,-0.8939185738563538,-0.6500398516654968,-0.8065524101257324,-0.7219228148460388,-0.855555534362793,-0.6476629972457886,-0.8276323676109314,-0.7515761852264404,-0.7860186100006104,-0.9660824537277222,-0.5782513618469238
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9583333730697632,-0.5642857551574707,-0.9285587072372437,-0.7678571343421936,-0.3884786963462829,-0.6879000663757324,-0.749233603477478,-0.5733171105384827,-0.6137319803237915,-0.7555387020111084,-0.7833584547042847,-0.6084851026535034,-0.5434943437576294,-0.5795516967773438,-0.7914373278617859,-0.5561391711235046,-0.4666244685649872,-0.5092703104019165,-0.9670099020004272,-0.4375,-0.9658008813858032,-0.5187212228775024,-0.5681911706924438,-0.7847594022750854,-0.9026785492897034,-0.7060689926147461,-0.4803618490695953,-0.3179766833782196,-0.4546296596527099,-0.978730857372284,-0.8424197435379028,-0.6886550784111023,-0.7988810539245605,-0.5375000238418579,-0.7724308371543884,-0.6864423155784607,-0.7875000238418579,-0.6387997269630432,-0.7830681800842285,-0.7539162635803223,-0.7715588808059692,,-0.5580303072929382,,,,,,,,,,,,,,,,,,,,,-0.9583333730697632,-0.9285587072372437,-0.3884786963462829,-0.6879000663757324,-0.749233603477478,-0.5733171105384827,-0.6137319803237915,-0.7555387020111084,-0.7833584547042847,-0.6084851026535034,-0.5434943437576294,-0.5795516967773438,-0.7914373278617859,-0.5561391711235046,-0.4666244685649872,-0.5092703104019165,-0.9670099020004272,-0.9658008813858032,-0.5187212228775024,-0.5681911706924438,-0.7060689926147461,-0.4803618490695953,-0.3179766833782196,-0.4546296596527099,-0.978730857372284,-0.8424197435379028,-0.6886550784111023,-0.7724308371543884,-0.6864423155784607,-0.7875000238418579,-0.6387997269630432,-0.7830681800842285,-0.7539162635803223,-0.7715588808059692,,-0.5580303072929382
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9713888764381408,-0.326984167098999,,-0.6357142925262451,-0.8766489624977112,-0.468295156955719,-0.7400046586990356,-0.5919950604438782,-0.5072999596595764,-0.7302489876747131,-0.7863158583641052,-0.6202045679092407,-0.528224766254425,-0.5767980813980103,-0.8013056516647339,-0.541223406791687,-0.6085109710693359,-0.5116471648216248,-0.971106767654419,-0.5208333730697632,-0.970707893371582,-0.5476944446563721,-0.5916584730148315,-0.7996880412101746,-0.7705357074737549,-0.7303793430328369,-0.4765085577964782,-0.3978047370910644,-0.4144290387630462,-0.9812735319137572,-0.8913865089416504,-0.7214895486831665,-0.7455756664276123,-0.6410714387893677,-0.7237070798873901,-0.6871890425682068,-0.7143518328666687,-0.6067074537277222,-0.7954435348510742,-0.697816014289856,-0.7089871168136597,-0.9490396976470948,-0.5621591806411743,,,,,,,,,,,,,,,,,,,,,-0.9713888764381408,,-0.8766489624977112,-0.468295156955719,-0.7400046586990356,-0.5919950604438782,-0.5072999596595764,-0.7302489876747131,-0.7863158583641052,-0.6202045679092407,-0.528224766254425,-0.5767980813980103,-0.8013056516647339,-0.541223406791687,-0.6085109710693359,-0.5116471648216248,-0.971106767654419,-0.970707893371582,-0.5476944446563721,-0.5916584730148315,-0.7303793430328369,-0.4765085577964782,-0.3978047370910644,-0.4144290387630462,-0.9812735319137572,-0.8913865089416504,-0.7214895486831665,-0.7237070798873901,-0.6871890425682068,-0.7143518328666687,-0.6067074537277222,-0.7954435348510742,-0.697816014289856,-0.7089871168136597,-0.9490396976470948,-0.5621591806411743
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.964722216129303,-0.5261905193328857,-0.9289153814315796,-0.5964285731315613,,-0.7082554697990417,-0.7486294507980347,-0.559563159942627,-0.6010855436325073,-0.7423475980758667,-0.8019168376922607,-0.6309129595756531,-0.5093309283256531,-0.5138416290283203,-0.7828205823898315,-0.5305518507957458,-0.6228469610214233,-0.5031380653381348,-0.9774631261825562,-0.3958333432674408,-0.9693112373352052,-0.5500293970108032,-0.5336977243423462,-0.8727718591690063,-0.8776785731315613,-0.7389999628067017,-0.5163862109184265,-0.4523414373397827,-0.4462963044643402,-0.9791988134384156,-0.8812665939331055,-0.7080759406089783,-0.7788420915603638,-0.5464285612106323,-0.7713706493377686,-0.7050978541374207,-0.7995370626449585,-0.6292750835418701,-0.8067055940628052,-0.6039315462112427,-0.75625079870224,-0.9358890056610109,-0.5842058658599854,,,,,,,,,,,,,,,,,,,,,-0.964722216129303,-0.9289153814315796,,-0.7082554697990417,-0.7486294507980347,-0.559563159942627,-0.6010855436325073,-0.7423475980758667,-0.8019168376922607,-0.6309129595756531,-0.5093309283256531,-0.5138416290283203,-0.7828205823898315,-0.5305518507957458,-0.6228469610214233,-0.5031380653381348,-0.9774631261825562,-0.9693112373352052,-0.5500293970108032,-0.5336977243423462,-0.7389999628067017,-0.5163862109184265,-0.4523414373397827,-0.4462963044643402,-0.9791988134384156,-0.8812665939331055,-0.7080759406089783,-0.7713706493377686,-0.7050978541374207,-0.7995370626449585,-0.6292750835418701,-0.8067055940628052,-0.6039315462112427,-0.75625079870224,-0.9358890056610109,-0.5842058658599854
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9641666412353516,-0.571428656578064,-0.9233943223953248,-0.5249999761581421,-0.4942569136619568,-0.6858150362968445,-0.7371076345443726,-0.5731984376907349,-0.6020002365112305,-0.7419878244400024,-0.7942370176315308,-0.4576690793037414,-0.5285919308662415,-0.5883049368858337,-0.7998870015144348,-0.5284352898597717,-0.5987058877944946,-0.4818353652954101,-0.9693336486816406,-0.5416666865348816,-0.9673954844474792,-0.5346331000328064,-0.5010884404182434,-0.8805704116821289,-0.8276785612106323,-0.7350000143051147,-0.4778081774711609,-0.4400997459888458,-0.4489197731018066,-0.978602170944214,-0.8789113163948059,-0.7109463214874268,,-0.5648809671401978,-0.7638089656829834,-0.6728453636169434,-0.7791666984558105,-0.6321113109588623,-0.776130199432373,-0.7092777490615845,-0.7274971008300781,-0.9318888187408448,-0.5691478252410889,,,,,,,,,,,,,,,,,,,,,-0.9641666412353516,-0.9233943223953248,-0.4942569136619568,-0.6858150362968445,-0.7371076345443726,-0.5731984376907349,-0.6020002365112305,-0.7419878244400024,-0.7942370176315308,-0.4576690793037414,-0.5285919308662415,-0.5883049368858337,-0.7998870015144348,-0.5284352898597717,-0.5987058877944946,-0.4818353652954101,-0.9693336486816406,-0.9673954844474792,-0.5346331000328064,-0.5010884404182434,-0.7350000143051147,-0.4778081774711609,-0.4400997459888458,-0.4489197731018066,-0.978602170944214,-0.8789113163948059,-0.7109463214874268,-0.7638089656829834,-0.6728453636169434,-0.7791666984558105,-0.6321113109588623,-0.776130199432373,-0.7092777490615845,-0.7274971008300781,-0.9318888187408448,-0.5691478252410889
caltech101_object_classification,-0.9056694507598876,-0.6371307373046875,-0.6941564679145813,-0.8364417552947998,-0.1440476179122924,-0.9930555820465088,-0.9772727489471436,-0.996759295463562,,-0.7856088280677795,,,-0.6931999921798706,,-0.9626232385635376,,-0.8229862451553345,-0.3820255398750305,-0.9603699445724488,-0.9221317768096924,-0.8133744597434998,-0.6642858386039734,-0.9121315479278564,-0.5704904198646545,-0.6086262464523315,-0.5554922819137573,-0.7717980146408081,-0.3681899905204773,-0.970555543899536,-0.6071429252624512,-0.9386626482009888,-0.550000011920929,-0.9328430891036988,-0.7175387144088745,-0.7348368167877197,-0.550377368927002,-0.5900263786315918,-0.7267816066741943,-0.793674647808075,-0.6256090402603149,-0.5183696150779724,-0.5842086672782898,-0.8313010334968567,-0.5121121406555176,-0.6177937984466553,-0.506527841091156,-0.971264123916626,-0.3750000298023224,-0.970707893371582,-0.5707669258117676,-0.5785466432571411,-0.8794563412666321,-0.8794642686843872,-0.7466896772384644,-0.4332628846168518,-0.4221889674663543,-0.4621142148971557,-0.9835041165351868,-0.83335280418396,-0.6885120868682861,-0.7997324466705322,-0.601190447807312,-0.7567237615585327,-0.6977691650390625,-0.7972222566604614,-0.6380202174186707,-0.7760979533195496,-0.7460514307022095,-0.7628524303436279,-0.927398920059204,-0.5549639463424683,-0.9056694507598876,-0.6371307373046875,-0.6941564679145813,-0.8364417552947998,-0.9772727489471436,-0.996759295463562,-0.7856088280677795,-0.6931999921798706,-0.9626232385635376,-0.8229862451553345,-0.3820255398750305,-0.9603699445724488,-0.9221317768096924,-0.8133744597434998,-0.6642858386039734,-0.9121315479278564,-0.5704904198646545,-0.6086262464523315,-0.5554922819137573,-0.7717980146408081,-0.970555543899536,-0.9386626482009888,-0.9328430891036988,-0.7175387144088745,-0.7348368167877197,-0.550377368927002,-0.5900263786315918,-0.7267816066741943,-0.793674647808075,-0.6256090402603149,-0.5183696150779724,-0.5842086672782898,-0.8313010334968567,-0.5121121406555176,-0.6177937984466553,-0.506527841091156,-0.971264123916626,-0.970707893371582,-0.5707669258117676,-0.5785466432571411,-0.7466896772384644,-0.4332628846168518,-0.4221889674663543,-0.4621142148971557,-0.9835041165351868,-0.83335280418396,-0.6885120868682861,-0.7567237615585327,-0.6977691650390625,-0.7972222566604614,-0.6380202174186707,-0.7760979533195496,-0.7460514307022095,-0.7628524303436279,-0.927398920059204,-0.5549639463424683
caltech256_object_classification,-0.9004238247871399,-0.6358069181442261,-0.6786055564880371,-0.8426252007484436,-0.1577380895614624,-0.9861111044883728,-0.9772727489471436,-0.9965740442276,,-0.780742883682251,,,-0.690000057220459,,-0.9577505588531494,,-0.8215200901031494,-0.3219570219516754,-0.95892071723938,-0.9399216175079346,-0.8198699951171875,-0.6240816116333008,-0.9120168685913086,-0.5742001533508301,-0.5806828141212463,-0.5922048091888428,-0.7982016801834106,-0.3385304808616638,-0.9774999618530272,-0.2698412835597992,-0.952372431755066,-0.4892857074737549,-0.9148398637771606,-0.7014843225479126,-0.7453477382659912,-0.5423284769058228,-0.6053588390350342,-0.7289084196090698,-0.8049865365028381,-0.6157048344612122,-0.5204592943191528,-0.5789657235145569,-0.8138109445571899,-0.5156360864639282,-0.5841763615608215,-0.5062307715415955,-0.9777920842170716,-0.375,-0.974539279937744,-0.5370532274246216,-0.5490014553070068,-0.8647504448890686,-0.8741071224212646,-0.7263793349266052,-0.4435221552848816,-0.4338741898536682,-0.4198302626609802,-0.980832815170288,-0.8513892292976379,-0.7219993472099304,-0.785866379737854,-0.6107142567634583,-0.7716640830039978,-0.7087333798408508,-0.7870370149612427,-0.6344894170761108,-0.7820032835006714,-0.7094070315361023,-0.7290470600128174,-0.9186299443244934,-0.5585237145423889,-0.9004238247871399,-0.6358069181442261,-0.6786055564880371,-0.8426252007484436,-0.9772727489471436,-0.9965740442276,-0.780742883682251,-0.690000057220459,-0.9577505588531494,-0.8215200901031494,-0.3219570219516754,-0.95892071723938,-0.9399216175079346,-0.8198699951171875,-0.6240816116333008,-0.9120168685913086,-0.5742001533508301,-0.5806828141212463,-0.5922048091888428,-0.7982016801834106,-0.9774999618530272,-0.952372431755066,-0.9148398637771606,-0.7014843225479126,-0.7453477382659912,-0.5423284769058228,-0.6053588390350342,-0.7289084196090698,-0.8049865365028381,-0.6157048344612122,-0.5204592943191528,-0.5789657235145569,-0.8138109445571899,-0.5156360864639282,-0.5841763615608215,-0.5062307715415955,-0.9777920842170716,-0.974539279937744,-0.5370532274246216,-0.5490014553070068,-0.7263793349266052,-0.4435221552848816,-0.4338741898536682,-0.4198302626609802,-0.980832815170288,-0.8513892292976379,-0.7219993472099304,-0.7716640830039978,-0.7087333798408508,-0.7870370149612427,-0.6344894170761108,-0.7820032835006714,-0.7094070315361023,-0.7290470600128174,-0.9186299443244934,-0.5585237145423889
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.956944465637207,-0.6460317373275757,-0.9182299971580504,-0.6071428656578064,-0.9072903990745544,,,,,,,,,,,,,,-0.966838240623474,-0.4166666865348816,-0.9661593437194824,-0.5499515533447266,-0.5491092205047607,-0.7983511686325073,-0.8526785373687744,-0.7408620715141296,-0.4137040376663208,-0.4103902578353882,-0.4984567761421203,-0.9851381182670592,-0.8841527700424194,-0.731042206287384,-0.812625527381897,-0.6035714149475098,-0.7571541666984558,-0.7153280973434448,-0.7314814329147339,-0.6362122893333435,-0.7959598302841187,-0.7166171073913574,-0.750733494758606,-0.8930387496948242,-0.3953287899494171,,,,,,,,,,,,,,,,,,,,,-0.956944465637207,-0.9182299971580504,-0.9072903990745544,,,,,,,,,,,,,,-0.966838240623474,-0.9661593437194824,-0.5499515533447266,-0.5491092205047607,-0.7408620715141296,-0.4137040376663208,-0.4103902578353882,-0.4984567761421203,-0.9851381182670592,-0.8841527700424194,-0.731042206287384,-0.7571541666984558,-0.7153280973434448,-0.7314814329147339,-0.6362122893333435,-0.7959598302841187,-0.7166171073913574,-0.750733494758606,-0.8930387496948242,-0.3953287899494171
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9677777886390686,-0.5349206924438477,-0.8790907859802246,-0.6178570985794067,-0.9012161493301392,,,,,,,,,,,,,,-0.973680853843689,-0.5,-0.9726235866546632,-0.5142920613288879,-0.368170291185379,-0.8507130146026611,-0.8910714387893677,-0.7343792915344238,-0.363876461982727,-0.3444413244724273,-0.5244598984718323,-0.9782902002334596,-0.8711094856262207,-0.750138521194458,-0.7671046257019043,-0.5464285612106323,-0.7464563846588135,-0.696986198425293,-0.7689814567565918,-0.6463133096694946,-0.7546387314796448,-0.7251285314559937,-0.7463834285736084,-0.9273961186408995,-0.3477017283439636,,,,,,,,,,,,,,,,,,,,,-0.9677777886390686,-0.8790907859802246,-0.9012161493301392,,,,,,,,,,,,,,-0.973680853843689,-0.9726235866546632,-0.5142920613288879,-0.368170291185379,-0.7343792915344238,-0.363876461982727,-0.3444413244724273,-0.5244598984718323,-0.9782902002334596,-0.8711094856262207,-0.750138521194458,-0.7464563846588135,-0.696986198425293,-0.7689814567565918,-0.6463133096694946,-0.7546387314796448,-0.7251285314559937,-0.7463834285736084,-0.9273961186408995,-0.3477017283439636
