s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9910815954208374,-0.6124042272567749,-0.9744528532028198,-0.7035714387893677,-0.9740267992019652,-0.7553647756576538,-0.8418351411819458,-0.7130127549171448,-0.6991840600967407,-0.830771803855896,-0.8755320906639099,-0.6534812450408936,-0.6269807815551758,-0.6630734205245972,-0.8753886222839355,-0.6045212745666504,-0.6727819442749023,-0.5465948581695557,-0.9925973415374756,-0.6180555820465088,-0.9855573177337646,-0.6151134967803955,-0.8863528370857239,-0.946969747543335,-0.9650000333786012,-0.8048275709152222,-0.7573743462562561,-0.7388386130332947,-0.8242255449295044,-0.9932106137275696,-0.9740302562713624,-0.9438563585281372,-0.8978396654129028,-0.8500842452049255,-0.8251532316207886,-0.7714234590530396,-0.8958024978637695,-0.6818326711654663,-0.8781019449234009,-0.808333158493042,-0.8217906355857849,-0.9721733927726746,,,,,,,,,,,,,,,,,,,,,,-0.9910815954208374,-0.9744528532028198,-0.9740267992019652,-0.7553647756576538,-0.8418351411819458,-0.7130127549171448,-0.6991840600967407,-0.830771803855896,-0.8755320906639099,-0.6534812450408936,-0.6269807815551758,-0.6630734205245972,-0.8753886222839355,-0.6045212745666504,-0.6727819442749023,-0.5465948581695557,-0.9925973415374756,-0.9855573177337646,-0.6151134967803955,-0.8863528370857239,-0.8048275709152222,-0.7573743462562561,-0.7388386130332947,-0.8242255449295044,-0.9932106137275696,-0.9740302562713624,-0.9438563585281372,-0.8251532316207886,-0.7714234590530396,-0.8958024978637695,-0.6818326711654663,-0.8781019449234009,-0.808333158493042,-0.8217906355857849,-0.9721733927726746,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9940389394760132,,-0.9931344389915466,-0.8857142925262451,-0.9867808222770692,-0.7862637042999268,-0.8681187629699707,-0.6963334679603577,-0.7384213805198669,-0.8573179841041565,-0.8863636255264282,-0.6925747990608215,-0.6009076833724976,-0.6822596192359924,-0.9049491286277772,-0.6429742574691772,-0.7338860034942627,-0.645759105682373,-0.9938152432441713,-0.775607705116272,-0.9947558641433716,-0.5937936305999756,-0.8914910554885864,-0.9654634594917296,-0.9774999618530272,-0.8248965740203857,-0.7865070700645447,-0.8459502458572388,-0.8447208404541016,-0.9981963634490968,-0.980188250541687,-0.9247636795043944,-0.9468830823898317,-0.8834306597709656,-0.8549056053161621,-0.7982368469238281,-0.8973456621170044,-0.7348370552062988,-0.8978508710861206,-0.8194372653961182,-0.8572989702224731,-0.9971579909324646,-0.9073243141174316,,,,,,,,,,,,,,,,,,,,,-0.9940389394760132,-0.9931344389915466,-0.9867808222770692,-0.7862637042999268,-0.8681187629699707,-0.6963334679603577,-0.7384213805198669,-0.8573179841041565,-0.8863636255264282,-0.6925747990608215,-0.6009076833724976,-0.6822596192359924,-0.9049491286277772,-0.6429742574691772,-0.7338860034942627,-0.645759105682373,-0.9938152432441713,-0.9947558641433716,-0.5937936305999756,-0.8914910554885864,-0.8248965740203857,-0.7865070700645447,-0.8459502458572388,-0.8447208404541016,-0.9981963634490968,-0.980188250541687,-0.9247636795043944,-0.8549056053161621,-0.7982368469238281,-0.8973456621170044,-0.7348370552062988,-0.8978508710861206,-0.8194372653961182,-0.8572989702224731,-0.9971579909324646,-0.9073243141174316
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.989576816558838,-0.7792181968688965,-0.9853343963623048,-0.7214285731315613,-0.9757034182548524,-0.7576232552528381,-0.8310242891311646,-0.7135108709335327,-0.6920394897460938,-0.838105320930481,-0.8434752225875854,-0.667156457901001,-0.6422942876815796,-0.6613010168075562,-0.8507695198059082,-0.6375222206115723,-0.6983789205551147,-0.5869829654693604,-0.995307207107544,-0.3758680820465088,-0.9911760091781616,-0.7167493104934692,-0.8692946434020996,-0.948083758354187,-0.96446430683136,-0.7741724252700806,-0.7756219506263733,-0.84393310546875,-0.804893970489502,-0.9967865943908693,-0.9848357439041138,-0.9323083758354188,-0.9249805212020874,-0.8224940896034241,-0.8085559606552124,-0.755513072013855,-0.832777738571167,-0.7201302647590637,-0.8521572351455688,-0.7988598346710205,-0.8091975450515747,,-0.8838431239128113,,,,,,,,,,,,,,,,,,,,,-0.989576816558838,-0.9853343963623048,-0.9757034182548524,-0.7576232552528381,-0.8310242891311646,-0.7135108709335327,-0.6920394897460938,-0.838105320930481,-0.8434752225875854,-0.667156457901001,-0.6422942876815796,-0.6613010168075562,-0.8507695198059082,-0.6375222206115723,-0.6983789205551147,-0.5869829654693604,-0.995307207107544,-0.9911760091781616,-0.7167493104934692,-0.8692946434020996,-0.7741724252700806,-0.7756219506263733,-0.84393310546875,-0.804893970489502,-0.9967865943908693,-0.9848357439041138,-0.9323083758354188,-0.8085559606552124,-0.755513072013855,-0.832777738571167,-0.7201302647590637,-0.8521572351455688,-0.7988598346710205,-0.8091975450515747,,-0.8838431239128113
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9915980100631714,-0.9517964124679564,,-0.9428571462631226,-0.9815120697021484,-0.7785577178001404,-0.8627431988716125,-0.7067877054214478,-0.7154772281646729,-0.8580305576324463,-0.872143030166626,-0.691487193107605,-0.5946865081787109,-0.6752170920372009,-0.9023597240447998,-0.6672872304916382,-0.7264916896820068,-0.5113286972045898,-0.994141697883606,-0.703993022441864,-0.9951037168502808,-0.730431318283081,-0.8932281732559204,-0.95632803440094,-0.97303569316864,-0.7991033792495728,-0.7829526662826538,-0.7705520987510681,-0.8470039367675781,-0.9972975254058838,-0.9819976091384888,-0.9489122629165648,-0.9626535177230836,-0.8780129551887512,-0.8522683382034302,-0.7981799840927124,-0.8595061898231506,-0.7000340223312378,-0.8714059591293335,-0.7961177825927734,-0.8455904126167297,-0.9972977638244628,-0.9010475277900696,,,,,,,,,,,,,,,,,,,,,-0.9915980100631714,,-0.9815120697021484,-0.7785577178001404,-0.8627431988716125,-0.7067877054214478,-0.7154772281646729,-0.8580305576324463,-0.872143030166626,-0.691487193107605,-0.5946865081787109,-0.6752170920372009,-0.9023597240447998,-0.6672872304916382,-0.7264916896820068,-0.5113286972045898,-0.994141697883606,-0.9951037168502808,-0.730431318283081,-0.8932281732559204,-0.7991033792495728,-0.7829526662826538,-0.7705520987510681,-0.8470039367675781,-0.9972975254058838,-0.9819976091384888,-0.9489122629165648,-0.8522683382034302,-0.7981799840927124,-0.8595061898231506,-0.7000340223312378,-0.8714059591293335,-0.7961177825927734,-0.8455904126167297,-0.9972977638244628,-0.9010475277900696
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9910100102424622,-0.8072942495346069,-0.98917555809021,-0.5857142210006714,,-0.7491328120231628,-0.8347415924072266,-0.6415197849273682,-0.6964155435562134,-0.8330885171890259,-0.8472445011138916,-0.6574059724807739,-0.5765800476074219,-0.6641669869422913,-0.8689595460891724,-0.6473404169082642,-0.7145006656646729,-0.5499497056007385,-0.992134928703308,-0.5794271230697632,-0.9961150884628296,-0.656436562538147,-0.8533788919448853,-0.9469696879386902,-0.9326785802841188,-0.7796552181243896,-0.7961508631706238,-0.726784884929657,-0.8313025236129761,-0.9973715543746948,-0.9880540370941162,-0.9515506625175476,-0.594033420085907,-0.8332918882369995,-0.8375502824783325,-0.7851903438568115,-0.8657099008560181,-0.7121025323867798,-0.8718093633651733,-0.802757978439331,-0.8158565759658813,-0.993278443813324,-0.8864864706993103,,,,,,,,,,,,,,,,,,,,,-0.9910100102424622,-0.98917555809021,,-0.7491328120231628,-0.8347415924072266,-0.6415197849273682,-0.6964155435562134,-0.8330885171890259,-0.8472445011138916,-0.6574059724807739,-0.5765800476074219,-0.6641669869422913,-0.8689595460891724,-0.6473404169082642,-0.7145006656646729,-0.5499497056007385,-0.992134928703308,-0.9961150884628296,-0.656436562538147,-0.8533788919448853,-0.7796552181243896,-0.7961508631706238,-0.726784884929657,-0.8313025236129761,-0.9973715543746948,-0.9880540370941162,-0.9515506625175476,-0.8375502824783325,-0.7851903438568115,-0.8657099008560181,-0.7121025323867798,-0.8718093633651733,-0.802757978439331,-0.8158565759658813,-0.993278443813324,-0.8864864706993103
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9908664226531982,-0.5884926915168762,-0.9785794019699096,-0.3214285969734192,-0.9803056120872498,-0.5186939239501953,-0.8287666440010071,-0.691408634185791,-0.6999616622924805,-0.8312245607376099,-0.8593075275421143,-0.6703457832336426,-0.6609779596328735,-0.6432236433029175,-0.8625208735466003,-0.6339982748031616,-0.6863783597946167,-0.6057902574539185,-0.995185613632202,-0.7747396230697632,-0.993450164794922,-0.5848550796508789,-0.8532484173774719,-0.9463012218475342,-0.9132142663002014,-0.7668275833129883,-0.8025533556938171,-0.7648959159851074,-0.8019935488700867,-0.9966384172439576,-0.9733617305755616,-0.9322437644004822,,-0.7984640598297119,-0.805184006690979,-0.742958664894104,-0.8357716798782349,-0.6846752166748047,-0.8477201461791992,-0.7743581533432007,-0.7890037298202515,-0.9803268909454346,-0.8542644381523132,,,,,,,,,,,,,,,,,,,,,-0.9908664226531982,-0.9785794019699096,-0.9803056120872498,-0.5186939239501953,-0.8287666440010071,-0.691408634185791,-0.6999616622924805,-0.8312245607376099,-0.8593075275421143,-0.6703457832336426,-0.6609779596328735,-0.6432236433029175,-0.8625208735466003,-0.6339982748031616,-0.6863783597946167,-0.6057902574539185,-0.995185613632202,-0.993450164794922,-0.5848550796508789,-0.8532484173774719,-0.7668275833129883,-0.8025533556938171,-0.7648959159851074,-0.8019935488700867,-0.9966384172439576,-0.9733617305755616,-0.9322437644004822,-0.805184006690979,-0.742958664894104,-0.8357716798782349,-0.6846752166748047,-0.8477201461791992,-0.7743581533432007,-0.7890037298202515,-0.9803268909454346,-0.8542644381523132
caltech101_object_classification,-0.9838430285453796,-0.9339802265167236,-0.860301673412323,-0.9506572484970092,-0.5121663212776184,-0.9992283582687378,-0.9973790645599364,-0.9999843835830688,,-0.968603253364563,,,-0.9360160231590272,,-0.998651921749115,,-0.9346795082092284,-0.8915182948112488,-0.9908949732780457,-0.9792577028274536,-0.8944354057312012,-0.8747831583023071,-0.9638824462890624,-0.7284847497940063,-0.8305715918540955,-0.819163978099823,-0.9231998324394226,-0.838780403137207,-0.9922968745231628,-0.7628988027572632,-0.9813292026519777,-0.639285683631897,-0.983697772026062,-0.7758035659790039,-0.8657978773117065,-0.7036061882972717,-0.7308852672576904,-0.8361961841583252,-0.8694902062416077,-0.6736481189727783,-0.6489768624305725,-0.6621760129928589,-0.89958655834198,-0.6830673217773438,-0.7160554528236389,-0.6015416383743286,-0.9970232248306274,-0.6388888955116272,-0.9963558912277222,-0.6638201475143433,-0.8653367161750793,-0.9710338711738586,-0.9219642877578736,-0.7879310250282288,-0.7812309861183167,-0.7045847773551941,-0.7834607362747192,-0.9973442554473876,-0.9753414392471312,-0.9408687949180604,-0.5219861268997192,-0.8328359127044678,-0.8388715982437134,-0.7494125366210938,-0.8520987629890442,-0.6900076866149902,-0.8215818405151367,-0.797661542892456,-0.83214271068573,-0.9905657172203064,-0.895134449005127,-0.9838430285453796,-0.9339802265167236,-0.860301673412323,-0.9506572484970092,-0.9973790645599364,-0.9999843835830688,-0.968603253364563,-0.9360160231590272,-0.998651921749115,-0.9346795082092284,-0.8915182948112488,-0.9908949732780457,-0.9792577028274536,-0.8944354057312012,-0.8747831583023071,-0.9638824462890624,-0.7284847497940063,-0.8305715918540955,-0.819163978099823,-0.9231998324394226,-0.9922968745231628,-0.9813292026519777,-0.983697772026062,-0.7758035659790039,-0.8657978773117065,-0.7036061882972717,-0.7308852672576904,-0.8361961841583252,-0.8694902062416077,-0.6736481189727783,-0.6489768624305725,-0.6621760129928589,-0.89958655834198,-0.6830673217773438,-0.7160554528236389,-0.6015416383743286,-0.9970232248306274,-0.9963558912277222,-0.6638201475143433,-0.8653367161750793,-0.7879310250282288,-0.7812309861183167,-0.7045847773551941,-0.7834607362747192,-0.9973442554473876,-0.9753414392471312,-0.9408687949180604,-0.8388715982437134,-0.7494125366210938,-0.8520987629890442,-0.6900076866149902,-0.8215818405151367,-0.797661542892456,-0.83214271068573,-0.9905657172203064,-0.895134449005127
caltech256_object_classification,-0.988503873348236,-0.936460256576538,-0.8602169156074524,-0.961965560913086,-0.5020871162414551,-0.9998071193695068,-0.999827802181244,-0.9999967217445374,,-0.958914875984192,,,-0.9488887786865234,,-0.9987162947654724,,-0.9856011867523192,-0.8815531730651855,-0.9947109222412108,-0.9676240682601928,-0.8994436264038086,-0.9170994758605956,-0.9641344547271729,-0.8018888831138611,-0.7772233486175537,-0.8845918774604797,-0.961084008216858,-0.8440988659858704,-0.9914661645889282,-0.6758612990379333,-0.995834231376648,-0.7392857074737549,-0.9848999381065368,-0.7693196535110474,-0.8585481643676758,-0.7338595390319824,-0.7248774766921997,-0.8442429304122925,-0.8748547434806824,-0.6706650257110596,-0.6357121467590332,-0.6726081371307373,-0.8989293575286865,-0.6545711755752563,-0.7182092666625977,-0.6242043972015381,-0.9968468546867372,-0.5907118320465088,-0.995510458946228,-0.6718412637710571,-0.8648294806480408,-0.9378899335861206,-0.9041070938110352,-0.7884827852249146,-0.8039178848266602,-0.7846472859382629,-0.8344264030456543,-0.9920756816864014,-0.9941952228546144,-0.9592680931091307,-0.933390974998474,-0.8697998523712158,-0.843662440776825,-0.7890008687973022,-0.894660472869873,-0.7212851047515869,-0.8569170236587524,-0.807447075843811,-0.8364863395690918,-0.9942893385887146,-0.9113964438438416,-0.988503873348236,-0.936460256576538,-0.8602169156074524,-0.961965560913086,-0.999827802181244,-0.9999967217445374,-0.958914875984192,-0.9488887786865234,-0.9987162947654724,-0.9856011867523192,-0.8815531730651855,-0.9947109222412108,-0.9676240682601928,-0.8994436264038086,-0.9170994758605956,-0.9641344547271729,-0.8018888831138611,-0.7772233486175537,-0.8845918774604797,-0.961084008216858,-0.9914661645889282,-0.995834231376648,-0.9848999381065368,-0.7693196535110474,-0.8585481643676758,-0.7338595390319824,-0.7248774766921997,-0.8442429304122925,-0.8748547434806824,-0.6706650257110596,-0.6357121467590332,-0.6726081371307373,-0.8989293575286865,-0.6545711755752563,-0.7182092666625977,-0.6242043972015381,-0.9968468546867372,-0.995510458946228,-0.6718412637710571,-0.8648294806480408,-0.7884827852249146,-0.8039178848266602,-0.7846472859382629,-0.8344264030456543,-0.9920756816864014,-0.9941952228546144,-0.9592680931091307,-0.843662440776825,-0.7890008687973022,-0.894660472869873,-0.7212851047515869,-0.8569170236587524,-0.807447075843811,-0.8364863395690918,-0.9942893385887146,-0.9113964438438416
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.98594868183136,-0.5717491507530212,-0.9712858200073242,-0.1964285671710968,-0.979220986366272,,,,,,,,,,,,,,-0.99391770362854,-0.5052083730697632,-0.9918983578681946,-0.6313101053237915,-0.8444952368736267,-0.9284759163856506,-0.8932143449783325,-0.8069310188293457,-0.7447134256362915,-0.7595551609992981,-0.8435395956039429,-0.9933451414108276,-0.9747814536094666,-0.9494989514350892,-0.5221621990203857,-0.8374842405319214,-0.8234158754348755,-0.7535772323608398,-0.8570061922073364,-0.704076886177063,-0.8527703285217285,-0.7581416368484497,-0.8097928762435913,-0.9677523374557496,-0.8967151641845703,,,,,,,,,,,,,,,,,,,,,-0.98594868183136,-0.9712858200073242,-0.979220986366272,,,,,,,,,,,,,,-0.99391770362854,-0.9918983578681946,-0.6313101053237915,-0.8444952368736267,-0.8069310188293457,-0.7447134256362915,-0.7595551609992981,-0.8435395956039429,-0.9933451414108276,-0.9747814536094666,-0.9494989514350892,-0.8234158754348755,-0.7535772323608398,-0.8570061922073364,-0.704076886177063,-0.8527703285217285,-0.7581416368484497,-0.8097928762435913,-0.9677523374557496,-0.8967151641845703
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9885501861572266,-0.639607310295105,-0.9537563323974608,-0.639285683631897,-0.9844146966934204,,,,,,,,,,,,,,-0.9933171272277832,-0.7560763359069824,-0.9961792826652528,-0.59508216381073,-0.7594932913780212,-0.8834670782089233,-0.8833928108215332,-0.7345517873764038,-0.8208597302436829,-0.7916248440742493,-0.8248022794723511,-0.995794117450714,-0.9929708242416382,-0.9411396384239196,-0.9119442701339722,-0.7613590955734253,-0.804031491279602,-0.7401242256164551,-0.8567901849746704,-0.6862984895706177,-0.8324567079544067,-0.7772095203399658,-0.8231066465377808,-0.9651763439178468,-0.895191490650177,,,,,,,,,,,,,,,,,,,,,-0.9885501861572266,-0.9537563323974608,-0.9844146966934204,,,,,,,,,,,,,,-0.9933171272277832,-0.9961792826652528,-0.59508216381073,-0.7594932913780212,-0.7345517873764038,-0.8208597302436829,-0.7916248440742493,-0.8248022794723511,-0.995794117450714,-0.9929708242416382,-0.9411396384239196,-0.804031491279602,-0.7401242256164551,-0.8567901849746704,-0.6862984895706177,-0.8324567079544067,-0.7772095203399658,-0.8231066465377808,-0.9651763439178468,-0.895191490650177
