s,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
aptos19_blindness_detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.970555543899536,-0.3166666626930237,-0.9196387529373168,-0.6571428775787354,-0.9020906686782836,-0.6956416368484497,-0.7461687326431274,-0.5582135915756226,-0.6057444214820862,-0.7312390208244324,-0.7972579002380371,-0.6308361291885376,-0.5136219263076782,-0.5786565542221069,-0.7877830266952515,-0.5348293781280518,-0.6009182929992676,-0.5058121085166931,-0.9578292369842528,-0.5,-0.9478424191474916,-0.5323200225830078,-0.5636575222015381,-0.8589572310447693,-0.9017857313156128,-0.7300689220428467,-0.4568592309951782,-0.4097114205360412,-0.4254629611968994,-0.9770969152450562,-0.8108009099960327,-0.661801815032959,-0.7265098094940186,-0.6029762029647827,-0.7637116312980652,-0.7146645784378052,-0.8032407760620117,-0.6382358074188232,-0.7873923182487488,-0.726793646812439,-0.7596696019172668,-0.9106295108795166,,,,,,,,,,,,,,,,,,,,,,-0.970555543899536,-0.9196387529373168,-0.9020906686782836,-0.6956416368484497,-0.7461687326431274,-0.5582135915756226,-0.6057444214820862,-0.7312390208244324,-0.7972579002380371,-0.6308361291885376,-0.5136219263076782,-0.5786565542221069,-0.7877830266952515,-0.5348293781280518,-0.6009182929992676,-0.5058121085166931,-0.9578292369842528,-0.9478424191474916,-0.5323200225830078,-0.5636575222015381,-0.7300689220428467,-0.4568592309951782,-0.4097114205360412,-0.4254629611968994,-0.9770969152450562,-0.8108009099960327,-0.661801815032959,-0.7637116312980652,-0.7146645784378052,-0.8032407760620117,-0.6382358074188232,-0.7873923182487488,-0.726793646812439,-0.7596696019172668,-0.9106295108795166,
barretts_esophagus_diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.975000023841858,,-0.9672842025756836,-0.7928571701049805,-0.9535792469978333,-0.7168086767196655,-0.7712956666946411,-0.5597044825553894,-0.6149293780326843,-0.7568556070327759,-0.8106627464294434,-0.6360453963279724,-0.5298651456832886,-0.5986416339874268,-0.8124452829360962,-0.5291445255279541,-0.6198648810386658,-0.5108851790428162,-0.972801387310028,-0.5833333730697632,-0.9769740104675292,-0.5283578634262085,-0.5670572519302368,-0.8948307037353516,-0.9249999523162842,-0.7716206908226013,-0.4999964833259582,-0.4465819895267486,-0.4403549432754516,-0.9797954559326172,-0.8600310683250427,-0.6938204765319824,-0.7955664992332458,-0.6696428656578064,-0.7944563627243042,-0.735417366027832,-0.831944465637207,-0.6647074222564697,-0.8372970819473267,-0.7475953102111816,-0.8000829219818115,-0.9403276443481444,-0.5806059241294861,,,,,,,,,,,,,,,,,,,,,-0.975000023841858,-0.9672842025756836,-0.9535792469978333,-0.7168086767196655,-0.7712956666946411,-0.5597044825553894,-0.6149293780326843,-0.7568556070327759,-0.8106627464294434,-0.6360453963279724,-0.5298651456832886,-0.5986416339874268,-0.8124452829360962,-0.5291445255279541,-0.6198648810386658,-0.5108851790428162,-0.972801387310028,-0.9769740104675292,-0.5283578634262085,-0.5670572519302368,-0.7716206908226013,-0.4999964833259582,-0.4465819895267486,-0.4403549432754516,-0.9797954559326172,-0.8600310683250427,-0.6938204765319824,-0.7944563627243042,-0.735417366027832,-0.831944465637207,-0.6647074222564697,-0.8372970819473267,-0.7475953102111816,-0.8000829219818115,-0.9403276443481444,-0.5806059241294861
bean_plant_disease_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9591666460037231,-0.4976190626621246,-0.9371789693832396,-0.5892857313156128,-0.907653272151947,-0.6889094114303589,-0.7545850276947021,-0.5941488146781921,-0.6281991004943848,-0.7573118209838867,-0.7676878571510315,-0.6165326237678528,-0.5366496443748474,-0.5852987170219421,-0.7714048027992249,-0.539793848991394,-0.6023977994918823,-0.5020183324813843,-0.9716717004776,-0.1458333432674408,-0.9590156078338624,-0.5476166009902954,-0.5862637758255005,-0.8732174634933472,-0.8982142806053162,-0.6919310092926025,-0.4117030799388885,-0.4526143670082092,-0.4621914029121399,-0.9737001657485962,-0.886354923248291,-0.732579231262207,-0.7720611095428467,-0.5636904835700989,-0.7416845560073853,-0.6942360997200012,-0.7541666626930237,-0.6604883074760437,-0.7776952981948853,-0.7065415978431702,-0.732312798500061,,-0.5571743845939636,,,,,,,,,,,,,,,,,,,,,-0.9591666460037231,-0.9371789693832396,-0.907653272151947,-0.6889094114303589,-0.7545850276947021,-0.5941488146781921,-0.6281991004943848,-0.7573118209838867,-0.7676878571510315,-0.6165326237678528,-0.5366496443748474,-0.5852987170219421,-0.7714048027992249,-0.539793848991394,-0.6023977994918823,-0.5020183324813843,-0.9716717004776,-0.9590156078338624,-0.5476166009902954,-0.5862637758255005,-0.6919310092926025,-0.4117030799388885,-0.4526143670082092,-0.4621914029121399,-0.9737001657485962,-0.886354923248291,-0.732579231262207,-0.7416845560073853,-0.6942360997200012,-0.7541666626930237,-0.6604883074760437,-0.7776952981948853,-0.7065415978431702,-0.732312798500061,,-0.5571743845939636
brain_tumor_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9711110591888428,-0.7952381372451782,,-0.8035714626312256,-0.943111777305603,-0.7137155532836914,-0.7687417268753052,-0.5678960680961609,-0.6111058592796326,-0.7551194429397583,-0.8013362884521484,-0.629257321357727,-0.5132400989532471,-0.5875954031944275,-0.8238061666488647,-0.6044325828552246,-0.6167551875114441,-0.5031958222389221,-0.9790791273117064,-0.6666667461395264,-0.9659988284111024,-0.5203557014465332,-0.5817086100578308,-0.8946078419685364,-0.8955357074737549,-0.7423793077468872,-0.4454010128974914,-0.4400056600570678,-0.4804784059524536,-0.9802361726760864,-0.8726714253425598,-0.6943213939666748,-0.835583508014679,-0.7065476179122925,-0.7907909154891968,-0.7399148344993591,-0.772685170173645,-0.61638343334198,-0.795411229133606,-0.7198261022567749,-0.7765339612960815,-0.9660810828208924,-0.5851548910140991,,,,,,,,,,,,,,,,,,,,,-0.9711110591888428,,-0.943111777305603,-0.7137155532836914,-0.7687417268753052,-0.5678960680961609,-0.6111058592796326,-0.7551194429397583,-0.8013362884521484,-0.629257321357727,-0.5132400989532471,-0.5875954031944275,-0.8238061666488647,-0.6044325828552246,-0.6167551875114441,-0.5031958222389221,-0.9790791273117064,-0.9659988284111024,-0.5203557014465332,-0.5817086100578308,-0.7423793077468872,-0.4454010128974914,-0.4400056600570678,-0.4804784059524536,-0.9802361726760864,-0.8726714253425598,-0.6943213939666748,-0.7907909154891968,-0.7399148344993591,-0.772685170173645,-0.61638343334198,-0.795411229133606,-0.7198261022567749,-0.7765339612960815,-0.9660810828208924,-0.5851548910140991
brain_tumor_type_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9719444513320924,-0.6452381610870361,-0.9472081661224364,-0.6000000238418579,,-0.6940674781799316,-0.7384445667266846,-0.549335777759552,-0.6033753752708435,-0.7418320178985596,-0.775328516960144,-0.6189037561416626,-0.5159509778022766,-0.5769119262695312,-0.7883995771408081,-0.5568373203277588,-0.6221141219139099,-0.5098915100097656,-0.96707421541214,-0.4166666865348816,-0.9691506624221802,-0.5096293687820435,-0.5619564056396484,-0.8888146281242371,-0.8508928418159485,-0.7051379680633545,-0.5058609247207642,-0.3815615773200989,-0.4586420059204101,-0.975774884223938,-0.8405313491821289,-0.7220020294189453,-0.3986194729804992,-0.5589285492897034,-0.7761886119842529,-0.7261450290679932,-0.7967592477798462,-0.6419573426246643,-0.7970408797264099,-0.7429677248001099,-0.7542288303375244,-0.9362177848815918,-0.5477221012115479,,,,,,,,,,,,,,,,,,,,,-0.9719444513320924,-0.9472081661224364,,-0.6940674781799316,-0.7384445667266846,-0.549335777759552,-0.6033753752708435,-0.7418320178985596,-0.775328516960144,-0.6189037561416626,-0.5159509778022766,-0.5769119262695312,-0.7883995771408081,-0.5568373203277588,-0.6221141219139099,-0.5098915100097656,-0.96707421541214,-0.9691506624221802,-0.5096293687820435,-0.5619564056396484,-0.7051379680633545,-0.5058609247207642,-0.3815615773200989,-0.4586420059204101,-0.975774884223938,-0.8405313491821289,-0.7220020294189453,-0.7761886119842529,-0.7261450290679932,-0.7967592477798462,-0.6419573426246643,-0.7970408797264099,-0.7429677248001099,-0.7542288303375244,-0.9362177848815918,-0.5477221012115479
breast_cancer_classification_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.961388885974884,-0.4404762089252472,-0.9286157488822936,-0.3678571581840515,-0.9009251594543456,-0.5056701898574829,-0.7318598031997681,-0.5741454362869263,-0.5770479440689087,-0.7407181262969971,-0.792298436164856,-0.6099751591682434,-0.5205488801002502,-0.5791679620742798,-0.7714504599571228,-0.5376551151275635,-0.600365161895752,-0.5074801445007324,-0.9772272109985352,-0.6250000596046448,-0.9661593437194824,-0.5228317379951477,-0.5106172561645508,-0.8879233598709106,-0.8089285492897034,-0.7316206693649292,-0.5201270580291748,-0.3973191380500793,-0.4387345910072326,-0.978602170944214,-0.8221760988235474,-0.7158644199371338,,-0.5928571224212646,-0.7240580916404724,-0.6798112988471985,-0.7768518328666687,-0.6388121843338013,-0.7890057563781738,-0.7052482962608337,-0.7384551763534546,-0.9232863187789916,-0.4939152598381042,,,,,,,,,,,,,,,,,,,,,-0.961388885974884,-0.9286157488822936,-0.9009251594543456,-0.5056701898574829,-0.7318598031997681,-0.5741454362869263,-0.5770479440689087,-0.7407181262969971,-0.792298436164856,-0.6099751591682434,-0.5205488801002502,-0.5791679620742798,-0.7714504599571228,-0.5376551151275635,-0.600365161895752,-0.5074801445007324,-0.9772272109985352,-0.9661593437194824,-0.5228317379951477,-0.5106172561645508,-0.7316206693649292,-0.5201270580291748,-0.3973191380500793,-0.4387345910072326,-0.978602170944214,-0.8221760988235474,-0.7158644199371338,-0.7240580916404724,-0.6798112988471985,-0.7768518328666687,-0.6388121843338013,-0.7890057563781738,-0.7052482962608337,-0.7384551763534546,-0.9232863187789916,-0.4939152598381042
caltech101_object_classification,-0.8499196171760559,-0.6311716437339783,-0.6457979679107666,-0.8187329769134521,-0.1596726179122924,-0.9791666269302368,-0.9583333730697632,-0.9948290586471558,,-0.7789202928543091,,,-0.667900025844574,,-0.9557294249534608,,-0.8258020877838135,-0.3256284594535827,-0.9614847898483276,-0.9371702075004578,-0.8183201551437378,-0.7235441207885742,-0.9069197773933412,-0.5845940113067627,-0.6122907400131226,-0.6215842962265015,-0.7509809732437134,-0.435663104057312,-0.9738888740539552,-0.550000011920929,-0.932934820652008,-0.4821428656578064,-0.9237166047096252,-0.6999080181121826,-0.7663872241973877,-0.5660014748573303,-0.6212354302406311,-0.7356787919998169,-0.781193733215332,-0.6050969362258911,-0.521297812461853,-0.600165843963623,-0.8152422308921814,-0.5632424354553223,-0.6348567605018616,-0.5108989477157593,-0.9779493808746338,-0.4791666567325592,-0.9830796718597412,-0.548784077167511,-0.610999345779419,-0.9173351526260376,-0.8383928537368774,-0.7217931151390076,-0.4008408784866333,-0.4263090491294861,-0.4326389133930206,-0.981870174407959,-0.8100250959396362,-0.6934953927993774,-0.3460743129253387,-0.6142857074737549,-0.7638665437698364,-0.6906325817108154,-0.7625000476837158,-0.6238120198249817,-0.7642873525619507,-0.7272664308547974,-0.7738168239593506,-0.9315059185028076,-0.5446146726608276,-0.8499196171760559,-0.6311716437339783,-0.6457979679107666,-0.8187329769134521,-0.9583333730697632,-0.9948290586471558,-0.7789202928543091,-0.667900025844574,-0.9557294249534608,-0.8258020877838135,-0.3256284594535827,-0.9614847898483276,-0.9371702075004578,-0.8183201551437378,-0.7235441207885742,-0.9069197773933412,-0.5845940113067627,-0.6122907400131226,-0.6215842962265015,-0.7509809732437134,-0.9738888740539552,-0.932934820652008,-0.9237166047096252,-0.6999080181121826,-0.7663872241973877,-0.5660014748573303,-0.6212354302406311,-0.7356787919998169,-0.781193733215332,-0.6050969362258911,-0.521297812461853,-0.600165843963623,-0.8152422308921814,-0.5632424354553223,-0.6348567605018616,-0.5108989477157593,-0.9779493808746338,-0.9830796718597412,-0.548784077167511,-0.610999345779419,-0.7217931151390076,-0.4008408784866333,-0.4263090491294861,-0.4326389133930206,-0.981870174407959,-0.8100250959396362,-0.6934953927993774,-0.7638665437698364,-0.6906325817108154,-0.7625000476837158,-0.6238120198249817,-0.7642873525619507,-0.7272664308547974,-0.7738168239593506,-0.9315059185028076,-0.5446146726608276
caltech256_object_classification,-0.872260332107544,-0.6475573182106018,-0.6392630934715271,-0.8352334499359131,-0.1017857193946838,-0.9861111044883728,-0.9810606241226196,-0.9970370531082152,,-0.7538230419158936,,,-0.7003000378608704,,-0.9638699293136596,,-0.8229914903640747,-0.3393882811069488,-0.9603699445724488,-0.9047188758850098,-0.8204566836357117,-0.7375167012214661,-0.9108483791351318,-0.5924954414367676,-0.6056256890296936,-0.5879260301589966,-0.7929176092147827,-0.4948924779891968,-0.9774999618530272,-0.3992063403129577,-0.9735006093978882,-0.6285713911056519,-0.9393136501312256,-0.6987792253494263,-0.7283170223236084,-0.568771243095398,-0.6046069860458374,-0.7254608869552612,-0.7992135286331177,-0.616361141204834,-0.5174561738967896,-0.5888738632202148,-0.81617671251297,-0.5838320255279541,-0.6157380938529968,-0.5081326961517334,-0.9798012375831604,-0.4166666865348816,-0.967914581298828,-0.5404000878334045,-0.5292267203330994,-0.8877005577087402,-0.798214316368103,-0.7054482698440552,-0.5572122931480408,-0.3626124858856201,-0.4683642387390136,-0.9830634593963624,-0.8705003261566162,-0.7052399516105652,-0.7792069911956787,-0.6672619581222534,-0.7785992622375488,-0.7164887189865112,-0.8199074268341064,-0.6618317365646362,-0.7728710174560547,-0.7317202091217041,-0.7577241659164429,-0.9444374442100524,-0.5753381252288818,-0.872260332107544,-0.6475573182106018,-0.6392630934715271,-0.8352334499359131,-0.9810606241226196,-0.9970370531082152,-0.7538230419158936,-0.7003000378608704,-0.9638699293136596,-0.8229914903640747,-0.3393882811069488,-0.9603699445724488,-0.9047188758850098,-0.8204566836357117,-0.7375167012214661,-0.9108483791351318,-0.5924954414367676,-0.6056256890296936,-0.5879260301589966,-0.7929176092147827,-0.9774999618530272,-0.9735006093978882,-0.9393136501312256,-0.6987792253494263,-0.7283170223236084,-0.568771243095398,-0.6046069860458374,-0.7254608869552612,-0.7992135286331177,-0.616361141204834,-0.5174561738967896,-0.5888738632202148,-0.81617671251297,-0.5838320255279541,-0.6157380938529968,-0.5081326961517334,-0.9798012375831604,-0.967914581298828,-0.5404000878334045,-0.5292267203330994,-0.7054482698440552,-0.5572122931480408,-0.3626124858856201,-0.4683642387390136,-0.9830634593963624,-0.8705003261566162,-0.7052399516105652,-0.7785992622375488,-0.7164887189865112,-0.8199074268341064,-0.6618317365646362,-0.7728710174560547,-0.7317202091217041,-0.7577241659164429,-0.9444374442100524,-0.5753381252288818
chexpert_atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9513888359069824,-0.447619080543518,-0.9327279329299928,-0.2714285850524902,-0.9112488031387328,,,,,,,,,,,,,,-0.964421570301056,-0.3541666865348816,-0.9546651244163512,-0.5236027240753174,-0.581027626991272,-0.8801248073577881,-0.8098214268684387,-0.7156206369400024,-0.4274927377700805,-0.3958485722541809,-0.4378858506679535,-0.9647775888442992,-0.7937914729118347,-0.7239934206008911,-0.353402704000473,-0.6428571939468384,-0.7500739097595215,-0.6939821243286133,-0.7990740537643433,-0.646195113658905,-0.7820032835006714,-0.6860632300376892,-0.7261704206466675,-0.8462992906570435,-0.5654811263084412,,,,,,,,,,,,,,,,,,,,,-0.9513888359069824,-0.9327279329299928,-0.9112488031387328,,,,,,,,,,,,,,-0.964421570301056,-0.9546651244163512,-0.5236027240753174,-0.581027626991272,-0.7156206369400024,-0.4274927377700805,-0.3958485722541809,-0.4378858506679535,-0.9647775888442992,-0.7937914729118347,-0.7239934206008911,-0.7500739097595215,-0.6939821243286133,-0.7990740537643433,-0.646195113658905,-0.7820032835006714,-0.6860632300376892,-0.7261704206466675,-0.8462992906570435,-0.5654811263084412
chexpert_cardiomegaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.954722225666046,-0.4309524297714233,-0.8891199231147766,-0.5964285731315613,-0.9222053289413452,,,,,,,,,,,,,,-0.9661161303520204,-0.6041666865348816,-0.9682730436325072,-0.5264825820922852,-0.4284816682338714,-0.7762923240661621,-0.8214285373687744,-0.6909655332565308,-0.5525321364402771,-0.3964916467666626,-0.5140432119369507,-0.9784461855888368,-0.8810503482818604,-0.7109861373901367,-0.7148026823997498,-0.5154761672019958,-0.749397873878479,-0.6861371994018555,-0.7902777791023254,-0.635399580001831,-0.7766304016113281,-0.7095767855644226,-0.7597525119781494,-0.8763817548751831,-0.5678924322128296,,,,,,,,,,,,,,,,,,,,,-0.954722225666046,-0.8891199231147766,-0.9222053289413452,,,,,,,,,,,,,,-0.9661161303520204,-0.9682730436325072,-0.5264825820922852,-0.4284816682338714,-0.6909655332565308,-0.5525321364402771,-0.3964916467666626,-0.5140432119369507,-0.9784461855888368,-0.8810503482818604,-0.7109861373901367,-0.749397873878479,-0.6861371994018555,-0.7902777791023254,-0.635399580001831,-0.7766304016113281,-0.7095767855644226,-0.7597525119781494,-0.8763817548751831,-0.5678924322128296
