,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,-0.023375,0.376625,0.47662499999999997,-0.023375,0.8099583333333333,0.8337678571428572,0.8337678571428572,0.8099583333333333,0.976625,0.976625,0.976625,0.976625,0.976625,0.976625,0.976625,0.976625,0.5766249999999999,0.8099583333333333,0.776625,0.776625,0.6432916666666667,0.6432916666666667,0.6432916666666667,0.6432916666666667,0.6432916666666667,0.6432916666666667,0.6432916666666667,0.8099583333333333,0.8099583333333333,0.8337678571428572,0.8337678571428572,0.8099583333333333,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8099583333333333,0.8337678571428572,0.8099583333333333,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8099583333333333,0.8337678571428572,0.6432916666666667,0.8099583333333333,0.8337678571428572,0.8099583333333333,0.8099583333333333,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.976625,0.8099583333333333,,0.376625,0.47662499999999997,-0.023375,0.8337678571428572,0.8099583333333333,0.976625,0.976625,0.976625,0.5766249999999999,0.8099583333333333,0.776625,0.776625,0.6432916666666667,0.6432916666666667,0.6432916666666667,0.6432916666666667,0.6432916666666667,0.6432916666666667,0.6432916666666667,0.8099583333333333,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8099583333333333,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8099583333333333,0.8337678571428572,0.6432916666666667,0.8099583333333333,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.8337678571428572,0.976625,0.8099583333333333
lapgyn4_surgical_actions,0.35229990000000005,-0.0477001,0.15229989999999996,0.35229990000000005,0.7856332333333333,0.8094427571428572,0.8094427571428572,0.7856332333333333,0.9522999,0.9522999,0.9522999,0.9522999,0.9522999,0.9522999,0.9522999,0.9522999,0.7856332333333333,0.7856332333333333,0.7522999,0.7522999,0.35229990000000005,0.35229990000000005,0.35229990000000005,0.35229990000000005,0.35229990000000005,0.35229990000000005,0.35229990000000005,0.7856332333333333,0.7856332333333333,0.8094427571428572,0.8094427571428572,0.7856332333333333,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.7856332333333333,0.8094427571428572,0.7856332333333333,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.7856332333333333,0.8094427571428572,0.8094427571428572,0.7856332333333333,0.8094427571428572,0.7856332333333333,0.7856332333333333,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.9522999,0.7856332333333333,0.35229990000000005,,0.15229989999999996,0.35229990000000005,0.8094427571428572,0.7856332333333333,0.9522999,0.9522999,0.9522999,0.7856332333333333,0.7856332333333333,0.7522999,0.7522999,0.35229990000000005,0.35229990000000005,0.35229990000000005,0.35229990000000005,0.35229990000000005,0.35229990000000005,0.35229990000000005,0.7856332333333333,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.7856332333333333,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.7856332333333333,0.8094427571428572,0.8094427571428572,0.7856332333333333,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.8094427571428572,0.9522999,0.7856332333333333
lapgyn4_instrument_count,0.4543148,0.15431479999999997,-0.045685199999999995,0.4543148,0.8114576571428571,0.8293147999999999,0.8293147999999999,0.8114576571428571,0.9543147999999999,0.9543147999999999,0.9543147999999999,0.9543147999999999,0.9543147999999999,0.9543147999999999,0.9543147999999999,0.9543147999999999,0.8114576571428571,0.8114576571428571,0.7876481333333333,0.7876481333333333,0.4543148,0.4543148,0.4543148,0.4543148,0.4543148,0.4543148,0.4543148,0.8114576571428571,0.8114576571428571,0.8293147999999999,0.8293147999999999,0.8114576571428571,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8114576571428571,0.8293147999999999,0.8114576571428571,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8114576571428571,0.8293147999999999,0.8293147999999999,0.8114576571428571,0.8293147999999999,0.8114576571428571,0.8114576571428571,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.9543147999999999,0.8114576571428571,0.4543148,0.15431479999999997,,0.4543148,0.8293147999999999,0.8114576571428571,0.9543147999999999,0.9543147999999999,0.9543147999999999,0.8114576571428571,0.8114576571428571,0.7876481333333333,0.7876481333333333,0.4543148,0.4543148,0.4543148,0.4543148,0.4543148,0.4543148,0.4543148,0.8114576571428571,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8114576571428571,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8114576571428571,0.8293147999999999,0.8293147999999999,0.8114576571428571,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.8293147999999999,0.9543147999999999,0.8114576571428571
lapgyn4_anatomical_actions,-0.030685300000000002,0.3693147,0.4693147,-0.030685300000000002,0.8026480333333333,0.8264575571428572,0.8264575571428572,0.8026480333333333,0.9693147,0.9693147,0.9693147,0.9693147,0.9693147,0.9693147,0.9693147,0.9693147,0.5693147,0.8026480333333333,0.7693147,0.7693147,0.6359813666666667,0.6359813666666667,0.6359813666666667,0.6359813666666667,0.6359813666666667,0.6359813666666667,0.6359813666666667,0.8026480333333333,0.8026480333333333,0.8264575571428572,0.8264575571428572,0.8026480333333333,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8026480333333333,0.8264575571428572,0.8026480333333333,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8026480333333333,0.8264575571428572,0.6359813666666667,0.8026480333333333,0.8264575571428572,0.8026480333333333,0.8026480333333333,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.9693147,0.8026480333333333,-0.030685300000000002,0.3693147,0.4693147,,0.8264575571428572,0.8026480333333333,0.9693147,0.9693147,0.9693147,0.5693147,0.8026480333333333,0.7693147,0.7693147,0.6359813666666667,0.6359813666666667,0.6359813666666667,0.6359813666666667,0.6359813666666667,0.6359813666666667,0.6359813666666667,0.8026480333333333,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8026480333333333,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8026480333333333,0.8264575571428572,0.6359813666666667,0.8026480333333333,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.8264575571428572,0.9693147,0.8026480333333333
sklin2_skin_lesions,0.8291029333333334,0.8291029333333334,0.8529124571428572,0.8291029333333334,-0.0042304000000000005,0.8291029333333334,0.5957696,0.7957696000000001,0.9957696,0.9957696,0.9957696,0.9957696,0.9957696,0.9957696,0.9957696,0.9957696,0.7957696000000001,0.4957696,0.7457696,0.7457696,0.8291029333333334,0.8291029333333334,0.8291029333333334,0.8291029333333334,0.8291029333333334,0.8291029333333334,0.8291029333333334,-0.0042304000000000005,0.7957696000000001,0.5957696,0.5957696,-0.0042304000000000005,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,-0.0042304000000000005,0.5957696,-0.0042304000000000005,0.5957696,0.5957696,0.5957696,0.8291029333333334,0.8291029333333334,0.7957696000000001,0.8291029333333334,0.8291029333333334,0.7957696000000001,0.5957696,0.7957696000000001,0.7957696000000001,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.9957696,0.7957696000000001,0.8291029333333334,0.8291029333333334,0.8529124571428572,0.8291029333333334,0.5957696,0.7957696000000001,0.9957696,0.9957696,0.9957696,0.7957696000000001,0.4957696,0.7457696,0.7457696,0.8291029333333334,0.8291029333333334,0.8291029333333334,0.8291029333333334,0.8291029333333334,0.8291029333333334,0.8291029333333334,0.7957696000000001,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,-0.0042304000000000005,0.5957696,0.8291029333333334,0.8291029333333334,0.7957696000000001,0.8291029333333334,0.8291029333333334,0.7957696000000001,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.5957696,0.9957696,0.7957696000000001
identify_nbi_infframes,0.8491273571428573,0.8491273571428573,0.8669845,0.8491273571428573,0.8253178333333334,-0.0080155,0.3919845,0.5919845,0.9919845,0.9919845,0.9919845,0.9919845,0.9919845,0.9919845,0.9919845,0.9919845,0.8253178333333334,0.8253178333333334,0.7919845000000001,0.7919845000000001,0.6586511666666668,0.6586511666666668,0.6586511666666668,0.6586511666666668,0.6586511666666668,0.6586511666666668,0.6586511666666668,0.8253178333333334,0.8253178333333334,0.6586511666666668,0.8491273571428573,0.8253178333333334,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8253178333333334,0.8491273571428573,0.8253178333333334,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.6586511666666668,0.6586511666666668,0.8253178333333334,0.6586511666666668,0.6586511666666668,0.5919845,0.6586511666666668,0.8253178333333334,0.8253178333333334,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.9919845,0.8253178333333334,0.8491273571428573,0.8491273571428573,0.8669845,0.8491273571428573,0.3919845,0.5919845,0.9919845,0.9919845,0.9919845,0.8253178333333334,0.8253178333333334,0.7919845000000001,0.7919845000000001,0.6586511666666668,0.6586511666666668,0.6586511666666668,0.6586511666666668,0.6586511666666668,0.6586511666666668,0.6586511666666668,0.8253178333333334,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8253178333333334,0.8491273571428573,0.6586511666666668,0.6586511666666668,0.8253178333333334,0.6586511666666668,0.6586511666666668,0.5919845,0.6586511666666668,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.8491273571428573,0.9919845,0.8253178333333334
laryngeal_tissues,0.8390222571428572,0.8390222571428572,0.8568794,0.8390222571428572,0.5818793999999999,0.3818794,-0.0181206,0.5818793999999999,0.9818794,0.9818794,0.9818794,0.9818794,0.9818794,0.9818794,0.9818794,0.9818794,0.8152127333333333,0.5818793999999999,0.7818794,0.7818794,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.5818793999999999,0.8152127333333333,0.3818794,0.6485460666666667,0.5818793999999999,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.5818793999999999,0.6485460666666667,0.5818793999999999,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.8390222571428572,0.8390222571428572,0.8152127333333333,0.8390222571428572,0.6485460666666667,0.5818793999999999,0.3818794,0.8152127333333333,0.8152127333333333,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.9818794,0.8152127333333333,0.8390222571428572,0.8390222571428572,0.8568794,0.8390222571428572,,0.5818793999999999,0.9818794,0.9818794,0.9818794,0.8152127333333333,0.5818793999999999,0.7818794,0.7818794,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.8152127333333333,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.5818793999999999,0.6485460666666667,0.8390222571428572,0.8390222571428572,0.8152127333333333,0.8390222571428572,0.6485460666666667,0.5818793999999999,0.3818794,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.6485460666666667,0.9818794,0.8152127333333333
nerthus_bowel_cleansing_quality,0.7993026333333334,0.7993026333333334,0.8231121571428572,0.7993026333333334,0.7659693000000001,0.5659693,0.5659693,-0.034030700000000004,0.9659693,0.9659693,0.9659693,0.9659693,0.9659693,0.9659693,0.9659693,0.9659693,0.4659693,0.4659693,0.29930263333333335,0.29930263333333335,0.5659693,0.5659693,0.5659693,0.5659693,0.5659693,0.5659693,0.5659693,0.7659693000000001,0.7659693000000001,0.5659693,0.7993026333333334,0.7659693000000001,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7659693000000001,0.7993026333333334,0.7659693000000001,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7659693000000001,0.7993026333333334,0.5659693,0.4659693,0.5659693,0.7659693000000001,0.7659693000000001,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.9659693,0.7659693000000001,0.7993026333333334,0.7993026333333334,0.8231121571428572,0.7993026333333334,0.5659693,,0.9659693,0.9659693,0.9659693,0.4659693,0.4659693,0.29930263333333335,0.29930263333333335,0.5659693,0.5659693,0.5659693,0.5659693,0.5659693,0.5659693,0.5659693,0.7659693000000001,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7659693000000001,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7659693000000001,0.7993026333333334,0.5659693,0.4659693,0.5659693,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.7993026333333334,0.9659693,0.7659693000000001
stanford_dogs_image_categorization,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,-0.0446708,0.6219958666666667,0.4553292,0.4553292,0.4553292,0.4553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.4553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.6219958666666667,0.4553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.9553292,0.4553292,0.9553292
svhn,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.6073757666666667,-0.0592909,0.44070909999999996,0.44070909999999996,0.44070909999999996,0.44070909999999996,0.6073757666666667,0.6073757666666667,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.44070909999999996,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,,0.44070909999999996,0.6073757666666667,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.9407091,0.44070909999999996,0.9407091
