,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,66.79857747395832,113.57728854166666,142.66638893229165,224.33337109375,216.079721484375,312.2248795572916,177.13500781249996,288.97158828125,317.6448182291666,262.41505755208334,259.33373723958334,288.41498828125,285.5979673177083,340.128578125,342.58853815104163,150.383693359375,142.60118997395833,177.6344619791667,162.920347265625,102.11850390625,129.25320755208332,129.42702630208333,129.38228619791667,129.05304270833335,129.08431888020834,129.11062096354163,238.22016497395833,206.7191950520833,283.7948346354167,306.08505117187497,243.4057828125,308.34381510416665,285.76922434895835,281.6975470052083,284.53545807291664,285.63717578125,284.3633973958333,283.30226328124996,283.21796536458334,285.120559765625,286.10151744791665,283.6721611979167,282.9422532552083,283.04673359375,285.78192421874996,302.23826731770833,247.22515807291666,303.3618223958333,251.08662213541666,287.7326075520833,314.12735208333334,279.73981979166666,286.838883984375,287.01325234374997,286.868129296875,287.3090567708333,211.849622265625,217.87936145833334,216.22963203125005,250.11808515625003,303.40543242187493,309.45891419270833,273.31100625,281.3601072916666,318.32812330729166,299.79447578124996,302.12574296875,295.31041445312496,306.35745481770834,286.10900846354167,5.53525247395833,67.86152408854167,113.81467578125,143.42961419270833,312.64721601562496,177.75301640624997,317.8271821614583,288.6859486979166,339.8246649739583,150.39336718750002,142.82181236979164,177.14668802083332,162.8861671875,101.86218398437498,129.77902734375,129.59068437500002,129.939596484375,131.30118190104167,128.639206640625,128.873296875,209.89082747395835,307.17580703125,308.31299713541665,286.1408130208333,280.8488249999999,284.33570260416667,285.61411809895833,284.06789544270833,282.9817278645833,283.4506033854167,284.38540820312494,286.52696588541664,284.70513723958334,283.39249739583335,283.34352083333334,285.46326328124997,302.0768024739583,303.76503307291665,249.30277356770833,288.8158700520833,286.24228867187503,285.9443203125,286.46276249999994,287.63580221354164,212.3403171875,216.65150208333336,213.8398579427083,308.87976875,273.0761845052083,281.99229934895834,316.63280690104165,299.2390528645833,303.1107811197917,294.77984921875,306.14851992187494,287.0497326822916
lapgyn4_surgical_actions,66.79857747395832,0.0,87.72704700520833,110.873803125,229.59629986979166,218.4695197916667,311.2178700520833,187.85204257812498,290.981833984375,314.96150950520837,263.20060377604165,259.722547265625,287.0201220052083,285.04779947916666,338.35719804687494,340.4879627604167,171.20893046875,165.58231692708333,188.95804127604168,168.91999166666668,92.295125390625,112.49151809895832,112.58810273437501,112.37271158854165,112.255586328125,112.39597083333334,112.18607578125,242.67971406250004,193.58644856770832,285.1142196614583,305.83445052083334,249.29664830729166,308.10317695312494,284.61492499999997,280.1477018229167,282.67231497395835,284.6844587239583,282.27321549479166,282.1543602864583,282.15707148437497,283.210265625,284.560887890625,281.96226289062497,282.16854140625003,282.83077174479166,283.74256966145833,303.9172408854167,247.13724309895832,305.03102669270834,258.326216796875,297.4011110677083,314.1279149739583,284.3060087239583,296.3739346354167,296.63249231770834,296.348965625,296.92794752604163,221.734503125,229.1174220052083,228.22535403645833,256.61834986979164,311.86791041666663,306.20205442708334,268.13939700520837,277.17168763020834,317.40537682291665,295.4351899739583,300.336890234375,293.0922080729166,310.8945588541667,297.55403671875,66.19160208333334,6.710961197916667,88.20509648437499,112.19667656250002,311.59762526041663,188.37986757812502,315.31165624999994,287.4212454427083,338.06426197916664,170.47284231770834,165.55265026041667,188.33891236979167,169.00267018229167,91.744325,112.36567877604166,112.755683984375,113.31686614583333,114.09375729166666,111.37612005208332,110.82710221354166,196.38981796875,306.8222498697917,308.024455859375,285.0765069010416,279.36683945312495,282.44509648437503,284.79966432291667,282.1213330729166,281.7150454427083,282.29948580729166,282.4129002604167,284.8738860677083,283.03426210937494,282.533130078125,283.0458779947917,283.541575390625,303.68207213541666,305.51773059895834,256.6807833333333,298.50816601562497,295.79381484375,295.55791705729166,295.89569570312494,297.19187578125,222.2788795572917,228.024769921875,225.96018828125003,305.4846704427083,268.02088307291666,277.92353437500003,315.6676755208333,294.8763701822917,301.16342526041666,292.446035546875,310.72392291666665,298.50860989583333
lapgyn4_instrument_count,113.57728854166666,87.72704700520833,0.0,46.133468359375,249.265671875,237.7422141927083,328.29077903645833,170.49427369791667,310.70429453124996,332.67372734375,284.9280979166667,283.2642736979167,307.9811546875,306.69949205729165,356.75442578125,358.5160436197917,169.55358580729165,156.51717799479164,172.75808932291665,162.974771484375,69.47252109375,63.03141614583334,63.27507604166667,62.77909244791667,63.06939661458333,63.71574908854167,63.18885455729166,264.53319518229165,188.22221927083334,304.07600833333333,323.429244140625,265.8366875,319.7774729166667,282.8692493489583,277.9341358072917,279.9008669270833,283.21229427083335,279.30201901041664,280.39195364583327,280.5496908854167,280.3025430989583,282.24179921875,279.45578984375,280.9467045572917,281.97637421875,280.5334276041666,302.5798037760417,261.7695658854167,303.79486510416666,287.0416916666667,298.12581875,311.82893177083326,288.08549843749995,297.16419414062494,297.31800234375,297.11807460937496,297.53179635416666,238.83897825520833,249.60931770833332,248.8996817708333,264.7064197916667,314.4133936197917,312.369533203125,274.25224791666665,285.0336270833333,325.04846627604167,305.8075677083333,308.83931276041665,298.36838372395835,319.4676720052083,300.84601497395835,114.67726627604168,89.09468919270833,4.986321875000001,47.92873684895833,328.77133059895834,171.68890390624998,332.980770703125,308.37487239583334,356.4243944010417,168.43123932291667,156.21276783854165,172.37828880208332,162.73161354166666,69.85517330729166,63.81165989583333,63.25582708333333,64.657455859375,63.61818059895834,61.64432356770834,64.8874265625,190.12408632812503,324.3942260416667,319.717609375,283.24258515625,277.13851666666665,279.73868567708337,283.4978977864583,279.13129205729166,280.05998932291664,280.63292786458334,279.58325638020835,282.2829684895833,280.53331875,281.37038697916665,282.2223122395833,280.1170911458333,302.32932955729166,304.28416328124996,285.41279908854165,299.09972161458336,296.4571592447916,296.37040911458337,296.7397919270833,297.7226212239583,239.49037343749995,248.61982630208337,246.57985299479165,311.59946718749995,274.03327643229164,285.5785665364583,323.50249570312496,305.30255807291667,309.42292148437497,297.7135802083333,319.39718945312495,301.63308606770835
lapgyn4_anatomical_actions,142.66638893229165,110.873803125,46.133468359375,0.0,272.82137330729165,259.52721848958333,341.80236718749995,188.67304544270831,328.329012890625,346.6484631510416,304.9475217447917,303.92832096354164,326.0767470052083,325.16880833333335,367.2877438802084,368.297596875,197.55531614583333,182.23832447916666,190.9261944010417,183.32496588541667,100.70772981770833,82.64454101562501,82.698948046875,82.03485872395834,82.86566549479166,83.38997421875001,82.89498880208333,285.9307299479167,194.99038841145833,322.7160608072917,337.0678005208334,285.779277734375,330.0397470052083,292.7471950520833,287.96699296875,289.5239290364583,293.38298164062496,288.886344921875,290.6174165364583,290.95645820312495,289.88924609375,291.6538696614583,289.237690234375,291.5270981770833,292.90143554687495,289.7144259114583,311.89718359375,277.9199946614583,312.94028684895835,309.57939075520835,313.423730078125,320.439648046875,301.39215351562495,312.68285625,312.790252734375,312.6965153645833,312.90025221354165,263.23652031250003,273.975909765625,273.3777509114583,283.5152977864583,326.6287997395833,324.96391744791663,288.77894179687496,299.3204967447916,338.4281721354167,320.93786419270833,324.45151106770834,313.12136093749996,335.55140078125,314.57581562499996,143.71396614583333,112.68481041666666,45.081283723958336,5.105003906250003,342.21704244791664,189.962215234375,347.056525,326.4065990885416,367.03019921874994,196.39960143229166,182.04315755208336,190.83609622395832,182.99289309895835,101.24751927083332,82.93806289062499,82.58315611979165,83.74563046875001,81.8006421875,81.79420859375,86.17895377604168,195.93725807291668,337.89800013020835,329.98534440104163,293.0418055989583,287.33330742187496,289.47850768229165,293.6211010416667,288.7760979166667,290.252661328125,291.0348256510416,289.24265078125,291.444948828125,290.1201962239583,292.141848046875,293.04449283854166,289.31104700520837,311.59204687499994,313.39894674479166,308.1502515625,314.21984674479165,312.01956119791663,312.0555311197916,312.3439345052083,313.0534234375,263.9080126302083,273.172208984375,271.14163984375,323.99995221354163,288.58285078125,299.7198333333333,337.2100377604167,320.74499830729167,324.77790546874996,312.39416054687496,335.4061875,315.26164921875
sklin2_skin_lesions,224.33337109375,229.59629986979166,249.265671875,272.82137330729165,0.0,186.71687330729168,258.79614908854165,257.4950205729167,254.31055911458333,264.34804401041663,219.99111796875002,216.39849739583337,239.44087109375,234.681757421875,296.3454005208333,297.96787539062495,198.82373841145832,208.55894414062504,254.27091067708332,214.13122929687498,235.57937890625,247.38911536458332,247.7797083333333,247.8724158854167,247.03273515624997,246.89893971354164,247.00328111979167,104.38118190104167,252.62889479166665,215.08363177083334,272.88098424479165,142.33541406249998,298.5025674479167,289.97002278645834,287.5809290364583,291.2037809895833,288.59961328125,291.29090078125,287.7049869791667,286.56593203125,291.802357421875,292.12292734375,289.8399606770833,285.2631092447917,287.9027708333333,293.37880182291667,308.33435299479163,125.47503645833334,309.25902057291665,112.938978125,279.6059247395833,312.9726833333333,278.3362770833333,278.3668149739583,278.82418906249995,278.32084778645833,279.25942135416665,161.53681471354167,161.93301666666667,162.23497786458333,243.21349114583336,293.65302955729163,304.01148268229167,280.5799856770833,282.04842447916667,306.109876171875,292.81584296874996,291.0641848958333,293.78280533854166,238.41615325520834,275.85131028645833,223.5131290364583,228.152958203125,250.23089166666665,274.0482399739583,259.6875477864583,256.50802447916664,264.6329329427083,239.70846093749998,296.089539453125,198.08071822916668,207.970676953125,253.3349890625,214.96245807291666,233.70304700520833,247.69757760416667,248.1297341145833,247.67272356770832,249.92451106770832,246.68564908854165,243.09762916666665,256.195164453125,273.9910567708333,298.3216682291667,290.74612786458334,286.87838645833335,290.9747098958333,288.5456891927083,290.8852313802083,287.71028515625,286.8302864583333,291.0389993489583,292.99383880208336,290.79364765624996,285.07202994791663,288.11849765625,293.3811703125,308.5656772135417,309.84727968749996,111.34480950520833,281.0250315104166,278.1614688802083,277.34610937499997,277.91404921875,279.6155743489583,160.36356744791664,161.10916380208334,161.36687044270832,304.24055182291664,280.64480924479165,282.88160455729167,303.874695703125,291.81907343750004,292.11925403645836,293.1673622395833,238.10282200520834,277.093994140625
identify_nbi_infframes,216.079721484375,218.4695197916667,237.7422141927083,259.52721848958333,186.71687330729168,0.0,178.7287908854167,239.19655533854169,238.1954920572917,196.65799127604168,195.28636419270833,190.64015169270834,189.06176627604168,179.58614296874998,252.10430325520832,252.15027682291668,200.80247291666666,214.79905677083335,235.55536002604168,202.55427708333332,224.25811158854168,232.356401953125,232.51384179687503,232.64169283854167,231.80114205729166,231.339534375,231.53833359375,185.44797734374998,239.43696106770835,161.87742252604167,254.16431249999997,235.94372148437498,291.03221705729163,294.8632755208333,290.79572083333335,293.818266015625,294.7719951822917,293.43857200520836,292.470185546875,292.33102513020833,294.1453736979167,295.632289453125,292.66246627604164,292.23072656249997,297.45777877604166,295.35828528645834,310.8376390625,193.62681783854168,312.0595092447916,188.59538138020835,293.616138671875,323.818879296875,294.4101743489583,292.44450416666666,292.782347265625,292.1247028645833,293.31576028645827,158.49287369791665,153.978530859375,154.848983203125,222.959329296875,305.95388177083333,300.11178229166666,270.9434873697917,275.32555039062504,306.01842421875,286.59587929687495,285.17861445312496,289.6241723958333,284.16297421875,296.10164921875,214.68246901041667,216.54562916666669,239.21063242187498,260.92802734375,179.334065625,238.01791549479165,198.03849921875,189.41971914062498,251.65218177083335,199.84966289062504,214.21619453125004,234.29764231770832,203.71856783854167,221.79685598958332,231.71266549479165,233.09467929687503,232.60597552083334,234.95872109375003,231.71695677083335,226.57150507812503,244.61271302083335,255.42266263020832,290.95090195312497,295.463916015625,289.85159205729167,293.88481992187496,294.88930546874997,292.8221677083334,292.1799983072917,292.62169960937496,293.1981734375,296.42731861979166,293.63332877604165,292.656169140625,297.79180846354166,295.18759049479166,311.0157364583333,312.4601537760417,189.02989244791667,294.989209765625,292.11759921875,291.256828515625,291.725283984375,293.6628575520833,157.63745768229165,153.33116653645834,155.47414140625,300.3299095052083,271.31976328125,276.5034057291667,303.83747161458336,285.447737109375,286.16303124999996,289.023777734375,284.17782421875,297.2680471354166
laryngeal_tissues,312.2248795572916,311.2178700520833,328.29077903645833,341.80236718749995,258.79614908854165,178.7287908854167,0.0,320.7461889322916,257.3308188802083,102.82631861979166,222.71092330729167,222.27281471354164,161.201613671875,141.987915625,200.2258345052083,195.29836458333332,303.5882057291666,315.3841393229166,318.18827773437494,303.92486354166664,315.66754674479165,323.25194049479165,323.4168641927083,323.63009596354163,322.884560546875,322.6156924479167,322.6223611979167,250.68493854166664,313.5557095052083,198.233788671875,258.76596171874996,281.057746484375,317.921173828125,347.01627369791663,345.43179114583336,347.08944414062495,346.9199029947916,347.1605470052083,345.70476575520826,345.69405403645834,347.21164218749993,347.6215623697916,346.33560768229165,345.01465572916663,348.66997070312493,348.09817877604166,353.35048229166665,263.7088649739583,354.226251171875,227.83834231770834,340.48438736979165,362.04187460937493,341.89397513020833,339.69665729166667,339.9787475260417,339.4952458333333,340.33667955729163,218.3340760416667,202.56261341145833,203.15124335937503,282.86306393229165,339.83681328125,322.38694635416664,313.0380904947917,308.16232747395827,324.09372916666666,309.44917174479167,309.0560540364583,315.45026953125,308.0496390625,346.35547057291666,310.66215390624996,309.6233674479166,329.36076627604166,342.7547096354166,3.755776302083336,319.4576157552083,104.59876015625,161.52793763020833,200.08272552083332,303.0095686197916,315.37207942708335,317.0420813802083,304.8260485677083,313.45199713541666,322.59844648437496,323.883327734375,323.39508697916665,325.11367916666666,322.90347916666667,317.946373828125,317.6558184895833,259.38000898437497,317.9188712239584,347.5014647135416,344.65164257812495,347.2819397135416,346.69187265625,346.8803747395833,345.334133203125,346.14564101562496,346.76990078124993,348.35572981770827,346.91398372395827,345.26427643229164,348.608546484375,347.9373720052083,353.5153848958333,354.5034319010416,229.49966145833332,341.56283190104165,339.5754559895833,338.9431524739583,339.20274570312495,340.63414505208334,217.43793398437498,202.54830585937503,206.16527578125002,322.97896679687494,313.5766265625,309.08192786458335,322.58915494791665,308.33020664062497,309.7655492187499,315.4072899739583,308.1179197916666,347.20152890624996
nerthus_bowel_cleansing_quality,177.13500781249996,187.85204257812498,170.49427369791667,188.67304544270831,257.4950205729167,239.19655533854169,320.7461889322916,0.0,309.77841640624996,329.34818776041664,285.6040036458333,284.10449296875004,307.93667005208334,307.277385546875,346.0417549479167,349.4484766927083,123.44947148437498,104.04091966145832,34.682591145833335,107.64523085937499,151.63476770833336,150.20731640625002,150.35241328125,150.1767171875,149.91006223958334,149.85401158854168,150.21038268229165,260.21363450520835,180.72235364583332,301.8541583333333,318.312212890625,264.2691205729167,314.3328005208333,279.9682733072916,276.3942977864583,278.83805546875,280.40330989583333,278.29839765625,278.10857187499994,278.3952911458333,279.14833736979165,280.21793932291666,278.0376166666666,278.64795325520834,283.09719010416666,279.8503466145833,294.38493710937496,259.25866927083337,295.68898932291665,286.736796875,271.7172838541666,307.572690625,263.4364606770833,270.81098033854164,270.98779375000004,270.89412643229167,271.2840205729167,214.40836523437503,227.60483645833335,226.4634078125,253.03536015624996,290.648541796875,321.0601087239583,284.52114453125,296.21941015625,330.3435415364583,318.31646432291666,315.66897630208337,305.1808889322916,324.4121415364583,278.36282955729166,177.75307721354164,188.95680950520833,170.86745364583334,188.23315065104168,321.09324309895834,5.867055208333335,329.6376165364583,308.3108760416667,345.93811028645825,124.13522005208335,104.93103085937499,34.81644088541667,106.62039505208332,151.177182421875,150.69012395833334,149.81849375000002,149.75189882812498,151.57113111979166,150.104306640625,149.93807239583333,182.0957522135417,319.3942716145833,314.21594765624997,280.23442057291663,275.44464609374995,278.69712890625,280.4380897135417,278.184486328125,277.90969479166665,278.49068932291664,278.52763997395834,280.61285,279.0170752604166,279.12277656249995,283.4597979166666,279.61229114583335,294.349473046875,296.02888072916664,285.64739830729167,272.676271875,270.23011653645835,269.953021875,270.55175026041667,271.5569420572916,215.80693489583336,226.60788645833333,223.417855078125,320.46663697916665,284.191548828125,296.82367513020836,328.7932524739583,317.82871432291665,316.31839908854164,304.57966666666664,324.285737890625,279.07493476562496
stanford_dogs_image_categorization,288.97158828125,290.981833984375,310.70429453124996,328.329012890625,254.31055911458333,238.1954920572917,257.3308188802083,309.77841640624996,0.0,249.18971015625,145.97300442708337,144.27842552083334,173.20893229166666,188.508286328125,273.29004375,274.15793632812495,285.5263977864583,294.9449180989583,309.69788229166664,286.537736328125,301.1351661458333,310.97438854166666,311.1612859375,311.2943557291667,310.54787473958334,310.357808203125,310.39880533854165,249.42869205729167,293.97282890625,243.80867578125003,262.23556028645834,282.19095625,301.2363630208333,321.11556236979163,318.47797721354164,321.49409427083333,320.53044270833334,321.43590078125,318.97329036458336,318.7091721354167,321.71718684895836,322.30016875,320.3273151041667,317.63293007812496,320.37404192708334,322.96554895833333,332.58018763020834,272.89500234375,333.61416380208334,243.91700989583333,322.89853906250005,342.67309687499994,311.77760651041666,321.928869921875,322.2429927083333,321.53399466145834,322.61581796875,258.6943915364583,249.67666692708332,250.41296666666668,294.4105671875,329.3837016927083,307.31136236979165,297.5667942708333,289.56994531249995,307.63857799479166,292.62556927083335,291.7516921875,303.45927565104165,270.3806717447917,327.4293678385417,287.851470703125,289.83396471354166,311.68230625,329.40269570312495,257.68905611979164,308.55270859374997,249.0069774739583,172.84926197916667,272.886646484375,285.1410161458333,294.79979205729165,308.91437135416663,287.36904661458334,299.4337850260416,310.31809869791664,311.6702544270833,311.303771484375,313.46326705729166,310.670826953125,306.362509375,297.39961106770835,263.14835390625,301.00004296875,321.9805372395833,317.77179817708327,321.58959635416664,320.18362252604163,320.9891165364583,318.95444661458333,319.13200416666666,321.11617408854164,323.1926473958333,321.3244796875,317.82716041666663,320.2578890625,322.7522580729167,332.608239453125,333.95919375,243.57232643229167,324.0637036458333,321.6971470052083,320.89927968750004,321.3024565104166,322.9657782552083,257.0881536458333,249.41466536458336,251.14009908854166,307.4133375,297.6799446614583,290.2869540364583,305.92464440104163,291.36085104166665,292.7104873697916,303.3299453125,270.50280221354166,328.2418662760416
svhn,317.6448182291666,314.96150950520837,332.67372734375,346.6484631510416,264.34804401041663,196.65799127604168,102.82631861979166,329.34818776041664,249.18971015625,0.0,211.7162432291667,208.4660833333333,143.79086927083335,121.69434752604168,184.6973015625,181.73529205729164,312.06261393229164,324.3172009114583,327.6052005208333,311.05341809895833,320.2396294270833,328.39342708333334,328.4906903645833,328.72956588541666,327.9704263020833,327.7121139322917,327.692900390625,264.26056705729167,318.6425947916666,202.2833359375,255.28048190104167,297.52292656249995,310.60740442708334,343.78256757812494,341.8442069010417,343.44178984375003,343.751840625,343.2034442708333,342.39532838541663,342.38607994791664,343.4230772135416,344.23615833333326,342.80056953124995,341.820028515625,345.9069109375,344.26296380208333,350.5729196614583,279.8090763020833,351.6542736979166,240.36656536458332,342.1888434895833,361.5891833333333,339.32738567708327,341.33848085937495,341.6285083333333,341.06986705729173,342.0113466145833,241.67804908854168,225.53922734374999,226.094946875,286.40482578125,344.9121266927083,322.32023736979164,309.6411296875,304.25407552083334,324.3943876302083,306.70505546874995,306.56214453125,312.67945143229167,307.52808997395834,350.3675399739583,315.9289358072916,313.44130169270835,333.81790963541664,347.6774566406249,102.13878502604167,328.19366354166664,5.756618098958334,143.96415286458333,184.28052773437503,311.5277796875,324.32274283854167,326.3680049479167,312.04712890625,318.243619140625,327.7990231770833,328.9247104166667,328.4345454427083,330.3062826822916,328.2498548177083,322.9691651041667,322.540809765625,255.81008229166665,310.5196075520833,344.3597161458333,340.98386953125,343.74458515625,343.46129856770824,342.8434516927083,342.03911067708333,342.78619427083333,343.028650390625,344.96305546874993,343.4511867187499,342.0721255208333,345.8634325520833,344.15203177083333,350.6419022135416,351.90889374999995,241.79400403645835,343.3332286458333,341.154018359375,340.43443437499997,340.7882533854167,342.27181315104167,240.41337161458333,225.70120598958331,228.6164095052083,322.9428934895833,310.04176888020834,305.26901471354165,322.874558203125,305.4348658854167,307.1976782552083,312.5620171875,307.719494140625,350.9960527343749
