,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,73.45249973958335,88.15490390625001,111.63919752604167,202.6475493489583,185.91878046874996,243.07457005208335,171.7923438802083,195.20997434895835,261.7516118489583,184.90437747395836,181.20727486979172,216.244428125,212.84687044270834,293.5417955729166,296.43308893229164,145.42853098958332,146.99879427083334,176.729656640625,154.720126953125,114.83956015625002,117.55439361979168,117.67322890624999,117.11779609375,117.42026796875001,117.69199505208334,117.71002669270833,205.71720507812498,177.94713502604168,202.30822122395833,236.478708984375,217.81436614583333,244.11589440104163,229.0654369791667,230.46179752604166,236.31967604166667,229.67008489583333,237.66767526041667,228.38234908854167,228.16627083333333,237.88111627604167,235.2742395833333,232.9491274739583,228.23712291666666,225.998726171875,239.553202734375,254.21979661458332,226.71500117187497,254.20120377604167,208.71296757812502,249.48282460937503,263.4317135416667,222.58904453125,249.02286393229167,248.96727812500004,249.12474205729168,249.3909421875,195.72895208333333,197.36541744791668,197.6281544270833,223.154646484375,270.39654622395835,237.70764466145835,218.1001837239583,217.74831562499998,240.35730013020833,221.84848229166667,227.74357968750002,232.25313984375,239.94856744791664,242.52083124999996,6.832839322916667,73.79255260416666,87.53601458333333,111.15900026041666,243.5204234375,173.56867395833333,262.93528411458334,215.707202734375,292.57066276041667,144.9368399739583,147.05194114583335,176.57303567708337,155.21725234375,114.49491223958333,119.42534778645836,117.56222695312502,119.13046289062501,119.06230963541668,117.46030533854169,119.64522330729167,179.868983984375,237.36135416666667,243.82803177083332,230.6777354166667,231.1827390625,235.81210846354168,230.11865377604164,236.752116015625,227.93116536458334,227.81060950520833,236.2254143229167,236.41459375000002,233.77557955729168,228.13062330729167,226.34378867187502,239.30725156250003,254.25359049479167,254.14915403645833,209.06083841145835,249.472217578125,249.678903515625,249.52090546875002,249.325578125,249.5920723958333,195.36496380208337,196.87201783854167,197.8347626302083,238.0415619791667,218.02802187499998,218.3571484375,239.78317018229168,221.66766184895835,228.21872786458337,231.43416510416665,240.11288580729166,242.40578854166668
lapgyn4_surgical_actions,73.45249973958335,0.0,56.20325651041666,66.51793971354167,194.18886705729167,183.42865885416668,240.87507447916667,181.13058294270832,187.0667358072917,257.3372178385417,174.57698111979167,170.337725390625,211.4274557291667,207.17245768229168,292.25955677083334,296.2667748697916,160.35712109374998,160.45725416666667,186.61528893229166,159.32011419270833,100.09245885416665,103.09783658854167,103.12282942708333,102.73099765625001,102.93169375,103.06905520833335,103.14929335937501,196.38627434895835,172.69028424479168,196.89463710937503,231.9508670572917,211.54439479166666,237.98408997395836,227.04782395833334,227.098458984375,232.86118802083334,226.79661041666668,234.53419921875002,225.68544726562496,225.0214625,235.16970742187505,232.60622812499997,229.58840924479165,224.3776018229167,224.19084674479168,236.28546992187503,259.4525768229166,215.71961106770834,259.9093555989583,202.30750716145832,249.85219674479166,269.29542291666667,220.30754687499999,249.25377408854166,249.25941119791665,249.28389492187495,249.59025208333333,192.80387812499998,198.82479010416665,199.65303255208335,216.34885169270834,269.09561497395833,236.58836601562498,217.2742540364583,214.18205520833334,239.984457421875,216.78186093749997,224.03625234375002,230.15031432291667,236.43522864583338,243.65237864583332,73.92088463541667,7.585517968749999,56.25600026041667,67.05279427083333,241.33851276041668,182.55562291666666,258.6857020833333,210.93205768229168,291.203759375,160.02863424479168,160.02184140625002,186.3979973958333,159.68938020833335,100.38498046874999,103.952427734375,102.90845820312502,104.580861328125,104.29290807291666,101.71495481770833,105.06221002604168,174.7090860677083,232.94672916666664,237.67655624999998,228.53030598958335,228.04243828124999,232.28305273437502,227.30796731770835,233.47671888020832,225.05220494791666,224.84986731770834,233.34711119791666,233.61601484375,230.33433528645833,224.32691445312503,224.24175013020832,236.23571692708333,259.73008658854167,259.89227460937497,202.50050403645832,249.66875976562497,249.896981640625,249.819165625,249.44464843749998,249.79221171875,192.41712578125,197.52663085937502,199.54248580729168,236.91309401041667,217.15807734375,214.74372760416668,239.5698279947917,216.580412109375,224.49826302083335,229.02599453125003,236.67420872395832,243.46279765624996
lapgyn4_instrument_count,88.15490390625001,56.20325651041666,0.0,55.355861328125,191.998313671875,179.27907760416667,234.64326354166667,172.9276634114583,184.259751171875,251.324292578125,173.220370703125,168.8384998697917,208.87940625000002,204.30557617187497,290.95487265625,296.328723046875,154.05191302083335,154.129509375,181.26933424479165,153.938851171875,77.47459348958333,74.01588138020833,73.93646432291666,73.59845572916666,73.87200078125001,74.15338567708334,73.90060846354166,196.50232929687496,170.76568684895835,189.8564595052083,231.93590065104164,213.1291622395833,239.20124778645837,222.9758520833333,223.5057006510417,229.76129348958335,222.69906796875003,231.41039765625,221.615508984375,220.52048489583333,232.367953515625,230.12163828125,226.48324622395833,219.04377031250002,223.53361132812498,233.44983059895836,258.43532421875,217.03603554687498,259.08045690104166,204.7917217447917,245.917920703125,268.3782723958333,219.19380494791668,245.304519921875,245.2969651041667,245.28536054687498,245.66750703125,189.70598593749997,196.31445546875003,197.06579895833335,220.39220273437502,265.78403763020833,229.78042460937496,209.084378515625,209.06304322916668,237.83472408854166,212.18331927083332,218.14079010416668,222.8654890625,232.9992328125,244.9144234375,88.50982005208334,56.24453203125,7.791339322916667,56.24151067708334,235.0312403645833,174.55491197916666,252.55744453125,208.235018359375,289.93910520833333,153.89995690104166,153.57311848958335,180.9503388020833,154.22982447916667,78.1441515625,74.80940507812501,74.295362109375,74.89877903645834,74.59298828125,72.203951171875,76.324265234375,172.92362773437503,232.91410598958333,239.07113671875004,224.80310911458335,224.54831041666665,229.06202799479163,223.35901731770835,229.821941796875,220.61533697916667,220.20937617187502,230.15081588541665,231.28080104166668,227.11713294270834,218.95599361979163,223.59149830729166,233.32409817708336,258.66083268229164,259.0397743489583,204.8962631510417,245.689433984375,245.94358424479165,245.8500546875,245.43386223958333,245.84525651041668,189.39777213541666,194.9177751302083,197.364230859375,230.15048828124998,208.85884609375003,209.70488697916667,237.53372799479166,211.882143359375,218.50769557291665,222.10620911458332,233.23927565104168,244.62479062499997
lapgyn4_anatomical_actions,111.63919752604167,66.51793971354167,55.355861328125,0.0,203.72668880208334,195.840184765625,243.524829296875,192.63272552083336,198.3396744791667,261.0238567708333,186.9644013020833,183.36885104166666,221.97764544270834,218.16077682291666,298.247597265625,303.11965338541665,177.51394752604168,178.276110546875,199.88705104166667,175.55524192708333,106.45860559895834,105.75953359375,105.802492578125,105.369883203125,105.76231914062501,105.96703841145836,105.68180703125,206.98607317708334,181.98149869791666,203.5822208333333,244.27265260416667,224.1777428385417,248.0078567708333,237.91920846354165,237.28128229166668,242.24316080729164,237.829901171875,243.414821484375,236.54567291666666,235.83917018229164,244.6745794270833,243.09589361979164,239.78501197916665,234.47419023437502,236.99565859375002,244.99241041666667,271.45106966145835,225.86025286458334,271.83979505208333,215.15381796875,258.8250591145833,280.99977643229164,231.83235221354167,258.3204619791666,258.31068580729163,258.22617994791665,258.58653268229165,207.93771341145833,214.57688372395833,215.66880273437496,231.45083776041662,275.84684322916667,245.19226171874996,226.9469890625,221.13151549479167,249.99915442708334,225.100031640625,231.1998225260417,236.26587981770834,239.804812109375,256.202787109375,112.16024153645834,67.342328515625,55.935076432291666,7.6575707031250015,243.8369759114583,194.026756640625,262.3101141927083,221.24555026041668,297.29569049479164,177.36014713541664,177.88724101562502,199.52436315104165,175.78756184895838,107.11032669270834,106.34863411458333,105.63849322916668,106.089796875,105.48969127604167,104.31606848958333,107.52119453125,183.52290520833336,245.1859298177083,247.934704296875,239.22188815104167,238.38070768229164,241.68142031250002,238.467175,241.87017395833334,235.642698828125,235.43627421875001,242.58962591145837,243.86102981770833,240.45486145833334,234.70517734375,236.99640833333333,245.02460585937501,271.7433411458333,271.7646315104167,215.48047630208333,258.54005234374995,258.8179760416666,258.845776171875,258.279769140625,258.707725390625,207.73977513020833,213.00302395833333,215.63646718750002,245.53565455729168,226.72926835937497,221.71157356770834,249.50993932291664,224.7512731770833,231.73211888020833,235.36511705729166,240.01969921875002,255.91373190104164
sklin2_skin_lesions,202.6475493489583,194.18886705729167,191.998313671875,203.72668880208334,0.0,188.67517981770834,231.49537851562496,208.32064453125,186.28641562500002,247.66228776041663,175.37296588541668,170.98813411458335,204.88561236979166,198.55616744791666,272.688957421875,275.93146640624997,176.381582421875,173.729249609375,214.55194661458336,200.64069270833335,192.9885787760417,192.06962526041667,191.78364049479165,192.06554908854167,191.92979127604167,191.36051002604168,191.92756328124997,113.60646875,198.80880703125,189.64913515625,221.32438359374999,136.10478372395835,229.00554088541665,214.83203242187497,213.68281380208333,220.44538476562502,212.61401393229167,222.16065143229167,212.49286848958334,209.78672460937497,223.65295807291665,221.35455716145833,216.9237315104167,207.8679037760417,217.55281484375,225.29331484374998,249.7722272135417,117.39895052083332,249.82131484375003,120.903284375,221.6539091145833,260.20444674479165,212.40833815104168,221.2228515625,221.14629518229168,221.13122369791665,221.353341796875,170.03648294270835,167.154533203125,168.66609544270835,217.3655341145833,237.85313697916664,225.76397682291667,214.32303645833332,211.40467539062502,236.33110234375002,212.11382044270835,215.10637278645837,218.58476523437503,229.74058658854165,205.16502174479166,202.35071653645835,194.36756783854167,192.8647626302083,203.80503450520837,232.10461705729168,208.3768803385417,248.53013138020833,204.68825286458332,271.9557420572917,176.23629921875,172.90154361979165,214.54062955729165,201.01513059895834,191.78773684895833,192.57848255208336,192.25843880208336,192.44270520833334,193.4309516927083,191.39286145833336,190.5601580729167,200.94225624999996,222.34783190104167,228.43372148437498,216.465958203125,215.25715221354167,219.66043098958335,213.63706588541666,220.30041432291665,211.29681627604168,209.53284427083332,221.20972643229166,222.69493945312502,217.59633671875,207.48195052083332,217.70212447916666,225.39098294270835,249.74270052083332,250.00379713541662,122.346075,221.41471822916665,221.78191588541668,221.72449023437503,221.1506553385417,221.66791914062497,168.94641236979163,165.92398489583334,168.61553489583332,226.3213055989583,214.2593451822917,211.91392591145836,236.10043541666667,212.2483122395833,215.27588763020833,218.01497434895833,229.91359869791668,204.81783242187498
identify_nbi_infframes,185.91878046874996,183.42865885416668,179.27907760416667,195.840184765625,188.67517981770834,0.0,181.08399088541665,177.78650065104165,172.53017330729168,222.65363346354167,161.98932278645833,154.72268320312497,182.57477447916668,175.291392578125,271.18971380208336,273.6613748697917,171.7095109375,163.6400140625,181.719769140625,160.412758203125,178.9047955729167,176.90394570312498,176.7330859375,177.37552682291667,177.05248203124998,176.45811354166668,177.03847200520832,181.96115950520834,183.25248450520832,164.85763450520835,208.3817352864583,200.72997708333335,228.43538528645837,209.99859374999997,210.37692174479167,217.00332213541665,210.49340755208337,218.15575130208333,208.65679283854166,208.18233880208334,219.129069140625,216.9346268229167,213.28300143229166,207.0349609375,214.4950860677083,220.44459466145832,240.2648734375,204.123658203125,241.54395065104168,202.04810169270834,233.866635546875,259.6051458333333,205.81947630208333,232.84701497395832,232.97648932291668,232.98288424479165,233.5763567708333,183.70569401041666,187.38172630208334,188.2165486979167,198.52939205729166,256.56919231770837,211.25144518229166,183.4863225260417,188.88962265625003,222.78995924479165,193.12087656249997,192.53964869791668,197.35310572916666,224.06873359374998,234.72821718749998,185.56598723958336,182.95980390625,180.2162502604167,196.08296484375,181.53064895833336,178.46030729166665,223.72639895833336,181.88527981770835,270.43232239583335,171.515041015625,163.26232968750003,181.6124955729167,160.95541380208334,177.43775390625,177.672341796875,177.60821861979167,177.79319908854166,178.8226734375,176.6359891927083,174.768569140625,185.775011328125,209.18288593749998,228.12860729166667,211.7609104166667,211.2642158854167,216.434516796875,211.08126132812504,216.619683203125,207.65817395833335,207.65248111979167,216.95759010416668,218.61341458333334,213.78080455729165,207.06731497395833,214.80147669270832,220.7105393229167,240.53362486979168,241.49609804687503,202.45365455729166,233.7514865885417,233.55948815104165,233.21050963541668,233.16091692708335,233.73176276041664,183.42333307291668,186.47128763020834,188.07400065104167,211.72819166666665,183.58949635416667,189.87841927083335,222.425369140625,193.05419700520832,193.09088541666668,196.45290364583335,224.31222669270835,234.22994296875004
laryngeal_tissues,243.07457005208335,240.87507447916667,234.64326354166667,243.524829296875,231.49537851562496,181.08399088541665,0.0,229.76878138020834,216.78640924479168,175.75270429687498,207.18898710937498,205.25521653645833,175.61062760416667,167.39424596354166,256.2885419270833,258.87492460937494,233.63777265624998,226.3825473958333,235.422341796875,232.009158984375,231.30487473958334,231.53484179687499,231.469803125,231.97136458333335,231.6167067708333,231.33934401041665,231.54608763020832,224.98194778645836,236.877264453125,219.54051471354165,236.320065234375,237.28754479166665,258.1369212239583,259.5752135416667,259.0568024739583,263.30018046875,259.8048955729167,263.5885395833333,258.54357747395835,258.3457966145833,264.35776080729164,263.94659583333333,260.982939453125,257.2161138020833,263.591958203125,265.3978428385417,273.9480184895833,244.521420703125,275.7310139322917,232.993329296875,266.27098320312496,294.2390747395833,245.9304484375,265.49138945312495,265.61801718749996,265.61643059895835,265.9457536458333,213.15383776041668,213.66513697916665,214.6663015625,237.31293111979167,279.62708033854165,255.22515611979168,235.63386080729165,237.39065104166667,260.244573828125,242.5614986979167,235.38776927083336,243.59297291666667,251.98056979166668,268.0516013020833,243.03936744791667,240.7332161458333,235.62537083333336,243.5450296875,4.94864791666667,229.95069609374997,176.97542994791667,175.0019537760417,255.56099453125003,233.36470143229167,226.25561822916666,235.52635807291668,232.4606481770833,230.09394270833332,232.00653242187502,232.16857825520833,231.92371497395834,232.6447130208333,231.365580078125,229.45967565104166,239.082506640625,236.7378559895833,257.7994546875,260.6784606770833,259.3047111979166,262.995892578125,260.4775147135416,262.28336028645833,257.78288854166664,258.1073595052083,262.8228630208333,265.2340408854167,261.290626171875,257.16369596354167,263.9353576822917,265.7306072916667,274.37048736979165,275.9706087239583,233.321848046875,266.2497954427083,266.13291966145835,265.8432463541667,265.738578125,266.0592291666667,212.78914739583334,213.14001757812503,215.02528815104168,255.67951562500002,235.35240078125003,237.84831484374996,259.904459765625,242.43450611979168,235.95433828125002,242.89469088541665,251.99412122395836,267.81253072916667
nerthus_bowel_cleansing_quality,171.7923438802083,181.13058294270832,172.9276634114583,192.63272552083336,208.32064453125,177.78650065104165,229.76878138020834,0.0,205.85349114583337,249.27124062500002,190.47689140625,186.94319296874997,208.774273046875,202.04038984374998,280.4061930989583,284.43113125,112.51728606770833,95.976878515625,43.73780234375,119.10074114583335,161.980822265625,159.20541953125002,159.33903059895835,159.11110638020835,159.31010065104167,158.96114440104168,159.24610625,205.85102916666668,161.77462578125,199.16651796875001,225.46446197916669,215.07669283854165,238.44805572916667,220.41422252604167,220.05047994791667,225.8578548177083,220.38856028645833,226.74598111979168,218.95206979166667,218.37139830729166,227.63470468749998,226.13996315104168,222.57843645833333,217.35738815104165,225.71515286458333,229.22111015625,252.827794140625,219.74305156250003,253.82748750000002,229.69958567708332,240.24118229166666,261.73141627604167,218.42148893229165,239.5949653645833,239.38578971354164,239.80595520833333,240.009363671875,166.730647265625,172.36042799479165,172.09280351562498,229.47826796874998,261.61456953125,220.99525989583333,197.1810661458333,196.87020585937503,230.76446354166666,206.98817278645834,206.44569231770834,211.2930954427083,236.40501263020838,243.03551549479167,171.45150638020834,180.88001705729167,173.61989544270833,191.97387278645834,230.208251171875,7.803257682291667,250.3392501302083,207.90363932291666,279.5859240885417,112.68139140625001,97.33157434895833,43.29246028645833,118.10056940104167,161.38783841145835,160.42221979166666,159.60425338541668,159.64836067708336,161.04211028645832,159.77096953125,158.69425911458336,164.149075,226.49583216145834,238.25631679687496,222.03757513020832,221.00144153645834,225.31050937499998,221.05067734374998,225.63805885416667,218.17786497395832,217.54126276041666,225.63408919270833,227.46746861979165,223.27690911458333,217.23055729166666,225.4579700520833,229.03762643229166,252.84078776041667,253.73092395833334,229.87150885416668,240.21226848958332,240.44658645833334,240.06605585937498,240.00325247395836,240.1946548177083,167.0972889322917,171.6494888020833,170.88759817708333,220.92396575520834,197.453226953125,197.554470703125,230.2263015625,206.90826640625005,206.95161393229165,210.70393606770836,236.74266979166669,242.36005221354168
stanford_dogs_image_categorization,195.20997434895835,187.0667358072917,184.259751171875,198.3396744791667,186.28641562500002,172.53017330729168,216.78640924479168,205.85349114583337,0.0,231.14205937500003,85.80634401041667,78.14374687499999,154.51380013020835,155.33446692708335,260.504213671875,265.78422291666664,183.43988606770836,179.30713450520832,208.50302291666665,184.7465140625,183.21072721354167,182.93298229166663,182.81030507812503,183.26609283854168,183.05233502604167,182.36226002604167,182.88402421875003,184.23845026041664,190.54929947916665,179.6116815104167,199.1059875,200.802294921875,222.74061901041665,217.617751171875,218.13602786458333,224.66407825520832,217.929462109375,225.68552434895832,216.19800026041668,215.65389622395836,226.7798828125,224.21828658854167,220.56633828125,214.83026289062505,219.03238802083334,228.16010572916667,246.55177565104168,207.34847552083332,247.44960989583333,200.68679166666666,230.58310989583333,266.0778641927083,196.89968606770836,229.6493984375,229.747189453125,229.62898229166672,230.27971132812502,186.4580251302083,185.24216445312496,186.79941497395833,198.78547968750004,252.64995781250005,211.3776221354167,196.80905390624997,190.80330403645837,218.40322005208333,189.10162486979166,194.0663845052083,201.6920641927083,195.357907421875,229.3837131510417,194.49285507812502,186.80259283854167,185.11082382812498,198.35493059895833,217.58369752604168,206.31157851562503,232.32101888020833,153.6656953125,259.48876575520836,182.59546770833333,178.78261523437504,208.29136783854167,185.4250670572917,181.7576248697917,184.02904765625001,183.5792682291667,183.54883359375003,184.56093085937496,183.03347890624997,180.48641145833335,193.5324703125,200.04467044270837,222.05502148437498,219.56417278645836,219.23840690104163,223.76512031250002,218.72610104166665,224.47484036458334,214.94306523437496,215.07900130208333,224.65714908854164,225.84296523437501,221.21463567708332,215.14587421875,219.12638281249997,228.099723828125,246.60017734374998,247.39585442708335,201.50168333333335,230.42579739583334,230.63341822916667,230.06042408854165,229.71113528645833,230.4163881510417,186.15761861979166,184.01744062499998,187.31171666666665,212.08442408854165,196.46115872395833,191.2241584635417,217.91536432291664,188.899103125,194.54598684895836,200.74488841145833,195.66747317708337,229.60302825520836
svhn,261.7516118489583,257.3372178385417,251.324292578125,261.0238567708333,247.66228776041663,222.65363346354167,175.75270429687498,249.27124062500002,231.14205937500003,0.0,222.501646875,220.80597734375002,141.94393736979168,134.139796875,213.65269726562502,217.42078437499998,252.91862851562502,250.05120846354168,258.41451171875,253.48184427083334,246.16607330729167,244.72288125,244.50801263020836,244.942283984375,244.72189075520834,244.37902565104164,244.70924062500004,245.12298697916668,248.14324453124996,237.74730703125002,245.71622942708336,255.90453893229164,269.01540703125,277.76977565104164,277.5786703125,281.25948502604166,277.4657483072917,281.586233203125,276.638934375,276.177910546875,282.7665216145833,281.57935091145833,279.42680286458335,274.23108320312497,281.88582109375,283.0033559895833,300.3151235677083,260.17119765625,301.3505619791666,258.19625026041666,274.2866916666667,310.7697201822916,262.94292903645834,273.7512046875,273.66311888020834,273.7095583333333,274.00383033854166,246.0821634114583,248.799459765625,249.83568919270832,256.79792578125,288.2444575520833,256.0590526041667,250.55755390625,248.20123632812502,265.31948463541664,246.46670351562503,240.81379674479166,249.36407330729168,259.4105115885417,278.6646470052083,261.6373220052083,257.1990446614583,252.194384765625,260.8514897135417,176.809929296875,249.63080924479166,5.9680321614583365,142.37770963541666,213.25659596354163,252.62831901041665,249.83719882812503,258.31419908854167,253.52355716145837,245.53037018229162,244.49917213541667,245.17099427083332,245.0923049479167,245.70608528645835,244.36092291666665,243.19164895833333,249.75590911458335,246.18539700520833,268.92129179687504,278.73794544270834,278.12779361979165,280.76688749999994,277.97309140625,280.37224296874996,275.97078033854166,275.78385598958334,281.42764778645835,282.71362018229166,279.3498809895833,274.47595026041665,281.6807705729167,283.196885546875,300.68703203124994,301.4333630208333,258.63864401041667,274.0967609375,274.3223934895833,273.992558984375,273.759873046875,274.09314283854167,246.0020102864583,247.69280729166667,249.77385078125,256.26377382812495,250.23864804687503,248.62520690104168,265.1397138020833,246.70490963541664,241.29431419270833,249.41966315104165,259.52678515624996,278.32882539062496
