,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,57.34098932291667,113.10817643229167,122.75407265625,257.1139033854166,222.4003451822917,258.3405735677083,207.06497278645833,279.26408437500004,332.73393359374995,266.14210208333327,263.3055540364583,297.1341803385417,287.7588838541667,389.3861973958333,386.7494338541667,152.822231640625,153.30124908854168,189.48112552083336,245.44641848958332,182.46473515625,194.61544817708332,194.06963489583336,193.64794492187497,193.75175546875,194.54544739583335,194.20581015624998,232.8364889322917,201.90055065104167,275.4710264322917,322.4200123697916,203.78737552083334,337.7059697916667,305.7673998697917,308.48506875,313.4028115885417,306.808834375,314.508791015625,305.8376549479167,305.23083580729167,314.64995468750004,312.1534182291667,310.8424098958333,305.34395651041666,305.93976888020836,316.03390286458335,327.94450533854166,220.95899674479165,326.721934375,218.14496380208334,279.39810481770826,339.20307890624997,313.82670390625,279.52197526041664,279.07930546874996,279.04168997395834,279.57937981770834,247.3519915364583,249.17854114583332,248.38924752604163,288.92882552083336,302.9411565104167,320.86762226562496,326.1052186197917,308.38175703125,327.5990644531249,311.8130303385417,312.5417997395833,324.89055950520833,260.69158502604165,270.6505341145833,4.731715104166668,57.12005,112.69555611979168,122.73106497395834,259.7105048177083,208.52179466145836,333.1984958333333,295.177476171875,388.9962505208333,152.09301562500002,153.89360208333335,188.94424895833336,244.28938880208335,182.67199765624997,195.2594938802083,193.86479088541665,197.55952408854165,194.99430755208337,191.92517252604165,197.68294674479162,204.08569361979167,322.47152343749997,338.2367888020833,307.3333645833333,309.35335117187503,312.44396276041664,306.72858541666665,313.7025563802083,305.390458984375,305.55445546874995,312.82313372395834,313.65658359375,311.35854752604166,305.0206997395833,305.86582721354165,315.639668359375,327.24050377604163,326.482388671875,217.70347734375002,279.84115195312495,279.87941054687496,279.5236515625,279.62407799479166,279.5166544270833,249.43697291666663,248.33736054687498,247.72801523437502,320.35234088541665,326.07803697916665,308.68039023437495,328.0481927083333,311.1136490885417,312.56811484375,324.3809251302083,260.319562109375,271.2471087239583
lapgyn4_surgical_actions,57.34098932291667,0.0,105.632247265625,108.08026822916668,270.35347890624996,215.09999153645836,252.78142018229167,207.26985559895834,261.37194244791664,316.11729296875,242.31124427083333,239.6464037760417,281.77500950520835,273.47840755208335,372.03927109375,370.5358981770833,165.02814518229167,164.94996054687502,198.8016716145833,229.80110416666668,168.8540296875,183.19212656250002,182.85208541666663,182.47823190104168,182.367025,183.22941432291668,182.89935182291666,222.98193763020834,193.84417721354163,255.17756861979166,303.533435546875,212.69933932291667,313.7636583333333,284.168636328125,286.7852625,291.61253242187496,285.43515260416666,292.93163763020834,284.07186432291667,283.6698686197916,293.0422638020833,290.30484375,289.0033450520833,283.5717997395833,284.74565638020835,294.10028151041666,310.57915638020836,227.472686328125,309.1144703125,221.9361622395833,287.6916623697917,322.78251015624994,289.80718333333334,287.66915052083334,287.28033489583333,287.18898893229164,287.84883190104165,257.0787100260417,261.26946796875,260.74971080729165,264.2948234375,308.54343463541665,303.38510794270826,310.54361419270833,290.2935359375,310.7053475260417,293.43679674479165,293.03440156249997,308.08134934895827,251.73438424479164,282.2158692708333,57.99205885416667,5.633089843750001,105.26062174479166,108.13326523437502,253.94228320312504,208.56187096354165,316.8112513020833,280.198068359375,371.6449846354167,164.25279661458333,165.04346354166665,198.0356703125,228.68435546874997,169.1442671875,183.680230859375,182.43094479166666,185.89679075520831,183.98457760416665,180.84214518229163,186.00307174479167,195.82942096354168,303.61664322916664,314.25368072916666,285.58377135416663,287.679024609375,290.74436588541664,285.41677734375,292.08023815104167,283.58376940104165,283.82651822916665,291.057960546875,291.8376236979166,289.5054904947916,283.36290859375,284.54100429687503,293.8157490885417,309.866457421875,308.9565897135417,220.93934348958334,288.01358476562496,287.9253048177083,287.71334713541665,287.91438242187496,287.77325546875,259.13412343749997,260.12620924479165,260.1738415364583,302.8433942708333,310.33406770833335,290.5438641927083,311.24206718749997,292.7651782552083,293.0446869791666,307.48870533854165,251.27661210937498,282.941674609375
lapgyn4_instrument_count,113.10817643229167,105.632247265625,0.0,47.828321744791666,269.30660872395833,183.31875078125,256.834734375,187.22584036458335,260.8042850260416,306.0486600260416,241.77972330729168,238.28905572916668,272.65438593749997,263.25883346354163,362.7070009114583,362.47943684895836,151.0014546875,158.0248390625,184.03496341145834,208.62855638020835,118.77289570312499,121.68685559895835,121.25468268229167,120.41345208333333,120.54260559895832,121.60561158854166,121.16383632812502,219.90225963541667,165.78396302083334,251.88312604166669,294.08533151041667,227.40578346354167,325.373377734375,283.44677942708336,284.66696549479167,289.56748463541663,284.79571888020837,290.34918125,282.772568359375,281.98867421875,291.5045352864583,290.1496188802083,286.9393032552083,282.0507608072917,285.969009375,291.7147694010417,308.8923958333333,228.06181145833335,310.5781514322917,225.35776210937502,263.8037765625,339.4945298177083,299.2060233072916,263.59549986979164,263.216461328125,263.17766276041664,263.92512890625,260.102471875,265.96184257812496,265.15327395833333,304.928860546875,272.65892408854165,295.27783854166665,290.60547682291667,261.4107579427083,298.07629713541667,273.7978013020833,288.43842955729167,289.88538984375,232.01222916666666,264.44422981770833,113.34228372395833,104.34437486979166,5.788707291666668,48.68161223958334,258.318184375,188.59039973958335,306.9280108072917,270.41065598958335,362.19398684895833,149.822496484375,157.40419440104165,183.08458736979165,207.8877779947917,120.21961601562501,121.948278125,120.810080078125,124.28122031250001,121.526060546875,118.29342760416667,125.14049036458334,166.99326640625,294.02116627604164,326.06450533854166,285.6524430989583,286.17831197916666,288.3318678385416,285.3140907552083,289.4321052083333,281.12256354166664,282.60076210937495,288.81147838541665,292.096394921875,287.52813203125,281.57568190104166,286.31666145833333,290.74281145833334,309.2849729166667,310.6662390625,225.266848046875,264.03694947916665,263.8436450520833,263.79491184895835,263.88150703124995,263.851336328125,262.4854365885417,264.9993234375,265.0902880208333,294.71687148437496,290.3867365885417,261.37559375,298.532939453125,272.8568606770833,288.760248828125,288.94078046874995,232.05360624999997,264.9055856770833
lapgyn4_anatomical_actions,122.75407265625,108.08026822916668,47.828321744791666,0.0,278.17077395833337,205.4480360677083,274.77015976562495,198.01311940104165,263.3544888020833,322.8877013020833,248.22222604166666,245.27674075520832,283.1491641927083,275.61402265625003,363.19014348958336,363.8371739583333,170.5884368489583,175.05822070312502,195.84743411458334,219.45351067708333,142.03785286458333,144.43253515625,144.15268958333334,143.26321575520834,143.45913203125,144.50288854166666,144.00620442708333,228.84097981770836,179.21728190104164,269.7979975260417,303.00195716145834,239.17065989583332,338.2892072916667,292.656245703125,294.03831979166665,298.10764778645836,294.1001143229167,298.895818359375,292.07101875,291.54554986979167,299.9215075520833,298.41166979166667,295.97744166666666,291.3677606770833,293.46021393229165,299.85820390624997,316.383917578125,239.56888450520833,317.13364296875,241.10929739583335,280.6753798177083,344.6935002604166,300.7084973958333,280.50470416666667,280.21225859375,280.0205295572917,280.7615423177083,272.94480117187504,277.897771875,276.739323828125,311.94908151041665,286.52372109375,312.6639438802083,309.694408203125,278.0868356770833,315.28270481770835,292.289798828125,305.7822583333333,308.60647539062495,234.08027200520831,283.11848046874996,123.24433854166666,107.899203125,47.472519921875005,5.161179036458334,276.02446627604166,198.96883841145836,323.64408541666666,280.96950950520835,362.7548859375,169.4349078125,174.79941614583333,194.83619453125,218.64220338541668,144.05653307291666,144.687793359375,143.47653046874998,146.56235299479167,143.86588776041665,141.84239518229168,147.82016705729166,179.73793007812498,303.0331177083333,338.9668731770833,294.5507752604167,295.370804296875,297.07775703125003,294.4455890625,298.1386584635417,290.6583930989583,292.1664380208333,297.4671571614583,299.8513184895833,296.703907421875,291.1222388020833,293.812455078125,298.9529462239583,316.57123684895834,317.2512423177084,241.18273072916668,280.993705859375,280.74972434895835,280.67367135416663,280.7703522135416,280.66083046874996,275.32353463541665,277.0153290364583,276.62612330729166,311.9509119791667,309.4048645833333,277.9461743489583,315.82940572916664,291.30510924479165,306.16874453124996,307.58748190104166,234.001559765625,283.93694283854165
sklin2_skin_lesions,257.1139033854166,270.35347890624996,269.30660872395833,278.17077395833337,0.0,248.866171484375,246.57370091145833,229.587876171875,329.294634375,359.1444052083333,312.1033296875,311.47629283854167,333.5547852864583,310.94049843749997,417.7922135416666,419.2326346354166,197.63331914062502,194.36605039062502,213.09530677083333,294.02709270833327,273.12143151041664,286.2947744791667,286.0491309895833,286.028806640625,285.71576067708327,285.98788229166666,285.89366093750004,189.06809309895834,275.04596549479163,340.78586002604163,359.7010084635417,147.99255833333333,384.4160721354166,326.93586679687496,328.7038427083333,331.35289518229166,327.42713854166664,332.01356002604166,326.9157283854166,326.7762837239583,332.0891731770833,330.6492643229167,329.5924872395833,326.3068703125,325.69291471354165,333.1312859375,339.0764506510416,130.97786471354166,337.1393684895834,174.95122369791665,255.01235559895832,344.89176484375,324.5753447916666,255.12493229166665,255.07455807291666,255.106075390625,254.733876953125,146.78483242187502,149.28146692708333,151.305476953125,350.0273966145833,269.56779401041666,347.802407421875,363.5173777343749,367.09541015625,362.9734470052083,354.2684397135416,349.50246796875,353.81279804687495,294.9192751302083,202.73101145833334,256.5700953125,269.21821432291665,269.73222408854167,278.461586328125,246.80971575520834,230.38812434895834,359.59128437500004,331.7787212239583,417.6669190104167,199.05566171875003,194.25883098958334,213.22048177083335,293.6978809895833,270.9822122395833,287.67809960937495,287.02959296874997,287.68862799479166,286.9330546875,284.25501835937496,285.653628515625,278.901134765625,359.3197364583333,384.23823203124994,327.68166171875,329.276614453125,331.2227598958333,327.24633255208335,331.27886653645834,327.26542955729167,326.21076354166667,331.238923046875,331.25303906249997,329.73791315104165,326.0078447916667,325.7148985677083,333.127358984375,338.81015351562496,337.1000967447916,176.14876223958328,255.591745703125,256.061797265625,255.10316197916669,255.43781497395835,255.37977500000002,145.66953567708333,148.81549856770835,151.1494451822917,347.7274619791666,363.8222442708334,367.41643867187497,363.04245,354.19823867187506,349.5563434895833,354.48215533854165,294.61322929687503,202.3237860677083
identify_nbi_infframes,222.4003451822917,215.09999153645836,183.31875078125,205.4480360677083,248.866171484375,0.0,178.26696223958334,212.14818072916665,256.6623053385416,223.18222434895836,224.02725299479164,216.29038307291665,227.93810026041666,210.08074101562502,338.702826171875,334.823566015625,192.35776822916665,202.16866432291664,212.6238649739583,191.27504440104167,189.78315091145834,195.13013424479166,194.804688671875,195.40609583333335,194.66216705729167,194.91519700520837,195.07886549479167,184.9177083333333,178.0540614583333,196.81037864583337,268.60465390625,223.51527382812498,294.097983203125,240.72559557291666,240.582873046875,246.14860520833332,243.23968476562504,245.83126484374998,239.7872904947917,239.53081536458336,247.33942096354167,248.10068528645834,243.027250390625,241.08620533854167,244.16888489583334,248.19649752604167,263.3961708333334,213.28715104166668,267.53885013020835,205.05958033854168,257.8089083333333,308.734618359375,271.171466015625,257.457405859375,256.9920483072916,257.01872734375,257.76283932291665,253.54222057291668,265.631153515625,266.0759119791667,263.200036328125,273.43413632812496,247.02987838541668,216.7210669270833,218.00115481770834,260.3307515625,225.87045625,234.64765872395833,230.59535625,242.9019760416667,256.928737109375,222.13362513020834,212.64438085937502,184.24430572916665,205.40629609374997,179.18890312500002,213.48369114583335,224.570162890625,225.35767838541665,338.09957278645834,192.21468710937498,200.458731640625,211.70696835937503,192.14595091145833,187.88453528645834,195.2755703125,195.54881549479165,196.20940000000002,197.90864075520835,192.08485364583333,194.80646796874998,181.34865052083333,268.27178658854166,294.780618359375,243.08902044270832,242.4758520833333,245.06062122395838,244.463665234375,244.6541234375,237.44775416666667,239.2872795572917,244.35128984375,250.59419908854164,243.3885799479167,240.17750898437498,244.90624661458332,247.63871927083335,264.6043130208333,267.83252421875,204.60068111979166,257.58342161458336,257.42533567708335,257.41918164062497,257.7906205729167,258.14835039062496,255.616002734375,264.3818033854167,266.08447317708334,246.47477565104168,216.89039231770835,218.49438776041669,260.608247265625,225.35600885416665,235.08095143229167,230.01097473958333,243.094290625,256.09510859374996
laryngeal_tissues,258.3405735677083,252.78142018229167,256.834734375,274.77015976562495,246.57370091145833,178.26696223958334,0.0,235.16359375000002,283.8702701822916,204.31595794270834,246.3046373697917,238.74416197916665,221.31527864583336,202.21596497395834,330.04179830729163,326.70933294270833,230.93614322916667,230.3210333333333,236.18806132812497,254.73691080729168,256.59396731770835,265.3852727864583,265.149776953125,265.7914059895833,265.04191080729163,265.2088579427083,265.3050891927083,198.57543359375,237.32773932291664,254.3549403645833,296.2389143229167,213.492787109375,313.730673828125,281.5471541666667,280.84893033854166,284.38176458333334,283.1365126302083,283.91567734374996,280.62255455729166,280.40057578125,285.140826171875,287.0057962239583,281.8373826822916,281.121392578125,285.6579645833333,285.8661868489583,300.27037656249996,218.17134088541667,302.3785845052083,200.09423164062503,286.0421005208333,327.2738899739584,299.4320709635417,285.6263071614583,285.2611399739583,285.2819927083333,285.661528125,229.40909661458335,241.50159049479169,242.65683828125,281.64375742187497,308.4234384114583,266.0846375,248.99216770833334,269.03293658854165,279.895071875,259.85957031249995,249.38198190104168,256.08387135416666,268.91867812500004,284.87406341145834,257.69264518229164,250.84418190104168,257.92415624999995,274.3676828125,6.027699218750002,236.11374687499998,205.42285898437495,219.29245104166665,329.53355299479165,231.885094921875,229.84620481770835,235.93324960937503,255.087526953125,254.31759361979167,266.14841302083335,266.1185014322916,266.1224666666667,267.62714986979165,263.7953752604167,264.5135127604167,241.20193932291664,295.86771809895833,313.90918268229166,283.097168359375,282.03060546874997,283.84208372395835,284.07360143229164,282.7688067708333,279.3324682291667,279.89885325520834,282.85247213541663,288.992895703125,281.72112213541664,280.4510592447917,285.99782734375,285.78079270833337,300.77826223958334,302.5011046875,199.71494570312498,286.00104270833333,285.74683776041667,285.594142578125,286.0816182291667,286.22022330729163,230.46906184895835,240.47538932291664,242.38799244791667,265.5593454427083,249.301317578125,269.89874296875,280.14415143229166,259.95518619791665,249.677701953125,256.44774453125,268.7756520833333,284.109609375
nerthus_bowel_cleansing_quality,207.06497278645833,207.26985559895834,187.22584036458335,198.01311940104165,229.587876171875,212.14818072916665,235.16359375000002,0.0,254.67797096354167,291.112266796875,228.70749752604166,223.75952786458333,251.81836796874998,237.40407929687504,340.702284765625,346.22501341145835,130.02847005208332,117.51797135416668,61.01979934895833,158.82833606770834,167.738311328125,173.73616549479166,173.61111783854167,173.27921197916663,173.36621835937495,173.661809765625,173.37289414062502,205.62474010416668,163.83795286458334,264.5540138020833,256.05052838541667,208.37316497395832,293.6656626302083,270.3302065104167,272.930271484375,278.16718359375,270.9267842447917,279.24785338541665,270.06502330729165,269.13839453125,279.733435546875,277.96589804687494,275.136740234375,267.7758751302083,278.2240734375,281.135263671875,297.42537343749996,199.2395104166667,296.8553368489583,248.87405638020834,194.38166953125,310.85035533854165,256.0594673177083,194.09295638020834,193.88592981770833,193.94311692708334,194.15659062500004,175.73959192708335,183.62421471354168,182.71517812500002,299.722721484375,213.02029309895835,262.63532369791665,269.61882578124994,255.45432825520834,276.19861744791666,254.23454192708337,256.9467233072917,260.0712002604166,221.16588880208337,206.49178346354168,206.68742669270833,206.32691861979166,187.5692408854167,197.7763359375,235.59308593749998,5.501595572916671,291.880649609375,249.97584375,340.5810602864583,130.26147434895836,118.67933502604167,60.267224869791676,157.41191471354168,167.290672265625,175.30458984374997,174.39756627604166,174.09370364583333,173.77443502604166,173.11237005208332,172.8890786458333,165.41783776041666,255.68383346354167,294.15954934895836,272.41117408854166,273.72290598958335,277.2811766927083,271.402018359375,278.30778776041666,268.9311213541667,269.402036328125,277.5225557291667,279.9574657552083,275.35324687499997,267.07526028645833,278.09440182291667,280.38346796875,297.39428776041666,297.05153697916666,248.87095794270832,194.57968958333336,194.3754,194.160127734375,194.74400937499996,194.42475976562497,177.776300390625,182.33769817708333,182.61061562500004,261.94393294270833,269.3942298177083,255.93412968750002,276.750418359375,253.87617005208335,257.3609858072917,259.37245364583333,221.68544218750003,207.31644296874998
stanford_dogs_image_categorization,279.26408437500004,261.37194244791664,260.8042850260416,263.3544888020833,329.294634375,256.6623053385416,283.8702701822916,254.67797096354167,0.0,299.43618854166664,108.96465677083332,113.81439388020834,217.429969140625,225.07890078125,313.78885494791666,316.95006432291666,271.190916796875,276.412588671875,272.2347997395833,225.60750130208334,245.7562708333333,248.29695989583334,248.01908411458334,248.71983111979165,248.68005104166664,248.3562828125,248.39239947916667,254.26303450520834,239.76776783854166,277.469809765625,253.29732304687496,304.76058619791667,314.3612919270833,267.851601171875,271.89573932291665,277.29046236979167,269.02568776041664,278.9289970052083,268.1220614583333,267.91052174479165,279.63634140625,275.67191380208334,274.2632674479167,266.87961510416665,276.0730975260417,280.42005859375,287.968647265625,303.12192721354165,287.4945966145833,307.4149671875,307.18892356770834,305.77664739583327,267.41448125,306.86862109375,306.5245625,306.49159908854165,307.0593967447917,316.93326445312493,326.2581856770833,326.560262109375,291.08922890624996,321.24590416666666,278.73129778645836,299.95000559895834,273.3151322916667,284.50192851562497,257.83656888020835,268.51453671875,282.1556610677083,186.57226341145838,325.54527213541667,279.22142109375,260.5109216145833,260.9375251302083,262.97596809895833,283.67771471354166,255.11121419270833,300.67131562500003,216.879570703125,313.70300494791667,270.23255078125,275.928925,270.96903880208333,226.11218515625,246.43153229166666,248.45343398437495,248.1524354166667,248.19475455729165,249.79996197916665,247.914906640625,248.66251289062498,240.87855065104168,252.98794583333336,314.5959424479166,269.7843893229167,272.5304873697917,276.30038932291666,269.4286020833333,278.28212278645833,267.1988579427083,268.3285455729167,277.7699787760416,277.43721927083334,274.2428048177083,266.48121041666667,275.13228528645834,280.2613803385417,287.7580891927083,287.5167055989583,306.72440182291666,307.0299634114583,306.63060559895837,306.55205052083335,307.26571054687497,307.553875,317.4121763020833,324.9104329427083,326.3100337239583,278.26233463541666,299.6571130208333,273.442129296875,285.3254239583333,256.88110898437503,268.99350130208336,280.915258984375,186.90644934895835,326.42033059895834
svhn,332.73393359374995,316.11729296875,306.0486600260416,322.8877013020833,359.1444052083333,223.18222434895836,204.31595794270834,291.112266796875,299.43618854166664,0.0,255.92591614583336,245.23874648437499,184.8585100260417,176.48245390625,240.64512083333332,235.12907552083334,308.12287018229165,311.10624231770834,306.2416979166667,249.21265755208333,274.9244864583333,282.19850625,282.29252578125,282.97017955729166,282.40336380208333,282.0838684895833,282.37601874999996,281.613366015625,255.85998216145836,224.78793763020832,252.57591315104165,332.9036442708333,242.02841640625002,247.09278450520833,247.25770234375003,252.44116236979167,249.17926458333332,252.04537643229165,246.407665625,246.0707891927083,253.26451562499997,255.36781901041664,248.97868124999997,245.69089973958333,251.15502643229166,254.4037838541667,272.91717955729166,325.3947298177083,276.4768875,309.27916015625,339.0058149739583,304.03299088541667,284.7010630208333,338.48902005208333,338.10427578124995,338.24441210937505,338.754440234375,332.71429830729164,339.11594817708334,339.34715377604164,279.3113760416667,342.8862434895833,213.22690325520836,208.78002252604165,215.622403125,228.48211783854168,204.02216653645831,203.04213854166665,200.6632610677083,309.415726953125,350.94392864583335,332.56501354166664,314.7820841145833,306.84565247395835,322.60160690104163,204.25151653645835,291.39373606770835,6.491897135416666,185.33302330729168,240.24176015625,308.13881354166665,310.0048981770833,305.7339799479167,250.17417447916665,273.43111953125,282.08998684895835,282.88755963541666,281.58310976562495,284.70930234375,281.60666731770834,280.7619954427083,257.437524609375,252.37033984375,242.36933098958335,249.82735156249998,248.88100611979166,251.75238697916666,250.52143619791667,250.15612695312498,244.29760143229169,245.67956744791672,250.530609765625,257.88439453125,248.86959986979164,245.0855544270833,251.72109648437504,253.96988372395836,273.90699518229167,276.833954296875,307.73274895833333,338.57284179687497,338.232173046875,338.3551841145834,338.8396662760416,339.1066885416667,333.55075442708335,338.3487608072916,339.31434466145834,212.93645104166671,208.87912213541668,216.584386328125,228.86081875000002,204.356804296875,203.612390625,201.19596966145832,309.6641798177084,350.272077734375
