,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,75.28404824218751,77.64066113281251,106.65794023437499,158.712503125,167.04464218750002,230.23434921875003,154.7876251953125,183.38069570312499,225.71914648437502,156.9726375,156.6715494140625,186.784572265625,172.83196230468752,242.06010527343753,242.06574824218754,111.47896660156249,110.4509376953125,139.00375625,140.1053919921875,101.72946875,102.3281681640625,102.171574609375,101.600240625,101.59979941406249,101.76493515625,101.67152285156251,160.8289919921875,169.05710468750001,171.8727068359375,208.09295449218752,182.68949414062502,214.704591015625,176.81770566406252,177.4246376953125,180.16806953125,176.505999609375,180.59796054687502,176.03096640625,176.191996484375,181.03684375,180.1626564453125,178.2147896484375,175.4201134765625,174.760240234375,182.00635527343752,189.5084513671875,170.67504765625,191.325565234375,180.23042246093752,226.2287515625,210.408565625,196.25342480468748,226.40613984375,226.60796992187502,226.9870330078125,226.9624359375,188.51512656250003,185.37845234374998,184.4570275390625,203.7011572265625,265.046859375,204.49499199218752,175.22765625000002,184.893355078125,197.71589003906251,188.91646328125,186.8272234375,196.30246875,186.85058164062502,212.27597890625,6.714468945312501,81.08420175781251,77.6326958984375,107.332080078125,230.86955078124998,154.96646171875,225.42469882812503,187.580969921875,241.2103923828125,110.5820216796875,109.7264390625,139.9352486328125,139.2814517578125,102.586617578125,101.660272265625,102.68159472656251,103.9831923828125,102.94646171875,100.155708984375,103.16031582031249,170.864907421875,208.400423046875,213.9010986328125,177.5030328125,178.54925546875,179.78751093749997,177.69091250000002,179.446115625,176.20140449218752,174.6153419921875,180.1960056640625,180.8723646484375,178.2558951171875,175.82196230468753,175.77514374999998,182.42841640625,190.35158984375,191.119775,178.70558769531252,226.58738984375,226.29484511718752,227.03222851562498,226.74654140625,226.39562792968752,187.95775585937503,186.20849609375003,184.0956779296875,204.35410957031252,174.995824609375,185.26012441406252,196.840919921875,188.7426783203125,187.205614453125,195.2515302734375,187.09292714843752,211.904069921875
lapgyn4_surgical_actions,75.28404824218751,0.0,43.250734375,56.929351757812505,188.6701712890625,198.56621230468753,265.9271923828125,164.539458203125,201.8111658203125,246.67348691406252,165.87946308593752,161.385958203125,192.7922603515625,182.8420484375,259.48058515625,263.495173828125,131.45072851562503,134.295091796875,149.2811837890625,141.926183984375,87.60664394531251,88.22773671875001,87.3326189453125,87.3606666015625,86.98108984375001,87.68841972656251,87.10864414062502,186.75331640625,162.1273599609375,193.0573921875,237.36293945312502,221.6246595703125,233.0218818359375,180.421919921875,179.9841484375,182.1622837890625,179.64734082031248,182.7465076171875,179.2211287109375,179.16922363281253,183.7949025390625,182.318875,180.621826171875,178.34049609375,178.6828681640625,184.07388984375,200.2599078125,197.46731855468752,200.4670806640625,217.80062539062502,254.7828154296875,207.63506660156253,199.59754453125,255.03104863281254,255.01517480468755,255.31473828125004,255.40763378906252,195.55625800781252,196.07409941406252,195.970280078125,224.63820546875002,291.8515314453125,197.712471484375,173.4835654296875,189.7223236328125,191.50049843750003,184.1799419921875,183.1339912109375,192.0437712890625,201.3580333984375,234.8679013671875,76.3551015625,26.444340625000002,41.839048437500004,56.5524392578125,266.54659628906256,164.5791267578125,245.82759433593753,193.8183955078125,258.66017968750003,131.16326171875,133.5441240234375,149.81052265625,141.638703125,88.97589199218751,87.76926816406251,87.725090234375,89.24542929687502,85.86949628906251,86.46642285156251,89.93142265625,162.4826017578125,237.48392675781253,232.39324414062503,180.6706173828125,180.2995033203125,181.64044511718748,180.0343369140625,182.2739802734375,179.537701953125,178.241025,182.922765234375,182.61006835937502,181.21410234375003,178.67312773437502,178.84285761718752,184.2755958984375,200.4401470703125,200.7223763671875,216.09759140625002,255.0732236328125,254.68905781250004,255.5301794921875,255.1952666015625,255.06233007812503,194.93483457031255,196.7948201171875,195.719778515625,197.64403359375,172.58381386718753,189.285560546875,190.8362380859375,184.44273945312503,184.17371777343755,191.480330078125,201.43908515625003,234.16294707031253
lapgyn4_instrument_count,77.64066113281251,43.250734375,0.0,48.6204025390625,179.5765333984375,187.6607279296875,253.67013652343755,166.474082421875,191.5077001953125,235.99510332031252,159.31740136718747,155.40577578125001,188.42333691406253,178.40295820312502,250.53739609375003,253.315171484375,127.51962734375,130.35270000000003,152.5788970703125,153.10306484375002,78.0429806640625,78.99331992187501,77.9147771484375,77.83506347656251,77.68623398437501,78.2700787109375,77.63766679687501,178.85178437500002,172.66316777343752,196.39920742187502,227.646417578125,207.2077490234375,226.31778652343752,186.27105820312502,186.754419140625,189.20397324218752,185.44975214843754,189.88696933593752,185.2444466796875,185.1992212890625,190.70661777343753,189.125842578125,187.0430734375,183.98658593750002,184.8722787109375,191.04711875,200.918676953125,190.5238779296875,202.0660744140625,208.913475,242.63818183593753,213.69731621093752,204.11090039062503,242.79300292968753,242.8013197265625,243.12690078125001,243.2008392578125,191.1998017578125,194.9462150390625,194.96161953125,221.662434765625,280.2457482421875,193.79583554687503,174.51196972656248,180.85560488281251,193.56995,178.7165642578125,180.8660111328125,186.0138576171875,199.09654003906252,226.08651035156254,78.699798046875,43.507594921875004,7.2226964843750014,50.254922851562505,254.21234941406254,166.4550705078125,235.25309550781253,189.2964404296875,249.612856640625,127.139132421875,129.2330517578125,153.52442578125,152.555355859375,79.5825111328125,78.2253134765625,79.068034375,79.663448046875,76.84855644531251,76.34008222656252,79.67209374999999,173.76207753906252,227.86124707031252,225.482171875,186.9941892578125,187.1319255859375,188.66687558593753,186.3070369140625,189.0599126953125,185.42764101562503,184.07596640625002,189.668453515625,189.793031640625,187.493846484375,184.22797734375,185.50308261718752,191.42609160156252,201.5166876953125,202.2442400390625,207.33381132812502,242.96004277343752,242.53607695312502,243.2439751953125,243.05394121093752,242.8762734375,190.8541283203125,195.3423255859375,194.60511171874998,193.75083671875,173.79961503906253,180.607202734375,192.82546191406252,178.742874609375,181.57330722656252,185.27681328124999,199.238879296875,225.5534630859375
lapgyn4_anatomical_actions,106.65794023437499,56.929351757812505,48.6204025390625,0.0,203.89211679687503,205.85052109375002,269.43842226562504,189.24361347656253,208.10964218750001,250.09569882812502,178.65087109375,175.4956404296875,207.90433359375004,199.3277673828125,262.07116347656256,266.16502324218754,157.5100376953125,161.17116386718752,174.7549640625,175.2242451171875,110.403329296875,111.03640058593751,109.907363671875,110.052037890625,109.8814548828125,110.51063554687501,109.93662324218751,199.89375644531253,181.26073828125004,215.61608574218752,249.6177396484375,229.2893125,242.48901640625,201.7645287109375,201.6404431640625,202.58448671875001,201.802971875,203.05438359375,200.875482421875,201.704980859375,204.183155859375,202.6884740234375,201.35383339843753,200.5268919921875,199.65375039062502,203.27940683593752,216.91448535156252,208.442655859375,218.10478281250002,229.98741152343752,263.90986171875,221.46582890625,221.5395958984375,264.1306359375,264.097236328125,264.3105650390625,264.49772070312497,212.088929296875,216.98708945312498,217.3403384765625,238.53506113281253,298.479296875,206.68180527343748,192.98537343750002,200.027641796875,201.8877564453125,192.17562851562502,193.670934375,200.9557234375,212.06410703125,247.671096484375,107.42027949218749,56.6202201171875,48.0611404296875,8.402810546875,270.04874140625,189.1789640625,249.62084218750005,208.88668437500002,260.9998564453125,157.3278361328125,160.5002796875,175.61683886718748,174.9628525390625,111.9075875,110.70786289062501,110.92726855468752,111.7002806640625,108.081316015625,109.21894843750002,111.79738925781251,181.726839453125,249.8258453125,241.9957884765625,201.938621484375,201.621834375,202.10279609375,202.2550875,202.55939414062502,201.0986115234375,200.5841970703125,203.2188974609375,202.6818607421875,201.64668144531248,201.18414941406252,199.844015625,203.645253125,217.395109375,218.18932695312503,228.55568964843752,264.1168875,263.89435019531254,264.59221796875,264.21332734375,264.1184501953125,211.67358125,217.451278515625,216.9192935546875,206.6840419921875,192.15131757812503,199.6407314453125,201.276563671875,192.3628958984375,194.586378515625,200.5700154296875,212.21159277343753,247.286474609375
sklin2_skin_lesions,158.712503125,188.6701712890625,179.5765333984375,203.89211679687503,0.0,154.76884023437503,190.7588046875,181.96373847656253,173.07563007812502,199.09782031250003,161.292978125,164.08937285156253,186.271998046875,169.3846740234375,218.7449197265625,215.4208603515625,133.53576777343753,138.79207519531252,179.78660234375002,193.1714232421875,177.910730078125,178.6195177734375,178.929494140625,178.049409375,178.3568841796875,178.28146796875,178.3363025390625,88.90102714843749,198.02993046875,151.07335410156253,185.54583144531253,119.626693359375,202.11967617187503,198.19897285156253,199.42960175781252,201.72778828125,197.30213750000001,202.061653125,197.45173242187502,196.964160546875,202.7729703125,203.16097753906251,199.59229746093752,194.02683144531252,198.670078515625,203.17520644531248,212.05783417968752,83.68566328125,215.93780156250003,107.9053474609375,173.89320390625,235.64305234375,204.09066269531252,174.2078296875,174.527931640625,174.7887439453125,174.81860039062502,154.5265515625,148.47825546875,148.8161267578125,173.0330197265625,220.339244921875,223.0827798828125,199.07063359375,199.10963359374998,225.35930058593752,209.06313281250002,213.00930390625,209.7161078125,175.279788671875,163.68746640625002,157.7524025390625,188.14097480468752,181.3911876953125,205.6042515625,191.23509023437504,181.28048203125002,198.814042578125,185.59233476562503,218.3015076171875,133.31346191406254,137.278266015625,180.22505175781248,193.2473833984375,177.65541992187502,177.88186484375,179.8021865234375,179.85616464843753,180.43009843750002,177.12138281250003,177.2086166015625,201.13739179687502,185.54038359375,201.1071751953125,199.95061953125003,200.778031640625,201.729346875,198.96125742187502,199.85316875,197.49365410156253,194.7564244140625,202.1054400390625,203.6539787109375,199.6683638671875,194.3563099609375,200.654159765625,204.052707421875,213.59377812500003,215.529360546875,107.0052447265625,174.353568359375,174.0407962890625,174.88959921875,174.45047812500002,174.2854263671875,153.950741015625,148.15551093750003,148.93467871093753,222.8782189453125,198.697024609375,199.9479154296875,224.227455859375,208.54201308593753,212.424601953125,207.8620724609375,175.3196681640625,163.50218515625
identify_nbi_infframes,167.04464218750002,198.56621230468753,187.6607279296875,205.85052109375002,154.76884023437503,0.0,125.82378867187501,209.9862619140625,157.6285828125,144.09950625,155.53684921875,160.8104876953125,179.5091171875,159.5396236328125,179.1112384765625,175.34456855468753,159.13179355468753,166.1642287109375,199.82877304687503,214.73081347656253,195.89490390625002,196.8367681640625,196.675972265625,195.60331132812502,196.5370697265625,196.37710312500002,196.8567205078125,140.3289853515625,195.65301210937503,147.3700873046875,151.23308183593753,142.6917171875,193.30664414062502,211.67668925781248,208.0389513671875,206.92636250000004,212.36881953125,205.35070156250003,211.15145,211.64412851562503,205.79481953125003,210.5112271484375,207.19767050781252,211.4171572265625,205.3392328125,204.92009121093753,199.5201107421875,137.7787765625,205.78498554687502,124.3341705078125,193.172469921875,246.536521875,218.7057466796875,193.062928515625,193.50606328125002,193.8278759765625,193.98988203125,206.6630390625,205.93898867187505,205.48472089843753,136.8406294921875,228.410480859375,218.6411908203125,207.796133203125,189.31139765625,235.5159744140625,202.17832734375003,209.13388828125,206.871456640625,178.05388242187502,195.76078984375,165.9691611328125,193.59375996093752,189.3235888671875,208.13010390625004,126.02664921874998,209.3145046875,145.080031640625,178.648938671875,178.0890138671875,157.71476152343752,164.197095703125,201.0208623046875,214.1019677734375,195.928958203125,194.7376359375,197.8566908203125,198.13493847656252,197.99646523437502,195.16678320312502,194.5131501953125,198.812026171875,151.88905664062503,192.7527931640625,212.20201640625004,209.307888671875,207.041318359375,215.59608828125,202.41621406250005,210.2596005859375,209.0165728515625,205.6336908203125,210.28310449218753,206.52924589843752,213.23803144531252,207.65073085937502,206.42430234375,201.604166015625,205.175394921875,123.40245410156251,193.31004921874998,193.34174042968752,193.526744921875,193.54150585937498,193.4888861328125,207.14948164062503,206.39439375,204.39569511718753,218.27765019531253,207.810482421875,190.4427248046875,234.25743476562502,202.01265253906251,207.88381328125,205.38277480468753,178.3507939453125,195.912185546875
laryngeal_tissues,230.23434921875003,265.9271923828125,253.67013652343755,269.43842226562504,190.7588046875,125.82378867187501,0.0,268.66158769531256,184.936651171875,132.15485507812502,192.223589453125,202.3204791015625,199.57168203125002,183.3829298828125,174.36629667968754,167.40781152343754,227.1499466796875,232.38029785156255,260.787491796875,288.3020666015625,269.2968335937501,270.25816894531255,270.05175625000004,269.04975234375,269.70220449218755,269.70040234375,270.12316503906254,173.80425019531248,255.50120625000005,206.6078599609375,178.80041777343752,161.77879101562502,228.58273906250002,275.4511615234375,273.7260251953125,271.091837890625,276.75803593750004,269.64111679687505,275.71427421875006,276.753204296875,269.75031328125004,274.16591152343756,271.5227654296875,276.03361582031255,268.874631640625,268.0889763671875,255.36438066406254,175.106224609375,262.70744609375004,138.6509150390625,212.13126914062502,302.085636328125,280.68751699218757,212.04898906250003,212.52109960937503,212.5899259765625,212.88001132812502,248.84067734375,248.75397734375005,248.8865224609375,171.8223556640625,235.44428046875004,263.2123494140625,267.16959375,242.20182304687503,283.79352050781256,255.74869765625002,262.299972265625,258.62605546875,216.42828906250003,228.40494882812504,228.93950136718752,264.8000876953125,255.39742128906255,271.76076367187505,2.7607050781250124,267.915723828125,134.394809765625,198.2627625,173.4146400390625,225.77607988281252,231.3361734375,261.74688261718757,287.57098535156257,269.276429296875,268.160998046875,271.2331443359375,271.56795214843754,271.13734921875005,268.239958203125,268.0052263671875,259.15487890625,179.48501445312502,228.35580957031252,275.85960195312504,275.147325,270.95619414062503,279.63604375,266.88817656250006,274.83227246093753,274.21011972656254,270.0706751953125,273.7904224609375,270.4651451171875,277.99191660156254,271.0174503906251,270.04940468750004,257.6998984375,261.708233984375,139.15768222656249,212.19446953125004,212.48685878906252,212.25497968750003,212.27017695312503,212.50660917968753,249.64825195312505,248.84829570312505,248.10610566406254,262.7237955078125,267.26038164062504,243.24164589843753,282.822349609375,255.64402832031254,261.092567578125,257.34758808593756,216.9820259765625,229.11528828125
nerthus_bowel_cleansing_quality,154.7876251953125,164.539458203125,166.474082421875,189.24361347656253,181.96373847656253,209.9862619140625,268.66158769531256,0.0,220.2591576171875,237.99195371093754,181.9392876953125,176.51855078125,196.2822337890625,184.599033984375,259.88651875000005,262.10302968750005,108.80979453125002,99.49433046875001,55.5514353515625,101.4027375,143.0358681640625,142.711373046875,142.85980136718752,143.07331816406247,143.02224609375,142.9036896484375,143.255196484375,189.00715468750002,147.4284330078125,206.91968164062502,240.670162109375,228.38812128906255,216.3247263671875,192.58296757812502,189.32693828125002,192.09742714843753,190.1789228515625,191.9441248046875,190.1442595703125,188.85944003906252,193.36575410156252,194.378987890625,190.50573984375,188.20257421875,192.56667480468752,194.447269140625,219.716041015625,196.3642423828125,221.4338822265625,219.32559492187502,231.6966755859375,237.6018521484375,182.91967343750002,231.7581248046875,231.9688513671875,232.39363906250003,232.01935214843752,148.6197220703125,146.33773300781252,144.90002734375003,228.5526640625,267.3323064453125,210.76560781250004,173.76489003906252,187.3116431640625,203.222653515625,194.5185451171875,185.58892441406252,190.1071947265625,223.3809623046875,208.6851353515625,154.161925,168.63983515625,166.82764296875,189.1685896484375,269.34111621093746,5.9145384765625,236.55975761718753,195.9320896484375,259.717244140625,108.21458359375,101.8182978515625,55.83064960937501,100.67692421875,142.1302912109375,143.4386966796875,143.64540820312502,143.831946484375,144.0425287109375,142.33886035156252,142.85085820312503,147.89819277343753,241.10098183593752,215.386376953125,193.8444771484375,190.4990927734375,191.85418496093752,191.5676857421875,191.3150021484375,190.276406640625,187.84303750000004,192.72272890625,195.451973828125,191.09434101562502,187.874857421875,193.04046074218752,195.02520566406253,219.96672792968752,221.5583029296875,218.28894921875002,232.20678144531252,231.62621796875004,232.2682615234375,232.3632462890625,231.50269453125003,147.8650966796875,147.18684863281248,144.139102734375,211.12589453125003,172.9643447265625,187.4348703125,202.5789087890625,194.214159375,186.3568126953125,189.0483734375,223.632944140625,207.6934212890625
stanford_dogs_image_categorization,183.38069570312499,201.8111658203125,191.5077001953125,208.10964218750001,173.07563007812502,157.6285828125,184.936651171875,220.2591576171875,0.0,180.432534375,97.54949765625,101.7458412109375,130.88322148437499,126.2920748046875,199.3484939453125,199.36479003906254,179.6843166015625,188.0505521484375,209.04294882812502,222.9188767578125,210.4505796875,211.3597423828125,211.176201953125,210.411397265625,210.7467017578125,210.99211171875004,211.11942363281253,155.9717677734375,215.57726406249998,179.4482404296875,190.4397931640625,166.4623984375,205.24197500000002,225.1443267578125,222.19708339843754,222.152160546875,225.607453125,221.21642734375,224.29600546875002,224.23203046875003,221.901616015625,224.8578919921875,222.0147322265625,224.8752701171875,220.11755703125,221.81141621093752,228.3062958984375,167.54988164062502,233.56873359374998,168.2197603515625,216.18076250000001,257.04263515625,215.17848105468752,216.29563125000004,216.637402734375,216.6816689453125,216.93358945312502,209.1049953125,205.64285390625002,205.85823769531254,180.6575556640625,248.56809335937498,213.9453853515625,214.400930078125,195.05078203124998,233.09439277343753,195.68731914062502,203.64681679687502,203.57601835937498,185.278474609375,214.94862890625,182.4981232421875,198.3121013671875,193.1487462890625,209.97503359374997,185.240344921875,219.71333203125002,180.16493984375,132.19141914062502,198.5419650390625,178.9925232421875,186.72878085937504,209.8726978515625,222.7654505859375,211.05757812500002,210.467450390625,212.9778548828125,212.6534759765625,212.3882171875,210.084779296875,209.3557658203125,218.57098125000002,190.925368359375,204.9802826171875,225.98780859375,223.418231640625,222.424796484375,227.952915234375,219.27734609375,224.4012931640625,222.32121308593753,221.5052798828125,224.92978730468752,221.9801826171875,225.6503654296875,221.13507578125,223.198409765625,230.0349859375,233.18023593750002,167.5637564453125,216.34783828125,216.3882654296875,216.819399609375,216.28370742187502,216.4769275390625,208.96241289062502,206.01226640625003,205.1659033203125,213.4728353515625,213.54204375,195.6683517578125,231.853478125,195.2982923828125,203.10289609375002,202.2185416015625,185.5033103515625,215.172602734375
svhn,225.71914648437502,246.67348691406252,235.99510332031252,250.09569882812502,199.09782031250003,144.09950625,132.15485507812502,237.99195371093754,180.432534375,0.0,168.80428046875,173.92340644531248,141.93194648437503,126.0965126953125,134.69473652343748,130.38864863281253,211.4474681640625,216.50378847656253,231.23288007812505,251.6817388671875,244.174362109375,245.0393654296875,244.72050664062505,243.9250046875,244.5657083984375,244.58366171875002,245.05936152343753,187.11680019531252,229.3450125,199.61255605468753,184.9124310546875,191.391744140625,222.09660742187504,242.90527207031252,237.81917441406253,235.84603046875003,243.168399609375,233.98102382812505,241.88863164062502,242.30445585937503,234.82277968750003,239.8006771484375,236.6470181640625,242.2864865234375,235.09561250000002,233.64490097656252,235.49963417968752,190.70716523437503,241.21584648437502,171.52267050781253,224.95143828125003,276.83775039062505,246.5941869140625,224.85523359375003,225.235680078125,225.49354863281252,225.4817609375,228.32299257812502,226.91801992187501,227.1279302734375,183.1020076171875,250.05006757812498,221.30903964843753,232.18298085937502,209.69713476562504,244.4557806640625,216.64035429687505,214.19785039062504,218.96005820312502,215.90785312500003,232.994123828125,225.10739433593753,244.7275380859375,237.29153378906253,251.79513359375,132.347458984375,237.31776484375,6.189250390625002,140.16889921875003,134.1208658203125,210.3164775390625,215.535919140625,232.03961855468754,251.4683248046875,244.13352070312501,243.33146796875005,245.99076191406255,246.2951357421875,245.97007734375,243.72946289062503,243.05702167968752,232.40713750000003,185.29824179687503,221.82076582031252,243.471201171875,239.08985039062503,235.598411328125,246.132426171875,231.36487929687502,241.2804513671875,240.21324160156252,235.1151458984375,239.61498613281253,236.3392576171875,244.26859785156253,236.84039531250002,235.072579296875,237.25520195312504,240.5073203125,171.4486970703125,225.199586328125,225.1353544921875,224.97353398437502,225.160348828125,224.96823808593751,228.59033203125003,226.791673828125,226.3317501953125,221.21047246093752,232.144283203125,210.5453228515625,243.71226406250003,216.78449277343753,213.26290546875003,217.82059511718754,216.32581972656254,233.266601171875
