,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.015855138260308946,0.017272009955604135,0.024498995950424894,0.040574604691879845,0.04173345041172293,0.06003740120331546,0.03661091622791754,0.04595126947513699,0.058960629605846644,0.038212564610678096,0.037978756730168386,0.046039938815274836,0.043563254154997025,0.0609476602192851,0.06215001566407521,0.02657503443045349,0.025802037030401615,0.032310701681525486,0.030469395979331265,0.022241080216861258,0.022366339833809104,0.022303165400666094,0.022224596566635477,0.02216375014529882,0.022227140078929425,0.022197201973638468,0.0411371335228187,0.041273098624492834,0.04270287015885717,0.051700238565899406,0.046959802585976346,0.05544260404540607,0.04404271022108099,0.04429679641613014,0.04539074255071925,0.043878404888270356,0.045563342902352755,0.04376101877117866,0.04376113915024421,0.04573630652210811,0.04526725942861065,0.04473097234203215,0.04352602905653761,0.04388665895708574,0.04615534751166753,0.04884537920636696,0.04374476698439474,0.049024043835567535,0.04570548748426739,0.059692062498745556,0.05240618240769965,0.04835731055268126,0.05979168824166974,0.05979928605442003,0.059916292737778785,0.05989643089489466,0.04715800292086922,0.04650423630831942,0.04635290715489724,0.05421457182595218,0.06978579610143983,0.05263359382470119,0.043977526310831655,0.04844833906611411,0.04888110574005301,0.048770185007079886,0.04744217459625495,0.049783077983214005,0.04876582330166808,0.05553465648606329,,0.017776349436975238,0.017173136232136427,0.024739733486637022,0.0601311318068362,0.03664330578309041,0.05880294900725385,0.046244856528058126,0.06073248459741622,0.026367452242778387,0.025709982349521657,0.032533251575417046,0.030276031929641546,0.02239782192901043,0.022267587872388472,0.022356952535048272,0.022719704664586313,0.022512379274836014,0.02180258195541629,0.022725977059932137,0.04160484706308827,0.05181251936486911,0.055201506506159,0.044314466407839766,0.0444493132944483,0.04525177881728083,0.04401499956054118,0.04537551886410923,0.04382279219634353,0.04345492769056544,0.045481402945785225,0.045535202708304905,0.044836114622103074,0.043546913455229166,0.04400355193413928,0.04622423411117215,0.048933585393307166,0.049018380178437806,0.045378086154093285,0.059767529854865206,0.059765235582595194,0.059939435400307314,0.05985046535353382,0.05974137008036133,0.04695984369479846,0.04670564834374025,0.04629891874992668,0.05266605762626559,0.04385191401486553,0.04851850688711492,0.04865824684284534,0.048781360543136996,0.0476584983680316,0.04959248795133224,0.04882490239921272,0.05537220221276716
lapgyn4_surgical_actions,0.015855138260308946,0.0,0.009409257602077963,0.013162118118334587,0.04424087227046932,0.04523830217004701,0.06305169470189366,0.03778178301226132,0.04881306405350082,0.060067557322118804,0.039534346865965825,0.03886601260972587,0.04637958813554233,0.04468520778800136,0.06018075700424911,0.0621848570984961,0.03080629778783017,0.03063415656700011,0.03385403418236284,0.03113415994198973,0.0194511142724762,0.019584908236530037,0.019382561699235155,0.01943518327897676,0.019304646988236595,0.019427980014506484,0.01931141287487283,0.04385931753187049,0.03879494296480723,0.04568448967592614,0.05433251997452869,0.052193215984782694,0.05596347579637009,0.04435920596595484,0.04424877286495672,0.04502025526545223,0.04414066147921776,0.045168700078037624,0.04400157555219257,0.04398041990563147,0.04544499974029066,0.0450412127951121,0.044528213736458606,0.0437055428023489,0.044091466142465494,0.04563286077828191,0.04961889064876231,0.046505816195600555,0.049500136174049414,0.05072348861838884,0.061545826235542084,0.05107015872024637,0.048135802482262645,0.06164333534051096,0.06161274437480051,0.06171072702900665,0.06171195010923296,0.04653155305011458,0.04676549419694261,0.046808188892892316,0.055515765208068626,0.07104859111525363,0.04941667918168493,0.04265751931613041,0.047378949031508154,0.04606299528285346,0.04593817133570602,0.04528330437780618,0.04721960383732059,0.04989747026940804,0.05690314819725134,0.01603230363711794,,0.009002174342662973,0.013288461785396048,0.0631041966078954,0.037776517292457096,0.05986910672270883,0.04659207522870437,0.0599863752361319,0.03076566263564041,0.030483538073170353,0.03398628060080075,0.031072743865083453,0.019702785948770105,0.01943937371696,0.019415390627734716,0.019794271191580122,0.01909644180613207,0.019130868835453077,0.02003129420585011,0.03883084665328823,0.05440685370726076,0.055782922439605614,0.04447918026804262,0.04425487772028082,0.04486782677949241,0.04418489979895122,0.0450942837823715,0.044050927219682776,0.043765775214273626,0.045223854978501045,0.045167350327408304,0.0447018366299141,0.04373076066674925,0.044104281893925804,0.04567466695285256,0.04957153229946047,0.04955217175969512,0.05036486355695116,0.06159178148263028,0.06158221099234393,0.0617603253991643,0.061669108883547374,0.06160854788758184,0.04635514697739782,0.04692116258229409,0.0467666852161994,0.049454647381439565,0.04241852462934388,0.04723754114701742,0.04588348196237059,0.046015325706614096,0.04555815398749867,0.04713748285425713,0.049919905299292286,0.05670422788140322
lapgyn4_instrument_count,0.017272009955604135,0.009409257602077963,0.0,0.011262543940328615,0.04262899450373489,0.043689336255393764,0.06178902056842091,0.038306656664273145,0.04678074046594144,0.058649547459169775,0.037691558552581675,0.03700525988390216,0.04524660865169572,0.04354719153187847,0.05907344406003321,0.06059823293152217,0.02995273344613019,0.02979812213597861,0.03485050575788233,0.033488639013737845,0.017311798956661253,0.017537115921282504,0.01728746744424408,0.017309553567546064,0.017222925475235983,0.017340039280878503,0.017195567894770142,0.043101657884386545,0.040964020497704784,0.046850131245417766,0.053130798077099986,0.04997720966724312,0.05530079366240485,0.04546500044245909,0.045588053668890204,0.04652117607035715,0.04517601436746169,0.04672206390610907,0.04512553944070366,0.04507149195415938,0.04694429941697424,0.046423640404688965,0.04583355620163217,0.04470384981418743,0.04536079650750717,0.047197903791497506,0.04991018253996759,0.04582031658328058,0.04988126096337596,0.04994938295071824,0.059678290150632245,0.0524991624331972,0.048951784169668666,0.05975772499351788,0.059714395042611806,0.059829217046679165,0.05983363955120796,0.045806346433426,0.04651989070953726,0.04656787992362908,0.05594066549896397,0.06945997445516054,0.04901464077552024,0.04291466263482063,0.045761322585774235,0.047033562894539194,0.04479760224101613,0.04462111230262123,0.04603635153396374,0.049934054015841556,0.05520687794231873,0.017405499109085103,0.009880579485229538,,0.011740806220926076,0.06184370495046198,0.03827989839440588,0.0584485595587145,0.04547344622792919,0.058857070668930596,0.02991296791480346,0.02957437373025561,0.03500823248726875,0.03339446323735497,0.017612293368165846,0.017346842116362633,0.017463732932245242,0.017723830035191346,0.017053478552598998,0.016947356420679384,0.017769874249550947,0.04118638811179502,0.05323841102510849,0.05509739578131936,0.045710496516536754,0.04558540276283847,0.046338505553152665,0.04530582063420509,0.046600855191503004,0.04517071432654997,0.04482640385761626,0.04669944951324265,0.04665113904397798,0.04601709458346506,0.04467105879233052,0.04545307631633125,0.04724336908598155,0.04990093868958577,0.04992936266626978,0.04961486173855739,0.059713813614179004,0.0596912678804961,0.05986959348091904,0.05979672895929944,0.059752837853396794,0.045659368615358284,0.046620831942767255,0.04649860296505009,0.04906020979408453,0.04269311637191388,0.045644772168944844,0.04683495263662495,0.04483155646227411,0.04483077797077974,0.04591045608226419,0.0499538517680854,0.05503708428479214
lapgyn4_anatomical_actions,0.024498995950424894,0.013162118118334587,0.011262543940328615,0.0,0.04909616659612567,0.04955723038053874,0.06670623220115439,0.043943013103361156,0.05177147823573368,0.06309206838350585,0.04315735314043948,0.042630061527936185,0.050498429457366545,0.049117236180538044,0.06290020078124693,0.06472700267963606,0.03763003593556261,0.03735486600175694,0.04051421338441666,0.03899407402677604,0.02479818041876808,0.024936387188147384,0.024689071856522818,0.02477215845502873,0.024659965527617816,0.024786871057677903,0.024644592414552212,0.04875493774154786,0.043306001552774614,0.05257943444361267,0.059134308642592406,0.05654447128262091,0.059834851334362435,0.04976938122546014,0.04982121270975472,0.0504614110084481,0.04965847518063468,0.050620816862985196,0.04946990577321118,0.04959031445462386,0.05091431066476613,0.05037731078542437,0.04995442692292723,0.049252200689269235,0.0495776365952121,0.05090841334004934,0.054321882633881616,0.05081327145092082,0.054245973272330314,0.05618625260139885,0.06513600919635709,0.05488781942336899,0.053756213547432465,0.06523320962764181,0.06520039406436082,0.0652740516834519,0.06528842777176616,0.050768841457808744,0.05199810838164021,0.05212886950239224,0.06069211285130367,0.07405033541473505,0.05259774616092171,0.047580329382338096,0.05085810995676307,0.04955489800081403,0.04839835734083705,0.047932732549159585,0.05001428592169209,0.05369300240054868,0.06024328469154308,0.024598440282751793,0.013669658571173936,0.011086689193979496,,0.06677856373974347,0.04391555294065125,0.06289540847565803,0.05075562910882071,0.06263093176303292,0.03763656080988289,0.037220772191560045,0.04066337302655408,0.038964240634744976,0.025121301141025867,0.024866277562714315,0.024832812790539144,0.025031925029042484,0.02425025068893804,0.024508541219345734,0.02522181327675037,0.043352076454606064,0.05924084093731261,0.0596824376267168,0.04990614760362555,0.04972550997704423,0.050301602150318286,0.04969302239257248,0.05059417511838557,0.04952733532192831,0.04936389735074718,0.05068630477848435,0.050460121268379135,0.05010665009426217,0.049298371385810495,0.049573519903150794,0.050934539747406984,0.054275376226265826,0.054272272318411516,0.055904432084672336,0.0651591395189866,0.06518547804487841,0.06534596556611616,0.06523690419161726,0.06517170142829608,0.050594880521584173,0.05212009717934399,0.0520409948974202,0.0526663866279496,0.04734302202162674,0.05068371320111231,0.04938900796162991,0.048458908440925985,0.048190180581160896,0.049964162599098576,0.053724639229476664,0.06009138674051737
sklin2_skin_lesions,0.040574604691879845,0.04424087227046932,0.04262899450373489,0.04909616659612567,0.0,0.04125424530765315,0.05393623623118539,0.04404580320150797,0.04477986662885393,0.055392663171616896,0.03831866429435718,0.03798147437784108,0.04570867702607634,0.042270783153096396,0.05856000057833318,0.05826553362057155,0.031968683517888785,0.03335792909742231,0.043038334099424674,0.043407334207347034,0.04018796613187271,0.04033357209516239,0.040383966528142426,0.04024408207177666,0.040261019384329695,0.04028882614381101,0.04025829707637328,0.022121597411321442,0.04742425831381013,0.039099777096672506,0.04875547416007619,0.032260422739511366,0.05282289769390107,0.0487921561830891,0.04944827975050202,0.05041587912759103,0.048381165801266404,0.05068332171668584,0.048459529160101975,0.04820932113593694,0.050947196146014576,0.05053481241569199,0.04955703610196239,0.04728198179606105,0.04950224615470814,0.051148868992652904,0.05515456038769793,0.02169771034547247,0.05566065010413972,0.027896408319952007,0.04670557571540088,0.05899922030505421,0.04910330239068436,0.04684171108208353,0.04684247978947155,0.046931254920141253,0.046943874586884406,0.03995534186052781,0.03819003011389989,0.03831494140094032,0.04973741515267601,0.05974013009951669,0.05517782150291127,0.047401678766983896,0.050429089874356486,0.05476030404825196,0.05168188613926501,0.052066175386176486,0.05078662002655828,0.046611188264652145,0.04341372012736702,0.040412688674572,0.04413447830584788,0.043167164737700894,0.049424925329273325,0.054020717063387624,0.04390864302824985,0.0551792360651443,0.045718732402505166,0.058454833518499186,0.032035560094114776,0.03294026946621366,0.043087339891264384,0.043479819384016946,0.040034174412019424,0.04034295185238981,0.040611038116076956,0.04058688577149741,0.040756330702949664,0.04006033527474327,0.04000426992107165,0.04811209649148014,0.04878485803049546,0.05255241507791973,0.049292068799301175,0.049717569242974526,0.050252224898374984,0.04853541368933399,0.05031183032057025,0.04851355033181981,0.04779940156632248,0.05069267475342173,0.05077883751288121,0.049756300684998464,0.04720907142398338,0.04986640466165003,0.05125329997986757,0.05534843844999153,0.055663836507560197,0.027779632336379628,0.04680017133287545,0.04676989721299037,0.04702275835679307,0.0468334547365601,0.046807523825551096,0.039704154547861824,0.03810151163312833,0.038405566004495434,0.05522906457018581,0.047171045000283816,0.05057919533894273,0.05454202111189357,0.051600861662380176,0.052076224091453335,0.05045161312682801,0.046588892083814004,0.04323636208669861
identify_nbi_infframes,0.04173345041172293,0.04523830217004701,0.043689336255393764,0.04955723038053874,0.04125424530765315,0.0,0.040936171290619855,0.04953279960345186,0.04052056248383305,0.04205403025651526,0.03482480893966242,0.034600648092736705,0.04153165270146276,0.03696514777608462,0.05179502309980964,0.05210026506382159,0.03742366002851261,0.03850162180349104,0.04614895410721928,0.04689222687895429,0.042851362586541236,0.04308178401026003,0.04301698853151912,0.042861546501066605,0.04298539982537394,0.04298014777123316,0.043080236623237934,0.03712503891198095,0.04654335908329275,0.03892287024301962,0.043256919538977937,0.043160919048406104,0.05540942270232288,0.05122049380724211,0.05037501828882052,0.050708573870977755,0.051162434875008475,0.05052538651921097,0.050853807410231336,0.05079663228759883,0.050779641739573195,0.05148037974350341,0.05049297919908357,0.05076792794654489,0.050155361424538095,0.050879710969584005,0.05390988624383361,0.038044215826051136,0.05500494844703638,0.03670620909030247,0.05670959075671027,0.06211228322814388,0.05270628061883067,0.05677441886406661,0.05684102872039812,0.056904513030435505,0.056925783217970836,0.05219937888548025,0.051429343693068924,0.051394867762451044,0.04139055727767131,0.06757920421755416,0.0547725656327889,0.049281842168904154,0.04900282717073516,0.057574019261219724,0.05035749525823082,0.05076786566403709,0.05128583762555504,0.04984013464690634,0.05601506242561287,0.04159145325865751,0.044308227257306834,0.04407000409020291,0.049871966292062225,0.04094715885353448,0.04934344209076337,0.042133243720620474,0.041489508150812156,0.051547488700135806,0.03720807116379554,0.03792028010878691,0.046394190241107316,0.04687792660433296,0.042730438993630986,0.04278003604794487,0.043327486989485645,0.04349631301005459,0.043454378248584946,0.04287154364238442,0.042574776842916266,0.04725171128460125,0.043472556178760065,0.055211711677377324,0.05146392787807508,0.05060810895826452,0.05064209971060595,0.05172200895232583,0.05001868502474116,0.050739339234736544,0.0503143481440563,0.05063673177924514,0.0515497479162159,0.05056597177923361,0.05099236885115263,0.05053057024398112,0.05115258818327631,0.054247865534305745,0.05497359206238729,0.036506107233472675,0.05678188465661381,0.05679141332758163,0.056907201672802624,0.05683062173978212,0.05678458639489188,0.052139477115157054,0.05149939286965324,0.05123167522534765,0.054818070183189606,0.04902993631408596,0.049200420543771876,0.05730278280000678,0.050351634636085184,0.05068308315707516,0.05101476644065902,0.04991575665808186,0.0559094834219699
laryngeal_tissues,0.06003740120331546,0.06305169470189366,0.06178902056842091,0.06670623220115439,0.05393623623118539,0.040936171290619855,0.0,0.06417860091418014,0.05055231728315035,0.03946234145613747,0.04566537779880826,0.0468141586717539,0.04442189499824353,0.04094756052875305,0.056106291824965945,0.05544135884969473,0.05735306579240048,0.057568985452569874,0.06197141357638668,0.06468133582565425,0.06290366552775173,0.06310178128286127,0.06303821293754341,0.06291877639249809,0.0629847412847249,0.06300679688228113,0.06308909137724039,0.049138692958791724,0.0618842914509103,0.05749381626749336,0.05807925877612727,0.05532969799803365,0.06965084548106895,0.06839212658483129,0.0683576189472217,0.06837641421145829,0.06852806986679683,0.06835225912873523,0.0682751978624125,0.06840884805985706,0.06844688989822696,0.0687014067138727,0.0680800308097327,0.06817534562156757,0.0675158087155309,0.06835313898916612,0.07084596737921536,0.053297663946375404,0.07199433081598516,0.046090631740177176,0.06949995100935175,0.07832013964391218,0.07095572160997045,0.0695566256890612,0.06956393539345994,0.06958321913343368,0.06967808570466975,0.06454231971599497,0.06373148719513844,0.0637927577878349,0.054663674317733606,0.07871533914396939,0.06842288128343088,0.06547257804239057,0.06580249186786023,0.07104282261565585,0.0664647281669794,0.06590288685728395,0.06585490035497056,0.0633567108210954,0.07012331737650346,0.059820895777904365,0.06446000937135365,0.06212878904898012,0.06695607197242422,,0.06404302950238407,0.03981915328942133,0.0443544193299241,0.055805913998366714,0.057287004657029655,0.057292417457636226,0.062136035161329886,0.06469313282538572,0.0627459792476534,0.0628611308857655,0.0633401237030737,0.06349533728165993,0.06340679151577458,0.0627470214874784,0.06269611429938073,0.06265043328024268,0.058200425160394684,0.06948738239689664,0.06865500289192425,0.0685566376197661,0.06822012235753595,0.06881503501281994,0.06797827368994215,0.06819041354567679,0.0680388195991882,0.06843288619691072,0.06876017565464969,0.06808254085486079,0.06840463334878133,0.06775612260752983,0.06864363737345514,0.07115267959033253,0.0719223979616633,0.04614508229704471,0.06956897623001938,0.06956622202416737,0.06959598591972752,0.06951321100894173,0.06963590399345825,0.06447983135177024,0.06375478266007982,0.06377823137768779,0.06842386344523282,0.06527168553736931,0.0659349212122457,0.07090675468236692,0.06643453023075735,0.06596235718613448,0.06570730593810159,0.06347491385426399,0.0700046479770868
nerthus_bowel_cleansing_quality,0.03661091622791754,0.03778178301226132,0.038306656664273145,0.043943013103361156,0.04404580320150797,0.04953279960345186,0.06417860091418014,0.0,0.05380164971006146,0.05854886896136702,0.043484088579961465,0.04220187813763075,0.04821538426717656,0.046061787583025975,0.0600669671822717,0.06079380386404096,0.02576953555591059,0.02295404015861383,0.01286273706098644,0.022482757856759794,0.031762413559106153,0.03170993885563486,0.03173335956412042,0.03180181777159757,0.03176391974604179,0.031737224089408884,0.03180749986734582,0.044889114246323435,0.033842416626118824,0.04859766240193678,0.05567346391656533,0.054481148259075796,0.0510712237372212,0.0448593269662456,0.0444331972365795,0.04547660901709186,0.04431093483455594,0.045567183310382946,0.04429844274249152,0.04400829040586131,0.04581855034474705,0.045693389204984655,0.044812773674714174,0.04369559757143732,0.04528024926760318,0.0462395068586374,0.05258336302452162,0.047533053926972796,0.0527451884424054,0.05176643607460849,0.053785180646873945,0.05469283605435167,0.04332430161911033,0.053840648410716986,0.05386795875328425,0.05395682735348837,0.05386476884472068,0.034855728192907894,0.034635898312016494,0.03433892829656002,0.05633075099489699,0.06257071151361801,0.050427135678042884,0.04060001812180071,0.044454546096092465,0.04756065519788712,0.046528589816017776,0.044663733382323156,0.04527198052581799,0.05602062128422321,0.04912891508740368,0.036552481272157766,0.03887045917140476,0.038393248406493406,0.04393287602862779,0.06429270216521446,,0.058167433426362505,0.04814384335695811,0.060069037595102244,0.02569055267163709,0.023532633295049704,0.01290123338255624,0.022335903590118007,0.03160294372359472,0.03188262079392678,0.03187417464283557,0.03196551347232238,0.03201125805439961,0.03165665834641401,0.03178580218904707,0.03389779319365571,0.055830125846083656,0.05084505550313079,0.045209606633071955,0.044574031012601545,0.04532438276300455,0.044553034078913714,0.04542315011956302,0.044322979257451045,0.043814971833445376,0.04557089408485397,0.046030309892678214,0.04502937388501163,0.04357469413917691,0.04531008557723727,0.04632198588277378,0.05253330127546138,0.052839775770814196,0.051522478950992934,0.05387715144590663,0.05380192757654852,0.05395905446606443,0.053954620615451046,0.05371400968656283,0.03468619003445378,0.034754109190255775,0.03422926602832721,0.050526733644225136,0.04033198380920612,0.04446562159266888,0.04742054243969543,0.046482605270244934,0.04483301263932035,0.045059076373084095,0.05607931971941709,0.04889199259076371
stanford_dogs_image_categorization,0.04595126947513699,0.04881306405350082,0.04678074046594144,0.05177147823573368,0.04477986662885393,0.04052056248383305,0.05055231728315035,0.05380164971006146,0.0,0.04927525032833526,0.0239412059797227,0.024165207857722294,0.03277000411688268,0.032479487159727996,0.054184173028796016,0.05563277368315873,0.043770499329488094,0.045478681695651044,0.050439752810471125,0.051613172105897775,0.04921476840989526,0.049428147076679314,0.04938824849967296,0.049235114182996975,0.0492660711780073,0.049343499920063316,0.04935427227733239,0.04174013621122975,0.0537731019841762,0.04641609884716685,0.05082525635390567,0.04540413356958166,0.056008841389728226,0.05620421697219259,0.05574424051723408,0.05610117738239648,0.05621082882929629,0.05604679115901132,0.055933618737592214,0.05588546947547123,0.05620008254312266,0.056507997042267166,0.05582578380450963,0.055949266882561674,0.05529008201409005,0.056344419925931186,0.05981403342801664,0.04544875743054258,0.060761932807538756,0.04577099313012387,0.05911683974775164,0.06507648481415622,0.053914008378633305,0.05918474159179195,0.05925552844274576,0.05926063123468388,0.05932466658191968,0.05335296779523442,0.05204703774039886,0.0520721665021149,0.05014319337810117,0.06857557667372569,0.055247073156086915,0.05247348486154227,0.050542666037489456,0.05842912175334284,0.0499414321921693,0.05105048391486493,0.051467206055957934,0.0478375755775595,0.05844493146974282,0.045661962714651116,0.04843668340738342,0.04724021933692049,0.05216174831141425,0.050549404585711194,0.05367051577386217,0.04913827642671024,0.033104969651265914,0.053996731382549484,0.04364022292480882,0.045135337486292566,0.050579066905839715,0.0516228596515008,0.04933339678176708,0.04930675409525742,0.04975628327242855,0.04974565972315372,0.04970380062285751,0.049192853067656674,0.04903746795234498,0.05444702101860794,0.050923732749388044,0.05585242600549241,0.056471727513208836,0.05594062701176267,0.05608696181984875,0.05659214823878276,0.05569616569033966,0.05598487185980035,0.05551059725634198,0.056100298059106934,0.05654842092923287,0.055906318108759685,0.056050622701084324,0.055442606159410525,0.05660965359648075,0.06008902812479564,0.06073405342933668,0.045671634383466234,0.05918327675011873,0.059220703862024986,0.059279880498827896,0.059175503663445386,0.05921739326575921,0.05323793385074488,0.05217537979841458,0.051961617250140285,0.055266698535241125,0.052113420436953176,0.05064171890071735,0.05817329841915304,0.049886595413216626,0.051062195279912424,0.051185704362962124,0.04786734912016868,0.05838079342553385
svhn,0.058960629605846644,0.060067557322118804,0.058649547459169775,0.06309206838350585,0.055392663171616896,0.04205403025651526,0.03946234145613747,0.05854886896136702,0.04927525032833526,0.0,0.04223397752130215,0.0415771114493503,0.0310203410072916,0.027454358939852486,0.041546858530455526,0.040707039184543506,0.053550751882435695,0.05389031436874824,0.05643668013475914,0.05827079562474882,0.057734706158330776,0.057944430241914334,0.05785169898465021,0.05775231197049362,0.05782398008908208,0.057829641643862555,0.057964280453815055,0.052948614762885815,0.057964260611175114,0.05522471852759504,0.05591311544885484,0.06089143707847795,0.06474300825980382,0.06039203407707219,0.05940018762922367,0.05954761779032844,0.06028202187561098,0.05935581282983853,0.05997728416504948,0.05997365380889608,0.05959381289940234,0.06020012461990056,0.05936644108060003,0.05990878642475843,0.059137084046325124,0.059576849704162535,0.06403140645258215,0.055841580844183725,0.06495975355999589,0.05296613317465642,0.06847700898206391,0.07096778358679512,0.06295716222842529,0.06851113150128813,0.06856596319124675,0.0686085844918732,0.06860046008963543,0.05989592846666307,0.05882306262602006,0.05890165331179648,0.055718441584360436,0.07656228668089535,0.05737096270099862,0.05656379528770911,0.05570200750716722,0.060963441525452744,0.055607392640361804,0.053142320097852525,0.05497362428288401,0.06231024549999113,0.06788634517012707,0.05888327748230904,0.05984255899587894,0.05896281849755864,0.06324856048693203,0.0395600786955055,0.058411349694950584,,0.030725012299940613,0.041393730876745666,0.05347690923654968,0.0535494387908519,0.05659280705360499,0.05837430263152628,0.057641192394264754,0.05774099269667678,0.05815941808840672,0.05836132321201609,0.05824584585347451,0.05782538231658601,0.05754966932965527,0.05858873781915777,0.056047517244195405,0.06463186955356712,0.060634994111123254,0.05963900020161761,0.05941917037663319,0.060751343328415836,0.05887188952469669,0.059877496543793346,0.05963905439417304,0.05954176852580811,0.06024390633856534,0.05950989066014134,0.060202970990412455,0.05938720134824852,0.05983465658320678,0.0642709526914073,0.06491782820762766,0.052976898269556184,0.06854748148987073,0.06853110561513386,0.06855852490962949,0.06850957599442345,0.06848323271466925,0.059760294482492905,0.058797673619922566,0.05882274384904641,0.057472749128630596,0.05639439589103022,0.05581204524327511,0.06085040673954755,0.05557589856749238,0.05311005997693412,0.054819285898598,0.06238982409768156,0.06777242022907848
